,DECK_Open,DECK_High,DECK_Low,DECK_Close,DECK_Adj Close,DECK_Volume,DECK_Dividend Amount,DECK_Split Coefficient
2018-09-26,113.51,117.17,112.68,115.72,19.2866666666667,503602,0.0,1.0
2018-09-25,112.38,113.92,111.42,113.47,18.9116666666667,432626,0.0,1.0
2018-09-24,111.22,112.51,110.09,111.64,18.6066666666667,421880,0.0,1.0
2018-09-21,112.33,113.81,110.89,111.13,18.5216666666667,783465,0.0,1.0
2018-09-20,112.81,114.78,111.44,112.49,18.7483333333333,468706,0.0,1.0
2018-09-19,111.88,113.75,111.09,112.68,18.78,444818,0.0,1.0
2018-09-18,112.57,112.68,111.48,112.12,18.6866666666667,348757,0.0,1.0
2018-09-17,113.67,113.67,111.28,112.44,18.74,537177,0.0,1.0
2018-09-14,117.16,117.36,113.57,113.67,18.945,399142,0.0,1.0
2018-09-13,119.52,119.63,116.75,117.16,19.5266666666667,411421,0.0,1.0
2018-09-12,118.55,119.19,115.4,118.15,19.6916666666667,865286,0.0,1.0
2018-09-11,119.57,119.93,117.08,118.36,19.7266666666667,418816,0.0,1.0
2018-09-10,118.27,119.62,117.87,118.74,19.79,580693,0.0,1.0
2018-09-07,118.62,120.66,117.33,117.62,19.6033333333333,593984,0.0,1.0
2018-09-06,119.54,120.88,118.71,118.76,19.7933333333333,441558,0.0,1.0
2018-09-05,120.48,120.96,117.44,119.34,19.89,508506,0.0,1.0
2018-09-04,122.86,124.68,120.24,120.93,20.155,673799,0.0,1.0
2018-08-31,118.59,122.19,118.41,121.84,20.3066666666667,605230,0.0,1.0
2018-08-30,118.56,120.25,117.67,119.0,19.8333333333333,368191,0.0,1.0
2018-08-29,117.96,119.13,115.75,118.62,19.77,348053,0.0,1.0
2018-08-28,117.59,118.83,116.65,118.25,19.7083333333333,282330,0.0,1.0
2018-08-27,118.72,119.26,116.6,117.42,19.57,398646,0.0,1.0
2018-08-24,120.71,122.0,117.25,118.04,19.6733333333333,406724,0.0,1.0
2018-08-23,121.1,123.33,120.1,121.48,20.2466666666667,546802,0.0,1.0
2018-08-22,118.77,120.75,118.77,119.08,19.8466666666667,422469,0.0,1.0
