,GPOR_Open,GPOR_High,GPOR_Low,GPOR_Close,GPOR_Adj Close,GPOR_Volume,GPOR_Dividend Amount,GPOR_Split Coefficient
2024-07-16,159.56,162.39,158.495,161.62,161.62,273281,0.0,1.0
2024-07-15,160.65,163.22,158.82,159.15,159.15,249031,0.0,1.0
2024-07-12,157.61,161.19,157.61,160.21,160.21,250379,0.0,1.0
2024-07-11,155.74,157.71,153.84,155.58,155.58,163011,0.0,1.0
2024-07-10,152.66,154.39,152.66,154.03,154.03,98506,0.0,1.0
2024-07-09,153.76,154.8911,152.33,152.4,152.4,111951,0.0,1.0
2024-07-08,153.41,155.755,151.6566,154.54,154.54,146834,0.0,1.0
2024-07-05,156.51,156.84,152.72,152.94,152.94,134776,0.0,1.0
2024-07-03,154.42,157.75,154.34,156.86,156.86,102988,0.0,1.0
2024-07-02,151.73,154.005,151.31,153.64,153.64,196486,0.0,1.0
2024-07-01,152.62,152.62,148.66,150.32,150.32,165891,0.0,1.0
2024-06-28,154.66,155.06,150.59,151.0,151.0,731574,0.0,1.0
2024-06-27,154.13,155.3,152.28,153.35,153.35,111621,0.0,1.0
2024-06-26,154.6,154.8099,152.85,153.69,153.69,124567,0.0,1.0
2024-06-25,155.78,156.545,153.84,155.59,155.59,83807,0.0,1.0
2024-06-24,152.64,158.02,150.8,156.85,156.85,151247,0.0,1.0
2024-06-21,151.85,152.675,150.0,152.06,152.06,288872,0.0,1.0
2024-06-20,150.95,153.285,150.05,152.18,152.18,168465,0.0,1.0
2024-06-18,154.6,154.83,150.74,151.59,151.59,227981,0.0,1.0
2024-06-17,153.95,154.5,151.4001,153.75,153.75,122611,0.0,1.0
2024-06-14,156.0,156.0,152.43,153.43,153.43,184032,0.0,1.0
2024-06-13,160.58,160.58,155.4,157.6,157.6,219059,0.0,1.0
2024-06-12,163.59,163.59,159.99,161.49,161.49,227895,0.0,1.0
2024-06-11,160.99,163.26,158.88,161.73,161.73,152002,0.0,1.0
2024-06-10,159.09,163.55,159.09,161.04,161.04,150127,0.0,1.0
2024-06-07,159.4,160.93,158.1848,158.89,158.89,190981,0.0,1.0
2024-06-06,159.2,161.915,157.36,159.93,159.93,259088,0.0,1.0
2024-06-05,156.43,160.0,154.61,158.38,158.38,150318,0.0,1.0
2024-06-04,159.01,160.09,155.88,156.87,156.87,225998,0.0,1.0
2024-06-03,160.81,162.23,158.18,159.81,159.81,204658,0.0,1.0
2024-05-31,161.58,162.54,158.78,161.81,161.81,267389,0.0,1.0
2024-05-30,158.12,160.94,158.12,160.68,160.68,125093,0.0,1.0
2024-05-29,159.6,160.65,157.63,159.03,159.03,146631,0.0,1.0
2024-05-28,159.5,162.18,157.03,160.97,160.97,226397,0.0,1.0
2024-05-24,156.44,159.58,154.92,158.22,158.22,242737,0.0,1.0
2024-05-23,156.92,158.64,154.265,155.09,155.09,207209,0.0,1.0
2024-05-22,155.71,156.55,153.326,155.68,155.68,168818,0.0,1.0
2024-05-21,159.06,160.8025,156.855,157.05,157.05,170399,0.0,1.0
2024-05-20,159.01,160.705,156.65,160.32,160.32,387300,0.0,1.0
2024-05-17,156.48,158.72,155.195,158.37,158.37,222663,0.0,1.0
2024-05-16,157.44,158.91,155.19,155.25,155.25,216363,0.0,1.0
2024-05-15,151.69,157.64,150.57,157.44,157.44,332257,0.0,1.0
2024-05-14,149.87,151.705,148.6842,151.69,151.69,192360,0.0,1.0
2024-05-13,148.86,150.65,147.075,148.93,148.93,295906,0.0,1.0
2024-05-10,153.21,153.91,147.05,147.71,147.71,287270,0.0,1.0
2024-05-09,155.09,156.13,152.15,152.97,152.97,258140,0.0,1.0
2024-05-08,155.97,156.85,154.12,154.4,154.4,210377,0.0,1.0
2024-05-07,155.16,158.705,154.8,157.63,157.63,202688,0.0,1.0
2024-05-06,153.77,158.58,153.47,156.41,156.41,314305,0.0,1.0
2024-05-03,151.94,153.33,149.0,153.19,153.19,271516,0.0,1.0
2024-05-02,150.75,152.74,149.0,150.59,150.59,206310,0.0,1.0
2024-05-01,154.52,157.015,150.57,150.57,150.57,296489,0.0,1.0
2024-04-30,164.35,165.1908,158.31,158.71,158.71,223260,0.0,1.0
2024-04-29,162.94,165.13,161.11,164.75,164.75,348146,0.0,1.0
2024-04-26,160.99,163.97,159.58,163.28,163.28,205652,0.0,1.0
2024-04-25,158.31,161.87,157.38,161.12,161.12,170183,0.0,1.0
2024-04-24,157.11,159.845,156.45,159.25,159.25,215909,0.0,1.0
2024-04-23,155.09,157.34,152.14,156.75,156.75,159097,0.0,1.0
2024-04-22,154.41,158.7,153.535,155.82,155.82,177725,0.0,1.0
2024-04-19,152.35,155.25,152.35,154.32,154.32,138864,0.0,1.0
2024-04-18,153.85,155.67,152.2,152.8,152.8,152460,0.0,1.0
2024-04-17,153.72,156.28,152.39,153.68,153.68,210026,0.0,1.0
2024-04-16,152.14,155.48,150.0929,153.9,153.9,218945,0.0,1.0
2024-04-15,158.37,158.72,153.43,153.46,153.46,259072,0.0,1.0
2024-04-12,159.39,160.42,155.43,156.91,156.91,155017,0.0,1.0
2024-04-11,160.0,160.87,156.53,157.69,157.69,220686,0.0,1.0
2024-04-10,160.19,161.165,157.54,159.99,159.99,206912,0.0,1.0
2024-04-09,161.58,163.08,157.78,160.67,160.67,267183,0.0,1.0
2024-04-08,160.45,161.815,159.51,160.79,160.79,144448,0.0,1.0
2024-04-05,158.23,160.37,155.3,160.0,160.0,280160,0.0,1.0
2024-04-04,164.91,164.91,159.255,160.81,160.81,301827,0.0,1.0
2024-04-03,159.6,162.72,159.51,162.03,162.03,313203,0.0,1.0
2024-04-02,160.31,161.42,158.52,159.57,159.57,164255,0.0,1.0
2024-04-01,160.94,161.62,158.12,159.83,159.83,236390,0.0,1.0
2024-03-28,159.87,161.74,158.23,160.12,160.12,253811,0.0,1.0
2024-03-27,156.7,160.12,155.01,159.88,159.88,215878,0.0,1.0
2024-03-26,160.04,160.35,157.09,157.39,157.39,229084,0.0,1.0
2024-03-25,159.6,161.64,158.085,159.1,159.1,233737,0.0,1.0
2024-03-22,159.52,161.1,156.14,159.81,159.81,267487,0.0,1.0
2024-03-21,157.98,160.53,156.59,160.25,160.25,401845,0.0,1.0
2024-03-20,155.49,157.5275,154.0,157.34,157.34,212520,0.0,1.0
2024-03-19,154.0,156.76,153.8355,156.39,156.39,216472,0.0,1.0
2024-03-18,153.93,153.93,151.13,153.56,153.56,384303,0.0,1.0
2024-03-15,149.55,154.58,149.55,152.54,152.54,408821,0.0,1.0
2024-03-14,147.26,150.295,146.64,150.14,150.14,426078,0.0,1.0
2024-03-13,145.0,149.1699,144.753,145.87,145.87,249483,0.0,1.0
2024-03-12,145.47,145.95,141.84,144.67,144.67,168470,0.0,1.0
2024-03-11,147.05,147.43,143.735,144.88,144.88,217557,0.0,1.0
2024-03-08,147.63,149.68,145.2,148.12,148.12,327422,0.0,1.0
2024-03-07,145.5,148.47,145.5,147.74,147.74,173313,0.0,1.0
2024-03-06,144.95,146.45,142.885,144.7,144.7,252005,0.0,1.0
2024-03-05,142.48,145.03,141.47,143.64,143.64,146402,0.0,1.0
2024-03-04,143.16,144.38,141.905,142.8,142.8,299161,0.0,1.0
2024-03-01,142.35,144.4191,141.33,142.0,142.0,150415,0.0,1.0
2024-02-29,143.9,145.33,141.03,141.99,141.99,391865,0.0,1.0
2024-02-28,147.14,151.67,142.13,142.26,142.26,336520,0.0,1.0
2024-02-27,141.02,142.22,139.4,141.79,141.79,271376,0.0,1.0
2024-02-26,140.73,141.7,139.03,141.13,141.13,253700,0.0,1.0
2024-02-23,139.7,141.23,137.795,140.55,140.55,121879,0.0,1.0
2024-02-22,141.43,143.604,140.84,141.78,141.78,224593,0.0,1.0
2024-02-21,134.71,142.81,134.71,142.72,142.72,621555,0.0,1.0
2024-02-20,133.19,133.68,130.69,132.78,132.78,180571,0.0,1.0
2024-02-16,135.15,136.185,133.09,134.33,134.33,224082,0.0,1.0
2024-02-15,129.0,136.155,129.0,134.58,134.58,327414,0.0,1.0
2024-02-14,128.11,129.76,126.775,128.5,128.5,264261,0.0,1.0
2024-02-13,127.36,127.53,125.41,126.98,126.98,135782,0.0,1.0
2024-02-12,126.55,130.645,126.55,128.74,128.74,132203,0.0,1.0
2024-02-09,125.43,127.33,124.375,126.74,126.74,176355,0.0,1.0
2024-02-08,123.81,126.13,123.59,125.91,125.91,166648,0.0,1.0
2024-02-07,124.26,125.2,122.84,123.56,123.56,88503,0.0,1.0
2024-02-06,121.3,124.82,121.14,124.02,124.02,120656,0.0,1.0
2024-02-05,123.35,124.29,120.98,121.87,121.87,140658,0.0,1.0
2024-02-02,124.44,125.1,122.79,124.46,124.46,185405,0.0,1.0
2024-02-01,127.88,129.465,123.52,124.71,124.71,220423,0.0,1.0
2024-01-31,132.54,132.885,126.21,126.9,126.9,293093,0.0,1.0
2024-01-30,129.01,132.46,129.01,132.29,132.29,105392,0.0,1.0
2024-01-29,130.81,130.81,128.37,129.65,129.65,89430,0.0,1.0
2024-01-26,132.31,132.31,128.98,131.04,131.04,115316,0.0,1.0
2024-01-25,131.36,132.005,129.095,131.89,131.89,135617,0.0,1.0
2024-01-24,128.56,129.93,127.94,129.92,129.92,145742,0.0,1.0
2024-01-23,127.27,128.84,126.01,127.26,127.26,84133,0.0,1.0
2024-01-22,126.0,128.46,126.0,127.09,127.09,128085,0.0,1.0
2024-01-19,126.64,126.64,124.27,126.45,126.45,118693,0.0,1.0
2024-01-18,124.13,127.125,122.75,126.43,126.43,218468,0.0,1.0
2024-01-17,123.78,124.0009,122.28,122.96,122.96,137988,0.0,1.0
2024-01-16,125.05,126.09,122.45,122.78,122.78,116385,0.0,1.0
2024-01-12,126.85,126.85,124.21,126.01,126.01,159412,0.0,1.0
2024-01-11,123.11,126.41,123.11,124.06,124.06,174031,0.0,1.0
2024-01-10,126.15,126.98,125.29,125.96,125.96,147448,0.0,1.0
2024-01-09,125.0,127.365,122.31,126.82,126.82,234300,0.0,1.0
2024-01-08,124.35,126.01,119.75,125.86,125.86,258644,0.0,1.0
2024-01-05,127.42,127.42,124.13,125.34,125.34,306893,0.0,1.0
2024-01-04,133.38,133.38,127.35,127.89,127.89,203122,0.0,1.0
2024-01-03,131.63,134.47,129.07,132.08,132.08,237798,0.0,1.0
2024-01-02,134.17,136.32,132.81,134.09,134.09,115380,0.0,1.0
2023-12-29,134.09,135.26,132.4,133.2,133.2,149342,0.0,1.0
2023-12-28,136.41,137.4314,133.37,134.13,134.13,153670,0.0,1.0
2023-12-27,138.09,138.7657,134.4,136.41,136.41,78979,0.0,1.0
2023-12-26,136.34,138.225,135.54,137.32,137.32,104729,0.0,1.0
2023-12-22,136.91,137.165,134.21,135.3,135.3,127938,0.0,1.0
2023-12-21,132.35,136.06,130.99,135.97,135.97,133049,0.0,1.0
2023-12-20,133.87,134.747,130.93,131.18,131.18,200609,0.0,1.0
2023-12-19,132.43,133.5,130.84,133.06,133.06,174693,0.0,1.0
2023-12-18,132.27,133.61,131.01,131.96,131.96,181181,0.0,1.0
2023-12-15,131.02,132.5,128.31,129.89,129.89,347237,0.0,1.0
2023-12-14,130.87,132.78,129.6,130.93,130.93,300918,0.0,1.0
2023-12-13,128.82,131.1,127.0,130.9,130.9,298203,0.0,1.0
2023-12-12,128.5,130.0,125.67,128.58,128.58,639650,0.0,1.0
2023-12-11,133.58,134.75,130.08,132.08,132.08,255121,0.0,1.0
2023-12-08,135.08,135.61,133.58,134.85,134.85,159197,0.0,1.0
2023-12-07,133.5,134.46,130.17,133.65,133.65,158066,0.0,1.0
2023-12-06,136.56,137.98,133.8,133.84,133.84,139406,0.0,1.0
2023-12-05,138.52,139.36,137.35,137.92,137.92,137394,0.0,1.0
2023-12-04,136.28,139.34,136.28,138.05,138.05,220671,0.0,1.0
2023-12-01,136.54,140.83,136.54,137.94,137.94,134184,0.0,1.0
2023-11-30,132.95,138.175,132.81,137.04,137.04,210003,0.0,1.0
2023-11-29,133.76,133.93,131.62,131.77,131.77,135476,0.0,1.0
2023-11-28,133.72,135.1647,131.105,131.61,131.61,186510,0.0,1.0
2023-11-27,132.47,134.03,130.98,133.75,133.75,136801,0.0,1.0
2023-11-24,132.13,134.63,132.13,133.13,133.13,60933,0.0,1.0
2023-11-22,130.54,134.05,130.54,132.61,132.61,153524,0.0,1.0
2023-11-21,130.0,132.9841,129.0,132.51,132.51,136651,0.0,1.0
2023-11-20,129.77,131.455,129.47,130.69,130.69,104260,0.0,1.0
2023-11-17,128.51,130.72,126.3901,129.09,129.09,147565,0.0,1.0
2023-11-16,127.56,128.56,124.0515,127.31,127.31,129249,0.0,1.0
2023-11-15,128.05,130.57,127.5,128.74,128.74,86232,0.0,1.0
2023-11-14,127.61,129.15,126.47,128.38,128.38,118931,0.0,1.0
2023-11-13,125.43,128.26,125.015,126.38,126.38,127941,0.0,1.0
2023-11-10,126.08,126.57,123.91,124.17,124.17,92055,0.0,1.0
2023-11-09,127.0,129.45,124.5875,124.91,124.91,140457,0.0,1.0
2023-11-08,125.78,128.14,124.07,126.8,126.8,163992,0.0,1.0
2023-11-07,126.26,127.432,122.0008,126.41,126.41,176550,0.0,1.0
2023-11-06,132.55,133.44,127.15,128.1,128.1,181429,0.0,1.0
2023-11-03,134.33,134.69,130.73,133.17,133.17,207353,0.0,1.0
2023-11-02,132.56,134.84,129.12,133.63,133.63,257559,0.0,1.0
2023-11-01,121.8,131.2134,121.8,129.96,129.96,347453,0.0,1.0
2023-10-31,123.29,126.11,122.51,123.61,123.61,138273,0.0,1.0
2023-10-30,123.42,124.9069,120.54,122.76,122.76,78637,0.0,1.0
2023-10-27,124.96,125.25,121.86,123.93,123.93,76448,0.0,1.0
2023-10-26,123.62,125.42,122.42,124.79,124.79,130699,0.0,1.0
2023-10-25,125.63,126.39,123.83,124.19,124.19,111592,0.0,1.0
2023-10-24,125.07,126.3,124.3644,125.45,125.45,100952,0.0,1.0
2023-10-23,124.7,126.53,123.52,125.27,125.27,146939,0.0,1.0
2023-10-20,126.43,127.15,124.06,126.02,126.02,108341,0.0,1.0
2023-10-19,125.94,129.56,125.94,126.62,126.62,131803,0.0,1.0
2023-10-18,127.16,128.355,125.8,127.51,127.51,149735,0.0,1.0
2023-10-17,122.11,126.345,121.84,126.02,126.02,224816,0.0,1.0
2023-10-16,122.91,123.65,121.4,122.68,122.68,71295,0.0,1.0
2023-10-13,124.91,125.9,122.3,122.35,122.35,103213,0.0,1.0
2023-10-12,125.01,125.01,121.38,122.63,122.63,120426,0.0,1.0
2023-10-11,121.84,123.74,120.38,123.4,123.4,99807,0.0,1.0
2023-10-10,125.55,127.22,123.57,123.6,123.6,118536,0.0,1.0
2023-10-09,123.24,125.74,121.8,125.69,125.69,215492,0.0,1.0
2023-10-06,117.74,122.38,117.74,120.97,120.97,149423,0.0,1.0
2023-10-05,112.9,118.095,112.25,116.99,116.99,181118,0.0,1.0
2023-10-04,115.04,115.69,111.515,113.71,113.71,152933,0.0,1.0
2023-10-03,117.03,117.225,113.92,116.36,116.36,294447,0.0,1.0
2023-10-02,118.86,118.86,113.11,117.21,117.21,267532,0.0,1.0
2023-09-29,120.47,120.865,117.79,118.66,118.66,140680,0.0,1.0
2023-09-28,118.36,121.21,117.85,120.92,120.92,258539,0.0,1.0
2023-09-27,116.47,119.35,115.5,118.58,118.58,203696,0.0,1.0
2023-09-26,112.12,114.76,110.97,113.45,113.45,205237,0.0,1.0
2023-09-25,111.54,114.01,110.42,113.39,113.39,209403,0.0,1.0
2023-09-22,111.29,112.765,110.42,111.54,111.54,148126,0.0,1.0
2023-09-21,114.84,115.74,110.63,111.02,111.02,214216,0.0,1.0
2023-09-20,112.9,115.005,111.54,111.95,111.95,127390,0.0,1.0
2023-09-19,116.36,116.89,112.8,113.56,113.56,116829,0.0,1.0
2023-09-18,115.76,117.2999,113.02,114.96,114.96,152171,0.0,1.0
2023-09-15,119.0,119.9,115.89,115.9,115.9,438168,0.0,1.0
2023-09-14,122.03,123.15,119.82,119.94,119.94,121144,0.0,1.0
2023-09-13,125.28,125.28,119.71,120.05,120.05,200131,0.0,1.0
2023-09-12,119.07,122.65,119.07,121.75,121.75,228065,0.0,1.0
2023-09-11,123.12,123.12,115.63,117.29,117.29,171622,0.0,1.0
2023-09-08,119.31,122.27,118.22,120.59,120.59,99179,0.0,1.0
2023-09-07,120.58,121.92,119.45,119.52,119.52,222444,0.0,1.0
2023-09-06,122.65,124.43,119.02,120.71,120.71,254304,0.0,1.0
2023-09-05,122.27,124.79,122.23,123.1,123.1,189227,0.0,1.0
2023-09-01,119.63,124.58,119.63,123.44,123.44,208148,0.0,1.0
2023-08-31,114.86,118.69,114.01,118.0,118.0,235094,0.0,1.0
2023-08-30,115.77,115.8,113.95,114.45,114.45,128034,0.0,1.0
2023-08-29,114.81,115.28,113.33,114.6,114.6,95441,0.0,1.0
2023-08-28,115.85,116.04,113.39,114.52,114.52,87681,0.0,1.0
2023-08-25,114.08,114.15,112.4301,113.72,113.72,155694,0.0,1.0
2023-08-24,110.8,114.1,110.51,112.5,112.5,230424,0.0,1.0
2023-08-23,110.5,112.64,110.36,111.57,111.57,128450,0.0,1.0
2023-08-22,113.05,113.6,110.02,110.92,110.92,136923,0.0,1.0
2023-08-21,111.9,111.9,108.84,111.28,111.28,116323,0.0,1.0
2023-08-18,110.4,112.12,110.4,110.79,110.79,96126,0.0,1.0
2023-08-17,111.87,113.96,109.3,111.61,111.61,156653,0.0,1.0
2023-08-16,114.01,114.41,111.06,111.3,111.3,133413,0.0,1.0
2023-08-15,112.33,112.61,110.0,112.23,112.23,94541,0.0,1.0
2023-08-14,113.41,114.28,111.69,113.1,113.1,218415,0.0,1.0
2023-08-11,112.52,114.08,111.49,113.99,113.99,197072,0.0,1.0
2023-08-10,113.12,114.88,111.65,112.88,112.88,253823,0.0,1.0
2023-08-09,110.0,112.6,107.8,112.59,112.59,321855,0.0,1.0
2023-08-08,103.75,108.49,103.46,108.02,108.02,191137,0.0,1.0
2023-08-07,106.83,107.485,103.87,105.39,105.39,160825,0.0,1.0
2023-08-04,104.02,108.54,103.6,107.0,107.0,236163,0.0,1.0
2023-08-03,103.83,106.045,102.75,103.69,103.69,233611,0.0,1.0
2023-08-02,101.31,105.345,101.31,102.75,102.75,325339,0.0,1.0
2023-08-01,101.87,104.41,101.085,103.74,103.74,181837,0.0,1.0
2023-07-31,103.87,104.23,101.2,102.45,102.45,131454,0.0,1.0
2023-07-28,99.63,102.99,98.75,102.98,102.98,177316,0.0,1.0
2023-07-27,103.34,103.49,98.69,99.19,99.19,85500,0.0,1.0
2023-07-26,102.07,103.49,102.07,102.52,102.52,77111,0.0,1.0
2023-07-25,103.57,104.6754,102.19,102.26,102.26,102851,0.0,1.0
2023-07-24,105.97,106.74,102.84,103.45,103.45,143510,0.0,1.0
2023-07-21,104.91,106.53,104.25,106.41,106.41,75743,0.0,1.0
2023-07-20,103.36,104.795,102.42,104.41,104.41,116751,0.0,1.0
2023-07-19,104.13,104.4,100.92,101.96,101.96,149962,0.0,1.0
2023-07-18,105.34,106.99,104.31,104.4,104.4,146811,0.0,1.0
2023-07-17,104.71,106.02,103.67,104.94,104.94,143457,0.0,1.0
2023-07-14,106.55,106.55,103.0,104.01,104.01,153945,0.0,1.0
2023-07-13,106.46,110.02,104.93,106.7,106.7,318191,0.0,1.0
2023-07-12,106.39,106.65,104.04,105.75,105.75,138909,0.0,1.0
2023-07-11,104.6,107.62,104.6,105.59,105.59,104872,0.0,1.0
2023-07-10,104.37,104.795,102.095,104.11,104.11,149206,0.0,1.0
2023-07-07,103.27,105.975,102.32,104.05,104.05,161215,0.0,1.0
2023-07-06,104.7,105.46,99.8,103.48,103.48,164906,0.0,1.0
2023-07-05,105.03,105.45,103.835,105.08,105.08,147721,0.0,1.0
2023-07-03,104.65,105.43,103.76,104.04,104.04,60114,0.0,1.0
2023-06-30,104.03,106.68,102.61,105.07,105.07,154356,0.0,1.0
2023-06-29,100.41,104.37,100.35,103.46,103.46,296538,0.0,1.0
2023-06-28,97.99,100.635,97.42,100.39,100.39,286459,0.0,1.0
2023-06-27,96.1,98.76,94.57,98.22,98.22,204349,0.0,1.0
2023-06-26,97.97,99.37,96.07,96.32,96.32,227442,0.0,1.0
2023-06-23,93.79,97.49,93.665,97.27,97.27,676313,0.0,1.0
2023-06-22,100.68,101.56,94.83,95.95,95.95,1522005,0.0,1.0
2023-06-21,104.59,109.94,104.59,107.88,107.88,168869,0.0,1.0
2023-06-20,104.46,104.46,102.58,104.46,104.46,92893,0.0,1.0
2023-06-16,103.44,105.12,101.19,104.37,104.37,208888,0.0,1.0
2023-06-15,100.25,101.58,99.71,101.56,101.56,155799,0.0,1.0
2023-06-14,99.57,100.87,98.37,100.0,100.0,101269,0.0,1.0
2023-06-13,99.74,101.37,98.91,99.06,99.06,69570,0.0,1.0
2023-06-12,99.38,100.17,98.0,98.61,98.61,68574,0.0,1.0
2023-06-09,101.41,102.96,100.71,101.04,101.04,64365,0.0,1.0
2023-06-08,102.55,103.2,99.83,101.92,101.92,131680,0.0,1.0
2023-06-07,99.34,103.28,99.34,102.75,102.75,195783,0.0,1.0
2023-06-06,96.37,98.98,96.37,98.91,98.91,101666,0.0,1.0
2023-06-05,99.79,99.79,97.105,97.39,97.39,59600,0.0,1.0
2023-06-02,97.95,99.8,97.715,98.63,98.63,119959,0.0,1.0
2023-06-01,97.42,99.16,96.13,96.36,96.36,70398,0.0,1.0
2023-05-31,97.02,99.73,96.355,97.02,97.02,196596,0.0,1.0
2023-05-30,99.35,99.35,95.83,97.65,97.65,97885,0.0,1.0
2023-05-26,100.53,100.71,98.57,99.37,99.37,105659,0.0,1.0
2023-05-25,100.7,101.72,99.24,99.88,99.88,98006,0.0,1.0
2023-05-24,100.68,103.2,98.1744,102.42,102.42,114227,0.0,1.0
2023-05-23,100.37,101.53,99.55,99.8,99.8,105709,0.0,1.0
2023-05-22,102.81,103.78,99.25,99.79,99.79,120147,0.0,1.0
2023-05-19,104.84,104.98,101.13,102.71,102.71,191361,0.0,1.0
2023-05-18,97.3,101.89,96.55,101.55,101.55,181651,0.0,1.0
2023-05-17,97.27,98.425,95.62,97.42,97.42,91134,0.0,1.0
2023-05-16,97.24,98.165,95.31,96.0,96.0,111193,0.0,1.0
2023-05-15,96.91,98.72,96.02,96.94,96.94,198446,0.0,1.0
2023-05-12,92.57,95.87,91.71,95.82,95.82,118202,0.0,1.0
2023-05-11,91.36,92.91,91.12,91.9,91.9,72903,0.0,1.0
2023-05-10,92.93,93.45,91.54,92.36,92.36,129753,0.0,1.0
2023-05-09,91.23,95.06,91.23,92.45,92.45,155076,0.0,1.0
2023-05-08,92.23,92.9,90.4,91.18,91.18,127068,0.0,1.0
2023-05-05,88.71,91.64,88.71,90.53,90.53,152092,0.0,1.0
2023-05-04,90.36,92.15,85.79,86.56,86.56,179109,0.0,1.0
2023-05-03,83.38,89.72,83.38,88.41,88.41,232957,0.0,1.0
2023-05-02,83.67,83.67,81.32,81.59,81.59,87042,0.0,1.0
2023-05-01,88.99,90.615,83.05,84.53,84.53,215380,0.0,1.0
2023-04-28,85.74,91.65,85.74,90.46,90.46,156592,0.0,1.0
