,CA_Open,CA_High,CA_Low,CA_Close,CA_Adj Close,CA_Volume,CA_Dividend Amount,CA_Split Coefficient
2024-05-13,25.025,25.025,25.025,25.025,24.6446177961396,2,0.0,1.0
2024-05-10,25.01,25.01,25.01,25.01,24.6298457974606,2,0.0,1.0
2024-05-09,25.06,25.06,25.04,25.04,24.6593897948186,102,0.0,1.0
2024-05-08,25.06,25.06,25.035,25.035,24.6544657952589,181,0.0,1.0
2024-05-07,25.03,25.03,25.01,25.01,24.6298457974606,299,0.0,1.0
2024-05-06,24.97,24.97,24.945,24.945,24.5658338031849,102,0.0,1.0
2024-05-03,24.91,24.91,24.885,24.885,24.5067458084689,101,0.0,1.0
2024-05-02,24.87,24.87,24.845,24.845,24.4673538119915,100,0.0,1.0
2024-05-01,24.8153,24.8153,24.8153,24.8153,24.4381052546071,9,0.0622,1.0
2024-04-30,24.8459,24.8459,24.8459,24.8459,24.4070437626195,9,0.0,1.0
2024-04-29,24.8659,24.8659,24.8659,24.8659,24.4266905001196,5,0.0,1.0
2024-04-26,24.845,24.845,24.845,24.845,24.406159659432,2,0.0,1.0
2024-04-25,24.82,24.82,24.82,24.82,24.381601237557,2,0.0,1.0
2024-04-24,24.92,24.92,24.92,24.92,24.4798349250572,12,0.0,1.0
2024-04-23,24.9459,24.9459,24.9459,24.9459,24.5052774501197,1,0.0,1.0
2024-04-22,24.9,24.9,24.845,24.845,24.406159659432,100,0.0,1.0
2024-04-19,24.89,24.89,24.84,24.84,24.401247975057,400,0.0,1.0
2024-04-18,24.91,24.96,24.91,24.96,24.5191284000573,303,0.0,1.0
2024-04-17,24.915,24.915,24.915,24.915,24.4749232406822,0,0.0,1.0
2024-04-16,24.89,24.89,24.89,24.89,24.4503648188071,3,0.0,1.0
2024-04-15,24.896,24.896,24.896,24.896,24.4562588400571,3,0.0,1.0
2024-04-12,24.9131,24.9131,24.9131,24.9131,24.4730568006197,2,0.0,1.0
2024-04-11,24.855,24.855,24.855,24.855,24.415983028182,24,0.0,1.0
2024-04-10,24.86,24.86,24.845,24.845,24.406159659432,518,0.0,1.0
2024-04-09,24.98,24.98,24.9613,24.9613,24.5204054379948,112,0.0,1.0
2024-04-08,24.98,24.98,24.98,24.98,24.5387751375573,167,0.0,1.0
2024-04-05,24.895,24.895,24.895,24.895,24.4552765031821,1598,0.0,1.0
2024-04-04,24.99,25.05,24.99,25.05,24.6075387188075,139,0.0,1.0
2024-04-03,24.92,24.92,24.92,24.92,24.4798349250572,18,0.0,1.0
2024-04-02,25.0,25.0,25.0,25.0,24.5584218750574,2,0.0,1.0
2024-04-01,25.07,25.07,25.07,25.07,24.6271854563075,1351,0.0644,1.0
2024-03-28,25.2294,25.2294,25.2294,25.2294,24.720229006549,1351,0.0,1.0
2024-03-27,25.21,25.21,25.21,25.21,24.7012205306151,1,0.0,1.0
