,ZBH_Open,ZBH_High,ZBH_Low,ZBH_Close,ZBH_Adj Close,ZBH_Volume,ZBH_Dividend Amount,ZBH_Split Coefficient
2024-07-11,107.11,109.29,107.11,108.19,107.95,1140709,0.0,1.0
2024-07-10,105.65,107.03,105.535,106.9,106.662861632314,732786,0.0,1.0
2024-07-09,106.63,107.0,105.37,105.76,105.525390516684,1360405,0.0,1.0
2024-07-08,107.84,108.39,106.14,106.39,106.153992975321,1651108,0.0,1.0
2024-07-05,106.82,108.16,106.17,108.01,107.770399297532,1044979,0.0,1.0
2024-07-03,106.47,107.33,106.21,106.58,106.343571494593,635871,0.0,1.0
2024-07-02,105.87,106.69,105.37,106.27,106.034259173676,1853489,0.0,1.0
2024-07-01,107.01,108.905,105.82,105.96,105.724946852759,2677168,0.0,1.0
2024-06-28,108.55,109.58,107.38,108.53,108.289245771328,2774589,0.0,1.0
2024-06-27,108.12,108.64,107.42,108.38,108.139578519272,2052551,0.0,1.0
2024-06-26,107.7,109.21,107.61,108.11,107.87017746557,2005974,0.24,1.0
2024-06-25,108.14,109.12,107.56,108.22,107.740753164042,1339095,0.0,1.0
2024-06-24,108.26,109.86,107.67,108.46,107.979690336093,1599985,0.0,1.0
2024-06-21,106.7,108.06,106.0,107.86,107.382347405966,3445022,0.0,1.0
2024-06-20,105.57,106.81,105.38,106.25,105.779477210123,1887623,0.0,1.0
2024-06-18,107.05,107.45,105.91,106.69,106.217528692216,1753164,0.0,1.0
2024-06-17,106.12,107.16,106.12,107.03,106.556023019289,1579398,0.0,1.0
2024-06-14,106.68,107.3,106.01,107.19,106.715314467323,1611412,0.0,1.0
2024-06-13,107.0,107.7,106.17,106.97,106.496288726276,1470959,0.0,1.0
2024-06-12,110.32,111.0,106.8,107.45,106.974163070378,2996456,0.0,1.0
2024-06-11,112.74,112.74,106.17,109.23,108.746280429757,3036000,0.0,1.0
2024-06-10,112.83,113.25,111.44,112.88,112.380116588034,1214510,0.0,1.0
2024-06-07,113.12,113.87,112.6,113.34,112.838079501132,1070254,0.0,1.0
2024-06-06,112.5,113.8578,112.07,113.37,112.867946647639,902271,0.0,1.0
2024-06-05,113.43,113.83,112.1101,112.64,112.141179415983,918090,0.0,1.0
2024-06-04,113.01,114.515,112.75,113.44,112.937636656154,1186651,0.0,1.0
2024-06-03,114.5,115.82,112.95,113.12,112.619053760085,1662962,0.0,1.0
2024-05-31,114.37,115.19,113.7507,115.15,114.640064007018,3003146,0.0,1.0
2024-05-30,115.46,116.22,114.37,114.44,113.933208206367,1731064,0.0,1.0
2024-05-29,115.2,116.86,114.61,115.14,114.630108291516,1930661,0.0,1.0
2024-05-28,116.51,117.445,115.64,116.33,115.814838436269,1210971,0.0,1.0
2024-05-24,116.02,116.53,115.435,116.41,115.894484160286,1084246,0.0,1.0
2024-05-23,118.73,119.057,115.78,115.85,115.336964092167,1030777,0.0,1.0
2024-05-22,119.11,120.13,118.81,119.33,118.801553086908,954528,0.0,1.0
2024-05-21,119.38,119.67,118.95,119.0,118.473014475337,776624,0.0,1.0
2024-05-20,120.05,120.0913,118.94,119.05,118.522793052848,1152705,0.0,1.0
2024-05-17,121.3,121.3,119.555,120.18,119.647788904589,1185820,0.0,1.0
2024-05-16,121.07,122.17,120.7,121.23,120.693139032312,970804,0.0,1.0
2024-05-15,120.58,121.19,120.08,120.98,120.444246144759,1153965,0.0,1.0
2024-05-14,119.95,120.51,118.33,119.97,119.438718879044,1348678,0.0,1.0
2024-05-13,121.59,122.25,119.11,119.59,119.060401689963,1180933,0.0,1.0
2024-05-10,121.39,122.22,120.985,121.31,120.772784756329,772709,0.0,1.0
2024-05-09,121.14,121.66,120.55,121.44,120.902209057857,667801,0.0,1.0
2024-05-08,121.12,121.285,120.0,120.85,120.314821843231,1256700,0.0,1.0
2024-05-07,121.13,122.18,120.6,121.43,120.892253342355,1358505,0.0,1.0
2024-05-06,122.0,122.25,119.58,120.56,120.02610609367,1293796,0.0,1.0
2024-05-03,119.49,121.92,119.3501,121.66,121.121234798904,1847585,0.0,1.0
2024-05-02,121.99,123.96,117.595,118.46,117.935405838222,2931807,0.0,1.0
2024-05-01,118.09,121.2,116.93,119.56,119.030534543457,2710471,0.0,1.0
2024-04-30,120.93,121.41,120.26,120.28,119.74734605961,1429080,0.0,1.0
2024-04-29,119.4,121.76,119.4,121.71,121.171013376414,1195031,0.0,1.0
2024-04-26,119.49,119.94,118.66,119.35,118.821464517912,1099241,0.0,1.0
2024-04-25,120.71,121.35,118.77,119.75,119.219693137997,1078820,0.0,1.0
2024-04-24,121.55,122.415,121.01,121.17,120.633404739299,978733,0.0,1.0
2024-04-23,120.63,121.62,120.265,121.52,120.981854781874,742806,0.0,1.0
2024-04-22,120.26,121.41,119.18,120.78,120.245131834716,918343,0.0,1.0
2024-04-19,119.9,120.145,118.99,119.43,118.901110241929,1301616,0.0,1.0
2024-04-18,121.45,121.45,118.625,119.33,118.801553086908,1442392,0.0,1.0
2024-04-17,122.87,122.87,120.04,121.3,120.762829040827,1521635,0.0,1.0
2024-04-16,123.96,124.32,121.4,122.07,121.529419134491,1628505,0.0,1.0
2024-04-15,126.0,127.32,123.96,124.0,123.450872226402,1052751,0.0,1.0
2024-04-12,126.4,127.1,123.705,124.48,123.928746570504,1048564,0.0,1.0
2024-04-11,128.55,128.55,126.98,127.52,126.955284083151,1086577,0.0,1.0
2024-04-10,127.81,127.94,126.39,127.72,127.154398393194,823294,0.0,1.0
2024-04-09,127.36,129.495,126.55,129.4,128.826958597552,1202247,0.0,1.0
2024-04-08,127.31,127.63,126.585,126.69,126.128959696475,1087763,0.0,1.0
2024-04-05,127.53,128.07,126.15,127.33,126.766125488611,789184,0.0,1.0
2024-04-04,130.89,130.89,127.43,127.56,126.99510694516,1027868,0.0,1.0
2024-04-03,128.5,130.5,128.5,130.01,129.434257243182,1368982,0.0,1.0
2024-04-02,129.25,129.3,127.57,128.47,127.901077055854,1056086,0.0,1.0
2024-04-01,131.61,131.61,129.68,129.75,129.175408640126,727765,0.0,1.0
2024-03-28,132.93,133.9,131.6,131.98,131.395533197101,1425289,0.0,1.0
2024-03-27,128.52,132.63,128.51,132.61,132.022743273735,1806704,0.24,1.0
2024-03-26,128.37,128.6125,127.85,127.87,127.073753725348,1080443,0.0,1.0
2024-03-25,127.92,128.475,127.6075,127.91,127.113504645416,1242417,0.0,1.0
2024-03-22,127.27,127.65,125.88,127.2,126.40792581422,1419231,0.0,1.0
2024-03-21,126.99,127.5,126.14,127.07,126.278735324001,747044,0.0,1.0
2024-03-20,126.24,127.35,125.88,126.53,125.742097903092,1069238,0.0,1.0
2024-03-19,126.0,126.75,124.91,126.66,125.871288393311,949289,0.0,1.0
2024-03-18,125.27,126.31,125.1,125.96,125.175647292132,972376,0.0,1.0
2024-03-15,124.38,125.68,124.38,125.17,124.390566620801,2672395,0.0,1.0
2024-03-14,126.26,126.94,125.045,125.73,124.947079501744,1202960,0.0,1.0
2024-03-13,128.24,128.47,126.47,126.59,125.801724283193,836123,0.0,1.0
2024-03-12,127.62,128.42,127.12,128.21,127.411636545921,1071910,0.0,1.0
2024-03-11,126.7,128.36,126.17,128.04,127.242695135635,1079437,0.0,1.0
2024-03-08,126.98,128.1499,126.4,126.74,125.950790233445,1395172,0.0,1.0
2024-03-07,126.63,128.14,126.24,127.36,126.566929494489,1057909,0.0,1.0
2024-03-06,125.02,126.8073,124.83,125.83,125.046456801913,753094,0.0,1.0
2024-03-05,125.92,126.36,124.42,124.78,124.002995150144,1308347,0.0,1.0
2024-03-04,123.76,126.465,122.49,125.51,124.728449441374,1658536,0.0,1.0
2024-03-01,124.05,124.92,123.635,124.01,123.237789938848,740134,0.0,1.0
2024-02-29,124.22,124.84,122.895,124.36,123.585610489437,2415826,0.0,1.0
2024-02-28,125.94,126.0,123.71,124.13,123.35704269905,1415737,0.0,1.0
2024-02-27,126.62,127.0624,126.08,126.37,125.583094222822,840233,0.0,1.0
2024-02-26,128.87,129.2,126.86,126.88,126.089918453681,1659666,0.0,1.0
2024-02-23,128.63,129.515,128.08,129.18,128.375596357555,1023534,0.0,1.0
2024-02-22,128.0,129.119,127.075,128.54,127.739581636477,1410614,0.0,1.0
2024-02-21,125.09,128.8531,124.41,128.35,127.550764766157,2217300,0.0,1.0
2024-02-20,124.94,125.94,122.58,124.98,124.201749750481,1388804,0.0,1.0
2024-02-16,124.15,125.96,124.02,124.71,123.933431040027,1455459,0.0,1.0
2024-02-15,122.16,124.5,122.16,124.4,123.625361409504,1571062,0.0,1.0
2024-02-14,123.42,124.18,121.59,121.84,121.081302525193,1754566,0.0,1.0
2024-02-13,125.0,125.6325,122.31,123.16,122.393082887416,1317620,0.0,1.0
2024-02-12,122.91,126.02,122.835,125.85,125.066332261946,1836756,0.0,1.0
2024-02-09,123.9,125.31,121.17,122.8,122.03532460681,3355614,0.0,1.0
2024-02-08,120.67,124.528,119.13,123.04,122.273830127214,4306794,0.0,1.0
2024-02-07,127.86,128.49,127.235,127.55,126.755746364809,2073649,0.0,1.0
2024-02-06,125.25,127.62,125.25,127.6,126.805435014894,1828637,0.0,1.0
2024-02-05,126.08,126.89,125.15,125.36,124.579383491121,1180023,0.0,1.0
2024-02-02,126.91,127.4,125.6,126.32,125.533405572738,1058527,0.0,1.0
2024-02-01,125.43,127.25,124.135,127.25,126.457614464304,1434458,0.0,1.0
2024-01-31,124.02,127.454,124.02,125.6,124.817889011525,2460104,0.0,1.0
2024-01-30,122.87,123.195,121.9,122.37,121.608002216086,1448665,0.0,1.0
2024-01-29,121.25,122.93,120.94,122.92,122.154577367012,1261065,0.0,1.0
2024-01-26,122.84,123.11,121.57,121.69,120.932236574941,982774,0.0,1.0
2024-01-25,119.98,121.96,119.98,121.96,121.200555285395,1127570,0.0,1.0
2024-01-24,121.06,121.31,119.455,120.52,119.76952216297,2356024,0.0,1.0
2024-01-23,124.27,125.0,120.43,121.08,120.326035043913,1996283,0.0,1.0
2024-01-22,123.69,124.16,122.48,122.59,121.826632276456,1405440,0.0,1.0
2024-01-19,123.92,124.05,122.02,123.36,122.591837487753,1562921,0.0,1.0
2024-01-18,123.2,124.54,122.475,123.83,123.058910798545,1801631,0.0,1.0
2024-01-17,122.03,122.58,121.16,122.23,121.46887399585,1128373,0.0,1.0
2024-01-16,121.91,122.69,121.17,122.64,121.87632092654,1450431,0.0,1.0
2024-01-12,123.69,124.75,122.35,123.07,122.303643317265,1735839,0.0,1.0
2024-01-11,123.23,124.81,122.185,122.38,121.617939946103,1643164,0.0,1.0
2024-01-10,121.7,123.67,121.62,123.23,122.462646997534,1679991,0.0,1.0
2024-01-09,121.63,124.27,120.66,121.87,121.111115715244,2921871,0.0,1.0
2024-01-08,120.63,122.78,120.515,121.97,121.210493015412,1427554,0.0,1.0
2024-01-05,119.72,121.295,119.69,119.98,119.232884742061,1372185,0.0,1.0
2024-01-04,119.9,120.88,119.4,120.2,119.451514802431,2099400,0.0,1.0
2024-01-03,120.93,121.3,119.72,120.47,119.719833512886,2325450,0.0,1.0
2024-01-02,121.02,122.4,120.72,121.39,120.634104674435,1087454,0.0,1.0
2023-12-29,121.46,122.4,121.24,121.7,120.942174304957,849769,0.0,1.0
2023-12-28,120.93,122.08,120.9,121.63,120.872610194839,662236,0.0,1.0
2023-12-27,121.2,121.79,120.8,121.13,120.375723693997,1053704,0.0,1.0
2023-12-26,120.22,121.92,120.2,121.42,120.663917864486,1870741,0.24,1.0
2023-12-22,120.3,121.09,119.91,120.56,119.572924032076,1337787,0.0,1.0
2023-12-21,120.57,121.16,119.085,119.65,118.670374588901,1971160,0.0,1.0
2023-12-20,120.38,120.45,119.1,120.0,119.017508990122,3205423,0.0,1.0
2023-12-19,118.71,120.02,118.51,119.97,118.987754612875,1488867,0.0,1.0
2023-12-18,118.84,119.31,118.21,118.8,117.827333900221,2074979,0.0,1.0
2023-12-15,118.0,118.98,117.305,118.69,117.71823451698,4073985,0.0,1.0
2023-12-14,119.09,120.3325,118.43,118.53,117.559544504993,2049011,0.0,1.0
2023-12-13,117.34,118.15,116.5,117.9,116.934702582795,2301313,0.0,1.0
2023-12-12,118.31,118.31,116.95,117.45,116.488386924082,2051339,0.0,1.0
2023-12-11,117.17,118.2725,116.96,117.98,117.014047588789,2066272,0.0,1.0
2023-12-08,117.31,117.76,116.76,117.3,116.339615037845,1357927,0.0,1.0
2023-12-07,116.56,117.59,115.59,117.29,116.329696912095,1141292,0.0,1.0
2023-12-06,116.36,116.59,115.29,116.13,115.179194325191,1302851,0.0,1.0
2023-12-05,116.36,116.36,114.64,115.82,114.871732426966,1028383,0.0,1.0
2023-12-04,117.3,118.87,116.64,116.89,115.932971882128,1534033,0.0,1.0
2023-12-01,117.31,118.16,115.9,117.97,117.00412946304,1503062,0.0,1.0
2023-11-30,114.13,116.49,113.58,116.31,115.357720588676,2678238,0.0,1.0
2023-11-29,113.5,114.96,113.27,113.92,112.987288534623,1311230,0.0,1.0
2023-11-28,113.69,113.77,112.71,113.09,112.164084097441,1212846,0.0,1.0
2023-11-27,113.08,114.027,112.84,113.84,112.907943528629,1301404,0.0,1.0
2023-11-24,113.8,114.17,113.22,113.43,112.501300372913,605490,0.0,1.0
2023-11-22,113.82,114.8,113.2,113.83,112.89802540288,1246158,0.0,1.0
2023-11-21,112.98,113.245,112.36,112.9,111.975639708207,1629299,0.0,1.0
2023-11-20,111.62,112.65,111.34,112.5,111.57891467824,1345366,0.0,1.0
2023-11-17,112.35,112.655,111.325,111.67,110.755710241058,2991438,0.0,1.0
2023-11-16,110.76,111.984,110.33,111.55,110.636692732068,2300738,0.0,1.0
2023-11-15,108.07,111.05,108.07,110.5,109.595289528404,3648663,0.0,1.0
2023-11-14,107.44,109.155,107.12,108.07,107.185184971354,1909655,0.0,1.0
2023-11-13,106.55,108.515,105.74,105.82,104.95360667779,1702218,0.0,1.0
2023-11-10,104.57,105.78,102.73,105.42,104.556881647823,1966493,0.0,1.0
2023-11-09,105.35,105.59,103.43,104.12,103.26752530043,1729060,0.0,1.0
2023-11-08,105.96,106.48,103.97,104.86,104.001466605869,1524691,0.0,1.0
2023-11-07,106.14,108.39,104.62,105.93,105.062706061031,2699213,0.0,1.0
2023-11-06,108.51,109.44,107.8,109.3,108.405114438503,2443831,0.0,1.0
2023-11-03,110.69,111.31,107.78,108.75,107.859617522298,2140131,0.0,1.0
2023-11-02,105.86,110.82,105.76,110.2,109.297745755929,3030502,0.0,1.0
2023-11-01,104.52,105.21,103.51,105.07,104.209747246601,1503060,0.0,1.0
2023-10-31,104.0,105.17,103.49,104.41,103.555150947156,1382044,0.0,1.0
2023-10-30,103.76,104.1,102.33,103.41,102.563338372238,1309858,0.0,1.0
2023-10-27,104.0,104.81,102.71,103.19,102.345139605756,1534540,0.0,1.0
2023-10-26,103.52,104.38,102.98,103.12,102.275712725512,1197764,0.0,1.0
2023-10-25,104.7,104.75,103.22,103.64,102.791455264469,1698543,0.0,1.0
2023-10-24,104.95,105.5331,104.1671,104.84,103.98163035437,1542010,0.0,1.0
2023-10-23,104.53,106.32,104.53,105.16,104.299010378344,1698226,0.0,1.0
2023-10-20,104.06,105.62,103.7,104.56,103.703922833393,1294020,0.0,1.0
2023-10-19,105.94,107.285,104.72,104.81,103.951875977123,1412186,0.0,1.0
2023-10-18,106.59,108.1,105.59,106.19,105.320577330509,1397549,0.0,1.0
2023-10-17,104.37,108.02,104.09,106.59,105.717302360476,1455023,0.0,1.0
2023-10-16,105.08,105.43,103.68,105.05,104.189910995103,1284429,0.0,1.0
2023-10-13,102.33,104.77,102.0,104.3,103.446051563915,1556643,0.0,1.0
2023-10-12,105.35,106.06,102.05,102.72,101.878987695545,2906627,0.0,1.0
2023-10-11,111.02,111.02,104.16,105.35,104.487454767578,3841322,0.0,1.0
2023-10-10,110.66,112.95,110.22,112.19,111.271452780015,999422,0.0,1.0
2023-10-09,110.27,111.135,109.7967,110.69,109.783733917639,865889,0.0,1.0
2023-10-06,108.75,111.7,108.2,110.91,110.001932684121,1570494,0.0,1.0
2023-10-05,110.04,110.35,108.2,109.3,108.405114438503,1048202,0.0,1.0
2023-10-04,110.58,110.99,108.1,109.69,108.791921342721,1597561,0.0,1.0
2023-10-03,110.66,111.29,108.63,110.32,109.416763264919,1850374,0.0,1.0
2023-10-02,111.35,111.93,110.85,111.42,110.507757097329,1445430,0.0,1.0
2023-09-29,113.16,114.15,111.77,112.22,111.301207157263,1987046,0.0,1.0
2023-09-28,111.0,114.34,110.96,112.46,111.539242175243,1939050,0.24,1.0
2023-09-27,112.62,112.8,108.52,110.76,109.619223277107,3121313,0.0,1.0
2023-09-26,116.77,117.11,112.42,112.46,111.301714064133,3610515,0.0,1.0
2023-09-25,116.78,117.615,116.505,117.35,116.141349327993,886673,0.0,1.0
2023-09-22,117.27,117.635,116.37,116.85,115.646499096514,1267357,0.0,1.0
2023-09-21,119.88,119.9,117.77,117.8,116.586714536323,1489201,0.0,1.0
2023-09-20,122.35,122.44,120.16,120.31,119.070862698345,1055928,0.0,1.0
2023-09-19,122.0,122.35,120.78,121.61,120.357473300189,970189,0.0,1.0
2023-09-18,121.31,123.01,121.22,122.03,120.773147494631,1580886,0.0,1.0
2023-09-15,121.39,123.07,120.825,121.31,120.060563161302,2547091,0.0,1.0
2023-09-14,120.92,122.01,120.42,121.62,120.367370304819,996579,0.0,1.0
2023-09-13,121.28,121.83,120.5,120.63,119.387566846491,1160939,0.0,1.0
2023-09-12,122.42,122.98,121.31,121.43,120.179327216857,957111,0.0,1.0
2023-09-11,121.22,123.35,121.0275,122.44,121.178924684443,1285958,0.0,1.0
2023-09-08,120.37,121.57,119.82,120.65,119.40736085575,1104475,0.0,1.0
2023-09-07,123.77,123.77,120.03,120.51,119.268802790936,1816447,0.0,1.0
2023-09-06,117.77,123.66,117.5,122.67,121.406555790923,3625247,0.0,1.0
2023-09-05,119.56,120.04,117.8,117.81,116.596611540953,1645019,0.0,1.0
2023-09-01,119.61,119.795,118.11,119.45,118.219720300202,1463339,0.0,1.0
2023-08-31,120.63,121.09,119.12,119.12,117.893119147426,2745974,0.0,1.0
2023-08-30,119.3,120.88,118.73,120.24,119.001583665938,2017978,0.0,1.0
2023-08-29,117.93,119.42,117.14,119.23,118.001986198352,2213769,0.0,1.0
2023-08-28,119.0,119.2977,116.04,117.53,116.319495411325,2658507,0.0,1.0
2023-08-25,114.58,115.78,114.16,115.24,114.053081351154,1456737,0.0,1.0
2023-08-24,114.89,115.33,113.99,114.32,113.142556925233,1953143,0.0,1.0
2023-08-23,116.55,116.81,114.3799,114.85,113.6670981706,2755237,0.0,1.0
2023-08-22,117.4,118.105,114.75,115.75,114.557828587262,3648941,0.0,1.0
2023-08-21,119.44,120.54,119.02,120.35,119.110450716863,1248085,0.0,1.0
2023-08-18,119.09,119.59,118.17,119.18,117.952501175204,1329563,0.0,1.0
2023-08-17,121.35,121.5509,119.41,119.44,118.209823295573,1007080,0.0,1.0
2023-08-16,122.07,122.82,120.91,120.98,119.733962008526,943759,0.0,1.0
2023-08-15,123.17,123.94,122.26,122.52,121.25810072148,994791,0.0,1.0
2023-08-14,124.0,124.75,123.605,123.71,122.435844272399,838874,0.0,1.0
2023-08-11,124.6,125.2,123.79,123.93,122.653578374249,1778263,0.0,1.0
2023-08-10,125.64,126.49,124.81,124.85,123.564102800169,856520,0.0,1.0
2023-08-09,125.16,127.42,124.97,125.21,123.920394966834,1401729,0.0,1.0
2023-08-08,125.0,125.2494,123.19,124.86,123.573999804799,1787573,0.0,1.0
2023-08-07,126.77,127.27,125.41,125.63,124.336069161276,1273325,0.0,1.0
2023-08-04,125.96,128.16,125.805,126.32,125.018962480716,1560271,0.0,1.0
2023-08-03,127.65,127.65,125.585,125.79,124.494421235349,2094357,0.0,1.0
2023-08-02,131.78,131.97,127.74,128.38,127.057745434407,2264109,0.0,1.0
2023-08-01,131.08,134.0,130.21,132.27,130.90768023531,3495101,0.0,1.0
2023-07-31,139.31,139.31,137.675,138.15,136.727118957496,1619498,0.0,1.0
2023-07-28,140.45,140.77,138.51,139.34,137.904862508415,997061,0.0,1.0
2023-07-27,142.44,142.54,139.85,139.86,138.419506749153,1441744,0.0,1.0
2023-07-26,139.77,142.2616,139.46,141.82,140.359319656548,996582,0.0,1.0
2023-07-25,140.47,140.765,139.31,140.3,138.854974952854,842766,0.0,1.0
2023-07-24,142.45,143.09,140.45,140.87,139.419104216739,1466758,0.0,1.0
2023-07-21,142.54,143.24,141.845,142.23,140.76509684636,1123235,0.0,1.0
2023-07-20,140.12,143.09,139.68,142.73,141.259947077839,1464965,0.0,1.0
2023-07-19,140.87,141.72,139.59,140.79,139.339928179702,1013688,0.0,1.0
2023-07-18,140.12,141.245,139.3,140.86,139.409207212109,1097926,0.0,1.0
2023-07-17,142.11,142.86,140.32,140.66,139.211267119518,1297010,0.0,1.0
2023-07-14,143.27,144.13,142.14,142.37,140.903654911174,1191169,0.0,1.0
2023-07-13,142.59,143.29,141.87,143.11,141.636033253763,966457,0.0,1.0
2023-07-12,143.9,143.9,141.89,142.65,141.180771040802,969516,0.0,1.0
2023-07-11,142.06,143.28,141.53,143.18,141.705312286169,819889,0.0,1.0
2023-07-10,141.25,142.65,141.16,142.51,141.042212975988,1421384,0.0,1.0
2023-07-07,140.6,141.35,139.84,140.86,139.409207212109,1165529,0.0,1.0
2023-07-06,141.69,141.85,140.16,141.2,139.745705369515,886030,0.0,1.0
2023-07-05,142.42,142.57,141.28,142.36,140.893757906545,1181562,0.0,1.0
2023-07-03,144.8,144.8,142.51,142.51,141.042212975988,662521,0.0,1.0
2023-06-30,146.23,147.5,145.51,145.6,144.100387406525,1290481,0.0,1.0
2023-06-29,143.16,146.21,143.02,145.15,143.655022198195,1169949,0.0,1.0
2023-06-28,144.49,145.7371,143.77,144.0,142.516866665794,1019822,0.0,1.0
2023-06-27,142.82,144.87,142.29,144.81,143.318524040789,855349,0.0,1.0
2023-06-26,143.87,144.285,141.6,142.81,141.339123114875,1109997,0.0,1.0
2023-06-23,143.73,145.03,142.51,143.99,142.506969661165,1560614,0.24,1.0
2023-06-22,143.19,144.75,142.72,144.58,142.852788418576,921953,0.0,1.0
2023-06-21,143.3,143.43,142.34,142.89,141.182977847076,1127468,0.0,1.0
2023-06-20,143.3,144.58,142.205,143.66,141.943779113381,1297662,0.0,1.0
2023-06-16,144.04,144.75,142.93,144.1,142.378522694126,2813511,0.0,1.0
2023-06-15,141.92,142.59,140.61,142.58,140.876681233369,1488043,0.0,1.0
2023-06-14,141.1,146.0,141.1,142.01,140.313490685585,2942234,0.0,1.0
