,EXP_Open,EXP_High,EXP_Low,EXP_Close,EXP_Adj Close,EXP_Volume,EXP_Dividend Amount,EXP_Split Coefficient
2001-11-06,32.98,32.99,32.68,32.74,7.91662259651455,9500,0.0,1.0
2001-11-05,33.32,33.32,33.12,33.18,8.02301581406087,26900,0.0,1.0
2001-11-02,33.25,33.25,33.12,33.15,8.01576173104634,14400,0.0,1.0
2001-11-01,33.05,33.27,32.96,33.1,8.00367159268881,36800,0.0,1.0
2001-10-31,33.0,33.0,32.36,32.9,7.95531103925866,30400,0.0,1.0
2001-10-30,33.15,33.15,32.5,32.61,7.88518823678496,18500,0.0,1.0
2001-10-29,32.24,32.91,32.24,32.71,7.90936851350003,24900,0.0,1.0
2001-10-26,30.73,32.45,30.73,31.85,7.70141813375041,28200,0.0,1.0
2001-10-25,29.88,30.83,29.84,30.73,7.4305990345416,22700,0.0,1.0
2001-10-24,30.05,30.08,29.85,30.0,7.25408301452158,6500,0.0,1.0
2001-10-23,29.64,30.1,29.6,29.9,7.22990273780651,16300,0.0,1.0
2001-10-22,29.47,29.64,29.0,29.64,7.16703401834732,51600,0.0,1.0
2001-10-19,29.1,29.45,29.08,29.22,7.06547685614402,8300,0.0,1.0
2001-10-18,28.25,29.1,28.25,28.65,6.92764927886811,10200,0.0,1.0
2001-10-17,29.66,29.66,28.5,28.5,6.8913788637955,11000,0.0,1.0
2001-10-16,28.49,29.89,28.49,29.89,7.227484710135,14200,0.0,1.0
2001-10-15,28.1,28.72,28.1,28.69,6.93732138955414,31500,0.0,1.0
2001-10-12,29.2,29.2,28.05,28.3,6.84301831036536,15400,0.0,1.0
2001-10-11,28.7,29.4,28.46,29.4,7.10900135423115,13100,0.0,1.0
2001-10-10,28.7,28.85,28.3,28.85,6.97600983229825,5400,0.0,1.0
2001-10-09,28.61,28.65,28.35,28.6,6.91555914051057,2000,0.0,1.0
2001-10-08,29.28,29.28,28.5,28.65,6.92764927886811,6000,0.0,1.0
2001-10-05,28.55,29.28,28.4,29.28,7.07998502217306,5700,0.0,1.0
2001-10-04,28.82,28.86,28.58,28.58,6.91072308516756,8400,0.0,1.0
2001-10-03,28.67,28.95,28.67,28.84,6.97359180462674,15200,0.0,1.0
2001-10-02,28.9,29.25,28.8,28.92,6.9929360259988,14900,0.0,1.0
2001-10-01,29.3,29.42,29.0,29.0,7.01228024737086,29500,0.0,1.0
2001-09-28,29.3,30.1,29.3,29.55,7.14527176930376,43000,0.0,1.0
2001-09-27,28.7,29.7,28.7,29.52,7.13801768628923,10000,0.0,1.0
2001-09-26,28.52,28.91,28.5,28.79,6.96150166626921,23000,0.0,1.0
2001-09-25,28.65,28.9,28.5,28.58,6.91072308516756,15700,0.0,1.0
2001-09-24,27.99,28.75,27.99,28.7,6.93973941722564,33700,0.0,1.0
2001-09-21,29.09,29.09,27.83,27.83,6.72937100980452,46900,0.05,1.0
2001-09-20,30.8,30.8,29.13,29.14,7.03349609848291,12100,0.0,1.0
2001-09-19,30.77,31.05,30.1,30.6,7.38589501076106,27500,0.0,1.0
2001-09-18,31.58,31.58,30.8,30.9,7.45830574616067,18800,0.0,1.0
2001-09-17,32.2,32.3,31.2,31.5,7.60312721695991,11300,0.0,1.0
2001-09-10,32.01,32.37,31.75,32.3,7.79622251135889,19200,0.0,1.0
2001-09-07,31.52,32.15,31.5,32.01,7.72622546713926,42800,0.0,1.0
2001-09-06,31.75,31.97,31.35,31.55,7.61519567285985,27000,0.0,1.0
2001-09-05,31.96,32.0,31.5,31.67,7.64415996701969,42300,0.0,1.0
2001-09-04,31.98,32.1,31.61,31.96,7.71415701123933,90800,0.0,1.0
2001-08-31,31.96,32.12,31.91,31.96,7.71415701123933,39600,0.0,1.0
2001-08-30,31.8,31.81,31.62,31.71,7.65381473173964,4400,0.0,1.0
2001-08-29,31.87,31.98,31.75,31.87,7.69243379061944,3700,0.0,1.0
2001-08-28,31.75,32.25,31.4,31.87,7.69243379061944,33400,0.0,1.0
2001-08-27,32.0,32.07,31.8,31.9,7.6996748641594,9600,0.0,1.0
2001-08-24,31.48,32.0,31.45,32.0,7.72381177595927,33500,0.0,1.0
2001-08-23,31.5,31.73,31.42,31.43,7.5862313787,19500,0.0,1.0
2001-08-22,31.65,31.66,31.05,31.5,7.60312721695991,11300,0.0,1.0
2001-08-21,31.3,31.85,31.3,31.85,7.68760640825947,10900,0.0,1.0
2001-08-20,31.78,31.9,31.3,31.5,7.60312721695991,14700,0.0,1.0
2001-08-17,32.0,32.01,31.86,31.98,7.7189843935993,24300,0.0,1.0
2001-08-16,32.22,32.5,32.0,32.21,7.77449929073901,26900,0.0,1.0
2001-08-15,33.58,33.58,32.33,32.46,7.83484157023869,30500,0.0,1.0
2001-08-14,31.98,34.0,31.95,33.59,8.10758867357725,22400,0.0,1.0
2001-08-13,32.81,32.81,31.5,31.93,7.70691593769936,14700,0.0,1.0
2001-08-10,32.55,32.96,32.53,32.96,7.95552612923805,5800,0.0,1.0
2001-08-09,33.0,33.05,32.8,32.8,7.91690707035826,32500,0.0,1.0
2001-08-08,32.73,33.04,32.7,33.0,7.965180893958,11000,0.0,1.0
2001-08-07,33.25,33.25,32.5,32.85,7.92897552625819,6500,0.0,1.0
2001-08-06,33.45,33.45,33.3,33.3,8.03759162935762,8400,0.0,1.0
2001-08-03,33.57,33.89,33.23,33.5,8.08586545295737,19800,0.0,1.0
2001-08-02,33.58,33.58,33.5,33.57,8.10276129121728,5400,0.0,1.0
2001-08-01,33.0,33.4,32.98,33.4,8.06172854115749,12200,0.0,1.0
2001-07-31,33.4,33.4,33.0,33.0,7.965180893958,27100,0.0,1.0
2001-07-30,32.98,33.59,32.98,33.4,8.06172854115749,15900,0.0,1.0
2001-07-27,32.75,33.53,32.75,32.88,7.93621659979816,12300,0.0,1.0
2001-07-26,32.23,32.83,32.2,32.62,7.87346062911848,10500,0.0,1.0
2001-07-25,32.15,32.4,32.1,32.24,7.78174036427897,8100,0.0,1.0
2001-07-24,33.18,33.19,31.9,31.9,7.6996748641594,13500,0.0,1.0
2001-07-23,34.15,34.15,33.18,33.18,8.00862733519777,9400,0.0,1.0
2001-07-20,33.09,34.4,33.09,34.4,8.30309765915622,13200,0.0,1.0
2001-07-19,32.95,33.09,32.75,32.98,7.96035351159803,22200,0.0,1.0
2001-07-18,32.7,33.7,32.35,32.71,7.89518384973837,21100,0.0,1.0
2001-07-17,33.42,33.53,32.45,32.8,7.91690707035826,38900,0.0,1.0
2001-07-16,34.55,34.8,33.61,33.67,8.12689820301715,24600,0.0,1.0
2001-07-13,34.52,34.8,34.47,34.75,8.38757685045577,25000,0.0,1.0
2001-07-12,33.9,34.65,33.9,34.52,8.33206195331607,48800,0.0,1.0
2001-07-11,33.21,34.0,33.11,33.9,8.18241310015686,15400,0.0,1.0
2001-07-10,33.95,34.3,33.2,33.2,8.01345471755775,19800,0.0,1.0
2001-07-09,33.5,34.25,33.45,33.8,8.15827618835698,6500,0.0,1.0
2001-07-06,34.25,34.5,33.7,33.7,8.13413927655711,5100,0.0,1.0
2001-07-05,34.3,34.8,34.2,34.47,8.31999349741613,32500,0.0,1.0
2001-07-03,34.14,34.14,33.8,33.8,8.15827618835698,8800,0.0,1.0
2001-07-02,32.75,34.32,32.69,34.13,8.23792799729656,21900,0.0,1.0
2001-06-29,32.9,32.94,32.5,32.5,7.84449633495864,26100,0.0,1.0
2001-06-28,33.55,34.25,32.96,33.01,7.96759458513799,34500,0.0,1.0
2001-06-27,32.07,33.09,32.07,33.04,7.97483565867795,11300,0.0,1.0
2001-06-26,30.95,32.22,30.95,32.07,7.74070761421919,25000,0.0,1.0
2001-06-25,30.55,31.03,30.55,31.0,7.48244265796055,9100,0.0,1.0
2001-06-22,30.72,30.82,30.65,30.71,7.41244561374092,9200,0.05,1.0
2001-06-21,30.46,30.78,30.46,30.78,7.4172651492505,6800,0.0,1.0
2001-06-20,30.3,30.5,30.25,30.41,7.32810374232319,39400,0.0,1.0
2001-06-19,30.28,30.35,30.1,30.25,7.28954745824651,74200,0.0,1.0
2001-06-18,30.45,30.45,30.29,30.29,7.29918652926568,10000,0.0,1.0
2001-06-15,30.22,30.62,30.19,30.47,7.34256234885194,13000,0.0,1.0
2001-06-14,29.96,30.25,29.96,30.25,7.28954745824651,28300,0.0,1.0
2001-06-13,29.85,30.08,29.85,29.96,7.21966419335754,3600,0.0,1.0
2001-06-12,30.0,30.0,29.8,29.85,7.19315674805482,25900,0.0,1.0
2001-06-11,30.0,30.05,29.86,29.95,7.21725442560274,41500,0.0,1.0
2001-06-08,29.59,30.0,29.59,29.88,7.2003860513192,11100,0.0,1.0
2001-06-07,29.7,29.7,29.47,29.61,7.13532232193981,10100,0.0,1.0
2001-06-06,29.42,29.71,29.36,29.5,7.10881487663709,9800,0.0,1.0
2001-06-05,28.92,29.5,28.92,29.43,7.09194650235355,15600,0.0,1.0
2001-06-04,28.74,29.11,28.68,29.11,7.0148339342002,6200,0.0,1.0
2001-06-01,28.2,28.59,28.06,28.59,6.889526010951,34700,0.0,1.0
2001-05-31,28.35,28.39,27.9,28.32,6.82446228157161,37500,0.0,1.0
2001-05-30,28.9,28.9,28.4,28.4,6.84374042360995,26000,0.0,1.0
2001-05-29,29.2,29.2,29.13,29.13,7.01965346970978,6100,0.0,1.0
2001-05-25,29.11,29.3,29.11,29.13,7.01965346970978,14500,0.0,1.0
2001-05-24,29.05,29.05,28.62,28.93,6.97145811461394,26400,0.0,1.0
2001-05-23,29.47,29.47,29.1,29.1,7.01242416644541,9900,0.0,1.0
2001-05-22,29.44,29.7,29.44,29.65,7.14496139295898,15500,0.0,1.0
2001-05-21,29.11,29.5,29.11,29.48,7.10399534112751,41400,0.0,1.0
