,MDXG_Open,MDXG_High,MDXG_Low,MDXG_Close,MDXG_Adj Close,MDXG_Volume,MDXG_Dividend Amount,MDXG_Split Coefficient
2011-02-22,1.2,1.25,1.2,1.23,1.23,22700,0.0,1.0
2011-02-18,1.24,1.25,1.2,1.25,1.25,6100,0.0,1.0
2011-02-17,1.3,1.3,1.25,1.25,1.25,17100,0.0,1.0
2011-02-16,1.27,1.35,1.27,1.3,1.3,38700,0.0,1.0
2011-02-15,1.3,1.3,1.25,1.29,1.29,19000,0.0,1.0
2011-02-14,1.3,1.3,1.2,1.2,1.2,37700,0.0,1.0
2011-02-11,1.25,1.3,1.2,1.2,1.2,32800,0.0,1.0
2011-02-10,1.25,1.25,1.2,1.25,1.25,5500,0.0,1.0
2011-02-09,1.25,1.25,1.25,1.25,1.25,0,0.0,1.0
2011-02-08,1.25,1.25,1.25,1.25,1.25,2600,0.0,1.0
2011-02-07,1.25,1.3,1.25,1.3,1.3,21400,0.0,1.0
2011-02-04,1.25,1.25,1.25,1.25,1.25,2800,0.0,1.0
2011-02-03,1.25,1.25,1.25,1.25,1.25,5000,0.0,1.0
2011-02-02,1.25,1.3,1.25,1.25,1.25,6600,0.0,1.0
2011-02-01,1.29,1.3,1.29,1.3,1.3,7300,0.0,1.0
2011-01-31,1.25,1.25,1.2,1.2,1.2,11600,0.0,1.0
2011-01-28,1.2,1.25,1.2,1.2,1.2,3400,0.0,1.0
2011-01-27,1.18,1.3,1.18,1.2,1.2,58200,0.0,1.0
2011-01-26,1.24,1.24,1.18,1.18,1.18,22500,0.0,1.0
2011-01-25,1.3,1.3,1.3,1.3,1.3,0,0.0,1.0
2011-01-24,1.28,1.3,1.15,1.3,1.3,45000,0.0,1.0
2011-01-21,1.3,1.3,1.3,1.3,1.3,12400,0.0,1.0
2011-01-20,1.35,1.35,1.3,1.35,1.35,19900,0.0,1.0
2011-01-19,1.4,1.4,1.38,1.38,1.38,9300,0.0,1.0
2011-01-18,1.42,1.42,1.38,1.4,1.4,17375,0.0,1.0
2011-01-14,1.4,1.42,1.38,1.42,1.42,14500,0.0,1.0
2011-01-13,1.35,1.4,1.35,1.4,1.4,15000,0.0,1.0
2011-01-12,1.4,1.4,1.29,1.35,1.35,18600,0.0,1.0
2011-01-11,1.4,1.42,1.3,1.4,1.4,36700,0.0,1.0
2011-01-10,1.4,1.4,1.39,1.4,1.4,31800,0.0,1.0
