,CME_Open,CME_High,CME_Low,CME_Close,CME_Adj Close,CME_Volume,CME_Dividend Amount,CME_Split Coefficient
2024-09-16,216.05,219.49,216.05,218.53,218.53,1740148,0.0,1.0
2024-09-13,218.27,218.88,215.53,216.99,216.99,2587260,0.0,1.0
2024-09-12,219.19,219.225,215.45,217.3,217.3,2368626,0.0,1.0
2024-09-11,218.66,218.8,214.78,218.59,218.59,3691434,0.0,1.0
2024-09-10,217.76,219.64,217.0,218.48,218.48,2148670,0.0,1.0
2024-09-09,220.0,221.085,217.74,218.54,218.54,2211093,1.15,1.0
2024-09-06,219.05,220.8,218.46,220.5,219.345759934453,2899331,0.0,1.0
2024-09-05,218.5,219.51,217.06,219.38,218.231622741135,1759791,0.0,1.0
2024-09-04,213.84,216.14,212.64,216.0,214.869315854158,1534431,0.0,1.0
2024-09-03,208.46,212.75,207.7496,212.64,211.526904274205,3725373,0.0,1.0
2024-08-30,213.53,215.97,213.52,215.74,214.610676862852,2021148,0.0,1.0
2024-08-29,215.01,215.355,213.36,214.1,212.979261686922,1547855,0.0,1.0
2024-08-28,212.72,215.95,212.35,215.12,213.993922345123,1655472,0.0,1.0
2024-08-27,208.91,212.87,207.71,212.4,211.288160589922,1789237,0.0,1.0
2024-08-26,207.1,208.66,207.1,208.43,207.338942145751,1647512,0.0,1.0
2024-08-23,210.28,210.28,206.44,207.05,205.966165961127,1273912,0.0,1.0
2024-08-22,209.25,210.16,208.2,209.62,208.522712913651,1352147,0.0,1.0
2024-08-21,208.68,209.44,207.61,209.4,208.303864536392,939264,0.0,1.0
2024-08-20,209.45,210.43,208.355,208.7,207.607528790569,1272034,0.0,1.0
2024-08-19,208.43,209.76,208.04,208.87,207.776638900269,1122281,0.0,1.0
2024-08-16,205.29,208.8,204.16,207.88,206.791821202604,1115669,0.0,1.0
2024-08-15,207.78,208.26,204.8501,205.29,204.215378943056,1321706,0.0,1.0
2024-08-14,207.775,208.29,206.5,207.85,206.761978242068,1152142,0.0,1.0
2024-08-13,206.53,207.895,205.65,207.57,206.483443943739,977327,0.0,1.0
2024-08-12,206.66,208.08,205.18,206.59,205.508573899586,1073836,0.0,1.0
2024-08-09,205.25,207.21,203.7727,206.66,205.578207474168,1011306,0.0,1.0
2024-08-08,204.63,207.31,202.35,205.15,204.076111793891,2086497,0.0,1.0
2024-08-07,201.9,206.8,200.5,205.0,203.926896991215,3530004,0.0,1.0
2024-08-06,197.0,204.1,196.935,202.38,201.320611771132,3269347,0.0,1.0
2024-08-05,200.14,202.75,196.62,197.22,196.187622559061,2133600,0.0,1.0
2024-08-02,198.22,201.56,197.5,199.83,198.783960125632,2373846,0.0,1.0
2024-08-01,194.21,197.805,194.04,196.31,195.28238608949,1873297,0.0,1.0
2024-07-31,197.2,197.85,193.25,193.71,192.69599617643,1854029,0.0,1.0
2024-07-30,199.86,199.86,195.3019,197.2,196.167727252037,1712374,0.0,1.0
2024-07-29,200.55,201.71,198.76,198.92,197.878723656061,1428249,0.0,1.0
2024-07-26,198.93,201.49,198.85,200.54,199.490243524967,1259506,0.0,1.0
2024-07-25,197.39,200.83,197.04,199.38,198.336315717602,2080424,0.0,1.0
2024-07-24,200.23,200.545,194.92,197.25,196.217465519596,2688368,0.0,1.0
2024-07-23,200.17,200.27,196.99,197.44,196.406470936319,2175384,0.0,1.0
2024-07-22,199.56,200.39,198.54,199.88,198.83369839319,1258510,0.0,1.0
2024-07-19,201.63,201.89,199.16,199.85,198.803855432655,1554859,0.0,1.0
2024-07-18,201.07,202.78,200.2,200.61,199.559877099549,1531336,0.0,1.0
2024-07-17,197.87,201.58,197.32,201.46,200.40542764805,1834474,0.0,1.0
2024-07-16,198.26,199.55,197.08,197.37,196.336837361737,2106490,0.0,1.0
2024-07-15,194.11,197.2,194.11,197.01,195.978721835313,2431333,0.0,1.0
2024-07-12,195.77,196.1,193.37,193.43,192.417461878101,3125018,0.0,1.0
2024-07-11,193.58,198.3,193.17,195.8,194.77505576039,4568627,0.0,1.0
2024-07-10,194.1,195.32,193.495,193.58,192.566676680777,1907271,0.0,1.0
2024-07-09,195.18,195.57,193.89,194.62,193.601232646001,1713860,0.0,1.0
2024-07-08,196.4,197.19,194.8,194.97,193.949400518913,2375947,0.0,1.0
2024-07-05,196.53,196.78,195.275,196.4,195.371914971096,3458862,0.0,1.0
2024-07-03,196.1,197.91,195.84,196.06,195.033694751696,2237934,0.0,1.0
2024-07-02,196.56,198.32,195.99,197.08,196.048355409896,4672406,0.0,1.0
2024-07-01,197.62,197.83,195.09,195.5,194.476626155037,2092566,0.0,1.0
2024-06-28,195.41,197.11,195.01,196.6,195.570868041331,6618079,0.0,1.0
2024-06-27,195.74,196.295,194.64,195.53,194.506469115572,2817065,0.0,1.0
2024-06-26,193.0,195.83,192.105,195.2,194.178196549684,2702559,0.0,1.0
2024-06-25,195.08,196.085,193.66,194.1,193.083954663389,2018823,0.0,1.0
2024-06-24,195.62,197.43,194.91,195.08,194.058824707542,1662712,0.0,1.0
2024-06-21,196.28,196.75,193.96,194.48,193.461965496836,5763948,0.0,1.0
2024-06-20,196.87,198.89,195.0,198.49,197.450974555055,2174278,0.0,1.0
2024-06-18,197.79,197.79,190.7,196.53,195.501234466749,2225155,0.0,1.0
2024-06-17,196.39,197.68,195.3325,196.59,195.560920387819,1785843,0.0,1.0
2024-06-14,194.63,197.23,194.32,197.13,196.098093677455,1671739,0.0,1.0
2024-06-13,194.85,196.88,194.6,195.64,194.615893304201,1797273,0.0,1.0
2024-06-12,201.5,201.5,195.38,195.73,194.705422185807,2018481,0.0,1.0
2024-06-11,198.45,200.14,197.47,198.7,197.659875278802,1670283,0.0,1.0
2024-06-10,198.92,199.865,197.19,198.5,197.460922208567,2015053,0.0,1.0
2024-06-07,201.36,201.79,199.29,199.36,198.316420410579,1886162,1.15,1.0
2024-06-06,200.98,202.84,200.63,201.49,199.285699209653,1424283,0.0,1.0
2024-06-05,203.78,204.79,200.25,200.49,198.296639210597,2412101,0.0,1.0
2024-06-04,201.83,204.655,201.46,203.78,201.550646607489,2119987,0.0,1.0
2024-06-03,203.2,204.22,200.23,201.75,199.542854809407,2035904,0.0,1.0
2024-05-31,205.16,205.16,202.475,202.98,200.759398608245,5076119,0.0,1.0
2024-05-30,206.43,207.3,204.84,204.9,202.658393806431,1427291,0.0,1.0
2024-05-29,207.99,208.57,205.69,205.89,203.637563205496,2119025,0.0,1.0
2024-05-28,212.95,213.75,207.37,208.5,206.21900980303,2877283,0.0,1.0
2024-05-24,212.97,214.95,212.755,214.92,212.568774996965,1135264,0.0,1.0
2024-05-23,211.36,212.75,210.155,212.07,209.749953999658,1677973,0.0,1.0
2024-05-22,208.87,211.88,208.31,211.48,209.166408600215,1333007,0.0,1.0
2024-05-21,212.0,212.35,210.13,210.35,208.048770801283,1454376,0.0,1.0
2024-05-20,213.14,213.57,211.17,211.27,208.958706000414,1241040,0.0,1.0
2024-05-17,214.32,214.82,212.3,213.14,210.808248198647,1466368,0.0,1.0
2024-05-16,208.26,213.33,208.04,212.73,210.402733599034,1246174,0.0,1.0
2024-05-15,210.005,211.41,207.93,208.26,205.981635403257,1770761,0.0,1.0
2024-05-14,209.13,210.989,207.0,210.8,208.493847800858,1702030,0.0,1.0
2024-05-13,208.59,211.51,208.54,209.92,207.623475001689,1555574,0.0,1.0
2024-05-10,213.53,213.71,207.85,208.46,206.179447403068,1838846,0.0,1.0
2024-05-09,211.84,213.72,211.0,213.61,211.273106398203,1983498,0.0,1.0
2024-05-08,208.1,211.87,206.735,211.84,209.522470199875,1708239,0.0,1.0
2024-05-07,208.17,208.9,204.0,208.34,206.060760203182,2144295,0.0,1.0
2024-05-06,208.56,208.96,205.99,208.0,205.724479803503,1722597,0.0,1.0
2024-05-03,205.86,207.92,202.775,207.65,205.378308803833,2065362,0.0,1.0
2024-05-02,209.37,209.74,206.85,207.48,205.210168603994,1922646,0.0,1.0
2024-05-01,209.05,210.51,207.55,208.07,205.793714003437,1869433,0.0,1.0
2024-04-30,209.11,210.14,207.685,209.64,207.346538201953,1394473,0.0,1.0
2024-04-29,209.69,213.135,209.195,209.62,207.326757001972,1316666,0.0,1.0
2024-04-26,211.92,212.4,209.635,210.94,208.632316200725,1353130,0.0,1.0
2024-04-25,212.345,216.52,211.19,212.54,210.214812199214,2048136,0.0,1.0
2024-04-24,215.63,216.63,209.07,212.59,210.264265199167,2636859,0.0,1.0
2024-04-23,215.01,217.45,214.14,216.77,214.398535995218,2048662,0.0,1.0
2024-04-22,213.3,216.71,212.875,215.48,213.122648596436,1743304,0.0,1.0
2024-04-19,211.28,214.5,210.27,213.04,210.709342198741,2563922,0.0,1.0
2024-04-18,210.15,210.36,207.77,209.65,207.356428801944,1256380,0.0,1.0
2024-04-17,208.06,209.13,206.21,208.42,206.139885003106,1853402,0.0,1.0
2024-04-16,207.35,208.75,206.15,206.48,204.221108604939,1151676,0.0,1.0
2024-04-15,211.04,212.1,206.075,206.23,203.973843605175,1977426,0.0,1.0
2024-04-12,212.4,212.84,209.29,209.5,207.208069802086,1582601,0.0,1.0
2024-04-11,211.61,213.87,210.44,212.77,210.442295998997,1653375,0.0,1.0
2024-04-10,210.41,213.37,209.63,212.0,209.680719799724,2127002,0.0,1.0
2024-04-09,213.77,214.475,208.47,209.78,207.485006601821,1619774,0.0,1.0
2024-04-08,211.04,214.13,210.17,212.75,210.422514799015,1888990,0.0,1.0
2024-04-05,211.37,213.26,210.8,211.08,208.770784600593,1154131,0.0,1.0
2024-04-04,213.17,214.28,211.92,212.21,209.888422399526,2087011,0.0,1.0
2024-04-03,214.8,215.62,211.9715,212.03,209.710391599696,1514154,0.0,1.0
2024-04-02,212.04,214.89,211.381,214.8,212.450087797079,1848933,0.0,1.0
2024-04-01,215.33,215.7,211.93,212.02,209.700500999705,1010108,0.0,1.0
2024-03-28,215.89,216.485,212.98,215.29,212.934727196616,1755363,0.0,1.0
2024-03-27,213.37,215.65,212.53,215.6,213.241335796323,1817797,0.0,1.0
2024-03-26,214.71,215.3099,211.89,212.88,210.551092598893,1375065,0.0,1.0
2024-03-25,215.14,216.4599,214.4,215.19,212.83582119671,978295,0.0,1.0
2024-03-22,216.2,216.43,214.36,214.5,212.153369797362,1169692,0.0,1.0
2024-03-21,213.82,216.29,213.56,216.09,213.72597519586,1529894,0.0,1.0
2024-03-20,215.3,216.445,213.085,213.62,211.282996998194,1886901,0.0,1.0
2024-03-19,219.59,219.59,216.0875,216.36,213.993021395605,1460536,0.0,1.0
2024-03-18,218.11,219.75,217.44,218.89,216.495343193215,1111980,0.0,1.0
2024-03-15,217.445,220.19,216.85,217.5,215.120549794528,4141841,0.0,1.0
2024-03-14,219.09,219.78,217.26,219.41,217.009654392724,1538586,0.0,1.0
2024-03-13,217.75,219.47,217.52,219.36,216.960201392771,936111,0.0,1.0
2024-03-12,216.92,218.75,216.31,217.75,215.367814794292,1356538,0.0,1.0
2024-03-11,213.0,216.84,213.0,216.77,214.398535995218,1113275,0.0,1.0
2024-03-08,213.95,214.91,212.8,212.98,210.649998598798,1274274,0.0,1.0
2024-03-07,219.88,220.8,213.48,213.53,211.193981598279,1812567,1.15,1.0
2024-03-06,219.82,220.26,216.63,219.69,216.122628178339,1139471,0.0,1.0
2024-03-05,221.0,222.5199,219.19,219.9,216.329218154749,939772,0.0,1.0
2024-03-04,220.0,221.62,219.3,221.35,217.755672753768,955315,0.0,1.0
2024-03-01,220.25,221.76,217.91,219.21,215.650422517974,1775896,0.0,1.0
2024-02-29,222.09,222.63,219.18,220.35,216.771910961341,2302550,0.0,1.0
2024-02-28,219.99,220.99,219.35,220.84,217.25395423963,1084864,0.0,1.0
2024-02-27,219.06,219.61,217.16,219.45,215.886525348156,1593003,0.0,1.0
2024-02-26,217.22,219.525,217.03,219.44,215.876687730232,1827714,0.0,1.0
2024-02-23,218.82,221.18,217.08,217.96,214.42072027744,2050867,0.0,1.0
2024-02-22,213.88,218.2,213.15,218.0,214.460070749137,1844142,0.0,1.0
2024-02-21,211.49,215.067,211.16,215.0,211.508785371855,1681778,0.0,1.0
2024-02-20,212.47,213.5,210.15,210.99,207.563900584222,1273844,0.0,1.0
2024-02-16,212.07,215.01,211.28,212.26,208.813278060605,1441292,0.0,1.0
2024-02-15,214.4,216.04,209.9,211.02,207.593413437995,1828462,0.0,1.0
2024-02-14,210.5,219.09,209.46,215.18,211.685862494492,3413553,0.0,1.0
2024-02-13,207.4,210.37,205.4207,207.43,204.061708603181,2502036,0.0,1.0
2024-02-12,205.47,207.82,205.06,206.82,203.4616139098,1412747,0.0,1.0
2024-02-09,204.66,205.6,203.61,205.09,201.759706008901,1712151,0.0,1.0
2024-02-08,205.99,207.65,203.49,204.0,200.687405655156,1890696,0.0,1.0
2024-02-07,203.79,205.595,203.04,205.46,202.123697872099,1534716,0.0,1.0
2024-02-06,204.82,204.83,202.4,202.78,199.487216268394,1313337,0.0,1.0
2024-02-05,205.91,205.92,203.805,204.82,201.494090324946,1422907,0.0,1.0
2024-02-02,207.29,209.62,205.69,206.55,203.195998225845,1583751,0.0,1.0
2024-02-01,204.71,206.74,202.8,205.79,202.4483392636,1616789,0.0,1.0
2024-01-31,206.29,208.78,204.44,205.84,202.497527353222,2786188,0.0,1.0
2024-01-30,204.43,206.635,204.22,206.11,202.763143037177,1453072,0.0,1.0
2024-01-29,206.89,207.64,203.425,204.78,201.454739853249,2393086,0.0,1.0
2024-01-26,206.64,207.15,205.06,206.78,203.422263438103,1691388,0.0,1.0
2024-01-25,204.81,205.86,202.91,205.61,202.271262140964,2012307,0.0,1.0
2024-01-24,204.43,205.215,203.42,204.27,200.953021339111,1582099,0.0,1.0
2024-01-23,200.5,204.1,200.17,203.97,200.657892801383,1573055,0.0,1.0
2024-01-22,202.21,204.35,202.2,203.27,199.969259546684,1324499,0.0,1.0
2024-01-19,203.72,204.485,201.0,202.05,198.769070159923,1604698,0.0,1.0
2024-01-18,202.23,203.545,200.455,202.9,199.605267683486,1947734,0.0,1.0
2024-01-17,198.89,203.185,198.4,202.97,199.674131008956,2571571,0.0,1.0
2024-01-16,197.61,199.94,196.81,198.6,195.375091976049,2588216,0.0,1.0
2024-01-12,198.0,198.12,195.91,197.54,194.332304476076,1810649,0.0,1.0
2024-01-11,198.0,198.55,195.54,196.4,193.210816032709,2151658,0.0,1.0
2024-01-10,197.75,199.625,196.84,197.83,194.61759539588,2115535,0.0,1.0
2024-01-09,198.98,199.78,196.89,197.09,193.889611669484,1963900,0.0,1.0
2024-01-08,198.84,200.9,197.465,200.11,196.860572282614,2474565,0.0,1.0
2024-01-05,203.47,204.05,198.9,199.19,195.955511433581,2328059,0.0,1.0
2024-01-04,202.9,204.1,201.01,202.74,199.447865796697,2564183,0.0,1.0
2024-01-03,206.22,207.4,200.85,201.41,198.139462612769,2813965,0.0,1.0
2024-01-02,212.74,213.11,207.77,209.23,205.83247982955,1794557,0.0,1.0
2023-12-29,211.02,211.34,208.84,210.6,207.180233485175,1501958,0.0,1.0
2023-12-28,210.75,211.52,210.24,211.02,207.593413437995,1099036,0.0,1.0
2023-12-27,209.1,210.57,208.78,210.54,207.12120777763,1432541,5.25,1.0
2023-12-26,214.53,215.0199,213.8,214.8,206.170978407873,1327434,0.0,1.0
2023-12-22,214.13,215.62,212.605,214.31,205.700662861226,1224958,0.0,1.0
2023-12-21,210.62,213.955,210.41,213.77,205.182355932267,1027146,0.0,1.0
2023-12-20,213.33,214.4,210.3354,211.05,202.571624734551,1850073,0.0,1.0
2023-12-19,211.65,213.42,210.05,212.95,204.395297262367,1833860,0.0,1.0
2023-12-18,208.12,211.415,208.02,211.19,202.706000605022,1696333,0.0,1.0
2023-12-15,207.95,208.64,205.89,206.73,198.425169302884,4737666,0.0,1.0
2023-12-14,211.5,211.6371,205.18,210.16,201.717378129416,3369400,0.0,1.0
2023-12-13,214.13,215.51,211.56,213.16,204.596861068073,2804646,0.0,1.0
2023-12-12,215.3,216.44,213.38,214.13,205.527893884906,1614164,0.0,1.0
2023-12-11,212.42,216.63,211.96,215.43,206.775669824991,1584674,0.0,1.0
2023-12-08,210.65,212.39,210.45,211.62,203.118726492896,2493384,0.0,1.0
2023-12-07,212.95,213.37,209.575,210.73,202.264479887761,2857995,1.1,1.0
2023-12-06,218.5,218.78,212.331,214.25,204.57520094393,1755453,0.0,1.0
2023-12-05,218.33,218.92,216.327,218.34,208.480510497539,1225276,0.0,1.0
2023-12-04,219.15,223.8,219.15,219.78,209.855485010301,1385518,0.0,1.0
2023-12-01,218.79,221.485,218.56,219.54,209.626322591508,2153194,0.0,1.0
2023-11-30,216.27,219.22,215.23,218.36,208.499607365772,2263862,0.0,1.0
2023-11-29,215.47,216.58,213.65,214.84,205.138558556798,1537582,0.0,1.0
2023-11-28,217.27,218.88,215.93,215.94,206.188886309603,1319415,0.0,1.0
2023-11-27,216.35,217.48,215.73,216.73,206.943212604798,1134352,0.0,1.0
2023-11-24,217.15,217.63,215.88,217.19,207.382440574153,522185,0.0,1.0
2023-11-22,215.81,216.71,214.69,216.35,206.580372108375,1172752,0.0,1.0
2023-11-21,213.31,216.47,211.61,215.56,205.826045813179,1234066,0.0,1.0
2023-11-20,213.6,213.89,211.55,212.0,202.42680326774,1308443,0.0,1.0
2023-11-17,213.33,213.9,211.87,213.42,203.782680912269,1206612,0.0,1.0
2023-11-16,211.17,214.28,211.17,212.19,202.608223515951,1872684,0.0,1.0
2023-11-15,212.35,213.88,208.82,211.06,201.529250460798,1663908,0.0,1.0
2023-11-14,214.7,215.25,208.88,211.76,202.197640848946,3196235,0.0,1.0
2023-11-13,217.74,217.895,216.39,217.08,207.277407798872,754137,0.0,1.0
2023-11-10,217.02,217.34,215.425,217.11,207.306053101222,1109758,0.0,1.0
2023-11-09,213.58,216.41,212.1,216.38,206.609017410724,1620539,0.0,1.0
2023-11-08,211.81,212.79,210.54,212.55,202.951967144142,1580373,0.0,1.0
2023-11-07,212.56,213.3,210.54,212.36,202.77054689593,1220854,0.0,1.0
2023-11-06,208.96,214.0,208.96,213.04,203.419840415846,1318840,0.0,1.0
2023-11-03,212.35,212.495,206.89,208.62,199.199432536396,2425081,0.0,1.0
2023-11-02,211.25,213.1999,210.408,212.57,202.971064012375,2035548,0.0,1.0
2023-11-01,214.85,215.35,210.485,210.92,201.395572383168,1727402,0.0,1.0
2023-10-31,211.29,213.65,211.05,213.46,203.820874648735,1345995,0.0,1.0
2023-10-30,210.25,212.58,210.0,211.33,201.787058181941,1454608,0.0,1.0
2023-10-27,215.04,215.35,207.785,209.03,199.590918335168,2000011,0.0,1.0
2023-10-26,215.42,216.89,214.39,215.43,205.701916169666,1504068,0.0,1.0
2023-10-25,207.69,216.7499,207.26,214.08,204.412877563952,2249831,0.0,1.0
2023-10-24,213.18,215.3,212.6,214.25,204.57520094393,1293679,0.0,1.0
2023-10-23,213.01,215.125,212.5,213.61,203.964101160481,1497233,0.0,1.0
2023-10-20,214.39,215.22,212.34,212.81,203.200226431168,1277636,0.0,1.0
2023-10-19,215.22,216.45,213.88,214.12,204.451071300417,1062852,0.0,1.0
2023-10-18,216.34,218.37,214.95,215.99,206.236628480185,1455092,0.0,1.0
2023-10-17,218.85,219.79,215.05,216.5,206.723598620121,1496525,0.0,1.0
2023-10-16,220.41,221.115,218.66,218.82,208.938835335127,1519455,0.0,1.0
2023-10-13,220.82,221.76,217.555,219.38,209.473547645645,1771648,0.0,1.0
2023-10-12,218.52,221.13,217.17,220.06,210.122841165561,1951655,0.0,1.0
2023-10-11,216.71,217.285,216.11,217.1,207.296504667105,1345103,0.0,1.0
2023-10-10,215.76,218.43,215.1099,216.09,206.332112821349,2171469,0.0,1.0
2023-10-09,211.69,215.81,211.69,215.76,206.017014495507,1621011,0.0,1.0
2023-10-06,207.91,212.43,207.7,211.93,202.359964228925,1789554,0.0,1.0
2023-10-05,203.61,207.79,203.09,207.4,198.034523574195,1595085,0.0,1.0
2023-10-04,201.66,203.54,200.85,203.24,194.062374981771,1519969,0.0,1.0
2023-10-03,201.03,203.765,199.41,201.66,192.553722391379,1636826,0.0,1.0
2023-10-02,199.63,200.35,197.93,200.15,191.111908839803,952538,0.0,1.0
2023-09-29,201.96,202.5,199.35,200.22,191.178747878617,1325579,0.0,1.0
2023-09-28,200.68,201.87,199.86,201.66,192.553722391379,1090653,0.0,1.0
2023-09-27,199.83,200.84,198.06,200.36,191.312425956247,1222142,0.0,1.0
2023-09-26,200.61,200.61,198.88,199.83,190.806358948078,1125994,0.0,1.0
2023-09-25,201.49,201.76,200.01,200.85,191.780299227951,829402,0.0,1.0
2023-09-22,202.36,203.764,200.75,201.72,192.611012996078,1197280,0.0,1.0
2023-09-21,206.09,206.97,201.96,202.21,193.078886267781,1425468,0.0,1.0
2023-09-20,206.45,207.085,205.09,205.91,196.611806890851,880838,0.0,1.0
2023-09-19,207.0,207.89,205.95,206.48,197.156067635485,1084184,0.0,1.0
2023-09-18,207.32,207.66,206.04,206.55,197.2229066743,737770,0.0,1.0
2023-09-15,207.81,208.57,206.43,206.82,197.480714395443,1659944,0.0,1.0
2023-09-14,206.55,208.28,206.55,207.81,198.426009372967,922338,0.0,1.0
2023-09-13,206.52,207.6,205.81,207.42,198.053620442427,1370041,0.0,1.0
2023-09-12,205.73,206.81,205.43,206.15,196.840969309644,921186,0.0,1.0
2023-09-11,204.55,206.78,204.35,205.92,196.621355324967,1053407,0.0,1.0
2023-09-08,205.95,206.04,204.13,204.99,195.733350952141,946511,0.0,1.0
2023-09-07,203.66,206.31,201.77,205.29,196.019803975634,1346989,1.1,1.0
2023-09-06,203.0,206.11,201.97,203.66,193.426974551468,1797551,0.0,1.0
2023-09-05,202.97,203.54,201.52,202.53,192.353752115825,1192323,0.0,1.0
2023-09-01,202.8,203.44,201.74,202.89,192.695663688242,838071,0.0,1.0
2023-08-31,202.83,203.23,201.9,202.68,192.496215270999,1039410,0.0,1.0
2023-08-30,203.41,203.8,201.736,202.45,192.277771766399,1056229,0.0,1.0
2023-08-29,203.77,204.77,201.61,202.71,192.524707902033,1352516,0.0,1.0
2023-08-28,203.31,203.79,202.52,203.32,193.104058066407,1169737,0.0,1.0
2023-08-25,200.31,204.56,199.72,203.22,193.009082629625,1297614,0.0,1.0
2023-08-24,200.07,202.135,199.7,200.11,190.055346545685,1198552,0.0,1.0
2023-08-23,200.02,201.34,199.86,200.75,190.663189341094,2113130,0.0,1.0
2023-08-22,201.83,202.18,199.0,199.49,189.466498837633,1671328,0.0,1.0
2023-08-21,202.6,203.45,201.02,202.6,192.420234921573,1019004,0.0,1.0
2023-08-18,202.95,204.835,202.1169,203.73,193.493457357216,1478580,0.0,1.0
2023-08-17,206.48,206.76,203.97,204.03,193.778383667564,1683162,0.0,1.0
2023-08-16,205.0,206.68,204.825,206.0,195.649399772181,1091106,0.0,1.0
2023-08-15,206.01,206.42,204.48,205.17,194.861103646886,1341037,0.0,1.0
2023-08-14,206.74,207.53,205.28,206.45,196.076789237703,1206873,0.0,1.0
2023-08-11,204.59,206.63,204.16,205.77,195.430956267581,1014877,0.0,1.0
2023-08-10,206.6,207.0,203.89,204.8,194.50969453079,1595212,0.0,1.0
2023-08-09,205.01,209.31,204.79,206.52,196.143272043451,1777058,0.0,1.0
2023-08-08,208.04,208.04,204.61,205.09,194.78512329746,1063945,0.0,1.0
2023-08-07,205.97,209.24,205.5353,208.36,197.890820080251,1303036,0.0,1.0
2023-08-04,206.08,208.43,204.5,205.07,194.766128210103,2427312,0.0,1.0
2023-08-03,199.13,203.26,198.005,202.84,192.648175969851,1650777,0.0,1.0
2023-08-02,199.52,200.58,198.82,199.67,189.637454623842,999745,0.0,1.0
2023-08-01,199.31,200.27,198.5,199.825,189.784666550855,1162773,0.0,1.0
2023-07-31,199.81,200.0,198.08,198.96,188.963129022685,1465179,0.0,1.0
2023-07-28,199.91,200.81,198.91,199.42,189.400016031885,1151198,0.0,1.0
2023-07-27,199.8,202.355,197.855,198.66,188.678202712338,2198254,0.0,1.0
2023-07-26,192.13,199.46,191.44,198.75,188.763680605442,2618989,0.0,1.0
2023-07-25,191.0,191.36,189.855,191.22,181.612030215711,1368699,0.0,1.0
2023-07-24,189.25,191.24,188.36,191.04,181.441074429503,1300084,0.0,1.0
2023-07-21,187.59,189.31,186.39,189.26,179.750511654772,1172414,0.0,1.0
2023-07-20,186.38,188.25,186.11,187.41,177.993466074294,945583,0.0,1.0
2023-07-19,187.7,189.91,186.27,186.38,177.015219075433,1910488,0.0,1.0
2023-07-18,185.44,187.2,184.96,187.05,177.651554501876,1194495,0.0,1.0
2023-07-17,186.0,187.45,185.04,185.25,175.941996639789,1435997,0.0,1.0
2023-07-14,183.77,186.745,183.12,186.13,176.777780483476,1635977,0.0,1.0
2023-07-13,181.03,183.67,180.875,183.22,174.013995273102,1931683,0.0,1.0
2023-07-12,181.9,182.2,180.11,181.31,172.199964430554,1331328,0.0,1.0
2023-07-11,181.7,182.43,180.895,182.33,173.168713885737,968714,0.0,1.0
