,LYB_Open,LYB_High,LYB_Low,LYB_Close,LYB_Adj Close,LYB_Volume,LYB_Dividend Amount,LYB_Split Coefficient
2013-07-25,67.41,68.28,67.39,68.05,33.9910041862587,2231400,0.0,1.0
2013-07-24,68.0,68.27,67.23,67.42,33.6763189160552,2020600,0.0,1.0
2013-07-23,69.05,69.26,67.85,67.9,33.9160791219245,2511000,0.0,1.0
2013-07-22,68.61,69.05,68.35,68.46,34.1957993621053,1821100,0.0,1.0
2013-07-19,67.52,68.88,67.2,68.41,34.1708243406606,3750100,0.0,1.0
2013-07-18,68.3,68.62,67.53,67.54,33.7362589675226,4580900,0.0,1.0
2013-07-17,69.73,70.024,67.84,67.94,33.9360591390803,4318400,0.0,1.0
2013-07-16,71.26,71.283,68.741,69.26,34.5953997052208,3074300,0.0,1.0
2013-07-15,70.44,71.33,69.89,70.89,35.4095854043185,3633100,0.0,1.0
2013-07-12,69.39,70.185,68.78,70.0,34.9650300226026,2900900,0.0,1.0
2013-07-11,70.61,70.64,69.11,69.39,34.6603347609771,3655800,0.0,1.0
2013-07-10,68.63,69.919,68.58,69.81,34.8701249411127,3841600,0.0,1.0
2013-07-09,69.0,69.49,68.0,68.97,34.4505445808414,2485700,0.0,1.0
2013-07-08,68.33,68.62,67.77,68.3,34.1158792934822,2207100,0.0,1.0
2013-07-05,67.33,67.69,66.71,67.68,33.8061890275678,2870300,0.0,1.0
2013-07-03,64.96,66.61,64.74,66.5,33.2167785214725,1988000,0.0,1.0
2013-07-02,66.31,66.7,64.94,65.41,32.6723230539776,5823100,0.0,1.0
2013-07-01,67.0,68.38,66.07,66.28,33.1068884271157,6962200,0.0,1.0
2013-06-28,67.45,67.75,66.26,66.26,33.0968984185378,9611400,0.0,1.0
2013-06-27,67.7,68.02,67.07,67.5,33.7162789503668,4610100,0.0,1.0
2013-06-26,66.95,67.23,65.58,66.98,33.4565387273417,3619100,0.0,1.0
2013-06-25,65.69,66.89,65.69,66.46,33.1967985043167,3535800,0.0,1.0
2013-06-24,65.06,65.75,63.89,65.03,32.4825128909978,4875000,0.0,1.0
2013-06-21,67.54,67.69,65.23,66.75,33.341653628696,5077300,0.0,1.0
2013-06-20,67.45,68.162,66.7,67.0,33.4665287359196,3979700,0.0,1.0
2013-06-19,68.97,69.42,68.49,68.61,34.2707244264395,2692200,0.0,1.0
2013-06-18,68.48,69.45,68.39,68.81,34.3706245122183,3209500,0.0,1.0
2013-06-17,68.1,68.53,67.45,68.14,34.0359592248591,3489500,0.0,1.0
2013-06-14,66.48,68.11,66.3,67.42,33.6763189160552,4428000,0.0,1.0
2013-06-13,64.05,66.905,64.0,66.59,33.2617335600729,7208400,0.0,1.0
2013-06-12,65.04,65.29,64.03,64.12,32.027967500704,2382100,0.0,1.0
2013-06-11,64.23,65.22,63.67,64.19,32.0629325307266,3285900,0.0,1.0
2013-06-10,65.06,65.84,64.77,65.0,32.467527878131,3366200,0.0,1.0
2013-06-07,65.49,65.6,64.62,64.87,32.4025928223747,7591100,0.0,1.0
2013-06-06,65.56,66.58,65.3,66.4,33.166828478583,4045600,0.0,1.0
2013-06-05,67.41,67.64,65.405,65.68,32.8071881697791,4468500,0.0,1.0
2013-06-04,67.09,68.46,67.09,67.68,33.8061890275678,4081400,0.0,1.0
2013-06-03,66.82,67.37,65.22,67.31,33.6213738688769,4076400,0.0,1.0
2013-05-31,66.61,68.07,66.01,66.65,33.2917035858066,6467400,0.0,1.0
2013-05-30,66.25,67.59,65.84,66.79,33.3616336458518,3137600,0.5,1.0
2013-05-29,66.54,67.08,65.72,66.28,32.8608868783929,3045700,0.0,1.0
2013-05-28,66.74,68.09,66.32,67.18,33.3070968691979,4458900,0.0,1.0
2013-05-24,65.26,65.9199,64.85,65.72,32.5832451063365,2250300,0.0,1.0
2013-05-23,64.8,66.22,62.71,65.83,32.6377818829904,4929900,0.0,1.0
2013-05-22,65.59,67.05,64.64,65.07,32.2609823351995,3481700,0.0,1.0
2013-05-21,66.92,67.28,65.81,65.85,32.6476976605638,4137800,0.0,1.0
2013-05-20,67.27,67.45,66.8,66.95,33.1930654271033,2870000,0.0,1.0
2013-05-17,66.34,67.32,65.74,67.32,33.376507312212,5283700,0.0,1.0
2013-05-16,64.35,66.2,64.28,66.11,32.7766027690186,5269500,0.0,1.0
2013-05-15,64.42,65.36,64.36,64.68,32.0676246725174,3677600,0.0,1.0
2013-05-14,62.07,64.99,61.99,64.64,32.0477931173705,6491800,0.0,1.0
2013-05-13,62.5,62.78,61.34,62.3,30.8876471412776,5771000,0.0,1.0
2013-05-10,61.11,61.61,60.41,61.55,30.5158054822734,4563000,0.0,1.0
2013-05-09,62.66,62.91,61.37,61.47,30.4761423719796,5334000,0.0,1.0
2013-05-08,63.3,63.52,61.91,62.84,31.1553731357605,3595700,0.0,1.0
2013-05-07,62.94,63.7999,62.11,63.28,31.3735202423763,4320500,0.0,1.0
2013-05-06,62.59,62.655,61.23,62.65,31.0611732488128,4331500,0.0,1.0
2013-05-03,60.17,61.06,60.07,60.95,30.2183321550701,4445700,0.0,1.0
2013-05-02,57.96,59.47,57.33,58.9,29.2019649537921,5113500,0.0,1.0
2013-05-01,60.55,60.75,57.41,57.54,28.5276920787979,5845600,0.0,1.0
2013-04-30,61.44,61.49,60.48,60.7,30.0943849354021,3456000,0.0,1.0
2013-04-29,60.39,61.6425,59.68,61.46,30.4711844831929,3344900,0.0,1.0
2013-04-26,61.99,62.24,58.57,60.14,29.8167431633456,4348200,0.0,1.0
2013-04-25,61.9,63.27,60.77,60.92,30.2034584887099,4978300,0.0,1.0
2013-04-24,59.56,60.56,59.13,60.33,29.9109430502933,3638700,0.0,1.0
2013-04-23,58.89,59.7,58.69,59.34,29.4201120604079,2779300,0.0,1.0
2013-04-22,58.15,59.11,57.37,58.64,29.0730598453373,2878100,0.0,1.0
2013-04-19,56.25,58.01,56.16,57.86,28.686344519973,4639600,0.0,1.0
2013-04-18,56.24,56.35,55.02,55.81,27.669977318695,4929300,0.0,1.0
2013-04-17,56.66,56.66,55.415,56.1,27.81375609351,6444600,0.0,1.0
2013-04-16,56.15,57.55,55.7,57.33,28.4235764142768,4901800,0.0,1.0
2013-04-15,58.64,58.71,55.47,55.51,27.5212406550934,7147600,0.0,1.0
2013-04-12,61.07,61.2,58.67,59.46,29.4796067258485,4362800,0.0,1.0
2013-04-11,60.75,62.13,60.55,61.38,30.4315213728991,3175700,0.0,1.0
2013-04-10,60.42,60.87,59.92,60.77,30.1290901569091,2354300,0.0,1.0
2013-04-09,58.84,60.35,58.69,60.22,29.8564062736394,3583700,0.0,1.0
2013-04-08,59.025,59.1,58.2,58.8,29.1523860659249,4337600,0.0,1.0
2013-04-05,57.67,59.035,57.11,58.98,29.2416280640859,4232100,0.0,1.0
2013-04-04,58.8,59.32,58.61,58.78,29.1424702883514,3655200,0.0,1.0
2013-04-03,59.77,59.8,57.78,58.65,29.0780177341241,10159800,0.0,1.0
2013-04-02,62.43,62.61,59.54,59.84,29.668006499744,6255400,0.0,1.0
2013-04-01,63.09,63.17,61.56,61.75,30.6149632580079,3734600,0.0,1.0
2013-03-28,63.56,64.15,63.18,63.29,31.378478131163,2877400,0.0,1.0
2013-03-27,63.01,63.515,62.57,63.37,31.4181412414568,2227300,0.0,1.0
2013-03-26,63.74,64.0,63.36,63.45,31.4578043517506,3756100,0.0,1.0
2013-03-25,64.91,65.14,63.19,63.35,31.4082254638834,3528700,0.0,1.0
2013-03-22,64.66,64.93,64.25,64.5,31.9783826743564,2185500,0.0,1.0
2013-03-21,64.97,65.69,64.23,64.41,31.9337616752759,3722900,0.0,1.0
2013-03-20,64.52,65.665,64.455,65.42,32.4345084427348,4508000,0.0,1.0
2013-03-19,63.73,64.46,62.845,64.01,31.735446123807,5836900,0.0,1.0
2013-03-18,63.39,64.06,63.08,63.75,31.6065410153522,3358000,0.0,1.0
2013-03-15,64.44,65.69,63.87,64.01,31.735446123807,5085600,0.0,1.0
2013-03-14,63.94,65.35,63.86,64.77,32.1122456715979,4700700,0.0,1.0
2013-03-13,64.09,64.52,63.19,63.3,31.3834360199498,4699200,0.0,1.0
2013-03-12,63.77,64.4,63.62,64.08,31.7701513453141,4514200,0.0,1.0
2013-03-11,63.32,63.83,62.2,63.73,31.5966252377788,3089700,0.0,1.0
2013-03-08,62.79,63.85,62.59,63.6,31.5321726835514,3132600,0.0,1.0
2013-03-07,62.72,62.73,62.08,62.13,30.8033630319033,2085300,0.0,1.0
2013-03-06,61.9,62.79,61.41,62.52,30.9967206945854,4936700,0.0,1.0
2013-03-05,60.54,61.42,60.53,60.77,30.1290901569091,4684700,0.0,1.0
2013-03-04,59.47,60.44,58.75,60.44,29.9654798269473,3376500,0.0,1.0
2013-03-01,58.19,60.64,57.43,59.69,29.5936381679431,5650000,0.0,1.0
2013-02-28,58.38,59.46,58.17,58.62,29.0631440677639,3648900,0.0,1.0
2013-02-27,57.01,58.44,56.5,58.2,28.8549127387216,5336900,0.0,1.0
2013-02-26,57.46,57.72,55.94,56.84,28.1806398637274,7557200,0.0,1.0
2013-02-25,59.38,59.68,56.97,56.98,28.2500503067415,4838100,0.0,1.0
2013-02-22,58.3,59.32,57.97,59.32,29.4101962828344,3972500,0.0,1.0
2013-02-21,58.63,59.31,56.91,57.68,28.597102521812,1058600,0.4,1.0
2013-02-20,61.15,61.4,60.17,60.26,29.6704786150894,8481500,0.0,1.0
2013-02-19,60.84,61.18,60.385,61.18,30.1234630214267,3519300,0.0,1.0
2013-02-15,61.19,61.285,59.88,60.4,29.7394110247494,7182900,0.0,1.0
2013-02-14,61.57,61.9,61.06,61.17,30.1185392778795,9634700,0.0,1.0
2013-02-13,61.71,63.3,61.6,62.3,30.6749222987068,3862200,0.0,1.0
2013-02-12,60.62,60.89,60.12,60.51,29.793572203768,2779700,0.0,1.0
2013-02-11,61.82,61.82,60.29,60.54,29.8083434344094,3176500,0.0,1.0
2013-02-08,61.56,62.23,60.94,62.11,30.581371171311,3317300,0.0,1.0
2013-02-07,61.2,61.75,60.37,61.42,30.2416328665581,2842100,0.0,1.0
2013-02-06,61.29,61.49,60.46,61.06,30.0643780988609,3376400,0.0,1.0
2013-02-05,61.71,62.27,61.22,61.25,30.1579292262567,3935300,0.0,1.0
2013-02-04,61.14,62.425,61.04,61.09,30.0791493295024,4986900,0.0,1.0
