,BCPC_Open,BCPC_High,BCPC_Low,BCPC_Close,BCPC_Adj Close,BCPC_Volume,BCPC_Dividend Amount,BCPC_Split Coefficient
2024-05-23,155.2,155.29,152.47,153.75,153.75,115455,0.0,1.0
2024-05-22,155.42,156.24,154.82,155.2,155.2,64902,0.0,1.0
2024-05-21,154.33,155.74,153.52,155.5,155.5,55852,0.0,1.0
2024-05-20,155.39,156.055,153.7,154.39,154.39,124229,0.0,1.0
2024-05-17,157.11,157.11,155.02,155.83,155.83,81568,0.0,1.0
2024-05-16,156.27,157.02,154.95,156.63,156.63,69788,0.0,1.0
2024-05-15,155.77,156.77,154.69,156.36,156.36,75448,0.0,1.0
2024-05-14,155.88,156.28,154.595,155.27,155.27,58802,0.0,1.0
2024-05-13,156.63,156.63,153.97,154.46,154.46,46770,0.0,1.0
2024-05-10,154.48,156.63,153.92,156.43,156.43,66885,0.0,1.0
2024-05-09,153.86,155.34,152.3,155.02,155.02,78646,0.0,1.0
2024-05-08,154.13,154.995,152.53,153.28,153.28,81625,0.0,1.0
2024-05-07,153.35,157.2299,153.35,155.48,155.48,115435,0.0,1.0
2024-05-06,152.0,154.07,151.42,153.32,153.32,106372,0.0,1.0
2024-05-03,147.05,150.4,145.11,150.4,150.4,102016,0.0,1.0
2024-05-02,144.42,146.4,143.47,146.28,146.28,118608,0.0,1.0
2024-05-01,141.66,145.66,141.09,143.82,143.82,142105,0.0,1.0
2024-04-30,137.98,141.42,137.69,141.38,141.38,166356,0.0,1.0
2024-04-29,139.86,140.5,138.64,139.23,139.23,93235,0.0,1.0
2024-04-26,138.7,139.92,138.52,139.26,139.26,58508,0.0,1.0
2024-04-25,139.17,139.88,137.79,138.5,138.5,111231,0.0,1.0
2024-04-24,144.36,144.865,140.33,140.64,140.64,119526,0.0,1.0
2024-04-23,143.36,145.52,143.36,145.07,145.07,70624,0.0,1.0
2024-04-22,144.13,145.1099,143.02,143.72,143.72,64336,0.0,1.0
2024-04-19,142.64,144.11,142.51,143.48,143.48,94637,0.0,1.0
2024-04-18,143.89,145.53,142.65,143.12,143.12,124973,0.0,1.0
2024-04-17,145.68,145.68,143.68,143.8,143.8,62573,0.0,1.0
2024-04-16,146.39,147.95,144.95,145.62,145.62,64914,0.0,1.0
2024-04-15,147.72,149.63,145.93,146.76,146.76,77674,0.0,1.0
2024-04-12,148.3,148.71,146.05,147.9,147.9,77443,0.0,1.0
2024-04-11,148.82,150.245,148.09,149.3,149.3,76234,0.0,1.0
2024-04-10,149.45,150.1,147.93,148.99,148.99,95969,0.0,1.0
2024-04-09,153.2,153.8,151.97,153.56,153.56,62118,0.0,1.0
2024-04-08,151.23,153.3,150.4,152.79,152.79,52246,0.0,1.0
2024-04-05,150.05,151.4899,149.6,150.24,150.24,76572,0.0,1.0
2024-04-04,153.98,153.98,150.35,150.87,150.87,63822,0.0,1.0
2024-04-03,149.45,153.07,149.45,152.59,152.59,72340,0.0,1.0
2024-04-02,151.59,151.59,148.9,150.75,150.75,134243,0.0,1.0
2024-04-01,155.45,155.45,151.38,152.12,152.12,62623,0.0,1.0
2024-03-28,154.89,156.27,154.67,154.95,154.95,95985,0.0,1.0
2024-03-27,154.6,155.66,153.65,154.46,154.46,117311,0.0,1.0
2024-03-26,154.15,154.59,153.23,153.44,153.44,66205,0.0,1.0
2024-03-25,156.04,156.585,153.58,153.63,153.63,57960,0.0,1.0
2024-03-22,157.4,157.92,155.14,155.55,155.55,61941,0.0,1.0
2024-03-21,157.75,158.38,156.51,156.93,156.93,109116,0.0,1.0
2024-03-20,156.27,158.05,155.54,156.91,156.91,92779,0.0,1.0
2024-03-19,155.87,158.1,155.34,156.79,156.79,86888,0.0,1.0
2024-03-18,156.19,157.41,155.64,155.87,155.87,104658,0.0,1.0
2024-03-15,153.08,156.459,153.08,156.39,156.39,360014,0.0,1.0
2024-03-14,154.59,154.59,152.715,153.99,153.99,92158,0.0,1.0
2024-03-13,155.08,156.42,154.0322,155.27,155.27,84706,0.0,1.0
2024-03-12,155.65,156.175,154.11,155.58,155.58,71452,0.0,1.0
2024-03-11,157.41,157.41,155.52,156.04,156.04,66285,0.0,1.0
2024-03-08,158.22,159.41,156.29,156.42,156.42,75926,0.0,1.0
2024-03-07,157.51,159.52,155.99,156.99,156.99,85660,0.0,1.0
2024-03-06,156.19,157.5,154.91,157.05,157.05,78400,0.0,1.0
2024-03-05,155.91,157.595,154.14,154.5,154.5,68674,0.0,1.0
2024-03-04,156.77,157.595,156.31,156.99,156.99,61089,0.0,1.0
2024-03-01,157.29,157.6,155.51,156.93,156.93,72694,0.0,1.0
2024-02-29,155.75,158.27,155.27,157.19,157.19,91682,0.0,1.0
2024-02-28,153.0,154.33,152.94,154.08,154.08,70559,0.0,1.0
2024-02-27,156.2,156.2,154.22,154.64,154.64,69217,0.0,1.0
2024-02-26,155.74,156.235,154.08,155.44,155.44,131249,0.0,1.0
2024-02-23,155.0,157.25,155.0,156.88,156.88,103875,0.0,1.0
2024-02-22,153.36,155.57,153.08,155.29,155.29,160141,0.0,1.0
2024-02-21,155.0,156.35,152.335,153.66,153.66,190061,0.0,1.0
2024-02-20,148.46,157.465,148.34,157.27,157.27,184432,0.0,1.0
2024-02-16,148.0,151.535,145.0394,149.2,149.2,129350,0.0,1.0
2024-02-15,142.66,146.84,141.585,146.39,146.39,118310,0.0,1.0
2024-02-14,142.28,143.44,140.19,142.73,142.73,119531,0.0,1.0
2024-02-13,142.14,144.4,139.57,140.58,140.58,179704,0.0,1.0
2024-02-12,145.2,146.59,144.2,145.33,145.33,135492,0.0,1.0
2024-02-09,143.9,145.6,143.0,145.14,145.14,106681,0.0,1.0
2024-02-08,142.5,143.64,141.895,143.43,143.43,84623,0.0,1.0
2024-02-07,141.34,143.91,139.91,142.28,142.28,131578,0.0,1.0
2024-02-06,140.31,142.66,140.31,141.21,141.21,83654,0.0,1.0
2024-02-05,141.38,141.66,138.38,140.28,140.28,116927,0.0,1.0
2024-02-02,141.21,143.54,141.02,143.14,143.14,101058,0.0,1.0
2024-02-01,141.37,143.05,139.84,142.9,142.9,97570,0.0,1.0
2024-01-31,143.4,143.675,140.05,140.16,140.16,135148,0.0,1.0
2024-01-30,140.95,143.11,140.64,142.93,142.93,85465,0.0,1.0
2024-01-29,138.92,142.1,138.696,141.92,141.92,59659,0.0,1.0
2024-01-26,140.32,140.705,138.85,139.43,139.43,73761,0.0,1.0
2024-01-25,141.45,141.45,138.34,139.37,139.37,97932,0.0,1.0
2024-01-24,143.38,143.85,139.38,139.68,139.68,70000,0.0,1.0
2024-01-23,145.46,145.7,141.8,141.98,141.98,111576,0.0,1.0
2024-01-22,142.0,144.97,142.0,144.21,144.21,196446,0.0,1.0
2024-01-19,140.36,141.2,138.31,141.06,141.06,101834,0.0,1.0
2024-01-18,137.51,140.375,136.74,139.58,139.58,123055,0.0,1.0
2024-01-17,135.84,138.38,135.84,137.06,137.06,96022,0.0,1.0
2024-01-16,139.85,141.51,136.975,137.5,137.5,124670,0.0,1.0
2024-01-12,142.18,142.72,140.19,140.84,140.84,54455,0.0,1.0
2024-01-11,140.69,141.375,139.412,140.36,140.36,108300,0.0,1.0
2024-01-10,140.56,141.57,139.8,141.39,141.39,87742,0.0,1.0
2024-01-09,140.29,141.24,139.615,141.16,141.16,74006,0.0,1.0
2024-01-08,140.67,142.55,139.99,142.44,142.44,87812,0.0,1.0
2024-01-05,142.16,143.56,139.82,140.17,140.17,127407,0.0,1.0
2024-01-04,142.86,144.08,142.59,143.39,143.39,152310,0.0,1.0
2024-01-03,145.69,145.78,140.1484,142.73,142.73,156859,0.0,1.0
2024-01-02,147.89,148.0,144.675,146.2,146.2,285354,0.0,1.0
2023-12-29,150.73,150.73,148.75,148.75,148.75,121467,0.0,1.0
2023-12-28,148.86,150.82,148.86,150.35,150.35,78349,0.3984,1.0
2023-12-27,147.95,149.96,145.12,149.82,149.424053588628,89583,0.0,1.0
2023-12-26,147.11,148.685,145.65,148.25,147.858202806796,70139,0.79,1.0
2023-12-22,146.5,148.395,146.18,146.76,145.59628182988,112578,0.0,1.0
2023-12-21,144.44,145.81,143.545,145.39,144.237145102523,81957,0.0,1.0
2023-12-20,144.3,148.03,142.955,143.17,142.034748361842,137434,0.0,1.0
2023-12-19,142.51,145.43,141.96,145.17,144.018889569663,111484,0.0,1.0
2023-12-18,141.13,142.04,139.39,141.18,140.060527860061,116706,0.0,1.0
2023-12-15,142.44,142.515,139.26,140.25,139.137902198424,639202,0.0,1.0
2023-12-14,141.95,144.7,141.11,141.28,140.159734920452,177410,0.0,1.0
2023-12-13,135.08,140.57,135.0,140.13,139.018853725955,156755,0.0,1.0
2023-12-12,134.84,135.535,133.82,135.15,134.078342118481,201477,0.0,1.0
2023-12-11,132.98,135.02,132.89,134.84,133.770800231269,85752,0.0,1.0
2023-12-08,135.16,136.36,131.735,133.13,132.074359498583,83703,0.0,1.0
2023-12-07,131.27,135.13,131.1,134.97,133.899769409778,142526,0.0,1.0
2023-12-06,129.33,133.59,127.44,131.57,130.526729356482,95642,0.0,1.0
2023-12-05,126.72,128.09,125.23,128.02,127.004878712601,106760,0.0,1.0
2023-12-04,124.34,126.6125,124.34,126.52,125.516772806735,106513,0.0,1.0
2023-12-01,125.31,125.64,124.07,124.94,123.949301252557,129511,0.0,1.0
2023-11-30,125.17,125.17,123.88,124.72,123.731045719697,126708,0.0,1.0
2023-11-29,123.92,125.01,123.3,124.94,123.949301252557,95085,0.0,1.0
2023-11-28,123.14,123.14,120.8701,122.71,121.736983805837,64728,0.0,1.0
2023-11-27,122.24,123.424,121.71,123.23,122.25286051987,85346,0.0,1.0
2023-11-24,121.22,123.11,120.81,122.96,121.985001456814,31743,0.0,1.0
2023-11-22,123.36,123.36,120.76,121.6,120.635785435496,59196,0.0,1.0
2023-11-21,123.46,124.75,122.05,122.21,121.240948503882,59951,0.0,1.0
2023-11-20,122.56,124.18,122.28,124.07,123.086199827155,57913,0.0,1.0
2023-11-17,125.0,125.0703,122.325,122.43,121.459204036742,91057,0.0,1.0
2023-11-16,124.63,125.5,121.965,124.02,123.036596296959,89109,0.0,1.0
2023-11-15,125.66,126.54,124.11,124.38,123.393741714367,63801,0.0,1.0
2023-11-14,122.2,126.25,122.2,125.98,124.981054680624,87924,0.0,1.0
2023-11-13,117.37,119.0,117.095,118.78,117.838146332469,51409,0.0,1.0
2023-11-10,118.04,118.94,116.98,118.31,117.371873148631,73235,0.0,1.0
2023-11-09,118.99,119.5,116.84,117.45,116.518692429269,65491,0.0,1.0
2023-11-08,119.43,119.43,118.01,118.45,117.510763033179,49636,0.0,1.0
2023-11-07,121.32,121.32,119.42,119.51,118.562357873324,52578,0.0,1.0
2023-11-06,120.46,121.8701,120.43,120.87,119.911573894642,75807,0.0,1.0
2023-11-03,120.77,122.14,120.69,121.02,120.060384485228,75172,0.0,1.0
2023-11-02,117.83,119.42,117.83,118.91,117.967115510978,79205,0.0,1.0
2023-11-01,115.71,117.09,115.15,116.7,115.774639476336,69725,0.0,1.0
2023-10-31,114.97,116.89,114.97,116.24,115.318286998537,78563,0.0,1.0
2023-10-30,114.74,116.04,113.9,115.58,114.663520399956,108897,0.0,1.0
2023-10-27,115.01,116.22,110.74,115.08,114.167485098001,147368,0.0,1.0
2023-10-26,121.71,122.205,120.97,121.68,120.715151083809,59321,0.0,1.0
2023-10-25,120.59,121.9099,119.95,121.07,120.109988015424,56346,0.0,1.0
2023-10-24,123.05,123.805,121.14,121.69,120.725071789848,70051,0.0,1.0
2023-10-23,121.77,123.79,121.28,121.89,120.92348591063,117867,0.0,1.0
2023-10-20,123.49,124.53,122.25,122.47,121.498886860898,89022,0.0,1.0
2023-10-19,124.94,126.7,122.95,123.13,122.153653459479,96402,0.0,1.0
2023-10-18,127.4,127.6,125.42,125.44,124.445336554512,47323,0.0,1.0
2023-10-17,126.02,129.68,126.02,128.41,127.391786248126,82191,0.0,1.0
2023-10-16,126.27,127.19,125.2201,126.67,125.665583397322,93894,0.0,1.0
2023-10-13,125.23,125.23,123.9,125.0,124.008825488792,70366,0.0,1.0
2023-10-12,126.55,126.55,123.53,124.35,123.36397959625,53123,0.0,1.0
2023-10-11,126.38,127.05,124.62,127.05,126.042570226808,49463,0.0,1.0
2023-10-10,126.14,127.14,125.74,125.81,124.812402677959,75743,0.0,1.0
2023-10-09,125.6,126.3,124.35,125.7,124.703274911529,41001,0.0,1.0
2023-10-06,125.23,127.075,124.515,126.17,125.169548095367,89818,0.0,1.0
2023-10-05,124.08,126.14,123.47,126.05,125.050499622897,118775,0.0,1.0
2023-10-04,122.8,124.99,121.7716,123.85,122.867944294295,95922,0.0,1.0
2023-10-03,122.98,123.3075,121.83,123.0,122.024684280971,67362,0.0,1.0
2023-10-02,123.89,124.02,121.54,123.08,122.104049929284,124960,0.0,1.0
2023-09-29,126.21,126.46,123.46,124.04,123.056437709038,133181,0.0,1.0
2023-09-28,123.61,126.91,123.61,125.93,124.931451150428,162474,0.0,1.0
2023-09-27,123.74,125.01,121.44,123.38,122.401671110457,139626,0.0,1.0
2023-09-26,125.83,126.325,123.34,123.49,122.510798876887,98210,0.0,1.0
2023-09-25,126.17,127.59,126.17,126.57,125.566376336931,64269,0.0,1.0
2023-09-22,128.39,129.8293,127.17,127.19,126.181460111355,60588,0.0,1.0
2023-09-21,129.26,129.26,127.6625,128.49,127.471151896439,71205,0.0,1.0
2023-09-20,131.39,132.52,130.12,130.3,129.266799689516,64070,0.0,1.0
2023-09-19,130.8,132.58,130.02,130.59,129.55450016465,98609,0.0,1.0
2023-09-18,135.24,135.24,130.39,130.76,129.723152167315,102539,0.0,1.0
2023-09-15,133.58,135.04,132.41,134.78,133.711275995035,399322,0.0,1.0
2023-09-14,131.73,133.91,131.4928,133.73,132.669601860929,80725,0.0,1.0
2023-09-13,130.88,132.48,130.335,131.08,130.040614760566,94868,0.0,1.0
2023-09-12,132.1,132.11,130.535,131.36,130.318394529661,87592,0.0,1.0
2023-09-11,132.64,132.69,131.06,132.28,131.231099485259,113609,0.0,1.0
2023-09-08,132.65,132.95,131.2,131.63,130.586253592717,72719,0.0,1.0
2023-09-07,132.85,133.0,131.93,132.23,131.181495955063,91943,0.0,1.0
2023-09-06,134.62,134.62,131.605,132.67,131.618007020784,60164,0.0,1.0
2023-09-05,139.59,139.6,131.43,134.0,132.937460923985,116090,0.0,1.0
2023-09-01,140.87,143.3908,140.53,140.59,139.475206203754,46964,0.0,1.0
2023-08-31,142.56,142.63,140.29,140.5,139.385919849402,80934,0.0,1.0
2023-08-30,139.72,143.68,139.72,142.72,141.588316590083,75074,0.0,1.0
2023-08-29,138.02,140.0,138.02,139.94,138.830360311212,56468,0.0,1.0
2023-08-28,137.74,139.1,137.48,137.79,136.697408512805,44077,0.0,1.0
2023-08-25,136.98,138.125,136.29,137.67,136.578360040335,69244,0.0,1.0
2023-08-24,135.34,137.18,135.035,136.73,135.64581367266,76095,0.0,1.0
2023-08-23,135.33,136.45,134.55,136.14,135.060492016353,56631,0.0,1.0
2023-08-22,135.48,136.0,134.81,134.91,133.840245173543,65607,0.0,1.0
2023-08-21,136.56,136.97,134.945,135.48,134.405725417772,65449,0.0,1.0
2023-08-18,136.36,137.3999,135.92,136.56,135.477161669995,87712,0.0,1.0
2023-08-17,137.0,137.51,136.57,136.67,135.586289436425,71263,0.0,1.0
2023-08-16,138.15,139.79,135.575,136.99,135.903752029676,72508,0.0,1.0
2023-08-15,137.16,138.68,137.16,138.55,137.451382171777,51477,0.0,1.0
2023-08-14,137.01,138.27,136.4,137.83,136.737091336961,86032,0.0,1.0
2023-08-11,139.01,139.9,137.75,137.92,136.826377691313,86331,0.0,1.0
2023-08-10,137.02,139.5,137.02,139.22,138.116069476396,94034,0.0,1.0
2023-08-09,136.11,137.23,135.655,137.09,136.002959090067,48449,0.0,1.0
2023-08-08,134.22,136.42,133.1,136.24,135.159699076744,50862,0.0,1.0
2023-08-07,134.44,136.13,133.54,135.8,134.723188011023,70862,0.0,1.0
2023-08-04,134.0,135.3999,133.93,134.38,133.31444775347,59561,0.0,1.0
2023-08-03,134.96,134.99,133.55,133.95,132.887857393789,73168,0.0,1.0
2023-08-02,131.71,135.465,129.615,134.96,133.889848703738,68679,0.0,1.0
2023-08-01,134.63,135.32,132.56,133.2,132.143804440856,125989,0.0,1.0
2023-07-31,131.68,135.91,131.68,134.74,133.671593170878,208069,0.0,1.0
2023-07-28,129.52,130.97,129.52,130.85,129.812438521667,82368,0.0,1.0
2023-07-27,129.27,129.76,127.81,128.54,127.520755426634,143026,0.0,1.0
2023-07-26,128.94,130.37,128.93,128.99,127.967187198394,61889,0.0,1.0
2023-07-25,129.53,130.78,129.33,129.44,128.413618970153,71192,0.0,1.0
2023-07-24,131.16,132.0,129.62,129.75,128.721160857366,59581,0.0,1.0
2023-07-21,131.69,132.3848,130.05,131.59,130.546570768561,79221,0.0,1.0
2023-07-20,132.94,132.94,130.69,131.54,130.496967238365,69524,0.0,1.0
2023-07-19,131.85,132.64,131.83,132.53,131.479117136236,98562,0.0,1.0
2023-07-18,130.32,132.51,129.6259,132.06,131.012843952399,95039,0.0,1.0
2023-07-17,130.26,131.32,130.06,130.62,129.584262282768,85231,0.0,1.0
2023-07-14,130.29,131.13,127.32,130.76,129.723152167315,85221,0.0,1.0
2023-07-13,131.4,131.73,130.22,130.78,129.742993579393,85632,0.0,1.0
2023-07-12,131.76,133.08,131.08,131.5,130.457284414209,97809,0.0,1.0
2023-07-11,131.83,131.83,129.5,130.27,129.237037571399,77312,0.0,1.0
2023-07-10,128.74,131.605,128.74,131.13,130.090218290762,101072,0.0,1.0
2023-07-07,129.02,131.06,129.02,129.27,128.244966967489,68387,0.0,1.0
2023-07-06,129.3,129.3,126.82,129.04,128.016790728589,101345,0.0,1.0
2023-07-05,134.14,134.14,130.66,130.93,129.89180416998,88078,0.0,1.0
2023-07-03,134.13,135.7,134.13,134.57,133.502941168213,31917,0.0,1.0
2023-06-30,135.41,135.84,133.68,134.81,133.741038113152,104916,0.0,1.0
2023-06-29,131.46,135.065,131.46,134.64,133.572386110487,93352,0.0,1.0
2023-06-28,130.45,131.26,130.0,131.15,130.11005970284,44680,0.0,1.0
2023-06-27,130.35,131.7907,130.0,130.87,129.832279933745,66714,0.0,1.0
2023-06-26,129.0,131.58,129.0,130.38,129.346165337829,82985,0.0,1.0
2023-06-23,128.54,130.37,128.32,128.98,127.957266492355,195189,0.0,1.0
2023-06-22,133.71,133.71,130.02,130.42,129.385848161986,117212,0.0,1.0
2023-06-21,135.32,137.0829,133.29,133.64,132.580315506577,83309,0.0,1.0
2023-06-20,136.47,136.6409,135.06,135.82,134.743029423101,120989,0.0,1.0
2023-06-16,137.29,137.29,134.67,136.64,135.556527318308,349484,0.0,1.0
2023-06-15,134.09,136.5,133.73,136.2,135.120016252587,83902,0.0,1.0
2023-06-14,136.25,136.995,133.93,134.81,133.741038113152,100240,0.0,1.0
2023-06-13,134.48,137.115,133.94,136.36,135.278747549213,88222,0.0,1.0
2023-06-12,133.5,135.34,132.975,134.43,133.364051283666,75795,0.0,1.0
2023-06-09,133.8,134.48,131.905,133.5,132.441425622029,53728,0.0,1.0
2023-06-08,134.93,135.01,132.85,134.44,133.373971989705,57095,0.0,1.0
2023-06-07,132.17,136.105,131.9,135.47,134.395804711733,118244,0.0,1.0
2023-06-06,128.7,132.85,128.7,132.04,130.99300254032,107763,0.0,1.0
2023-06-05,131.63,132.35,126.23,129.13,128.106077082941,104462,0.0,1.0
2023-06-02,127.1,133.07,127.1,132.82,131.76681761137,78021,0.0,1.0
2023-06-01,123.75,125.65,122.875,125.37,124.375891612238,43719,0.0,1.0
2023-05-31,124.51,125.14,122.535,123.63,122.649688761434,176100,0.0,1.0
2023-05-30,122.43,124.51,122.43,124.51,123.522710892876,111988,0.0,1.0
2023-05-26,122.84,123.57,122.21,122.51,121.538569685055,60792,0.0,1.0
2023-05-25,122.41,123.2,121.74,122.81,121.836190866228,157584,0.0,1.0
2023-05-24,124.21,125.1999,121.67,122.28,121.310393446155,76478,0.0,1.0
2023-05-23,124.41,126.32,123.94,124.39,123.403662420406,126499,0.0,1.0
2023-05-22,124.52,125.48,122.55,124.78,123.790569955931,74741,0.0,1.0
2023-05-19,125.34,125.51,123.39,124.17,123.185406887546,105761,0.0,1.0
2023-05-18,122.99,124.0,122.48,123.66,122.679450879552,96637,0.0,1.0
2023-05-17,123.26,124.24,122.09,123.19,122.213177695714,138121,0.0,1.0
2023-05-16,126.43,126.43,122.82,123.17,122.193336283636,70747,0.0,1.0
2023-05-15,125.84,127.37,125.64,126.97,125.963204578495,46878,0.0,1.0
