,KALU_Open,KALU_High,KALU_Low,KALU_Close,KALU_Adj Close,KALU_Volume,KALU_Dividend Amount,KALU_Split Coefficient
2024-08-21,70.85,72.37,69.86,72.2,72.2,108012,0.0,1.0
2024-08-20,71.15,71.57,69.64,70.0,70.0,81311,0.0,1.0
2024-08-19,70.22,71.74,69.0,70.75,70.75,99679,0.0,1.0
2024-08-16,69.92,70.46,69.41,69.72,69.72,112003,0.0,1.0
2024-08-15,69.99,71.27,69.55,70.25,70.25,89178,0.0,1.0
2024-08-14,68.71,68.96,67.5,67.98,67.98,102979,0.0,1.0
2024-08-13,68.34,69.5273,67.9,68.76,68.76,115432,0.0,1.0
2024-08-12,68.06,68.61,67.41,67.88,67.88,86783,0.0,1.0
2024-08-09,68.11,68.82,66.77,68.06,68.06,95831,0.0,1.0
2024-08-08,67.42,68.44,66.79,67.7,67.7,136503,0.0,1.0
2024-08-07,69.27,69.3,66.15,66.36,66.36,127878,0.0,1.0
2024-08-06,69.14,69.52,67.47,67.88,67.88,158975,0.0,1.0
2024-08-05,66.64,69.11,64.6598,69.11,69.11,170419,0.0,1.0
2024-08-02,72.38,72.54,69.53,70.02,70.02,186573,0.0,1.0
2024-08-01,78.7,80.28,73.44,74.85,74.85,253925,0.0,1.0
2024-07-31,79.44,81.5,78.16,78.69,78.69,220196,0.0,1.0
2024-07-30,78.2,78.95,76.7,78.41,78.41,243461,0.0,1.0
2024-07-29,77.42,77.56,75.94,76.48,76.48,247840,0.0,1.0
2024-07-26,78.58,78.865,75.33,77.76,77.76,257705,0.0,1.0
2024-07-25,85.0,85.0,77.01,78.06,78.06,407381,0.77,1.0
2024-07-24,96.43,96.43,92.08,92.79,91.8836407459089,165688,0.0,1.0
2024-07-23,95.08,97.27,92.985,97.21,96.26046682735,169911,0.0,1.0
2024-07-22,92.69,95.635,91.66,95.42,94.4879512875809,147532,0.0,1.0
2024-07-19,95.62,95.97,92.535,92.94,92.0321755676773,89765,0.0,1.0
2024-07-18,97.29,98.5,94.9284,96.04,95.1018952175568,194015,0.0,1.0
2024-07-17,98.84,100.07,97.5558,98.2,97.2407966510212,145627,0.0,1.0
2024-07-16,95.38,99.51,94.485,99.35,98.379563617912,140466,0.0,1.0
2024-07-15,93.55,96.49,93.55,95.38,94.448342001776,110803,0.0,1.0
2024-07-12,93.96,94.92,92.0745,93.49,92.5768032474946,154517,0.0,1.0
2024-07-11,92.77,92.83,90.48,91.24,90.3487809209692,133604,0.0,1.0
2024-07-10,89.61,90.56,89.0,90.19,89.3090371685906,100820,0.0,1.0
2024-07-09,90.34,91.3,88.6,89.27,88.398023595078,176451,0.0,1.0
2024-07-08,87.94,90.64,87.94,90.44,89.5565952048712,152850,0.0,1.0
2024-07-05,91.19,91.19,87.34,87.56,86.7047266269187,86647,0.0,1.0
2024-07-03,88.74,90.99,88.74,90.98,90.0913205632373,64486,0.0,1.0
2024-07-02,87.39,88.35,87.12,88.25,87.3879868070532,57759,0.0,1.0
2024-07-01,88.24,89.5173,86.651,87.27,86.4175593048332,109641,0.0,1.0
2024-06-28,87.23,88.2,86.26,87.9,87.0414055562603,486370,0.0,1.0
2024-06-27,87.99,88.3,85.26,85.94,85.1005505518204,109576,0.0,1.0
2024-06-26,87.62,87.63,86.0401,87.34,86.4868755549918,109314,0.0,1.0
2024-06-25,88.5,88.5,86.87,87.66,86.8037498414309,139409,0.0,1.0
2024-06-24,88.77,90.13,88.46,89.13,88.2593910947609,85066,0.0,1.0
2024-06-21,87.63,88.67,87.14,88.63,87.7642750221997,337860,0.0,1.0
2024-06-20,89.05,90.03,87.895,87.95,87.0909171635164,93532,0.0,1.0
2024-06-18,87.93,89.67,87.93,88.91,88.0415400228339,94571,0.0,1.0
2024-06-17,88.18,88.59,86.81,88.26,87.3978891285044,153633,0.0,1.0
2024-06-14,89.85,90.71,88.09,89.2,88.3287073449195,136874,0.0,1.0
2024-06-13,92.08,92.88,90.5,91.54,90.6458505645059,109153,0.0,1.0
2024-06-12,94.88,94.97,92.59,92.64,91.7351059241406,127789,0.0,1.0
2024-06-11,90.62,91.795,88.88,91.04,90.1507344919447,124646,0.0,1.0
2024-06-10,90.23,92.3,89.66,92.08,91.180575922872,116212,0.0,1.0
2024-06-07,91.12,92.36,90.01,91.02,90.1309298490422,104658,0.0,1.0
2024-06-06,91.25,95.3,91.25,93.34,92.4282684257262,143470,0.0,1.0
2024-06-05,91.89,92.485,90.95,91.3,90.4081948496765,201409,0.0,1.0
2024-06-04,94.51,94.7225,91.33,92.06,91.1607712799696,107206,0.0,1.0
2024-06-03,99.05,99.1201,95.89,96.01,95.0721882532031,87356,0.0,1.0
2024-05-31,100.38,100.4925,96.68,97.8,96.8447037929722,139107,0.0,1.0
2024-05-30,97.97,99.6,97.64,99.49,98.5181961182291,86368,0.0,1.0
2024-05-29,96.2,98.79,95.8815,97.92,96.9635316503869,120990,0.0,1.0
2024-05-28,96.88,97.99,95.895,97.94,96.9833362932894,138746,0.0,1.0
2024-05-24,96.26,96.6825,95.145,95.69,94.7553139667639,100221,0.0,1.0
2024-05-23,96.19,96.32,94.32,95.44,94.5077559304833,139295,0.0,1.0
2024-05-22,99.23,99.23,95.63,95.68,94.7454116453127,121119,0.0,1.0
2024-05-21,100.0,102.35,99.27,100.43,99.4490143346442,160960,0.0,1.0
2024-05-20,100.43,102.42,100.07,100.07,99.0925307624001,100333,0.0,1.0
2024-05-17,99.39,102.26,99.39,100.98,99.9936420144615,168097,0.0,1.0
2024-05-16,100.62,100.71,98.42,98.62,97.6566941519726,111175,0.0,1.0
2024-05-15,101.95,101.95,99.82,101.2,100.211493086388,87749,0.0,1.0
2024-05-14,100.93,101.66,99.0,100.5,99.5183305848027,113412,0.0,1.0
2024-05-13,99.65,100.83,99.155,100.19,99.2113586198148,90585,0.0,1.0
2024-05-10,98.17,99.0,97.3771,98.69,97.7260104021312,98362,0.0,1.0
2024-05-09,95.69,98.46,95.69,97.57,96.6169503995941,90487,0.0,1.0
2024-05-08,96.24,97.31,94.8472,95.99,95.0523836103006,92030,0.0,1.0
2024-05-07,97.62,99.25,97.56,97.81,96.8546061144234,111649,0.0,1.0
2024-05-06,97.12,99.46,97.12,97.79,96.834801471521,175471,0.0,1.0
2024-05-03,95.83,96.47,93.425,96.11,95.1712114677153,156017,0.0,1.0
2024-05-02,92.32,94.57,91.5,94.33,93.4085982493974,139028,0.0,1.0
2024-05-01,91.13,93.77,89.93,91.85,90.9528225294938,215789,0.0,1.0
2024-04-30,93.59,94.34,90.4,90.49,89.6061068121274,179724,0.0,1.0
2024-04-29,94.85,96.41,93.9563,95.15,94.2205886083978,155790,0.0,1.0
2024-04-26,90.17,95.47,89.34,94.92,93.9928352150197,470638,0.0,1.0
2024-04-25,88.5,90.19,85.82,88.49,87.6256425218825,670937,0.0,1.0
2024-04-24,87.25,88.58,86.01,87.33,86.4769732335405,204532,0.77,1.0
2024-04-23,88.89,89.794,88.18,89.63,87.9787867301049,173149,0.0,1.0
2024-04-22,89.49,90.51,87.7925,89.82,88.1652864453645,108206,0.0,1.0
2024-04-19,89.34,91.25,88.89,89.49,87.841365887282,133213,0.0,1.0
2024-04-18,90.17,91.01,88.26,90.17,88.5088385524217,140831,0.0,1.0
2024-04-17,91.95,92.75,89.54,89.96,88.3027072881873,195540,0.0,1.0
2024-04-16,86.8,90.76,86.0,90.47,88.8033117870421,280211,0.0,1.0
2024-04-15,91.55,92.4,88.425,88.83,87.193524771117,137199,0.0,1.0
2024-04-12,91.5,92.08,88.31,89.15,87.5076295547121,109671,0.0,1.0
2024-04-11,91.07,91.45,89.55,91.26,89.5787579715427,107874,0.0,1.0
2024-04-10,90.7,92.3,88.62,90.62,88.9505484043524,160570,0.0,1.0
2024-04-09,94.7,95.56,92.85,93.45,91.728412584272,129029,0.0,1.0
2024-04-08,94.11,94.36,92.255,93.76,92.0327015933798,113093,0.0,1.0
2024-04-05,90.31,93.08,89.96,92.97,91.2572554088793,116627,0.0,1.0
2024-04-04,92.93,93.29,89.67,90.95,89.2744689624349,116735,0.0,1.0
2024-04-03,90.27,92.845,90.27,92.25,90.5505196457902,188342,0.0,1.0
2024-04-02,88.33,91.47,87.825,90.89,89.2155743155108,184545,0.0,1.0
2024-04-01,90.23,90.23,88.13,88.67,87.0364723793194,78898,0.0,1.0
2024-03-28,88.2,90.61,88.2,89.36,87.7137608189465,159761,0.0,1.0
2024-03-27,85.78,88.44,85.78,88.2,86.575130978414,146291,0.0,1.0
2024-03-26,85.03,85.69,83.565,85.16,83.5911355342601,150921,0.0,1.0
2024-03-25,82.45,84.72,82.25,84.06,82.5114003406517,152877,0.0,1.0
2024-03-22,81.43,81.51,80.37,81.13,79.6353784158586,106606,0.0,1.0
2024-03-21,82.5,82.98,81.39,82.06,80.548245443182,115032,0.0,1.0
2024-03-20,78.9,82.525,78.73,82.08,80.5678769921567,159492,0.0,1.0
2024-03-19,77.54,79.23,76.65,79.23,77.7703812632624,188065,0.0,1.0
2024-03-18,79.02,79.36,77.4,78.17,76.7299091676035,150821,0.0,1.0
2024-03-15,76.74,79.09,76.74,78.3,76.857514235939,1008779,0.0,1.0
2024-03-14,77.57,77.81,75.1,77.09,75.6698055229698,241239,0.0,1.0
2024-03-13,76.58,78.895,76.48,77.72,76.2881993156728,238063,0.0,1.0
2024-03-12,77.21,77.21,75.4,76.19,74.7863858191084,192540,0.0,1.0
2024-03-11,74.18,77.25,73.52,76.75,75.3360691904,216088,0.0,1.0
2024-03-08,76.72,77.31,74.54,75.46,74.069834281532,93986,0.0,1.0
2024-03-07,73.24,75.57,73.24,75.48,74.0894658305067,132761,0.0,1.0
2024-03-06,73.16,73.9015,71.7701,72.73,71.3901278464859,136558,0.0,1.0
2024-03-05,70.29,71.935,69.96,71.76,70.4379977212131,139255,0.0,1.0
2024-03-04,73.41,73.94,71.27,71.27,69.957024771333,113075,0.0,1.0
2024-03-01,73.12,73.96,71.91,73.59,72.2342844523978,110121,0.0,1.0
2024-02-29,71.71,72.69,70.89,72.52,71.1839965822515,137496,0.0,1.0
2024-02-28,69.57,71.1,69.47,70.28,68.9852630970855,121037,0.0,1.0
2024-02-27,73.29,73.29,70.81,70.82,69.5153149194023,117153,0.0,1.0
2024-02-26,70.38,72.19,69.76,72.09,70.7619182792955,160656,0.0,1.0
2024-02-23,71.0,71.36,69.72,71.13,69.8196039285101,150518,0.0,1.0
2024-02-22,68.4,73.69,62.83,70.61,69.309183655168,262770,0.0,1.0
2024-02-21,66.02,67.59,65.84,66.08,64.8626378123991,134081,0.0,1.0
2024-02-20,64.54,65.85,63.4,65.77,64.5583488032913,113133,0.0,1.0
2024-02-16,65.0,67.5,65.0,66.06,64.8430062634244,96627,0.0,1.0
2024-02-15,63.47,65.65,63.44,65.55,64.3424017645696,155541,0.0,1.0
2024-02-14,62.85,64.14,62.125,63.39,62.2221944753023,161229,0.0,1.0
2024-02-13,62.46,66.76,60.71,61.44,60.3081184502694,113504,0.0,1.0
2024-02-12,65.1,66.52,65.1,65.49,64.2835071176455,96614,0.0,1.0
2024-02-09,64.82,65.115,63.5,64.68,63.4884293841703,68904,0.0,1.0
2024-02-08,63.87,65.36,62.64,64.85,63.6552975504552,65498,0.0,1.0
2024-02-07,64.38,64.38,62.47,63.52,62.3497995436379,94533,0.0,1.0
2024-02-06,63.04,65.055,63.01,64.51,63.3215612178854,79218,0.0,1.0
2024-02-05,63.99,64.15,62.04,63.2,62.0356947600427,75945,0.0,1.0
2024-02-02,64.85,66.07,64.15,65.66,64.4503752839304,64725,0.0,1.0
2024-02-01,65.55,66.57,64.09,66.29,65.0687690766334,72563,0.0,1.0
2024-01-31,67.6,68.3,64.9,64.9,63.704376422892,102486,0.0,1.0
2024-01-30,67.81,68.0,67.16,67.5,66.2564777896026,48814,0.0,1.0
2024-01-29,67.94,68.83,66.68,68.74,67.4736338260338,68121,0.0,1.0
2024-01-26,68.09,68.42,67.02,67.94,66.6883718670459,70549,0.0,1.0
2024-01-25,67.3,67.35,65.075,66.87,65.6380839968996,112113,0.0,1.0
2024-01-24,66.72,66.85,64.23,65.93,64.7154011950889,114538,0.77,1.0
2024-01-23,65.78,67.76,65.78,66.6,64.618376605591,166060,0.0,1.0
2024-01-22,62.71,65.65,62.57,65.19,63.2503298936708,150159,0.0,1.0
2024-01-19,61.24,62.69,60.05,62.61,60.7470954846254,91448,0.0,1.0
2024-01-18,60.59,62.5299,59.52,60.52,58.7192815641196,63721,0.0,1.0
2024-01-17,60.69,61.52,59.81,60.3,58.5058274672243,99845,0.0,1.0
2024-01-16,62.92,63.17,61.6809,62.0,60.1552454886883,97434,0.0,1.0
2024-01-12,64.98,65.8699,63.505,63.85,61.9502003943992,60762,0.0,1.0
2024-01-11,62.95,64.1299,62.0,63.69,61.7949610512025,105471,0.0,1.0
2024-01-10,63.51,63.9,62.64,63.49,61.6009118722068,97712,0.0,1.0
2024-01-09,64.74,65.55,63.78,63.93,62.0278200659975,70519,0.0,1.0
2024-01-08,64.25,66.08,63.79,66.08,64.113848740202,106133,0.0,1.0
2024-01-05,64.41,66.565,63.2086,64.66,62.736099569332,72049,0.0,1.0
2024-01-04,65.97,66.5717,65.095,65.23,63.28913972947,72876,0.0,1.0
2024-01-03,69.22,69.22,65.87,66.01,64.0459315275535,105821,0.0,1.0
2024-01-02,70.28,72.07,69.98,70.3,68.2082864170127,92706,0.0,1.0
2023-12-29,72.8,73.075,70.595,71.19,69.0718052635439,96114,0.0,1.0
2023-12-28,72.99,73.73,72.465,73.08,70.9055700050539,57941,0.0,1.0
2023-12-27,72.86,73.47,72.38,73.47,71.2839659040956,70914,0.0,1.0
2023-12-26,71.42,72.92,71.33,72.53,70.3719347628155,64557,0.0,1.0
2023-12-22,70.03,71.33,69.99,71.01,68.8971610024477,70395,0.0,1.0
2023-12-21,69.58,69.72,68.85,69.54,67.4708995368288,74169,0.0,1.0
2023-12-20,69.43,71.76,68.5,68.65,66.6073806902976,104425,0.0,1.0
2023-12-19,67.96,70.1,67.96,69.84,67.7619733053224,114832,0.0,1.0
2023-12-18,67.81,68.575,66.19,67.13,65.1326069299298,155190,0.0,1.0
2023-12-15,68.55,68.915,66.97,67.22,65.2199290604779,1129911,0.0,1.0
2023-12-14,66.82,70.0,66.6,67.76,65.7438618437664,232237,0.0,1.0
2023-12-13,59.71,65.5,59.71,64.85,62.920446289378,200827,0.0,1.0
2023-12-12,61.55,61.7077,59.56,60.5,58.69987664622,137532,0.0,1.0
2023-12-11,60.18,63.18,59.63,62.0,60.1552454886883,204330,0.0,1.0
2023-12-08,59.13,60.575,59.13,60.0,58.2147536987306,90521,0.0,1.0
2023-12-07,58.46,59.71,58.2,59.0,57.2445078037518,87595,0.0,1.0
2023-12-06,59.16,60.55,58.39,58.48,56.7399799383628,112000,0.0,1.0
2023-12-05,61.01,61.01,58.43,58.55,56.8078971510113,99422,0.0,1.0
2023-12-04,59.43,61.73,59.43,61.27,59.4469659853537,111304,0.0,1.0
2023-12-01,58.36,60.8,58.36,60.07,58.2826709113791,134033,0.0,1.0
2023-11-30,57.53,59.66,57.52,58.48,56.7399799383628,84999,0.0,1.0
2023-11-29,59.03,59.9,57.59,57.64,55.9249733865805,114737,0.0,1.0
2023-11-28,58.95,59.33,57.55,58.08,56.3518815803712,160813,0.0,1.0
2023-11-27,59.37,59.645,58.3926,58.59,56.8467069868104,81457,0.0,1.0
2023-11-24,59.38,60.06,59.0,59.66,57.8848700944378,30977,0.0,1.0
2023-11-22,59.73,60.2399,59.26,59.73,57.9527873070863,58871,0.0,1.0
2023-11-21,60.06,61.01,59.46,59.53,57.7587381280906,73996,0.0,1.0
2023-11-20,61.25,61.7605,60.26,60.78,58.9715454968141,55838,0.0,1.0
2023-11-17,60.5,63.335,60.08,60.76,58.9521405789145,110887,0.0,1.0
2023-11-16,61.58,61.58,58.94,59.22,57.4579619006471,78077,0.0,1.0
2023-11-15,61.35,63.07,60.95,62.26,60.4075094213828,91846,0.0,1.0
2023-11-14,58.0,61.13,57.5425,60.95,59.1364872989605,119181,0.0,1.0
2023-11-13,55.92,56.79,54.59,55.95,54.2852578240663,79320,0.0,1.0
2023-11-10,56.78,56.78,55.54,55.73,54.0718037271709,145858,0.0,1.0
2023-11-09,57.89,57.89,55.56,56.23,54.5569266746604,102949,0.0,1.0
2023-11-08,58.08,58.22,55.68,57.19,55.4883627338401,62593,0.0,1.0
2023-11-07,58.9,59.25,56.875,57.85,56.1287250245261,70531,0.0,1.0
2023-11-06,59.33,60.16,58.41,59.58,57.8072504228395,107346,0.0,1.0
2023-11-03,60.07,61.5446,58.67,58.86,57.1086733784547,109733,0.0,1.0
2023-11-02,57.78,58.355,56.32,58.22,56.4877160056683,81121,0.0,1.0
2023-11-01,56.82,56.82,54.28,56.44,54.7606783126059,98933,0.0,1.0
2023-10-31,56.51,59.2,55.65,56.8,55.1099668347983,94906,0.0,1.0
2023-10-30,55.51,56.62,54.24,56.49,54.8091906073549,152111,0.0,1.0
2023-10-27,57.72,58.02,53.665,54.28,52.6649471794516,204629,0.0,1.0
2023-10-26,60.51,62.595,57.78,57.87,56.1481299424257,145495,0.0,1.0
2023-10-25,63.5,63.58,61.97,62.65,60.7859053204245,127445,0.0,1.0
2023-10-24,62.64,64.75,62.64,64.3,62.3868110471396,114868,0.77,1.0
2023-10-23,64.12,64.96,63.44,63.46,60.8432000776315,72483,0.0,1.0
2023-10-20,66.64,66.66,63.995,64.23,61.5814488021789,86297,0.0,1.0
2023-10-19,67.32,69.81,66.52,66.55,63.8057826215943,75213,0.0,1.0
2023-10-18,69.59,69.59,67.3,67.35,64.5727942834617,54955,0.0,1.0
2023-10-17,67.08,70.37,65.8313,69.99,67.1039327676241,77983,0.0,1.0
2023-10-16,67.87,69.04,67.535,67.65,64.860423656662,70561,0.0,1.0
2023-10-13,69.9,70.24,66.75,67.08,64.3139278475815,79756,0.0,1.0
2023-10-12,71.72,71.72,67.94,69.53,66.6629010620504,65759,0.0,1.0
2023-10-11,70.36,71.585,70.335,71.24,68.302388489292,65438,0.0,1.0
2023-10-10,68.69,71.02,68.48,70.0,67.1135204133975,50287,0.0,1.0
2023-10-09,66.56,68.85,66.28,68.33,65.5123835692493,45805,0.0,1.0
2023-10-06,67.16,68.03,65.96,67.33,64.553618991915,62399,0.0,1.0
2023-10-05,68.81,69.65,66.99,67.13,64.3618660764482,85384,0.0,1.0
2023-10-04,70.155,70.155,68.77,68.82,65.9821782121431,83849,0.0,1.0
2023-10-03,72.06,73.9999,70.06,70.08,67.1902215795842,91140,0.0,1.0
2023-10-02,75.2,75.26,72.7,73.01,69.9994017911736,105057,0.0,1.0
2023-09-29,74.4,76.58,74.39,75.26,72.1566220901756,87792,0.0,1.0
2023-09-28,72.64,74.83,71.77,73.33,70.3062064559205,91995,0.0,1.0
2023-09-27,71.73,72.71,70.72,72.23,69.2515654208529,88299,0.0,1.0
2023-09-26,71.75,73.19,70.36,70.81,67.8901197210382,63079,0.0,1.0
2023-09-25,72.72,73.285,71.88,71.94,68.9735236934259,78914,0.0,1.0
2023-09-22,73.48,75.645,73.26,73.71,70.6705369953075,63771,0.0,1.0
2023-09-21,74.1,74.805,72.93,73.02,70.0089894369469,54391,0.0,1.0
2023-09-20,76.4,77.26,75.18,75.3,72.194972673269,57109,0.0,1.0
2023-09-19,75.9,76.115,74.84,75.75,72.6264167330694,49559,0.0,1.0
2023-09-18,77.79,77.79,75.51,75.79,72.6647673161628,46498,0.0,1.0
2023-09-15,80.42,80.945,76.77,77.32,74.1316771194842,497059,0.0,1.0
2023-09-14,77.46,80.64,77.46,80.6,77.2764249331405,80388,0.0,1.0
2023-09-13,75.99,77.0,75.24,76.21,73.0674484386432,74522,0.0,1.0
2023-09-12,75.66,77.27,74.235,75.83,72.7031178992562,66956,0.0,1.0
2023-09-11,74.77,75.805,73.83,75.78,72.6551796703894,98366,0.0,1.0
2023-09-08,74.02,75.04,73.74,73.75,70.7088875784009,73545,0.0,1.0
2023-09-07,73.73,74.19,72.01,73.78,70.7376505157209,97195,0.0,1.0
2023-09-06,74.66,75.31,73.13,74.42,71.3512598452149,75565,0.0,1.0
2023-09-05,77.24,77.24,74.19,74.72,71.6388892184151,103665,0.0,1.0
2023-09-01,77.09,78.79,77.09,78.09,74.8699258440316,59313,0.0,1.0
2023-08-31,76.02,76.69,75.78,75.92,72.7894067112162,65950,0.0,1.0
2023-08-30,74.56,76.565,74.56,76.18,73.0386855013232,39603,0.0,1.0
2023-08-29,73.8,74.96,72.95,74.96,71.8689927169754,71813,0.0,1.0
2023-08-28,72.83,74.62,72.555,73.68,70.6417740579875,49213,0.0,1.0
2023-08-25,72.98,73.13,71.2,72.5,69.5104318567331,54896,0.0,1.0
2023-08-24,72.95,73.515,71.88,72.36,69.3762048159063,59997,0.0,1.0
2023-08-23,74.73,74.73,73.395,73.59,70.5554852460274,43103,0.0,1.0
2023-08-22,75.62,75.88,74.06,74.68,71.6005386353218,51491,0.0,1.0
2023-08-21,76.24,76.91,74.305,74.86,71.7731162592419,58902,0.0,1.0
2023-08-18,75.27,76.91,74.43,76.41,73.25920135411,68917,0.0,1.0
2023-08-17,75.32,78.045,75.32,76.34,73.1920878336966,78454,0.0,1.0
2023-08-16,74.48,76.43,74.48,74.82,71.7347656761486,75278,0.0,1.0
2023-08-15,76.01,76.01,74.06,74.6,71.523837469135,83277,0.0,1.0
2023-08-14,75.52,77.08,74.01,76.98,73.8056971631906,84629,0.0,1.0
2023-08-11,76.18,76.89,75.63,76.22,73.0770360844165,50637,0.0,1.0
2023-08-10,76.73,76.98,75.675,76.51,73.3550778118435,68101,0.0,1.0
2023-08-09,77.18,78.17,75.46,76.08,72.9428090435897,56888,0.0,1.0
2023-08-08,76.64,77.9,75.56,77.48,74.2850794518577,46962,0.0,1.0
2023-08-07,79.02,79.66,77.97,78.1,74.8795134898049,51915,0.0,1.0
2023-08-04,79.55,80.26,78.54,78.97,75.7136386720857,43203,0.0,1.0
2023-08-03,79.54,80.76,78.5,79.35,76.0779692114727,67992,0.0,1.0
2023-08-02,80.3,81.01,79.13,79.84,76.5477638543665,69851,0.0,1.0
2023-08-01,80.18,82.0,79.6,81.8,78.4269424259416,67096,0.0,1.0
2023-07-31,79.17,81.369,79.135,81.2,77.8516836795411,86037,0.0,1.0
2023-07-28,79.9,80.635,78.135,78.91,75.6561127974456,80884,0.0,1.0
2023-07-27,83.08,83.08,78.095,78.96,75.7040510263124,127206,0.0,1.0
2023-07-26,87.64,88.41,81.68,83.12,79.6925116680228,232819,0.0,1.0
2023-07-25,79.46,82.67,79.45,80.83,77.4969407859274,136873,0.0,1.0
2023-07-24,78.73,80.09,77.6,79.03,75.7711645467258,88218,0.77,1.0
2023-07-21,79.29,79.54,77.58,79.04,75.0495344081855,80680,0.0,1.0
2023-07-20,79.61,80.0,78.45,78.84,74.8596317401486,84944,0.0,1.0
2023-07-19,76.61,79.41,76.08,79.27,75.267922476428,96827,0.0,1.0
2023-07-18,77.02,78.16,75.84,76.06,72.2199846544356,85078,0.0,1.0
2023-07-17,75.3,77.06,75.185,76.8,72.9226245261722,62067,0.0,1.0
2023-07-14,76.08,76.08,73.72,75.47,71.6597717837267,75281,0.0,1.0
2023-07-13,75.22,76.66,75.22,76.22,72.3719067888651,74891,0.0,1.0
2023-07-12,75.5,76.77,73.975,74.81,71.0330929792049,86671,0.0,1.0
2023-07-11,71.92,73.51,71.589,73.29,69.5898327021245,70363,0.0,1.0
2023-07-10,70.6,74.45,70.6,71.94,68.3079896928753,70551,0.0,1.0
2023-07-07,70.89,73.45,70.89,72.6,68.9346684973971,72232,0.0,1.0
2023-07-06,70.4,70.58,67.36,70.45,66.8932148160004,90319,0.0,1.0
2023-07-05,71.99,72.73,70.235,70.87,67.2920104188779,91254,0.0,1.0
2023-07-03,71.41,73.16,71.41,72.93,69.248007899658,36220,0.0,1.0
2023-06-30,72.6,72.6,71.02,71.64,68.02313569082,81997,0.0,1.0
2023-06-29,70.1,72.33,69.48,71.77,68.146572425044,65126,0.0,1.0
2023-06-28,70.0,71.47,69.55,70.03,66.4944192131229,86729,0.0,1.0
2023-06-27,68.79,70.975,68.175,70.39,66.8362440155893,88480,0.0,1.0
2023-06-26,68.42,70.335,68.26,68.38,64.9277222018184,80837,0.0,1.0
2023-06-23,67.1,68.9361,66.21,68.51,65.0511589360424,187664,0.0,1.0
2023-06-22,70.04,70.8,68.84,68.85,65.3739934717051,83612,0.0,1.0
2023-06-21,70.0,71.61,69.6,71.06,67.4724179535129,97557,0.0,1.0
2023-06-20,70.93,70.93,69.43,70.57,67.0071564168225,99260,0.0,1.0
2023-06-16,71.13,71.56,69.75,71.22,67.6243400879425,418210,0.0,1.0
2023-06-15,69.5,71.42,68.4778,71.07,67.4819130869148,81672,0.0,1.0
2023-06-14,71.25,72.245,69.37,69.72,66.2000700776657,89346,0.0,1.0
2023-06-13,70.16,72.15,69.75,70.67,67.102107750841,109483,0.0,1.0
2023-06-12,67.98,69.83,67.585,69.36,65.8582452751992,95588,0.0,1.0
2023-06-09,68.84,68.84,66.62,67.48,64.0731601956523,75037,0.0,1.0
