,EQIX_Open,EQIX_High,EQIX_Low,EQIX_Close,EQIX_Adj Close,EQIX_Volume,EQIX_Dividend Amount,EQIX_Split Coefficient
2018-05-31,396.25,403.15,394.01,396.85,353.857082289088,901470,0.0,1.0
2018-05-30,393.85,403.32,393.85,401.29,357.816072953982,603626,0.0,1.0
2018-05-29,388.65,396.64,385.57,396.1,353.188333865963,589484,0.0,1.0
2018-05-25,386.45,391.37,384.73,388.05,346.010434124431,365354,0.0,1.0
2018-05-24,391.57,392.0,385.18,387.0,345.074186332057,610365,0.0,1.0
2018-05-23,381.96,385.0,379.66,384.42,342.77369175651,552952,0.0,1.0
2018-05-22,387.85,388.29,382.26,383.19,341.676944342586,413653,2.28,1.0
2018-05-21,387.24,388.93,384.91,388.75,344.584305168186,482765,0.0,1.0
2018-05-18,382.0,389.67,381.95,385.86,342.022636635874,634226,0.0,1.0
2018-05-17,386.02,387.68,380.16,381.93,338.539121988129,426643,0.0,1.0
2018-05-16,388.96,394.01,384.56,385.76,341.933997586313,425339,0.0,1.0
2018-05-15,394.47,395.8,386.61,388.32,344.203157255074,553475,0.0,1.0
2018-05-14,400.45,402.61,396.84,397.95,352.739097727793,274674,0.0,1.0
2018-05-11,400.0,406.02,398.18,401.89,356.231476280494,431850,0.0,1.0
2018-05-10,390.22,398.95,389.52,398.66,353.368434979676,390264,0.0,1.0
2018-05-09,389.26,390.29,386.14,388.17,344.070198680732,483982,0.0,1.0
2018-05-08,392.48,393.92,384.45,388.34,344.220885064986,978522,0.0,1.0
2018-05-07,404.09,405.45,392.21,394.16,349.379677749433,705405,0.0,1.0
2018-05-04,396.2,405.77,396.2,403.88,357.995393366757,548679,0.0,1.0
2018-05-03,417.0,423.0,393.12,398.13,352.898648017003,1441011,0.0,1.0
2018-05-02,422.16,433.26,420.26,424.09,375.909345283025,1047389,0.0,1.0
2018-05-01,420.79,424.87,417.89,423.03,374.969771357679,450184,0.0,1.0
2018-04-30,422.47,423.4,419.05,420.79,372.984256647513,538460,0.0,1.0
2018-04-27,416.26,422.19,415.0,421.15,373.303357225933,485837,0.0,1.0
2018-04-26,412.97,418.53,409.95,416.08,368.809357413193,364749,0.0,1.0
2018-04-25,408.59,411.38,406.17,410.21,363.606245203965,460362,0.0,1.0
2018-04-24,409.0,410.72,407.33,409.53,363.003499666951,615949,0.0,1.0
2018-04-23,406.61,408.84,405.13,407.58,361.275038200512,568473,0.0,1.0
2018-04-20,411.2,414.28,405.11,406.06,359.927724647186,411177,0.0,1.0
2018-04-19,412.52,412.52,406.0,409.37,362.861677187653,382344,0.0,1.0
2018-04-18,411.53,415.0,409.17,414.18,367.125215471535,483379,0.0,1.0
2018-04-17,406.05,413.32,403.08,409.76,363.207369480941,579242,0.0,1.0
2018-04-16,402.82,406.63,401.01,405.52,359.449073779557,396676,0.0,1.0
