,SPSC_Open,SPSC_High,SPSC_Low,SPSC_Close,SPSC_Adj Close,SPSC_Volume,SPSC_Dividend Amount,SPSC_Split Coefficient
2016-12-29,70.76,71.4,69.67,70.43,35.215,74785,0.0,1.0
2016-12-28,71.72,71.79,70.2,70.52,35.26,42369,0.0,1.0
2016-12-27,71.01,71.995,70.91,71.55,35.775,69717,0.0,1.0
2016-12-23,70.64,71.23,69.87,71.11,35.555,103994,0.0,1.0
2016-12-22,70.73,71.7399,68.8,70.03,35.015,73286,0.0,1.0
2016-12-21,71.19,71.64,69.8,70.77,35.385,61898,0.0,1.0
2016-12-20,73.03,73.03,70.94,71.02,35.51,239149,0.0,1.0
2016-12-19,72.55,73.16,71.55,72.45,36.225,94065,0.0,1.0
2016-12-16,71.45,72.95,70.91,71.875,35.9375,165089,0.0,1.0
2016-12-15,70.75,71.99,70.52,71.59,35.795,124811,0.0,1.0
2016-12-14,70.91,71.27,69.615,70.57,35.285,61773,0.0,1.0
2016-12-13,69.51,70.95,68.6,70.88,35.44,80642,0.0,1.0
2016-12-12,70.13,70.8,68.41,69.21,34.605,51784,0.0,1.0
2016-12-09,69.99,71.22,69.02,69.84,34.92,107471,0.0,1.0
2016-12-08,67.88,69.96,67.38,69.62,34.81,76157,0.0,1.0
2016-12-07,68.54,68.54,67.0,67.95,33.975,79505,0.0,1.0
2016-12-06,65.4,68.89,65.15,68.38,34.19,135144,0.0,1.0
2016-12-05,65.87,66.04,65.42,65.8,32.9,127957,0.0,1.0
2016-12-02,66.25,67.46,64.88,65.45,32.725,75210,0.0,1.0
2016-12-01,68.97,69.695,66.09,66.58,33.29,164839,0.0,1.0
2016-11-30,67.76,69.48,67.37,69.27,34.635,154232,0.0,1.0
2016-11-29,67.1,67.6899,66.67,67.41,33.705,44054,0.0,1.0
2016-11-28,67.61,68.12,66.88,67.11,33.555,50381,0.0,1.0
2016-11-25,67.76,67.87,66.6,67.85,33.925,26840,0.0,1.0
2016-11-23,67.0,67.83,65.6466,67.74,33.87,50446,0.0,1.0
2016-11-22,66.3,67.19,66.12,67.05,33.525,103899,0.0,1.0
