,AMWD_Open,AMWD_High,AMWD_Low,AMWD_Close,AMWD_Adj Close,AMWD_Volume,AMWD_Dividend Amount,AMWD_Split Coefficient
2024-06-04,84.99,85.76,84.02,85.59,85.59,347955,0.0,1.0
2024-06-03,87.26,87.26,85.0101,85.7,85.7,243261,0.0,1.0
2024-05-31,86.09,86.67,83.36,86.11,86.11,217306,0.0,1.0
2024-05-30,86.26,86.7,85.61,85.84,85.84,148036,0.0,1.0
2024-05-29,86.09,86.18,84.66,85.4,85.4,172253,0.0,1.0
2024-05-28,89.36,89.905,87.16,87.32,87.32,258220,0.0,1.0
2024-05-24,85.34,89.07,84.0,89.04,89.04,410385,0.0,1.0
2024-05-23,93.63,93.63,91.4,92.66,92.66,164547,0.0,1.0
2024-05-22,93.26,93.93,92.33,93.37,93.37,136936,0.0,1.0
2024-05-21,94.35,94.46,93.33,93.69,93.69,155165,0.0,1.0
2024-05-20,95.84,96.78,94.58,94.63,94.63,84962,0.0,1.0
2024-05-17,94.56,96.01,94.13,96.01,96.01,122717,0.0,1.0
2024-05-16,96.69,96.815,94.58,94.69,94.69,140690,0.0,1.0
2024-05-15,96.51,97.56,96.29,96.67,96.67,105348,0.0,1.0
2024-05-14,96.09,96.36,94.71,95.3,95.3,76089,0.0,1.0
2024-05-13,96.9,96.9,94.9,94.9,94.9,104138,0.0,1.0
2024-05-10,95.02,95.955,93.94,95.85,95.85,90903,0.0,1.0
2024-05-09,93.75,95.577,93.235,95.09,95.09,98544,0.0,1.0
2024-05-08,93.97,94.525,92.61,93.17,93.17,185248,0.0,1.0
2024-05-07,95.85,96.11,94.4,94.48,94.48,103500,0.0,1.0
2024-05-06,94.95,97.01,94.95,95.45,95.45,68748,0.0,1.0
2024-05-03,95.02,96.42,93.675,94.45,94.45,67912,0.0,1.0
2024-05-02,93.76,94.26,92.56,93.37,93.37,101631,0.0,1.0
2024-05-01,92.14,95.09,91.32,93.04,93.04,234378,0.0,1.0
2024-04-30,93.36,93.37,91.96,92.08,92.08,106285,0.0,1.0
2024-04-29,93.42,94.38,92.79,94.06,94.06,82916,0.0,1.0
2024-04-26,92.02,93.74,92.02,92.92,92.92,73627,0.0,1.0
2024-04-25,90.68,92.34,89.04,91.67,91.67,102816,0.0,1.0
2024-04-24,92.92,93.97,90.68,92.17,92.17,118157,0.0,1.0
2024-04-23,90.5,93.4,90.5,92.91,92.91,139886,0.0,1.0
2024-04-22,90.5,91.1,89.61,90.3,90.3,207792,0.0,1.0
2024-04-19,89.7,90.915,88.63,90.2,90.2,150242,0.0,1.0
2024-04-18,92.09,92.48,89.93,90.1,90.1,158062,0.0,1.0
2024-04-17,93.06,93.06,90.52,91.39,91.39,117972,0.0,1.0
2024-04-16,93.72,93.72,91.73,92.5,92.5,150581,0.0,1.0
2024-04-15,96.91,97.75,93.81,94.57,94.57,105114,0.0,1.0
2024-04-12,96.52,97.67,95.24,96.02,96.02,148146,0.0,1.0
2024-04-11,98.2,98.2,96.52,97.22,97.22,90143,0.0,1.0
2024-04-10,98.34,99.33,96.28,97.59,97.59,92272,0.0,1.0
2024-04-09,102.09,102.09,99.17,101.12,101.12,54654,0.0,1.0
2024-04-08,102.88,103.42,101.55,101.65,101.65,85112,0.0,1.0
2024-04-05,99.63,102.43,99.36,101.79,101.79,92663,0.0,1.0
2024-04-04,102.18,103.22,99.25,99.8,99.8,106019,0.0,1.0
2024-04-03,98.13,102.05,98.13,101.31,101.31,76766,0.0,1.0
2024-04-02,99.17,99.22,97.3,98.45,98.45,129553,0.0,1.0
2024-04-01,102.27,102.5,99.5392,100.01,100.01,57275,0.0,1.0
2024-03-28,101.55,102.375,100.58,101.66,101.66,125831,0.0,1.0
2024-03-27,101.6,102.05,100.56,101.05,101.05,85692,0.0,1.0
2024-03-26,99.74,100.755,99.47,100.61,100.61,88141,0.0,1.0
2024-03-25,100.58,100.895,99.29,99.3,99.3,48629,0.0,1.0
2024-03-22,102.06,102.06,98.82,100.1,100.1,86852,0.0,1.0
2024-03-21,98.98,103.45,97.54,102.31,102.31,193532,0.0,1.0
2024-03-20,97.61,98.51,96.185,98.0,98.0,231068,0.0,1.0
2024-03-19,95.02,97.58,94.94,97.5,97.5,128654,0.0,1.0
2024-03-18,95.51,96.85,93.27,95.19,95.19,146454,0.0,1.0
2024-03-15,92.57,94.85,92.57,94.76,94.76,494296,0.0,1.0
2024-03-14,94.04,94.46,92.01,93.22,93.22,110129,0.0,1.0
2024-03-13,95.12,95.9,94.235,94.63,94.63,79612,0.0,1.0
2024-03-12,95.82,96.09,94.45,95.46,95.46,91578,0.0,1.0
2024-03-11,96.25,96.25,93.34,95.57,95.57,89556,0.0,1.0
2024-03-08,97.22,97.565,95.295,96.04,96.04,154982,0.0,1.0
2024-03-07,95.21,96.4,94.26,96.23,96.23,115136,0.0,1.0
2024-03-06,94.56,95.51,93.21,94.75,94.75,136535,0.0,1.0
2024-03-05,96.28,96.28,93.0,93.21,93.21,119954,0.0,1.0
2024-03-04,103.1,104.1899,95.67,96.74,96.74,173970,0.0,1.0
2024-03-01,102.55,104.28,100.775,102.27,102.27,170314,0.0,1.0
2024-02-29,101.03,102.85,99.38,100.24,100.24,186666,0.0,1.0
2024-02-28,98.65,103.45,98.4122,101.03,101.03,168532,0.0,1.0
2024-02-27,97.21,100.08,97.15,99.69,99.69,128948,0.0,1.0
2024-02-26,94.9,97.32,94.885,96.14,96.14,97127,0.0,1.0
2024-02-23,94.9,96.405,94.37,95.17,95.17,92541,0.0,1.0
2024-02-22,94.3,96.87,93.78,94.77,94.77,98036,0.0,1.0
2024-02-21,92.06,93.03,90.6,91.605,91.605,68050,0.0,1.0
2024-02-20,92.31,92.31,89.76,91.965,91.965,87590,0.0,1.0
2024-02-16,92.88,93.44,91.44,92.61,92.61,74363,0.0,1.0
2024-02-15,92.48,96.779,91.98,94.05,94.05,84347,0.0,1.0
2024-02-14,90.89,92.23,89.75,91.88,91.88,76849,0.0,1.0
2024-02-13,92.71,92.71,88.41,89.16,89.16,163385,0.0,1.0
2024-02-12,94.48,96.96,94.17,96.32,96.32,132136,0.0,1.0
2024-02-09,93.28,96.51,92.155,94.43,94.43,203779,0.0,1.0
2024-02-08,91.44,93.68,91.17,93.38,93.38,109921,0.0,1.0
2024-02-07,91.7,92.725,91.27,91.56,91.56,75021,0.0,1.0
2024-02-06,91.32,92.21,90.7385,91.59,91.59,58965,0.0,1.0
2024-02-05,91.91,92.43,90.22,91.55,91.55,60154,0.0,1.0
2024-02-02,93.11,94.43,92.23,93.19,93.19,58259,0.0,1.0
2024-02-01,92.66,94.73,91.8,94.23,94.23,76397,0.0,1.0
2024-01-31,94.39,94.59,90.97,91.28,91.28,83548,0.0,1.0
2024-01-30,93.51,94.53,93.325,94.28,94.28,71067,0.0,1.0
2024-01-29,92.74,94.26,90.94,94.11,94.11,62709,0.0,1.0
2024-01-26,92.53,92.8299,91.3,92.74,92.74,60882,0.0,1.0
2024-01-25,90.66,92.17,90.005,91.72,91.72,104665,0.0,1.0
2024-01-24,91.28,91.29,88.895,89.22,89.22,86888,0.0,1.0
2024-01-23,94.66,94.91,89.88,89.99,89.99,143705,0.0,1.0
2024-01-22,93.08,95.55,93.08,95.08,95.08,111591,0.0,1.0
2024-01-19,91.81,92.86,90.01,92.84,92.84,97771,0.0,1.0
2024-01-18,91.37,92.27,89.95,91.83,91.83,101295,0.0,1.0
2024-01-17,88.69,90.65,88.69,90.62,90.62,95065,0.0,1.0
2024-01-16,89.65,90.02,88.89,90.02,90.02,79688,0.0,1.0
2024-01-12,92.06,92.39,89.72,90.6,90.6,50625,0.0,1.0
2024-01-11,90.21,91.055,88.93,90.91,90.91,115369,0.0,1.0
2024-01-10,89.78,90.67,88.89,90.51,90.51,82733,0.0,1.0
2024-01-09,88.68,89.74,87.14,89.38,89.38,64637,0.0,1.0
2024-01-08,88.94,90.1,88.28,89.83,89.83,96890,0.0,1.0
2024-01-05,88.17,90.69,87.475,88.74,88.74,83177,0.0,1.0
2024-01-04,89.18,90.097,88.09,88.92,88.92,109724,0.0,1.0
2024-01-03,91.34,91.75,89.06,89.15,89.15,128131,0.0,1.0
2024-01-02,91.91,92.4,90.81,92.07,92.07,98579,0.0,1.0
2023-12-29,93.61,93.69,92.55,92.85,92.85,63795,0.0,1.0
2023-12-28,93.22,93.85,92.65,93.71,93.71,82841,0.0,1.0
2023-12-27,93.93,94.75,93.36,93.73,93.73,61948,0.0,1.0
2023-12-26,93.24,94.555,92.92,93.71,93.71,57670,0.0,1.0
2023-12-22,93.18,93.65,92.16,92.7,92.7,76709,0.0,1.0
2023-12-21,92.72,94.12,91.16,92.5,92.5,69226,0.0,1.0
2023-12-20,91.95,94.12,89.93,91.87,91.87,157598,0.0,1.0
2023-12-19,91.22,92.78,90.96,91.93,91.93,124926,0.0,1.0
2023-12-18,92.31,93.11,90.16,90.25,90.25,182676,0.0,1.0
2023-12-15,93.03,93.07,91.05,92.36,92.36,616239,0.0,1.0
2023-12-14,90.92,93.855,90.04,92.43,92.43,155212,0.0,1.0
2023-12-13,88.37,89.6,85.39,89.06,89.06,121910,0.0,1.0
2023-12-12,88.01,88.55,87.245,88.23,88.23,104907,0.0,1.0
2023-12-11,87.67,88.83,84.6418,87.95,87.95,97396,0.0,1.0
2023-12-08,86.96,88.65,86.67,88.19,88.19,120865,0.0,1.0
2023-12-07,84.9,85.79,83.5,85.79,85.79,120575,0.0,1.0
2023-12-06,83.94,85.8,83.94,84.52,84.52,129710,0.0,1.0
2023-12-05,83.17,83.65,82.08,83.19,83.19,130707,0.0,1.0
2023-12-04,82.89,84.42,81.92,83.08,83.08,231343,0.0,1.0
2023-12-01,77.33,84.35,76.33,83.58,83.58,363534,0.0,1.0
2023-11-30,72.09,72.59,70.58,72.4,72.4,183125,0.0,1.0
2023-11-29,73.09,73.8187,71.9,72.03,72.03,144048,0.0,1.0
2023-11-28,74.11,74.11,71.99,72.26,72.26,82662,0.0,1.0
2023-11-27,73.29,74.58,72.54,74.23,74.23,148669,0.0,1.0
2023-11-24,73.56,74.46,73.56,73.65,73.65,19347,0.0,1.0
2023-11-22,73.34,74.44,73.3,73.81,73.81,139600,0.0,1.0
2023-11-21,73.93,74.325,72.94,73.0,73.0,68153,0.0,1.0
2023-11-20,74.67,74.67,73.42,74.22,74.22,84867,0.0,1.0
2023-11-17,74.73,75.55,73.97,74.96,74.96,106623,0.0,1.0
2023-11-16,75.01,75.375,73.52,73.7,73.7,89589,0.0,1.0
2023-11-15,76.46,77.38,74.85,75.12,75.12,70916,0.0,1.0
2023-11-14,73.64,77.22,73.64,76.66,76.66,107084,0.0,1.0
2023-11-13,72.07,72.93,71.15,71.15,71.15,93476,0.0,1.0
2023-11-10,71.65,73.0,71.54,72.59,72.59,78904,0.0,1.0
2023-11-09,73.03,73.2,70.97,71.22,71.22,81584,0.0,1.0
2023-11-08,73.08,73.62,72.71,73.39,73.39,68195,0.0,1.0
2023-11-07,71.84,73.26,71.55,73.08,73.08,71025,0.0,1.0
2023-11-06,72.43,72.73,70.95,71.94,71.94,68867,0.0,1.0
2023-11-03,72.14,74.3,72.14,72.73,72.73,91100,0.0,1.0
2023-11-02,69.57,71.38,68.75,70.86,70.86,116774,0.0,1.0
2023-11-01,67.09,68.85,66.01,68.72,68.72,97478,0.0,1.0
2023-10-31,66.88,67.89,66.18,67.23,67.23,87797,0.0,1.0
2023-10-30,66.24,66.69,65.59,66.6,66.6,88320,0.0,1.0
2023-10-27,66.09,66.67,65.01,65.75,65.75,66030,0.0,1.0
2023-10-26,67.83,68.62,65.49,66.08,66.08,119139,0.0,1.0
2023-10-25,67.7,68.45,66.31,67.67,67.67,148228,0.0,1.0
2023-10-24,67.5,69.623,66.405,68.48,68.48,141534,0.0,1.0
2023-10-23,67.43,67.76,66.17,66.84,66.84,175106,0.0,1.0
2023-10-20,69.13,69.32,67.73,67.83,67.83,168283,0.0,1.0
2023-10-19,70.51,71.35,68.3201,68.97,68.97,143910,0.0,1.0
2023-10-18,72.99,73.085,70.535,70.65,70.65,155610,0.0,1.0
2023-10-17,77.37,77.98,73.24,73.87,73.87,232481,0.0,1.0
2023-10-16,76.23,78.0,76.23,77.65,77.65,157485,0.0,1.0
2023-10-13,76.27,77.74,75.27,75.86,75.86,202858,0.0,1.0
2023-10-12,78.54,78.54,75.12,75.91,75.91,192450,0.0,1.0
2023-10-11,76.4,79.61,76.4,78.92,78.92,211466,0.0,1.0
2023-10-10,74.99,77.38,74.99,76.0,76.0,188053,0.0,1.0
2023-10-09,74.46,75.38,73.84,74.77,74.77,136532,0.0,1.0
2023-10-06,74.38,75.71,74.315,74.58,74.58,250454,0.0,1.0
2023-10-05,74.93,76.67,73.76,75.13,75.13,229626,0.0,1.0
2023-10-04,74.32,76.32,73.7001,75.1,75.1,178432,0.0,1.0
2023-10-03,74.98,75.6,73.315,73.72,73.72,181737,0.0,1.0
2023-10-02,75.14,77.46,75.14,75.72,75.72,193019,0.0,1.0
2023-09-29,76.86,77.24,75.335,75.61,75.61,233436,0.0,1.0
2023-09-28,74.55,77.25,74.55,76.62,76.62,119991,0.0,1.0
2023-09-27,72.58,74.79,72.58,74.47,74.47,94704,0.0,1.0
2023-09-26,71.83,72.64,71.49,71.91,71.91,84785,0.0,1.0
2023-09-25,72.69,73.89,72.25,72.43,72.43,83002,0.0,1.0
2023-09-22,73.44,75.1399,72.69,72.95,72.95,120318,0.0,1.0
2023-09-21,73.72,74.23,72.02,73.47,73.47,103559,0.0,1.0
2023-09-20,74.77,75.65,74.1,74.31,74.31,90112,0.0,1.0
2023-09-19,73.86,74.71,73.06,74.11,74.11,86377,0.0,1.0
2023-09-18,75.34,75.905,73.7,74.1,74.1,98526,0.0,1.0
2023-09-15,78.09,78.21,74.75,75.25,75.25,489848,0.0,1.0
2023-09-14,77.6,78.9,77.28,77.67,77.67,103394,0.0,1.0
2023-09-13,78.21,78.21,74.315,76.97,76.97,126961,0.0,1.0
2023-09-12,78.69,79.49,77.46,77.75,77.75,112374,0.0,1.0
2023-09-11,78.19,79.53,77.97,78.69,78.69,96595,0.0,1.0
2023-09-08,77.72,79.02,77.3001,77.94,77.94,127558,0.0,1.0
2023-09-07,78.21,78.78,76.83,78.02,78.02,127189,0.0,1.0
2023-09-06,77.5,79.27,77.19,78.29,78.29,131276,0.0,1.0
2023-09-05,79.23,79.79,75.21,77.19,77.19,198887,0.0,1.0
2023-09-01,78.26,80.27,78.26,80.1,80.1,99262,0.0,1.0
2023-08-31,77.0,78.16,76.3,77.67,77.67,193305,0.0,1.0
2023-08-30,69.94,77.17,68.57,76.94,76.94,252002,0.0,1.0
2023-08-29,72.17,74.5999,71.3489,74.34,74.34,199376,0.0,1.0
2023-08-28,72.62,73.59,72.08,72.8,72.8,94423,0.0,1.0
2023-08-25,72.54,73.09,70.65,71.94,71.94,93515,0.0,1.0
2023-08-24,72.5,73.46,71.77,72.41,72.41,94455,0.0,1.0
2023-08-23,72.9,74.58,72.61,72.91,72.91,105827,0.0,1.0
2023-08-22,72.24,72.99,71.65,72.74,72.74,72812,0.0,1.0
2023-08-21,73.91,74.84,71.59,71.92,71.92,166749,0.0,1.0
2023-08-18,72.35,74.23,69.5725,73.41,73.41,81219,0.0,1.0
2023-08-17,75.53,75.605,71.75,72.05,72.05,76043,0.0,1.0
2023-08-16,75.74,76.775,75.31,75.45,75.45,94530,0.0,1.0
2023-08-15,75.01,76.25,74.19,75.98,75.98,70423,0.0,1.0
2023-08-14,74.83,75.32,73.76,75.21,75.21,79271,0.0,1.0
2023-08-11,75.32,75.585,74.78,75.24,75.24,58059,0.0,1.0
2023-08-10,74.94,75.71,74.03,75.35,75.35,69183,0.0,1.0
2023-08-09,74.08,75.11,72.737,74.55,74.55,117091,0.0,1.0
2023-08-08,75.4,75.9,73.68,74.31,74.31,68236,0.0,1.0
2023-08-07,74.36,76.12,74.01,76.06,76.06,224213,0.0,1.0
2023-08-04,74.74,75.22,73.72,74.36,74.36,148131,0.0,1.0
2023-08-03,76.58,76.58,74.46,74.56,74.56,101692,0.0,1.0
2023-08-02,76.55,77.51,76.24,77.13,77.13,74181,0.0,1.0
2023-08-01,76.39,77.5,76.315,77.16,77.16,102839,0.0,1.0
2023-07-31,76.95,77.34,75.49,76.64,76.64,99332,0.0,1.0
2023-07-28,77.45,77.85,76.36,76.75,76.75,85118,0.0,1.0
2023-07-27,77.12,78.215,76.35,76.82,76.82,88592,0.0,1.0
2023-07-26,74.99,77.09,74.04,76.73,76.73,66506,0.0,1.0
2023-07-25,75.0,77.05,75.0,75.48,75.48,64214,0.0,1.0
2023-07-24,74.47,76.3,74.47,75.38,75.38,77453,0.0,1.0
2023-07-21,77.77,77.93,73.92,74.11,74.11,83615,0.0,1.0
2023-07-20,75.68,77.26,75.14,77.16,77.16,144957,0.0,1.0
2023-07-19,75.17,75.93,74.83,75.44,75.44,162746,0.0,1.0
2023-07-18,74.15,75.18,73.62,74.97,74.97,131013,0.0,1.0
2023-07-17,74.06,75.07,73.58,74.67,74.67,83259,0.0,1.0
2023-07-14,74.17,74.3,72.5,74.28,74.28,80356,0.0,1.0
2023-07-13,74.95,74.99,73.6,74.43,74.43,65627,0.0,1.0
2023-07-12,76.0,76.72,74.515,74.53,74.53,71262,0.0,1.0
2023-07-11,74.94,75.32,73.75,74.61,74.61,64499,0.0,1.0
2023-07-10,72.82,74.52,72.82,74.47,74.47,79540,0.0,1.0
2023-07-07,72.43,74.04,72.43,72.81,72.81,76681,0.0,1.0
2023-07-06,72.85,74.2,71.76,72.26,72.26,106788,0.0,1.0
2023-07-05,75.6,75.6,73.91,74.01,74.01,124997,0.0,1.0
2023-07-03,76.37,77.1099,75.52,76.12,76.12,76750,0.0,1.0
2023-06-30,75.87,77.535,75.64,76.37,76.37,169101,0.0,1.0
2023-06-29,72.72,75.28,72.685,75.25,75.25,127360,0.0,1.0
2023-06-28,72.02,72.65,71.83,72.39,72.39,66988,0.0,1.0
2023-06-27,70.53,73.15,70.51,72.23,72.23,98435,0.0,1.0
2023-06-26,69.88,71.12,69.71,70.55,70.55,113924,0.0,1.0
2023-06-23,70.61,72.0799,69.64,69.85,69.85,164734,0.0,1.0
2023-06-22,71.88,72.09,71.0501,71.56,71.56,87995,0.0,1.0
2023-06-21,71.98,73.0,71.79,71.88,71.88,74429,0.0,1.0
2023-06-20,70.61,72.58,70.53,72.28,72.28,123608,0.0,1.0
2023-06-16,70.3,70.85,69.62,70.56,70.56,380835,0.0,1.0
2023-06-15,68.7,70.325,68.7,70.2,70.2,177911,0.0,1.0
2023-06-14,69.85,70.45,68.33,68.85,68.85,126452,0.0,1.0
2023-06-13,69.97,70.46,69.56,69.85,69.85,154610,0.0,1.0
2023-06-12,68.91,70.13,67.96,69.56,69.56,176340,0.0,1.0
2023-06-09,68.66,69.3,67.37,68.31,68.31,178444,0.0,1.0
2023-06-08,68.01,69.02,67.84,68.56,68.56,112247,0.0,1.0
2023-06-07,66.5,69.07,66.5,68.38,68.38,211517,0.0,1.0
2023-06-06,63.11,66.91,63.11,65.86,65.86,184911,0.0,1.0
2023-06-05,62.99,64.01,61.45,63.59,63.59,108174,0.0,1.0
2023-06-02,60.78,63.84,60.78,63.43,63.43,208639,0.0,1.0
2023-06-01,59.35,60.18,58.4855,59.7,59.7,116581,0.0,1.0
2023-05-31,62.49,62.85,58.92,59.5,59.5,118963,0.0,1.0
2023-05-30,64.5,64.5,62.57,62.66,62.66,112547,0.0,1.0
2023-05-26,59.18,64.47,59.18,64.13,64.13,206166,0.0,1.0
2023-05-25,57.2,63.02,56.82,58.67,58.67,245768,0.0,1.0
2023-05-24,54.44,54.85,53.8,53.99,53.99,95529,0.0,1.0
2023-05-23,54.08,55.79,54.08,54.22,54.22,125934,0.0,1.0
2023-05-22,55.05,55.24,53.99,54.15,54.15,93819,0.0,1.0
2023-05-19,55.02,55.02,54.205,54.88,54.88,116755,0.0,1.0
2023-05-18,53.15,54.605,53.15,54.31,54.31,85865,0.0,1.0
2023-05-17,52.14,53.71,52.14,53.54,53.54,62046,0.0,1.0
2023-05-16,51.83,52.63,51.385,51.79,51.79,68429,0.0,1.0
2023-05-15,51.67,52.735,51.28,52.43,52.43,53515,0.0,1.0
2023-05-12,51.95,52.48,51.2,51.58,51.58,61791,0.0,1.0
2023-05-11,51.04,51.76,50.98,51.68,51.68,82814,0.0,1.0
2023-05-10,51.45,52.16,50.9,51.43,51.43,87195,0.0,1.0
2023-05-09,50.49,51.475,50.4275,50.54,50.54,60755,0.0,1.0
2023-05-08,50.33,50.85,50.0701,50.76,50.76,53466,0.0,1.0
2023-05-05,50.0,50.94,49.42,50.34,50.34,84817,0.0,1.0
2023-05-04,50.45,50.58,48.52,49.06,49.06,89640,0.0,1.0
2023-05-03,50.47,51.91,50.47,50.74,50.74,64626,0.0,1.0
2023-05-02,50.62,50.62,49.1,50.23,50.23,56480,0.0,1.0
2023-05-01,50.52,51.68,50.395,50.76,50.76,50455,0.0,1.0
2023-04-28,49.14,50.92,49.14,50.52,50.52,75739,0.0,1.0
2023-04-27,48.13,49.47,47.98,49.14,49.14,66204,0.0,1.0
