,PATK_Open,PATK_High,PATK_Low,PATK_Close,PATK_Adj Close,PATK_Volume,PATK_Dividend Amount,PATK_Split Coefficient
2024-02-20,109.9,111.64,108.97,111.41,110.412651171212,290070,0.0,1.0
2024-02-16,109.64,111.61,109.12,111.2,110.204531103481,204394,0.55,1.0
2024-02-15,110.25,111.46,108.385,110.91,109.376148050891,124391,0.0,1.0
2024-02-14,109.3,110.25,107.02,109.44,107.926477708859,134299,0.0,1.0
2024-02-13,107.22,109.615,106.4,106.98,105.500498769131,228856,0.0,1.0
2024-02-12,110.69,113.59,109.06,112.5,110.944158829008,183180,0.0,1.0
2024-02-09,106.55,112.11,105.42,110.16,108.636520325364,212878,0.0,1.0
2024-02-08,102.54,107.44,100.65,105.45,103.991658209057,283354,0.0,1.0
2024-02-07,102.76,104.0699,101.38,103.46,102.029179310659,161163,0.0,1.0
2024-02-06,100.9,102.8,100.53,102.68,101.259966476111,117400,0.0,1.0
2024-02-05,101.25,101.83,99.74,100.91,99.5144450438682,100980,0.0,1.0
2024-02-02,100.76,103.72,100.01,102.66,101.240243070097,105982,0.0,1.0
2024-02-01,100.68,102.2,99.43,101.94,100.530200453592,100678,0.0,1.0
2024-01-31,102.08,103.75,100.28,100.39,99.001636487503,128218,0.0,1.0
2024-01-30,103.06,103.775,101.61,101.68,100.273796175409,136670,0.0,1.0
2024-01-29,103.22,104.33,101.92,104.05,102.611019788073,96783,0.0,1.0
2024-01-26,102.01,103.405,101.97,102.73,101.309274991146,156574,0.0,1.0
2024-01-25,100.8,101.71,99.53,101.45,100.046977006247,145815,0.0,1.0
2024-01-24,101.9,101.9,99.15,99.6,98.2225619499482,112095,0.0,1.0
2024-01-23,101.43,102.92,99.47,99.85,98.4691045251238,96580,0.0,1.0
2024-01-22,99.21,100.85,98.82,100.48,99.0903918145662,114201,0.0,1.0
2024-01-19,97.15,98.4,95.67,98.23,96.8715086379861,98758,0.0,1.0
2024-01-18,95.92,97.015,95.28,96.79,95.4514234049747,96070,0.0,1.0
2024-01-17,94.8,95.5,91.01,94.77,93.4593593975561,98552,0.0,1.0
2024-01-16,97.0,97.4,95.23,95.81,94.4849765102865,96739,0.0,1.0
2024-01-12,101.39,102.25,96.629,97.7,96.3488383786138,96714,0.0,1.0
2024-01-11,100.72,103.26,96.785,99.33,97.9562959687586,120966,0.0,1.0
2024-01-10,96.61,98.48,95.64,98.42,97.0588809951195,85385,0.0,1.0
2024-01-09,95.83,96.79,94.61,96.61,95.2739127508483,74097,0.0,1.0
2024-01-08,95.72,97.17,95.305,96.51,95.1752957207781,87230,0.0,1.0
2024-01-05,94.39,96.74,94.39,95.22,93.9031360328721,159031,0.0,1.0
2024-01-04,95.47,95.96,94.75,95.42,94.1003700930126,98060,0.0,1.0
2024-01-03,98.65,98.65,94.935,95.16,93.84396581483,243270,0.0,1.0
2024-01-02,100.75,103.36,98.64,99.81,98.4296577130957,144478,0.0,1.0
2023-12-29,101.58,101.94,100.27,100.35,98.9621896754749,80460,0.0,1.0
2023-12-28,100.92,101.6923,100.7,101.3,99.8990514611421,71462,0.0,1.0
2023-12-27,101.11,102.495,100.2,101.62,100.214625957367,122816,0.0,1.0
2023-12-26,100.47,101.55,100.0,100.76,99.3665194987628,99654,0.0,1.0
2023-12-22,99.19,100.59,98.42,99.74,98.3606257920465,99941,0.0,1.0
2023-12-21,99.02,99.385,96.715,98.8,97.4336257093863,148023,0.0,1.0
2023-12-20,98.36,101.23,97.85,97.85,96.4967639237192,311142,0.0,1.0
2023-12-19,94.4,99.17,94.335,98.96,97.5914129574987,291840,0.0,1.0
2023-12-18,94.1,94.14,92.52,93.65,92.3548486607696,133476,0.0,1.0
2023-12-15,93.69,94.19,92.12,93.21,91.9209337284605,1250046,0.0,1.0
2023-12-14,90.0,94.06,89.96,93.45,92.1576146006291,248993,0.0,1.0
2023-12-13,87.28,89.32,85.32,89.17,87.9368057136233,294845,0.0,1.0
2023-12-12,88.72,88.72,86.48,87.07,85.8658480821485,130971,0.0,1.0
2023-12-11,87.82,89.45,87.244,88.44,87.2169013941106,129852,0.0,1.0
2023-12-08,87.51,88.5,86.72,87.86,86.6449226197033,105232,0.0,1.0
2023-12-07,86.63,87.56,82.74,87.56,86.3490715294926,127236,0.0,1.0
2023-12-06,85.88,88.27,85.44,85.63,84.4457628491372,152685,0.0,1.0
2023-12-05,86.46,86.99,83.745,84.93,83.7554436386456,118933,0.0,1.0
2023-12-04,84.6,86.71,84.51,86.47,85.2741459017271,91163,0.0,1.0
2023-12-01,82.2,85.23,82.2,85.14,83.9625394017931,126774,0.0,1.0
2023-11-30,82.0,82.07,80.62,82.04,80.905411469616,102297,0.0,1.0
2023-11-29,83.85,83.9,81.91,81.98,80.8462412515738,129734,0.0,1.0
2023-11-28,84.42,84.42,82.3,82.67,81.5266987590584,124753,0.0,1.0
2023-11-27,84.25,85.13,83.53,84.37,83.2031882702523,150550,0.0,1.0
2023-11-24,83.63,84.82,83.03,84.82,83.6469649055683,28193,0.55,1.0
2023-11-22,84.91,85.15,83.64,84.21,82.5103773538469,92281,0.0,1.0
2023-11-21,84.84,84.84,83.61,83.92,82.2262304659165,86266,0.0,1.0
2023-11-20,84.64,86.25,84.64,85.42,83.6959557483149,127499,0.0,1.0
2023-11-17,84.31,85.25,83.955,84.93,83.2158454893981,96487,0.0,1.0
2023-11-16,84.11,84.29,82.65,83.58,81.8930927352395,80043,0.0,1.0
2023-11-15,83.26,84.795,83.15,83.99,82.2948176457618,137340,0.0,1.0
2023-11-14,80.0,83.47,78.7,83.13,81.45217515052,150388,0.0,1.0
2023-11-13,77.42,78.37,76.587,78.29,76.7098615726478,116349,0.0,1.0
2023-11-10,76.67,78.45,75.01,78.0,76.4257146847175,116414,0.0,1.0
2023-11-09,78.42,78.42,75.9,76.49,74.9461912337697,82117,0.0,1.0
2023-11-08,79.69,79.69,77.39,77.54,75.9749989314486,95393,0.0,1.0
2023-11-07,78.85,79.31,78.105,79.21,77.6112930791855,121191,0.0,1.0
2023-11-06,81.23,81.23,79.01,79.33,77.7288711017774,130326,0.0,1.0
2023-11-03,80.15,81.59,79.53,81.3,79.659110305994,192339,0.0,1.0
2023-11-02,78.33,79.72,77.45,79.46,77.8562472929186,135904,0.0,1.0
2023-11-01,75.1,77.42,74.72,77.23,75.6712557064196,90350,0.0,1.0
2023-10-31,73.26,75.31,73.26,75.15,73.6332366481605,90815,0.0,1.0
2023-10-30,72.48,73.94,71.8,73.55,72.0655296802688,94766,0.0,1.0
2023-10-27,72.12,73.47,71.41,71.74,70.2920611728414,125992,0.0,1.0
2023-10-26,70.5,73.0,70.15,72.52,71.0563183196886,151418,0.0,1.0
2023-10-25,72.0,72.25,71.07,71.73,70.2822630042921,164640,0.0,1.0
2023-10-24,73.42,73.7679,72.42,72.44,70.977932971294,84780,0.0,1.0
2023-10-23,73.43,74.43,72.78,72.98,71.5070340729574,88096,0.0,1.0
2023-10-20,73.54,74.93,73.25,73.73,72.2418967141567,84562,0.0,1.0
2023-10-19,74.68,74.975,73.205,73.42,71.9381534891276,73767,0.0,1.0
2023-10-18,74.78,76.14,72.18,75.12,73.6038421425125,146853,0.0,1.0
2023-10-17,73.29,76.17,73.29,75.9,74.3680992893597,110068,0.0,1.0
2023-10-16,72.88,74.7999,72.85,74.01,72.5162454335377,158769,0.0,1.0
2023-10-13,71.92,72.55,71.45,72.15,70.6937860833636,127297,0.0,1.0
2023-10-12,73.83,73.83,70.56,71.71,70.2626666671934,122919,0.0,1.0
2023-10-11,73.71,74.5,72.81,73.66,72.1733095343114,54834,0.0,1.0
2023-10-10,72.74,74.4776,72.505,73.76,72.2712912198046,99659,0.0,1.0
2023-10-09,71.22,72.26,70.5,72.25,70.7917677688569,166325,0.0,1.0
2023-10-06,72.0,73.359,70.6106,71.59,70.1450886446016,125594,0.0,1.0
2023-10-05,74.49,74.73,72.31,72.5,71.0367219825899,144979,0.0,1.0
2023-10-04,73.93,74.81,73.3744,74.49,72.9865575239052,89021,0.0,1.0
2023-10-03,74.59,75.14,73.18,74.06,72.5652362762843,120207,0.0,1.0
2023-10-02,74.93,75.34,74.64,75.04,73.5254567941179,100199,0.0,1.0
2023-09-29,76.79,77.7,74.87,75.06,73.5450531312166,115113,0.0,1.0
2023-09-28,75.33,76.87,75.33,76.24,74.7012370200366,136020,0.0,1.0
2023-09-27,74.59,75.885,74.59,75.53,74.0055670530347,119006,0.0,1.0
2023-09-26,75.48,76.0,73.44,73.91,72.4182637480445,275951,0.0,1.0
2023-09-25,75.2,76.8,75.2,76.33,74.7894205369806,137977,0.0,1.0
2023-09-22,76.99,77.065,75.11,75.88,74.348502952261,156330,0.0,1.0
2023-09-21,77.77,78.18,76.775,76.955,75.4018060713132,124614,0.0,1.0
2023-09-20,79.87,80.2,78.24,78.37,76.7882469210424,101784,0.0,1.0
2023-09-19,78.62,79.995,78.62,79.34,77.7386692703267,94636,0.0,1.0
2023-09-18,77.94,79.34,77.94,78.62,77.0332011347755,97857,0.0,1.0
2023-09-15,80.8,80.8,77.14,77.8,76.229751313731,579685,0.0,1.0
2023-09-14,78.53,80.99,77.93,80.99,79.355367080965,95252,0.0,1.0
2023-09-13,77.96,78.07,76.735,77.63,76.0631824483925,89557,0.0,1.0
2023-09-12,77.04,78.2675,77.04,77.96,76.3865220105202,94006,0.0,1.0
2023-09-11,77.85,78.09,76.26,77.04,75.4850905039825,93772,0.0,1.0
2023-09-08,78.19,78.19,76.66,77.44,75.8770172459554,82291,0.0,1.0
2023-09-07,79.12,79.27,77.86,78.38,76.7980450895917,113367,0.0,1.0
2023-09-06,78.84,80.165,78.84,79.5,77.8954399671159,141366,0.0,1.0
2023-09-05,83.67,83.9375,78.58,78.65,77.0625956404234,155360,0.0,1.0
2023-09-01,84.19,85.7299,84.14,84.67,82.9610931071157,119666,0.0,1.0
2023-08-31,84.27,85.2932,83.21,83.64,81.9518817465355,95240,0.0,1.0
2023-08-30,84.17,85.42,83.34,84.18,82.4809828481989,83471,0.0,1.0
2023-08-29,80.85,84.75,80.25,84.67,82.9610931071157,85978,0.0,1.0
2023-08-28,80.19,81.46,80.02,80.74,79.1104128672319,43074,0.0,1.0
2023-08-25,80.09,80.47,78.69,79.88,78.2677703719901,43683,0.45,1.0
2023-08-24,81.07,81.89,80.06,80.18,78.1216211680091,80723,0.0,1.0
2023-08-23,79.91,81.775,79.52,81.31,79.2226118379997,69545,0.0,1.0
2023-08-22,79.92,80.25,78.8901,80.02,77.9657286837626,106478,0.0,1.0
2023-08-21,80.54,80.92,78.755,79.62,77.5759974731465,95561,0.0,1.0
2023-08-18,78.34,80.54,78.05,80.35,78.2872569325209,69768,0.0,1.0
2023-08-17,80.82,82.4,78.95,79.25,77.2154961033265,87192,0.0,1.0
2023-08-16,81.35,82.68,80.665,80.79,78.7159612641987,84779,0.0,1.0
2023-08-15,81.96,82.26,81.24,81.41,79.3200446406538,105496,0.0,1.0
2023-08-14,81.26,82.65,80.48,82.6,80.4794949922368,84799,0.0,1.0
2023-08-11,82.67,83.16,81.51,81.94,79.8364384947202,142994,0.0,1.0
2023-08-10,83.37,84.08,81.8,83.06,80.9276858844454,90923,0.0,1.0
2023-08-09,83.89,83.89,82.45,83.06,80.9276858844454,62342,0.0,1.0
2023-08-08,83.12,84.22,81.748,83.96,81.8045811083318,122535,0.0,1.0
2023-08-07,85.5,85.985,84.25,84.59,82.4184077650522,102074,0.0,1.0
2023-08-04,84.69,85.31,84.06,85.21,83.0224911415073,111383,0.0,1.0
2023-08-03,84.9,85.38,84.04,84.72,82.5450704085025,164286,0.0,1.0
2023-08-02,84.75,85.88,84.75,85.13,82.9445448993841,86399,0.0,1.0
2023-08-01,86.16,86.99,85.71,85.95,83.7434938811472,192603,0.0,1.0
2023-07-31,86.34,87.26,85.54,86.55,84.3280906970714,121753,0.0,1.0
2023-07-28,86.49,87.14,85.44,85.78,83.5778581166353,120605,0.0,1.0
2023-07-27,84.65,87.36,83.88,84.79,82.6132733703603,126396,0.0,1.0
2023-07-26,83.22,84.34,82.875,83.94,81.785094547801,111765,0.0,1.0
2023-07-25,83.07,84.3,82.45,83.36,81.2199842924075,61791,0.0,1.0
2023-07-24,83.28,84.665,82.97,83.36,81.2199842924075,106266,0.0,1.0
2023-07-21,86.36,86.4,81.79,82.78,80.6548740370141,179561,0.0,1.0
2023-07-20,85.4,85.94,84.23,85.66,83.4609387534505,239176,0.0,1.0
2023-07-19,84.64,85.97,83.33,85.56,83.3635059507964,82740,0.0,1.0
2023-07-18,84.32,86.53,84.31,84.79,82.6132733703603,96017,0.0,1.0
2023-07-17,83.75,84.55,82.24,84.4,82.2332854400096,82537,0.0,1.0
2023-07-14,83.95,84.19,82.81,83.51,81.3661334963886,100369,0.0,1.0
2023-07-13,82.69,83.81,81.81,83.63,81.4830528595734,92607,0.0,1.0
2023-07-12,83.32,83.36,81.94,82.43,80.313859227725,97527,0.0,1.0
2023-07-11,80.41,81.65,80.05,81.47,79.3785043222462,76236,0.0,1.0
2023-07-10,78.43,80.12,78.43,79.65,77.6052273139427,72538,0.0,1.0
2023-07-07,77.49,79.24,77.49,78.36,76.3483441597056,73932,0.0,1.0
2023-07-06,76.96,77.66,75.93,77.15,75.1694072475917,100962,0.0,1.0
2023-07-05,79.88,79.88,78.09,78.15,76.1437352741321,103021,0.0,1.0
2023-07-03,79.65,81.31,79.22,79.98,77.926755562701,43569,0.0,1.0
2023-06-30,80.49,80.76,79.05,80.0,77.9462421232318,80163,0.0,1.0
2023-06-29,79.16,80.29,78.5856,79.42,77.3811318678384,56533,0.0,1.0
2023-06-28,78.45,79.265,77.75,78.99,76.962170816426,117037,0.0,1.0
2023-06-27,75.16,78.85,74.575,78.43,76.4165471215634,81115,0.0,1.0
2023-06-26,74.48,76.764,74.48,75.23,73.2986974366341,166613,0.0,1.0
2023-06-23,74.58,75.85,73.52,74.56,72.645897658852,369353,0.0,1.0
2023-06-22,77.42,77.99,75.72,76.03,74.0781598578664,105093,0.0,1.0
2023-06-21,74.94,77.915,74.94,77.42,75.4324758147576,96508,0.0,1.0
2023-06-20,78.19,78.88,77.09,77.73,75.7345175029851,100559,0.0,1.0
2023-06-16,79.96,80.6221,76.99,78.23,76.2216815162553,433932,0.0,1.0
2023-06-15,78.03,80.04,77.63,79.96,77.9072690021702,104943,0.0,1.0
2023-06-14,80.69,81.49,78.12,78.62,76.6016694466061,156267,0.0,1.0
2023-06-13,77.31,80.84,77.31,80.56,78.4918658180944,174905,0.0,1.0
2023-06-12,77.82,79.15,77.24,77.78,75.7832339043121,113471,0.0,1.0
2023-06-09,77.08,78.12,76.05,77.31,75.3252997318381,117536,0.45,1.0
2023-06-08,77.25,77.97,75.45,77.53,75.1025011343803,211805,0.0,1.0
2023-06-07,75.32,78.56,75.095,77.65,75.21874388088,212480,0.0,1.0
