,ACET_Open,ACET_High,ACET_Low,ACET_Close,ACET_Adj Close,ACET_Volume,ACET_Dividend Amount,ACET_Split Coefficient
2024-08-23,1.54,1.57,1.49,1.49,1.49,471514,0.0,1.0
2024-08-22,1.6,1.615,1.53,1.54,1.54,192815,0.0,1.0
2024-08-21,1.49,1.62,1.48,1.57,1.57,423469,0.0,1.0
2024-08-20,1.58,1.6,1.45,1.47,1.47,336443,0.0,1.0
2024-08-19,1.5,1.6399,1.5,1.55,1.55,688502,0.0,1.0
2024-08-16,1.43,1.55,1.43,1.53,1.53,473827,0.0,1.0
2024-08-15,1.4,1.49,1.4,1.43,1.43,424357,0.0,1.0
2024-08-14,1.32,1.43,1.32,1.37,1.37,746224,0.0,1.0
2024-08-13,1.29,1.39,1.28,1.3,1.3,515854,0.0,1.0
2024-08-12,1.33,1.3599,1.26,1.27,1.27,430814,0.0,1.0
2024-08-09,1.33,1.35,1.29,1.34,1.34,591943,0.0,1.0
2024-08-08,1.34,1.4,1.3,1.33,1.33,583797,0.0,1.0
2024-08-07,1.36,1.42,1.31,1.34,1.34,673292,0.0,1.0
2024-08-06,1.36,1.38,1.29,1.33,1.33,494377,0.0,1.0
2024-08-05,1.37,1.39,1.3,1.3,1.3,661773,0.0,1.0
2024-08-02,1.46,1.47,1.4,1.44,1.44,599772,0.0,1.0
2024-08-01,1.55,1.55,1.465,1.51,1.51,886131,0.0,1.0
2024-07-31,1.56,1.61,1.46,1.51,1.51,864249,0.0,1.0
2024-07-30,1.61,1.63,1.51,1.55,1.55,847443,0.0,1.0
2024-07-29,1.61,1.7,1.58,1.63,1.63,1146407,0.0,1.0
2024-07-26,1.52,1.63,1.4,1.59,1.59,1008262,0.0,1.0
2024-07-25,1.44,1.5189,1.43,1.51,1.51,527799,0.0,1.0
2024-07-24,1.39,1.5,1.39,1.45,1.45,759426,0.0,1.0
2024-07-23,1.37,1.45,1.335,1.44,1.44,990307,0.0,1.0
2024-07-22,1.24,1.3799,1.22,1.37,1.37,1634538,0.0,1.0
2024-07-19,1.26,1.26,1.16,1.24,1.24,1226251,0.0,1.0
2024-07-18,1.32,1.32,1.22,1.23,1.23,983497,0.0,1.0
2024-07-17,1.28,1.35,1.25,1.31,1.31,1392262,0.0,1.0
2024-07-16,1.25,1.305,1.21,1.28,1.28,3149104,0.0,1.0
2024-07-15,1.22,1.28,1.18,1.23,1.23,949961,0.0,1.0
2024-07-12,1.26,1.27,1.2,1.21,1.21,1117667,0.0,1.0
2024-07-11,1.26,1.28,1.22,1.26,1.26,975435,0.0,1.0
2024-07-10,1.22,1.3,1.205,1.27,1.27,1240215,0.0,1.0
2024-07-09,1.18,1.23,1.17,1.21,1.21,1140748,0.0,1.0
2024-07-08,1.2,1.2,1.15,1.17,1.17,1969604,0.0,1.0
2024-07-05,1.1,1.13,1.07,1.07,1.07,721545,0.0,1.0
2024-07-03,1.1,1.12,1.05,1.09,1.09,830888,0.0,1.0
2024-07-02,1.16,1.16,1.09,1.1,1.1,1185781,0.0,1.0
2024-07-01,1.22,1.24,1.15,1.15,1.15,1658117,0.0,1.0
2024-06-28,1.34,1.34,1.21,1.21,1.21,8136938,0.0,1.0
2024-06-27,1.34,1.38,1.27,1.34,1.34,626753,0.0,1.0
2024-06-26,1.44,1.475,1.32,1.34,1.34,1003183,0.0,1.0
2024-06-25,1.47,1.5,1.41,1.47,1.47,964281,0.0,1.0
2024-06-24,1.4,1.515,1.3997,1.5,1.5,3262786,0.0,1.0
2024-06-21,1.36,1.4,1.36,1.37,1.37,534607,0.0,1.0
2024-06-20,1.34,1.4,1.33,1.36,1.36,476022,0.0,1.0
2024-06-18,1.3,1.38,1.3,1.34,1.34,435229,0.0,1.0
2024-06-17,1.34,1.34,1.3,1.32,1.32,612274,0.0,1.0
2024-06-14,1.46,1.48,1.34,1.35,1.35,495902,0.0,1.0
2024-06-13,1.42,1.49,1.36,1.45,1.45,578127,0.0,1.0
2024-06-12,1.32,1.43,1.3,1.4,1.4,721083,0.0,1.0
2024-06-11,1.28,1.31,1.245,1.29,1.29,920179,0.0,1.0
2024-06-10,1.37,1.38,1.27,1.31,1.31,558322,0.0,1.0
2024-06-07,1.4,1.4,1.322,1.35,1.35,665463,0.0,1.0
2024-06-06,1.44,1.5,1.38,1.4,1.4,901372,0.0,1.0
2024-06-05,1.43,1.5,1.405,1.44,1.44,1443669,0.0,1.0
2024-06-04,1.46,1.46,1.35,1.36,1.36,775456,0.0,1.0
2024-06-03,1.5,1.59,1.44,1.44,1.44,421347,0.0,1.0
2024-05-31,1.5,1.526,1.42,1.45,1.45,452774,0.0,1.0
2024-05-30,1.47,1.52,1.42,1.48,1.48,291553,0.0,1.0
2024-05-29,1.51,1.525,1.45,1.45,1.45,446691,0.0,1.0
2024-05-28,1.51,1.63,1.5,1.56,1.56,685989,0.0,1.0
2024-05-24,1.53,1.55,1.475,1.49,1.49,480553,0.0,1.0
2024-05-23,1.64,1.65,1.53,1.53,1.53,511116,0.0,1.0
2024-05-22,1.6,1.68,1.6,1.63,1.63,496429,0.0,1.0
2024-05-21,1.62,1.71,1.585,1.61,1.61,519755,0.0,1.0
2024-05-20,1.61,1.64,1.53,1.62,1.62,636018,0.0,1.0
2024-05-17,1.58,1.6799,1.575,1.6,1.6,1057922,0.0,1.0
2024-05-16,1.43,1.59,1.4,1.57,1.57,846595,0.0,1.0
2024-05-15,1.41,1.53,1.38,1.4,1.4,2665184,0.0,1.0
2024-05-14,1.49,1.51,1.33,1.33,1.33,1225598,0.0,1.0
2024-05-13,1.5,1.555,1.43,1.44,1.44,877563,0.0,1.0
2024-05-10,1.73,1.73,1.46,1.47,1.47,939720,0.0,1.0
2024-05-09,1.66,1.7,1.62,1.63,1.63,440942,0.0,1.0
2024-05-08,1.7,1.81,1.63,1.65,1.65,1001437,0.0,1.0
2024-05-07,1.67,1.865,1.66,1.73,1.73,1612871,0.0,1.0
2024-05-06,1.49,1.71,1.49,1.69,1.69,3099672,0.0,1.0
2024-05-03,1.45,1.56,1.4,1.45,1.45,4866272,0.0,1.0
2024-05-02,1.51,1.55,1.39,1.41,1.41,4877852,0.0,1.0
2024-05-01,1.55,1.63,1.51,1.52,1.52,3890559,0.0,1.0
2024-04-30,1.59,1.68,1.45,1.49,1.49,2121565,0.0,1.0
2024-04-29,1.7,1.765,1.59,1.59,1.59,1605582,0.0,1.0
2024-04-26,1.81,1.825,1.66,1.68,1.68,1251696,0.0,1.0
2024-04-25,1.89,1.95,1.8,1.81,1.81,851580,0.0,1.0
2024-04-24,2.07,2.08,1.865,1.875,1.875,1478484,0.0,1.0
2024-04-23,2.14,2.25,2.07,2.1,2.1,1130428,0.0,1.0
2024-04-22,2.0,2.045,1.955,2.0,2.0,325351,0.0,1.0
2024-04-19,2.01,2.035,1.9,1.95,1.95,727751,0.0,1.0
2024-04-18,2.29,2.29,2.005,2.025,2.025,930124,0.0,1.0
2024-04-17,2.22,2.35,2.215,2.27,2.27,760776,0.0,1.0
2024-04-16,2.16,2.2,2.1392,2.19,2.19,171891,0.0,1.0
2024-04-15,2.16,2.26,2.13,2.2,2.2,495246,0.0,1.0
2024-04-12,2.2,2.215,2.14,2.16,2.16,416385,0.0,1.0
2024-04-11,2.18,2.295,2.1301,2.24,2.24,874525,0.0,1.0
2024-04-10,2.2,2.21,2.13,2.15,2.15,399875,0.0,1.0
2024-04-09,2.2,2.31,2.195,2.29,2.29,486285,0.0,1.0
2024-04-08,2.22,2.26,2.1332,2.18,2.18,645702,0.0,1.0
2024-04-05,2.29,2.3,2.2192,2.25,2.25,288281,0.0,1.0
2024-04-04,2.28,2.4,2.23,2.28,2.28,437863,0.0,1.0
2024-04-03,2.33,2.34,2.245,2.26,2.26,456528,0.0,1.0
2024-04-02,2.35,2.37,2.29,2.36,2.36,1534786,0.0,1.0
2024-04-01,2.35,2.43,2.28,2.4,2.4,581320,0.0,1.0
2024-03-28,2.33,2.395,2.31,2.35,2.35,534078,0.0,1.0
2024-03-27,2.26,2.34,2.2,2.33,2.33,614658,0.0,1.0
2024-03-26,2.29,2.29,2.115,2.24,2.24,804997,0.0,1.0
2024-03-25,2.16,2.345,2.16,2.2,2.2,645392,0.0,1.0
2024-03-22,2.06,2.24,2.02,2.19,2.19,944774,0.0,1.0
2024-03-21,2.14,2.22,2.03,2.04,2.04,1743567,0.0,1.0
2024-03-20,2.22,2.25,2.06,2.14,2.14,1660799,0.0,1.0
2024-03-19,1.97,2.06,1.9298,2.03,2.03,1116811,0.0,1.0
2024-03-18,2.01,2.06,1.88,1.95,1.95,1173241,0.0,1.0
2024-03-15,2.08,2.12,2.0,2.0,2.0,6485265,0.0,1.0
2024-03-14,2.25,2.295,2.05,2.05,2.05,1682696,0.0,1.0
2024-03-13,2.36,2.42,2.24,2.25,2.25,808311,0.0,1.0
2024-03-12,2.46,2.48,2.34,2.36,2.36,832682,0.0,1.0
2024-03-11,2.43,2.51,2.425,2.46,2.46,2734314,0.0,1.0
2024-03-08,2.41,2.515,2.41,2.43,2.43,4307523,0.0,1.0
2024-03-07,2.42,2.45,2.36,2.39,2.39,497143,0.0,1.0
2024-03-06,2.32,2.4199,2.32,2.4,2.4,590172,0.0,1.0
2024-03-05,2.37,2.4,2.25,2.32,2.32,846129,0.0,1.0
2024-03-04,2.45,2.54,2.2606,2.38,2.38,1323361,0.0,1.0
2024-03-01,2.36,2.41,2.3025,2.4,2.4,929706,0.0,1.0
2024-02-29,2.38,2.405,2.26,2.35,2.35,969193,0.0,1.0
2024-02-28,2.45,2.47,2.315,2.33,2.33,1024967,0.0,1.0
2024-02-27,2.42,2.505,2.3506,2.39,2.39,2603528,0.0,1.0
2024-02-26,2.61,2.61,2.36,2.42,2.42,1438020,0.0,1.0
2024-02-23,2.49,2.52,2.38,2.47,2.47,1815184,0.0,1.0
2024-02-22,2.69,2.74,2.43,2.44,2.44,2292167,0.0,1.0
2024-02-21,2.8,2.88,2.66,2.69,2.69,2883589,0.0,1.0
2024-02-20,2.94,3.04,2.805,2.85,2.85,982421,0.0,1.0
2024-02-16,2.98,3.005,2.88,2.94,2.94,539806,0.0,1.0
2024-02-15,2.92,3.01,2.855,3.0,3.0,1130170,0.0,1.0
2024-02-14,2.85,2.96,2.605,2.9,2.9,1470876,0.0,1.0
2024-02-13,3.1,3.1,2.715,2.77,2.77,2201456,0.0,1.0
2024-02-12,3.25,3.47,3.12,3.12,3.12,1183434,0.0,1.0
2024-02-09,3.39,3.5001,3.1,3.27,3.27,2038386,0.0,1.0
2024-02-08,3.18,3.4,3.125,3.38,3.38,1659270,0.0,1.0
2024-02-07,3.25,3.28,3.04,3.21,3.21,1858190,0.0,1.0
2024-02-06,3.23,3.62,3.1,3.19,3.19,2214179,0.0,1.0
2024-02-05,2.96,3.12,2.85,3.12,3.12,1251656,0.0,1.0
2024-02-02,3.05,3.13,2.835,3.0,3.0,920496,0.0,1.0
2024-02-01,3.0,3.12,2.725,3.09,3.09,1668908,0.0,1.0
2024-01-31,2.87,3.24,2.8,2.99,2.99,1992436,0.0,1.0
2024-01-30,2.94,3.2582,2.855,2.89,2.89,2115204,0.0,1.0
2024-01-29,2.66,3.0591,2.6,3.0,3.0,7756380,0.0,1.0
2024-01-26,2.5,2.555,2.435,2.53,2.53,706316,0.0,1.0
2024-01-25,2.41,2.51,2.37,2.47,2.47,936473,0.0,1.0
2024-01-24,2.54,2.59,2.38,2.4,2.4,781806,0.0,1.0
2024-01-23,2.63,2.68,2.39,2.51,2.51,5098891,0.0,1.0
2024-01-22,2.55,2.6,2.4,2.48,2.48,349773,0.0,1.0
2024-01-19,2.44,2.46,2.315,2.44,2.44,265103,0.0,1.0
2024-01-18,2.74,2.74,2.41,2.445,2.445,530084,0.0,1.0
2024-01-17,2.9,2.91,2.575,2.74,2.74,732225,0.0,1.0
2024-01-16,3.37,3.4,2.8601,3.0,3.0,1121226,0.0,1.0
2024-01-12,3.12,3.43,3.015,3.33,3.33,1100002,0.0,1.0
2024-01-11,3.32,3.32,2.94,3.04,3.04,862313,0.0,1.0
2024-01-10,3.45,3.67,3.0,3.35,3.35,6728441,0.0,1.0
2024-01-09,2.52,3.77,2.49,3.45,3.45,7236740,0.0,1.0
2024-01-08,2.44,2.52,2.22,2.46,2.46,1814461,0.0,1.0
2024-01-05,2.11,2.52,2.02,2.42,2.42,1081556,0.0,1.0
2024-01-04,2.0,2.37,1.96,2.16,2.16,3301841,0.0,1.0
2024-01-03,2.04,2.05,1.75,1.76,1.76,605476,0.0,1.0
2024-01-02,1.89,2.12,1.86,2.01,2.01,830295,0.0,1.0
2023-12-29,1.75,1.91,1.7,1.89,1.89,624769,0.0,1.0
2023-12-28,1.73,1.78,1.7,1.74,1.74,296749,0.0,1.0
2023-12-27,1.67,1.76,1.6425,1.76,1.76,370382,0.0,1.0
2023-12-26,1.67,1.73,1.6,1.66,1.66,509459,0.0,1.0
2023-12-22,1.51,1.65,1.51,1.64,1.64,521647,0.0,1.0
2023-12-21,1.51,1.6,1.475,1.48,1.48,264222,0.0,1.0
2023-12-20,1.59,1.64,1.45,1.46,1.46,1647247,0.0,1.0
2023-12-19,1.47,1.63,1.44,1.585,1.585,373226,0.0,1.0
2023-12-18,1.62,1.62,1.42,1.445,1.445,326956,0.0,1.0
2023-12-15,1.66,1.66,1.5599,1.59,1.59,923773,0.0,1.0
2023-12-14,1.52,1.66,1.5,1.65,1.65,947453,0.0,1.0
2023-12-13,1.4,1.55,1.36,1.52,1.52,400428,0.0,1.0
2023-12-12,1.3,1.415,1.25,1.37,1.37,459037,0.0,1.0
2023-12-11,1.5,1.51,1.31,1.32,1.32,856329,0.0,1.0
2023-12-08,1.38,1.405,1.27,1.38,1.38,303863,0.0,1.0
2023-12-07,1.33,1.4,1.25,1.37,1.37,287663,0.0,1.0
2023-12-06,1.22,1.35,1.22,1.31,1.31,282201,0.0,1.0
2023-12-05,1.25,1.2899,1.18,1.21,1.21,354226,0.0,1.0
2023-12-04,1.25,1.298,1.2,1.24,1.24,347152,0.0,1.0
2023-12-01,1.19,1.2775,1.145,1.23,1.23,505738,0.0,1.0
2023-11-30,1.14,1.21,1.11,1.18,1.18,609985,0.0,1.0
2023-11-29,1.14,1.175,1.1,1.13,1.13,365980,0.0,1.0
2023-11-28,1.18,1.18,1.1,1.11,1.11,238556,0.0,1.0
2023-11-27,1.19,1.19,1.15,1.18,1.18,199264,0.0,1.0
2023-11-24,1.15,1.19,1.1496,1.19,1.19,215790,0.0,1.0
2023-11-22,1.14,1.18,1.12,1.15,1.15,136614,0.0,1.0
2023-11-21,1.19,1.19,1.1,1.15,1.15,170679,0.0,1.0
2023-11-20,1.22,1.24,1.15,1.17,1.17,170180,0.0,1.0
2023-11-17,1.18,1.215,1.14,1.2,1.2,311348,0.0,1.0
2023-11-16,1.2,1.2,1.1,1.17,1.17,252919,0.0,1.0
2023-11-15,1.19,1.33,1.19,1.21,1.21,435281,0.0,1.0
2023-11-14,1.26,1.26,1.16,1.18,1.18,547957,0.0,1.0
2023-11-13,1.2,1.23,1.101,1.18,1.18,294875,0.0,1.0
2023-11-10,1.27,1.27,1.2,1.2,1.2,206191,0.0,1.0
2023-11-09,1.3,1.315,1.24,1.25,1.25,367998,0.0,1.0
2023-11-08,1.38,1.38,1.265,1.33,1.33,180711,0.0,1.0
2023-11-07,1.41,1.46,1.3,1.315,1.315,291764,0.0,1.0
2023-11-06,1.69,1.69,1.38,1.43,1.43,356283,0.0,1.0
2023-11-03,1.52,1.685,1.52,1.65,1.65,387809,0.0,1.0
2023-11-02,1.33,1.48,1.31,1.48,1.48,247147,0.0,1.0
2023-11-01,1.33,1.35,1.26,1.3,1.3,232242,0.0,1.0
2023-10-31,1.29,1.36,1.28,1.32,1.32,767398,0.0,1.0
2023-10-30,1.27,1.34,1.27,1.31,1.31,188596,0.0,1.0
2023-10-27,1.28,1.34,1.21,1.26,1.26,317898,0.0,1.0
2023-10-26,1.25,1.3,1.185,1.28,1.28,400148,0.0,1.0
2023-10-25,1.31,1.34,1.22,1.22,1.22,465407,0.0,1.0
2023-10-24,1.39,1.46,1.31,1.31,1.31,456506,0.0,1.0
2023-10-23,1.52,1.57,1.35,1.38,1.38,467862,0.0,1.0
2023-10-20,1.46,1.6011,1.43,1.5,1.5,371006,0.0,1.0
2023-10-19,1.45,1.53,1.4,1.46,1.46,491631,0.0,1.0
2023-10-18,1.51,1.51,1.41,1.44,1.44,385494,0.0,1.0
2023-10-17,1.43,1.52,1.4,1.5,1.5,521039,0.0,1.0
2023-10-16,1.37,1.51,1.31,1.43,1.43,201223,0.0,1.0
2023-10-13,1.36,1.43,1.34,1.38,1.38,196616,0.0,1.0
2023-10-12,1.49,1.51,1.33,1.35,1.35,343842,0.0,1.0
2023-10-11,1.43,1.55,1.41,1.5,1.5,363269,0.0,1.0
2023-10-10,1.26,1.445,1.25,1.43,1.43,492140,0.0,1.0
2023-10-09,1.28,1.3,1.24,1.25,1.25,192293,0.0,1.0
2023-10-06,1.38,1.38,1.28,1.29,1.29,389136,0.0,1.0
2023-10-05,1.28,1.35,1.24,1.32,1.32,272343,0.0,1.0
2023-10-04,1.29,1.3,1.26,1.29,1.29,153602,0.0,1.0
2023-10-03,1.3,1.3408,1.28,1.3,1.3,226584,0.0,1.0
2023-10-02,1.37,1.39,1.27,1.31,1.31,1210478,0.0,1.0
2023-09-29,1.43,1.49,1.325,1.37,1.37,304608,0.0,1.0
2023-09-28,1.45,1.4989,1.37,1.42,1.42,181168,0.0,1.0
2023-09-27,1.44,1.51,1.43,1.44,1.44,204052,0.0,1.0
2023-09-26,1.37,1.55,1.37,1.43,1.43,194351,0.0,1.0
2023-09-25,1.44,1.4795,1.39,1.4,1.4,834329,0.0,1.0
2023-09-22,1.54,1.58,1.45,1.46,1.46,303612,0.0,1.0
2023-09-21,1.59,1.605,1.53,1.53,1.53,474220,0.0,1.0
2023-09-20,1.71,1.725,1.59,1.6,1.6,196589,0.0,1.0
2023-09-19,1.68,1.73,1.66,1.7,1.7,193276,0.0,1.0
2023-09-18,1.72,1.7655,1.61,1.69,1.69,223665,0.0,1.0
2023-09-15,1.76,1.851,1.7,1.71,1.71,618491,0.0,1.0
2023-09-14,1.68,1.795,1.67,1.79,1.79,687432,0.0,1.0
2023-09-13,1.64,1.705,1.6,1.66,1.66,313988,0.0,1.0
2023-09-12,1.69,1.71,1.6,1.6,1.6,1744639,0.0,1.0
2023-09-11,1.71,1.71,1.6701,1.7,1.7,280436,0.0,1.0
2023-09-08,1.79,1.81,1.69,1.69,1.69,273140,0.0,1.0
2023-09-07,1.81,1.83,1.76,1.78,1.78,132973,0.0,1.0
2023-09-06,1.84,1.895,1.76,1.81,1.81,286297,0.0,1.0
2023-09-05,1.97,1.99,1.85,1.86,1.86,320123,0.0,1.0
2023-09-01,1.98,2.07,1.97,1.98,1.98,337107,0.0,1.0
2023-08-31,1.82,2.02,1.81,2.0,2.0,690006,0.0,1.0
2023-08-30,1.74,1.84,1.73,1.8,1.8,644986,0.0,1.0
2023-08-29,1.66,1.8,1.66,1.74,1.74,358347,0.0,1.0
2023-08-28,1.72,1.72,1.625,1.68,1.68,505524,0.0,1.0
2023-08-25,1.76,1.76,1.66,1.67,1.67,659616,0.0,1.0
2023-08-24,1.77,1.8,1.725,1.75,1.75,861239,0.0,1.0
2023-08-23,1.84,1.9,1.73,1.74,1.74,1255025,0.0,1.0
2023-08-22,1.89,1.92,1.77,1.78,1.78,418379,0.0,1.0
2023-08-21,1.94,1.945,1.8534,1.89,1.89,242950,0.0,1.0
2023-08-18,1.95,2.0079,1.87,1.87,1.87,886289,0.0,1.0
2023-08-17,2.05,2.07,1.95,1.97,1.97,327173,0.0,1.0
2023-08-16,2.11,2.175,2.03,2.06,2.06,281712,0.0,1.0
2023-08-15,2.14,2.189,2.06,2.13,2.13,307953,0.0,1.0
2023-08-14,2.3,2.31,2.08,2.14,2.14,609564,0.0,1.0
2023-08-11,2.3,2.35,2.18,2.3,2.3,335972,0.0,1.0
2023-08-10,2.01,2.44,2.01,2.35,2.35,665802,0.0,1.0
2023-08-09,2.2,2.23,2.1,2.1,2.1,465683,0.0,1.0
2023-08-08,2.25,2.2901,2.1606,2.2,2.2,916732,0.0,1.0
2023-08-07,2.36,2.415,2.11,2.24,2.24,827925,0.0,1.0
2023-08-04,2.4,2.49,2.34,2.35,2.35,270429,0.0,1.0
2023-08-03,2.48,2.53,2.36,2.37,2.37,335825,0.0,1.0
2023-08-02,2.5,2.53,2.385,2.48,2.48,307652,0.0,1.0
2023-08-01,2.65,2.65,2.51,2.53,2.53,649233,0.0,1.0
2023-07-31,2.61,2.755,2.5808,2.67,2.67,345748,0.0,1.0
2023-07-28,2.53,2.67,2.495,2.6,2.6,350757,0.0,1.0
2023-07-27,2.53,2.67,2.5,2.5,2.5,371247,0.0,1.0
2023-07-26,2.43,2.55,2.39,2.52,2.52,308200,0.0,1.0
2023-07-25,2.52,2.52,2.405,2.415,2.415,478184,0.0,1.0
2023-07-24,2.92,2.9346,2.45,2.51,2.51,974720,0.0,1.0
2023-07-21,2.97,3.0192,2.81,2.94,2.94,377937,0.0,1.0
2023-07-20,3.23,3.23,2.93,2.96,2.96,438347,0.0,1.0
2023-07-19,3.13,3.25,3.12,3.22,3.22,680346,0.0,1.0
2023-07-18,3.2,3.27,3.085,3.14,3.14,484063,0.0,1.0
2023-07-17,3.12,3.29,3.07,3.21,3.21,481944,0.0,1.0
2023-07-14,3.26,3.295,3.055,3.08,3.08,620630,0.0,1.0
2023-07-13,3.4,3.49,3.22,3.23,3.23,681031,0.0,1.0
2023-07-12,3.33,3.5399,3.2903,3.4,3.4,458562,0.0,1.0
2023-07-11,3.35,3.59,3.205,3.28,3.28,1093529,0.0,1.0
2023-07-10,3.2,3.43,3.18,3.38,3.38,1215952,0.0,1.0
2023-07-07,3.07,3.24,2.9515,3.22,3.22,961953,0.0,1.0
2023-07-06,3.05,3.26,2.9439,3.14,3.14,1764491,0.0,1.0
2023-07-05,2.75,3.3,2.75,3.16,3.16,3514674,0.0,1.0
2023-07-03,2.43,2.82,2.415,2.73,2.73,2228551,0.0,1.0
2023-06-30,2.43,2.56,2.32,2.43,2.43,3095745,0.0,1.0
2023-06-29,2.57,2.6,2.25,2.31,2.31,2883227,0.0,1.0
2023-06-28,2.11,2.66,2.05,2.64,2.64,5261505,0.0,1.0
2023-06-27,3.844,3.95,1.9801,2.13,2.13,8388978,0.0,1.0
2023-06-26,4.66,4.81,4.55,4.66,4.66,535453,0.0,1.0
2023-06-23,4.36,4.81,4.23,4.73,4.73,889059,0.0,1.0
2023-06-22,4.56,4.645,4.34,4.37,4.37,1154738,0.0,1.0
2023-06-21,4.32,4.65,4.23,4.62,4.62,1152750,0.0,1.0
2023-06-20,4.4,4.43,4.18,4.32,4.32,684107,0.0,1.0
2023-06-16,4.69,4.76,4.37,4.4,4.4,582050,0.0,1.0
2023-06-15,4.51,4.7,4.4,4.53,4.53,465660,0.0,1.0
2023-06-14,4.9,5.0,4.4901,4.53,4.53,454078,0.0,1.0
2023-06-13,5.0,5.17,4.78,4.82,4.82,719280,0.0,1.0
2023-06-12,5.38,5.415,4.87,4.95,4.95,505253,0.0,1.0
2023-06-09,5.73,5.74,5.32,5.35,5.35,484436,0.0,1.0
2023-06-08,5.69,5.72,5.31,5.67,5.67,512348,0.0,1.0
2023-06-07,5.33,5.81,5.32,5.71,5.71,298683,0.0,1.0
2023-06-06,5.28,5.43,5.14,5.32,5.32,300583,0.0,1.0
2023-06-05,5.34,5.48,5.24,5.26,5.26,249744,0.0,1.0
2023-06-02,5.3,5.391,5.06,5.35,5.35,326144,0.0,1.0
2023-06-01,5.1,5.3,4.61,5.195,5.195,452525,0.0,1.0
2023-05-31,5.62,5.715,5.4,5.48,5.48,785548,0.0,1.0
2023-05-30,5.64,5.9,5.48,5.61,5.61,205253,0.0,1.0
2023-05-26,5.51,5.785,5.34,5.62,5.62,228697,0.0,1.0
2023-05-25,5.74,5.74,5.32,5.53,5.53,254475,0.0,1.0
2023-05-24,6.15,6.15,5.535,5.71,5.71,255237,0.0,1.0
2023-05-23,6.26,6.65,6.16,6.17,6.17,407497,0.0,1.0
2023-05-22,6.4,6.55,6.25,6.32,6.32,458626,0.0,1.0
2023-05-19,6.55,6.64,6.24,6.28,6.28,198741,0.0,1.0
2023-05-18,6.67,6.71,6.195,6.46,6.46,262678,0.0,1.0
2023-05-17,6.85,6.885,6.52,6.67,6.67,163723,0.0,1.0
2023-05-16,6.97,7.06,6.805,6.83,6.83,546832,0.0,1.0
2023-05-15,6.4,7.28,6.37,7.13,7.13,395965,0.0,1.0
2023-05-12,6.68,6.69,6.34,6.36,6.36,563553,0.0,1.0
2023-05-11,6.9,7.0,6.52,6.66,6.66,207415,0.0,1.0
2023-05-10,6.96,7.5,6.85,6.93,6.93,440420,0.0,1.0
2023-05-09,6.58,6.79,6.45,6.73,6.73,371390,0.0,1.0
2023-05-08,6.48,6.66,6.3,6.66,6.66,171452,0.0,1.0
2023-05-05,6.43,6.64,6.38,6.45,6.45,171109,0.0,1.0
2023-05-04,6.3,6.47,6.21,6.38,6.38,171931,0.0,1.0
2023-05-03,6.11,6.5,6.11,6.34,6.34,192696,0.0,1.0
2023-05-02,6.07,6.24,6.02,6.08,6.08,291431,0.0,1.0
2023-05-01,5.85,6.22,5.85,6.11,6.11,242170,0.0,1.0
