,CMI_Open,CMI_High,CMI_Low,CMI_Close,CMI_Adj Close,CMI_Volume,CMI_Dividend Amount,CMI_Split Coefficient
2024-08-23,305.27,310.23,304.6201,309.31,309.31,676358,1.82,1.0
2024-08-22,303.66,306.4299,302.71,305.83,304.041003117668,597098,0.0,1.0
2024-08-21,301.4,305.15,299.835,303.66,301.883696846977,525320,0.0,1.0
2024-08-20,301.0,302.4325,299.78,300.31,298.553293157201,531126,0.0,1.0
2024-08-19,301.65,302.6899,299.64,301.32,299.55738501591,450224,0.0,1.0
2024-08-16,299.29,302.76,298.56,301.65,299.885454633112,578191,0.0,1.0
2024-08-15,296.54,301.465,294.8,299.8,298.046276476071,700028,0.0,1.0
2024-08-14,290.78,293.17,289.28,291.99,290.281962202295,949006,0.0,1.0
2024-08-13,292.73,293.3226,289.05,291.74,290.033424613506,804154,0.0,1.0
2024-08-12,296.05,296.05,289.87,290.94,289.23810432938,767675,0.0,1.0
2024-08-09,297.38,299.015,293.5,293.97,292.250379905506,597256,0.0,1.0
2024-08-08,293.76,299.08,293.43,297.24,295.501251566869,576618,0.0,1.0
2024-08-07,295.89,298.96,291.68,291.99,290.281962202295,846986,0.0,1.0
2024-08-06,285.0,297.235,282.19,292.31,290.600090315945,1326342,0.0,1.0
2024-08-05,286.88,286.88,278.2,282.65,280.996597885128,1253267,0.0,1.0
2024-08-02,303.71,303.71,288.15,290.36,288.661497123389,1186131,0.0,1.0
2024-08-01,305.0,322.83,302.83,306.09,304.299482210009,1851729,0.0,1.0
2024-07-31,291.49,295.72,289.88,291.8,290.093073634815,802200,0.0,1.0
2024-07-30,291.2,294.17,288.82,289.04,287.349218654582,629412,0.0,1.0
2024-07-29,290.0,293.9,289.01,291.2,289.496583421721,678618,0.0,1.0
2024-07-26,285.87,293.085,285.17,290.38,288.681380130492,545046,0.0,1.0
2024-07-25,281.79,288.35,281.42,283.17,281.51355606981,590265,0.0,1.0
2024-07-24,281.9,284.72,278.05,281.57,279.922915501559,620094,0.0,1.0
2024-07-23,288.41,289.42,280.07,283.65,281.990748240285,959362,0.0,1.0
2024-07-22,292.12,293.27,287.42,292.25,290.540441294636,801424,0.0,1.0
2024-07-19,298.99,299.0,290.01,291.15,289.446875903963,1763952,0.0,1.0
2024-07-18,293.57,302.87,293.57,298.23,296.485460418475,661761,0.0,1.0
2024-07-17,298.27,301.98,295.06,295.1,293.373769806833,827823,0.0,1.0
2024-07-16,289.96,299.85,288.972,299.43,297.678440844663,909719,0.0,1.0
2024-07-15,285.91,292.255,284.42,288.93,287.239862115514,627980,0.0,1.0
2024-07-12,282.67,287.31,282.33,284.86,283.193670170025,716818,0.0,1.0
2024-07-11,275.11,281.7,275.005,280.04,278.401865458169,858142,0.0,1.0
2024-07-10,270.53,274.23,268.86,274.09,272.486670844984,699806,0.0,1.0
2024-07-09,269.27,272.145,267.5221,268.68,267.108317423585,839850,0.0,1.0
2024-07-08,268.11,270.3,268.01,269.62,268.042818757433,695063,0.0,1.0
2024-07-05,272.0,272.0,265.41,266.63,265.070309195513,772278,0.0,1.0
2024-07-03,267.99,272.385,267.02,272.08,270.488428631119,504655,0.0,1.0
2024-07-02,269.9,271.35,266.81,267.55,265.984927522258,843328,0.0,1.0
2024-07-01,279.0,279.43,270.57,272.29,270.697200205702,664498,0.0,1.0
2024-06-28,281.4,284.69,272.75,276.93,275.31005785363,1643842,0.0,1.0
2024-06-27,281.7,283.61,279.97,280.49,278.849233117989,970688,0.0,1.0
2024-06-26,282.45,283.92,279.36,281.67,280.022330537075,746121,0.0,1.0
2024-06-25,282.77,283.96,279.9,283.12,281.463848552052,869348,0.0,1.0
2024-06-24,280.43,286.3,278.415,283.96,282.298934850384,899703,0.0,1.0
2024-06-21,278.22,279.86,275.6601,276.94,275.319999357182,3366475,0.0,1.0
2024-06-20,279.77,283.88,275.91,278.31,276.681985343747,2121197,0.0,1.0
2024-06-18,270.94,274.15,269.0,273.79,272.188425738437,943802,0.0,1.0
2024-06-17,266.12,270.69,265.86,269.91,268.331122360428,708365,0.0,1.0
2024-06-14,267.4,267.825,261.51,266.48,264.92118664224,897844,0.0,1.0
2024-06-13,270.93,273.04,267.47,270.38,268.798373027352,743235,0.0,1.0
2024-06-12,274.45,275.27,269.68,272.2,270.607726673738,707010,0.0,1.0
2024-06-11,272.18,273.16,269.58,271.7,270.110651496159,665444,0.0,1.0
2024-06-10,270.97,275.24,270.97,273.17,271.57205251824,795271,0.0,1.0
2024-06-07,273.0,274.904,270.54,271.87,270.279657056536,770359,0.0,1.0
2024-06-06,278.22,278.72,273.5,274.22,272.615910391155,773369,0.0,1.0
2024-06-05,273.97,279.62,273.88,278.81,277.179060521325,1071950,0.0,1.0
2024-06-04,274.1,276.005,271.56,273.11,271.512403496931,726562,0.0,1.0
2024-06-03,282.0,282.55,272.72,275.22,273.610060746312,808017,0.0,1.0
2024-05-31,278.52,281.76,274.61,281.73,280.081979558384,1533223,0.0,1.0
2024-05-30,275.29,279.51,274.48,279.12,277.487247131424,747619,0.0,1.0
2024-05-29,275.76,276.53,273.6606,274.34,272.735208433774,690102,0.0,1.0
2024-05-28,284.01,284.99,277.75,278.26,276.632277825989,733976,0.0,1.0
2024-05-24,285.08,286.0,282.91,284.91,283.243377687783,529896,0.0,1.0
2024-05-23,286.11,286.53,281.505,283.9,282.239285829075,1217601,1.68,1.0
2024-05-22,285.7,288.9,285.45,287.01,283.652557692425,659465,0.0,1.0
2024-05-21,284.67,286.61,283.46,285.96,282.614840589965,813536,0.0,1.0
2024-05-20,286.41,286.96,284.42,284.84,281.507942347341,640986,0.0,1.0
2024-05-17,288.59,288.8,282.72,285.56,282.219519789028,1060345,0.0,1.0
2024-05-16,290.77,293.9,286.4,287.85,284.482731374393,1209541,0.0,1.0
2024-05-15,296.81,296.87,291.69,292.14,288.722546964444,831440,0.0,1.0
2024-05-14,293.28,295.98,293.18,295.18,291.726985051566,832895,0.0,1.0
2024-05-13,298.81,300.22,291.18,291.45,288.040618582827,931685,0.0,1.0
2024-05-10,296.43,298.81,295.0,298.61,295.116860919602,755548,0.0,1.0
2024-05-09,289.17,294.89,289.17,294.58,291.13400385016,702429,0.0,1.0
2024-05-08,285.28,289.23,284.57,289.06,285.678576797228,756790,0.0,1.0
2024-05-07,284.89,289.2,284.34,286.91,283.553727492191,701396,0.0,1.0
2024-05-06,284.22,286.94,283.05,283.59,280.272564844412,726046,0.0,1.0
2024-05-03,281.82,281.82,275.805,280.74,277.455904137735,1058929,0.0,1.0
2024-05-02,280.0,284.97,273.92,280.29,277.011168236681,1541658,0.0,1.0
2024-05-01,282.89,289.8429,282.11,283.87,280.549289405068,1247511,0.0,1.0
2024-04-30,290.16,290.75,282.45,282.49,279.185432641835,1212242,0.0,1.0
2024-04-29,292.36,294.4,291.49,293.65,290.214882987982,503394,0.0,1.0
2024-04-26,290.8,292.47,290.61,291.14,287.734244962101,480216,0.0,1.0
2024-04-25,287.95,292.44,285.89,291.61,288.198746903202,765018,0.0,1.0
2024-04-24,293.08,295.44,290.31,292.34,288.920207364912,760671,0.0,1.0
2024-04-23,291.4,294.98,291.2,292.7,289.275996085756,782614,0.0,1.0
2024-04-22,287.98,292.96,286.09,290.4,287.002901480367,1027205,0.0,1.0
2024-04-19,291.97,293.435,284.92,287.56,284.196123793714,2566951,0.0,1.0
2024-04-18,293.14,293.99,289.695,291.42,288.010969522757,764469,0.0,1.0
2024-04-17,296.79,296.79,289.251,291.36,287.951671402616,757687,0.0,1.0
2024-04-16,294.3,295.37,291.78,294.58,291.13400385016,672189,0.0,1.0
2024-04-15,299.27,301.83,295.12,295.78,292.319966252972,799063,0.0,1.0
2024-04-12,301.8,303.94,297.41,298.63,295.136626959649,866451,0.0,1.0
2024-04-11,302.65,304.245,299.35,302.86,299.317144429559,631167,0.0,1.0
2024-04-10,299.0,302.76,296.76,302.3,298.763695308247,919157,0.0,1.0
2024-04-09,301.31,302.5,297.01,302.03,298.496853767615,847782,0.0,1.0
2024-04-08,301.63,304.2,299.345,300.35,296.836506403679,867554,0.0,1.0
2024-04-05,296.07,301.5,294.821,300.67,297.152763044428,924376,0.0,1.0
2024-04-04,297.0,300.99,294.505,294.75,291.302015190559,1236242,0.0,1.0
2024-04-03,294.5,294.81,290.57,294.67,291.222951030371,1267428,0.0,1.0
2024-04-02,293.02,296.92,292.46,295.87,292.408913433183,934997,0.0,1.0
2024-04-01,294.29,295.1,292.35,294.53,291.084588750043,598865,0.0,1.0
2024-03-28,295.0,296.67,292.9,294.65,291.203184990324,1107283,0.0,1.0
2024-03-27,293.25,295.23,292.06,294.69,291.242717070418,887070,0.0,1.0
2024-03-26,287.94,292.08,287.35,291.82,288.406290323694,1003869,0.0,1.0
2024-03-25,290.68,291.365,287.35,287.76,284.393784194182,1553747,0.0,1.0
2024-03-22,291.01,293.63,290.2,290.34,286.943603360227,5230804,0.0,1.0
2024-03-21,288.0,297.11,287.625,291.4,287.99120348271,9861280,0.0,1.0
2024-03-20,280.72,287.97,278.89,287.13,283.771153932706,10480980,0.0,1.0
2024-03-19,285.58,286.81,280.05,281.01,277.722745678368,10413493,0.0,1.0
2024-03-18,276.73,287.94,275.0,286.12,282.77296891034,8187104,0.0,1.0
2024-03-15,265.78,274.84,265.34,274.84,271.624922323912,4596460,0.0,1.0
2024-03-14,263.51,267.36,260.88,263.58,260.496641777532,6333716,0.0,1.0
2024-03-13,270.61,274.2,267.33,270.24,267.078733113135,9513856,0.0,1.0
2024-03-12,272.33,272.64,268.37,269.77,266.614231172034,12604283,0.0,1.0
2024-03-11,270.61,271.48,265.42,270.15,266.989785932924,17613998,0.0,1.0
2024-03-08,267.34,273.19,266.96,268.6,265.457917829293,11175365,0.0,1.0
2024-03-07,273.09,276.92,264.61,266.21,263.095876043693,11888065,0.0,1.0
2024-03-06,271.37,275.31,270.305,273.44,270.241299520632,6884762,0.0,1.0
2024-03-05,270.63,275.4,270.63,271.35,268.175748335736,5777629,0.0,1.0
2024-03-04,270.88,274.05,270.155,271.31,268.136216255642,3770117,0.0,1.0
2024-03-01,271.0,272.74,267.69,270.26,267.098499153182,1813920,0.0,1.0
2024-02-29,271.09,271.98,267.6401,268.61,265.467800849316,3833820,0.0,1.0
2024-02-28,268.77,273.23,267.46,270.36,267.197329353416,2723050,0.0,1.0
2024-02-27,266.88,269.0,266.0,268.54,265.398619709152,4492410,0.0,1.0
2024-02-26,264.0,266.795,261.94,266.21,263.095876043693,1514105,0.0,1.0
2024-02-23,262.94,264.31,259.61,263.97,260.882079558445,2261344,0.0,1.0
2024-02-22,262.51,263.45,259.06,262.88,259.804830375892,1743609,1.68,1.0
2024-02-21,262.36,266.29,261.76,263.19,258.459454591136,3229621,0.0,1.0
2024-02-20,264.02,266.637,261.7,261.84,257.133719328785,1860964,0.0,1.0
2024-02-16,265.24,269.7,264.315,266.48,261.69032052679,2031055,0.0,1.0
2024-02-15,260.88,267.22,259.95,265.8,261.022542765014,3582268,0.0,1.0
2024-02-14,258.5,262.03,258.085,260.47,255.78834354403,4606073,0.0,1.0
2024-02-13,254.5,254.66,250.9,254.5,249.92564760608,1012382,0.0,1.0
2024-02-12,252.0,257.68,251.59,256.85,252.23340898869,1004976,0.0,1.0
2024-02-09,249.58,251.915,248.73,251.78,247.254536558973,578650,0.0,1.0
2024-02-08,248.0,251.39,247.53,249.92,245.42796797529,642770,0.0,1.0
2024-02-07,252.89,252.89,247.23,248.11,243.650500697621,1293677,0.0,1.0
2024-02-06,242.24,251.57,236.0,251.54,247.018850290111,2127785,0.0,1.0
2024-02-05,243.51,244.21,239.99,241.11,236.776317855803,1178377,0.0,1.0
2024-02-02,241.38,246.01,240.13,244.65,240.252690321522,642306,0.0,1.0
2024-02-01,240.15,243.09,237.96,242.97,238.602886439486,529318,0.0,1.0
2024-01-31,242.77,242.9,238.85,239.3,234.998850578133,614194,0.0,1.0
2024-01-30,240.01,243.08,239.01,242.8,238.435941999042,593273,0.0,1.0
2024-01-29,240.19,241.19,238.38,240.86,236.530811325738,511407,0.0,1.0
2024-01-26,239.08,242.93,239.08,240.63,236.304945318078,647187,0.0,1.0
2024-01-25,238.5,240.25,236.18,238.85,234.556938824016,587961,0.0,1.0
2024-01-24,238.19,238.19,234.4925,235.8,231.561759157224,1143961,0.0,1.0
2024-01-23,235.51,238.765,234.04,236.2,231.954569605328,857934,0.0,1.0
2024-01-22,229.5,234.56,229.5,233.88,229.676269006326,883022,0.0,1.0
2024-01-19,230.76,231.02,226.525,229.21,225.090207024713,2466195,0.0,1.0
2024-01-18,232.78,234.16,230.153,233.19,228.998670983347,971701,0.0,1.0
2024-01-17,232.5,233.855,230.175,233.08,228.890648110118,879478,0.0,1.0
2024-01-16,235.69,236.12,233.35,234.77,230.550272253357,706481,0.0,1.0
2024-01-12,239.98,240.0,236.17,237.15,232.887494419575,520829,0.0,1.0
2024-01-11,239.7,240.77,235.17,237.56,233.290125128881,714672,0.0,1.0
2024-01-10,239.67,240.295,238.31,239.22,234.920288488512,503874,0.0,1.0
2024-01-09,239.45,239.81,236.28,239.41,235.106873451362,601946,0.0,1.0
2024-01-08,239.03,241.4,236.21,241.17,236.835239423019,562919,0.0,1.0
2024-01-05,235.17,239.4959,234.95,238.16,233.879340801037,590173,0.0,1.0
2024-01-04,237.33,237.83,235.28,235.88,231.640321246845,693832,0.0,1.0
2024-01-03,239.16,239.45,235.98,237.72,233.447249308123,788831,0.0,1.0
2024-01-02,239.31,242.175,238.13,241.18,236.845059684221,611826,0.0,1.0
2023-12-29,240.4,241.05,238.645,239.57,235.263997630603,410391,0.0,1.0
2023-12-28,239.17,241.45,238.72,240.58,236.255844012065,508815,0.0,1.0
2023-12-27,240.04,240.04,237.615,239.84,235.529144683073,571680,0.0,1.0
2023-12-26,237.41,240.59,235.8501,239.49,235.185435540982,521047,0.0,1.0
2023-12-22,233.74,238.85,232.74,236.99,232.730370240333,940583,0.0,1.0
2023-12-21,242.66,244.33,241.465,244.0,239.614373343353,458113,0.0,1.0
2023-12-20,244.12,245.54,240.33,240.53,236.206742706052,610856,0.0,1.0
2023-12-19,243.13,244.93,242.845,244.52,240.125026925888,571141,0.0,1.0
2023-12-18,242.42,243.14,239.31,242.35,237.994030244925,731642,0.0,1.0
2023-12-15,243.92,246.8545,241.17,241.53,237.188768826312,1784188,0.0,1.0
2023-12-14,241.03,248.41,241.03,248.27,243.807624876862,992104,0.0,1.0
2023-12-13,234.51,239.76,232.38,239.35,235.047951884146,897728,0.0,1.0
2023-12-12,235.29,235.4,233.23,234.67,230.452069641331,515051,0.0,1.0
2023-12-11,231.65,235.44,230.155,235.32,231.0903866195,842253,0.0,1.0
2023-12-08,231.31,233.32,229.8,230.58,226.435582809469,501710,0.0,1.0
2023-12-07,231.0,231.96,229.18,230.73,226.582886727508,1038601,0.0,1.0
2023-12-06,230.41,233.0,229.96,230.64,226.494504376684,772917,0.0,1.0
2023-12-05,230.71,231.455,228.53,228.67,224.559912919773,903145,0.0,1.0
2023-12-04,224.6,231.29,224.6,231.18,227.024798481625,1027124,0.0,1.0
2023-12-01,225.05,227.28,223.51,226.31,222.24233127596,894328,0.0,1.0
2023-11-30,225.12,226.0,223.35,224.16,220.130975117402,1158217,0.0,1.0
2023-11-29,225.74,226.48,223.42,223.95,219.924749632147,553939,0.0,1.0
2023-11-28,223.88,225.22,222.75,223.75,219.728344408096,584104,0.0,1.0
2023-11-27,224.37,225.05,222.04,224.41,220.376481647467,448845,0.0,1.0
2023-11-24,224.02,226.2875,223.5221,225.49,221.437069857347,283919,0.0,1.0
2023-11-22,221.4,224.99,220.02,224.51,220.474684259493,881879,1.68,1.0
2023-11-21,224.01,224.54,222.13,223.8,218.14507421758,463297,0.0,1.0
2023-11-20,225.0,225.67,223.22,224.16,218.49597782222,683855,0.0,1.0
2023-11-17,225.04,225.64,223.7487,225.5,219.802119017267,523651,0.0,1.0
2023-11-16,223.22,225.455,222.81,223.42,217.774675968239,522166,0.0,1.0
2023-11-15,223.6,225.08,223.09,223.75,218.096337605825,840815,0.0,1.0
2023-11-14,220.74,224.76,220.335,222.98,217.34579378479,964575,0.0,1.0
2023-11-13,217.08,219.18,216.915,217.43,211.936029879931,711062,0.0,1.0
2023-11-10,216.68,219.285,214.575,219.02,213.485854133755,999452,0.0,1.0
2023-11-09,219.04,219.3925,214.67,215.44,209.996312732062,857013,0.0,1.0
2023-11-08,219.82,220.05,217.33,217.49,211.994513814037,789514,0.0,1.0
2023-11-07,218.9,220.88,217.07,219.64,214.090188119523,835513,0.0,1.0
2023-11-06,226.47,227.31,219.94,220.0,214.441091724163,881879,0.0,1.0
2023-11-03,220.24,227.53,220.115,225.88,220.172517266609,1167877,0.0,1.0
2023-11-02,223.75,225.07,212.8,217.94,212.433143319837,1612535,0.0,1.0
2023-11-01,217.16,218.72,215.14,218.05,212.540363865699,1369417,0.0,1.0
2023-10-31,215.94,217.4,214.31,216.3,210.834582454257,1198801,0.0,1.0
2023-10-30,217.04,218.05,214.94,217.66,212.160218294006,643886,0.0,1.0
2023-10-27,217.63,218.66,214.79,215.24,209.80136628504,638506,0.0,1.0
2023-10-26,218.52,220.505,217.7701,218.1,212.589100477454,634628,0.0,1.0
2023-10-25,219.6,221.794,217.93,218.58,213.056971950307,660511,0.0,1.0
2023-10-24,218.01,219.83,216.1601,219.2,213.661305936075,1049133,0.0,1.0
2023-10-23,218.58,220.471,216.23,216.3,210.834582454257,575680,0.0,1.0
2023-10-20,223.28,223.28,218.94,219.19,213.651558613724,863628,0.0,1.0
2023-10-19,223.97,225.83,221.05,221.7,216.09813652385,635090,0.0,1.0
2023-10-18,227.32,227.32,223.285,223.91,218.252294763442,592727,0.0,1.0
2023-10-17,224.37,230.2681,223.95,228.8,223.01873539313,562871,0.0,1.0
2023-10-16,227.13,229.59,226.97,228.25,222.482632663819,484241,0.0,1.0
2023-10-13,227.47,229.61,225.345,227.72,221.966024579211,581286,0.0,1.0
2023-10-12,230.59,230.59,225.35,227.54,221.790572776891,560727,0.0,1.0
2023-10-11,229.19,230.5573,227.31,230.05,224.237150687017,529052,0.0,1.0
2023-10-10,229.68,231.335,227.94,229.2,223.408628287173,632112,0.0,1.0
2023-10-09,226.7,228.83,224.92,228.09,222.326675506202,478600,0.0,1.0
2023-10-06,225.35,230.46,224.415,227.62,221.8685513557,767356,0.0,1.0
2023-10-05,225.68,227.4,223.66,225.42,219.724140438458,581007,0.0,1.0
2023-10-04,223.49,227.92,222.62,227.66,221.907540645104,767945,0.0,1.0
2023-10-03,224.34,226.47,222.9,223.9,218.242547441091,543044,0.0,1.0
2023-10-02,227.92,228.325,224.966,225.55,219.850855629023,660600,0.0,1.0
2023-09-29,232.64,233.07,227.265,228.46,222.687326433192,815857,0.0,1.0
2023-09-28,228.72,233.83,228.33,231.31,225.465313303255,659603,0.0,1.0
2023-09-27,230.82,231.77,228.79,229.95,224.139677463506,554781,0.0,1.0
2023-09-26,229.27,231.8,228.525,229.05,223.262418451907,614413,0.0,1.0
2023-09-25,229.41,232.76,229.41,231.51,225.660259750277,486150,0.0,1.0
2023-09-22,229.18,232.25,229.04,230.78,224.948705218647,575079,0.0,1.0
2023-09-21,231.95,231.95,228.74,228.81,223.028482715481,639882,0.0,1.0
2023-09-20,235.87,239.24,232.58,232.8,226.917664333569,884031,0.0,1.0
2023-09-19,237.92,239.39,234.45,234.68,228.750160935575,1211657,0.0,1.0
2023-09-18,235.18,238.55,234.56,238.34,232.317680916077,1128386,0.0,1.0
2023-09-15,237.25,237.25,234.245,235.37,229.422726177801,1185581,0.0,1.0
2023-09-14,235.15,238.095,234.64,237.04,231.050529010435,1195132,0.0,1.0
2023-09-13,235.01,236.98,231.55,233.57,227.668208154603,1365956,0.0,1.0
2023-09-12,232.91,236.84,232.7332,235.4,229.451968144854,529634,0.0,1.0
2023-09-11,236.45,236.83,233.4,233.58,227.677955476955,633222,0.0,1.0
2023-09-08,232.43,236.09,231.6801,234.87,228.935360060246,748219,0.0,1.0
2023-09-07,234.09,235.615,231.19,232.55,226.673981274791,802328,0.0,1.0
2023-09-06,231.14,236.66,230.98,235.69,229.734640493036,862328,0.0,1.0
2023-09-05,236.5,236.5,231.8,231.84,225.981921387863,826569,0.0,1.0
2023-09-01,231.77,237.085,231.77,236.64,230.660636116391,809379,0.0,1.0
2023-08-31,232.38,232.86,229.595,230.04,224.227403364666,1087591,0.0,1.0
2023-08-30,230.45,232.5,230.085,232.03,226.167120512534,776147,0.0,1.0
2023-08-29,232.2,233.65,224.34,230.13,224.315129265826,1122046,0.0,1.0
2023-08-28,233.5,234.74,231.56,232.62,226.742212531249,639011,0.0,1.0
2023-08-25,232.08,233.44,228.85,232.05,226.186615157237,614756,0.0,1.0
2023-08-24,230.88,234.17,230.355,230.75,224.919463251594,601467,1.68,1.0
2023-08-23,234.46,236.66,233.69,234.28,226.709683993389,543603,0.0,1.0
2023-08-22,234.45,235.55,233.53,234.59,227.0096669285,421506,0.0,1.0
2023-08-21,234.14,235.0,232.0533,233.6,226.051656909918,538592,0.0,1.0
2023-08-18,230.97,236.565,230.31,233.62,226.071010647667,616237,0.0,1.0
2023-08-17,233.13,235.05,232.4,232.9,225.374276088698,486871,0.0,1.0
2023-08-16,232.17,235.36,232.17,232.34,224.832371431723,705758,0.0,1.0
2023-08-15,235.94,235.94,231.93,232.57,225.054939415838,822546,0.0,1.0
2023-08-14,238.01,238.72,236.64,237.09,229.428884147143,395271,0.0,1.0
2023-08-11,237.03,239.88,236.03,238.72,231.006213773697,627000,0.0,1.0
2023-08-10,238.68,240.72,235.65,237.22,229.554683442512,650310,0.0,1.0
2023-08-09,237.78,240.96,237.42,238.59,230.880414478328,679814,0.0,1.0
2023-08-08,234.0,239.2,232.4,238.33,230.628815887589,612025,0.0,1.0
2023-08-07,236.89,239.4225,236.03,237.24,229.574037180261,647256,0.0,1.0
2023-08-04,243.0,244.5,235.365,236.51,228.867625752418,1290589,0.0,1.0
2023-08-03,237.14,248.38,237.14,242.64,234.799546372528,2049762,0.0,1.0
2023-08-02,263.81,265.19,261.18,262.22,253.746855628933,1186740,0.0,1.0
2023-08-01,260.77,265.28,260.295,264.99,256.427348307188,837967,0.0,1.0
2023-07-31,259.29,260.93,259.01,260.8,252.372740248744,542188,0.0,1.0
2023-07-28,260.62,260.62,256.75,258.75,250.388982129458,783731,0.0,1.0
2023-07-27,257.37,260.04,254.4025,258.56,250.205121620841,802871,0.0,1.0
2023-07-26,256.44,258.58,254.45,256.22,247.940734304192,653787,0.0,1.0
2023-07-25,255.85,258.305,255.0,257.81,249.479356455248,629005,0.0,1.0
2023-07-24,259.07,260.56,257.54,257.89,249.556771406245,962540,0.0,1.0
2023-07-21,260.75,261.0,257.7,258.75,250.388982129458,2765067,0.0,1.0
2023-07-20,259.65,260.0,257.21,259.97,251.569560132155,685074,0.0,1.0
2023-07-19,256.9,259.67,256.1924,258.85,250.485750818203,645344,0.0,1.0
2023-07-18,255.57,259.53,255.12,259.15,250.77605688444,611322,0.0,1.0
2023-07-17,251.91,255.52,249.89,255.12,246.876278727989,748023,0.0,1.0
2023-07-14,254.19,255.195,249.8,252.17,244.021602409992,529221,0.0,1.0
2023-07-13,257.02,257.735,253.9,254.49,246.266635988892,834908,0.0,1.0
2023-07-12,259.65,260.33,256.23,257.03,248.724560683032,803931,0.0,1.0
2023-07-11,254.34,257.71,254.25,256.59,248.298778452551,1153000,0.0,1.0
2023-07-10,246.11,253.5,246.07,253.01,244.834459395455,1478755,0.0,1.0
2023-07-07,241.1,248.19,241.1,245.8,237.857436936892,814399,0.0,1.0
2023-07-06,241.16,242.825,239.761,242.2,234.373764142047,583807,0.0,1.0
2023-07-05,246.0,246.88,243.11,243.3,235.43821971825,859360,0.0,1.0
2023-07-03,245.41,249.23,244.625,248.4,240.373422844279,622390,0.0,1.0
