,ENVA_Open,ENVA_High,ENVA_Low,ENVA_Close,ENVA_Adj Close,ENVA_Volume,ENVA_Dividend Amount,ENVA_Split Coefficient
2024-06-07,58.94,59.285,58.46,59.18,59.18,132130,0.0,1.0
2024-06-06,59.34,59.66,59.09,59.18,59.18,120808,0.0,1.0
2024-06-05,60.37,60.37,59.27,59.65,59.65,144078,0.0,1.0
2024-06-04,60.06,60.5366,59.81,59.97,59.97,189819,0.0,1.0
2024-06-03,61.94,62.0,60.14,60.71,60.71,222896,0.0,1.0
2024-05-31,61.09,61.805,60.97,61.65,61.65,241567,0.0,1.0
2024-05-30,60.16,61.1,59.9,60.92,60.92,133837,0.0,1.0
2024-05-29,59.44,60.1,59.22,59.72,59.72,148092,0.0,1.0
2024-05-28,60.28,60.78,59.82,60.37,60.37,185181,0.0,1.0
2024-05-24,59.45,59.988,59.34,59.9,59.9,155439,0.0,1.0
2024-05-23,59.87,59.87,58.435,58.98,58.98,152621,0.0,1.0
2024-05-22,60.77,61.17,59.84,60.14,60.14,216102,0.0,1.0
2024-05-21,60.8,61.31,60.67,61.11,61.11,200098,0.0,1.0
2024-05-20,61.89,62.415,60.78,60.99,60.99,163183,0.0,1.0
2024-05-17,61.47,62.33,60.99,62.16,62.16,244443,0.0,1.0
2024-05-16,61.27,61.56,60.48,61.25,61.25,156029,0.0,1.0
2024-05-15,63.02,63.02,61.355,61.46,61.46,209836,0.0,1.0
2024-05-14,63.31,63.9,62.44,62.51,62.51,214912,0.0,1.0
2024-05-13,63.5,63.78,62.75,62.89,62.89,146825,0.0,1.0
2024-05-10,62.94,63.3,62.37,63.2,63.2,121938,0.0,1.0
2024-05-09,61.77,63.29,61.47,62.86,62.86,497574,0.0,1.0
2024-05-08,62.16,62.48,61.15,61.47,61.47,165437,0.0,1.0
2024-05-07,62.88,63.4585,62.465,62.6,62.6,154097,0.0,1.0
2024-05-06,62.58,63.17,62.48,62.73,62.73,157277,0.0,1.0
2024-05-03,62.12,62.51,61.53,62.01,62.01,233748,0.0,1.0
2024-05-02,61.68,61.83,60.91,61.63,61.63,298861,0.0,1.0
2024-05-01,60.88,62.04,60.54,61.05,61.05,321469,0.0,1.0
2024-04-30,61.42,62.41,60.52,60.53,60.53,346069,0.0,1.0
2024-04-29,63.33,63.75,61.22,61.73,61.73,276658,0.0,1.0
2024-04-26,62.28,63.3,62.28,63.23,63.23,279865,0.0,1.0
2024-04-25,62.27,63.28,61.27,62.45,62.45,425211,0.0,1.0
2024-04-24,65.0,65.0,62.42,63.54,63.54,358132,0.0,1.0
2024-04-23,61.2,64.855,60.43,64.32,64.32,403534,0.0,1.0
2024-04-22,61.24,61.595,60.8,61.23,61.23,228366,0.0,1.0
2024-04-19,59.51,61.07,59.51,60.71,60.71,220792,0.0,1.0
2024-04-18,59.12,60.425,59.12,59.59,59.59,214045,0.0,1.0
2024-04-17,59.16,59.875,58.93,58.99,58.99,215776,0.0,1.0
2024-04-16,58.68,58.83,57.55,58.61,58.61,191480,0.0,1.0
2024-04-15,59.57,60.49,58.255,59.15,59.15,232984,0.0,1.0
2024-04-12,60.67,60.825,58.335,59.37,59.37,236458,0.0,1.0
2024-04-11,61.88,61.94,60.69,61.29,61.29,188811,0.0,1.0
2024-04-10,61.57,62.46,60.9,61.34,61.34,255879,0.0,1.0
2024-04-09,63.63,63.845,62.66,63.04,63.04,118982,0.0,1.0
2024-04-08,63.53,63.91,62.97,63.01,63.01,123264,0.0,1.0
2024-04-05,61.77,63.28,61.77,62.84,62.84,185762,0.0,1.0
2024-04-04,63.68,63.68,62.0,62.01,62.01,174963,0.0,1.0
2024-04-03,61.45,63.4,61.4425,62.83,62.83,280929,0.0,1.0
2024-04-02,61.05,61.89,60.54,61.68,61.68,236595,0.0,1.0
2024-04-01,63.2,63.2,61.555,61.77,61.77,138211,0.0,1.0
2024-03-28,62.5,63.42,62.455,62.83,62.83,236179,0.0,1.0
2024-03-27,61.83,62.46,61.64,62.19,62.19,193090,0.0,1.0
2024-03-26,61.05,61.77,60.75,61.18,61.18,209346,0.0,1.0
2024-03-25,61.28,61.87,60.65,60.66,60.66,130796,0.0,1.0
2024-03-22,63.12,63.12,61.0,61.01,61.01,147368,0.0,1.0
2024-03-21,62.9,63.425,62.7,63.01,63.01,209786,0.0,1.0
2024-03-20,61.32,63.28,61.32,62.28,62.28,270931,0.0,1.0
2024-03-19,59.37,61.8,59.37,61.48,61.48,244434,0.0,1.0
2024-03-18,59.95,60.45,59.35,59.62,59.62,237453,0.0,1.0
2024-03-15,60.02,61.4399,58.91,59.75,59.75,727792,0.0,1.0
2024-03-14,62.01,62.07,59.78,60.35,60.35,274275,0.0,1.0
2024-03-13,62.45,63.04,61.92,62.3,62.3,175467,0.0,1.0
2024-03-12,61.61,63.09,61.275,62.57,62.57,196100,0.0,1.0
2024-03-11,62.97,63.11,61.66,61.75,61.75,168796,0.0,1.0
2024-03-08,63.63,64.51,63.17,63.51,63.51,206471,0.0,1.0
2024-03-07,63.17,63.86,62.94,63.09,63.09,229762,0.0,1.0
2024-03-06,63.77,63.77,62.475,62.68,62.68,282680,0.0,1.0
2024-03-05,62.28,63.55,62.28,63.36,63.36,269193,0.0,1.0
2024-03-04,63.29,64.255,62.64,62.71,62.71,205825,0.0,1.0
2024-03-01,63.2,63.82,62.92,63.14,63.14,191464,0.0,1.0
2024-02-29,63.42,64.14,62.585,63.25,63.25,250928,0.0,1.0
2024-02-28,60.97,63.0,60.97,62.33,62.33,318134,0.0,1.0
2024-02-27,61.67,62.19,61.35,61.38,61.38,333150,0.0,1.0
2024-02-26,61.18,61.9,61.03,61.32,61.32,315732,0.0,1.0
2024-02-23,60.13,61.98,59.95,61.41,61.41,309481,0.0,1.0
2024-02-22,59.79,60.835,59.48,59.9,59.9,344546,0.0,1.0
2024-02-21,60.01,60.455,59.68,59.8,59.8,322801,0.0,1.0
2024-02-20,58.53,61.365,58.43,60.47,60.47,369394,0.0,1.0
2024-02-16,59.32,61.08,59.32,59.51,59.51,365054,0.0,1.0
2024-02-15,57.42,60.31,57.205,59.74,59.74,372205,0.0,1.0
2024-02-14,56.44,57.95,55.895,57.09,57.09,290999,0.0,1.0
2024-02-13,55.18,56.27,54.67,55.7,55.7,304369,0.0,1.0
2024-02-12,55.5,58.12,55.3401,57.18,57.18,326430,0.0,1.0
2024-02-09,54.74,55.61,54.265,55.54,55.54,290833,0.0,1.0
2024-02-08,54.52,54.71,53.8,54.57,54.57,235113,0.0,1.0
2024-02-07,54.1,54.785,53.4,54.69,54.69,329125,0.0,1.0
2024-02-06,53.74,54.61,53.58,54.07,54.07,349357,0.0,1.0
2024-02-05,53.29,54.83,53.17,54.04,54.04,375926,0.0,1.0
2024-02-02,54.22,55.08,53.88,53.98,53.98,353410,0.0,1.0
2024-02-01,54.66,56.08,53.81,55.03,55.03,420534,0.0,1.0
2024-01-31,62.82,63.5592,53.91,54.43,54.43,776353,0.0,1.0
2024-01-30,58.54,59.945,58.435,58.77,58.77,560325,0.0,1.0
2024-01-29,58.83,59.2,58.64,59.0,59.0,197545,0.0,1.0
2024-01-26,58.03,59.0,58.03,58.58,58.58,189161,0.0,1.0
2024-01-25,57.15,57.59,57.01,57.45,57.45,222874,0.0,1.0
2024-01-24,57.29,57.58,56.47,56.58,56.58,167616,0.0,1.0
2024-01-23,57.37,57.6,56.59,56.59,56.59,256929,0.0,1.0
2024-01-22,56.43,57.48,56.43,56.86,56.86,190213,0.0,1.0
2024-01-19,55.2,55.68,54.55,55.68,55.68,231517,0.0,1.0
2024-01-18,55.03,55.095,53.72,54.72,54.72,208767,0.0,1.0
2024-01-17,54.01,55.07,54.01,54.83,54.83,217613,0.0,1.0
2024-01-16,54.15,55.0,53.845,54.99,54.99,157609,0.0,1.0
2024-01-12,55.95,56.105,54.8,54.85,54.85,193072,0.0,1.0
2024-01-11,54.88,55.35,54.325,55.09,55.09,235046,0.0,1.0
2024-01-10,54.81,55.49,54.81,55.11,55.11,145106,0.0,1.0
2024-01-09,54.9,55.65,54.86,55.42,55.42,212604,0.0,1.0
2024-01-08,55.5,55.95,55.46,55.91,55.91,191292,0.0,1.0
2024-01-05,54.28,55.28,53.68,55.03,55.03,224671,0.0,1.0
2024-01-04,54.22,55.0,54.045,54.66,54.66,219665,0.0,1.0
2024-01-03,54.62,55.15,53.45,54.15,54.15,228381,0.0,1.0
2024-01-02,54.78,55.9,54.42,55.17,55.17,189129,0.0,1.0
2023-12-29,56.2,56.64,55.165,55.36,55.36,285721,0.0,1.0
2023-12-28,56.01,56.455,55.79,56.31,56.31,135779,0.0,1.0
2023-12-27,55.54,56.62,55.04,56.23,56.23,185984,0.0,1.0
2023-12-26,55.16,56.0,54.105,55.93,55.93,145329,0.0,1.0
2023-12-22,55.15,55.53,54.89,55.1,55.1,185625,0.0,1.0
2023-12-21,54.33,55.3401,53.42,55.09,55.09,261910,0.0,1.0
2023-12-20,54.71,55.61,54.05,54.09,54.09,390766,0.0,1.0
2023-12-19,53.62,55.08,53.045,54.77,54.77,417343,0.0,1.0
2023-12-18,54.17,54.17,52.99,53.3,53.3,334186,0.0,1.0
2023-12-15,53.47,54.53,53.02,54.06,54.06,945432,0.0,1.0
2023-12-14,52.89,54.26,52.77,53.4,53.4,424745,0.0,1.0
2023-12-13,49.64,52.43,49.17,51.94,51.94,407867,0.0,1.0
2023-12-12,48.59,50.31,48.5,49.74,49.74,505802,0.0,1.0
2023-12-11,47.34,48.81,47.0,48.74,48.74,309142,0.0,1.0
2023-12-08,46.72,48.13,46.72,47.29,47.29,326878,0.0,1.0
2023-12-07,44.89,47.87,44.465,47.27,47.27,422223,0.0,1.0
2023-12-06,43.51,44.58,43.48,43.86,43.86,232761,0.0,1.0
2023-12-05,44.38,44.4,43.21,43.22,43.22,210627,0.0,1.0
2023-12-04,42.08,45.13,42.08,44.76,44.76,397816,0.0,1.0
2023-12-01,41.02,42.8,41.02,42.67,42.67,208578,0.0,1.0
2023-11-30,41.21,41.7,40.89,41.2,41.2,147311,0.0,1.0
2023-11-29,41.31,41.94,41.0,41.06,41.06,288116,0.0,1.0
2023-11-28,40.62,41.05,40.37,40.91,40.91,254364,0.0,1.0
2023-11-27,40.06,40.655,40.01,40.44,40.44,151325,0.0,1.0
2023-11-24,40.51,40.51,39.92,40.35,40.35,70568,0.0,1.0
2023-11-22,40.67,40.98,40.285,40.51,40.51,139973,0.0,1.0
2023-11-21,40.39,40.8,40.13,40.13,40.13,136409,0.0,1.0
2023-11-20,40.17,41.163,39.87,40.86,40.86,189314,0.0,1.0
2023-11-17,40.1,40.5699,39.59,40.23,40.23,364753,0.0,1.0
2023-11-16,41.64,41.64,38.89,39.5,39.5,590939,0.0,1.0
2023-11-15,41.97,42.38,41.275,41.52,41.52,646810,0.0,1.0
2023-11-14,42.05,42.31,41.575,42.11,42.11,244943,0.0,1.0
2023-11-13,40.1,40.72,39.84,40.51,40.51,148408,0.0,1.0
2023-11-10,40.9,41.03,40.23,40.29,40.29,273061,0.0,1.0
2023-11-09,41.31,41.41,40.43,40.77,40.77,143491,0.0,1.0
2023-11-08,41.22,41.3,40.71,41.11,41.11,184918,0.0,1.0
2023-11-07,42.09,42.1175,41.04,41.06,41.06,268636,0.0,1.0
2023-11-06,42.71,42.82,41.6401,42.45,42.45,180939,0.0,1.0
2023-11-03,43.05,45.0,42.43,42.81,42.81,261616,0.0,1.0
2023-11-02,42.22,42.22,40.98,41.79,41.79,298364,0.0,1.0
2023-11-01,39.47,41.78,39.16,41.49,41.49,393029,0.0,1.0
2023-10-31,39.87,40.62,39.44,39.88,39.88,397191,0.0,1.0
2023-10-30,40.0,41.38,39.4,39.53,39.53,412388,0.0,1.0
2023-10-27,36.85,39.99,36.85,39.83,39.83,653875,0.0,1.0
2023-10-26,36.24,37.47,36.01,36.74,36.74,489837,0.0,1.0
2023-10-25,40.38,40.38,35.3,36.14,36.14,1111103,0.0,1.0
2023-10-24,45.97,46.295,44.15,44.18,44.18,512756,0.0,1.0
2023-10-23,46.05,46.53,45.43,45.71,45.71,226536,0.0,1.0
2023-10-20,48.14,48.56,45.91,46.19,46.19,321575,0.0,1.0
2023-10-19,48.41,48.885,47.595,47.97,47.97,293910,0.0,1.0
2023-10-18,49.55,49.634,48.625,48.68,48.68,125894,0.0,1.0
2023-10-17,49.45,51.18,49.27,50.23,50.23,237557,0.0,1.0
2023-10-16,50.0,50.86,49.72,49.93,49.93,132484,0.0,1.0
2023-10-13,51.55,51.55,49.56,49.7,49.7,150677,0.0,1.0
2023-10-12,51.48,51.52,50.62,51.31,51.31,98301,0.0,1.0
2023-10-11,50.38,51.32,50.38,51.31,51.31,76269,0.0,1.0
2023-10-10,50.52,51.15,50.42,50.44,50.44,119722,0.0,1.0
2023-10-09,49.33,50.495,49.33,50.09,50.09,87952,0.0,1.0
2023-10-06,49.22,50.82,49.22,49.78,49.78,127743,0.0,1.0
2023-10-05,48.3,49.65,48.215,49.52,49.52,188924,0.0,1.0
2023-10-04,49.16,49.16,48.06,48.3,48.3,252891,0.0,1.0
2023-10-03,49.67,50.0,49.08,49.3,49.3,187535,0.0,1.0
2023-10-02,50.81,50.96,49.82,50.14,50.14,411360,0.0,1.0
2023-09-29,51.56,52.15,50.3601,50.87,50.87,305539,0.0,1.0
2023-09-28,50.15,51.62,49.65,51.6,51.6,355743,0.0,1.0
2023-09-27,48.09,50.01,48.09,49.9,49.9,220611,0.0,1.0
2023-09-26,48.0,48.34,47.59,47.66,47.66,121638,0.0,1.0
2023-09-25,47.36,48.6,47.36,48.36,48.36,117620,0.0,1.0
2023-09-22,47.98,48.13,47.43,47.53,47.53,178847,0.0,1.0
2023-09-21,48.31,48.61,47.49,47.9,47.9,200628,0.0,1.0
2023-09-20,49.92,50.35,48.41,48.49,48.49,144530,0.0,1.0
2023-09-19,49.44,49.9,48.82,49.6,49.6,187482,0.0,1.0
2023-09-18,50.05,50.445,49.29,49.34,49.34,223727,0.0,1.0
2023-09-15,49.36,50.21,49.3,49.91,49.91,629745,0.0,1.0
2023-09-14,49.65,50.24,49.43,49.94,49.94,122545,0.0,1.0
2023-09-13,49.92,49.945,49.125,49.25,49.25,135046,0.0,1.0
2023-09-12,49.4,50.27,49.4,49.81,49.81,135139,0.0,1.0
2023-09-11,49.49,50.04,49.49,49.59,49.59,90684,0.0,1.0
2023-09-08,48.54,49.35,48.28,49.21,49.21,128477,0.0,1.0
2023-09-07,49.27,49.435,48.48,48.72,48.72,230800,0.0,1.0
2023-09-06,49.24,49.625,48.58,49.16,49.16,153911,0.0,1.0
2023-09-05,50.23,50.28,48.5,48.85,48.85,269097,0.0,1.0
2023-09-01,50.93,51.85,50.865,50.98,50.98,267813,0.0,1.0
2023-08-31,50.86,51.68,50.38,50.45,50.45,350216,0.0,1.0
2023-08-30,51.21,52.099,50.79,50.88,50.88,138675,0.0,1.0
2023-08-29,50.91,51.5,50.865,51.45,51.45,203896,0.0,1.0
2023-08-28,50.73,51.4423,50.33,51.05,51.05,98571,0.0,1.0
2023-08-25,50.68,51.12,49.94,50.41,50.41,101895,0.0,1.0
2023-08-24,50.62,51.21,50.485,50.58,50.58,178862,0.0,1.0
2023-08-23,49.73,50.92,49.205,50.74,50.74,143533,0.0,1.0
2023-08-22,50.38,50.64,49.74,49.76,49.76,123221,0.0,1.0
2023-08-21,50.03,50.49,49.88,50.38,50.38,115632,0.0,1.0
2023-08-18,49.79,50.64,49.66,50.12,50.12,119066,0.0,1.0
2023-08-17,50.46,50.66,50.03,50.21,50.21,110515,0.0,1.0
2023-08-16,50.8,51.27,50.35,50.35,50.35,97398,0.0,1.0
2023-08-15,51.42,51.42,50.4,50.81,50.81,119977,0.0,1.0
2023-08-14,52.44,52.44,51.54,51.8,51.8,205196,0.0,1.0
2023-08-11,53.08,53.28,52.13,52.76,52.76,209552,0.0,1.0
2023-08-10,54.25,54.95,53.07,53.34,53.34,157261,0.0,1.0
2023-08-09,54.94,54.95,54.01,54.04,54.04,79132,0.0,1.0
2023-08-08,54.97,55.41,54.34,55.16,55.16,111445,0.0,1.0
2023-08-07,55.3,56.48,55.3,55.69,55.69,161025,0.0,1.0
2023-08-04,54.01,55.465,53.56,55.09,55.09,192121,0.0,1.0
2023-08-03,54.39,54.4,53.86,54.03,54.03,127087,0.0,1.0
2023-08-02,54.78,54.87,53.95,54.71,54.71,142392,0.0,1.0
2023-08-01,54.66,55.4,54.32,55.22,55.22,174434,0.0,1.0
2023-07-31,54.8,55.61,54.7473,55.09,55.09,157098,0.0,1.0
2023-07-28,55.35,55.868,54.6,54.74,54.74,167578,0.0,1.0
2023-07-27,56.49,56.51,54.33,54.82,54.82,207339,0.0,1.0
2023-07-26,57.75,58.64,56.07,56.17,56.17,191409,0.0,1.0
2023-07-25,56.96,57.95,56.775,57.19,57.19,227574,0.0,1.0
2023-07-24,55.53,57.72,55.53,56.83,56.83,202628,0.0,1.0
2023-07-21,57.14,57.14,55.575,55.69,55.69,107431,0.0,1.0
2023-07-20,56.84,56.99,56.33,56.74,56.74,93063,0.0,1.0
2023-07-19,57.44,57.77,57.0,57.04,57.04,119550,0.0,1.0
2023-07-18,56.17,57.425,56.17,57.37,57.37,123374,0.0,1.0
2023-07-17,55.02,56.71,55.02,56.39,56.39,155653,0.0,1.0
2023-07-14,55.98,55.98,54.04,55.2,55.2,155843,0.0,1.0
2023-07-13,55.46,55.77,54.735,54.99,54.99,144858,0.0,1.0
2023-07-12,54.03,55.16,53.68,55.16,55.16,140301,0.0,1.0
2023-07-11,53.16,54.68,52.93,53.05,53.05,228797,0.0,1.0
2023-07-10,52.35,52.95,52.32,52.56,52.56,245872,0.0,1.0
2023-07-07,52.26,53.3138,52.26,52.51,52.51,188795,0.0,1.0
2023-07-06,52.41,52.41,51.53,52.24,52.24,318326,0.0,1.0
2023-07-05,53.99,54.0,52.57,52.94,52.94,173836,0.0,1.0
2023-07-03,52.88,54.36,52.88,54.27,54.27,80783,0.0,1.0
2023-06-30,54.1,54.1,53.11,53.12,53.12,120507,0.0,1.0
2023-06-29,52.42,53.89,52.42,53.89,53.89,127338,0.0,1.0
2023-06-28,51.58,52.04,51.04,52.04,52.04,173404,0.0,1.0
2023-06-27,51.05,52.2,50.78,51.58,51.58,210219,0.0,1.0
2023-06-26,51.92,52.8,51.08,51.15,51.15,131510,0.0,1.0
2023-06-23,51.61,52.58,51.61,51.93,51.93,293314,0.0,1.0
2023-06-22,52.71,52.71,51.86,52.52,52.52,132130,0.0,1.0
2023-06-21,52.01,53.05,51.54,52.71,52.71,102322,0.0,1.0
2023-06-20,51.93,52.39,51.685,52.33,52.33,181029,0.0,1.0
2023-06-16,52.77,52.77,51.49,52.17,52.17,443767,0.0,1.0
2023-06-15,51.12,52.31,50.82,52.26,52.26,134157,0.0,1.0
2023-06-14,52.52,53.1,50.75,51.55,51.55,182491,0.0,1.0
2023-06-13,51.44,52.77,51.44,52.49,52.49,144888,0.0,1.0
2023-06-12,51.29,51.75,50.78,51.46,51.46,148505,0.0,1.0
2023-06-09,51.88,51.9,51.33,51.48,51.48,104620,0.0,1.0
2023-06-08,51.4,52.59,51.27,51.98,51.98,142392,0.0,1.0
2023-06-07,50.8,52.45,50.8,52.11,52.11,169357,0.0,1.0
2023-06-06,47.93,50.94,47.93,50.74,50.74,190574,0.0,1.0
2023-06-05,48.33,48.42,46.74,48.29,48.29,111530,0.0,1.0
2023-06-02,47.19,48.82,47.14,48.81,48.81,157479,0.0,1.0
2023-06-01,46.67,47.1,46.255,46.71,46.71,138368,0.0,1.0
2023-05-31,46.74,47.5,45.89,46.52,46.52,205286,0.0,1.0
2023-05-30,47.06,47.875,46.6,47.11,47.11,93049,0.0,1.0
2023-05-26,46.4,47.03,46.2,46.79,46.79,83634,0.0,1.0
2023-05-25,45.45,46.38,45.3,46.38,46.38,106575,0.0,1.0
2023-05-24,46.09,46.09,45.0,45.81,45.81,136244,0.0,1.0
2023-05-23,45.5,46.93,45.5,46.65,46.65,142479,0.0,1.0
2023-05-22,46.23,46.23,45.53,45.75,45.75,117761,0.0,1.0
2023-05-19,46.75,46.99,45.26,45.97,45.97,144645,0.0,1.0
2023-05-18,44.9,46.72,44.6,46.32,46.32,171027,0.0,1.0
2023-05-17,43.74,45.13,43.5,45.04,45.04,133551,0.0,1.0
2023-05-16,42.97,43.5,42.83,43.25,43.25,121505,0.0,1.0
2023-05-15,42.38,43.39,42.17,43.2,43.2,145916,0.0,1.0
2023-05-12,42.89,42.89,42.15,42.36,42.36,110056,0.0,1.0
2023-05-11,41.91,42.68,41.77,42.59,42.59,133916,0.0,1.0
2023-05-10,43.28,43.28,42.01,42.58,42.58,172903,0.0,1.0
2023-05-09,42.64,43.13,42.17,42.63,42.63,122368,0.0,1.0
2023-05-08,43.49,44.14,42.82,42.91,42.91,168419,0.0,1.0
2023-05-05,43.23,43.79,42.81,43.31,43.31,176904,0.0,1.0
2023-05-04,42.41,42.79,41.78,42.16,42.16,200771,0.0,1.0
2023-05-03,43.68,44.61,42.858,42.94,42.94,263006,0.0,1.0
2023-05-02,44.35,44.782,42.55,43.47,43.47,244461,0.0,1.0
2023-05-01,43.86,45.1,43.755,44.67,44.67,247792,0.0,1.0
2023-04-28,43.07,44.75,43.07,43.92,43.92,243170,0.0,1.0
