,MSTR_Open,MSTR_High,MSTR_Low,MSTR_Close,MSTR_Adj Close,MSTR_Volume,MSTR_Dividend Amount,MSTR_Split Coefficient
2018-08-06,134.47,137.5,134.2,137.17,13.717,162202,0.0,1.0
2018-08-03,136.65,137.49,132.48,134.89,13.489,61522,0.0,1.0
2018-08-02,131.42,136.69,131.18,136.55,13.655,225153,0.0,1.0
2018-08-01,130.35,133.13,130.35,132.31,13.231,72463,0.0,1.0
2018-07-31,128.12,130.31,126.37,130.15,13.015,94638,0.0,1.0
2018-07-30,129.29,130.75,126.32,127.93,12.793,91656,0.0,1.0
2018-07-27,138.5,138.5,128.48,129.16,12.916,126839,0.0,1.0
2018-07-26,135.04,137.4,133.82,137.38,13.738,75459,0.0,1.0
2018-07-25,133.39,136.32,133.18,135.27,13.527,51896,0.0,1.0
2018-07-24,135.05,135.16,131.7,133.32,13.332,144522,0.0,1.0
2018-07-23,135.09,135.14,133.21,134.2,13.42,38208,0.0,1.0
2018-07-20,137.25,137.61,135.22,135.29,13.529,36460,0.0,1.0
2018-07-19,135.37,137.81,135.37,137.54,13.754,47630,0.0,1.0
2018-07-18,135.09,136.06,134.67,135.83,13.583,45270,0.0,1.0
2018-07-17,134.19,135.19,133.96,134.88,13.488,34877,0.0,1.0
2018-07-16,136.01,136.16,134.12,135.3,13.53,36015,0.0,1.0
2018-07-13,136.33,137.22,135.6,135.83,13.583,34783,0.0,1.0
2018-07-12,135.24,136.91,134.7,136.31,13.631,60436,0.0,1.0
2018-07-11,133.53,135.07,133.1,134.26,13.426,49320,0.0,1.0
2018-07-10,135.5,136.01,134.63,134.92,13.492,58645,0.0,1.0
2018-07-09,134.54,136.12,134.1,135.12,13.512,49228,0.0,1.0
2018-07-06,133.78,135.86,133.43,134.88,13.488,48146,0.0,1.0
2018-07-05,131.94,134.16,131.56,134.05,13.405,65774,0.0,1.0
2018-07-03,130.29,132.06,129.89,131.76,13.176,39461,0.0,1.0
2018-07-02,127.0,129.68,126.0,129.63,12.963,110950,0.0,1.0
2018-06-29,127.73,128.93,127.27,127.75,12.775,85399,0.0,1.0
2018-06-28,124.85,127.59,124.0,127.3,12.73,67808,0.0,1.0
2018-06-27,129.83,129.99,124.96,125.06,12.506,62894,0.0,1.0
2018-06-26,128.69,130.04,128.36,129.61,12.961,54365,0.0,1.0
2018-06-25,130.69,132.42,127.46,128.76,12.876,66145,0.0,1.0
2018-06-22,133.14,133.14,130.98,131.15,13.115,239180,0.0,1.0
2018-06-21,135.15,135.5,129.36,132.46,13.246,44892,0.0,1.0
2018-06-20,135.51,136.99,134.62,135.0,13.5,57892,0.0,1.0
2018-06-19,134.89,136.03,133.43,135.5,13.55,61724,0.0,1.0
2018-06-18,134.28,136.47,133.51,135.78,13.578,70551,0.0,1.0
2018-06-15,132.72,135.29,132.72,134.74,13.474,100551,0.0,1.0
2018-06-14,132.42,133.46,131.59,133.16,13.316,49689,0.0,1.0
2018-06-13,132.51,133.84,131.26,132.72,13.272,73567,0.0,1.0
2018-06-12,131.37,132.72,130.04,132.52,13.252,35197,0.0,1.0
2018-06-11,130.15,131.41,129.07,131.09,13.109,40826,0.0,1.0
2018-06-08,129.87,131.75,129.76,129.96,12.996,34979,0.0,1.0
2018-06-07,131.41,131.81,129.25,129.9,12.99,54892,0.0,1.0
2018-06-06,131.86,133.67,131.21,131.78,13.178,55080,0.0,1.0
2018-06-05,131.46,132.86,130.82,131.31,13.131,49355,0.0,1.0
2018-06-04,131.08,131.54,129.28,131.12,13.112,59544,0.0,1.0
2018-06-01,130.05,131.2,128.98,130.42,13.042,70374,0.0,1.0
2018-05-31,132.24,135.29,129.12,129.57,12.957,76504,0.0,1.0
2018-05-30,129.81,133.86,129.81,132.24,13.224,68037,0.0,1.0
2018-05-29,130.32,131.36,129.0,129.27,12.927,64756,0.0,1.0
2018-05-25,131.04,132.05,129.84,130.72,13.072,50226,0.0,1.0
2018-05-24,130.13,131.13,128.72,130.95,13.095,85200,0.0,1.0
2018-05-23,129.26,130.59,128.74,130.1,13.01,55221,0.0,1.0
2018-05-22,130.54,131.32,128.45,129.75,12.975,72814,0.0,1.0
2018-05-21,130.88,131.92,129.01,130.18,13.018,87941,0.0,1.0
2018-05-18,129.89,131.5,129.75,130.8,13.08,94221,0.0,1.0
2018-05-17,128.58,129.76,128.27,129.48,12.948,80010,0.0,1.0
2018-05-16,127.28,129.67,127.28,128.81,12.881,75353,0.0,1.0
2018-05-15,126.49,129.03,126.49,127.46,12.746,117749,0.0,1.0
2018-05-14,129.58,129.58,126.61,127.13,12.713,68640,0.0,1.0
