,OLLI_Open,OLLI_High,OLLI_Low,OLLI_Close,OLLI_Adj Close,OLLI_Volume,OLLI_Dividend Amount,OLLI_Split Coefficient
2024-03-01,79.67,80.16,78.46,78.96,78.96,607971,0.0,1.0
2024-02-29,80.04,80.895,79.17,80.17,80.17,658802,0.0,1.0
2024-02-28,80.78,81.43,79.35,79.43,79.43,656811,0.0,1.0
2024-02-27,81.25,82.04,80.58,81.16,81.16,609910,0.0,1.0
2024-02-26,82.5,84.38,81.12,81.18,81.18,561438,0.0,1.0
2024-02-23,80.72,83.4391,80.72,82.66,82.66,1023622,0.0,1.0
2024-02-22,80.04,81.18,79.545,80.88,80.88,711199,0.0,1.0
2024-02-21,79.59,81.06,78.58,79.68,79.68,687684,0.0,1.0
2024-02-20,78.23,81.6148,78.04,79.83,79.83,1203175,0.0,1.0
2024-02-16,76.34,78.0,75.28,77.82,77.82,622236,0.0,1.0
2024-02-15,78.08,78.08,76.42,76.62,76.62,567224,0.0,1.0
2024-02-14,79.09,79.47,76.53,77.98,77.98,777885,0.0,1.0
2024-02-13,77.49,78.65,76.345,78.54,78.54,1005294,0.0,1.0
2024-02-12,76.5,78.85,76.31,78.84,78.84,1100180,0.0,1.0
2024-02-09,75.54,76.55,75.11,76.51,76.51,387628,0.0,1.0
2024-02-08,74.19,77.48,73.815,75.62,75.62,604018,0.0,1.0
2024-02-07,75.52,75.52,73.33,73.97,73.97,679217,0.0,1.0
2024-02-06,73.15,75.11,72.72,75.01,75.01,511126,0.0,1.0
2024-02-05,74.33,75.07,73.14,73.15,73.15,532511,0.0,1.0
2024-02-02,73.61,75.95,72.92,75.07,75.07,559058,0.0,1.0
2024-02-01,71.95,74.41,71.42,74.4,74.4,618949,0.0,1.0
2024-01-31,73.34,73.65,71.74,71.93,71.93,616522,0.0,1.0
2024-01-30,72.27,73.42,72.12,73.2,73.2,856559,0.0,1.0
2024-01-29,72.73,73.92,72.155,72.84,72.84,610388,0.0,1.0
2024-01-26,72.4,73.36,72.1,72.58,72.58,432998,0.0,1.0
2024-01-25,71.54,72.75,71.54,72.05,72.05,687979,0.0,1.0
2024-01-24,74.19,74.21,71.19,71.24,71.24,1184050,0.0,1.0
2024-01-23,74.58,74.665,73.19,74.0,74.0,762815,0.0,1.0
2024-01-22,74.8,75.12,72.42,74.11,74.11,1002462,0.0,1.0
2024-01-19,74.31,75.71,72.55,74.77,74.77,872048,0.0,1.0
2024-01-18,74.47,74.71,73.26,73.98,73.98,779792,0.0,1.0
2024-01-17,74.34,75.2999,73.3,74.41,74.41,990422,0.0,1.0
2024-01-16,72.2,74.51,71.945,74.45,74.45,710872,0.0,1.0
2024-01-12,71.85,72.61,71.1,71.7,71.7,669266,0.0,1.0
2024-01-11,70.96,71.67,70.02,71.56,71.56,526315,0.0,1.0
2024-01-10,70.7,71.44,70.395,71.07,71.07,1000967,0.0,1.0
2024-01-09,70.23,71.405,70.06,70.79,70.79,625059,0.0,1.0
2024-01-08,70.18,71.31,69.11,70.73,70.73,603867,0.0,1.0
2024-01-05,70.87,71.64,69.6,70.17,70.17,710716,0.0,1.0
2024-01-04,69.85,71.155,69.6,70.78,70.78,1050434,0.0,1.0
2024-01-03,75.51,75.64,69.75,69.76,69.76,1370187,0.0,1.0
2024-01-02,75.32,76.51,74.47,75.13,75.13,1084905,0.0,1.0
2023-12-29,75.94,76.58,75.12,75.89,75.89,1096889,0.0,1.0
2023-12-28,75.03,76.69,74.89,76.17,76.17,753227,0.0,1.0
2023-12-27,74.18,75.16,73.9638,75.08,75.08,709497,0.0,1.0
2023-12-26,72.0,74.28,71.72,74.12,74.12,803745,0.0,1.0
2023-12-22,70.19,72.055,69.56,71.72,71.72,587767,0.0,1.0
2023-12-21,71.29,71.84,70.07,70.85,70.85,1318166,0.0,1.0
2023-12-20,70.36,72.43,70.01,71.14,71.14,950705,0.0,1.0
2023-12-19,71.41,72.47,70.75,70.98,70.98,649769,0.0,1.0
2023-12-18,69.01,71.505,69.01,70.92,70.92,1036159,0.0,1.0
2023-12-15,71.88,72.225,68.565,68.78,68.78,2224424,0.0,1.0
2023-12-14,75.02,76.02,71.5,71.55,71.55,1628260,0.0,1.0
2023-12-13,73.23,75.24,72.93,75.18,75.18,887565,0.0,1.0
2023-12-12,73.07,74.065,72.29,72.82,72.82,903781,0.0,1.0
2023-12-11,72.36,73.34,71.9,73.32,73.32,758547,0.0,1.0
2023-12-08,72.69,73.835,71.35,72.2,72.2,1172100,0.0,1.0
2023-12-07,76.45,77.13,71.07,73.08,73.08,2243641,0.0,1.0
2023-12-06,78.5,81.39,76.12,76.36,76.36,2920542,0.0,1.0
2023-12-05,75.54,77.36,74.34,76.25,76.25,1583716,0.0,1.0
2023-12-04,74.36,77.35,74.07,76.28,76.28,1375488,0.0,1.0
2023-12-01,73.17,74.82,71.6,74.77,74.77,1102848,0.0,1.0
2023-11-30,75.68,75.995,72.93,73.27,73.27,1152293,0.0,1.0
2023-11-29,76.73,77.61,75.345,75.52,75.52,884007,0.0,1.0
2023-11-28,77.22,77.45,76.18,76.52,76.52,767837,0.0,1.0
2023-11-27,77.46,77.55,75.3,76.54,76.54,1106215,0.0,1.0
2023-11-24,77.34,77.755,76.62,77.28,77.28,290420,0.0,1.0
2023-11-22,77.53,78.33,76.95,78.21,78.21,609391,0.0,1.0
2023-11-21,77.24,78.34,76.15,77.09,77.09,857901,0.0,1.0
2023-11-20,77.55,77.8,76.46,77.54,77.54,543734,0.0,1.0
2023-11-17,78.37,78.915,76.85,77.19,77.19,730681,0.0,1.0
2023-11-16,80.07,80.13,76.995,77.62,77.62,1012927,0.0,1.0
2023-11-15,82.13,83.1857,80.29,80.55,80.55,1061860,0.0,1.0
2023-11-14,80.62,81.91,80.01,81.63,81.63,859517,0.0,1.0
2023-11-13,78.46,82.0,78.4,79.2,79.2,1239335,0.0,1.0
2023-11-10,78.05,78.68,76.4,78.66,78.66,785387,0.0,1.0
2023-11-09,79.25,79.25,77.305,77.86,77.86,846176,0.0,1.0
2023-11-08,80.02,80.27,78.7,79.28,79.28,651517,0.0,1.0
2023-11-07,80.78,81.55,80.01,80.09,80.09,816028,0.0,1.0
2023-11-06,79.75,80.579,79.26,80.22,80.22,1012862,0.0,1.0
2023-11-03,79.14,81.24,79.04,79.75,79.75,881924,0.0,1.0
2023-11-02,78.38,79.245,77.86,78.5,78.5,689262,0.0,1.0
2023-11-01,77.4,78.59,76.33,78.03,78.03,612841,0.0,1.0
2023-10-31,77.0,77.96,75.9301,77.24,77.24,578067,0.0,1.0
2023-10-30,75.58,77.71,75.45,77.16,77.16,897746,0.0,1.0
2023-10-27,75.53,76.73,74.95,75.43,75.43,702168,0.0,1.0
2023-10-26,74.58,76.17,74.45,75.34,75.34,835366,0.0,1.0
2023-10-25,74.59,76.21,74.05,74.83,74.83,581152,0.0,1.0
2023-10-24,74.95,75.76,73.86,74.72,74.72,689417,0.0,1.0
2023-10-23,73.95,75.26,73.595,74.51,74.51,802260,0.0,1.0
2023-10-20,72.59,75.75,72.38,74.83,74.83,1344097,0.0,1.0
2023-10-19,72.16,73.45,71.665,72.52,72.52,778673,0.0,1.0
2023-10-18,72.93,73.57,71.97,72.09,72.09,816188,0.0,1.0
2023-10-17,72.57,75.3,72.22,72.9,72.9,1366564,0.0,1.0
2023-10-16,74.17,75.33,70.82,71.43,71.43,1702150,0.0,1.0
2023-10-13,74.48,74.55,72.725,73.84,73.84,655888,0.0,1.0
2023-10-12,72.96,74.28,71.88,74.13,74.13,1109409,0.0,1.0
2023-10-11,74.3,74.58,72.325,72.8,72.8,1017431,0.0,1.0
2023-10-10,73.72,75.48,73.08,74.08,74.08,1046883,0.0,1.0
2023-10-09,74.68,74.83,72.76,73.49,73.49,1095226,0.0,1.0
2023-10-06,72.16,75.07,72.06,74.6,74.6,744551,0.0,1.0
2023-10-05,75.01,75.01,71.2101,72.72,72.72,1384814,0.0,1.0
2023-10-04,75.29,75.97,74.63,75.4,75.4,704804,0.0,1.0
2023-10-03,77.14,77.82,75.07,75.28,75.28,719930,0.0,1.0
2023-10-02,77.85,79.54,77.49,77.86,77.86,1048906,0.0,1.0
2023-09-29,76.76,77.97,76.31,77.18,77.18,995390,0.0,1.0
2023-09-28,74.63,76.73,73.57,76.21,76.21,951114,0.0,1.0
2023-09-27,75.4,75.81,74.6,74.85,74.85,1131654,0.0,1.0
2023-09-26,77.02,77.02,75.29,75.4,75.4,691358,0.0,1.0
2023-09-25,75.59,77.57,75.575,77.12,77.12,734270,0.0,1.0
2023-09-22,74.89,76.07,74.57,75.79,75.79,961157,0.0,1.0
2023-09-21,76.19,76.885,74.165,74.5,74.5,925146,0.0,1.0
2023-09-20,75.5,78.41,75.5,76.91,76.91,961741,0.0,1.0
2023-09-19,77.02,77.02,75.34,75.4,75.4,1045416,0.0,1.0
2023-09-18,77.7,77.76,76.43,77.22,77.22,603986,0.0,1.0
2023-09-15,77.82,78.52,76.48,77.97,77.97,1354324,0.0,1.0
2023-09-14,78.66,79.1,77.1,78.22,78.22,673219,0.0,1.0
2023-09-13,78.46,79.36,77.91,78.52,78.52,977394,0.0,1.0
2023-09-12,78.22,79.44,77.73,78.04,78.04,764052,0.0,1.0
2023-09-11,77.01,78.91,77.01,78.2,78.2,912320,0.0,1.0
2023-09-08,74.27,77.04,74.16,76.815,76.815,732460,0.0,1.0
2023-09-07,73.37,74.86,73.37,74.23,74.23,623468,0.0,1.0
2023-09-06,74.34,75.32,72.98,73.82,73.82,786506,0.0,1.0
2023-09-05,73.95,75.705,73.01,74.48,74.48,1101659,0.0,1.0
2023-09-01,77.56,78.08,73.08,73.96,73.96,1873400,0.0,1.0
2023-08-31,76.0,80.94,75.55,77.08,77.08,3157604,0.0,1.0
2023-08-30,74.31,76.755,74.25,74.88,74.88,1895195,0.0,1.0
2023-08-29,74.26,74.84,73.27,74.7,74.7,1288850,0.0,1.0
2023-08-28,71.32,74.61,71.14,74.55,74.55,1343559,0.0,1.0
2023-08-25,71.43,71.8293,70.17,71.02,71.02,1242513,0.0,1.0
2023-08-24,73.26,73.275,70.77,70.89,70.89,985050,0.0,1.0
2023-08-23,72.9,73.98,72.3,73.78,73.78,681735,0.0,1.0
2023-08-22,72.98,73.45,71.51,72.88,72.88,970780,0.0,1.0
2023-08-21,73.32,74.13,72.99,73.31,73.31,679546,0.0,1.0
2023-08-18,72.5,74.26,71.56,73.4,73.4,690751,0.0,1.0
2023-08-17,74.01,75.24,72.98,73.02,73.02,793466,0.0,1.0
2023-08-16,76.42,76.985,74.14,74.16,74.16,998757,0.0,1.0
2023-08-15,76.0,77.58,74.62,76.26,76.26,2057684,0.0,1.0
2023-08-14,73.32,75.96,72.57,74.55,74.55,1627134,0.0,1.0
2023-08-11,72.58,74.06,72.29,73.26,73.26,464474,0.0,1.0
2023-08-10,73.64,74.21,72.58,72.65,72.65,481231,0.0,1.0
2023-08-09,71.94,73.69,71.433,73.19,73.19,566429,0.0,1.0
2023-08-08,72.25,72.33,71.54,71.8,71.8,359982,0.0,1.0
2023-08-07,73.04,73.27,71.785,72.49,72.49,401925,0.0,1.0
2023-08-04,71.38,73.07,70.98,72.94,72.94,579760,0.0,1.0
2023-08-03,71.55,72.1848,71.02,71.39,71.39,487082,0.0,1.0
2023-08-02,71.68,72.585,70.98,71.58,71.58,584773,0.0,1.0
2023-08-01,72.34,72.94,71.115,71.98,71.98,566547,0.0,1.0
2023-07-31,71.61,72.935,71.37,72.88,72.88,830831,0.0,1.0
2023-07-28,73.0,73.46,71.09,71.68,71.68,787102,0.0,1.0
2023-07-27,73.23,73.71,72.23,72.61,72.61,619795,0.0,1.0
2023-07-26,71.88,73.31,71.285,73.19,73.19,866817,0.0,1.0
2023-07-25,71.95,72.31,70.84,71.93,71.93,694828,0.0,1.0
2023-07-24,72.17,72.57,71.4,71.98,71.98,686595,0.0,1.0
2023-07-21,72.21,72.71,71.58,72.4,72.4,536840,0.0,1.0
2023-07-20,72.66,73.025,71.29,71.58,71.58,712105,0.0,1.0
2023-07-19,71.93,73.13,71.6168,72.61,72.61,893217,0.0,1.0
2023-07-18,71.15,71.97,70.22,71.22,71.22,832768,0.0,1.0
2023-07-17,68.72,71.61,68.42,70.8,70.8,1073522,0.0,1.0
2023-07-14,70.11,70.26,68.34,69.0,69.0,831960,0.0,1.0
2023-07-13,69.12,70.43,68.27,70.18,70.18,1046197,0.0,1.0
2023-07-12,68.48,69.41,67.705,69.06,69.06,964050,0.0,1.0
2023-07-11,66.96,68.14,66.59,68.09,68.09,1031456,0.0,1.0
2023-07-10,64.27,67.2319,64.1,66.95,66.95,1372716,0.0,1.0
2023-07-07,63.09,64.975,62.88,64.26,64.26,1616142,0.0,1.0
2023-07-06,62.07,63.265,61.6,62.74,62.74,1086961,0.0,1.0
2023-07-05,60.3,62.6,60.255,62.52,62.52,1256663,0.0,1.0
2023-07-03,58.26,60.43,57.96,60.37,60.37,869552,0.0,1.0
2023-06-30,57.78,58.42,57.31,57.93,57.93,775490,0.0,1.0
2023-06-29,58.34,58.37,57.44,57.75,57.75,836392,0.0,1.0
2023-06-28,59.69,59.81,57.87,58.22,58.22,961826,0.0,1.0
2023-06-27,60.29,61.4,59.7301,59.92,59.92,850537,0.0,1.0
2023-06-26,59.41,61.15,59.41,60.16,60.16,1265859,0.0,1.0
2023-06-23,59.23,60.545,59.1078,59.32,59.32,1211010,0.0,1.0
2023-06-22,59.43,60.99,58.51,59.31,59.31,941899,0.0,1.0
2023-06-21,58.32,60.16,57.88,59.43,59.43,1002649,0.0,1.0
2023-06-20,59.12,59.37,57.48,58.5,58.5,1250307,0.0,1.0
2023-06-16,61.5,61.54,59.55,59.69,59.69,1123623,0.0,1.0
2023-06-15,61.53,61.736,60.32,61.24,61.24,888557,0.0,1.0
2023-06-14,62.39,63.07,61.055,61.33,61.33,978680,0.0,1.0
2023-06-13,64.0,64.16,61.82,62.13,62.13,996896,0.0,1.0
2023-06-12,62.0,64.28,61.84,63.95,63.95,1221425,0.0,1.0
2023-06-09,60.63,62.18,60.5,61.96,61.96,1040872,0.0,1.0
2023-06-08,61.81,62.475,60.34,60.44,60.44,1268776,0.0,1.0
2023-06-07,61.5,63.77,58.93,61.06,61.06,2940906,0.0,1.0
2023-06-06,59.48,62.1699,59.42,62.01,62.01,2448286,0.0,1.0
2023-06-05,57.21,59.68,56.65,59.33,59.33,1818435,0.0,1.0
2023-06-02,53.87,57.86,53.61,57.69,57.69,1848872,0.0,1.0
2023-06-01,54.75,55.7,52.93,53.35,53.35,2326993,0.0,1.0
2023-05-31,54.51,55.82,53.32,55.12,55.12,1651356,0.0,1.0
2023-05-30,54.51,55.16,53.5,55.01,55.01,1278083,0.0,1.0
2023-05-26,56.27,56.61,54.42,54.57,54.57,1386396,0.0,1.0
2023-05-25,60.35,61.03,56.57,56.78,56.78,1928778,0.0,1.0
2023-05-24,61.98,62.29,60.305,60.77,60.77,622805,0.0,1.0
2023-05-23,62.17,63.04,60.76,61.57,61.57,824336,0.0,1.0
2023-05-22,63.91,64.19,62.19,62.63,62.63,827055,0.0,1.0
2023-05-19,66.05,66.05,62.54,63.35,63.35,1507650,0.0,1.0
2023-05-18,66.83,67.25,65.2,66.29,66.29,855988,0.0,1.0
2023-05-17,66.27,67.22,65.49,67.16,67.16,736130,0.0,1.0
2023-05-16,65.12,66.14,64.34,65.75,65.75,583133,0.0,1.0
2023-05-15,67.09,67.41,65.155,65.78,65.78,855523,0.0,1.0
2023-05-12,66.07,66.99,65.78,66.96,66.96,575044,0.0,1.0
2023-05-11,66.27,66.63,65.97,66.13,66.13,551239,0.0,1.0
2023-05-10,66.51,67.23,65.77,66.45,66.45,672788,0.0,1.0
2023-05-09,67.03,67.11,65.85,65.97,65.97,685693,0.0,1.0
2023-05-08,67.02,67.62,66.64,67.6,67.6,515354,0.0,1.0
2023-05-05,66.99,68.16,66.37,67.01,67.01,736427,0.0,1.0
2023-05-04,67.05,67.34,65.86,66.52,66.52,418505,0.0,1.0
