,POST_Open,POST_High,POST_Low,POST_Close,POST_Adj Close,POST_Volume,POST_Dividend Amount,POST_Split Coefficient
2024-05-30,103.44,103.8639,102.69,103.16,103.16,390193,0.0,1.0
2024-05-29,104.58,104.96,103.45,103.72,103.72,422436,0.0,1.0
2024-05-28,106.03,106.4,104.17,105.14,105.14,447568,0.0,1.0
2024-05-24,105.97,106.58,105.635,106.43,106.43,326468,0.0,1.0
2024-05-23,104.56,106.26,104.25,105.57,105.57,460427,0.0,1.0
2024-05-22,105.33,105.595,104.2347,104.96,104.96,524859,0.0,1.0
2024-05-21,104.91,105.77,104.365,105.61,105.61,490933,0.0,1.0
2024-05-20,106.21,106.69,104.86,104.89,104.89,392524,0.0,1.0
2024-05-17,106.53,106.96,105.8,106.22,106.22,352474,0.0,1.0
2024-05-16,105.61,106.66,105.3175,106.38,106.38,403752,0.0,1.0
2024-05-15,106.55,106.7,105.29,105.31,105.31,409584,0.0,1.0
2024-05-14,106.72,107.26,105.795,106.14,106.14,337258,0.0,1.0
2024-05-13,106.92,107.82,106.23,106.78,106.78,433498,0.0,1.0
2024-05-10,105.81,106.98,105.47,106.81,106.81,362704,0.0,1.0
2024-05-09,105.68,106.37,104.03,105.67,105.67,569760,0.0,1.0
2024-05-08,105.7,106.59,105.66,105.78,105.78,490716,0.0,1.0
2024-05-07,105.58,106.1,104.56,105.43,105.43,509196,0.0,1.0
2024-05-06,103.22,105.58,102.52,105.38,105.38,817360,0.0,1.0
2024-05-03,107.18,108.17,102.5,102.66,102.66,911395,0.0,1.0
2024-05-02,105.24,105.825,104.6,104.9,104.9,1237154,0.0,1.0
2024-05-01,105.76,106.09,104.56,104.82,104.82,940765,0.0,1.0
2024-04-30,106.84,107.065,105.98,106.15,106.15,600505,0.0,1.0
2024-04-29,105.26,107.25,105.26,107.17,107.17,652700,0.0,1.0
2024-04-26,105.52,106.3,105.225,105.38,105.38,461619,0.0,1.0
2024-04-25,106.19,106.23,105.16,105.89,105.89,413786,0.0,1.0
2024-04-24,104.69,106.26,104.37,106.14,106.14,344237,0.0,1.0
2024-04-23,104.72,105.31,104.195,105.2,105.2,328353,0.0,1.0
2024-04-22,104.5,105.29,103.91,104.63,104.63,474296,0.0,1.0
2024-04-19,102.92,104.54,102.92,104.0,104.0,691266,0.0,1.0
2024-04-18,101.87,102.985,101.8,102.92,102.92,346283,0.0,1.0
2024-04-17,102.72,103.27,100.99,101.39,101.39,427933,0.0,1.0
2024-04-16,101.25,102.28,101.015,102.11,102.11,510481,0.0,1.0
2024-04-15,100.44,101.18,100.15,101.02,101.02,378931,0.0,1.0
2024-04-12,99.99,100.51,99.62,99.95,99.95,411569,0.0,1.0
2024-04-11,101.64,101.99,100.1,100.3,100.3,343207,0.0,1.0
2024-04-10,101.46,101.81,100.95,101.34,101.34,309830,0.0,1.0
2024-04-09,101.94,102.21,101.43,102.17,102.17,271155,0.0,1.0
2024-04-08,102.0,102.68,101.63,101.98,101.98,282505,0.0,1.0
2024-04-05,101.3,102.5,101.03,102.0,102.0,447157,0.0,1.0
2024-04-04,104.42,104.42,101.48,101.5,101.5,557403,0.0,1.0
2024-04-03,104.61,105.02,103.71,103.99,103.99,406173,0.0,1.0
2024-04-02,105.36,105.63,104.53,104.72,104.72,509283,0.0,1.0
2024-04-01,105.83,106.525,105.12,105.44,105.44,444543,0.0,1.0
2024-03-28,107.23,107.67,106.13,106.28,106.28,388844,0.0,1.0
2024-03-27,106.0,107.015,106.0,106.87,106.87,284158,0.0,1.0
2024-03-26,105.91,106.95,105.385,105.71,105.71,557063,0.0,1.0
2024-03-25,105.75,106.12,105.13,106.09,106.09,391541,0.0,1.0
2024-03-22,105.76,105.995,105.47,105.6,105.6,317305,0.0,1.0
2024-03-21,105.1,106.59,105.085,105.63,105.63,588510,0.0,1.0
2024-03-20,106.24,106.76,105.05,105.12,105.12,428532,0.0,1.0
2024-03-19,104.77,106.09,104.55,105.97,105.97,484589,0.0,1.0
2024-03-18,103.56,105.27,103.465,104.39,104.39,515764,0.0,1.0
2024-03-15,103.21,104.21,102.585,103.47,103.47,563749,0.0,1.0
2024-03-14,104.18,104.26,103.055,103.81,103.81,340726,0.0,1.0
2024-03-13,104.48,104.93,104.04,104.13,104.13,313434,0.0,1.0
2024-03-12,103.02,104.34,102.66,103.84,103.84,439738,0.0,1.0
2024-03-11,102.77,103.65,102.77,103.01,103.01,312350,0.0,1.0
2024-03-08,102.87,103.6,102.51,102.96,102.96,360445,0.0,1.0
2024-03-07,104.32,104.4,102.77,102.91,102.91,320278,0.0,1.0
2024-03-06,103.79,104.36,103.32,104.0,104.0,360653,0.0,1.0
2024-03-05,104.1,104.1,102.95,103.25,103.25,349720,0.0,1.0
2024-03-04,104.24,104.5931,103.571,103.76,103.76,322447,0.0,1.0
2024-03-01,104.25,104.46,103.165,104.29,104.29,820214,0.0,1.0
2024-02-29,105.4,105.5392,104.0,104.16,104.16,682328,0.0,1.0
2024-02-28,103.17,105.12,102.97,105.05,105.05,545409,0.0,1.0
2024-02-27,104.46,104.77,102.75,103.23,103.23,372633,0.0,1.0
2024-02-26,105.8,106.11,104.43,104.47,104.47,335728,0.0,1.0
2024-02-23,105.24,105.96,104.73,105.88,105.88,330584,0.0,1.0
2024-02-22,104.72,105.615,104.15,105.4,105.4,401074,0.0,1.0
2024-02-21,105.96,106.24,104.615,105.23,105.23,372620,0.0,1.0
2024-02-20,105.44,107.0,105.385,105.75,105.75,526578,0.0,1.0
2024-02-16,104.93,105.54,104.09,105.39,105.39,767286,0.0,1.0
2024-02-15,104.17,105.81,104.17,105.54,105.54,487657,0.0,1.0
2024-02-14,104.05,104.36,103.24,103.78,103.78,663782,0.0,1.0
2024-02-13,104.13,105.0003,103.83,104.38,104.38,565562,0.0,1.0
2024-02-12,104.75,105.075,104.0,104.53,104.53,551781,0.0,1.0
2024-02-09,106.5,106.7499,104.58,104.77,104.77,723722,0.0,1.0
2024-02-08,104.06,106.62,103.95,106.47,106.47,870589,0.0,1.0
2024-02-07,104.76,104.76,103.57,104.3,104.3,593243,0.0,1.0
2024-02-06,103.86,105.21,103.01,104.26,104.26,1180789,0.0,1.0
2024-02-05,100.94,104.2,99.74,103.73,103.73,1586350,0.0,1.0
2024-02-02,99.11,101.95,97.32,101.01,101.01,1993981,0.0,1.0
2024-02-01,93.01,94.16,92.54,93.82,93.82,1116368,0.0,1.0
2024-01-31,94.51,94.799,92.77,92.87,92.87,1276468,0.0,1.0
2024-01-30,93.2,94.919,93.2,94.64,94.64,1187937,0.0,1.0
2024-01-29,93.29,93.77,92.7,93.2,93.2,759282,0.0,1.0
2024-01-26,92.8,93.655,92.71,92.79,92.79,875881,0.0,1.0
2024-01-25,92.0,92.72,91.59,92.55,92.55,726027,0.0,1.0
2024-01-24,92.61,92.94,91.46,91.63,91.63,748878,0.0,1.0
2024-01-23,92.08,92.97,91.695,92.58,92.58,637033,0.0,1.0
2024-01-22,92.0,92.69,91.28,91.72,91.72,694837,0.0,1.0
2024-01-19,92.39,92.55,91.09,92.16,92.16,893598,0.0,1.0
2024-01-18,92.41,92.74,91.77,92.33,92.33,837253,0.0,1.0
2024-01-17,92.49,93.76,92.49,92.81,92.81,573027,0.0,1.0
2024-01-16,93.2,93.74,92.36,92.92,92.92,688198,0.0,1.0
2024-01-12,93.29,93.62,92.87,93.19,93.19,576999,0.0,1.0
2024-01-11,92.28,92.85,91.62,92.48,92.48,636253,0.0,1.0
2024-01-10,93.55,94.11,92.32,92.6,92.6,667252,0.0,1.0
2024-01-09,92.67,93.92,92.35,93.76,93.76,773164,0.0,1.0
2024-01-08,91.07,92.79,91.07,92.66,92.66,810121,0.0,1.0
2024-01-05,90.86,92.35,90.44,91.27,91.27,945169,0.0,1.0
2024-01-04,90.72,91.45,90.34,90.87,90.87,874805,0.0,1.0
2024-01-03,91.71,92.095,90.21,90.45,90.45,796080,0.0,1.0
2024-01-02,87.53,91.62,87.53,91.59,91.59,899541,0.0,1.0
2023-12-29,87.81,88.45,87.69,88.06,88.06,544527,0.0,1.0
2023-12-28,87.89,88.85,87.89,88.18,88.18,495519,0.0,1.0
2023-12-27,88.7,88.71,88.04,88.33,88.33,407516,0.0,1.0
2023-12-26,88.45,89.282,88.45,88.72,88.72,461291,0.0,1.0
2023-12-22,88.66,89.53,88.51,88.74,88.74,596932,0.0,1.0
2023-12-21,87.23,88.53,87.145,88.2,88.2,668644,0.0,1.0
2023-12-20,87.83,88.57,86.67,87.15,87.15,607936,0.0,1.0
2023-12-19,88.1,88.7,87.81,88.54,88.54,568391,0.0,1.0
2023-12-18,87.51,88.47,86.6,88.24,88.24,653307,0.0,1.0
2023-12-15,88.6,88.97,86.8,87.13,87.13,1333769,0.0,1.0
2023-12-14,90.47,90.75,88.73,88.88,88.88,799181,0.0,1.0
2023-12-13,87.85,90.31,87.64,90.19,90.19,726536,0.0,1.0
2023-12-12,87.21,88.099,86.975,87.84,87.84,856976,0.0,1.0
2023-12-11,86.77,87.75,86.62,87.39,87.39,881145,0.0,1.0
2023-12-08,88.0,88.1,86.46,86.66,86.66,538519,0.0,1.0
2023-12-07,87.45,88.33,86.845,88.06,88.06,787075,0.0,1.0
2023-12-06,87.14,87.74,86.97,87.42,87.42,689089,0.0,1.0
2023-12-05,87.87,88.0,86.95,87.41,87.41,813665,0.0,1.0
2023-12-04,85.17,87.65,85.17,87.4,87.4,1201232,0.0,1.0
2023-12-01,85.22,85.999,84.89,85.53,85.53,722619,0.0,1.0
2023-11-30,84.23,85.585,83.73,85.43,85.43,1268929,0.0,1.0
2023-11-29,85.47,85.65,84.37,84.43,84.43,743668,0.0,1.0
2023-11-28,87.03,87.15,85.34,85.62,85.62,898825,0.0,1.0
2023-11-27,86.78,87.23,86.23,87.17,87.17,892223,0.0,1.0
2023-11-24,86.54,87.48,86.3513,87.03,87.03,164629,0.0,1.0
2023-11-22,86.56,86.9,85.73,86.57,86.57,761251,0.0,1.0
2023-11-21,86.19,86.67,85.72,85.91,85.91,939758,0.0,1.0
2023-11-20,84.16,86.69,84.16,86.17,86.17,1254774,0.0,1.0
2023-11-17,86.15,86.6,82.86,84.21,84.21,1542692,0.0,1.0
2023-11-16,85.49,85.75,84.96,85.39,85.39,1368885,0.0,1.0
2023-11-15,86.04,86.445,85.21,85.5,85.5,753341,0.0,1.0
2023-11-14,85.11,85.97,85.0875,85.97,85.97,339540,0.0,1.0
2023-11-13,84.01,84.655,83.71,84.45,84.45,453713,0.0,1.0
2023-11-10,83.98,84.22,83.52,84.1,84.1,427314,0.0,1.0
2023-11-09,84.34,84.36,83.67,84.09,84.09,442005,0.0,1.0
2023-11-08,84.42,84.51,83.77,84.01,84.01,450132,0.0,1.0
2023-11-07,83.58,84.2,83.07,84.14,84.14,357793,0.0,1.0
2023-11-06,84.01,85.87,82.83,83.24,83.24,575184,0.0,1.0
2023-11-03,83.13,84.77,82.77,84.17,84.17,580679,0.0,1.0
2023-11-02,80.58,82.55,80.52,82.54,82.54,848597,0.0,1.0
2023-11-01,80.3,80.38,79.78,80.1,80.1,518626,0.0,1.0
2023-10-31,80.79,80.98,79.87,80.28,80.28,720892,0.0,1.0
2023-10-30,80.76,81.085,80.02,80.74,80.74,443765,0.0,1.0
2023-10-27,80.42,81.35,80.18,80.64,80.64,310314,0.0,1.0
2023-10-26,81.44,81.84,80.61,80.78,80.78,373271,0.0,1.0
2023-10-25,80.52,81.85,80.2,81.38,81.38,455712,0.0,1.0
2023-10-24,80.71,81.38,80.5,80.91,80.91,490817,0.0,1.0
2023-10-23,81.63,81.94,80.48,80.62,80.62,439241,0.0,1.0
2023-10-20,81.65,82.065,81.405,81.62,81.62,544824,0.0,1.0
2023-10-19,81.98,82.45,81.5,81.76,81.76,418305,0.0,1.0
2023-10-18,82.81,83.35,82.225,82.27,82.27,209638,0.0,1.0
2023-10-17,82.44,82.97,82.0,82.68,82.68,483636,0.0,1.0
2023-10-16,82.14,82.63,81.6,82.59,82.59,261016,0.0,1.0
2023-10-13,80.65,81.85,80.51,81.65,81.65,401385,0.0,1.0
2023-10-12,83.01,83.01,78.845,79.62,79.62,679341,0.0,1.0
2023-10-11,84.15,84.79,82.98,83.05,83.05,406258,0.0,1.0
2023-10-10,84.08,84.57,83.2,84.0,84.0,498058,0.0,1.0
2023-10-09,81.8,83.36,81.8,83.33,83.33,474144,0.0,1.0
2023-10-06,83.59,83.59,81.9,82.19,82.19,588578,0.0,1.0
2023-10-05,85.52,86.15,83.98,84.01,84.01,527575,0.0,1.0
2023-10-04,84.84,85.485,84.285,85.46,85.46,281792,0.0,1.0
2023-10-03,84.29,85.44,84.195,84.84,84.84,408856,0.0,1.0
2023-10-02,85.66,85.79,84.0,84.68,84.68,534790,0.0,1.0
2023-09-29,85.66,86.05,85.22,85.74,85.74,424578,0.0,1.0
2023-09-28,85.02,85.845,84.8,85.45,85.45,366469,0.0,1.0
2023-09-27,86.11,86.26,84.84,84.89,84.89,404346,0.0,1.0
2023-09-26,87.08,87.25,85.63,85.64,85.64,474140,0.0,1.0
2023-09-25,87.64,87.92,87.05,87.09,87.09,255948,0.0,1.0
2023-09-22,88.84,89.155,87.91,88.1,88.1,272326,0.0,1.0
2023-09-21,88.11,89.42,87.72,88.89,88.89,297935,0.0,1.0
2023-09-20,88.14,88.57,87.63,88.1,88.1,302567,0.0,1.0
2023-09-19,88.06,88.47,87.63,87.65,87.65,342627,0.0,1.0
2023-09-18,88.01,88.275,87.15,88.01,88.01,363435,0.0,1.0
2023-09-15,88.1,88.6,87.32,87.47,87.47,1571045,0.0,1.0
2023-09-14,86.82,88.34,86.82,88.31,88.31,356573,0.0,1.0
2023-09-13,87.26,87.26,86.31,86.73,86.73,507352,0.0,1.0
2023-09-12,87.47,87.51,86.32,87.11,87.11,417609,0.0,1.0
2023-09-11,87.0,88.19,86.9124,87.17,87.17,441106,0.0,1.0
2023-09-08,85.71,86.82,85.6,86.77,86.77,863481,0.0,1.0
2023-09-07,86.75,86.87,85.41,85.67,85.67,1097799,0.0,1.0
2023-09-06,86.87,87.54,86.38,86.44,86.44,494549,0.0,1.0
2023-09-05,88.59,88.79,86.605,86.96,86.96,708269,0.0,1.0
2023-09-01,90.19,90.29,88.81,88.87,88.87,1223852,0.0,1.0
2023-08-31,89.92,90.33,89.6,89.71,89.71,381942,0.0,1.0
2023-08-30,89.88,90.7,89.88,89.91,89.91,397290,0.0,1.0
2023-08-29,89.81,90.15,88.75,89.92,89.92,520072,0.0,1.0
2023-08-28,90.32,90.49,88.97,89.57,89.57,564083,0.0,1.0
2023-08-25,89.52,90.62,89.27,90.35,90.35,742770,0.0,1.0
2023-08-24,88.0,89.73,87.82,89.14,89.14,515302,0.0,1.0
2023-08-23,88.7,89.2275,88.03,88.11,88.11,481157,0.0,1.0
2023-08-22,87.11,88.86,87.11,88.7,88.7,616059,0.0,1.0
2023-08-21,88.0,88.14,87.13,87.46,87.46,658120,0.0,1.0
2023-08-18,87.65,88.51,87.31,88.09,88.09,999582,0.0,1.0
2023-08-17,89.03,89.31,87.49,87.59,87.59,698624,0.0,1.0
2023-08-16,89.92,90.39,88.82,88.9,88.9,541022,0.0,1.0
2023-08-15,89.19,90.2,88.81,89.96,89.96,561468,0.0,1.0
2023-08-14,88.3,90.05,87.655,89.59,89.59,1287966,0.0,1.0
2023-08-11,88.28,89.03,88.05,88.3,88.3,579810,0.0,1.0
2023-08-10,88.69,89.0,87.89,87.98,87.98,636508,0.0,1.0
2023-08-09,87.16,88.98,86.88,88.54,88.54,889963,0.0,1.0
2023-08-08,88.1,88.1,86.59,87.76,87.76,792765,0.0,1.0
2023-08-07,87.91,89.47,87.52,88.57,88.57,854320,0.0,1.0
2023-08-04,87.51,89.21,87.0,87.4,87.4,969209,0.0,1.0
2023-08-03,84.69,85.3,84.335,85.11,85.11,604478,0.0,1.0
2023-08-02,84.14,85.11,84.04,84.83,84.83,318411,0.0,1.0
2023-08-01,85.46,85.69,84.3125,84.6,84.6,349888,0.0,1.0
2023-07-31,85.06,85.49,84.75,85.3,85.3,378803,0.0,1.0
2023-07-28,84.97,85.11,83.99,85.01,85.01,472232,0.0,1.0
2023-07-27,85.36,85.89,84.38,84.44,84.44,560831,0.0,1.0
2023-07-26,86.35,86.82,85.38,85.44,85.44,436577,0.0,1.0
2023-07-25,86.93,87.065,86.01,86.67,86.67,477393,0.0,1.0
2023-07-24,87.54,87.65,86.47,86.97,86.97,309825,0.0,1.0
2023-07-21,88.4,88.44,87.25,87.43,87.43,356741,0.0,1.0
2023-07-20,87.44,88.11,86.77,88.1,88.1,378059,0.0,1.0
2023-07-19,86.34,87.35,86.34,87.0,87.0,488002,0.0,1.0
2023-07-18,85.9,87.005,85.52,85.97,85.97,586989,0.0,1.0
2023-07-17,86.44,86.83,85.73,85.8,85.8,402845,0.0,1.0
2023-07-14,87.0,87.0,85.725,86.44,86.44,395827,0.0,1.0
2023-07-13,86.62,87.04,86.03,86.82,86.82,404654,0.0,1.0
2023-07-12,85.95,86.61,85.61,86.33,86.33,369391,0.0,1.0
2023-07-11,85.65,85.67,84.605,85.65,85.65,424240,0.0,1.0
2023-07-10,86.5,87.415,85.24,85.42,85.42,354965,0.0,1.0
2023-07-07,86.53,87.39,86.17,86.57,86.57,797994,0.0,1.0
2023-07-06,86.25,87.01,85.6,86.72,86.72,476481,0.0,1.0
2023-07-05,86.96,87.17,86.29,86.54,86.54,396599,0.0,1.0
2023-07-03,86.5,87.555,86.205,87.4,87.4,199554,0.0,1.0
2023-06-30,85.96,86.71,85.8417,86.65,86.65,338587,0.0,1.0
2023-06-29,85.05,86.07,84.6138,85.81,85.81,306190,0.0,1.0
2023-06-28,85.06,85.81,83.98,85.27,85.27,562213,0.0,1.0
2023-06-27,86.24,87.26,85.44,86.34,86.34,404642,0.0,1.0
2023-06-26,84.78,86.42,84.57,86.05,86.05,348067,0.0,1.0
2023-06-23,86.3,86.39,84.97,85.09,85.09,460557,0.0,1.0
2023-06-22,86.08,86.18,85.18,86.18,86.18,285672,0.0,1.0
2023-06-21,85.76,86.08,85.1,85.69,85.69,472699,0.0,1.0
2023-06-20,87.28,87.28,85.85,85.89,85.89,515742,0.0,1.0
2023-06-16,87.67,88.42,87.11,87.34,87.34,568501,0.0,1.0
2023-06-15,87.04,87.78,86.6,87.55,87.55,301254,0.0,1.0
2023-06-14,87.4,88.14,86.704,87.09,87.09,478465,0.0,1.0
2023-06-13,86.19,87.68,86.092,87.2,87.2,354013,0.0,1.0
2023-06-12,87.23,87.87,86.45,86.65,86.65,354914,0.0,1.0
2023-06-09,87.13,88.06,86.63,87.23,87.23,322032,0.0,1.0
2023-06-08,86.61,88.11,86.04,87.6,87.6,412244,0.0,1.0
2023-06-07,85.54,87.67,85.34,87.14,87.14,641387,0.0,1.0
2023-06-06,86.03,86.175,84.65,84.97,84.97,451137,0.0,1.0
2023-06-05,86.41,86.41,85.24,85.92,85.92,361900,0.0,1.0
2023-06-02,84.4,86.49,84.4,86.41,86.41,358667,0.0,1.0
2023-06-01,85.08,85.29,84.03,84.39,84.39,655797,0.0,1.0
2023-05-31,84.34,85.43,83.78,84.96,84.96,404360,0.0,1.0
2023-05-30,84.77,85.75,83.79,83.92,83.92,366512,0.0,1.0
2023-05-26,85.21,85.83,84.63,85.44,85.44,354846,0.0,1.0
2023-05-25,85.7,86.33,85.19,85.91,85.91,307523,0.0,1.0
2023-05-24,86.39,86.82,85.85,85.91,85.91,401994,0.0,1.0
2023-05-23,86.27,86.79,85.99,86.25,86.25,339889,0.0,1.0
2023-05-22,86.59,86.9,85.46,86.25,86.25,374800,0.0,1.0
2023-05-19,86.96,87.5,85.98,86.25,86.25,598802,0.0,1.0
2023-05-18,86.73,87.14,86.205,86.97,86.97,442654,0.0,1.0
2023-05-17,87.59,87.7132,86.405,87.37,87.37,400660,0.0,1.0
2023-05-16,87.63,88.045,87.1225,87.45,87.45,301717,0.0,1.0
2023-05-15,88.72,88.7983,87.57,87.95,87.95,312792,0.0,1.0
2023-05-12,90.0,90.275,88.38,88.57,88.57,443861,0.0,1.0
2023-05-11,88.83,89.96,88.21,89.92,89.92,447750,0.0,1.0
2023-05-10,88.67,89.42,88.08,89.01,89.01,435280,0.0,1.0
2023-05-09,89.93,90.08,88.34,88.48,88.48,728894,0.0,1.0
2023-05-08,91.29,91.29,89.35,89.85,89.85,591558,0.0,1.0
2023-05-05,91.78,92.85,88.56,90.14,90.14,900652,0.0,1.0
2023-05-04,90.05,90.47,89.15,89.52,89.52,493428,0.0,1.0
2023-05-03,90.39,91.525,90.01,90.09,90.09,487820,0.0,1.0
2023-05-02,91.58,91.58,89.19,90.29,90.29,433369,0.0,1.0
2023-05-01,91.05,92.2,90.8996,91.46,91.46,518785,0.0,1.0
2023-04-28,91.34,91.83,90.46,90.49,90.49,705217,0.0,1.0
2023-04-27,89.41,91.31,89.41,91.2,91.2,455983,0.0,1.0
2023-04-26,88.6,89.92,88.6,89.65,89.65,326918,0.0,1.0
