,MA_Open,MA_High,MA_Low,MA_Close,MA_Adj Close,MA_Volume,MA_Dividend Amount,MA_Split Coefficient
2024-01-05,420.49,422.76,416.99,419.42,417.568904603886,2344216,0.0,1.0
2024-01-04,418.5,423.45,418.28,419.77,417.917359891215,2042551,0.0,1.0
2024-01-03,421.2,421.34,417.5001,418.77,416.92177335599,3093684,0.0,1.0
2024-01-02,424.09,424.28,419.56,421.89,420.028003345891,2463746,0.0,1.0
2023-12-29,426.68,428.35,424.27,426.51,424.627613138628,1706284,0.0,1.0
2023-12-28,423.77,428.36,423.68,426.32,424.438451696936,1505039,0.0,1.0
2023-12-27,423.0,425.0125,422.96,424.36,422.487102087896,1322841,0.0,1.0
2023-12-26,425.0,425.715,422.95,423.67,421.800147378591,1258302,0.0,1.0
2023-12-22,424.75,427.165,422.96,424.1,422.228249588737,1759004,0.0,1.0
2023-12-21,421.79,423.9,420.61,423.44,421.571162475489,2213253,0.0,1.0
2023-12-20,425.08,427.61,419.24,419.45,417.598772199943,3058344,0.0,1.0
2023-12-19,424.05,426.6799,422.52,425.47,423.592203141995,2214393,0.0,1.0
2023-12-18,419.53,425.09,419.53,424.43,422.556793145361,2686978,0.0,1.0
2023-12-15,412.62,419.26,411.6,418.57,416.722656048945,5566617,0.0,1.0
2023-12-14,425.01,425.85,415.9,418.56,416.712700183593,3989825,0.0,1.0
2023-12-13,421.86,426.37,419.145,424.68,422.805689779168,3694400,0.0,1.0
2023-12-12,417.0,421.0,414.7,420.75,418.893034695735,2736706,0.0,1.0
2023-12-11,412.46,416.17,412.38,415.71,413.875278558203,2235989,0.0,1.0
2023-12-08,412.22,413.67,409.23,412.16,410.340946358156,1959438,0.0,1.0
2023-12-07,412.07,413.57,409.99,413.15,411.326577028028,2363020,0.0,1.0
2023-12-06,411.43,413.82,407.155,410.38,408.568802325456,2192814,0.0,1.0
2023-12-05,407.09,409.05,404.315,408.69,406.886261080927,2755635,0.0,1.0
2023-12-04,413.83,414.85,408.03,408.23,406.428291274724,3097946,0.0,1.0
2023-12-01,412.89,416.6,411.57,414.36,412.53123673565,2171558,0.0,1.0
2023-11-30,410.1,414.16,408.78,413.83,412.003575871981,3203556,0.0,1.0
2023-11-29,411.01,412.0825,409.42,409.82,408.011273865731,2151396,0.0,1.0
2023-11-28,409.08,410.64,407.46,409.01,407.204848772199,2645103,0.0,1.0
2023-11-27,411.0,412.72,408.25,408.97,407.16502531079,2665981,0.0,1.0
2023-11-24,412.49,412.97,410.53,412.5,410.679445780132,1053479,0.0,1.0
2023-11-22,412.26,412.85,410.145,410.33,408.519022998695,1968107,0.0,1.0
2023-11-21,405.72,410.345,405.69,408.95,407.145113580085,2567692,0.0,1.0
2023-11-20,400.72,405.2,398.26,404.4,402.615194844813,2768775,0.0,1.0
2023-11-17,399.97,401.12,397.91,400.3,398.533290050393,2365689,0.0,1.0
2023-11-16,398.01,399.95,395.545,397.1,395.347413137674,3060610,0.0,1.0
2023-11-15,397.47,399.28,394.76,396.83,395.078604773163,2434711,0.0,1.0
2023-11-14,397.18,401.675,396.75,397.65,395.894985732048,2734045,0.0,1.0
2023-11-13,394.35,395.63,393.0225,394.35,392.609550165807,1614631,0.0,1.0
2023-11-10,390.04,395.0872,386.74,394.38,392.639417761863,2807108,0.0,1.0
2023-11-09,390.96,391.45,387.265,387.96,386.247752205722,2657074,0.0,1.0
2023-11-08,387.11,391.37,387.0,389.7,387.980072777012,2838414,0.0,1.0
2023-11-07,386.0,389.59,384.3,388.87,387.153735952776,2324356,0.0,1.0
2023-11-06,387.1,388.25,384.205,386.16,384.455696442317,2020512,0.0,1.0
2023-11-03,385.0,388.44,383.73,386.05,384.346181923443,2269147,0.0,1.0
2023-11-02,380.3,383.04,378.485,382.69,381.001011165088,2816034,0.0,1.0
2023-11-01,378.67,380.4,375.04,377.82,376.152504738545,2354844,0.0,1.0
2023-10-31,373.32,377.68,373.11,376.35,374.688992531764,2978827,0.0,1.0
2023-10-30,366.52,373.23,364.72,372.42,370.776337448332,3386593,0.0,1.0
2023-10-27,366.49,368.285,359.77,364.08,362.473145744559,3624883,0.0,1.0
2023-10-26,371.02,375.55,363.04,364.59,362.980894877523,6920077,0.0,1.0
2023-10-25,384.0,388.63,382.24,386.31,384.605034422601,3504548,0.0,1.0
2023-10-24,385.5,389.43,383.87,386.91,385.202386343736,2003266,0.0,1.0
2023-10-23,382.31,387.86,381.0,383.67,381.976685969608,1771977,0.0,1.0
2023-10-20,387.87,389.99,384.17,384.41,382.713420005674,2652548,0.0,1.0
2023-10-19,393.85,394.83,385.5,387.87,386.158149417551,3473009,0.0,1.0
2023-10-18,399.11,401.37,392.56,393.21,391.474581515651,1951454,0.0,1.0
2023-10-17,399.64,403.61,398.45,401.77,399.996802257173,2176027,0.0,1.0
2023-10-16,400.24,404.43,398.78,401.16,399.389494470686,2202218,0.0,1.0
2023-10-13,398.81,402.14,395.08,398.03,396.273308615433,2235682,0.0,1.0
2023-10-12,403.8,405.34,397.32,399.9,398.135055436303,1779046,0.0,1.0
2023-10-11,403.25,405.13,397.36,399.81,398.045452648133,2055776,0.0,1.0
2023-10-10,395.54,402.715,393.85,400.37,398.602981107858,2713818,0.0,1.0
2023-10-09,394.46,396.5,389.58,394.74,392.997828914544,2475166,0.0,1.0
2023-10-06,393.23,401.0,390.5,397.97,396.213573423319,2484148,0.0,1.0
2023-10-05,390.39,394.72,390.0,394.2,392.460212185523,2116563,0.57,1.0
2023-10-04,392.0,394.47,388.58,393.76,391.456121666214,1813405,0.0,1.0
2023-10-03,394.5,397.86,388.97,391.06,388.771919287865,2528120,0.0,1.0
2023-10-02,393.6,396.355,392.4453,395.85,393.533893136863,2856776,0.0,1.0
2023-09-29,402.03,402.18,394.25,395.91,393.593542078604,3032386,0.0,1.0
2023-09-28,395.83,401.35,395.365,399.44,397.102888151038,2216244,0.0,1.0
2023-09-27,396.21,397.0298,391.48,395.48,393.166057996126,1987457,0.0,1.0
2023-09-26,400.0,400.85,393.61,395.38,393.066643093224,2940561,0.0,1.0
2023-09-25,400.6,403.2299,399.84,402.49,400.135042689543,1846580,0.0,1.0
2023-09-22,404.39,406.85,401.56,402.22,399.866622451709,1885064,0.0,1.0
2023-09-21,408.34,408.77,402.1,403.36,400.999952344789,2451064,0.0,1.0
2023-09-20,413.77,415.85,410.08,410.52,408.11805939256,1580643,0.0,1.0
2023-09-19,416.96,417.1,411.1,413.53,411.110447969905,1731089,0.0,1.0
2023-09-18,413.88,417.8863,413.0355,417.13,414.68938447437,1808118,0.0,1.0
2023-09-15,411.86,418.3,411.14,414.31,411.885884212539,4755526,0.0,1.0
2023-09-14,418.3,418.6,407.7801,413.34,410.921559654391,3557785,0.0,1.0
2023-09-13,416.17,418.41,414.97,416.3,413.864240780285,2142220,0.0,1.0
2023-09-12,415.95,417.645,415.25,416.27,413.834416309415,1997630,0.0,1.0
2023-09-11,416.85,417.59,414.635,416.69,414.251958901602,1544746,0.0,1.0
2023-09-08,415.0,416.33,413.855,414.84,412.412783197918,1869468,0.0,1.0
2023-09-07,411.92,416.13,411.73,414.62,412.194070411534,2502686,0.0,1.0
2023-09-06,410.78,413.38,408.89,413.18,410.762495809748,2292121,0.0,1.0
2023-09-05,413.35,415.4,409.7,411.5,409.092325440998,2045555,0.0,1.0
2023-09-01,413.84,416.51,412.49,415.57,413.138511989102,1841670,0.0,1.0
2023-08-31,414.21,416.29,411.78,412.64,410.225655334078,2535134,0.0,1.0
2023-08-30,414.78,417.777,413.52,413.91,411.488224600932,2516721,0.0,1.0
2023-08-29,407.42,412.19,406.59,411.65,409.24144779535,2188937,0.0,1.0
2023-08-28,404.0,407.8,403.15,407.44,405.056080383184,1901274,0.0,1.0
2023-08-25,400.65,404.62,399.0,402.89,400.532702301151,2154774,0.0,1.0
2023-08-24,401.59,404.0,397.5,397.67,395.343244369676,1970016,0.0,1.0
2023-08-23,399.27,401.92,398.36,401.06,398.713409578047,1943221,0.0,1.0
2023-08-22,395.0,398.77,393.68,397.84,395.512249704609,2422581,0.0,1.0
2023-08-21,393.21,394.99,391.02,393.2,390.899398209964,1869502,0.0,1.0
2023-08-18,389.82,393.84,388.83,392.17,389.875424710075,2001800,0.0,1.0
2023-08-17,396.14,396.205,390.99,392.62,390.322791773134,2118703,0.0,1.0
2023-08-16,393.44,399.2,393.12,394.37,392.062552573916,2002011,0.0,1.0
2023-08-15,397.49,397.49,393.59,394.45,392.142084496237,1753282,0.0,1.0
2023-08-14,396.45,399.23,394.6101,398.58,396.247919986082,1638575,0.0,1.0
2023-08-11,395.75,396.67,392.8058,394.98,392.668983481617,1464655,0.0,1.0
2023-08-10,396.46,400.63,395.712,397.14,394.816345384296,2154471,0.0,1.0
2023-08-09,393.86,396.79,391.87,393.67,391.366648253603,1806063,0.0,1.0
2023-08-08,396.18,396.38,390.13,393.19,390.889456719674,1747173,0.0,1.0
2023-08-07,393.0,397.75,393.0,396.87,394.547925146461,1559899,0.0,1.0
2023-08-04,391.61,396.09,390.0701,391.35,389.060222506281,2215814,0.0,1.0
2023-08-03,387.56,393.44,386.42,393.01,390.710509894451,2190534,0.0,1.0
2023-08-02,393.88,394.21,389.58,390.02,387.738004297686,2410676,0.0,1.0
2023-08-01,393.78,397.3,392.36,397.07,394.746754952265,2344258,0.0,1.0
2023-07-31,393.97,396.08,392.465,394.28,391.973079161304,3578342,0.0,1.0
2023-07-28,397.96,398.0,388.8765,392.96,390.660802443,4501094,0.0,1.0
2023-07-27,405.19,405.19,393.95,394.5,392.191791947688,3563319,0.0,1.0
2023-07-26,399.18,403.31,395.7474,402.41,400.055510767222,2572262,0.0,1.0
2023-07-25,403.37,404.86,401.0,401.28,398.932122364431,2490524,0.0,1.0
2023-07-24,397.48,404.91,396.61,404.79,402.421585456285,3029808,0.0,1.0
2023-07-21,398.67,401.51,397.42,397.49,395.164297544452,1868149,0.0,1.0
2023-07-20,397.14,399.7199,395.55,398.06,395.730962490993,2570771,0.0,1.0
2023-07-19,398.0,399.85,396.31,398.27,395.939733787087,1809748,0.0,1.0
2023-07-18,400.42,401.94,395.2101,398.16,395.830377393895,2676239,0.0,1.0
2023-07-17,401.95,404.0,401.12,402.2,399.846739471128,2344566,0.0,1.0
2023-07-14,402.12,403.49,400.295,402.51,400.154925670124,1978498,0.0,1.0
2023-07-13,403.0,403.24,400.46,400.56,398.216335063538,2354875,0.0,1.0
2023-07-12,399.0,403.17,398.71,400.69,398.345574437311,2273532,0.0,1.0
2023-07-11,393.62,398.46,392.34,397.8,395.472483743448,2106362,0.0,1.0
2023-07-10,388.48,393.43,388.01,392.16,389.865483219785,2148582,0.0,1.0
2023-07-07,390.66,392.45,388.4,388.68,386.405844598802,2654516,0.0,1.0
2023-07-06,393.83,394.21,389.7399,393.14,390.839749268223,2156894,0.57,1.0
2023-07-05,388.81,395.25,387.13,394.73,391.852313196631,2781997,0.0,1.0
2023-07-03,391.34,394.305,388.68,393.96,391.087926701656,1304646,0.0,1.0
2023-06-30,388.1,395.17,388.1,393.3,390.432738277392,4407142,0.0,1.0
2023-06-29,380.85,388.01,380.5,387.67,384.843782476473,2524838,0.0,1.0
2023-06-28,381.19,381.395,378.67,380.23,377.458022057495,2012435,0.0,1.0
2023-06-27,380.34,382.84,379.01,381.79,379.00664924212,2197373,0.0,1.0
2023-06-26,378.06,379.99,375.35,377.42,374.668507705704,3327849,0.0,1.0
2023-06-23,374.98,381.12,373.22,379.81,377.041083969327,3739720,0.0,1.0
2023-06-22,375.11,378.48,373.946,377.8,375.045737404523,1934457,0.0,1.0
2023-06-21,373.96,378.39,373.66,376.14,373.397839246525,2301314,0.0,1.0
2023-06-20,375.01,379.51,373.75,374.62,371.88892045125,3961765,0.0,1.0
2023-06-16,381.61,382.9,376.16,376.53,373.784996042681,5882364,0.0,1.0
2023-06-15,373.27,379.57,370.52,379.04,376.276697474352,2558125,0.0,1.0
2023-06-14,372.93,378.08,372.02,374.76,372.027899813973,2775463,0.0,1.0
2023-06-13,375.31,377.18,369.81,371.38,368.672540913954,2444151,0.0,1.0
2023-06-12,370.67,375.97,369.94,375.31,372.573890167526,2407762,0.0,1.0
2023-06-09,370.46,372.105,367.76,369.22,366.528287889089,2202370,0.0,1.0
2023-06-08,369.36,369.77,365.845,367.59,364.910171023104,2595273,0.0,1.0
2023-06-07,379.29,380.5,368.26,371.39,368.682468011291,3714519,0.0,1.0
2023-06-06,372.95,380.38,371.805,379.96,377.189990429387,2758722,0.0,1.0
