,PAY_Open,PAY_High,PAY_Low,PAY_Close,PAY_Adj Close,PAY_Volume,PAY_Dividend Amount,PAY_Split Coefficient
2023-10-31,14.64,14.82,14.24,14.56,14.56,82445,0.0,1.0
2023-10-30,14.32,14.8,14.17,14.72,14.72,69544,0.0,1.0
2023-10-27,14.77,14.77,14.19,14.29,14.29,29991,0.0,1.0
2023-10-26,14.62,15.12,14.57,14.61,14.61,33636,0.0,1.0
2023-10-25,14.89,15.235,14.45,14.56,14.56,35088,0.0,1.0
2023-10-24,14.87,15.14,14.8,15.08,15.08,89823,0.0,1.0
2023-10-23,14.72,14.87,14.4901,14.68,14.68,59999,0.0,1.0
2023-10-20,14.89,15.04,14.62,14.85,14.85,61018,0.0,1.0
2023-10-19,15.73,15.74,14.86,14.93,14.93,52917,0.0,1.0
2023-10-18,15.52,15.8,15.37,15.71,15.71,78904,0.0,1.0
2023-10-17,15.74,15.96,15.64,15.68,15.68,188226,0.0,1.0
2023-10-16,16.09,16.09,15.625,15.92,15.92,95892,0.0,1.0
2023-10-13,15.46,15.93,15.33,15.82,15.82,136805,0.0,1.0
2023-10-12,15.84,15.84,14.91,15.38,15.38,94966,0.0,1.0
2023-10-11,15.87,16.17,15.64,15.8,15.8,128142,0.0,1.0
2023-10-10,15.68,15.97,15.45,15.76,15.76,64028,0.0,1.0
2023-10-09,14.93,15.73,14.9,15.59,15.59,63003,0.0,1.0
2023-10-06,14.67,15.15,14.67,15.03,15.03,34700,0.0,1.0
2023-10-05,14.86,15.08,14.48,14.86,14.86,86763,0.0,1.0
2023-10-04,14.8,15.43,14.8,15.34,15.34,49305,0.0,1.0
2023-10-03,16.23,16.23,14.98,14.98,14.98,74269,0.0,1.0
2023-10-02,16.54,16.68,16.15,16.31,16.31,107523,0.0,1.0
2023-09-29,16.51,16.9599,16.49,16.6,16.6,236920,0.0,1.0
2023-09-28,16.37,16.5605,16.15,16.32,16.32,61400,0.0,1.0
