,GD_Open,GD_High,GD_Low,GD_Close,GD_Adj Close,GD_Volume,GD_Dividend Amount,GD_Split Coefficient
2024-08-16,296.36,297.1,294.74,296.59,296.59,852433,0.0,1.0
2024-08-15,294.99,296.31,293.1639,295.95,295.95,890703,0.0,1.0
2024-08-14,291.71,295.17,291.71,293.73,293.73,756961,0.0,1.0
2024-08-13,291.85,292.795,289.53,292.2,292.2,888759,0.0,1.0
2024-08-12,294.0,294.59,290.655,291.2,291.2,1054806,0.0,1.0
2024-08-09,293.29,296.7,291.565,292.99,292.99,1028622,0.0,1.0
2024-08-08,287.45,293.0,287.45,290.8,290.8,823820,0.0,1.0
2024-08-07,287.21,290.88,286.355,287.17,287.17,890718,0.0,1.0
2024-08-06,286.45,290.44,285.2,285.38,285.38,815078,0.0,1.0
2024-08-05,288.92,290.925,282.32,285.9,285.9,1094084,0.0,1.0
2024-08-02,292.69,296.89,289.51,292.39,292.39,990893,0.0,1.0
2024-08-01,300.0,300.75,291.535,293.45,293.45,1108414,0.0,1.0
2024-07-31,294.8,299.96,293.17,298.71,298.71,1609458,0.0,1.0
2024-07-30,291.02,293.66,290.06,293.01,293.01,858073,0.0,1.0
2024-07-29,290.57,291.04,288.37,289.49,289.49,1171630,0.0,1.0
2024-07-26,290.99,292.7,287.635,290.4,290.4,1079838,0.0,1.0
2024-07-25,286.61,296.19,286.61,290.98,290.98,1809784,0.0,1.0
2024-07-24,286.0,286.49,276.79,284.67,284.67,3268633,0.0,1.0
2024-07-23,292.68,295.62,292.05,294.46,294.46,1288242,0.0,1.0
2024-07-22,288.43,291.48,287.54,291.21,291.21,745320,0.0,1.0
2024-07-19,294.36,294.36,287.83,288.22,288.22,973642,0.0,1.0
2024-07-18,291.4,295.5,291.17,293.27,293.27,960060,0.0,1.0
2024-07-17,292.24,294.77,291.78,291.99,291.99,900255,0.0,1.0
2024-07-16,285.57,291.78,285.57,291.59,291.59,1125137,0.0,1.0
2024-07-15,285.51,287.2,284.01,285.42,285.42,1017100,0.0,1.0
2024-07-12,285.72,286.465,283.6925,283.89,283.89,1072025,0.0,1.0
2024-07-11,281.37,285.265,281.37,284.15,284.15,935541,0.0,1.0
2024-07-10,279.66,281.98,279.07,281.91,281.91,957641,0.0,1.0
2024-07-09,280.22,281.34,279.42,279.51,279.51,803812,0.0,1.0
2024-07-08,281.7,283.0,279.55,280.47,280.47,1222693,0.0,1.0
2024-07-05,284.26,284.26,280.46,281.68,281.68,1039502,1.42,1.0
2024-07-03,286.47,287.26,284.05,284.88,283.451071706111,656719,0.0,1.0
2024-07-02,285.3,286.34,284.02,285.81,284.376406923349,1274376,0.0,1.0
2024-07-01,291.35,293.01,286.58,287.87,286.426074178735,1431088,0.0,1.0
2024-06-28,293.92,294.48,289.54,290.14,288.684688096079,2259932,0.0,1.0
2024-06-27,295.35,295.35,291.83,292.5,291.032850582833,989536,0.0,1.0
2024-06-26,294.31,295.58,293.32,294.53,293.052668315083,1215403,0.0,1.0
2024-06-25,298.21,299.09,294.72,295.28,293.7989063935,1110356,0.0,1.0
2024-06-24,299.48,302.7486,298.47,298.53,297.03260473331,1124477,0.0,1.0
2024-06-21,299.56,300.22,296.68,298.25,296.754009184034,1686985,0.0,1.0
2024-06-20,298.0,299.65,297.0,299.63,298.127087248322,751556,0.0,1.0
2024-06-18,293.57,298.05,293.17,298.0,296.505263157895,748596,0.0,1.0
2024-06-17,291.18,294.1871,290.6601,293.83,292.356179441893,510982,0.0,1.0
2024-06-14,290.7,292.04,288.455,291.78,290.316462027552,639947,0.0,1.0
2024-06-13,293.68,294.57,290.725,292.52,291.052750264924,686683,0.0,1.0
2024-06-12,292.985,295.2,292.2,294.34,292.863621335217,871953,0.0,1.0
2024-06-11,293.6,293.66,291.135,292.65,291.182098198516,1068734,0.0,1.0
2024-06-10,300.0,300.0,293.86,294.68,293.201915930766,1013889,0.0,1.0
2024-06-07,298.2,300.16,297.87,299.14,297.639545037089,684271,0.0,1.0
2024-06-06,299.0,300.5,298.1,298.27,296.773908866125,988175,0.0,1.0
2024-06-05,297.9,299.65,295.635,299.45,297.947990109502,469258,0.0,1.0
2024-06-04,298.37,299.24,296.9,297.32,295.828673966796,618207,0.0,1.0
2024-06-03,300.89,302.42,296.445,298.26,296.763959025079,723502,0.0,1.0
2024-05-31,296.02,300.23,295.38,299.77,298.26638502296,1302879,0.0,1.0
2024-05-30,293.94,296.66,293.94,296.08,294.594893677146,728274,0.0,1.0
2024-05-29,296.03,297.13,293.25,293.48,292.007935005298,771652,0.0,1.0
2024-05-28,299.54,299.75,297.07,297.34,295.848573648887,800584,0.0,1.0
2024-05-24,299.0,300.48,297.22,299.62,298.117137407277,784155,0.0,1.0
2024-05-23,297.96,298.2576,295.15,296.52,295.032686683151,720773,0.0,1.0
2024-05-22,297.485,299.36,296.16,298.01,296.51521299894,882703,0.0,1.0
2024-05-21,301.0,301.48,296.35,297.06,295.569978099611,1103517,0.0,1.0
2024-05-20,298.5,301.0,298.014,300.23,298.724077711056,940338,0.0,1.0
2024-05-17,296.59,299.14,295.46,299.02,297.520146944542,894179,0.0,1.0
2024-05-16,294.97,297.231,294.62,295.75,294.266548922642,613506,0.0,1.0
2024-05-15,293.8,295.25,293.6836,294.59,293.112367361356,752379,0.0,1.0
2024-05-14,293.44,294.56,292.47,294.06,292.585025785941,655290,0.0,1.0
2024-05-13,296.37,297.3299,292.61,293.53,292.057684210526,1406783,0.0,1.0
2024-05-10,296.58,297.875,296.0,296.44,294.953087954786,1019423,0.0,1.0
2024-05-09,292.75,296.27,292.0,295.97,294.485445425645,707640,0.0,1.0
2024-05-08,294.0,294.07,291.83,292.74,291.271646767926,1008163,0.0,1.0
2024-05-07,292.34,293.74,291.2,293.37,291.898486753797,715657,0.0,1.0
2024-05-06,289.47,291.61,289.46,291.38,289.918468385729,870254,0.0,1.0
2024-05-03,288.0,289.0,286.0,288.14,286.694719886966,974321,0.0,1.0
2024-05-02,286.04,288.58,282.51,287.36,285.918632285411,1134891,0.0,1.0
2024-05-01,286.58,288.09,284.83,286.53,285.092795478629,890864,0.0,1.0
2024-04-30,286.91,289.1999,286.42,287.09,285.649986577181,1423602,0.0,1.0
2024-04-29,287.96,289.93,285.43,287.79,286.346475450371,1293661,0.0,1.0
2024-04-26,284.73,286.77,282.8,284.41,282.983429176969,1244205,0.0,1.0
2024-04-25,282.76,285.75,279.44,284.9,283.470971388202,1769758,0.0,1.0
2024-04-24,289.19,290.365,274.315,281.11,279.699981631932,4023581,0.0,1.0
2024-04-23,292.72,294.695,291.68,292.72,291.251747085835,1132517,0.0,1.0
2024-04-22,289.94,292.71,288.046,291.31,289.84881949841,889033,0.0,1.0
2024-04-19,287.43,289.29,286.73,288.62,287.172312257153,1074960,0.0,1.0
2024-04-18,284.02,286.91,284.02,285.27,283.839115506888,636706,0.0,1.0
2024-04-17,286.5,286.5,283.67,284.46,283.033178382197,708954,0.0,1.0
2024-04-16,285.46,286.38,283.68,285.3,283.868965030025,1388510,0.0,1.0
2024-04-15,291.71,291.75,284.355,284.75,283.321723772519,976557,0.0,1.0
2024-04-12,288.41,290.75,286.79,287.87,286.426074178735,1280978,0.0,1.0
2024-04-11,287.83,288.64,286.16,287.5,286.057930060049,710977,1.42,1.0
2024-04-10,287.4,290.74,286.66,290.04,287.166835229879,935586,0.0,1.0
2024-04-09,292.03,294.6687,287.195,288.84,285.978722547919,1007111,0.0,1.0
2024-04-08,296.0,296.5,292.89,293.13,290.226225385928,945511,0.0,1.0
2024-04-05,293.0,295.455,291.4377,295.18,292.255917884277,858986,0.0,1.0
2024-04-04,293.56,294.56,291.97,293.22,290.315333837075,1352635,0.0,1.0
2024-04-03,290.57,291.99,288.43,291.69,288.800490167575,1150547,0.0,1.0
2024-04-02,291.8,292.5,288.44,290.54,287.661882180696,1688413,0.0,1.0
2024-04-01,287.71,291.965,286.38,291.55,288.661877021346,1742797,0.0,1.0
2024-03-28,282.6,283.1467,281.28,282.49,279.691626272544,644505,0.0,1.0
2024-03-27,279.56,281.93,278.945,281.9,279.10747087058,746031,0.0,1.0
2024-03-26,278.81,280.465,278.35,278.35,275.59263751978,567677,0.0,1.0
2024-03-25,280.93,281.45,278.39,278.98,276.216396677809,776513,0.0,1.0
2024-03-22,282.33,283.215,281.13,281.16,278.374801383371,730558,0.0,1.0
2024-03-21,283.36,284.75,281.22,281.34,278.553018285665,1084155,0.0,1.0
2024-03-20,280.0,282.98,279.31,282.55,279.751031906642,1043440,0.0,1.0
2024-03-19,279.12,280.35,277.731,279.7,276.929264286985,703565,0.0,1.0
2024-03-18,275.99,277.72,274.67,277.6,274.850067093554,865390,0.0,1.0
2024-03-15,273.83,276.93,273.83,275.21,272.483742668649,1305858,0.0,1.0
2024-03-14,276.3,276.65,273.4,275.4,272.67186050996,836940,0.0,1.0
2024-03-13,275.52,275.9,274.47,275.36,272.632256753895,823999,0.0,1.0
2024-03-12,273.01,275.06,271.585,274.65,271.929290083734,844967,0.0,1.0
2024-03-11,271.64,273.29,270.43,273.27,270.56296049948,559720,0.0,1.0
2024-03-08,272.43,273.62,270.715,272.31,269.612470353911,696906,0.0,1.0
2024-03-07,274.0,274.97,272.11,273.03,270.325337963088,761791,0.0,1.0
2024-03-06,274.0,275.8529,273.17,273.7,270.988700877182,585056,0.0,1.0
2024-03-05,275.57,277.4266,272.39,273.6,270.889691487019,979366,0.0,1.0
2024-03-04,272.0,275.34,271.39,274.71,271.988695717833,974559,0.0,1.0
2024-03-01,273.3,273.3,271.05,271.95,269.256036549323,651383,0.0,1.0
2024-02-29,274.98,274.98,272.37,273.25,270.543158621447,886287,0.0,1.0
2024-02-28,273.68,274.66,272.48,274.31,271.592658157179,569835,0.0,1.0
2024-02-27,272.33,273.8,270.77,273.7,270.988700877182,554426,0.0,1.0
2024-02-26,274.19,274.594,272.59,273.02,270.315437024071,629667,0.0,1.0
2024-02-23,272.5,274.9,272.1746,273.75,271.038205572264,663926,0.0,1.0
2024-02-22,271.38,272.46,270.66,272.33,269.632272231944,636360,0.0,1.0
2024-02-21,270.16,272.2799,268.91,271.9,269.206531854241,691282,0.0,1.0
2024-02-20,270.4,271.96,268.35,268.93,266.265952966389,697551,0.0,1.0
2024-02-16,269.98,271.175,268.8887,269.44,266.770900856222,702718,0.0,1.0
2024-02-15,269.68,270.9583,268.54,270.0,267.325353441137,801479,0.0,1.0
2024-02-14,268.31,269.22,263.103,269.1,266.434268929667,1629840,0.0,1.0
2024-02-13,269.93,270.9,265.105,267.22,264.572892394595,1164204,0.0,1.0
2024-02-12,269.98,270.97,269.21,269.44,266.770900856222,696309,0.0,1.0
2024-02-09,270.07,271.365,269.055,270.14,267.463966587366,878245,0.0,1.0
2024-02-08,269.0,269.435,267.12,269.0,266.335259539503,617092,0.0,1.0
2024-02-07,269.5,270.15,267.945,269.09,266.42436799065,1058802,0.0,1.0
2024-02-06,266.1,267.79,264.64,267.69,265.038236528363,814601,0.0,1.0
2024-02-05,264.0,267.07,262.5,265.52,262.889732761818,1032428,0.0,1.0
2024-02-02,265.74,266.4003,264.33,265.27,262.642209286409,1949414,0.0,1.0
2024-02-01,265.65,267.24,263.07,266.87,264.226359529023,1715158,0.0,1.0
2024-01-31,269.0,269.5,263.84,264.99,262.364982993952,2305088,0.0,1.0
2024-01-30,266.29,269.369,265.99,268.67,266.008528551964,2040351,0.0,1.0
2024-01-29,264.57,265.91,263.2,264.78,262.157063274608,961685,0.0,1.0
2024-01-26,266.56,267.97,262.05,265.07,262.444190506082,1329931,0.0,1.0
2024-01-25,261.76,265.97,261.16,265.86,263.226364688373,1968787,0.0,1.0
2024-01-24,252.32,263.69,251.62,261.18,258.592725228727,2748242,0.0,1.0
2024-01-23,250.35,252.1012,247.88,249.37,246.899716250431,1775553,0.0,1.0
2024-01-22,249.5,251.315,248.7,249.76,247.285852872068,2043282,0.0,1.0
2024-01-19,251.5,251.5,248.98,249.34,246.870013433382,1410323,0.0,1.0
2024-01-18,249.04,251.1,247.3601,250.95,248.464064615012,907695,1.32,1.0
2024-01-17,249.23,252.1,249.0,249.97,246.198764148788,882739,0.0,1.0
2024-01-16,254.29,254.7,249.72,250.65,246.868505156193,1038498,0.0,1.0
2024-01-12,251.34,254.91,251.34,254.81,250.965744260322,1107546,0.0,1.0
2024-01-11,251.76,252.35,248.09,249.94,246.169216751402,1500115,0.0,1.0
2024-01-10,251.24,253.01,250.81,251.25,247.459453103904,877919,0.0,1.0
2024-01-09,253.77,253.77,250.89,251.24,247.449603971442,1255981,0.0,1.0
2024-01-08,253.0,253.85,250.88,253.82,249.990680146599,1257124,0.0,1.0
2024-01-05,256.59,257.0,253.41,253.9,250.069473206293,956794,0.0,1.0
2024-01-04,258.75,259.0,256.0,256.18,252.315075407595,1096846,0.0,1.0
2024-01-03,259.55,261.3899,256.5,256.54,252.669644176221,1378672,0.0,1.0
2024-01-02,259.67,261.14,257.62,258.6,254.698565463362,992514,0.0,1.0
2023-12-29,258.52,259.88,257.85,259.67,255.752422636779,812338,0.0,1.0
2023-12-28,257.97,258.7879,257.465,258.14,254.245505370117,569704,0.0,1.0
2023-12-27,255.38,257.73,255.08,257.43,253.546216965325,750664,0.0,1.0
2023-12-26,254.04,256.81,253.85,256.21,252.34462280498,637901,0.0,1.0
2023-12-22,253.37,255.26,252.56,254.1,250.26645585553,650642,0.0,1.0
2023-12-21,251.0,252.97,250.0,252.43,248.621650734402,702281,0.0,1.0
2023-12-20,253.12,253.97,249.4,249.56,245.794949717852,1018223,0.0,1.0
2023-12-19,252.71,253.975,252.252,253.89,250.059624073832,738842,0.0,1.0
2023-12-18,252.66,253.93,251.77,252.87,249.055012562723,708697,0.0,1.0
2023-12-15,249.64,252.74,249.35,252.55,248.739840323944,2410879,0.0,1.0
2023-12-14,255.4,255.56,248.58,251.15,247.360961779286,1778754,0.0,1.0
2023-12-13,253.66,256.32,253.03,255.85,251.990054036354,1287264,0.0,1.0
2023-12-12,252.01,254.35,251.6961,253.2,249.380033933964,863986,0.0,1.0
2023-12-11,252.02,253.643,252.02,252.42,248.61180160194,704582,0.0,1.0
2023-12-08,251.75,253.19,251.75,252.29,248.483762879936,968475,0.0,1.0
2023-12-07,252.72,254.76,250.52,251.49,247.695832282988,895769,0.0,1.0
2023-12-06,250.89,252.85,250.26,251.95,248.148892376233,872361,0.0,1.0
2023-12-05,252.23,252.61,250.1994,250.89,247.104884335278,925879,0.0,1.0
2023-12-04,248.55,252.25,248.11,252.21,248.404969820241,1618211,0.0,1.0
2023-12-01,247.09,249.69,246.81,249.69,245.922988439856,842922,0.0,1.0
2023-11-30,245.59,247.3,245.01,246.97,243.244024410234,951109,0.0,1.0
2023-11-29,245.22,246.0,243.87,244.83,241.136310063398,835248,0.0,1.0
2023-11-28,247.4,247.53,245.07,245.22,241.52042622941,846814,0.0,1.0
2023-11-27,247.71,247.71,245.512,246.36,242.643227330061,717868,0.0,1.0
2023-11-24,247.68,248.55,247.44,247.83,244.091049801952,338962,0.0,1.0
2023-11-22,245.81,247.4508,245.46,247.33,243.59859317886,617665,0.0,1.0
2023-11-21,246.11,247.51,245.37,246.41,242.69247299237,806460,0.0,1.0
2023-11-20,244.65,247.0825,244.35,245.78,242.071977647274,894457,0.0,1.0
2023-11-17,246.05,246.2247,244.41,244.69,240.998422208932,1060661,0.0,1.0
2023-11-16,246.28,246.88,244.53,245.26,241.559822759258,824461,0.0,1.0
2023-11-15,247.56,248.2708,245.69,245.76,242.05227938235,1073637,0.0,1.0
2023-11-14,245.77,248.89,245.485,247.86,244.120597199338,1115807,0.0,1.0
2023-11-13,243.55,247.28,243.525,246.65,242.928852171454,1569193,0.0,1.0
2023-11-10,241.11,244.14,240.735,243.55,239.875621108282,1102936,0.0,1.0
2023-11-09,242.0,242.0,238.31,240.1,236.477670408945,1733062,0.0,1.0
2023-11-08,243.34,244.11,241.419,242.02,238.368703841619,695012,0.0,1.0
2023-11-07,244.06,244.08,242.205,242.73,239.06799224641,804710,0.0,1.0
2023-11-06,243.19,244.48,242.32,243.93,240.249888141832,1286799,0.0,1.0
2023-11-03,245.0,245.39,243.11,243.21,239.540750604579,1004395,0.0,1.0
2023-11-02,241.32,244.24,241.03,244.01,240.328681201527,1749441,0.0,1.0
2023-11-01,242.0,243.87,240.6342,242.7,239.038444849025,1490484,0.0,1.0
2023-10-31,239.65,241.79,237.5,241.31,237.669415436828,2534276,0.0,1.0
2023-10-30,238.61,240.24,237.35,238.98,235.374567573218,1485186,0.0,1.0
2023-10-27,237.88,239.3,236.58,238.25,234.655580903503,1816231,0.0,1.0
2023-10-26,243.0,243.8,240.16,240.55,236.920881369728,1580995,0.0,1.0
2023-10-25,239.055,244.38,238.47,242.4,238.74297087517,2440625,0.0,1.0
2023-10-24,235.28,236.67,232.285,233.0,229.484786361033,1060556,0.0,1.0
2023-10-23,234.64,236.32,232.85,233.21,229.691618142732,1265901,0.0,1.0
2023-10-20,238.74,239.418,234.82,234.94,231.395518058632,1706145,0.0,1.0
2023-10-19,239.37,241.4521,237.94,237.95,234.360106929648,1156976,0.0,1.0
2023-10-18,241.74,242.0575,239.29,239.81,236.192045567551,1092718,0.0,1.0
2023-10-17,241.68,243.9049,239.81,241.27,237.630018906981,1328932,0.0,1.0
2023-10-16,243.53,245.06,241.56,242.87,239.205880100876,1362382,0.0,1.0
2023-10-13,239.5,243.47,238.87,243.04,239.373315352728,2151915,0.0,1.0
2023-10-12,238.84,239.83,235.771,237.4,233.818404644246,851218,0.0,1.0
2023-10-11,236.31,238.74,236.18,237.78,234.192671677796,1068482,0.0,1.0
2023-10-10,240.0,240.0022,236.18,236.67,233.099417974531,2340000,0.0,1.0
2023-10-09,228.7,240.145,228.5,238.48,234.882110950126,3399366,0.0,1.0
2023-10-06,215.96,220.945,214.53,219.94,216.621819365861,993828,0.0,1.0
2023-10-05,217.55,218.09,216.0,216.75,213.479946110532,820240,1.32,1.0
2023-10-04,220.23,221.875,217.32,219.33,214.713424957229,887192,0.0,1.0
2023-10-03,222.36,224.285,220.47,220.74,216.093746523772,1315254,0.0,1.0
2023-10-02,221.5,224.1099,221.33,222.93,218.237650233507,1207461,0.0,1.0
2023-09-29,223.03,223.8,220.86,220.97,216.318905360867,764051,0.0,1.0
2023-09-28,222.06,224.095,222.06,222.39,217.709016442066,839024,0.0,1.0
2023-09-27,219.33,221.05,218.92,221.0,216.348273904836,666759,0.0,1.0
2023-09-26,218.64,220.01,218.08,218.18,213.587630771752,889724,0.0,1.0
2023-09-25,217.71,219.55,217.18,219.33,214.713424957229,648690,0.0,1.0
2023-09-22,221.06,221.665,218.31,218.34,213.744263006253,921771,0.0,1.0
2023-09-21,225.24,225.53,221.84,221.88,217.209751194593,1067472,0.0,1.0
2023-09-20,223.84,226.2,223.6,225.55,220.802503073465,893323,0.0,1.0
2023-09-19,224.15,225.3,222.12,222.85,218.159334116257,971836,0.0,1.0
2023-09-18,225.0,225.875,223.425,224.33,219.608182285393,783347,0.0,1.0
2023-09-15,220.71,225.09,220.525,224.05,219.334075875016,1829031,0.0,1.0
2023-09-14,220.02,221.519,219.01,221.46,216.798591579027,909527,0.0,1.0
2023-09-13,218.01,219.79,217.42,219.69,215.065847484857,880126,0.0,1.0
2023-09-12,215.55,218.25,214.6,217.38,212.804469599246,1211017,0.0,1.0
2023-09-11,217.0,217.535,215.111,216.27,211.717833472393,1880294,0.0,1.0
2023-09-08,218.98,219.27,217.36,217.87,213.284155817406,800647,0.0,1.0
2023-09-07,218.88,219.47,217.62,218.69,214.086896019224,798554,0.0,1.0
2023-09-06,223.0,223.0,217.84,218.05,213.46036708122,1082860,0.0,1.0
2023-09-05,226.56,226.56,223.21,223.33,218.62923081976,909208,0.0,1.0
2023-09-01,227.85,227.9407,225.63,226.37,221.605243275284,568912,0.0,1.0
2023-08-31,227.77,228.37,226.43,226.64,221.869560171005,865803,0.0,1.0
2023-08-30,226.73,228.58,226.0,227.24,222.456931050384,649507,0.0,1.0
2023-08-29,225.44,226.21,223.95,226.15,221.389873952845,822667,0.0,1.0
2023-08-28,223.62,225.6,223.34,225.35,220.606712780339,747419,0.0,1.0
2023-08-25,224.97,224.97,221.92,223.59,218.883758200825,618967,0.0,1.0
2023-08-24,224.22,225.78,223.72,223.88,219.167654125858,673672,0.0,1.0
2023-08-23,224.63,225.2,223.22,224.86,220.127026562178,720663,0.0,1.0
2023-08-22,224.28,225.02,223.1,224.28,219.559234712112,689457,0.0,1.0
2023-08-21,223.83,224.82,223.4554,224.28,219.559234712112,769877,0.0,1.0
2023-08-18,221.75,225.16,221.22,224.42,219.6962879173,1040617,0.0,1.0
2023-08-17,224.09,225.48,222.24,222.31,217.630700324815,990262,0.0,1.0
2023-08-16,222.71,223.98,222.32,223.59,218.883758200825,897823,0.0,1.0
2023-08-15,225.18,225.355,222.7,223.13,218.433440526634,1150313,0.0,1.0
2023-08-14,226.95,227.53,225.817,226.37,221.605243275284,952697,0.0,1.0
2023-08-11,225.67,228.73,225.505,226.99,222.212193183976,1210434,0.0,1.0
2023-08-10,226.18,227.225,225.18,225.66,220.910187734685,861283,0.0,1.0
2023-08-09,225.0,227.02,224.47,226.14,221.380084438188,1079945,0.0,1.0
2023-08-08,226.21,226.88,223.76,224.47,219.745235490582,1002694,0.0,1.0
2023-08-07,224.83,227.44,224.83,227.19,222.407983477103,1022979,0.0,1.0
2023-08-04,226.69,227.5,223.56,224.01,219.294917816391,1199410,0.0,1.0
2023-08-03,226.5,227.38,224.6922,225.63,220.880819190716,1084137,0.0,1.0
2023-08-02,225.25,226.4,223.27,226.25,221.487769099408,1397310,0.0,1.0
2023-08-01,223.36,225.48,223.27,225.34,220.596923265682,1039927,0.0,1.0
2023-07-31,223.38,224.565,222.5,223.58,218.873968686169,2232798,0.0,1.0
2023-07-28,221.0,223.07,219.0,222.64,217.953754308474,1597615,0.0,1.0
2023-07-27,223.22,223.8,216.43,219.82,215.193111175389,2650664,0.0,1.0
2023-07-26,220.2,225.435,217.52,222.78,218.090807513662,2475426,0.0,1.0
2023-07-25,214.74,218.06,213.47,218.0,213.411419507938,1392423,0.0,1.0
2023-07-24,215.77,218.1,215.72,217.64,213.05899698031,950574,0.0,1.0
2023-07-21,216.58,217.15,214.79,215.47,210.934672299887,1148486,0.0,1.0
2023-07-20,214.85,216.92,214.34,216.08,211.531832693923,1726685,0.0,1.0
2023-07-19,213.59,215.3839,212.84,213.55,209.055085485872,1234960,0.0,1.0
2023-07-18,217.15,219.56,212.58,213.52,209.025716941903,1452074,0.0,1.0
2023-07-17,215.29,217.4374,214.9,216.37,211.815728618957,646428,0.0,1.0
2023-07-14,216.92,216.92,214.27,215.32,210.787829580042,715039,0.0,1.0
2023-07-13,217.56,217.81,216.37,216.96,212.39330998368,995928,0.0,1.0
2023-07-12,217.94,218.62,216.435,217.61,213.029628436341,1767154,0.0,1.0
2023-07-11,214.92,217.47,213.9,217.18,212.608679306119,1482110,0.0,1.0
2023-07-10,214.15,216.69,213.99,214.68,210.161300642037,1191280,0.0,1.0
2023-07-07,213.94,217.2675,213.595,214.15,209.642456365252,1026771,0.0,1.0
2023-07-06,213.15,214.82,211.94,214.28,209.769720055784,995229,1.32,1.0
2023-07-05,214.78,215.65,213.216,215.19,209.370807322839,832305,0.0,1.0
2023-07-03,214.46,216.93,214.23,215.78,209.944852475126,475224,0.0,1.0
2023-06-30,215.33,216.32,213.27,215.15,209.33188900743,933084,0.0,1.0
2023-06-29,210.92,214.5,210.655,214.31,208.514604383836,838727,0.0,1.0
2023-06-28,212.29,212.4399,209.25,211.0,205.294113783722,914639,0.0,1.0
2023-06-27,212.25,212.6238,211.095,212.06,206.325449142067,887060,0.0,1.0
2023-06-26,211.51,212.45,209.51,212.09,206.354637878624,727374,0.0,1.0
2023-06-23,213.95,214.66,212.185,212.39,206.646525244193,1113552,0.0,1.0
2023-06-22,217.31,217.53,213.68,214.45,208.650818487769,833757,0.0,1.0
2023-06-21,215.07,217.66,214.18,217.53,211.64752877428,698588,0.0,1.0
2023-06-20,217.0,217.66,214.79,215.49,209.662694688409,940868,0.0,1.0
2023-06-16,215.64,217.8,215.41,217.34,211.462666776086,1561700,0.0,1.0
2023-06-15,212.16,215.45,212.16,214.96,209.147027009236,880038,0.0,1.0
2023-06-14,213.21,213.945,211.47,212.14,206.403285772885,1037889,0.0,1.0
2023-06-13,213.0,214.665,211.66,213.81,208.028125441221,995486,0.0,1.0
2023-06-12,212.32,213.38,211.52,213.07,207.30813660615,720916,0.0,1.0
2023-06-09,214.15,214.15,211.79,212.27,206.529770297965,717164,0.0,1.0
2023-06-08,214.45,214.85,212.8,213.54,207.765426812208,921293,0.0,1.0
2023-06-07,211.5,214.49,210.73,214.18,208.388119858756,994051,0.0,1.0
2023-06-06,209.35,211.335,208.7342,210.81,205.109251785528,901004,0.0,1.0
2023-06-05,209.99,211.1,208.91,209.25,203.591437484568,1337004,0.0,1.0
2023-06-02,207.07,209.645,206.33,209.09,203.435764222931,1641735,0.0,1.0
