,FTV_Open,FTV_High,FTV_Low,FTV_Close,FTV_Adj Close,FTV_Volume,FTV_Dividend Amount,FTV_Split Coefficient
2018-02-09,75.81,75.81,69.51,72.45,59.0145384733164,4135075,0.0,1.0
2018-02-08,71.71,72.3,69.03,69.14,56.3183601110434,2327922,0.0,1.0
2018-02-07,71.92,73.05,71.68,71.69,58.395476372009,2506631,0.0,1.0
2018-02-06,70.33,72.59,69.45,72.11,58.7375896385209,2828083,0.0,1.0
2018-02-05,75.04,75.415,71.65,71.66,58.3710397101152,1929687,0.0,1.0
2018-02-02,75.34,76.29,75.0,75.35,61.3767491230419,1404318,0.0,1.0
2018-02-01,75.52,76.57,75.205,75.55,61.5396602023333,1440479,0.0,1.0
2018-01-31,76.33,76.53,75.62,76.02,61.9225012386682,1265224,0.0,1.0
2018-01-30,75.9,76.43,75.63,76.03,61.9306467926327,1262546,0.0,1.0
2018-01-29,76.2,76.67,76.0,76.38,62.2157411813927,1596683,0.0,1.0
2018-01-26,75.21,76.59,74.57,76.57,62.3705067067196,2176495,0.0,1.0
2018-01-25,75.79,75.895,74.56,74.81,60.9368892089551,1439442,0.0,1.0
2018-01-24,75.48,76.68,75.06,75.36,61.3848946770065,1568170,0.0,1.0
2018-01-23,74.44,75.25,73.78,75.06,61.1405280580694,1476479,0.0,1.0
2018-01-22,74.55,75.07,73.85,74.2,60.4400104171163,1364811,0.0,1.0
2018-01-19,74.63,74.945,74.0,74.56,60.7332503598408,1811708,0.0,1.0
2018-01-18,74.86,75.24,74.25,74.46,60.6517948201951,809762,0.0,1.0
2018-01-17,74.47,75.24,74.02,74.74,60.8798703312031,1525098,0.0,1.0
2018-01-16,74.82,75.63,73.72,73.99,60.2689537838603,1339374,0.0,1.0
2018-01-12,73.94,74.78,73.76,74.47,60.6599403741597,1283230,0.0,1.0
2018-01-11,73.13,73.81,73.01,73.71,60.0408782728523,1179462,0.0,1.0
2018-01-10,73.41,73.83,72.53,73.02,59.4788350492969,889091,0.0,1.0
2018-01-09,73.22,74.47,73.2,73.78,60.0978971506043,1117941,0.0,1.0
2018-01-08,73.16,73.5,73.06,73.25,59.666182790482,1010373,0.0,1.0
2018-01-05,74.42,74.61,72.87,73.4,59.7883660999506,2124639,0.0,1.0
2018-01-04,72.72,74.35,72.43,74.25,60.4807381869391,1484104,0.0,1.0
2018-01-03,72.24,72.57,71.27,72.42,58.9901018114226,1566879,0.0,1.0
2018-01-02,72.99,73.18,71.835,72.38,58.9575195955643,1080371,0.0,1.0
2017-12-29,72.77,73.0,72.35,72.35,58.9330829336706,817014,0.0,1.0
2017-12-28,72.5,72.66,72.04,72.5,59.0552662431392,798127,0.0,1.0
2017-12-27,72.53,72.89,72.23,72.37,58.9493740415998,771041,0.0,1.0
2017-12-26,72.69,72.76,72.24,72.62,59.1530128907141,417306,0.0,1.0
2017-12-22,72.84,72.84,72.15,72.47,59.0308295812455,980803,0.0,1.0
2017-12-21,73.27,73.31,72.62,72.8,59.2996328620763,824075,0.0,1.0
2017-12-20,73.23,73.44,72.9,72.99,59.4543983874032,767168,0.0,1.0
2017-12-19,72.93,73.1,72.01,72.73,59.2426139843243,942583,0.0,1.0
2017-12-18,72.38,73.12,72.1,72.73,59.2426139843243,1060326,0.0,1.0
2017-12-15,71.83,72.32,71.71,72.06,58.6968618686981,2384374,0.0,1.0
2017-12-14,72.63,72.79,71.37,71.4,58.1592553070364,1094341,0.0,1.0
2017-12-13,72.47,73.03,72.18,72.41,58.9819562574581,938081,0.0,1.0
2017-12-12,72.95,72.95,72.26,72.52,59.0715573510683,761601,0.0,1.0
2017-12-11,73.83,73.99,72.86,73.01,59.4706894953323,960917,0.0,1.0
2017-12-08,73.96,74.24,73.28,73.69,60.0245871649231,994857,0.0,1.0
2017-12-07,73.55,74.23,73.2,73.6,59.951277179242,898646,0.0,1.0
2017-12-06,72.99,73.66,72.685,73.29,59.6987650063403,1119592,0.0,1.0
2017-12-05,74.43,74.54,72.88,72.95,59.4218161715449,1139295,0.0,1.0
