,LGIH_Open,LGIH_High,LGIH_Low,LGIH_Close,LGIH_Adj Close,LGIH_Volume,LGIH_Dividend Amount,LGIH_Split Coefficient
2024-08-28,109.98,110.42,107.0,107.5,107.5,154440,0.0,1.0
2024-08-27,110.74,112.355,109.5,111.25,111.25,167603,0.0,1.0
2024-08-26,113.05,114.45,110.9,111.26,111.26,156174,0.0,1.0
2024-08-23,107.65,113.96,107.54,112.85,112.85,167209,0.0,1.0
2024-08-22,106.78,107.5,105.465,106.6,106.6,121018,0.0,1.0
2024-08-21,104.38,107.27,103.98,106.7,106.7,103913,0.0,1.0
2024-08-20,104.9,105.48,102.56,102.81,102.81,90692,0.0,1.0
2024-08-19,103.5,104.825,102.96,104.48,104.48,95496,0.0,1.0
2024-08-16,102.38,106.04,102.05,102.88,102.88,121396,0.0,1.0
2024-08-15,103.0,104.08,100.53,103.34,103.34,203060,0.0,1.0
2024-08-14,102.55,103.46,99.62,100.8,100.8,148760,0.0,1.0
2024-08-13,100.22,103.84,99.58,102.64,102.64,142357,0.0,1.0
2024-08-12,99.9,99.9,97.585,98.72,98.72,131432,0.0,1.0
2024-08-09,99.95,101.1,97.73,99.24,99.24,152657,0.0,1.0
2024-08-08,98.68,100.0,97.31,99.34,99.34,110152,0.0,1.0
2024-08-07,103.54,104.87,96.45,96.9,96.9,196225,0.0,1.0
2024-08-06,100.11,103.351,99.54,102.01,102.01,176020,0.0,1.0
2024-08-05,98.65,105.515,96.0248,101.73,101.73,392800,0.0,1.0
2024-08-02,106.03,108.12,104.54,106.54,106.54,321585,0.0,1.0
2024-08-01,115.25,116.72,110.05,110.96,110.96,343375,0.0,1.0
2024-07-31,119.05,119.435,111.94,115.07,115.07,457277,0.0,1.0
2024-07-30,112.0,120.31,108.62,119.4,119.4,569726,0.0,1.0
2024-07-29,106.58,107.695,103.09,104.95,104.95,436537,0.0,1.0
2024-07-26,105.47,109.43,105.47,106.95,106.95,273208,0.0,1.0
2024-07-25,102.42,106.485,101.7,104.34,104.34,237126,0.0,1.0
2024-07-24,104.16,105.26,101.74,101.79,101.79,148321,0.0,1.0
2024-07-23,102.52,104.45,101.02,104.23,104.23,149609,0.0,1.0
2024-07-22,104.16,104.75,101.795,103.86,103.86,126972,0.0,1.0
2024-07-19,102.44,105.035,102.21,103.77,103.77,202117,0.0,1.0
2024-07-18,105.96,112.27,102.32,102.55,102.55,360807,0.0,1.0
2024-07-17,106.05,108.95,105.65,106.05,106.05,275040,0.0,1.0
2024-07-16,101.4,108.26,100.16,107.23,107.23,456478,0.0,1.0
2024-07-15,101.22,102.17,99.5,99.72,99.72,235674,0.0,1.0
2024-07-12,101.25,103.0083,100.6301,100.89,100.89,286616,0.0,1.0
2024-07-11,92.58,100.29,92.58,99.95,99.95,426365,0.0,1.0
2024-07-10,86.2,88.91,86.2,88.66,88.66,263649,0.0,1.0
2024-07-09,87.63,87.63,85.8135,85.84,85.84,264982,0.0,1.0
2024-07-08,85.72,87.06,84.98,86.98,86.98,234202,0.0,1.0
2024-07-05,87.5,88.09,84.0,84.66,84.66,366678,0.0,1.0
2024-07-03,89.66,90.82,88.32,88.32,88.32,198270,0.0,1.0
2024-07-02,88.35,89.32,87.88,88.99,88.99,397419,0.0,1.0
2024-07-01,89.5,90.43,87.47,88.81,88.81,326456,0.0,1.0
2024-06-28,90.05,91.14,88.245,89.49,89.49,430880,0.0,1.0
2024-06-27,88.64,89.22,87.6818,89.16,89.16,116194,0.0,1.0
2024-06-26,87.87,89.415,87.77,88.61,88.61,153508,0.0,1.0
2024-06-25,91.23,91.23,87.75,88.09,88.09,222687,0.0,1.0
2024-06-24,90.64,92.41,89.17,91.38,91.38,254971,0.0,1.0
2024-06-21,91.71,92.4,89.97,90.03,90.03,670378,0.0,1.0
2024-06-20,92.47,94.43,90.79,91.57,91.57,190405,0.0,1.0
2024-06-18,94.2,95.62,91.88,91.93,91.93,239547,0.0,1.0
2024-06-17,93.58,95.3,92.7832,94.86,94.86,131192,0.0,1.0
2024-06-14,92.33,93.78,92.25,93.63,93.63,168714,0.0,1.0
2024-06-13,95.08,96.035,92.3,94.39,94.39,251220,0.0,1.0
2024-06-12,96.53,100.66,94.8,95.91,95.91,342035,0.0,1.0
2024-06-11,91.73,92.17,90.67,91.37,91.37,188614,0.0,1.0
2024-06-10,91.84,93.39,91.84,93.0,93.0,162312,0.0,1.0
2024-06-07,94.11,94.72,92.7,93.01,93.01,138845,0.0,1.0
2024-06-06,96.9,97.21,95.83,95.99,95.99,184424,0.0,1.0
2024-06-05,96.95,97.66,95.6,96.88,96.88,228670,0.0,1.0
2024-06-04,97.56,97.96,95.49,95.94,95.94,237080,0.0,1.0
2024-06-03,98.14,98.61,96.65,98.0,98.0,211338,0.0,1.0
2024-05-31,96.23,97.33,94.56,96.0,96.0,301442,0.0,1.0
2024-05-30,94.79,96.265,94.79,95.5,95.5,212789,0.0,1.0
2024-05-29,93.4,94.88,92.24,93.65,93.65,273078,0.0,1.0
2024-05-28,96.2,96.4,94.31,95.0,95.0,248796,0.0,1.0
2024-05-24,95.65,96.23,94.055,94.9,94.9,140531,0.0,1.0
2024-05-23,98.58,98.7,94.18,94.62,94.62,147287,0.0,1.0
2024-05-22,100.0,100.0,96.9,97.5,97.5,136088,0.0,1.0
2024-05-21,103.11,103.11,99.405,100.14,100.14,142057,0.0,1.0
2024-05-20,104.01,105.205,103.045,103.23,103.23,143344,0.0,1.0
2024-05-17,105.44,105.505,103.92,104.63,104.63,110171,0.0,1.0
2024-05-16,106.38,107.55,105.07,105.24,105.24,180008,0.0,1.0
2024-05-15,103.92,107.535,103.5,107.23,107.23,168361,0.0,1.0
2024-05-14,102.08,102.21,100.86,101.45,101.45,155693,0.0,1.0
2024-05-13,100.62,102.37,100.1,100.45,100.45,192263,0.0,1.0
2024-05-10,99.75,99.99,98.81,99.39,99.39,151347,0.0,1.0
2024-05-09,97.7,99.77,97.7,99.42,99.42,153916,0.0,1.0
2024-05-08,96.74,98.39,96.64,98.02,98.02,160416,0.0,1.0
2024-05-07,98.42,99.23,98.0,98.25,98.25,179635,0.0,1.0
2024-05-06,97.88,99.18,96.75,97.69,97.69,234860,0.0,1.0
2024-05-03,95.36,99.35,95.36,96.73,96.73,299554,0.0,1.0
2024-05-02,90.18,92.42,87.47,92.29,92.29,425213,0.0,1.0
2024-05-01,90.23,93.005,88.56,89.45,89.45,301477,0.0,1.0
2024-04-30,94.51,98.92,89.73,89.93,89.93,490684,0.0,1.0
2024-04-29,96.67,97.4,95.295,96.04,96.04,345357,0.0,1.0
2024-04-26,95.42,96.7,95.34,95.85,95.85,253969,0.0,1.0
2024-04-25,94.5,95.2,92.09,94.88,94.88,151517,0.0,1.0
2024-04-24,95.36,96.93,94.53,95.87,95.87,180255,0.0,1.0
2024-04-23,94.86,96.91,94.64,96.18,96.18,263212,0.0,1.0
2024-04-22,93.79,94.31,92.585,93.92,93.92,172045,0.0,1.0
2024-04-19,93.2,96.0,92.15,93.38,93.38,295707,0.0,1.0
2024-04-18,93.94,96.25,92.77,93.43,93.43,312080,0.0,1.0
2024-04-17,96.26,96.26,92.46,92.62,92.62,328936,0.0,1.0
2024-04-16,95.5,96.06,93.1358,95.13,95.13,316181,0.0,1.0
2024-04-15,98.62,99.34,96.08,96.56,96.56,244660,0.0,1.0
2024-04-12,99.39,100.435,97.67,98.355,98.355,180810,0.0,1.0
2024-04-11,98.91,100.45,98.65,99.47,99.47,269634,0.0,1.0
2024-04-10,98.27,98.35,96.68,97.62,97.62,237266,0.0,1.0
2024-04-09,101.95,102.7,100.74,102.05,102.05,195594,0.0,1.0
2024-04-08,99.17,102.46,98.37,100.6,100.6,322104,0.0,1.0
2024-04-05,101.6,102.155,98.37,98.8,98.8,285267,0.0,1.0
2024-04-04,109.67,110.2875,99.54,100.99,100.99,337011,0.0,1.0
2024-04-03,103.92,108.245,103.84,107.07,107.07,144794,0.0,1.0
2024-04-02,110.08,110.08,105.05,105.36,105.36,338187,0.0,1.0
2024-04-01,117.31,117.31,113.54,114.44,114.44,124978,0.0,1.0
2024-03-28,114.28,118.25,114.28,116.37,116.37,216616,0.0,1.0
2024-03-27,112.5,114.25,112.5,114.2,114.2,191143,0.0,1.0
2024-03-26,113.49,114.46,112.46,112.66,112.66,131194,0.0,1.0
2024-03-25,114.26,114.84,112.39,112.39,112.39,115234,0.0,1.0
2024-03-22,112.59,114.365,111.82,113.85,113.85,172096,0.0,1.0
2024-03-21,114.49,115.82,112.56,112.71,112.71,180148,0.0,1.0
2024-03-20,109.7,114.55,109.625,113.78,113.78,217238,0.0,1.0
2024-03-19,106.27,109.91,106.27,109.7,109.7,171374,0.0,1.0
2024-03-18,108.35,108.95,105.6,106.69,106.69,170578,0.0,1.0
2024-03-15,107.88,109.15,106.57,106.99,106.99,405261,0.0,1.0
2024-03-14,112.01,113.033,106.92,108.32,108.32,197760,0.0,1.0
2024-03-13,111.9,114.285,111.9,112.84,112.84,126942,0.0,1.0
2024-03-12,113.9,114.1125,111.65,112.66,112.66,98310,0.0,1.0
2024-03-11,111.6,113.2,110.4,112.98,112.98,307511,0.0,1.0
2024-03-08,115.81,116.22,111.78,111.94,111.94,180546,0.0,1.0
2024-03-07,113.25,115.48,113.005,113.75,113.75,186449,0.0,1.0
2024-03-06,111.29,113.01,109.5,111.51,111.51,136248,0.0,1.0
2024-03-05,110.79,113.39,108.76,109.22,109.22,163294,0.0,1.0
2024-03-04,115.59,116.08,111.52,111.95,111.95,147185,0.0,1.0
2024-03-01,114.94,116.38,112.75,115.0,115.0,170183,0.0,1.0
2024-02-29,112.65,116.93,111.99,114.09,114.09,374567,0.0,1.0
2024-02-28,109.79,112.015,109.0,110.87,110.87,162103,0.0,1.0
2024-02-27,113.76,113.825,110.33,111.27,111.27,123678,0.0,1.0
2024-02-26,113.01,114.06,112.79,112.87,112.87,203898,0.0,1.0
2024-02-23,114.22,116.1224,113.34,113.4,113.4,141318,0.0,1.0
2024-02-22,115.5,116.43,112.31,113.37,113.37,263216,0.0,1.0
2024-02-21,114.87,118.38,113.26,114.57,114.57,417950,0.0,1.0
2024-02-20,115.09,118.18,114.33,116.34,116.34,455279,0.0,1.0
2024-02-16,129.06,129.92,126.67,126.94,126.94,191331,0.0,1.0
2024-02-15,128.78,130.75,128.1,130.6,130.6,220609,0.0,1.0
2024-02-14,125.12,128.31,123.7188,127.65,127.65,245557,0.0,1.0
2024-02-13,122.44,123.2541,119.085,122.5,122.5,282748,0.0,1.0
2024-02-12,122.05,129.988,120.79,128.73,128.73,270733,0.0,1.0
2024-02-09,119.58,121.16,117.99,120.79,120.79,97524,0.0,1.0
2024-02-08,116.88,119.13,115.8,118.96,118.96,148409,0.0,1.0
2024-02-07,116.18,118.39,116.02,116.47,116.47,121302,0.0,1.0
2024-02-06,118.0,119.96,113.1,115.76,115.76,258054,0.0,1.0
2024-02-05,117.58,119.55,116.32,118.51,118.51,106717,0.0,1.0
2024-02-02,118.64,122.08,117.22,120.24,120.24,108111,0.0,1.0
2024-02-01,119.44,122.04,117.46,121.9,121.9,167015,0.0,1.0
2024-01-31,120.57,122.82,117.95,118.01,118.01,183297,0.0,1.0
2024-01-30,119.17,121.54,119.17,120.4,120.4,104444,0.0,1.0
2024-01-29,117.11,120.22,116.93,120.01,120.01,106411,0.0,1.0
2024-01-26,118.84,119.23,116.805,117.14,117.14,92416,0.0,1.0
2024-01-25,118.16,119.42,116.12,117.69,117.69,121486,0.0,1.0
2024-01-24,120.19,120.26,114.91,115.82,115.82,143824,0.0,1.0
2024-01-23,125.21,125.21,117.72,117.8,117.8,235786,0.0,1.0
2024-01-22,127.48,129.36,125.65,126.47,126.47,174718,0.0,1.0
2024-01-19,125.31,125.31,122.13,124.7,124.7,95092,0.0,1.0
2024-01-18,122.78,125.165,122.78,124.21,124.21,270211,0.0,1.0
2024-01-17,119.35,121.17,119.35,120.95,120.95,135764,0.0,1.0
2024-01-16,122.18,122.87,120.53,121.53,121.53,124573,0.0,1.0
2024-01-12,127.81,127.81,123.15,124.17,124.17,96814,0.0,1.0
2024-01-11,127.49,128.34,124.335,125.96,125.96,144995,0.0,1.0
2024-01-10,125.72,128.66,125.72,128.65,128.65,157713,0.0,1.0
2024-01-09,125.35,127.8,125.175,125.64,125.64,166152,0.0,1.0
2024-01-08,125.51,128.61,125.51,127.81,127.81,158071,0.0,1.0
2024-01-05,123.78,127.5938,123.73,125.43,125.43,165005,0.0,1.0
2024-01-04,125.82,127.64,125.43,125.43,125.43,100609,0.0,1.0
2024-01-03,129.0,129.0,125.54,125.72,125.72,150731,0.0,1.0
2024-01-02,131.12,132.23,129.2,131.12,131.12,142723,0.0,1.0
2023-12-29,133.97,135.24,133.03,133.16,133.16,107042,0.0,1.0
2023-12-28,134.92,136.36,134.77,135.0,135.0,81365,0.0,1.0
2023-12-27,134.46,136.89,134.42,135.66,135.66,117341,0.0,1.0
2023-12-26,133.27,135.37,132.47,134.5,134.5,96545,0.0,1.0
2023-12-22,134.01,134.01,131.97,132.16,132.16,132437,0.0,1.0
2023-12-21,132.02,133.0218,130.49,132.74,132.74,165591,0.0,1.0
2023-12-20,128.81,132.98,128.265,129.28,129.28,216598,0.0,1.0
2023-12-19,126.83,129.91,125.41,128.55,128.55,145287,0.0,1.0
2023-12-18,127.07,127.13,124.0,125.95,125.95,165725,0.0,1.0
2023-12-15,132.9,133.215,126.43,127.0,127.0,635609,0.0,1.0
2023-12-14,126.56,134.29,126.56,133.09,133.09,371293,0.0,1.0
2023-12-13,114.46,124.4,111.455,124.21,124.21,1086382,0.0,1.0
2023-12-12,118.23,118.5,113.93,113.99,113.99,220640,0.0,1.0
2023-12-11,119.62,120.89,117.11,117.93,117.93,174861,0.0,1.0
2023-12-08,120.04,121.43,119.6,119.97,119.97,360905,0.0,1.0
2023-12-07,121.34,121.34,118.5,119.5,119.5,408322,0.0,1.0
2023-12-06,122.44,125.63,120.43,120.64,120.64,238961,0.0,1.0
2023-12-05,122.66,122.66,120.05,120.5,120.5,103819,0.0,1.0
2023-12-04,120.61,124.01,120.61,122.73,122.73,174676,0.0,1.0
2023-12-01,117.78,121.56,117.78,121.48,121.48,257940,0.0,1.0
2023-11-30,119.44,119.44,117.42,118.07,118.07,127972,0.0,1.0
2023-11-29,120.59,121.323,118.505,119.25,119.25,175830,0.0,1.0
2023-11-28,117.97,119.4625,116.63,118.44,118.44,118630,0.0,1.0
2023-11-27,120.03,120.03,116.01,117.84,117.84,99401,0.0,1.0
2023-11-24,119.48,119.94,118.76,119.8,119.8,31985,0.0,1.0
2023-11-22,119.53,122.12,118.88,119.05,119.05,92707,0.0,1.0
2023-11-21,119.85,120.835,119.46,119.46,119.46,80385,0.0,1.0
2023-11-20,121.37,121.5,120.03,121.14,121.14,143203,0.0,1.0
2023-11-17,122.71,123.07,121.355,122.58,122.58,124118,0.0,1.0
2023-11-16,123.08,123.08,120.57,120.79,120.79,155404,0.0,1.0
2023-11-15,124.53,125.34,122.28,123.04,123.04,225065,0.0,1.0
2023-11-14,118.06,125.24,118.06,124.91,124.91,336531,0.0,1.0
2023-11-13,111.21,113.54,110.64,112.19,112.19,106369,0.0,1.0
2023-11-10,110.04,113.5,108.975,112.38,112.38,137880,0.0,1.0
2023-11-09,110.18,111.28,108.1236,109.17,109.17,200336,0.0,1.0
2023-11-08,110.64,111.6,108.98,109.76,109.76,208791,0.0,1.0
2023-11-07,109.0,111.68,109.0,110.6,110.6,126266,0.0,1.0
2023-11-06,109.81,109.935,106.53,109.25,109.25,218162,0.0,1.0
2023-11-03,109.56,114.77,109.56,111.13,111.13,282929,0.0,1.0
2023-11-02,102.25,106.935,102.25,106.6,106.6,373463,0.0,1.0
2023-11-01,94.08,100.22,91.46,100.05,100.05,315625,0.0,1.0
2023-10-31,91.28,95.425,90.04,94.51,94.51,344591,0.0,1.0
2023-10-30,88.75,90.4903,87.42,88.88,88.88,245712,0.0,1.0
2023-10-27,88.75,89.99,86.72,87.68,87.68,151784,0.0,1.0
2023-10-26,85.63,89.27,84.155,87.91,87.91,253596,0.0,1.0
2023-10-25,87.53,87.635,85.19,85.3,85.3,203861,0.0,1.0
2023-10-24,89.73,90.03,87.275,88.21,88.21,171813,0.0,1.0
2023-10-23,87.35,90.565,87.22,89.29,89.29,155478,0.0,1.0
2023-10-20,88.52,89.66,87.19,87.69,87.69,164261,0.0,1.0
2023-10-19,91.05,91.53,87.8322,88.21,88.21,201467,0.0,1.0
2023-10-18,93.0,93.1602,90.76,90.8,90.8,136892,0.0,1.0
2023-10-17,92.65,96.14,92.63,94.35,94.35,157686,0.0,1.0
2023-10-16,95.11,95.44,92.79,93.59,93.59,117872,0.0,1.0
2023-10-13,93.97,94.32,92.84,93.6,93.6,136039,0.0,1.0
2023-10-12,98.09,98.09,92.68,93.04,93.04,256183,0.0,1.0
2023-10-11,98.09,99.12,96.36,97.65,97.65,161610,0.0,1.0
2023-10-10,96.46,100.28,96.175,98.25,98.25,253855,0.0,1.0
2023-10-09,94.84,96.205,92.85,96.06,96.06,237831,0.0,1.0
2023-10-06,91.94,96.41,91.94,95.86,95.86,322881,0.0,1.0
2023-10-05,98.64,98.64,92.32,93.32,93.32,436434,0.0,1.0
2023-10-04,97.78,99.23,96.06,98.6,98.6,294512,0.0,1.0
2023-10-03,98.79,98.79,95.32,97.49,97.49,331314,0.0,1.0
2023-10-02,101.26,102.87,99.11,99.79,99.79,266982,0.0,1.0
2023-09-29,102.4,102.4,98.51,99.49,99.49,180500,0.0,1.0
2023-09-28,99.08,101.53,98.6106,100.93,100.93,145715,0.0,1.0
2023-09-27,101.1,101.53,98.74,99.34,99.34,174670,0.0,1.0
2023-09-26,101.83,103.41,99.315,99.82,99.82,195050,0.0,1.0
2023-09-25,103.0,103.28,101.38,102.34,102.34,203073,0.0,1.0
2023-09-22,104.54,104.8,101.6385,103.16,103.16,170085,0.0,1.0
2023-09-21,105.36,105.69,101.92,103.33,103.33,311528,0.0,1.0
2023-09-20,111.94,112.68,107.1,107.25,107.25,222485,0.0,1.0
2023-09-19,110.59,111.45,108.68,110.65,110.65,151373,0.0,1.0
2023-09-18,113.19,113.52,110.14,110.73,110.73,213510,0.0,1.0
2023-09-15,116.7,116.7,111.03,112.61,112.61,536140,0.0,1.0
2023-09-14,116.87,118.0,115.26,117.51,117.51,125411,0.0,1.0
2023-09-13,118.05,118.17,113.81,116.0,116.0,147347,0.0,1.0
2023-09-12,120.66,121.77,116.695,117.52,117.52,100434,0.0,1.0
2023-09-11,119.88,122.7294,119.63,120.44,120.44,108207,0.0,1.0
2023-09-08,121.69,123.9371,119.11,119.6,119.6,120580,0.0,1.0
2023-09-07,119.3,121.97,118.04,121.06,121.06,184792,0.0,1.0
2023-09-06,117.75,119.98,116.01,119.44,119.44,160040,0.0,1.0
2023-09-05,124.09,124.72,116.15,116.98,116.98,225856,0.0,1.0
2023-09-01,124.39,126.29,122.81,125.71,125.71,105287,0.0,1.0
2023-08-31,124.32,125.355,122.59,123.1,123.1,111306,0.0,1.0
2023-08-30,119.68,125.12,119.06,124.14,124.14,137069,0.0,1.0
2023-08-29,116.5,120.54,115.77,119.73,119.73,88249,0.0,1.0
2023-08-28,117.42,117.46,115.63,116.89,116.89,109445,0.0,1.0
2023-08-25,117.58,117.8,113.64,115.9,115.9,138033,0.0,1.0
2023-08-24,118.25,119.29,116.98,117.22,117.22,118731,0.0,1.0
2023-08-23,116.55,119.125,115.87,118.39,118.39,193413,0.0,1.0
2023-08-22,116.51,117.42,115.22,116.49,116.49,127014,0.0,1.0
2023-08-21,118.0,118.165,114.855,115.63,115.63,158342,0.0,1.0
2023-08-18,117.34,120.14,117.2804,118.15,118.15,205149,0.0,1.0
2023-08-17,128.5,129.535,119.4,119.5,119.5,260765,0.0,1.0
2023-08-16,133.79,134.54,128.24,128.38,128.38,225807,0.0,1.0
2023-08-15,134.07,135.74,132.81,134.58,134.58,105307,0.0,1.0
2023-08-14,132.11,134.3,131.14,134.28,134.28,102961,0.0,1.0
2023-08-11,131.9,134.57,131.9,133.06,133.06,104310,0.0,1.0
2023-08-10,137.02,138.8,132.5,132.89,132.89,112075,0.0,1.0
2023-08-09,136.18,137.21,133.777,135.94,135.94,99244,0.0,1.0
2023-08-08,136.25,137.8989,134.34,136.75,136.75,101968,0.0,1.0
2023-08-07,134.7,139.03,134.335,137.67,137.67,188027,0.0,1.0
2023-08-04,130.47,135.6,130.04,134.69,134.69,147125,0.0,1.0
2023-08-03,138.36,138.58,125.69,130.33,130.33,409363,0.0,1.0
2023-08-02,138.01,139.735,132.52,139.6,139.6,226680,0.0,1.0
2023-08-01,136.46,140.275,133.51,137.72,137.72,278621,0.0,1.0
2023-07-31,137.47,138.89,134.49,138.75,138.75,250982,0.0,1.0
2023-07-28,133.24,137.4,133.24,136.88,136.88,158415,0.0,1.0
2023-07-27,135.4,136.21,131.84,132.01,132.01,132680,0.0,1.0
2023-07-26,135.99,137.61,133.19,134.02,134.02,182489,0.0,1.0
2023-07-25,135.43,138.225,135.43,136.75,136.75,135863,0.0,1.0
2023-07-24,134.65,136.4,133.38,136.23,136.23,117907,0.0,1.0
2023-07-21,137.83,137.83,134.195,135.13,135.13,155535,0.0,1.0
2023-07-20,141.91,141.91,134.2,136.61,136.61,238068,0.0,1.0
2023-07-19,139.0,141.51,135.59,140.79,140.79,260814,0.0,1.0
2023-07-18,139.5,141.1664,138.5,139.11,139.11,100496,0.0,1.0
2023-07-17,137.1,139.36,136.49,138.93,138.93,132971,0.0,1.0
2023-07-14,135.41,137.86,134.31,137.78,137.78,162524,0.0,1.0
2023-07-13,134.78,136.22,133.52,134.67,134.67,220034,0.0,1.0
2023-07-12,131.18,134.26,129.84,133.79,133.79,176616,0.0,1.0
2023-07-11,129.9,131.66,128.17,128.43,128.43,343980,0.0,1.0
2023-07-10,124.18,129.73,124.18,129.71,129.71,269913,0.0,1.0
2023-07-07,121.52,124.25,121.52,123.42,123.42,140736,0.0,1.0
2023-07-06,126.0,126.0,120.4,121.37,121.37,241280,0.0,1.0
2023-07-05,132.13,132.22,128.005,128.53,128.53,176932,0.0,1.0
2023-07-03,134.91,135.49,130.39,132.27,132.27,74569,0.0,1.0
2023-06-30,132.7,135.41,131.6875,134.89,134.89,185382,0.0,1.0
2023-06-29,131.75,131.89,129.58,131.56,131.56,178380,0.0,1.0
2023-06-28,132.25,133.5,131.055,131.74,131.74,122030,0.0,1.0
2023-06-27,128.71,135.0,128.71,132.71,132.71,194313,0.0,1.0
2023-06-26,128.83,131.41,127.06,128.24,128.24,199724,0.0,1.0
2023-06-23,127.76,129.8,126.83,128.78,128.78,250249,0.0,1.0
2023-06-22,129.06,130.39,128.24,129.58,129.58,184416,0.0,1.0
2023-06-21,130.51,131.9,129.33,130.41,130.41,237621,0.0,1.0
2023-06-20,129.74,132.875,129.41,131.02,131.02,205373,0.0,1.0
2023-06-16,132.37,132.53,129.38,130.57,130.57,320123,0.0,1.0
2023-06-15,129.42,132.165,128.69,131.93,131.93,185190,0.0,1.0
2023-06-14,134.5,134.5,128.03,129.06,129.06,357642,0.0,1.0
2023-06-13,132.04,134.53,131.6,132.9,132.9,144347,0.0,1.0
2023-06-12,128.63,132.73,127.69,132.2,132.2,150751,0.0,1.0
2023-06-09,129.0,130.74,127.565,128.78,128.78,174103,0.0,1.0
2023-06-08,129.97,132.11,128.9,129.22,129.22,190387,0.0,1.0
2023-06-07,128.57,132.37,127.39,130.28,130.28,290988,0.0,1.0
2023-06-06,118.65,128.08,118.08,128.01,128.01,199240,0.0,1.0
2023-06-05,119.8,119.965,116.5009,119.26,119.26,118278,0.0,1.0
2023-06-02,115.83,121.69,115.49,121.57,121.57,237043,0.0,1.0
2023-06-01,113.6,115.73,113.6,114.84,114.84,109763,0.0,1.0
2023-05-31,116.3,116.395,112.75,113.77,113.77,211111,0.0,1.0
2023-05-30,116.27,117.78,115.98,117.36,117.36,81661,0.0,1.0
2023-05-26,115.32,116.18,112.71,115.79,115.79,141191,0.0,1.0
2023-05-25,115.37,117.71,115.36,115.62,115.62,127705,0.0,1.0
2023-05-24,114.2,115.91,114.16,115.19,115.19,158592,0.0,1.0
2023-05-23,117.59,118.95,114.41,115.05,115.05,206293,0.0,1.0
2023-05-22,121.29,122.32,118.25,119.04,119.04,169221,0.0,1.0
2023-05-19,124.74,124.74,119.62,121.7,121.7,128450,0.0,1.0
2023-05-18,122.53,124.62,121.45,124.04,124.04,187983,0.0,1.0
2023-05-17,120.3,122.49,119.265,122.39,122.39,149320,0.0,1.0
2023-05-16,118.39,120.14,115.905,119.86,119.86,130009,0.0,1.0
2023-05-15,117.82,119.72,116.96,118.915,118.915,135106,0.0,1.0
2023-05-12,120.0,120.71,116.44,117.82,117.82,188286,0.0,1.0
2023-05-11,116.57,119.58,116.405,119.43,119.43,177613,0.0,1.0
2023-05-10,117.36,117.36,115.19,116.78,116.78,129810,0.0,1.0
2023-05-09,114.87,117.1,114.86,115.51,115.51,149964,0.0,1.0
2023-05-08,114.51,116.485,114.0313,116.27,116.27,106773,0.0,1.0
2023-05-05,115.85,116.25,112.8,115.5,115.5,117062,0.0,1.0
2023-05-04,116.45,117.33,112.04,114.16,114.16,195848,0.0,1.0
2023-05-03,115.18,119.3499,115.18,116.67,116.67,249700,0.0,1.0
2023-05-02,116.61,116.61,108.745,115.17,115.17,433687,0.0,1.0
2023-05-01,118.14,119.765,116.64,118.55,118.55,238188,0.0,1.0
2023-04-28,114.48,120.105,114.48,118.8,118.8,231360,0.0,1.0
