,NCI_Open,NCI_High,NCI_Low,NCI_Close,NCI_Adj Close,NCI_Volume,NCI_Dividend Amount,NCI_Split Coefficient
2024-08-08,0.4598,0.4779,0.425,0.438,0.438,67024,0.0,1.0
2024-08-07,0.5,0.505,0.45,0.4597,0.4597,42059,0.0,1.0
2024-08-06,0.4988,0.51,0.452749,0.4761,0.4761,37362,0.0,1.0
2024-08-05,0.47,0.499999,0.3501,0.461,0.461,52928,0.0,1.0
2024-08-02,0.506,0.539399,0.48,0.4837,0.4837,26480,0.0,1.0
2024-08-01,0.486,0.51,0.486,0.4948,0.4948,40085,0.0,1.0
2024-07-31,0.53,0.5499,0.48,0.491,0.491,150650,0.0,1.0
2024-07-30,0.5181,0.55,0.5102,0.5165,0.5165,43203,0.0,1.0
2024-07-29,0.58,0.58,0.511,0.5343,0.5343,44765,0.0,1.0
2024-07-26,0.553,0.5805,0.553,0.553001,0.553001,31827,0.0,1.0
2024-07-25,0.5775,0.585,0.551,0.56,0.56,58680,0.0,1.0
2024-07-24,0.575,0.6,0.57,0.5788,0.5788,35561,0.0,1.0
2024-07-23,0.5931,0.61,0.5764,0.585251,0.585251,64144,0.0,1.0
2024-07-22,0.6016,0.628,0.6,0.6077,0.6077,34619,0.0,1.0
2024-07-19,0.6661,0.6661,0.6056,0.6056,0.6056,27488,0.0,1.0
2024-07-18,0.6241,0.65,0.6,0.627573,0.627573,48331,0.0,1.0
2024-07-17,0.64,0.6573,0.601,0.6241,0.6241,41619,0.0,1.0
2024-07-16,0.66,0.66,0.64,0.658,0.658,25817,0.0,1.0
2024-07-15,0.6251,0.66,0.6251,0.658,0.658,29874,0.0,1.0
2024-07-12,0.668,0.668,0.63,0.6488,0.6488,113997,0.0,1.0
2024-07-11,0.6601,0.67,0.6301,0.668,0.668,19375,0.0,1.0
2024-07-10,0.634,0.683,0.63,0.68,0.68,78807,0.0,1.0
2024-07-09,0.631,0.67,0.63,0.641,0.641,20688,0.0,1.0
2024-07-08,0.654,0.654,0.622,0.65,0.65,32430,0.0,1.0
2024-07-05,0.62,0.670101,0.608,0.622,0.622,43716,0.0,1.0
2024-07-03,0.609,0.626,0.5982,0.6078,0.6078,34993,0.0,1.0
2024-07-02,0.6,0.625,0.59,0.601,0.601,73760,0.0,1.0
2024-07-01,0.64,0.6624,0.6,0.601,0.601,44542,0.0,1.0
2024-06-28,0.687,0.7,0.6216,0.6301,0.6301,185385,0.0,1.0
2024-06-27,0.6704,0.6835,0.665,0.668,0.668,37798,0.0,1.0
2024-06-26,0.699,0.7,0.6605,0.6705,0.6705,77098,0.0,1.0
2024-06-25,0.732,0.732,0.68,0.7,0.7,50903,0.0,1.0
2024-06-24,0.731,0.74,0.7,0.7344,0.7344,99503,0.0,1.0
2024-06-21,0.71,0.7245,0.7001,0.7227,0.7227,70096,0.0,1.0
2024-06-20,0.73,0.7496,0.7006,0.719,0.719,136616,0.0,1.0
2024-06-18,0.7662,0.781,0.7,0.73,0.73,296120,0.0,1.0
2024-06-17,0.7558,0.911,0.75,0.8061,0.8061,864501,0.0,1.0
2024-06-14,0.7102,0.875,0.709,0.821,0.821,1331562,0.0,1.0
2024-06-13,0.85,0.9,0.6954,0.885,0.885,28157794,0.0,1.0
2024-06-12,0.635,0.68,0.6346,0.6526,0.6526,276275,0.0,1.0
2024-06-11,0.711,0.75,0.57406,0.631,0.631,358545,0.0,1.0
2024-06-10,0.74,0.8,0.7005,0.7005,0.7005,192762,0.0,1.0
2024-06-07,0.7712,0.7734,0.72,0.729,0.729,474324,0.0,1.0
2024-06-06,0.72,0.85,0.72,0.795,0.795,500818,0.0,1.0
2024-06-05,0.706,0.7646,0.67,0.733801,0.733801,225495,0.0,1.0
2024-06-04,0.6741,0.691,0.6506,0.681,0.681,140600,0.0,1.0
2024-06-03,0.711,0.745,0.66,0.695,0.695,110494,0.0,1.0
2024-05-31,0.7998,0.8,0.7199,0.721,0.721,104762,0.0,1.0
2024-05-30,0.7644,0.8,0.7403,0.8,0.8,127496,0.0,1.0
2024-05-29,0.8098,0.86,0.7547,0.788,0.788,258757,0.0,1.0
2024-05-28,0.769,0.8,0.7501,0.79,0.79,122520,0.0,1.0
2024-05-24,0.849,0.85,0.76,0.773,0.773,312154,0.0,1.0
2024-05-23,0.92,0.95,0.8101,0.84,0.84,317055,0.0,1.0
2024-05-22,1.02,1.02,0.92,0.94,0.94,330257,0.0,1.0
2024-05-21,1.02,1.07,0.97,0.98,0.98,338913,0.0,1.0
2024-05-20,1.04,1.07,1.01,1.01,1.01,172945,0.0,1.0
2024-05-17,1.03,1.1,1.03,1.04,1.04,267642,0.0,1.0
2024-05-16,1.05,1.09,1.02,1.02,1.02,381361,0.0,1.0
2024-05-15,1.08,1.14,1.0398,1.05,1.05,281974,0.0,1.0
2024-05-14,1.18,1.22,1.09,1.09,1.09,604625,0.0,1.0
2024-05-13,1.1238,1.27,1.11,1.175,1.175,652396,0.0,1.0
2024-05-10,1.03,1.13,1.02,1.13,1.13,393757,0.0,1.0
2024-05-09,1.02,1.15,0.9505,1.15,1.15,760539,0.0,1.0
2024-05-08,1.08,1.22,1.04,1.11,1.11,5895932,0.0,1.0
2024-05-07,1.0,1.03,0.925,0.983,0.983,4011144,0.0,1.0
2024-05-06,1.04,1.09,1.02,1.05,1.05,437096,0.0,1.0
2024-05-03,1.2,1.21,1.04,1.09,1.09,598301,0.0,1.0
2024-05-02,1.2,1.24,1.16,1.17,1.17,430092,0.0,1.0
2024-05-01,1.19,1.32,1.12,1.25,1.25,779316,0.0,1.0
2024-04-30,1.3,1.34,1.21,1.27,1.27,1086338,0.0,1.0
2024-04-29,1.9,1.9,1.35,1.45,1.45,1232331,0.0,1.0
2024-04-26,2.11,2.19,1.81,1.88,1.88,1650021,0.0,1.0
2024-04-25,2.5,3.35,2.0693,2.36,2.36,8935994,0.0,1.0
2024-04-24,8.18,9.3561,2.0726,2.34,2.34,7768260,0.0,1.0
2024-04-23,4.35,11.39,3.84,9.5,9.5,7022933,0.0,1.0
