,CMP_Open,CMP_High,CMP_Low,CMP_Close,CMP_Adj Close,CMP_Volume,CMP_Dividend Amount,CMP_Split Coefficient
2024-08-30,9.27,9.345,8.68,8.83,8.83,998485,0.0,1.0
2024-08-29,9.03,9.3,8.92,9.2,9.2,665026,0.0,1.0
2024-08-28,9.0,9.1,8.72,8.98,8.98,602731,0.0,1.0
2024-08-27,9.18,9.25,8.96,9.05,9.05,975556,0.0,1.0
2024-08-26,9.32,9.34,9.13,9.24,9.24,935615,0.0,1.0
2024-08-23,9.4,9.54,9.2,9.25,9.25,807493,0.0,1.0
2024-08-22,9.54,9.55,9.3,9.35,9.35,971990,0.0,1.0
2024-08-21,9.64,9.77,9.41,9.61,9.61,953040,0.0,1.0
2024-08-20,9.75,9.75,9.39,9.49,9.49,613435,0.0,1.0
2024-08-19,9.75,9.88,9.55,9.75,9.75,768967,0.0,1.0
2024-08-16,9.76,9.855,9.64,9.74,9.74,658404,0.0,1.0
2024-08-15,10.03,10.29,9.76,9.83,9.83,955910,0.0,1.0
2024-08-14,10.35,10.35,9.33,9.69,9.69,945133,0.0,1.0
2024-08-13,10.16,10.37,10.025,10.3,10.3,512798,0.0,1.0
2024-08-12,10.98,10.99,10.04,10.15,10.15,771466,0.0,1.0
2024-08-09,10.94,10.94,10.56,10.8,10.8,442441,0.0,1.0
2024-08-08,11.47,11.47,10.83,10.88,10.88,586664,0.0,1.0
2024-08-07,11.63,11.815,11.2,11.25,11.25,537171,0.0,1.0
2024-08-06,11.06,11.68,11.04,11.29,11.29,584040,0.0,1.0
2024-08-05,11.32,11.39,10.69,11.05,11.05,741282,0.0,1.0
2024-08-02,12.05,12.1,11.35,11.72,11.72,1041067,0.0,1.0
2024-08-01,13.28,13.44,12.38,12.47,12.47,907660,0.0,1.0
2024-07-31,13.0,13.525,12.59,13.3,13.3,1197454,0.0,1.0
2024-07-30,12.85,12.94,12.68,12.89,12.89,558615,0.0,1.0
2024-07-29,13.08,13.23,12.59,12.87,12.87,461889,0.0,1.0
2024-07-26,13.34,13.4171,12.78,13.07,13.07,575162,0.0,1.0
2024-07-25,12.27,13.29,12.16,12.99,12.99,496644,0.0,1.0
2024-07-24,12.45,12.87,12.2,12.25,12.25,510500,0.0,1.0
2024-07-23,12.19,12.445,12.01,12.43,12.43,331192,0.0,1.0
2024-07-22,12.48,12.57,11.87,12.31,12.31,355494,0.0,1.0
2024-07-19,12.56,12.58,12.1,12.31,12.31,480321,0.0,1.0
2024-07-18,12.85,13.32,12.52,12.62,12.62,616840,0.0,1.0
2024-07-17,12.25,13.23,11.89,13.05,13.05,913868,0.0,1.0
2024-07-16,11.54,12.39,11.5349,12.38,12.38,765674,0.0,1.0
2024-07-15,11.22,11.48,10.9,11.43,11.43,527580,0.0,1.0
2024-07-12,11.35,11.53,11.16,11.27,11.27,519627,0.0,1.0
2024-07-11,10.78,11.52,10.7301,11.19,11.19,747177,0.0,1.0
2024-07-10,10.51,10.74,10.31,10.44,10.44,533285,0.0,1.0
2024-07-09,10.11,10.6,9.99,10.44,10.44,662694,0.0,1.0
2024-07-08,10.09,10.44,10.065,10.23,10.23,686436,0.0,1.0
2024-07-05,10.41,10.56,9.76,10.05,10.05,929306,0.0,1.0
2024-07-03,9.83,10.51,9.7936,10.45,10.45,744942,0.0,1.0
2024-07-02,10.04,10.19,9.8,9.93,9.93,725328,0.0,1.0
2024-07-01,10.39,10.57,10.01,10.06,10.06,808707,0.0,1.0
2024-06-28,10.62,10.905,10.29,10.33,10.33,2497563,0.0,1.0
2024-06-27,11.27,11.38,10.57,10.59,10.59,797316,0.0,1.0
2024-06-26,11.22,11.57,11.0366,11.26,11.26,485353,0.0,1.0
2024-06-25,11.52,11.66,10.355,11.37,11.37,1838681,0.0,1.0
2024-06-24,11.85,12.2599,11.68,11.88,11.88,738590,0.0,1.0
2024-06-21,11.33,11.71,11.25,11.67,11.67,2471265,0.0,1.0
2024-06-20,11.06,11.41,10.95,11.34,11.34,543110,0.0,1.0
2024-06-18,11.2,11.38,10.88,11.08,11.08,973393,0.0,1.0
2024-06-17,11.25,11.335,10.95,11.19,11.19,731440,0.0,1.0
2024-06-14,11.9,11.97,11.5,11.51,11.51,601143,0.0,1.0
2024-06-13,12.23,12.33,11.97,12.06,12.06,541587,0.0,1.0
2024-06-12,12.49,12.95,12.07,12.25,12.25,705371,0.0,1.0
2024-06-11,12.22,12.36,11.6401,12.08,12.08,875284,0.0,1.0
2024-06-10,13.16,13.16,12.04,12.48,12.48,1119300,0.0,1.0
2024-06-07,13.24,13.52,12.49,13.38,13.38,748717,0.0,1.0
2024-06-06,13.53,13.83,13.4794,13.59,13.59,517489,0.0,1.0
2024-06-05,13.67,13.79,13.51,13.62,13.62,462701,0.0,1.0
2024-06-04,12.99,13.69,12.9,13.63,13.63,784065,0.0,1.0
2024-06-03,13.11,13.305,12.91,13.21,13.21,464562,0.0,1.0
2024-05-31,12.46,13.0,12.44,12.96,12.96,619960,0.0,1.0
2024-05-30,12.29,12.58,12.28,12.39,12.39,492481,0.0,1.0
2024-05-29,12.35,12.5,12.26,12.3,12.3,482840,0.0,1.0
2024-05-28,12.67,12.96,12.51,12.57,12.57,431833,0.0,1.0
2024-05-24,12.56,12.9,12.455,12.52,12.52,365703,0.0,1.0
2024-05-23,13.06,13.06,12.4,12.46,12.46,514089,0.0,1.0
2024-05-22,13.24,13.32,12.82,13.01,13.01,376914,0.0,1.0
2024-05-21,13.08,13.32,12.89,13.29,13.29,342358,0.0,1.0
2024-05-20,13.18,13.32,12.85,13.21,13.21,566324,0.0,1.0
2024-05-17,12.67,13.38,12.49,13.15,13.15,527004,0.0,1.0
2024-05-16,12.46,12.73,12.37,12.68,12.68,468322,0.0,1.0
2024-05-15,12.92,12.92,12.32,12.53,12.53,550585,0.0,1.0
2024-05-14,12.77,13.23,12.51,12.67,12.67,569516,0.0,1.0
2024-05-13,12.44,12.74,12.08,12.48,12.48,737983,0.0,1.0
2024-05-10,12.97,12.97,12.27,12.39,12.39,910709,0.0,1.0
2024-05-09,13.44,13.46,12.31,12.74,12.74,912636,0.0,1.0
2024-05-08,12.64,13.58,12.04,13.46,13.46,1410776,0.0,1.0
2024-05-07,13.2,13.8,13.2,13.36,13.36,706647,0.0,1.0
2024-05-06,12.94,13.32,12.7959,13.2,13.2,657845,0.0,1.0
2024-05-03,13.1,13.365,12.41,12.75,12.75,715854,0.0,1.0
2024-05-02,12.25,12.8,12.02,12.71,12.71,984278,0.0,1.0
2024-05-01,12.51,12.7695,12.08,12.15,12.15,536408,0.0,1.0
2024-04-30,13.04,13.1,12.44,12.45,12.45,655463,0.0,1.0
2024-04-29,13.15,13.675,13.11,13.34,13.34,587396,0.0,1.0
2024-04-26,13.73,13.85,12.96,13.04,13.04,954685,0.0,1.0
2024-04-25,12.52,12.71,11.85,12.62,12.62,709816,0.0,1.0
2024-04-24,13.18,13.27,12.76,12.78,12.78,780130,0.0,1.0
2024-04-23,13.12,13.57,13.02,13.21,13.21,610524,0.0,1.0
2024-04-22,13.34,13.5547,13.03,13.24,13.24,487577,0.0,1.0
2024-04-19,13.43,13.8767,13.4,13.46,13.46,398066,0.0,1.0
2024-04-18,13.38,13.885,13.17,13.6,13.6,401261,0.0,1.0
2024-04-17,13.7,13.97,13.31,13.33,13.33,419117,0.0,1.0
2024-04-16,13.54,13.68,13.1,13.6,13.6,512427,0.0,1.0
2024-04-15,14.37,14.54,13.62,13.72,13.72,528240,0.0,1.0
2024-04-12,14.5,15.07,14.11,14.3,14.3,488116,0.0,1.0
2024-04-11,14.19,14.54,13.92,14.48,14.48,492341,0.0,1.0
2024-04-10,14.26,14.265,13.78,14.03,14.03,721552,0.0,1.0
2024-04-09,13.94,14.87,13.9,14.85,14.85,671433,0.0,1.0
2024-04-08,14.49,14.64,13.54,13.96,13.96,939576,0.0,1.0
2024-04-05,14.21,14.43,14.09,14.26,14.26,421031,0.0,1.0
2024-04-04,14.35,14.55,14.09,14.29,14.29,507860,0.0,1.0
2024-04-03,14.41,14.75,14.1501,14.29,14.29,506704,0.0,1.0
2024-04-02,15.37,15.42,14.495,14.66,14.66,527123,0.0,1.0
2024-04-01,15.89,15.89,15.04,15.56,15.56,671919,0.0,1.0
2024-03-28,15.62,16.08,15.45,15.74,15.74,854920,0.0,1.0
2024-03-27,13.75,15.52,13.66,15.51,15.51,1597152,0.0,1.0
2024-03-26,14.61,14.695,13.6,13.69,13.69,1915349,0.0,1.0
2024-03-25,16.31,16.69,14.145,14.55,14.55,3829569,0.0,1.0
2024-03-22,17.5,17.69,17.31,17.55,17.55,430396,0.0,1.0
2024-03-21,17.81,17.99,17.25,17.8,17.8,611088,0.0,1.0
2024-03-20,17.25,18.055,17.17,17.64,17.64,887416,0.0,1.0
2024-03-19,17.78,18.155,17.31,17.38,17.38,1141605,0.0,1.0
2024-03-18,18.85,19.02,17.86,17.98,17.98,1066308,0.0,1.0
2024-03-15,19.09,19.86,18.77,18.8,18.8,1461530,0.0,1.0
2024-03-14,20.0,20.238,18.69,19.12,19.12,907937,0.0,1.0
2024-03-13,20.85,21.48,20.25,20.25,20.25,362803,0.0,1.0
2024-03-12,21.08,21.2,20.73,20.88,20.88,318900,0.0,1.0
2024-03-11,20.81,21.47,20.81,21.07,21.07,510200,0.0,1.0
2024-03-08,22.19,22.445,20.88,20.89,20.89,524939,0.15,1.0
2024-03-07,22.16,23.0,22.04,22.07,21.9126568441065,624459,0.0,1.0
2024-03-06,21.51,21.89,21.17,21.89,21.7339401140684,397269,0.0,1.0
2024-03-05,22.19,22.25,20.73,21.11,20.9595009505703,848010,0.0,1.0
2024-03-04,22.9,23.37,22.47,22.61,22.4488070342205,779967,0.0,1.0
2024-03-01,23.0,23.59,22.56,23.57,23.4019629277567,364444,0.0,1.0
2024-02-29,22.51,22.87,22.255,22.8,22.6374524714829,328183,0.0,1.0
2024-02-28,22.25,22.745,22.03,22.04,21.8828707224335,335154,0.0,1.0
2024-02-27,22.08,22.5498,22.025,22.43,22.2700903041825,303487,0.0,1.0
2024-02-26,21.86,22.35,21.54,21.79,21.6346530418251,261149,0.0,1.0
2024-02-23,21.12,22.17,20.94,22.04,21.8828707224335,274312,0.0,1.0
2024-02-22,21.47,21.58,21.05,21.13,20.979358365019,432860,0.0,1.0
2024-02-21,22.5,22.65,21.442,21.6,21.4460076045627,274791,0.0,1.0
2024-02-20,22.25,22.83,22.02,22.59,22.4289496197719,473052,0.0,1.0
2024-02-16,22.69,23.17,22.43,22.69,22.5282366920152,492581,0.0,1.0
2024-02-15,21.75,22.83,21.75,22.75,22.5878089353612,524467,0.0,1.0
2024-02-14,20.92,21.57,20.77,21.5,21.3467205323194,446455,0.0,1.0
2024-02-13,22.05,22.1349,20.582,20.68,20.532566539924,940118,0.0,1.0
2024-02-12,20.6,23.19,20.58,22.78,22.6175950570342,970950,0.0,1.0
2024-02-09,21.3,21.56,20.625,20.7,20.5524239543726,1080711,0.0,1.0
2024-02-08,21.15,21.91,19.0,21.25,21.098502851711,2045646,0.0,1.0
2024-02-07,22.54,22.795,22.39,22.56,22.3991634980989,503502,0.0,1.0
2024-02-06,22.12,23.04,22.12,22.43,22.2700903041825,577892,0.0,1.0
2024-02-05,22.53,22.71,22.1,22.28,22.1211596958175,511699,0.0,1.0
2024-02-02,22.62,23.16,22.395,23.01,22.8459553231939,372418,0.0,1.0
2024-02-01,22.6,23.13,22.37,22.97,22.8062404942966,598927,0.0,1.0
2024-01-31,23.52,23.705,22.45,22.49,22.3296625475285,639758,0.0,1.0
2024-01-30,23.58,23.99,23.38,23.5,23.3324619771863,779311,0.0,1.0
2024-01-29,22.99,23.77,22.78,23.73,23.560822243346,357224,0.0,1.0
2024-01-26,22.36,23.24,22.36,23.04,22.8757414448669,510507,0.0,1.0
2024-01-25,21.92,22.1,21.57,22.1,21.9424429657795,351485,0.0,1.0
2024-01-24,21.97,21.98,21.25,21.59,21.4360788973384,440301,0.0,1.0
2024-01-23,21.31,21.41,20.76,21.19,21.038930608365,418887,0.0,1.0
2024-01-22,21.05,21.3,20.7463,20.83,20.681497148289,693063,0.0,1.0
2024-01-19,21.02,21.29,20.33,21.16,21.009144486692,775569,0.0,1.0
2024-01-18,20.06,20.95,19.92,20.88,20.7311406844106,983058,0.0,1.0
2024-01-17,19.02,19.88,18.88,19.79,19.6489115969582,1007609,0.0,1.0
2024-01-16,20.05,20.2,19.2,19.47,19.3311929657795,723588,0.0,1.0
2024-01-12,20.3,20.67,20.02,20.45,20.3042062737643,469512,0.0,1.0
2024-01-11,20.44,20.44,19.9,19.99,19.8474857414449,526611,0.0,1.0
2024-01-10,20.35,20.8119,20.0,20.61,20.4630655893536,659738,0.0,1.0
2024-01-09,21.51,21.51,20.5,20.55,20.4034933460076,806959,0.0,1.0
2024-01-08,22.42,22.4781,21.58,21.84,21.6842965779468,811644,0.0,1.0
2024-01-05,23.0,23.2,22.395,22.54,22.3793060836502,626516,0.0,1.0
2024-01-04,24.22,24.4,23.3,23.3,23.1338878326996,607166,0.0,1.0
2024-01-03,24.3,25.02,23.91,24.1,23.9281844106464,901146,0.0,1.0
2024-01-02,25.12,25.52,24.78,24.91,24.7324096958175,474549,0.0,1.0
2023-12-29,25.95,26.0299,25.26,25.32,25.1394866920152,329801,0.0,1.0
2023-12-28,26.13,26.39,25.99,26.12,25.933783269962,280243,0.0,1.0
2023-12-27,26.7,26.79,26.24,26.32,26.1323574144487,235537,0.0,1.0
2023-12-26,26.4,26.9,26.1,26.69,26.4997195817491,320259,0.0,1.0
2023-12-22,26.59,26.94,26.23,26.37,26.1820009505703,308663,0.0,1.0
2023-12-21,26.32,26.595,26.02,26.44,26.2515019011407,510968,0.0,1.0
2023-12-20,26.23,26.8,25.78,25.9,25.7153517110266,473020,0.0,1.0
2023-12-19,26.72,27.1,25.67,26.35,26.1621435361217,618629,0.0,1.0
2023-12-18,26.26,26.82,26.0,26.44,26.2515019011407,526082,0.0,1.0
2023-12-15,25.94,26.305,25.7,26.16,25.9734980988593,1111802,0.0,1.0
2023-12-14,25.37,27.25,25.19,25.84,25.6557794676806,694025,0.0,1.0
2023-12-13,23.88,24.74,23.25,24.7,24.5239068441065,607968,0.0,1.0
2023-12-12,24.42,24.425,23.79,23.94,23.769325095057,377928,0.0,1.0
2023-12-11,24.44,24.81,24.3411,24.51,24.3352614068441,332436,0.0,1.0
2023-12-08,24.34,25.0,24.34,24.6,24.4246197718631,212490,0.15,1.0
2023-12-07,24.64,24.86,24.29,24.57,24.2469861735223,358151,0.0,1.0
2023-12-06,24.44,25.4533,24.1919,24.43,24.1088267081461,501411,0.0,1.0
2023-12-05,24.7,24.97,23.85,24.13,23.8127707109114,366737,0.0,1.0
2023-12-04,25.01,25.32,24.33,24.92,24.5923848369628,611454,0.0,1.0
2023-12-01,24.19,25.38,23.96,25.32,24.9871261666091,519563,0.0,1.0
2023-11-30,24.65,24.9,24.1,24.28,23.9607987095288,375758,0.0,1.0
2023-11-29,24.79,25.11,24.445,24.66,24.3358029726927,286445,0.0,1.0
2023-11-28,24.57,24.78,24.1,24.51,24.1877749740754,248096,0.0,1.0
2023-11-27,25.08,25.08,24.36,24.47,24.1483008411107,328043,0.0,1.0
2023-11-24,25.27,25.7,25.125,25.22,24.8884408341975,125770,0.0,1.0
2023-11-22,25.48,25.81,25.19,25.47,25.1351541652264,294868,0.0,1.0
2023-11-21,25.02,26.07,24.9,25.42,25.0858114990206,410347,0.0,1.0
2023-11-20,24.27,25.44,24.01,25.32,24.9871261666091,605639,0.0,1.0
2023-11-17,23.9,24.71,22.8,23.67,23.3588181818182,818514,0.0,1.0
2023-11-16,25.53,25.8478,24.64,24.69,24.3654085724162,393819,0.0,1.0
2023-11-15,25.26,26.23,25.26,25.85,25.5101584283904,251282,0.0,1.0
2023-11-14,24.59,25.535,24.59,25.18,24.8489667012329,484344,0.0,1.0
2023-11-13,23.82,24.02,23.3618,23.62,23.3094755156124,363938,0.0,1.0
2023-11-10,23.89,24.11,23.4,23.94,23.6252685793294,383936,0.0,1.0
2023-11-09,24.16,24.64,23.84,23.87,23.5561888466413,342285,0.0,1.0
2023-11-08,24.21,24.335,23.73,23.96,23.6450056458117,283871,0.0,1.0
2023-11-07,24.33,24.49,23.95,24.35,24.0298784422168,266202,0.0,1.0
2023-11-06,24.8,24.9974,24.35,24.6,24.2765917732458,388014,0.0,1.0
2023-11-03,24.85,25.82,24.75,24.87,24.543042170757,522224,0.0,1.0
2023-11-02,25.55,25.81,23.67,24.18,23.8621133771172,969644,0.0,1.0
2023-11-01,24.4,25.3,23.91,25.27,24.9377835004033,315196,0.0,1.0
2023-10-31,24.67,24.8799,24.26,24.64,24.3160659062104,459639,0.0,1.0
2023-10-30,24.81,25.14,24.21,24.61,24.2864603064869,362534,0.0,1.0
2023-10-27,24.58,24.62,23.95,24.44,24.1186952413873,342203,0.0,1.0
2023-10-26,24.3,24.9899,24.3,24.52,24.1976435073165,237641,0.0,1.0
2023-10-25,24.85,25.03,24.05,24.29,23.9706672427699,428382,0.0,1.0
2023-10-24,25.88,26.06,24.98,25.06,24.730544302339,266054,0.0,1.0
2023-10-23,26.51,26.8,25.77,25.77,25.4312101624611,441109,0.0,1.0
2023-10-20,27.01,27.15,26.72,26.78,26.427932019818,337592,0.0,1.0
2023-10-19,27.41,27.74,27.05,27.07,26.7141194838115,264571,0.0,1.0
2023-10-18,28.4,28.4,27.28,27.5,27.1384664131812,209494,0.0,1.0
2023-10-17,27.52,28.7,27.52,28.59,28.2141365364673,334299,0.0,1.0
2023-10-16,27.63,28.4,27.41,27.87,27.503602143104,293312,0.0,1.0
2023-10-13,27.45,27.49,26.93,27.27,26.9114901486346,250683,0.0,1.0
2023-10-12,27.66,27.66,26.84,27.3,26.9410957483581,240213,0.0,1.0
2023-10-11,27.39,27.6,27.07,27.57,27.2075461458693,167501,0.0,1.0
2023-10-10,27.26,27.76,27.2,27.33,26.9707013480816,223753,0.0,1.0
2023-10-09,26.68,27.52,26.59,27.21,26.8522789491877,324137,0.0,1.0
2023-10-06,26.16,27.05,26.02,26.9,26.5463544187118,226718,0.0,1.0
2023-10-05,26.5,26.77,25.8462,26.22,25.8752941583132,293354,0.0,1.0
2023-10-04,26.84,26.875,26.24,26.67,26.3193781541652,265912,0.0,1.0
2023-10-03,26.71,27.15,26.65,26.95,26.5956970849176,322677,0.0,1.0
2023-10-02,27.7,27.7,26.77,27.12,26.7634621500173,420726,0.0,1.0
2023-09-29,27.86,28.16,27.64,27.95,27.5825504090333,352460,0.0,1.0
2023-09-28,27.04,27.645,26.93,27.6,27.2371517455928,357629,0.0,1.0
2023-09-27,27.07,27.25,26.5,26.9,26.5463544187118,278841,0.0,1.0
2023-09-26,26.65,27.07,26.65,26.83,26.4772746860237,407741,0.0,1.0
2023-09-25,27.25,27.56,26.67,26.95,26.5956970849176,257914,0.0,1.0
2023-09-22,27.25,27.81,27.215,27.45,27.0891237469755,351704,0.0,1.0
2023-09-21,27.17,27.215,26.64,27.0,26.6450397511234,456005,0.0,1.0
2023-09-20,28.05,28.5,27.46,27.48,27.1187293466989,306140,0.0,1.0
2023-09-19,27.78,28.1,27.64,27.88,27.5134706763452,399109,0.0,1.0
2023-09-18,28.99,29.0,27.82,27.83,27.4641280101394,323944,0.0,1.0
2023-09-15,29.6,29.655,28.69,28.94,28.5595351999078,1083490,0.0,1.0
2023-09-14,29.48,29.97,29.41,29.58,29.1911213273419,299732,0.0,1.0
2023-09-13,29.2,29.5688,28.92,29.05,28.6680890655606,339281,0.0,1.0
2023-09-12,28.81,29.26,28.65,29.04,28.6582205323194,331386,0.0,1.0
2023-09-11,29.37,29.85,28.79,28.81,28.4312442677728,347016,0.0,1.0
2023-09-08,28.69,29.24,28.21,28.8,28.4213757345316,418918,0.15,1.0
2023-09-07,28.59,28.88,27.945,28.85,28.3232017250859,332430,0.0,1.0
2023-09-06,29.12,29.2,28.67,28.81,28.2839321213076,305282,0.0,1.0
2023-09-05,29.98,30.03,28.78,28.95,28.4213757345316,356227,0.0,1.0
2023-09-01,30.61,31.16,30.6,30.63,30.0706990932195,231097,0.0,1.0
2023-08-31,29.89,30.31,29.64,30.15,29.5994638478801,365175,0.0,1.0
2023-08-30,29.58,30.0057,29.53,29.79,29.2460374138756,248247,0.0,1.0
2023-08-29,29.32,29.64,28.99,29.53,28.9907849893167,384562,0.0,1.0
2023-08-28,29.28,29.985,29.28,29.49,28.9515153855384,221029,0.0,1.0
2023-08-25,29.32,29.48,28.86,29.28,28.7453499657025,197510,0.0,1.0
2023-08-24,29.45,29.51,28.905,29.25,28.7158977628687,268127,0.0,1.0
2023-08-23,29.85,29.85,29.3,29.61,29.0693241968733,260945,0.0,1.0
2023-08-22,30.01,30.22,29.3548,29.91,29.3638462252104,318327,0.0,1.0
2023-08-21,29.84,30.08,29.4,29.87,29.3245766214321,340965,0.0,1.0
2023-08-18,30.35,30.68,29.85,30.01,29.4620202346561,331477,0.0,1.0
2023-08-17,30.68,31.415,30.56,30.65,30.0903338951086,267743,0.0,1.0
2023-08-16,30.72,31.3931,30.52,30.68,30.1197860979423,384473,0.0,1.0
2023-08-15,32.56,32.56,30.62,30.65,30.0903338951086,726827,0.0,1.0
2023-08-14,33.5,33.5944,32.71,33.0,32.3974231170827,480287,0.0,1.0
2023-08-11,34.25,34.45,33.79,33.88,33.2613544002049,288124,0.0,1.0
2023-08-10,36.38,36.52,34.14,34.46,33.83076365499,378965,0.0,1.0
2023-08-09,39.24,39.24,34.58,36.51,35.8433308486269,522046,0.0,1.0
2023-08-08,38.0,38.92,37.77,38.71,38.0031590564325,175760,0.0,1.0
2023-08-07,39.1,39.32,37.89,38.5,37.7969936365965,240201,0.0,1.0
2023-08-04,38.94,39.78,38.63,39.03,38.3173158866587,303318,0.0,1.0
2023-08-03,38.33,39.04,37.82,38.95,38.2387766791021,204895,0.0,1.0
2023-08-02,38.27,38.87,37.77,38.48,37.7773588347073,291223,0.0,1.0
2023-08-01,37.88,38.96,37.64,38.75,38.0424286602107,458010,0.0,1.0
2023-07-31,38.19,38.5,37.74,37.87,37.1784973770885,246042,0.0,1.0
2023-07-28,37.64,38.34,37.63,37.97,37.2766713865342,308432,0.0,1.0
2023-07-27,37.09,37.8,36.73,37.34,36.6581751270263,333727,0.0,1.0
2023-07-26,36.35,37.36,36.35,37.13,36.4520097071903,227875,0.0,1.0
2023-07-25,35.81,36.67,35.735,36.52,35.8531482495715,192987,0.0,1.0
2023-07-24,35.34,35.75,34.87,35.68,35.0284865702276,255029,0.0,1.0
2023-07-21,36.07,36.07,34.705,35.24,34.5965209286665,212851,0.0,1.0
2023-07-20,36.71,36.73,35.88,35.91,35.2542867919527,237834,0.0,1.0
2023-07-19,35.45,36.62,35.45,36.47,35.8040612448487,262812,0.0,1.0
2023-07-18,35.72,36.4799,35.57,36.09,35.431000008955,378491,0.0,1.0
2023-07-17,33.84,35.66,33.705,35.42,34.7732341456688,353875,0.0,1.0
2023-07-14,33.51,33.7,32.785,33.11,32.505414527473,247216,0.0,1.0
2023-07-13,33.46,33.82,33.16,33.66,33.0453715794243,297004,0.0,1.0
2023-07-12,34.0,34.0,33.255,33.34,32.7312147491981,264924,0.0,1.0
2023-07-11,33.14,33.35,32.7255,33.29,32.6821277444752,180232,0.0,1.0
2023-07-10,32.97,33.34,32.74,32.98,32.3777883151935,177045,0.0,1.0
2023-07-07,33.07,33.88,33.07,33.18,32.574136334085,255534,0.0,1.0
2023-07-06,33.38,33.4064,32.53,33.09,32.4857797255838,221887,0.0,1.0
2023-07-05,34.29,34.29,33.48,33.62,33.0061019756461,243961,0.0,1.0
2023-07-03,34.0,34.49,34.0,34.33,33.7031374427106,98779,0.0,1.0
2023-06-30,34.44,34.44,33.64,34.0,33.3791632115397,363418,0.0,1.0
2023-06-29,33.66,34.565,33.54,34.12,33.4969720228746,223742,0.0,1.0
2023-06-28,33.42,33.645,32.84,33.53,32.9177453671449,176421,0.0,1.0
2023-06-27,33.71,33.91,33.33,33.75,33.1337281879255,164453,0.0,1.0
2023-06-26,33.68,34.16,33.5,33.68,33.0650063813135,467744,0.0,1.0
2023-06-23,32.46,33.58,32.395,33.47,32.8588409614775,792681,0.0,1.0
2023-06-22,34.79,34.79,32.81,32.93,32.3287013104707,386421,0.0,1.0
2023-06-21,34.48,35.37,34.295,34.98,34.3412685041076,300762,0.0,1.0
2023-06-20,34.93,34.98,34.235,34.86,34.2234596927728,355995,0.0,1.0
2023-06-16,35.57,35.5737,34.78,35.22,34.5768861267773,735688,0.0,1.0
2023-06-15,34.75,35.5,34.52,35.46,34.812503749447,254612,0.0,1.0
2023-06-14,36.95,37.3,34.9,34.96,34.3216337022185,375395,0.0,1.0
2023-06-13,35.6,36.38,35.6,36.36,35.6960698344584,297622,0.0,1.0
2023-06-12,35.33,35.88,34.92,35.31,34.6652427352785,202707,0.0,1.0
2023-06-09,35.3,35.8,34.93,35.5,34.8517733532253,247876,0.0,1.0
2023-06-08,35.24,35.52,34.73,35.4,34.7535993437796,285598,0.15,1.0
2023-06-07,35.33,36.0,35.24,35.44,34.6460635933488,388873,0.0,1.0
2023-06-06,33.28,35.17,33.19,35.04,34.2550245008731,403935,0.0,1.0
2023-06-05,34.05,34.05,32.65,33.58,32.8277318133367,305900,0.0,1.0
2023-06-02,32.89,34.31,32.25,34.27,33.5022742478573,413346,0.0,1.0
2023-06-01,32.01,32.17,31.378,31.71,30.9996240560127,299115,0.0,1.0
2023-05-31,32.3,32.3,31.3622,31.73,31.0191760106365,424557,0.0,1.0
2023-05-30,33.17,33.18,32.47,32.5,31.7719262636522,317315,0.0,1.0
