,TRIP_Open,TRIP_High,TRIP_Low,TRIP_Close,TRIP_Adj Close,TRIP_Volume,TRIP_Dividend Amount,TRIP_Split Coefficient
2024-03-01,26.91,27.22,26.84,27.16,27.16,3083818,0.0,1.0
2024-02-29,26.85,27.4189,26.665,26.82,26.82,2379631,0.0,1.0
2024-02-28,27.02,27.13,26.63,26.81,26.81,1766556,0.0,1.0
2024-02-27,27.28,27.43,26.9712,27.21,27.21,1948748,0.0,1.0
2024-02-26,27.21,27.78,27.0,27.06,27.06,2486658,0.0,1.0
2024-02-23,26.89,27.415,26.63,27.32,27.32,1925375,0.0,1.0
2024-02-22,26.4,27.16,26.26,27.0,27.0,2087154,0.0,1.0
2024-02-21,26.54,26.975,26.475,26.52,26.52,2241878,0.0,1.0
2024-02-20,26.34,27.365,26.27,26.92,26.92,3043381,0.0,1.0
2024-02-16,26.95,27.49,26.405,26.75,26.75,5385626,0.0,1.0
2024-02-15,27.0,28.2,26.105,27.66,27.66,8237551,0.0,1.0
2024-02-14,25.6,25.69,25.08,25.32,25.32,5366676,0.0,1.0
2024-02-13,24.86,26.6683,24.615,25.46,25.46,11404019,0.0,1.0
2024-02-12,21.87,22.85,21.84,22.37,22.37,3351233,0.0,1.0
2024-02-09,22.03,22.1299,21.31,21.71,21.71,3484343,0.0,1.0
2024-02-08,21.7,22.59,21.7,22.55,22.55,2495454,0.0,1.0
2024-02-07,21.65,21.96,21.335,21.68,21.68,1315896,0.0,1.0
2024-02-06,21.72,21.79,21.245,21.54,21.54,1986825,0.0,1.0
2024-02-05,21.74,21.835,21.4,21.73,21.73,1607154,0.0,1.0
2024-02-02,21.95,22.04,21.66,21.85,21.85,1671864,0.0,1.0
2024-02-01,21.71,22.03,21.42,21.98,21.98,1573979,0.0,1.0
2024-01-31,21.87,22.35,21.5404,21.6,21.6,1775604,0.0,1.0
2024-01-30,22.1,22.46,21.96,22.06,22.06,1846690,0.0,1.0
2024-01-29,21.82,22.22,21.635,22.14,22.14,1642573,0.0,1.0
2024-01-26,21.65,21.945,21.6,21.71,21.71,1831142,0.0,1.0
2024-01-25,21.41,21.775,21.24,21.56,21.56,1747347,0.0,1.0
2024-01-24,21.54,21.59,21.16,21.19,21.19,1198589,0.0,1.0
2024-01-23,21.5,21.945,21.315,21.34,21.34,4771179,0.0,1.0
2024-01-22,21.31,21.54,21.065,21.14,21.14,2559825,0.0,1.0
2024-01-19,20.5,21.06,20.18,21.04,21.04,2800375,0.0,1.0
2024-01-18,20.1,20.5,19.8901,20.27,20.27,1956200,0.0,1.0
2024-01-17,19.22,19.89,19.15,19.88,19.88,3004063,0.0,1.0
2024-01-16,19.29,19.595,19.16,19.51,19.51,1735920,0.0,1.0
2024-01-12,19.89,20.03,19.52,19.55,19.55,1863507,0.0,1.0
2024-01-11,20.22,20.22,19.595,19.84,19.84,2662489,0.0,1.0
2024-01-10,19.79,20.78,19.79,20.3,20.3,2177057,0.0,1.0
2024-01-09,20.91,21.02,19.845,19.95,19.95,2960032,0.0,1.0
2024-01-08,20.95,21.4,20.66,21.36,21.36,2517480,0.0,1.0
2024-01-05,20.98,21.57,20.85,20.98,20.98,1809894,0.0,1.0
2024-01-04,20.31,21.19,20.12,21.14,21.14,2705129,0.0,1.0
2024-01-03,20.83,20.885,20.375,20.41,20.41,2140804,0.0,1.0
2024-01-02,21.26,21.44,20.83,21.06,21.06,2200152,0.0,1.0
2023-12-29,21.45,22.0801,21.41,21.53,21.53,2652993,0.0,1.0
2023-12-28,21.33,21.435,21.15,21.33,21.33,1592992,0.0,1.0
2023-12-27,21.5,21.725,21.055,21.35,21.35,2723998,0.0,1.0
2023-12-26,21.25,21.75,21.01,21.47,21.47,2165277,0.0,1.0
2023-12-22,21.4,21.45,21.04,21.32,21.32,2809031,0.0,1.0
2023-12-21,21.63,21.68,21.03,21.44,21.44,4958851,0.0,1.0
2023-12-20,21.5,21.99,21.105,21.18,21.18,4411303,0.0,1.0
2023-12-19,20.1,21.59,20.055,21.58,21.58,7206568,0.0,1.0
2023-12-18,19.34,19.97,19.22,19.93,19.93,3701254,0.0,1.0
2023-12-15,19.43,19.51,18.895,19.28,19.28,12109681,0.0,1.0
2023-12-14,19.13,19.65,18.73,19.25,19.25,4923420,0.0,1.0
2023-12-13,18.07,18.11,17.462,18.07,18.07,3091651,0.0,1.0
2023-12-12,18.27,18.355,17.785,18.13,18.13,2974837,0.0,1.0
2023-12-11,17.89,18.502,17.86,18.4,18.4,2769180,0.0,1.0
2023-12-08,17.78,18.13,17.76,17.91,17.91,1948695,0.0,1.0
2023-12-07,17.67,17.9391,17.63,17.85,17.85,1612945,0.0,1.0
2023-12-06,17.95,18.16,17.61,17.65,17.65,2048626,0.0,1.0
2023-12-05,18.04,18.22,17.585,17.77,17.77,2090607,0.0,1.0
2023-12-04,18.05,18.43,17.91,18.11,18.11,2128141,0.0,1.0
2023-12-01,17.78,18.13,17.395,18.1,18.1,2207666,0.0,1.0
2023-11-30,18.08,18.19,17.77,17.83,17.83,2106707,0.0,1.0
2023-11-29,18.76,18.88,17.855,17.91,17.91,2748795,0.0,1.0
2023-11-28,18.95,18.965,18.46,18.59,18.59,1701221,0.0,1.0
2023-11-27,18.86,19.17,18.8289,18.97,18.97,1855861,0.0,1.0
2023-11-24,18.97,19.25,18.705,18.92,18.92,1029093,0.0,1.0
2023-11-22,19.25,19.48,19.025,19.07,19.07,1246402,0.0,1.0
2023-11-21,19.04,19.215,19.0,19.04,19.04,1582133,0.0,1.0
2023-11-20,19.01,19.325,18.98,19.19,19.19,1658545,0.0,1.0
2023-11-17,19.03,19.24,18.682,19.09,19.09,2672463,0.0,1.0
2023-11-16,18.99,19.115,18.645,18.78,18.78,2766083,0.0,1.0
2023-11-15,17.9,19.48,17.83,19.09,19.09,5159179,0.0,1.0
2023-11-14,17.71,18.16,17.56,17.81,17.81,2997890,0.0,1.0
2023-11-13,17.82,17.9,17.045,17.12,17.12,2417715,0.0,1.0
2023-11-10,16.9,17.47,16.805,17.37,17.37,1968713,0.0,1.0
2023-11-09,17.67,17.7497,16.945,16.99,16.99,3334652,0.0,1.0
2023-11-08,17.94,18.295,17.33,17.46,17.46,4758384,0.0,1.0
2023-11-07,17.53,18.305,16.68,17.88,17.88,13738156,0.0,1.0
2023-11-06,15.95,16.44,15.66,16.11,16.11,7395173,0.0,1.0
2023-11-03,14.91,15.81,14.91,15.75,15.75,2407223,0.0,1.0
2023-11-02,14.45,14.7,14.23,14.66,14.66,2234826,0.0,1.0
2023-11-01,14.73,14.78,14.15,14.29,14.29,1342503,0.0,1.0
2023-10-31,14.55,14.83,14.4,14.76,14.76,1402209,0.0,1.0
2023-10-30,14.46,14.83,14.4,14.48,14.48,1239750,0.0,1.0
2023-10-27,14.58,14.7789,14.29,14.31,14.31,1340325,0.0,1.0
2023-10-26,14.71,14.9,14.37,14.49,14.49,1740900,0.0,1.0
2023-10-25,15.06,15.06,14.58,14.7,14.7,1809051,0.0,1.0
2023-10-24,15.07,15.34,15.06,15.25,15.25,1573901,0.0,1.0
2023-10-23,14.79,15.23,14.755,14.87,14.87,1709227,0.0,1.0
2023-10-20,15.43,15.43,14.92,14.92,14.92,1502647,0.0,1.0
2023-10-19,15.77,15.895,15.47,15.51,15.51,1770008,0.0,1.0
2023-10-18,16.17,16.21,15.76,15.8,15.8,1641276,0.0,1.0
2023-10-17,16.39,16.93,16.32,16.42,16.42,2437432,0.0,1.0
2023-10-16,15.78,16.38,15.69,16.29,16.29,1493037,0.0,1.0
2023-10-13,15.7,15.83,15.57,15.74,15.74,1461252,0.0,1.0
2023-10-12,16.34,16.38,15.71,15.75,15.75,1120610,0.0,1.0
2023-10-11,15.93,16.27,15.93,16.18,16.18,1074560,0.0,1.0
2023-10-10,15.6,16.04,15.6,15.92,15.92,1817917,0.0,1.0
2023-10-09,15.7,15.71,15.43,15.51,15.51,1852360,0.0,1.0
2023-10-06,15.76,16.1,15.71,15.97,15.97,952991,0.0,1.0
2023-10-05,15.97,16.08,15.685,15.88,15.88,976397,0.0,1.0
2023-10-04,15.84,16.11,15.8,16.01,16.01,1149788,0.0,1.0
2023-10-03,16.32,16.43,15.59,15.77,15.77,2219248,0.0,1.0
2023-10-02,16.57,16.715,16.35,16.5,16.5,2025280,0.0,1.0
2023-09-29,16.76,16.865,16.535,16.58,16.58,2698532,0.0,1.0
2023-09-28,16.07,16.64,16.07,16.59,16.59,2806294,0.0,1.0
2023-09-27,15.75,16.19,15.75,16.07,16.07,2270133,0.0,1.0
2023-09-26,15.75,16.065,15.64,15.67,15.67,2185444,0.0,1.0
2023-09-25,15.89,16.105,15.79,15.9,15.9,1905050,0.0,1.0
2023-09-22,15.97,16.36,15.89,16.07,16.07,2014285,0.0,1.0
2023-09-21,15.94,16.095,15.77,15.88,15.88,2169695,0.0,1.0
2023-09-20,16.42,16.465,16.025,16.15,16.15,2338491,0.0,1.0
2023-09-19,16.16,16.42,16.14,16.28,16.28,2548939,0.0,1.0
2023-09-18,15.83,16.335,15.675,16.15,16.15,3276634,0.0,1.0
2023-09-15,15.76,16.34,15.68,15.98,15.98,23433454,0.0,1.0
2023-09-14,15.55,15.785,15.44,15.77,15.77,1927239,0.0,1.0
2023-09-13,15.42,15.59,15.22,15.38,15.38,2439372,0.0,1.0
2023-09-12,15.38,15.675,15.265,15.49,15.49,2205198,0.0,1.0
2023-09-11,15.81,15.91,15.44,15.45,15.45,1647833,0.0,1.0
2023-09-08,15.5,15.825,15.5,15.67,15.67,1964436,0.0,1.0
2023-09-07,15.41,15.535,15.245,15.48,15.48,2500258,0.0,1.0
2023-09-06,15.88,16.02,15.435,15.58,15.58,1613998,0.0,1.0
2023-09-05,15.54,16.47,15.54,15.99,15.99,3881219,0.0,1.0
2023-09-01,15.3,15.615,15.24,15.6,15.6,1763046,0.0,1.0
2023-08-31,15.2,15.295,15.11,15.11,15.11,1452567,0.0,1.0
2023-08-30,15.36,15.39,15.13,15.15,15.15,1722981,0.0,1.0
2023-08-29,15.17,15.44,15.1,15.4,15.4,1237107,0.0,1.0
2023-08-28,15.07,15.29,15.04,15.17,15.17,1102574,0.0,1.0
2023-08-25,15.01,15.115,14.855,15.0,15.0,1633740,0.0,1.0
2023-08-24,15.32,15.37,14.965,14.99,14.99,1629160,0.0,1.0
2023-08-23,15.29,15.45,15.2,15.34,15.34,1347969,0.0,1.0
2023-08-22,15.51,15.56,15.14,15.24,15.24,1381883,0.0,1.0
2023-08-21,15.34,15.555,15.34,15.47,15.47,1253086,0.0,1.0
2023-08-18,15.07,15.44,15.04,15.35,15.35,1314285,0.0,1.0
2023-08-17,15.34,15.4525,15.235,15.36,15.36,1704927,0.0,1.0
2023-08-16,14.9,15.43,14.9,15.32,15.32,2463155,0.0,1.0
2023-08-15,15.76,15.84,14.95,15.02,15.02,3568802,0.0,1.0
2023-08-14,16.18,16.215,15.86,15.93,15.93,2035223,0.0,1.0
2023-08-11,16.27,16.415,16.2,16.39,16.39,1076046,0.0,1.0
2023-08-10,16.63,16.68,16.16,16.34,16.34,1546871,0.0,1.0
2023-08-09,16.06,16.565,16.01,16.42,16.42,2132757,0.0,1.0
2023-08-08,15.85,16.19,15.635,16.14,16.14,2301274,0.0,1.0
2023-08-07,16.32,16.405,16.025,16.09,16.09,3196357,0.0,1.0
2023-08-04,16.14,16.765,15.89,16.36,16.36,3890363,0.0,1.0
2023-08-03,16.71,16.97,15.855,16.06,16.06,8420724,0.0,1.0
2023-08-02,18.05,18.125,17.46,17.62,17.62,4625628,0.0,1.0
2023-08-01,18.45,18.49,17.845,18.38,18.38,3387807,0.0,1.0
2023-07-31,18.15,18.835,18.13,18.65,18.65,5398254,0.0,1.0
2023-07-28,17.68,18.32,17.64,18.11,18.11,3656448,0.0,1.0
2023-07-27,17.78,17.99,17.39,17.41,17.41,1819118,0.0,1.0
2023-07-26,17.29,17.745,17.28,17.69,17.69,2310737,0.0,1.0
2023-07-25,17.4,17.56,17.16,17.28,17.28,1698945,0.0,1.0
2023-07-24,17.51,17.595,17.06,17.38,17.38,1692590,0.0,1.0
2023-07-21,17.68,17.68,17.23,17.45,17.45,1566139,0.0,1.0
2023-07-20,17.76,17.8,17.405,17.44,17.44,1792120,0.0,1.0
2023-07-19,18.05,18.11,17.7,17.76,17.76,2049416,0.0,1.0
2023-07-18,17.49,17.97,17.49,17.95,17.95,1890766,0.0,1.0
2023-07-17,17.21,17.63,17.14,17.54,17.54,1624557,0.0,1.0
2023-07-14,17.42,17.475,17.085,17.22,17.22,1658414,0.0,1.0
2023-07-13,17.68,17.825,17.39,17.4,17.4,1321176,0.0,1.0
2023-07-12,17.65,17.7,17.19,17.5,17.5,2285151,0.0,1.0
2023-07-11,16.77,17.46,16.75,17.37,17.37,2666315,0.0,1.0
2023-07-10,16.62,16.879,16.55,16.67,16.67,1816361,0.0,1.0
2023-07-07,16.14,16.78,16.06,16.66,16.66,3003083,0.0,1.0
2023-07-06,16.17,16.17,15.78,16.08,16.08,2699122,0.0,1.0
2023-07-05,16.71,16.71,16.1602,16.36,16.36,2369045,0.0,1.0
2023-07-03,16.45,17.155,16.36,16.85,16.85,2060896,0.0,1.0
2023-06-30,16.68,16.85,16.46,16.49,16.49,2178139,0.0,1.0
2023-06-29,16.56,16.665,16.29,16.56,16.56,2327634,0.0,1.0
2023-06-28,16.63,16.925,16.48,16.62,16.62,2285819,0.0,1.0
2023-06-27,16.31,16.75,16.16,16.62,16.62,2264868,0.0,1.0
2023-06-26,16.22,16.57,16.135,16.19,16.19,1839470,0.0,1.0
2023-06-23,16.54,16.54,16.19,16.3,16.3,3710906,0.0,1.0
2023-06-22,16.34,16.93,16.23,16.86,16.86,3254641,0.0,1.0
2023-06-21,16.37,16.49,16.01,16.11,16.11,2503864,0.0,1.0
2023-06-20,16.62,16.7,16.3,16.51,16.51,2961186,0.0,1.0
2023-06-16,16.79,16.91,16.595,16.78,16.78,3344793,0.0,1.0
2023-06-15,16.5,16.91,16.295,16.74,16.74,3069835,0.0,1.0
2023-06-14,17.01,17.025,16.47,16.69,16.69,2299134,0.0,1.0
2023-06-13,16.96,16.98,16.71,16.96,16.96,1940565,0.0,1.0
2023-06-12,16.55,16.83,16.375,16.76,16.76,2050463,0.0,1.0
2023-06-09,16.32,16.78,16.31,16.51,16.51,2780341,0.0,1.0
2023-06-08,16.7,16.77,16.09,16.31,16.31,2943229,0.0,1.0
2023-06-07,16.58,16.86,16.315,16.54,16.54,2744529,0.0,1.0
2023-06-06,16.29,16.632,16.08,16.55,16.55,4112017,0.0,1.0
2023-06-05,16.09,16.35,15.85,16.29,16.29,2205289,0.0,1.0
2023-06-02,15.79,16.3,15.77,16.24,16.24,3366067,0.0,1.0
2023-06-01,15.51,15.615,15.27,15.53,15.53,3403423,0.0,1.0
2023-05-31,15.0,15.6793,14.93,15.56,15.56,4935757,0.0,1.0
2023-05-30,15.41,15.41,14.765,15.13,15.13,3086000,0.0,1.0
2023-05-26,15.41,15.6,15.28,15.31,15.31,2009716,0.0,1.0
2023-05-25,15.31,15.53,15.105,15.44,15.44,1735190,0.0,1.0
2023-05-24,15.46,15.59,15.06,15.33,15.33,1909766,0.0,1.0
2023-05-23,16.1,16.212,15.64,15.65,15.65,1914921,0.0,1.0
2023-05-22,15.94,16.21,15.865,16.1,16.1,2287902,0.0,1.0
2023-05-19,16.24,16.24,15.75,15.88,15.88,1745883,0.0,1.0
2023-05-18,15.77,16.23,15.7,16.19,16.19,2555429,0.0,1.0
2023-05-17,15.62,15.94,15.45,15.84,15.84,5840786,0.0,1.0
2023-05-16,15.76,15.99,15.5,15.61,15.61,6218559,0.0,1.0
2023-05-15,15.58,15.995,15.43,15.97,15.97,2192047,0.0,1.0
2023-05-12,15.81,15.81,15.4,15.58,15.58,2534861,0.0,1.0
2023-05-11,15.74,16.065,15.72,15.8,15.8,2951909,0.0,1.0
2023-05-10,16.02,16.175,15.545,15.79,15.79,3583953,0.0,1.0
