,QHC_Open,QHC_High,QHC_Low,QHC_Close,QHC_Adj Close,QHC_Volume,QHC_Dividend Amount,QHC_Split Coefficient
2020-02-27,1.02,1.04,1.01,1.04,1.04,49508,0.0,1.0
2020-02-26,1.09,1.09,1.01,1.04,1.04,62829,0.0,1.0
2020-02-25,1.13,1.13,1.0352,1.06,1.06,112977,0.0,1.0
2020-02-24,1.15,1.17,1.12,1.15,1.15,104606,0.0,1.0
2020-02-21,1.16,1.17,1.134,1.16,1.16,51423,0.0,1.0
2020-02-20,1.07,1.17,1.07,1.16,1.16,133566,0.0,1.0
2020-02-19,1.01,1.13,1.01,1.09,1.09,78431,0.0,1.0
2020-02-18,1.03,1.08,0.9502,1.06,1.06,224779,0.0,1.0
2020-02-14,1.13,1.14,1.1,1.13,1.13,37468,0.0,1.0
2020-02-13,1.17,1.19,1.15,1.18,1.18,40817,0.0,1.0
2020-02-12,1.15,1.18,1.1111,1.15,1.15,35537,0.0,1.0
2020-02-11,1.19,1.2,1.1,1.12,1.12,110830,0.0,1.0
2020-02-10,1.13,1.18,1.13,1.16,1.16,52092,0.0,1.0
2020-02-07,1.15,1.18,1.1324,1.15,1.15,44053,0.0,1.0
2020-02-06,1.14,1.17,1.12,1.16,1.16,93462,0.0,1.0
2020-02-05,1.12,1.1242,1.085,1.12,1.12,86625,0.0,1.0
2020-02-04,1.09,1.13,1.06,1.08,1.08,55734,0.0,1.0
2020-02-03,1.14,1.15,1.1,1.1,1.1,29097,0.0,1.0
2020-01-31,1.14,1.15,1.1,1.13,1.13,52629,0.0,1.0
2020-01-30,1.1,1.14,1.1,1.14,1.14,86931,0.0,1.0
2020-01-29,1.11,1.13,1.1,1.12,1.12,54638,0.0,1.0
2020-01-28,1.11,1.15,1.0619,1.1,1.1,44852,0.0,1.0
2020-01-27,1.01,1.14,0.95,1.11,1.11,139020,0.0,1.0
2020-01-24,1.14,1.14,1.08,1.11,1.11,71182,0.0,1.0
2020-01-23,1.09,1.11,1.06,1.11,1.11,97710,0.0,1.0
2020-01-22,1.09,1.13,1.06,1.11,1.11,48109,0.0,1.0
2020-01-21,1.09,1.13,1.05,1.12,1.12,176421,0.0,1.0
2020-01-17,1.07,1.14,1.07,1.12,1.12,57843,0.0,1.0
2020-01-16,1.03,1.12,1.03,1.09,1.09,81742,0.0,1.0
2020-01-15,1.01,1.07,1.01,1.05,1.05,237027,0.0,1.0
2020-01-14,1.0,1.05,0.9692,1.0,1.0,138979,0.0,1.0
2020-01-13,0.9846,1.01,0.941,1.01,1.01,105465,0.0,1.0
2020-01-10,0.9588,1.04,0.92,0.9381,0.9381,522474,0.0,1.0
2020-01-09,0.9439,0.965,0.92,0.9514,0.9514,59644,0.0,1.0
2020-01-08,0.9417,0.965,0.91,0.95,0.95,157527,0.0,1.0
2020-01-07,0.95,0.97,0.9,0.9325,0.9325,138338,0.0,1.0
2020-01-06,0.9454,0.97,0.925,0.9416,0.9416,138588,0.0,1.0
2020-01-03,0.93,0.9733,0.93,0.9519,0.9519,67473,0.0,1.0
2020-01-02,0.93,0.9799,0.93,0.9526,0.9526,41717,0.0,1.0
2019-12-31,0.9337,0.97,0.93,0.9561,0.9561,169538,0.0,1.0
2019-12-30,0.97,0.9705,0.92,0.945,0.945,324154,0.0,1.0
2019-12-27,0.9127,0.9792,0.9127,0.9701,0.9701,249902,0.0,1.0
2019-12-26,0.95,0.96,0.925,0.9513,0.9513,123972,0.0,1.0
2019-12-24,0.93,0.98,0.9214,0.9526,0.9526,204242,0.0,1.0
2019-12-23,0.88,0.9496,0.88,0.9254,0.9254,308129,0.0,1.0
2019-12-20,0.8856,0.915,0.85,0.9026,0.9026,245981,0.0,1.0
2019-12-19,0.89,0.93,0.85,0.8825,0.8825,137403,0.0,1.0
2019-12-18,0.87,0.9446,0.87,0.92,0.92,184083,0.0,1.0
2019-12-17,0.8821,0.92,0.88,0.9087,0.9087,100549,0.0,1.0
2019-12-16,0.8723,0.92,0.86,0.918,0.918,232623,0.0,1.0
2019-12-13,0.8787,0.898,0.82,0.8723,0.8723,185531,0.0,1.0
2019-12-12,0.88,0.9,0.8531,0.878,0.878,218097,0.0,1.0
2019-12-11,0.9,0.9099,0.88,0.88,0.88,136698,0.0,1.0
2019-12-10,0.9226,0.9226,0.89,0.9,0.9,95785,0.0,1.0
2019-12-09,0.96,0.9799,0.88,0.9226,0.9226,563417,0.0,1.0
2019-12-06,0.9,0.955,0.896,0.94,0.94,625404,0.0,1.0
2019-12-05,0.85,0.907605,0.81,0.8937,0.8937,901781,0.0,1.0
2019-12-04,0.91,0.96,0.7205,0.85,0.85,926788,0.0,1.0
2019-12-03,0.75,0.95,0.69,0.8999,0.8999,2929165,0.0,1.0
2019-12-02,0.59,0.61,0.5378,0.5454,0.5454,453052,0.0,1.0
2019-11-29,0.57,0.61,0.57,0.5908,0.5908,100583,0.0,1.0
2019-11-27,0.58,0.59,0.57,0.5775,0.5775,75812,0.0,1.0
2019-11-26,0.58,0.595,0.56,0.58,0.58,269203,0.0,1.0
2019-11-25,0.5921,0.6146,0.5675,0.5713,0.5713,329318,0.0,1.0
2019-11-22,0.5675,0.5965,0.5675,0.57,0.57,707325,0.0,1.0
2019-11-21,0.6783,0.7,0.565,0.5651,0.5651,642030,0.0,1.0
2019-11-20,0.718,0.718,0.67,0.67,0.67,185106,0.0,1.0
2019-11-19,0.701,0.73,0.7,0.7,0.7,113088,0.0,1.0
2019-11-18,0.768,0.7776,0.74,0.7635,0.7635,130518,0.0,1.0
2019-11-15,0.83,0.869,0.72,0.7502,0.7502,237055,0.0,1.0
2019-11-14,0.7271,0.8399,0.72,0.8198,0.8198,374470,0.0,1.0
2019-11-13,0.7632,0.77,0.703,0.724,0.724,479793,0.0,1.0
2019-11-12,0.71,0.7135,0.6601,0.6749,0.6749,331371,0.0,1.0
2019-11-11,0.73,0.76,0.6748,0.6982,0.6982,391067,0.0,1.0
2019-11-08,0.95,1.0,0.66,0.7449,0.7449,1829236,0.0,1.0
2019-11-07,1.15,1.17,1.1,1.1,1.1,138645,0.0,1.0
2019-11-06,1.19,1.22,1.1,1.14,1.14,137971,0.0,1.0
2019-11-05,1.21,1.219,1.14,1.2,1.2,45634,0.0,1.0
2019-11-04,1.18,1.25,1.16,1.2,1.2,142293,0.0,1.0
2019-11-01,1.11,1.2,1.11,1.18,1.18,83283,0.0,1.0
2019-10-31,1.2047,1.22,1.11,1.11,1.11,155788,0.0,1.0
2019-10-30,1.25,1.25,1.19,1.2,1.2,52556,0.0,1.0
2019-10-29,1.28,1.31,1.27,1.27,1.27,41261,0.0,1.0
2019-10-28,1.22,1.31,1.22,1.28,1.28,151291,0.0,1.0
2019-10-25,1.25,1.27,1.21,1.23,1.23,87179,0.0,1.0
2019-10-24,1.26,1.28,1.21,1.23,1.23,119050,0.0,1.0
2019-10-23,1.19,1.26,1.19,1.25,1.25,132328,0.0,1.0
2019-10-22,1.23,1.23,1.17,1.1887,1.1887,150786,0.0,1.0
2019-10-21,1.18,1.23,1.17,1.23,1.23,91532,0.0,1.0
2019-10-18,1.21,1.23,1.16,1.19,1.19,170886,0.0,1.0
2019-10-17,1.21,1.22,1.2,1.2,1.2,16676,0.0,1.0
2019-10-16,1.33,1.33,1.2,1.21,1.21,62041,0.0,1.0
2019-10-15,1.24,1.33,1.22,1.26,1.26,108561,0.0,1.0
2019-10-14,1.23,1.3,1.23,1.24,1.24,63814,0.0,1.0
2019-10-11,1.27,1.35,1.23,1.24,1.24,125810,0.0,1.0
2019-10-10,1.25,1.3,1.235,1.28,1.28,63494,0.0,1.0
2019-10-09,1.16,1.26,1.16,1.26,1.26,48691,0.0,1.0
2019-10-08,1.16,1.2,1.1,1.15,1.15,192160,0.0,1.0
2019-10-07,1.18,1.2,1.14,1.18,1.18,118892,0.0,1.0
2019-10-04,1.1799,1.2,1.13,1.18,1.18,36282,0.0,1.0
2019-10-03,1.22,1.23,1.16,1.19,1.19,102333,0.0,1.0
2019-10-02,1.25,1.27,1.22,1.22,1.22,46637,0.0,1.0
2019-10-01,1.22,1.31,1.22,1.27,1.27,117908,0.0,1.0
2019-09-30,1.22,1.26,1.16,1.21,1.21,116274,0.0,1.0
2019-09-27,1.21,1.26,1.2,1.22,1.22,48426,0.0,1.0
2019-09-26,1.23,1.26,1.2,1.2,1.2,50436,0.0,1.0
2019-09-25,1.21,1.31,1.21,1.22,1.22,59375,0.0,1.0
2019-09-24,1.31,1.37,1.2,1.21,1.21,89856,0.0,1.0
2019-09-23,1.38,1.41,1.3,1.31,1.31,116009,0.0,1.0
2019-09-20,1.35,1.4,1.28,1.39,1.39,67882,0.0,1.0
2019-09-19,1.23,1.4,1.23,1.35,1.35,48415,0.0,1.0
2019-09-18,1.28,1.28,1.2,1.22,1.22,66887,0.0,1.0
2019-09-17,1.34,1.36,1.25,1.29,1.29,85366,0.0,1.0
2019-09-16,1.3,1.35,1.29,1.34,1.34,179274,0.0,1.0
2019-09-13,1.33,1.39,1.29,1.3,1.3,48711,0.0,1.0
2019-09-12,1.41,1.4339,1.26,1.31,1.31,117771,0.0,1.0
2019-09-11,1.51,1.55,1.38,1.4,1.4,234818,0.0,1.0
2019-09-10,1.35,1.61,1.3357,1.48,1.48,323266,0.0,1.0
2019-09-09,1.39,1.45,1.355,1.37,1.37,179035,0.0,1.0
2019-09-06,1.36,1.4199,1.34,1.38,1.38,244023,0.0,1.0
2019-09-05,1.45,1.45,1.35,1.35,1.35,180492,0.0,1.0
2019-09-04,1.32,1.49,1.32,1.45,1.45,480187,0.0,1.0
2019-09-03,1.0,1.4,0.9701,1.32,1.32,734192,0.0,1.0
2019-08-30,0.99,1.01,0.9501,1.01,1.01,163882,0.0,1.0
2019-08-29,1.05,1.06,0.9105,0.95,0.95,505529,0.0,1.0
2019-08-28,1.04,1.07,1.03,1.04,1.04,348799,0.0,1.0
2019-08-27,1.08,1.1,1.01,1.05,1.05,160480,0.0,1.0
2019-08-26,1.08,1.1,1.05,1.06,1.06,294790,0.0,1.0
2019-08-23,1.09,1.1,1.03,1.06,1.06,137057,0.0,1.0
2019-08-22,1.1,1.13,1.07,1.09,1.09,292608,0.0,1.0
2019-08-21,1.13,1.24,1.05,1.09,1.09,208243,0.0,1.0
2019-08-20,1.1,1.17,1.09,1.11,1.11,287366,0.0,1.0
2019-08-19,1.05,1.16,1.04,1.11,1.11,474235,0.0,1.0
2019-08-16,1.09,1.11,1.0,1.05,1.05,117814,0.0,1.0
2019-08-15,1.14,1.14,1.05,1.08,1.08,232623,0.0,1.0
2019-08-14,1.22,1.26,1.05,1.09,1.09,275028,0.0,1.0
2019-08-13,1.25,1.28,1.23,1.24,1.24,98993,0.0,1.0
2019-08-12,1.32,1.35,1.23,1.28,1.28,119994,0.0,1.0
2019-08-09,1.45,1.5,1.3,1.35,1.35,501049,0.0,1.0
2019-08-08,1.54,1.56,1.35,1.35,1.35,346659,0.0,1.0
2019-08-07,1.67,1.82,1.57,1.76,1.76,104075,0.0,1.0
2019-08-06,1.58,1.7,1.55,1.69,1.69,135768,0.0,1.0
2019-08-05,1.67,1.7,1.55,1.58,1.58,132846,0.0,1.0
2019-08-02,1.78,1.83,1.62,1.71,1.71,125891,0.0,1.0
2019-08-01,1.66,1.87,1.66,1.78,1.78,312275,0.0,1.0
2019-07-31,1.67,1.76,1.66,1.66,1.66,183939,0.0,1.0
2019-07-30,1.62,1.67,1.59,1.66,1.66,51082,0.0,1.0
2019-07-29,1.59,1.67,1.55,1.64,1.64,83140,0.0,1.0
2019-07-26,1.5,1.67,1.47,1.58,1.58,156316,0.0,1.0
2019-07-25,1.5,1.5,1.44,1.48,1.48,130893,0.0,1.0
2019-07-24,1.46,1.49,1.45,1.48,1.48,89108,0.0,1.0
2019-07-23,1.46,1.4912,1.39,1.43,1.43,251390,0.0,1.0
2019-07-22,1.54,1.56,1.425,1.44,1.44,217680,0.0,1.0
2019-07-19,1.4957,1.54,1.47,1.52,1.52,114145,0.0,1.0
2019-07-18,1.47,1.55,1.45,1.48,1.48,244319,0.0,1.0
2019-07-17,1.46,1.5,1.43,1.5,1.5,85601,0.0,1.0
2019-07-16,1.46,1.48,1.43,1.47,1.47,105703,0.0,1.0
2019-07-15,1.45,1.47,1.42,1.47,1.47,131112,0.0,1.0
2019-07-12,1.46,1.48,1.38,1.45,1.45,111156,0.0,1.0
2019-07-11,1.48,1.49,1.42,1.46,1.46,99804,0.0,1.0
2019-07-10,1.45,1.5,1.42,1.46,1.46,142587,0.0,1.0
2019-07-09,1.47,1.49,1.38,1.46,1.46,179711,0.0,1.0
2019-07-08,1.4,1.49,1.38,1.47,1.47,221013,0.0,1.0
2019-07-05,1.38,1.42,1.27,1.4,1.4,157730,0.0,1.0
2019-07-03,1.39,1.43,1.38,1.4,1.4,86399,0.0,1.0
2019-07-02,1.38,1.46,1.34,1.4,1.4,502138,0.0,1.0
2019-07-01,1.42,1.435,1.34,1.37,1.37,537012,0.0,1.0
2019-06-28,1.36,1.39,1.32,1.39,1.39,3397823,0.0,1.0
2019-06-27,1.34,1.39,1.31,1.35,1.35,462719,0.0,1.0
2019-06-26,1.31,1.38,1.3,1.35,1.35,384365,0.0,1.0
2019-06-25,1.35,1.36,1.29,1.31,1.31,555932,0.0,1.0
2019-06-24,1.34,1.41,1.33,1.36,1.36,288159,0.0,1.0
2019-06-21,1.29,1.36,1.225,1.34,1.34,580251,0.0,1.0
2019-06-20,1.35,1.4,1.26,1.3,1.3,558139,0.0,1.0
2019-06-19,1.44,1.49,1.33,1.33,1.33,508430,0.0,1.0
2019-06-18,1.43,1.9,1.35,1.43,1.43,971282,0.0,1.0
2019-06-17,1.55,1.55,1.41,1.43,1.43,443130,0.0,1.0
2019-06-14,1.67,1.69,1.51,1.54,1.54,273671,0.0,1.0
2019-06-13,1.7,1.7,1.64,1.65,1.65,201939,0.0,1.0
2019-06-12,1.8,1.805,1.7,1.7,1.7,198096,0.0,1.0
2019-06-11,1.92,1.92,1.8,1.81,1.81,220694,0.0,1.0
2019-06-10,1.86,2.0,1.78,1.91,1.91,261352,0.0,1.0
2019-06-07,1.75,1.93,1.745,1.87,1.87,306483,0.0,1.0
2019-06-06,1.83,1.85,1.56,1.74,1.74,318294,0.0,1.0
2019-06-05,1.94,1.97,1.77,1.82,1.82,229614,0.0,1.0
2019-06-04,1.9,1.945,1.855,1.93,1.93,219317,0.0,1.0
2019-06-03,1.78,1.93,1.755,1.87,1.87,434168,0.0,1.0
2019-05-31,1.87,1.87,1.715,1.76,1.76,300707,0.0,1.0
2019-05-30,2.03,2.03,1.85,1.89,1.89,300644,0.0,1.0
2019-05-29,2.02,2.06,1.9218,2.0,2.0,358199,0.0,1.0
2019-05-28,2.15,2.22,2.01,2.02,2.02,259962,0.0,1.0
2019-05-24,2.06,2.15,2.04,2.14,2.14,248856,0.0,1.0
2019-05-23,2.18,2.18,2.0,2.06,2.06,285173,0.0,1.0
2019-05-22,2.28,2.315,2.15,2.19,2.19,264795,0.0,1.0
2019-05-21,2.03,2.285,1.98,2.26,2.26,510130,0.0,1.0
2019-05-20,1.98,2.07,1.965,2.03,2.03,283105,0.0,1.0
2019-05-17,1.99,2.2,1.935,2.01,2.01,406347,0.0,1.0
2019-05-16,2.25,2.3,1.99,2.03,2.03,443968,0.0,1.0
2019-05-15,2.33,2.39,2.18,2.26,2.26,627003,0.0,1.0
2019-05-14,2.23,2.4947,2.214,2.34,2.34,821215,0.0,1.0
2019-05-13,2.12,2.25,2.0,2.23,2.23,480340,0.0,1.0
2019-05-10,1.92,2.19,1.87,2.17,2.17,710581,0.0,1.0
2019-05-09,1.99,2.27,1.963,2.08,2.08,622193,0.0,1.0
2019-05-08,2.0,2.03,1.87,2.0,2.0,426151,0.0,1.0
2019-05-07,2.0,2.04,1.95,2.01,2.01,303409,0.0,1.0
2019-05-06,1.88,2.07,1.83,2.0,2.0,519847,0.0,1.0
2019-05-03,1.92,2.03,1.9,1.98,1.98,524689,0.0,1.0
2019-05-02,2.03,2.03,1.9,1.93,1.93,962185,0.0,1.0
2019-05-01,2.06,2.17,1.94,2.01,2.01,1152395,0.0,1.0
2019-04-30,1.73,2.0994,1.64,2.05,2.05,1312796,0.0,1.0
2019-04-29,1.75,1.9388,1.565,1.71,1.71,1151637,0.0,1.0
2019-04-26,1.66,1.77,1.56,1.74,1.74,633767,0.0,1.0
2019-04-25,1.58,1.66,1.5,1.64,1.64,789320,0.0,1.0
2019-04-24,1.3,1.88,1.3,1.59,1.59,4074078,0.0,1.0
2019-04-23,1.2,1.33,1.14,1.3,1.3,468604,0.0,1.0
2019-04-22,1.04,1.25,1.0162,1.2,1.2,642831,0.0,1.0
2019-04-18,1.03,1.06,0.99,1.05,1.05,736236,0.0,1.0
2019-04-17,1.08,1.08,1.03,1.04,1.04,486563,0.0,1.0
2019-04-16,1.08,1.11,1.05,1.08,1.08,552600,0.0,1.0
2019-04-15,1.1,1.119,1.06,1.09,1.09,357931,0.0,1.0
2019-04-12,1.08,1.12,1.06,1.1,1.1,807881,0.0,1.0
2019-04-11,1.18,1.2121,1.05,1.07,1.07,680701,0.0,1.0
2019-04-10,1.01,1.21,1.0,1.17,1.17,1220912,0.0,1.0
2019-04-09,1.01,1.08,0.95,1.0,1.0,854525,0.0,1.0
2019-04-08,1.07,1.12,0.98,1.01,1.01,889884,0.0,1.0
2019-04-05,1.11,1.16,1.05,1.07,1.07,681369,0.0,1.0
2019-04-04,1.14,1.15,1.1,1.11,1.11,276232,0.0,1.0
2019-04-03,1.2,1.21,1.11,1.12,1.12,449291,0.0,1.0
2019-04-02,1.27,1.3,1.15,1.19,1.19,515288,0.0,1.0
2019-04-01,1.4,1.42,1.25,1.26,1.26,604473,0.0,1.0
2019-03-29,1.45,1.47,1.4,1.4,1.4,328198,0.0,1.0
2019-03-28,1.52,1.52,1.26,1.44,1.44,977108,0.0,1.0
2019-03-27,1.53,1.53,1.5,1.5,1.5,346423,0.0,1.0
2019-03-26,1.76,1.76,1.435,1.55,1.55,1206495,0.0,1.0
2019-03-25,1.9,1.9,1.75,1.75,1.75,626183,0.0,1.0
2019-03-22,2.09,2.19,1.875,1.89,1.89,698213,0.0,1.0
2019-03-21,1.9,2.15,1.9,2.11,2.11,674509,0.0,1.0
2019-03-20,1.89,1.94,1.83,1.9,1.9,661880,0.0,1.0
2019-03-19,1.89,2.01,1.82,1.89,1.89,594007,0.0,1.0
2019-03-18,1.79,1.91,1.79,1.9,1.9,798361,0.0,1.0
2019-03-15,1.92,1.92,1.73,1.77,1.77,4693886,0.0,1.0
2019-03-14,1.97,1.9924,1.9,1.93,1.93,477383,0.0,1.0
2019-03-13,2.14,2.14,1.77,1.96,1.96,1077763,0.0,1.0
2019-03-12,2.16,2.16,1.99,2.0,2.0,565695,0.0,1.0
2019-03-11,2.05,2.18,1.77,2.15,2.15,1493337,0.0,1.0
2019-03-08,2.42,2.42,2.26,2.35,2.35,207129,0.0,1.0
2019-03-07,2.37,2.46,2.25,2.42,2.42,163319,0.0,1.0
2019-03-06,2.46,2.46,2.27,2.38,2.38,200424,0.0,1.0
2019-03-05,2.63,2.63,2.46,2.53,2.53,172232,0.0,1.0
2019-03-04,2.71,2.76,2.55,2.62,2.62,137384,0.0,1.0
2019-03-01,2.81,2.85,2.65,2.7,2.7,95053,0.0,1.0
2019-02-28,2.79,2.92,2.74,2.79,2.79,132671,0.0,1.0
2019-02-27,2.81,2.81,2.68,2.79,2.79,165252,0.0,1.0
2019-02-26,2.68,2.86,2.65,2.8,2.8,197049,0.0,1.0
2019-02-25,2.58,2.71,2.57,2.66,2.66,267109,0.0,1.0
2019-02-22,2.61,2.61,2.49,2.54,2.54,196204,0.0,1.0
2019-02-21,2.54,2.67,2.51,2.58,2.58,252704,0.0,1.0
2019-02-20,2.56,2.63,2.5,2.52,2.52,497846,0.0,1.0
2019-02-19,2.73,2.7799,2.52,2.58,2.58,186286,0.0,1.0
2019-02-15,2.76,2.92,2.74,2.74,2.74,192068,0.0,1.0
2019-02-14,2.76,2.79,2.74,2.76,2.76,133578,0.0,1.0
2019-02-13,2.62,2.8,2.59,2.76,2.76,185140,0.0,1.0
2019-02-12,2.7,2.7,2.57,2.62,2.62,111321,0.0,1.0
2019-02-11,2.75,2.76,2.65,2.7,2.7,138478,0.0,1.0
2019-02-08,2.8,2.8735,2.74,2.75,2.75,118302,0.0,1.0
2019-02-07,2.92,2.98,2.76,2.82,2.82,177242,0.0,1.0
2019-02-06,2.89,3.03,2.82,2.93,2.93,114848,0.0,1.0
2019-02-05,2.89,2.955,2.7,2.9,2.9,247012,0.0,1.0
2019-02-04,2.9,2.98,2.87,2.89,2.89,97157,0.0,1.0
2019-02-01,2.93,3.02,2.85,2.9,2.9,110617,0.0,1.0
2019-01-31,3.05,3.11,2.92,2.93,2.93,161916,0.0,1.0
2019-01-30,3.03,3.0874,2.91,3.05,3.05,99606,0.0,1.0
2019-01-29,3.23,3.23,3.02,3.03,3.03,60474,0.0,1.0
2019-01-28,3.4,3.44,3.15,3.2,3.2,170662,0.0,1.0
2019-01-25,3.56,3.61,3.41,3.42,3.42,117830,0.0,1.0
2019-01-24,3.4,3.61,3.4,3.5,3.5,52319,0.0,1.0
2019-01-23,3.48,3.48,3.37,3.41,3.41,57327,0.0,1.0
2019-01-22,3.46,3.52,3.35,3.46,3.46,128613,0.0,1.0
2019-01-18,3.57,3.65,3.47,3.5,3.5,89611,0.0,1.0
2019-01-17,3.49,3.6279,3.45,3.56,3.56,125329,0.0,1.0
2019-01-16,3.45,3.67,3.45,3.52,3.52,149876,0.0,1.0
2019-01-15,3.3,3.5,3.3,3.43,3.43,111565,0.0,1.0
2019-01-14,3.5,3.5,3.31,3.31,3.31,161180,0.0,1.0
2019-01-11,3.45,3.61,3.4289,3.5,3.5,106220,0.0,1.0
2019-01-10,3.51,3.59,3.44,3.45,3.45,94617,0.0,1.0
2019-01-09,3.54,3.65,3.48,3.51,3.51,148670,0.0,1.0
2019-01-08,3.41,3.73,3.41,3.54,3.54,180920,0.0,1.0
2019-01-07,3.13,3.51,3.13,3.38,3.38,170431,0.0,1.0
2019-01-04,3.08,3.27,3.08,3.11,3.11,127081,0.0,1.0
2019-01-03,3.08,3.2314,2.98,3.08,3.08,207115,0.0,1.0
2019-01-02,2.84,3.23,2.79,3.12,3.12,254345,0.0,1.0
2018-12-31,3.09,3.14,2.8,2.89,2.89,386326,0.0,1.0
2018-12-28,3.07,3.23,3.02,3.09,3.09,340490,0.0,1.0
2018-12-27,3.28,3.35,3.04,3.07,3.07,279609,0.0,1.0
2018-12-26,3.32,3.38,3.15,3.35,3.35,235599,0.0,1.0
2018-12-24,3.29,3.42,3.24,3.28,3.28,124867,0.0,1.0
2018-12-21,3.36,3.55,3.31,3.36,3.36,759461,0.0,1.0
2018-12-20,3.48,3.53,3.27,3.36,3.36,286355,0.0,1.0
2018-12-19,3.42,3.62,3.42,3.55,3.55,243853,0.0,1.0
2018-12-18,3.59,3.6089,3.42,3.45,3.45,146429,0.0,1.0
2018-12-17,3.75,3.82,3.48,3.48,3.48,245287,0.0,1.0
2018-12-14,3.53,3.84,3.53,3.82,3.82,102018,0.0,1.0
2018-12-13,3.75,3.89,3.2852,3.61,3.61,297253,0.0,1.0
2018-12-12,3.88,3.975,3.72,3.75,3.75,99160,0.0,1.0
2018-12-11,3.94,3.94,3.75,3.79,3.79,92760,0.0,1.0
2018-12-10,3.91,4.04,3.74,3.83,3.83,110098,0.0,1.0
2018-12-07,4.0,4.25,3.84,3.88,3.88,139760,0.0,1.0
2018-12-06,4.13,4.19,3.89,4.01,4.01,293418,0.0,1.0
2018-12-04,4.53,4.62,4.2,4.23,4.23,149270,0.0,1.0
2018-12-03,4.5,4.6,4.28,4.59,4.59,132197,0.0,1.0
2018-11-30,4.22,4.56,4.22,4.41,4.41,147991,0.0,1.0
2018-11-29,4.18,4.29,4.04,4.21,4.21,89008,0.0,1.0
2018-11-28,3.93,4.35,3.88,4.21,4.21,199399,0.0,1.0
2018-11-27,3.77,4.045,3.77,3.93,3.93,216350,0.0,1.0
2018-11-26,3.95,4.11,3.75,3.77,3.77,239628,0.0,1.0
2018-11-23,3.98,4.0599,3.91,3.93,3.93,85645,0.0,1.0
2018-11-21,3.98,4.18,3.965,4.01,4.01,73901,0.0,1.0
2018-11-20,4.08,4.1,3.81,3.95,3.95,249901,0.0,1.0
2018-11-19,4.1,4.18,4.0432,4.13,4.13,139169,0.0,1.0
2018-11-16,4.43,4.43,3.98,4.03,4.03,388039,0.0,1.0
2018-11-15,4.88,4.9947,4.46,4.49,4.49,234158,0.0,1.0
2018-11-14,5.12,5.31,4.89,4.9,4.9,165663,0.0,1.0
2018-11-13,5.49,5.675,5.03,5.08,5.08,269196,0.0,1.0
2018-11-12,5.62,5.63,5.34,5.5,5.5,209132,0.0,1.0
2018-11-09,5.63,5.67,5.38,5.59,5.59,173934,0.0,1.0
2018-11-08,5.24,5.74,5.24,5.68,5.68,210707,0.0,1.0
2018-11-07,4.31,5.49,4.2701,5.35,5.35,352172,0.0,1.0
2018-11-06,4.57,4.87,4.53,4.61,4.61,147347,0.0,1.0
2018-11-05,4.79,4.83,4.4,4.63,4.63,199248,0.0,1.0
2018-11-02,4.56,4.9,4.53,4.8,4.8,191823,0.0,1.0
2018-11-01,4.02,4.77,4.02,4.56,4.56,443385,0.0,1.0
