,SHAK_Open,SHAK_High,SHAK_Low,SHAK_Close,SHAK_Adj Close,SHAK_Volume,SHAK_Dividend Amount,SHAK_Split Coefficient
2024-06-05,92.34,96.64,91.12,96.59,96.59,950050,0.0,1.0
2024-06-04,92.46,92.58,90.39,91.68,91.68,703287,0.0,1.0
2024-06-03,94.9,95.18,89.59,92.57,92.57,1358450,0.0,1.0
2024-05-31,94.92,95.08,91.33,94.89,94.89,763958,0.0,1.0
2024-05-30,95.63,96.07,93.12,94.3,94.3,849606,0.0,1.0
2024-05-29,95.0,96.08,93.245,95.03,95.03,615258,0.0,1.0
2024-05-28,97.6,97.944,95.16,95.87,95.87,857525,0.0,1.0
2024-05-24,97.02,98.59,95.84,97.51,97.51,525297,0.0,1.0
2024-05-23,97.59,97.59,95.02,96.14,96.14,708418,0.0,1.0
2024-05-22,99.2,99.2,96.57,97.21,97.21,686432,0.0,1.0
2024-05-21,99.21,100.46,97.89,99.37,99.37,601684,0.0,1.0
2024-05-20,99.16,100.75,98.51,99.59,99.59,476427,0.0,1.0
2024-05-17,101.45,101.61,99.11,99.16,99.16,483083,0.0,1.0
2024-05-16,102.29,103.56,101.285,101.46,101.46,536004,0.0,1.0
2024-05-15,104.17,105.5,102.44,102.83,102.83,520662,0.0,1.0
2024-05-14,102.63,105.0,102.63,102.77,102.77,853383,0.0,1.0
2024-05-13,104.36,104.36,100.7501,102.08,102.08,658106,0.0,1.0
2024-05-10,104.2,106.59,102.02,103.28,103.28,866639,0.0,1.0
2024-05-09,102.64,105.5,101.31,105.07,105.07,753143,0.0,1.0
2024-05-08,103.0,104.475,101.59,102.76,102.76,902303,0.0,1.0
2024-05-07,105.8,108.0,104.4547,105.15,105.15,913917,0.0,1.0
2024-05-06,107.28,111.2895,104.69,105.62,105.62,1156393,0.0,1.0
2024-05-03,106.96,109.48,106.96,107.47,107.47,998288,0.0,1.0
2024-05-02,105.5,108.73,101.46,104.94,104.94,1886519,0.0,1.0
2024-05-01,105.03,106.14,102.47,103.33,103.33,1047628,0.0,1.0
2024-04-30,104.51,106.375,103.875,105.85,105.85,677777,0.0,1.0
2024-04-29,105.23,106.39,103.45,105.8,105.8,844609,0.0,1.0
2024-04-26,102.91,105.81,101.87,104.88,104.88,1191812,0.0,1.0
2024-04-25,98.11,101.8,97.08,101.38,101.38,718045,0.0,1.0
2024-04-24,100.01,101.195,99.17,99.54,99.54,524723,0.0,1.0
2024-04-23,96.0,100.5,95.97,99.99,99.99,684899,0.0,1.0
2024-04-22,94.64,95.56,92.93,95.4,95.4,607737,0.0,1.0
2024-04-19,94.28,96.94,93.77,94.4,94.4,685318,0.0,1.0
2024-04-18,95.79,97.37,95.05,95.23,95.23,454783,0.0,1.0
2024-04-17,97.56,97.57,93.46,94.91,94.91,741358,0.0,1.0
2024-04-16,96.16,97.025,94.55,96.53,96.53,578826,0.0,1.0
2024-04-15,97.72,99.99,96.58,97.07,97.07,586356,0.0,1.0
2024-04-12,99.21,99.405,96.78,97.21,97.21,481521,0.0,1.0
2024-04-11,99.14,99.5,98.13,99.44,99.44,475627,0.0,1.0
2024-04-10,95.88,99.28,94.67,98.68,98.68,873444,0.0,1.0
2024-04-09,102.16,102.32,98.3,98.51,98.51,796214,0.0,1.0
2024-04-08,102.0,103.165,101.6401,102.49,102.49,472557,0.0,1.0
2024-04-05,100.28,101.98,100.14,101.24,101.24,601450,0.0,1.0
2024-04-04,103.07,104.19,100.0,100.33,100.33,610549,0.0,1.0
2024-04-03,103.08,104.89,102.19,102.4,102.4,526233,0.0,1.0
2024-04-02,104.25,104.385,102.75,103.4,103.4,1150267,0.0,1.0
2024-04-01,105.0,107.35,104.61,106.45,106.45,776596,0.0,1.0
2024-03-28,104.74,108.02,103.86,104.03,104.03,847178,0.0,1.0
2024-03-27,103.21,104.84,102.01,104.28,104.28,914637,0.0,1.0
2024-03-26,103.71,105.505,102.29,102.38,102.38,982738,0.0,1.0
2024-03-25,108.35,108.52,102.24,102.82,102.82,1352842,0.0,1.0
2024-03-22,109.0,110.9,107.8225,109.27,109.27,918013,0.0,1.0
2024-03-21,104.33,110.62,103.97,108.6,108.6,1595136,0.0,1.0
2024-03-20,105.36,109.25,105.36,109.22,109.22,981586,0.0,1.0
2024-03-19,104.47,105.37,102.53,105.36,105.36,628254,0.0,1.0
2024-03-18,104.08,106.76,103.77,104.79,104.79,826986,0.0,1.0
2024-03-15,103.09,103.96,101.34,103.69,103.69,827492,0.0,1.0
2024-03-14,102.61,105.3,102.16,103.7,103.7,799820,0.0,1.0
2024-03-13,102.42,104.45,102.12,102.86,102.86,654363,0.0,1.0
2024-03-12,100.32,103.17,100.08,102.42,102.42,810384,0.0,1.0
2024-03-11,103.46,103.54,99.16,100.07,100.07,1024083,0.0,1.0
2024-03-08,105.11,106.5376,103.05,103.63,103.63,790973,0.0,1.0
2024-03-07,106.73,107.2,102.626,104.44,104.44,1579421,0.0,1.0
2024-03-06,101.06,101.815,99.15,100.96,100.96,575897,0.0,1.0
2024-03-05,103.23,103.9592,99.7,100.19,100.19,1075794,0.0,1.0
2024-03-04,107.88,108.39,104.05,104.26,104.26,934257,0.0,1.0
2024-03-01,106.34,107.29,105.15,107.25,107.25,874679,0.0,1.0
2024-02-29,104.5,107.41,103.5001,106.32,106.32,1311622,0.0,1.0
2024-02-28,101.66,103.57,101.01,103.3,103.3,716918,0.0,1.0
2024-02-27,101.13,102.52,100.07,102.14,102.14,758026,0.0,1.0
2024-02-26,98.57,102.82,98.14,101.13,101.13,1070313,0.0,1.0
2024-02-23,97.29,100.71,97.05,98.04,98.04,941765,0.0,1.0
2024-02-22,96.25,97.9999,94.98,97.03,97.03,1159198,0.0,1.0
2024-02-21,96.68,97.54,94.58,95.82,95.82,1050676,0.0,1.0
2024-02-20,97.5,99.13,97.0,97.57,97.57,1151279,0.0,1.0
2024-02-16,98.87,99.85,95.64,98.29,98.29,1824684,0.0,1.0
2024-02-15,94.76,98.9,91.0,98.4,98.4,6101245,0.0,1.0
2024-02-14,78.33,79.0399,76.3,78.07,78.07,1378306,0.0,1.0
2024-02-13,77.09,78.75,75.46,77.62,77.62,1293118,0.0,1.0
2024-02-12,79.69,81.89,79.61,80.3,80.3,973416,0.0,1.0
2024-02-09,78.6,80.91,78.16,79.59,79.59,836776,0.0,1.0
2024-02-08,76.73,79.21,76.69,79.13,79.13,594491,0.0,1.0
2024-02-07,75.2,77.6,74.71,76.12,76.12,626380,0.0,1.0
2024-02-06,75.53,75.9499,74.25,74.43,74.43,797203,0.0,1.0
2024-02-05,76.25,76.39,73.755,75.77,75.77,671834,0.0,1.0
2024-02-02,77.98,78.22,76.615,77.5,77.5,590356,0.0,1.0
2024-02-01,76.11,78.94,76.11,78.75,78.75,847081,0.0,1.0
2024-01-31,76.12,78.3477,75.45,75.56,75.56,957004,0.0,1.0
2024-01-30,78.43,78.82,75.06,75.77,75.77,1201302,0.0,1.0
2024-01-29,73.78,78.95,73.745,78.7,78.7,1252103,0.0,1.0
2024-01-26,73.3,74.255,72.895,73.68,73.68,813769,0.0,1.0
2024-01-25,72.0,73.41,71.3913,73.3,73.3,1002342,0.0,1.0
2024-01-24,72.0,72.32,70.68,70.97,70.97,685605,0.0,1.0
2024-01-23,69.56,71.29,69.0,71.16,71.16,920025,0.0,1.0
2024-01-22,68.47,70.05,68.11,68.68,68.68,696865,0.0,1.0
2024-01-19,68.43,68.5,66.7,67.47,67.47,706144,0.0,1.0
2024-01-18,66.77,68.57,66.06,68.32,68.32,1187553,0.0,1.0
2024-01-17,64.8,66.15,64.16,66.09,66.09,950450,0.0,1.0
2024-01-16,66.0,66.23,65.21,65.23,65.23,1065610,0.0,1.0
2024-01-12,67.74,67.795,65.9,65.9,65.9,718967,0.0,1.0
2024-01-11,68.19,68.27,67.0,67.43,67.43,1077337,0.0,1.0
2024-01-10,69.96,70.18,67.85,68.54,68.54,759783,0.0,1.0
2024-01-09,70.29,70.89,69.75,69.92,69.92,671253,0.0,1.0
2024-01-08,69.89,71.44,69.728,71.28,71.28,632890,0.0,1.0
2024-01-05,69.62,71.5,69.555,70.02,70.02,703966,0.0,1.0
2024-01-04,68.89,70.72,68.25,69.97,69.97,942518,0.0,1.0
2024-01-03,72.63,72.63,67.59,68.46,68.46,1504887,0.0,1.0
2024-01-02,73.15,73.655,71.75,73.31,73.31,736199,0.0,1.0
2023-12-29,75.12,75.585,73.895,74.12,74.12,463230,0.0,1.0
2023-12-28,75.66,76.05,75.14,75.49,75.49,345429,0.0,1.0
2023-12-27,76.5,76.7391,75.46,75.94,75.94,497871,0.0,1.0
2023-12-26,74.37,76.46,74.0,76.44,76.44,497546,0.0,1.0
2023-12-22,74.06,74.7304,73.31,74.28,74.28,420007,0.0,1.0
2023-12-21,73.93,74.2,71.92,73.74,73.74,886426,0.0,1.0
2023-12-20,71.91,74.7498,71.8,72.61,72.61,914388,0.0,1.0
2023-12-19,72.28,73.29,72.06,72.68,72.68,1062803,0.0,1.0
2023-12-18,72.32,73.49,71.3,71.68,71.68,841680,0.0,1.0
2023-12-15,73.11,73.155,71.66,72.33,72.33,1284420,0.0,1.0
2023-12-14,70.64,73.45,70.35,73.33,73.33,1224022,0.0,1.0
2023-12-13,67.56,69.5,66.21,69.18,69.18,924767,0.0,1.0
2023-12-12,67.22,68.33,66.7,67.42,67.42,1224417,0.0,1.0
2023-12-11,62.99,67.4,62.87,66.83,66.83,2608380,0.0,1.0
2023-12-08,61.24,62.0755,60.84,60.98,60.98,621520,0.0,1.0
2023-12-07,62.77,63.1516,61.19,61.72,61.72,556311,0.0,1.0
2023-12-06,64.55,64.55,62.39,62.77,62.77,854639,0.0,1.0
2023-12-05,61.72,61.86,60.86,61.53,61.53,577280,0.0,1.0
2023-12-04,61.65,63.2,61.54,62.06,62.06,539686,0.0,1.0
2023-12-01,60.26,61.88,59.9385,61.66,61.66,576684,0.0,1.0
2023-11-30,60.55,60.94,60.02,60.56,60.56,510231,0.0,1.0
2023-11-29,62.51,62.6501,59.92,60.37,60.37,544747,0.0,1.0
2023-11-28,62.1,62.31,61.13,61.99,61.99,737707,0.0,1.0
2023-11-27,62.13,63.09,61.81,62.42,62.42,603316,0.0,1.0
2023-11-24,61.81,62.93,61.81,62.52,62.52,223470,0.0,1.0
2023-11-22,61.85,63.18,61.85,62.31,62.31,530360,0.0,1.0
2023-11-21,61.4,62.1,60.89,61.19,61.19,436698,0.0,1.0
2023-11-20,60.84,63.06,60.5,61.9,61.9,630860,0.0,1.0
2023-11-17,60.98,61.77,60.48,60.9,60.9,452519,0.0,1.0
2023-11-16,60.03,60.55,59.51,60.49,60.49,450277,0.0,1.0
2023-11-15,60.58,61.74,60.01,60.47,60.47,855575,0.0,1.0
2023-11-14,57.19,60.96,57.09,60.75,60.75,1092987,0.0,1.0
2023-11-13,54.97,55.84,54.5625,55.52,55.52,542839,0.0,1.0
2023-11-10,54.76,55.43,54.06,55.03,55.03,592207,0.0,1.0
2023-11-09,56.47,56.49,54.525,54.84,54.84,1042732,0.0,1.0
2023-11-08,57.98,57.98,56.13,56.26,56.26,571373,0.0,1.0
2023-11-07,57.34,58.38,56.65,57.82,57.82,761932,0.0,1.0
2023-11-06,59.4,59.4,57.07,57.13,57.13,845407,0.0,1.0
2023-11-03,56.63,60.28,56.24,59.51,59.51,1265227,0.0,1.0
2023-11-02,61.61,61.61,54.73,56.47,56.47,2041714,0.0,1.0
2023-11-01,56.19,57.56,55.615,57.27,57.27,1508048,0.0,1.0
2023-10-31,55.68,56.87,55.05,56.04,56.04,724845,0.0,1.0
2023-10-30,55.62,56.34,54.76,55.77,55.77,922485,0.0,1.0
2023-10-27,55.4,56.06,54.715,54.99,54.99,658049,0.0,1.0
2023-10-26,55.97,56.25,54.99,55.1,55.1,597622,0.0,1.0
2023-10-25,56.74,57.14,55.76,56.08,56.08,847684,0.0,1.0
2023-10-24,56.06,57.5,56.06,56.92,56.92,664352,0.0,1.0
2023-10-23,54.26,56.74,53.63,55.59,55.59,903588,0.0,1.0
2023-10-20,55.63,55.63,54.67,54.91,54.91,769334,0.0,1.0
2023-10-19,55.27,57.07,55.195,55.69,55.69,716224,0.0,1.0
2023-10-18,55.42,55.91,55.01,55.3,55.3,546970,0.0,1.0
2023-10-17,53.54,56.655,53.475,56.11,56.11,784607,0.0,1.0
2023-10-16,53.95,54.82,53.12,53.83,53.83,724455,0.0,1.0
2023-10-13,54.18,54.51,52.79,53.52,53.52,794521,0.0,1.0
2023-10-12,57.68,57.785,54.18,54.58,54.58,806708,0.0,1.0
2023-10-11,56.87,58.05,56.82,57.67,57.67,737601,0.0,1.0
2023-10-10,55.77,57.89,55.77,56.9,56.9,601149,0.0,1.0
2023-10-09,55.07,55.97,53.89,55.87,55.87,630401,0.0,1.0
2023-10-06,55.99,57.21,55.7,56.23,56.23,913139,0.0,1.0
2023-10-05,57.28,57.89,55.91,56.3,56.3,749237,0.0,1.0
2023-10-04,56.8,58.42,56.46,57.96,57.96,753989,0.0,1.0
2023-10-03,58.0,58.61,55.71,56.49,56.49,1025346,0.0,1.0
2023-10-02,57.94,59.31,57.76,58.77,58.77,814261,0.0,1.0
2023-09-29,60.0,60.38,57.96,58.07,58.07,597345,0.0,1.0
2023-09-28,56.95,59.04,56.66,58.5,58.5,782257,0.0,1.0
2023-09-27,57.69,58.19,56.22,57.04,57.04,469862,0.0,1.0
2023-09-26,57.62,58.07,56.95,57.33,57.33,527669,0.0,1.0
2023-09-25,57.39,58.4,57.18,57.95,57.95,616629,0.0,1.0
2023-09-22,58.71,59.45,57.79,57.86,57.86,618887,0.0,1.0
2023-09-21,59.5,60.21,58.08,58.14,58.14,915532,0.0,1.0
2023-09-20,61.04,61.94,60.44,60.49,60.49,617044,0.0,1.0
2023-09-19,62.47,62.82,60.02,60.98,60.98,817198,0.0,1.0
2023-09-18,61.95,63.6,61.94,63.13,63.13,1604221,0.0,1.0
2023-09-15,63.72,64.6,61.59,62.08,62.08,1601158,0.0,1.0
2023-09-14,61.71,62.51,60.81,62.07,62.07,927865,0.0,1.0
2023-09-13,61.92,62.23,61.2,61.24,61.24,689294,0.0,1.0
2023-09-12,62.93,63.33,61.82,62.37,62.37,663398,0.0,1.0
2023-09-11,65.38,65.45,62.25,63.26,63.26,1225783,0.0,1.0
2023-09-08,66.56,66.715,65.02,65.2,65.2,701528,0.0,1.0
2023-09-07,66.96,66.96,66.06,66.5,66.5,552551,0.0,1.0
2023-09-06,67.21,67.87,65.82,67.28,67.28,757568,0.0,1.0
2023-09-05,69.31,69.56,66.61,66.98,66.98,1079579,0.0,1.0
2023-09-01,70.28,70.86,69.67,70.07,70.07,497112,0.0,1.0
2023-08-31,70.89,71.23,69.74,70.0,70.0,708240,0.0,1.0
2023-08-30,69.19,70.39,68.76,70.38,70.38,545071,0.0,1.0
2023-08-29,68.83,70.38,68.83,69.86,69.86,674577,0.0,1.0
2023-08-28,69.92,70.82,69.02,69.18,69.18,623657,0.0,1.0
2023-08-25,69.8,70.765,69.3,69.92,69.92,332196,0.0,1.0
2023-08-24,69.68,70.25,69.07,69.97,69.97,471219,0.0,1.0
2023-08-23,70.68,71.67,70.19,70.31,70.31,481973,0.0,1.0
2023-08-22,69.0,70.67,68.46,70.66,70.66,430080,0.0,1.0
2023-08-21,69.39,70.34,68.48,68.59,68.59,653167,0.0,1.0
2023-08-18,68.29,70.34,67.89,69.36,69.36,804764,0.0,1.0
2023-08-17,73.67,73.67,69.1,69.28,69.28,1201665,0.0,1.0
2023-08-16,75.76,76.1,73.125,73.61,73.61,857593,0.0,1.0
2023-08-15,76.55,77.79,76.0101,76.14,76.14,504024,0.0,1.0
2023-08-14,75.95,77.13,75.67,76.83,76.83,470264,0.0,1.0
2023-08-11,75.29,76.63,75.04,76.18,76.18,437842,0.0,1.0
2023-08-10,75.64,77.34,74.85,75.8,75.8,808716,0.0,1.0
2023-08-09,78.28,78.81,75.45,75.6,75.6,586059,0.0,1.0
2023-08-08,79.35,80.44,77.82,79.0,79.0,522111,0.0,1.0
2023-08-07,79.35,80.14,78.47,79.79,79.79,756556,0.0,1.0
2023-08-04,77.16,80.49,75.94,78.91,78.91,1732499,0.0,1.0
2023-08-03,71.3,74.96,70.14,74.67,74.67,2337068,0.0,1.0
2023-08-02,75.97,76.91,74.85,75.03,75.03,731987,0.0,1.0
2023-08-01,77.03,77.495,76.26,77.16,77.16,680494,0.0,1.0
2023-07-31,75.99,77.7,75.86,77.66,77.66,617620,0.0,1.0
2023-07-28,77.65,77.65,75.76,75.98,75.98,516449,0.0,1.0
2023-07-27,77.61,78.365,75.74,76.47,76.47,763123,0.0,1.0
2023-07-26,76.6,78.12,76.42,78.09,78.09,526468,0.0,1.0
2023-07-25,76.82,77.54,76.45,76.6,76.6,531430,0.0,1.0
2023-07-24,78.0,78.13,76.41,77.22,77.22,463539,0.0,1.0
2023-07-21,79.16,79.16,77.68,77.92,77.92,375654,0.0,1.0
2023-07-20,78.78,79.23,77.8,78.34,78.34,734222,0.0,1.0
2023-07-19,80.3,80.58,78.42,79.12,79.12,679771,0.0,1.0
2023-07-18,79.5,80.49,78.9382,79.91,79.91,562390,0.0,1.0
2023-07-17,78.45,79.4899,78.0,78.73,78.73,459485,0.0,1.0
2023-07-14,78.23,79.6,77.68,78.75,78.75,563817,0.0,1.0
2023-07-13,79.24,80.39,78.14,78.17,78.17,507929,0.0,1.0
2023-07-12,79.0,79.165,76.95,78.89,78.89,685263,0.0,1.0
2023-07-11,77.01,78.72,77.01,78.22,78.22,890188,0.0,1.0
2023-07-10,76.09,77.28,75.56,76.85,76.85,521345,0.0,1.0
2023-07-07,77.3,78.0,76.24,76.26,76.26,676015,0.0,1.0
2023-07-06,76.66,77.06,76.06,76.99,76.99,540890,0.0,1.0
2023-07-05,77.94,77.94,76.08,77.27,77.27,854378,0.0,1.0
2023-07-03,77.92,78.78,77.65,78.1,78.1,341206,0.0,1.0
2023-06-30,77.96,79.33,77.19,77.72,77.72,773173,0.0,1.0
2023-06-29,77.11,78.71,76.895,77.65,77.65,755647,0.0,1.0
2023-06-28,74.72,76.96,74.625,76.87,76.87,534973,0.0,1.0
2023-06-27,73.72,75.468,73.58,74.9,74.9,502471,0.0,1.0
2023-06-26,73.53,74.82,71.96,73.02,73.02,714491,0.0,1.0
2023-06-23,74.25,75.6358,73.8259,73.95,73.95,771871,0.0,1.0
2023-06-22,74.95,76.14,73.74,75.06,75.06,955829,0.0,1.0
2023-06-21,73.77,76.025,73.48,75.19,75.19,1090990,0.0,1.0
2023-06-20,71.18,74.84,71.11,73.99,73.99,1639389,0.0,1.0
2023-06-16,72.5,72.7825,70.71,71.13,71.13,726725,0.0,1.0
2023-06-15,72.53,73.11,71.42,72.13,72.13,761005,0.0,1.0
2023-06-14,71.04,73.28,70.4,72.74,72.74,1256494,0.0,1.0
2023-06-13,68.79,70.29,68.42,70.14,70.14,543026,0.0,1.0
2023-06-12,68.97,69.18,68.03,68.75,68.75,745694,0.0,1.0
2023-06-09,69.17,69.33,68.12,68.76,68.76,400760,0.0,1.0
2023-06-08,69.44,70.425,68.92,69.05,69.05,470127,0.0,1.0
2023-06-07,70.28,71.21,69.42,70.17,70.17,942638,0.0,1.0
2023-06-06,68.75,70.35,68.11,70.0,70.0,671704,0.0,1.0
2023-06-05,67.77,69.47,67.77,68.75,68.75,595500,0.0,1.0
2023-06-02,68.1,68.65,67.24,68.59,68.59,788203,0.0,1.0
2023-06-01,66.17,67.67,65.27,67.54,67.54,765674,0.0,1.0
2023-05-31,66.32,66.75,64.28,66.17,66.17,790622,0.0,1.0
2023-05-30,65.81,66.58,64.95,65.13,65.13,565865,0.0,1.0
2023-05-26,65.84,66.92,65.33,65.4,65.4,447688,0.0,1.0
2023-05-25,66.13,66.13,64.66,65.9,65.9,548665,0.0,1.0
2023-05-24,65.0,66.32,64.44,65.84,65.84,770691,0.0,1.0
2023-05-23,66.28,66.81,65.23,65.25,65.25,889054,0.0,1.0
2023-05-22,67.0,67.49,66.2,66.67,66.67,1127514,0.0,1.0
2023-05-19,67.64,69.19,65.885,66.69,66.69,823930,0.0,1.0
2023-05-18,67.0,67.8,66.22,66.72,66.72,636791,0.0,1.0
2023-05-17,67.76,68.13,66.4511,67.4,67.4,690332,0.0,1.0
2023-05-16,70.08,70.975,67.21,67.24,67.24,1161589,0.0,1.0
2023-05-15,68.5,71.935,68.09,70.3,70.3,2889578,0.0,1.0
2023-05-12,66.48,66.52,64.68,65.21,65.21,705601,0.0,1.0
2023-05-11,66.62,66.8967,65.66,66.49,66.49,583122,0.0,1.0
2023-05-10,66.73,67.4999,65.39,66.38,66.38,1084647,0.0,1.0
2023-05-09,65.93,66.835,65.29,65.96,65.96,885401,0.0,1.0
2023-05-08,65.9,67.14,65.07,66.92,66.92,1355840,0.0,1.0
2023-05-05,63.0,66.29,61.26,65.53,65.53,2289734,0.0,1.0
2023-05-04,57.99,61.935,57.1,61.57,61.57,3911858,0.0,1.0
2023-05-03,54.6,54.79,52.64,52.82,52.82,1548022,0.0,1.0
2023-05-02,54.43,54.63,53.05,54.48,54.48,844224,0.0,1.0
