,SPPI_Open,SPPI_High,SPPI_Low,SPPI_Close,SPPI_Adj Close,SPPI_Volume,SPPI_Dividend Amount,SPPI_Split Coefficient
2023-05-05,1.07,1.1,1.045,1.09,1.09,2211271,0.0,1.0
2023-05-04,1.08,1.1,1.03,1.05,1.05,2080115,0.0,1.0
2023-05-03,1.0,1.1,1.0,1.1,1.1,5639176,0.0,1.0
2023-05-02,1.0,1.03,0.9798,1.02,1.02,1960902,0.0,1.0
2023-05-01,0.95,1.01,0.9421,0.9825,0.9825,3143562,0.0,1.0
2023-04-28,0.9105,0.979,0.9,0.975,0.975,5031333,0.0,1.0
2023-04-27,0.851,0.9472,0.851,0.92,0.92,4333821,0.0,1.0
2023-04-26,0.9,0.915,0.8211,0.882,0.882,3870831,0.0,1.0
2023-04-25,0.9167,0.969,0.8301,0.916,0.916,34230599,0.0,1.0
2023-04-24,0.71,0.71,0.6875,0.6905,0.6905,478063,0.0,1.0
2023-04-21,0.6801,0.7091,0.68,0.7014,0.7014,455913,0.0,1.0
2023-04-20,0.69,0.736,0.6851,0.6951,0.6951,518217,0.0,1.0
2023-04-19,0.704,0.704,0.69,0.6916,0.6916,276248,0.0,1.0
2023-04-18,0.7056,0.725,0.69,0.714,0.714,649399,0.0,1.0
2023-04-17,0.6801,0.71,0.6801,0.6849,0.6849,400658,0.0,1.0
2023-04-14,0.6801,0.7,0.68,0.6949,0.6949,328580,0.0,1.0
2023-04-13,0.65,0.708,0.65,0.698,0.698,692322,0.0,1.0
2023-04-12,0.6688,0.68,0.65,0.6511,0.6511,678032,0.0,1.0
2023-04-11,0.69,0.693682,0.6643,0.675,0.675,550029,0.0,1.0
2023-04-10,0.6982,0.7,0.66,0.6799,0.6799,494868,0.0,1.0
2023-04-06,0.69,0.7,0.665,0.691,0.691,654928,0.0,1.0
2023-04-05,0.7299,0.7299,0.6914,0.694,0.694,412237,0.0,1.0
2023-04-04,0.7634,0.77,0.6757,0.6951,0.6951,855425,0.0,1.0
2023-04-03,0.745,0.778,0.734,0.766,0.766,604378,0.0,1.0
2023-03-31,0.73,0.75,0.72,0.75,0.75,644927,0.0,1.0
2023-03-30,0.7258,0.7422,0.709,0.715,0.715,657892,0.0,1.0
2023-03-29,0.6901,0.72,0.683,0.71,0.71,474718,0.0,1.0
2023-03-28,0.66,0.7094,0.66,0.67,0.67,1742735,0.0,1.0
2023-03-27,0.7117,0.7117,0.6647,0.6797,0.6797,1739087,0.0,1.0
2023-03-24,0.688,0.6949,0.6519,0.67,0.67,1784037,0.0,1.0
2023-03-23,0.73,0.7497,0.7,0.7126,0.7126,1295593,0.0,1.0
2023-03-22,0.84,0.8699,0.704,0.73,0.73,4353095,0.0,1.0
2023-03-21,0.8151,0.8256,0.7801,0.8256,0.8256,1252728,0.0,1.0
2023-03-20,0.79,0.83,0.7802,0.8001,0.8001,631234,0.0,1.0
2023-03-17,0.824,0.824,0.78,0.8182,0.8182,752804,0.0,1.0
2023-03-16,0.79,0.82,0.738,0.82,0.82,1299731,0.0,1.0
2023-03-15,0.7963,0.8474,0.749,0.7749,0.7749,1718657,0.0,1.0
2023-03-14,0.79,0.8694,0.79,0.83,0.83,959486,0.0,1.0
2023-03-13,0.77,0.8498,0.77,0.7922,0.7922,827683,0.0,1.0
2023-03-10,0.8322,0.882,0.76,0.7943,0.7943,2552379,0.0,1.0
2023-03-09,0.86,0.8895,0.8349,0.8531,0.8531,1082913,0.0,1.0
2023-03-08,0.91,0.91,0.851,0.8814,0.8814,777575,0.0,1.0
2023-03-07,0.89,0.9698,0.889,0.92,0.92,1549745,0.0,1.0
2023-03-06,0.99,1.0,0.89,0.89,0.89,2325710,0.0,1.0
2023-03-03,0.9077,1.0,0.9077,1.0,1.0,2202733,0.0,1.0
2023-03-02,0.87,0.92,0.86,0.9053,0.9053,1788404,0.0,1.0
2023-03-01,0.8,0.87,0.79,0.86,0.86,1228712,0.0,1.0
2023-02-28,0.76,0.8048,0.76,0.778,0.778,738157,0.0,1.0
2023-02-27,0.74,0.789854,0.74,0.7753,0.7753,546955,0.0,1.0
2023-02-24,0.79,0.79,0.72,0.73,0.73,1305122,0.0,1.0
2023-02-23,0.77,0.81,0.76,0.7954,0.7954,1236431,0.0,1.0
2023-02-22,0.7499,0.7998,0.742,0.7831,0.7831,967170,0.0,1.0
2023-02-21,0.8099,0.8099,0.7352,0.74,0.74,2594635,0.0,1.0
2023-02-17,0.82,0.85,0.81,0.8325,0.8325,1088720,0.0,1.0
2023-02-16,0.863,0.878,0.8201,0.8214,0.8214,1739375,0.0,1.0
2023-02-15,0.91,0.91995,0.816,0.88,0.88,3717614,0.0,1.0
2023-02-14,0.94,0.9672,0.91,0.9277,0.9277,1269769,0.0,1.0
2023-02-13,1.01,1.02,0.9,0.92,0.92,2617005,0.0,1.0
2023-02-10,1.13,1.13,0.95,1.03,1.03,6952140,0.0,1.0
2023-02-09,0.93,1.12,0.9253,1.07,1.07,6263134,0.0,1.0
2023-02-08,0.87,0.9499,0.8531,0.8841,0.8841,3699330,0.0,1.0
2023-02-07,0.819,0.8463,0.8026,0.8247,0.8247,1553785,0.0,1.0
2023-02-06,0.81,0.83,0.7988,0.8198,0.8198,1129883,0.0,1.0
2023-02-03,0.793,0.83,0.78,0.81,0.81,1963314,0.0,1.0
2023-02-02,0.91,0.92,0.7501,0.8058,0.8058,3637177,0.0,1.0
2023-02-01,0.7136,0.88,0.7,0.85,0.85,4979972,0.0,1.0
2023-01-31,0.62,0.719699,0.61,0.7,0.7,6784787,0.0,1.0
2023-01-30,0.57,0.58,0.5399,0.5412,0.5412,1081611,0.0,1.0
2023-01-27,0.58,0.6088,0.5671,0.5692,0.5692,873056,0.0,1.0
2023-01-26,0.602,0.63,0.58,0.585,0.585,905087,0.0,1.0
2023-01-25,0.5629,0.628,0.52,0.6008,0.6008,2099883,0.0,1.0
2023-01-24,0.5727,0.59,0.552,0.569,0.569,814445,0.0,1.0
2023-01-23,0.555,0.6047,0.5411,0.56,0.56,1231871,0.0,1.0
2023-01-20,0.55,0.5873,0.52,0.58,0.58,862697,0.0,1.0
2023-01-19,0.5808,0.61,0.5195,0.5411,0.5411,1610969,0.0,1.0
2023-01-18,0.6106,0.64,0.5801,0.5897,0.5897,1716393,0.0,1.0
2023-01-17,0.6336,0.635,0.59,0.5951,0.5951,1458591,0.0,1.0
2023-01-13,0.5125,0.599,0.5125,0.599,0.599,2036414,0.0,1.0
2023-01-12,0.5,0.54,0.49,0.5274,0.5274,867834,0.0,1.0
2023-01-11,0.5,0.52,0.5,0.51,0.51,1092254,0.0,1.0
2023-01-10,0.4763,0.54,0.475,0.5,0.5,1209184,0.0,1.0
2023-01-09,0.4799,0.49,0.465,0.475,0.475,1225367,0.0,1.0
2023-01-06,0.45,0.4823,0.44,0.4823,0.4823,1571353,0.0,1.0
2023-01-05,0.4213,0.47,0.4,0.44,0.44,2661108,0.0,1.0
2023-01-04,0.38,0.4103,0.38,0.4069,0.4069,1206013,0.0,1.0
2023-01-03,0.371,0.39,0.37,0.3825,0.3825,1162518,0.0,1.0
2022-12-30,0.3647,0.375,0.35,0.3685,0.3685,1433772,0.0,1.0
2022-12-29,0.32,0.38,0.32,0.3721,0.3721,1620924,0.0,1.0
2022-12-28,0.323,0.3396,0.3151,0.32,0.32,1711372,0.0,1.0
2022-12-27,0.327,0.3385,0.315,0.3232,0.3232,1472214,0.0,1.0
2022-12-23,0.3314,0.34,0.324,0.3266,0.3266,1290850,0.0,1.0
2022-12-22,0.35,0.3501,0.33,0.338,0.338,1582943,0.0,1.0
2022-12-21,0.34,0.36,0.34,0.34,0.34,1460650,0.0,1.0
2022-12-20,0.36,0.36,0.3301,0.3374,0.3374,2041899,0.0,1.0
2022-12-19,0.422,0.4329,0.3321,0.34,0.34,6024565,0.0,1.0
2022-12-16,0.4237,0.44,0.4125,0.4125,0.4125,3078335,0.0,1.0
2022-12-15,0.44,0.459,0.4297,0.4297,0.4297,926272,0.0,1.0
2022-12-14,0.47,0.47,0.44,0.4489,0.4489,607070,0.0,1.0
2022-12-13,0.46,0.4686,0.4414,0.4682,0.4682,1021773,0.0,1.0
2022-12-12,0.425,0.465,0.423,0.4495,0.4495,1894261,0.0,1.0
2022-12-09,0.44,0.4473,0.4216,0.4226,0.4226,960450,0.0,1.0
2022-12-08,0.44,0.449,0.43,0.445,0.445,907915,0.0,1.0
2022-12-07,0.465,0.47,0.44035,0.443,0.443,1014689,0.0,1.0
2022-12-06,0.47,0.4863,0.455,0.4614,0.4614,1205712,0.0,1.0
2022-12-05,0.45,0.479,0.45,0.4652,0.4652,1088531,0.0,1.0
2022-12-02,0.4601,0.48,0.4601,0.47,0.47,976287,0.0,1.0
2022-12-01,0.46,0.49,0.46,0.4724,0.4724,1670156,0.0,1.0
2022-11-30,0.4415,0.47,0.4403,0.4606,0.4606,1510643,0.0,1.0
2022-11-29,0.4378,0.4598,0.4303,0.441,0.441,1454364,0.0,1.0
2022-11-28,0.4439,0.49,0.43,0.4367,0.4367,2192121,0.0,1.0
2022-11-25,0.4041,0.4768,0.38,0.4626,0.4626,4216134,0.0,1.0
2022-11-23,0.42,0.445,0.42,0.4297,0.4297,1316156,0.0,1.0
2022-11-22,0.4184,0.4281,0.405,0.422,0.422,1285877,0.0,1.0
2022-11-21,0.4333,0.441,0.4071,0.4132,0.4132,1962652,0.0,1.0
2022-11-18,0.46,0.47,0.43,0.4374,0.4374,1499163,0.0,1.0
2022-11-17,0.47,0.47,0.446,0.4501,0.4501,1103889,0.0,1.0
2022-11-16,0.5031,0.519,0.4615,0.4792,0.4792,2253605,0.0,1.0
2022-11-15,0.49,0.52,0.485,0.515,0.515,1760777,0.0,1.0
2022-11-14,0.48,0.495,0.4701,0.4861,0.4861,1728661,0.0,1.0
2022-11-11,0.4586,0.49,0.4478,0.4727,0.4727,1922753,0.0,1.0
2022-11-10,0.4301,0.47255,0.42,0.4623,0.4623,1731476,0.0,1.0
2022-11-09,0.425,0.42999,0.405,0.4074,0.4074,1375597,0.0,1.0
2022-11-08,0.4258,0.4449,0.4186,0.4227,0.4227,972220,0.0,1.0
2022-11-07,0.431,0.439799,0.4175,0.421,0.421,1119851,0.0,1.0
2022-11-04,0.45,0.46,0.4206,0.4332,0.4332,1242699,0.0,1.0
2022-11-03,0.4318,0.45,0.4298,0.4498,0.4498,930149,0.0,1.0
2022-11-02,0.48,0.48,0.4309,0.431,0.431,1366634,0.0,1.0
2022-11-01,0.4749,0.49,0.4665,0.4785,0.4785,1351278,0.0,1.0
2022-10-31,0.4702,0.48,0.4516,0.46,0.46,1523996,0.0,1.0
2022-10-28,0.4419,0.467,0.4301,0.467,0.467,1539949,0.0,1.0
2022-10-27,0.44,0.44,0.4131,0.4304,0.4304,964424,0.0,1.0
2022-10-26,0.4,0.44,0.3987,0.4331,0.4331,2113288,0.0,1.0
2022-10-25,0.41,0.42,0.4013,0.4062,0.4062,3123387,0.0,1.0
2022-10-24,0.3972,0.4896,0.3815,0.4099,0.4099,13271218,0.0,1.0
2022-10-21,0.39,0.418,0.3718,0.39,0.39,4881076,0.0,1.0
2022-10-20,0.38,0.3936,0.372,0.378,0.378,1348879,0.0,1.0
2022-10-19,0.401,0.4145,0.3717,0.3767,0.3767,2453636,0.0,1.0
2022-10-18,0.41,0.4298,0.4013,0.42,0.42,871089,0.0,1.0
2022-10-17,0.4032,0.4175,0.3954,0.4154,0.4154,1213107,0.0,1.0
2022-10-14,0.4047,0.415,0.3812,0.3942,0.3942,1236830,0.0,1.0
2022-10-13,0.38,0.41,0.36,0.4038,0.4038,3079158,0.0,1.0
2022-10-12,0.41,0.41,0.365,0.3805,0.3805,1828676,0.0,1.0
2022-10-11,0.41,0.4146,0.3713,0.38,0.38,2608933,0.0,1.0
2022-10-10,0.4229,0.428,0.41,0.4101,0.4101,2133272,0.0,1.0
2022-10-07,0.4291,0.4365,0.42,0.4202,0.4202,1441112,0.0,1.0
2022-10-06,0.4248,0.448,0.421,0.4389,0.4389,1863583,0.0,1.0
2022-10-05,0.4422,0.4422,0.4155,0.4259,0.4259,2499769,0.0,1.0
2022-10-04,0.4207,0.45,0.4101,0.4476,0.4476,3908884,0.0,1.0
2022-10-03,0.4369,0.4475,0.41,0.415,0.415,3305125,0.0,1.0
2022-09-30,0.454,0.4589,0.43,0.43,0.43,3469971,0.0,1.0
2022-09-29,0.4695,0.4695,0.44,0.45,0.45,2680779,0.0,1.0
2022-09-28,0.4484,0.482,0.4313,0.4777,0.4777,4678067,0.0,1.0
2022-09-27,0.47,0.4872,0.435,0.4403,0.4403,4806320,0.0,1.0
2022-09-26,0.43,0.47,0.425,0.46,0.46,7513453,0.0,1.0
2022-09-23,0.4743,0.4801,0.415,0.4274,0.4274,15336701,0.0,1.0
2022-09-22,0.6346,0.6346,0.6346,0.6346,0.6346,1286717,0.0,1.0
2022-09-21,0.6757,0.68,0.625,0.6346,0.6346,6811499,0.0,1.0
2022-09-20,0.7593,0.8256,0.65,0.6629,0.6629,21847556,0.0,1.0
2022-09-19,1.05,1.08,1.03,1.06,1.06,3033488,0.0,1.0
2022-09-16,1.09,1.09,1.01,1.08,1.08,6139529,0.0,1.0
2022-09-15,1.17,1.17,1.11,1.13,1.13,3846293,0.0,1.0
2022-09-14,1.16,1.22,1.11,1.18,1.18,7356749,0.0,1.0
2022-09-13,1.14,1.23,1.12,1.17,1.17,13077592,0.0,1.0
2022-09-12,1.5,1.55,1.26,1.26,1.26,47655675,0.0,1.0
2022-09-09,1.26,1.3,1.21,1.295,1.295,19518725,0.0,1.0
2022-09-08,1.22,1.31,1.19,1.26,1.26,7023257,0.0,1.0
2022-09-07,1.25,1.27,1.15,1.2,1.2,3880976,0.0,1.0
2022-09-06,1.26,1.28,1.22,1.24,1.24,3599071,0.0,1.0
2022-09-02,1.24,1.2951,1.18,1.21,1.21,2835880,0.0,1.0
2022-09-01,1.14,1.22,1.065,1.19,1.19,3243519,0.0,1.0
2022-08-31,1.17,1.2,1.13,1.13,1.13,1881874,0.0,1.0
2022-08-30,1.16,1.17,1.11,1.15,1.15,2869979,0.0,1.0
2022-08-29,1.23,1.25,1.12,1.14,1.14,4590666,0.0,1.0
2022-08-26,1.32,1.32,1.18,1.24,1.24,3301889,0.0,1.0
2022-08-25,1.35,1.35,1.285,1.32,1.32,2140036,0.0,1.0
2022-08-24,1.28,1.335,1.26,1.33,1.33,1987830,0.0,1.0
2022-08-23,1.27,1.335,1.2605,1.29,1.29,2570069,0.0,1.0
2022-08-22,1.24,1.31,1.23,1.27,1.27,3303096,0.0,1.0
2022-08-19,1.31,1.33,1.25,1.27,1.27,3940327,0.0,1.0
2022-08-18,1.25,1.4,1.23,1.37,1.37,4404798,0.0,1.0
2022-08-17,1.41,1.41,1.21,1.23,1.23,7443966,0.0,1.0
2022-08-16,1.54,1.55,1.37,1.41,1.41,5913886,0.0,1.0
2022-08-15,1.4,1.57,1.345,1.56,1.56,4338425,0.0,1.0
2022-08-12,1.23,1.38,1.2212,1.36,1.36,3919155,0.0,1.0
2022-08-11,1.25,1.2888,1.2,1.21,1.21,3838170,0.0,1.0
2022-08-10,1.06,1.12,1.0,1.12,1.12,2964736,0.0,1.0
2022-08-09,1.1,1.12,1.01,1.04,1.04,2154066,0.0,1.0
2022-08-08,1.12,1.135,1.06,1.1,1.1,2318968,0.0,1.0
2022-08-05,0.94,1.12,0.94,1.06,1.06,4159985,0.0,1.0
2022-08-04,0.9087,0.9396,0.8703,0.9357,0.9357,1880475,0.0,1.0
2022-08-03,0.8485,0.927,0.8426,0.88,0.88,2670650,0.0,1.0
2022-08-02,0.8199,0.8689,0.815,0.8351,0.8351,1294192,0.0,1.0
2022-08-01,0.83,0.85,0.812,0.8266,0.8266,1400217,0.0,1.0
2022-07-29,0.84,0.8566,0.813,0.813,0.813,1072756,0.0,1.0
2022-07-28,0.8447,0.8605,0.8105,0.8539,0.8539,1230952,0.0,1.0
2022-07-27,0.813,0.85,0.8,0.8432,0.8432,935612,0.0,1.0
2022-07-26,0.83,0.84,0.788,0.8165,0.8165,1369161,0.0,1.0
2022-07-25,0.8499,0.85,0.816,0.818,0.818,572616,0.0,1.0
2022-07-22,0.879,0.879,0.824,0.8401,0.8401,782693,0.0,1.0
2022-07-21,0.875,0.8783,0.85,0.86,0.86,1014154,0.0,1.0
2022-07-20,0.8544,0.8752,0.842,0.857,0.857,1174734,0.0,1.0
2022-07-19,0.83,0.86,0.811,0.85,0.85,1324071,0.0,1.0
2022-07-18,0.8323,0.8686,0.8152,0.8258,0.8258,1098337,0.0,1.0
2022-07-15,0.82,0.848,0.8055,0.835,0.835,1022812,0.0,1.0
2022-07-14,0.83,0.8599,0.811,0.8263,0.8263,1346000,0.0,1.0
2022-07-13,0.7863,0.8398,0.7863,0.834,0.834,1030743,0.0,1.0
2022-07-12,0.8043,0.8158,0.771,0.81,0.81,1216471,0.0,1.0
2022-07-11,0.85,0.87,0.8,0.82,0.82,962539,0.0,1.0
2022-07-08,0.8391,0.8698,0.8231,0.8359,0.8359,1082747,0.0,1.0
2022-07-07,0.81,0.8694,0.81,0.8471,0.8471,1333501,0.0,1.0
2022-07-06,0.8001,0.8371,0.8,0.8078,0.8078,1104253,0.0,1.0
2022-07-05,0.77,0.8499,0.7603,0.7979,0.7979,2004812,0.0,1.0
2022-07-01,0.771,0.797,0.7407,0.7696,0.7696,1692362,0.0,1.0
2022-06-30,0.8182,0.8182,0.77,0.78,0.78,1840059,0.0,1.0
2022-06-29,0.84,0.86,0.7909,0.803,0.803,1543409,0.0,1.0
2022-06-28,0.878,0.9,0.8353,0.8498,0.8498,1395060,0.0,1.0
2022-06-27,0.88,0.9001,0.834,0.86,0.86,1570469,0.0,1.0
2022-06-24,0.88,0.969,0.87,0.88,0.88,21273872,0.0,1.0
2022-06-23,0.8385,0.9098,0.833,0.8905,0.8905,2800996,0.0,1.0
2022-06-22,0.8,0.8669,0.8,0.8385,0.8385,2756550,0.0,1.0
2022-06-21,0.7854,0.8377,0.7807,0.83,0.83,2971042,0.0,1.0
2022-06-17,0.7622,0.8156,0.76,0.7939,0.7939,2926585,0.0,1.0
2022-06-16,0.7664,0.7874,0.7135,0.7641,0.7641,2115750,0.0,1.0
2022-06-15,0.784,0.798,0.75,0.7875,0.7875,1851644,0.0,1.0
2022-06-14,0.75,0.7988,0.74,0.775,0.775,1753562,0.0,1.0
2022-06-13,0.77,0.78,0.731,0.766,0.766,1997483,0.0,1.0
2022-06-10,0.8943,0.9,0.8008,0.8212,0.8212,2463950,0.0,1.0
2022-06-09,0.91,0.9228,0.88,0.9135,0.9135,1298753,0.0,1.0
2022-06-08,0.8857,0.935,0.8473,0.917,0.917,2014904,0.0,1.0
2022-06-07,0.8,0.91,0.8,0.8853,0.8853,2508360,0.0,1.0
2022-06-06,0.8317,0.87,0.7786,0.8279,0.8279,2343106,0.0,1.0
2022-06-03,0.7685,0.8479,0.7508,0.825,0.825,3394316,0.0,1.0
2022-06-02,0.72,0.76,0.6965,0.7595,0.7595,2764484,0.0,1.0
2022-06-01,0.7476,0.759399,0.695,0.7,0.7,1784004,0.0,1.0
2022-05-31,0.73,0.76985,0.7279,0.7474,0.7474,1886267,0.0,1.0
2022-05-27,0.7288,0.76,0.6857,0.7375,0.7375,2115035,0.0,1.0
2022-05-26,0.7271,0.7399,0.7022,0.7053,0.7053,799886,0.0,1.0
2022-05-25,0.7042,0.7299,0.6922,0.7098,0.7098,953088,0.0,1.0
2022-05-24,0.7347,0.74,0.685,0.7096,0.7096,1371414,0.0,1.0
2022-05-23,0.7665,0.775,0.7201,0.7392,0.7392,862099,0.0,1.0
2022-05-20,0.75,0.7571,0.7015,0.7426,0.7426,1724878,0.0,1.0
2022-05-19,0.74,0.76,0.6911,0.7407,0.7407,1808246,0.0,1.0
2022-05-18,0.75,0.8099,0.7301,0.7301,0.7301,2063027,0.0,1.0
2022-05-17,0.7974,0.7998,0.75,0.7779,0.7779,1159623,0.0,1.0
2022-05-16,0.79,0.81,0.75,0.78,0.78,1724901,0.0,1.0
2022-05-13,0.79,0.83,0.7205,0.7739,0.7739,2540250,0.0,1.0
2022-05-12,0.711,0.7737,0.6902,0.75,0.75,2788669,0.0,1.0
2022-05-11,0.83,0.836,0.71,0.7324,0.7324,2856685,0.0,1.0
2022-05-10,0.82,0.872,0.8016,0.825,0.825,1786066,0.0,1.0
2022-05-09,0.83,0.8421,0.77,0.8058,0.8058,1998577,0.0,1.0
2022-05-06,0.83,0.8699,0.815,0.8495,0.8495,1127841,0.0,1.0
2022-05-05,0.8767,0.8876,0.8209,0.8563,0.8563,1373565,0.0,1.0
2022-05-04,0.8883,0.9199,0.8201,0.9,0.9,1810893,0.0,1.0
2022-05-03,0.85,0.936,0.8364,0.9,0.9,2135921,0.0,1.0
2022-05-02,0.82,0.8762,0.7716,0.8581,0.8581,2741407,0.0,1.0
2022-04-29,0.8594,0.9002,0.7986,0.8077,0.8077,1627627,0.0,1.0
2022-04-28,0.884,0.9098,0.829,0.8881,0.8881,1369685,0.0,1.0
2022-04-27,0.9,0.9288,0.85,0.8765,0.8765,1585334,0.0,1.0
2022-04-26,0.94,0.9599,0.88,0.9,0.9,2014784,0.0,1.0
2022-04-25,0.97,0.9874,0.9136,0.97,0.97,1941986,0.0,1.0
2022-04-22,1.07,1.07,1.0,1.0,1.0,3415397,0.0,1.0
2022-04-21,0.9403,1.06,0.94,1.03,1.03,3288376,0.0,1.0
2022-04-20,0.94,0.9499,0.8909,0.9237,0.9237,1331413,0.0,1.0
2022-04-19,0.905,0.9395,0.8801,0.9167,0.9167,1299004,0.0,1.0
2022-04-18,0.9986,1.0175,0.8801,0.8959,0.8959,3027276,0.0,1.0
2022-04-14,1.03,1.04,0.97,0.9701,0.9701,2038761,0.0,1.0
2022-04-13,1.04,1.06,1.0,1.03,1.03,1284739,0.0,1.0
2022-04-12,1.11,1.13,1.0,1.04,1.04,2553786,0.0,1.0
2022-04-11,1.2,1.22,1.09,1.11,1.11,1509830,0.0,1.0
2022-04-08,1.22,1.23,1.09,1.14,1.14,2304978,0.0,1.0
2022-04-07,1.3,1.31,1.21,1.22,1.22,1795810,0.0,1.0
2022-04-06,1.3,1.3,1.23,1.27,1.27,2446819,0.0,1.0
2022-04-05,1.41,1.44,1.3,1.3,1.3,1891136,0.0,1.0
2022-04-04,1.31,1.44,1.31,1.4,1.4,2745499,0.0,1.0
2022-04-01,1.3,1.36,1.27,1.31,1.31,1127629,0.0,1.0
2022-03-31,1.27,1.31,1.25,1.29,1.29,1776560,0.0,1.0
2022-03-30,1.34,1.37,1.25,1.26,1.26,2108288,0.0,1.0
2022-03-29,1.25,1.42,1.25,1.36,1.36,2202466,0.0,1.0
2022-03-28,1.32,1.3202,1.18,1.26,1.26,2921940,0.0,1.0
2022-03-25,1.38,1.39,1.31,1.33,1.33,2017796,0.0,1.0
2022-03-24,1.46,1.5,1.28,1.35,1.35,4296970,0.0,1.0
