,ALGT_Open,ALGT_High,ALGT_Low,ALGT_Close,ALGT_Adj Close,ALGT_Volume,ALGT_Dividend Amount,ALGT_Split Coefficient
2024-05-31,51.99,53.44,51.71,53.2,53.2,503313,0.0,1.0
2024-05-30,48.96,52.24,48.7625,51.46,51.46,489918,0.0,1.0
2024-05-29,48.07,49.26,47.09,48.37,48.37,419161,0.0,1.0
2024-05-28,48.17,49.6,48.1,48.97,48.97,484218,0.0,1.0
2024-05-24,48.22,48.55,46.895,48.1,48.1,367238,0.0,1.0
2024-05-23,49.64,49.64,47.17,47.78,47.78,419386,0.0,1.0
2024-05-22,48.82,50.0444,48.6612,49.44,49.44,296473,0.0,1.0
2024-05-21,50.1,50.1,48.41,49.04,49.04,422928,0.0,1.0
2024-05-20,52.73,53.48,50.05,50.36,50.36,475692,0.0,1.0
2024-05-17,55.15,55.48,52.93,52.98,52.98,238414,0.0,1.0
2024-05-16,55.44,55.49,54.67,54.76,54.76,177845,0.0,1.0
2024-05-15,58.96,59.6516,55.31,55.44,55.44,261130,0.0,1.0
2024-05-14,57.31,60.74,57.31,58.68,58.68,493891,0.6,1.0
2024-05-13,53.44,57.92,53.44,57.5,56.918016194332,542777,0.0,1.0
2024-05-10,54.43,54.88,53.34,53.44,52.8991093117409,465990,0.0,1.0
2024-05-09,52.88,54.51,52.14,53.78,53.2356680161943,511301,0.0,1.0
2024-05-08,52.91,55.21,52.55,53.06,52.522955465587,531832,0.0,1.0
2024-05-07,56.4,56.455,51.13,53.89,53.3445546558704,831854,0.0,1.0
2024-05-06,55.94,56.7348,53.86,56.26,55.6905668016194,574584,0.0,1.0
2024-05-03,55.22,56.08,54.55,55.63,55.0669433198381,313293,0.0,1.0
2024-05-02,54.67,54.9,53.065,54.37,53.8196963562753,313390,0.0,1.0
2024-05-01,55.01,55.01,52.38,53.68,53.1366801619433,434311,0.0,1.0
2024-04-30,56.01,56.02,54.29,54.56,54.0077732793522,375534,0.0,1.0
2024-04-29,57.0,57.9999,56.15,56.74,56.1657085020243,228188,0.0,1.0
2024-04-26,58.51,58.64,56.77,57.04,56.4626720647773,359941,0.0,1.0
2024-04-25,58.27,58.86,56.0,57.99,57.4030566801619,645904,0.0,1.0
2024-04-24,61.52,61.58,58.87,59.07,58.4721255060729,400180,0.0,1.0
2024-04-23,61.52,62.76,60.95,61.63,61.0062145748988,183980,0.0,1.0
2024-04-22,62.71,62.97,61.8,62.21,61.5803441295547,192668,0.0,1.0
2024-04-19,61.0,62.5675,61.0,62.31,61.6793319838057,211297,0.0,1.0
2024-04-18,61.99,63.4,61.7,61.77,61.1447975708502,234481,0.0,1.0
2024-04-17,61.7,62.72,60.96,61.26,60.63995951417,261123,0.0,1.0
2024-04-16,60.13,60.9,59.54,60.52,59.9074493927126,217032,0.0,1.0
2024-04-15,61.47,61.96,60.07,60.75,60.1351214574899,331185,0.0,1.0
2024-04-12,62.33,62.38,60.64,61.25,60.6300607287449,344421,0.0,1.0
2024-04-11,62.51,63.72,61.01,63.32,62.6791093117409,293855,0.0,1.0
2024-04-10,65.5,66.61,61.81,62.15,61.520951417004,511474,0.0,1.0
2024-04-09,64.81,66.38,64.81,66.09,65.4210728744939,213338,0.0,1.0
2024-04-08,65.8,66.9,64.99,65.8,65.134008097166,202378,0.0,1.0
2024-04-05,65.25,66.112,63.9,65.63,64.9657287449393,419751,0.0,1.0
2024-04-04,66.06,69.84,65.32,65.72,65.0548178137652,360049,0.0,1.0
2024-04-03,67.21,68.265,65.34,65.9,65.232995951417,264468,0.0,1.0
2024-04-02,68.23,69.565,67.11,67.4,66.7178137651822,279178,0.0,1.0
2024-04-01,75.21,75.21,69.31,69.42,68.7173684210526,372053,0.0,1.0
2024-03-28,75.88,77.15,75.0,75.21,74.4487651821862,163213,0.0,1.0
2024-03-27,73.85,76.63,73.38,76.25,75.4782388663968,205250,0.0,1.0
2024-03-26,74.1,74.185,72.8,73.0,72.2611336032389,107240,0.0,1.0
2024-03-25,72.42,73.51,71.98,73.32,72.5778947368421,126696,0.0,1.0
2024-03-22,72.58,72.84,71.705,72.4,71.6672064777328,220353,0.0,1.0
2024-03-21,70.83,72.855,70.2182,72.005,71.2762044534413,373240,0.0,1.0
2024-03-20,66.85,70.63,66.51,70.28,69.5686639676113,273963,0.0,1.0
2024-03-19,67.28,68.0469,67.19,67.91,67.2226518218623,177132,0.0,1.0
2024-03-18,67.33,68.16,66.26,67.5,66.8168016194332,187552,0.0,1.0
2024-03-15,67.31,68.4582,65.59,67.61,66.9256882591093,655883,0.0,1.0
2024-03-14,69.97,70.64,66.47,67.05,66.3713562753036,262673,0.0,1.0
2024-03-13,70.16,72.55,69.69,70.06,69.3508906882591,232198,0.0,1.0
2024-03-12,70.08,71.78,68.4,70.13,69.4201821862348,222353,0.0,1.0
2024-03-11,72.06,72.51,70.66,70.92,70.2021862348178,175613,0.0,1.0
2024-03-08,74.09,74.69,71.925,72.49,71.7562955465587,306874,0.0,1.0
2024-03-07,74.73,75.97,72.61,72.98,72.2413360323887,222344,0.0,1.0
2024-03-06,73.28,74.955,72.64,74.74,73.9835222672065,217010,0.0,1.0
2024-03-05,72.78,73.785,72.245,72.33,71.5979149797571,159298,0.0,1.0
2024-03-04,71.48,73.82,71.03,73.73,72.9837449392712,425582,0.0,1.0
2024-03-01,73.79,73.79,71.525,71.98,71.2514574898785,225635,0.0,1.0
2024-02-29,74.67,75.44,72.5,72.78,72.0433603238866,211913,0.0,1.0
2024-02-28,74.37,75.4299,73.41,73.92,73.1718218623482,266790,0.0,1.0
2024-02-27,76.39,77.16,74.615,75.22,74.4586639676113,213982,0.0,1.0
2024-02-26,75.5,76.605,75.0,75.38,74.6170445344129,213722,0.0,1.0
2024-02-23,78.8,79.2,75.72,75.74,74.9734008097166,285319,0.0,1.0
2024-02-22,79.1,80.37,78.5,78.66,77.8638461538461,267385,0.0,1.0
2024-02-21,81.39,81.4,78.02,78.86,78.0618218623482,214103,0.0,1.0
2024-02-20,80.66,82.72,80.285,81.56,80.7344939271255,215385,0.0,1.0
2024-02-16,80.86,82.14,79.13,81.15,80.3286437246963,239514,0.0,1.0
2024-02-15,81.33,83.82,81.33,82.16,81.3284210526316,189003,0.0,1.0
2024-02-14,79.15,80.48,77.6267,80.4,79.5862348178138,249453,0.6,1.0
2024-02-13,76.98,78.255,76.11,78.03,76.6680728744939,277552,0.0,1.0
2024-02-12,77.92,80.25,77.92,79.18,77.7980008996851,232315,0.0,1.0
2024-02-09,77.74,79.0,76.31,78.6,77.2281241565452,213219,0.0,1.0
2024-02-08,77.0,78.25,75.32,77.94,76.5796437246964,177091,0.0,1.0
2024-02-07,78.51,78.715,75.59,76.26,74.9289662618084,230779,0.0,1.0
2024-02-06,73.99,79.6299,73.925,78.5,77.129869545659,352368,0.0,1.0
2024-02-05,77.07,79.7,72.0,73.1,71.8241205578048,632285,0.0,1.0
2024-02-02,78.61,80.44,78.2,79.11,77.7292226720648,310406,0.0,1.0
2024-02-01,79.41,80.65,76.8,79.92,78.5250850202429,281177,0.0,1.0
2024-01-31,79.22,81.4,77.72,78.4,77.0316149347728,249642,0.0,1.0
2024-01-30,79.21,80.84,79.21,79.55,78.161542959964,260616,0.0,1.0
2024-01-29,80.67,81.2,79.24,80.35,78.9475798470535,189502,0.0,1.0
2024-01-26,81.69,83.12,80.9,80.91,79.4978056680162,183966,0.0,1.0
2024-01-25,80.89,83.6099,80.78,81.65,80.224889788574,397422,0.0,1.0
2024-01-24,80.01,80.01,78.1,78.75,77.3755060728745,142758,0.0,1.0
2024-01-23,78.37,79.96,77.38,78.55,77.1789968511021,219638,0.0,1.0
2024-01-22,75.22,76.955,74.9576,76.16,74.8307116509222,236543,0.0,1.0
2024-01-19,75.27,75.705,73.06,74.95,73.6418308591993,203769,0.0,1.0
2024-01-18,72.58,74.52,71.03,74.45,73.1505578047683,224000,0.0,1.0
2024-01-17,72.57,73.7033,69.6955,71.84,70.5861124606388,357400,0.0,1.0
2024-01-16,75.15,75.32,71.65,74.18,72.8852703553756,388294,0.0,1.0
2024-01-12,78.17,78.602,75.7,76.11,74.7815843454791,160476,0.0,1.0
2024-01-11,77.81,79.63,75.83,79.17,77.7881754385965,211831,0.0,1.0
2024-01-10,79.07,79.07,77.35,77.88,76.5206909581646,144536,0.0,1.0
2024-01-09,79.87,80.32,77.985,78.75,77.3755060728745,214498,0.0,1.0
2024-01-08,78.66,83.66,78.66,81.14,79.7237912730544,260843,0.0,1.0
2024-01-05,77.85,81.28,77.85,78.99,77.6113171390013,175795,0.0,1.0
2024-01-04,76.97,78.695,76.31,78.28,76.9137094017094,177554,0.0,1.0
2024-01-03,79.4,79.4591,75.83,76.34,75.0075699505173,291137,0.0,1.0
2024-01-02,81.65,83.054,79.28,81.09,79.6746639676113,161231,0.0,1.0
2023-12-29,83.77,83.8354,81.78,82.61,81.1681340530814,150520,0.0,1.0
2023-12-28,82.9,84.87,82.9,84.14,82.6714295996401,129268,0.0,1.0
2023-12-27,83.69,83.94,82.425,83.44,81.9836473234368,119971,0.0,1.0
2023-12-26,84.4,85.2204,83.4,83.49,82.0327746288799,112779,0.0,1.0
2023-12-22,84.5,85.91,84.3001,84.49,83.0153207377418,198809,0.0,1.0
2023-12-21,83.07,84.62,83.05,84.35,82.8777642825011,236426,0.0,1.0
2023-12-20,83.1,84.65,81.18,81.27,79.8515222672065,264217,0.0,1.0
2023-12-19,83.75,84.78,82.92,83.46,82.003298245614,213155,0.0,1.0
2023-12-18,82.05,83.435,80.15,82.88,81.4334215024741,275455,0.0,1.0
2023-12-15,81.83,82.91,80.36,82.25,80.8144174538911,601225,0.0,1.0
2023-12-14,78.26,81.94,78.26,81.17,79.7532676563203,250272,0.0,1.0
2023-12-13,74.78,78.17,72.1,77.71,76.3536581196581,409148,0.0,1.0
2023-12-12,73.9,75.74,73.33,75.31,73.9955474583896,258376,0.0,1.0
2023-12-11,74.86,74.93,72.95,74.15,72.8557939721098,227206,0.0,1.0
2023-12-08,75.05,75.69,73.17,75.11,73.7990382366172,438591,0.0,1.0
2023-12-07,72.95,76.67,72.95,75.49,74.1724057579847,247485,0.0,1.0
2023-12-06,71.99,74.65,71.885,72.53,71.2640692757535,199474,0.0,1.0
2023-12-05,72.93,73.26,69.7905,70.69,69.4561844354476,216515,0.0,1.0
2023-12-04,72.35,75.55,71.59,73.71,72.4234736842105,287246,0.0,1.0
2023-12-01,68.49,71.3699,68.05,71.35,70.1046648672964,190392,0.0,1.0
2023-11-30,69.09,69.75,68.26,68.49,67.2945829959514,222139,0.0,1.0
2023-11-29,69.83,71.25,68.85,68.96,67.7563796671165,237269,0.0,1.0
2023-11-28,67.95,68.39,67.15,68.03,66.842611785875,202453,0.0,1.0
2023-11-27,68.5,69.58,67.05,67.78,66.5969752586595,377965,0.0,1.0
2023-11-24,67.95,69.79,67.31,69.63,68.414685560054,149752,0.0,1.0
2023-11-22,69.16,71.42,67.33,67.81,66.6264516419253,351474,0.0,1.0
2023-11-21,69.19,69.19,67.17,67.42,66.2432586594692,272412,0.0,1.0
2023-11-20,66.43,69.885,65.75,69.66,68.4441619433198,266250,0.0,1.0
2023-11-17,67.08,67.5696,66.44,66.92,65.7519856050382,268618,0.0,1.0
2023-11-16,66.74,67.59,65.265,65.97,64.8185668016194,285870,0.0,1.0
2023-11-15,64.16,69.3899,64.16,66.74,65.5751273054431,432661,0.0,1.0
2023-11-14,61.9,64.17,61.88,63.4,62.2934233018444,355884,0.6,1.0
2023-11-13,56.55,60.6309,55.77,59.97,58.3708843033063,321961,0.0,1.0
2023-11-10,56.94,58.1,54.87,57.28,55.7526138551507,388616,0.0,1.0
2023-11-09,61.76,61.76,56.98,57.06,55.5384802125506,325944,0.0,1.0
2023-11-08,62.2,62.92,60.72,61.01,59.3831524319613,263198,0.0,1.0
2023-11-07,61.7,62.7,61.0701,61.47,59.8308864119433,303846,0.0,1.0
2023-11-06,65.12,65.12,60.87,61.45,59.8114197171615,302424,0.0,1.0
2023-11-03,65.44,67.0008,62.995,64.81,63.0818244405083,454305,0.0,1.0
2023-11-02,64.16,66.165,60.76,64.41,62.6924905448718,822151,0.0,1.0
2023-11-01,66.7,67.12,65.19,65.94,64.1816926956815,178459,0.0,1.0
2023-10-31,68.56,69.0375,65.7,66.62,64.8435603182636,284103,0.0,1.0
2023-10-30,68.43,69.02,66.9,68.61,66.7804964490553,258026,0.0,1.0
2023-10-27,69.13,69.145,66.96,67.54,65.7390282782276,175339,0.0,1.0
2023-10-26,68.7,70.34,67.68,69.24,67.3936973346829,213588,0.0,1.0
2023-10-25,71.1,71.15,68.08,68.75,66.9167633125281,257994,0.0,1.0
2023-10-24,72.46,72.605,70.245,71.31,69.4085002446019,262861,0.0,1.0
2023-10-23,72.77,73.81,71.6907,71.92,70.0022344354476,187250,0.0,1.0
2023-10-20,73.7,73.92,72.81,73.31,71.3551697227845,198957,0.0,1.0
2023-10-19,72.74,74.65,72.38,73.7,71.7347702710301,178105,0.0,1.0
2023-10-18,73.65,74.39,71.96,72.72,70.7809022267207,205391,0.0,1.0
2023-10-17,73.91,75.86,73.91,74.52,72.532904757085,135097,0.0,1.0
2023-10-16,73.44,75.05,72.26,74.76,72.766505094467,184717,0.0,1.0
2023-10-13,73.11,73.52,71.13,72.76,70.8198356162843,232051,0.0,1.0
2023-10-12,74.6,74.61,71.72,73.22,71.2675695962663,253583,0.0,1.0
2023-10-11,76.02,77.66,74.42,74.61,72.6205048836032,264224,0.0,1.0
2023-10-10,77.16,78.335,75.625,76.02,73.992906865722,271352,0.0,1.0
2023-10-09,77.24,77.24,74.28,76.31,74.2751739400585,218409,0.0,1.0
2023-10-06,75.69,79.08,75.6046,78.16,76.0758432073774,245091,0.0,1.0
2023-10-05,74.83,77.395,74.83,76.28,74.2459738978857,215303,0.0,1.0
2023-10-04,74.02,76.1,73.55,75.85,73.8274399600765,319995,0.0,1.0
2023-10-03,75.01,75.66,73.1902,73.98,72.0073039979757,183458,0.0,1.0
2023-10-02,76.59,76.72,75.15,75.28,73.2726391587944,184380,0.0,1.0
2023-09-29,77.79,78.42,76.4,76.86,74.8105080465587,311104,0.0,1.0
2023-09-28,74.2,79.4,74.2,78.25,76.1634433338956,431487,0.0,1.0
2023-09-27,75.24,77.4,75.14,75.48,73.4673061066127,212692,0.0,1.0
2023-09-26,74.97,76.4,74.7701,75.43,73.4186393696581,186152,0.0,1.0
2023-09-25,74.19,75.62,73.9556,75.27,73.2629058114035,189782,0.0,1.0
2023-09-22,77.13,77.225,74.44,75.32,73.3115725483581,218166,0.0,1.0
2023-09-21,76.84,78.7599,76.4,77.15,75.0927751208952,218006,0.0,1.0
2023-09-20,83.91,83.92,77.51,77.6,75.5307757534863,262082,0.0,1.0
2023-09-19,82.31,83.61,82.27,83.07,80.8549167763158,238429,0.0,1.0
2023-09-18,84.84,84.84,82.16,82.31,80.1151823746064,179847,0.0,1.0
2023-09-15,85.3,85.345,83.71,84.63,82.3733189692983,521043,0.0,1.0
2023-09-14,86.55,88.09,84.81,85.59,83.3077203188259,360536,0.0,1.0
2023-09-13,85.95,86.36,83.81,85.34,83.0643866340531,226628,0.0,1.0
2023-09-12,86.19,89.305,86.19,87.96,85.6145236504723,260306,0.0,1.0
2023-09-11,84.9,86.46,83.3801,86.29,83.9890546361898,333174,0.0,1.0
2023-09-08,85.78,85.95,83.19,83.77,81.5362510936797,417173,0.0,1.0
2023-09-07,85.3,86.41,84.205,85.72,83.4342538349078,214890,0.0,1.0
2023-09-06,86.21,88.33,85.05,86.06,83.7651876461988,148443,0.0,1.0
2023-09-05,87.05,88.5,83.75,87.08,84.757989080072,352070,0.0,1.0
2023-09-01,89.41,90.01,88.335,88.95,86.5781250421728,123219,0.0,1.0
2023-08-31,89.38,90.255,88.48,88.84,86.4710582208727,183767,0.0,1.0
2023-08-30,88.46,89.495,88.1,88.56,86.1985244939271,156271,0.0,1.0
2023-08-29,88.59,90.24,87.98,88.89,86.5197249578273,184576,0.0,1.0
2023-08-28,89.0,90.27,87.385,88.345,85.9892575250225,176951,0.0,1.0
2023-08-25,89.88,90.0,87.53,88.16,85.8091905982906,229154,0.0,1.0
2023-08-24,93.21,94.07,89.52,89.7,87.3081260964912,171621,0.0,1.0
2023-08-23,93.1,95.55,92.29,94.06,91.5518655589294,215193,0.0,1.0
2023-08-22,94.03,95.1661,92.255,93.03,90.5493307776653,164884,0.0,1.0
2023-08-21,94.0,95.39,92.43,93.36,90.8705312415655,166547,0.0,1.0
2023-08-18,93.44,95.01,92.91,94.1,91.590798948493,239195,0.0,1.0
2023-08-17,97.49,97.7,94.63,94.82,92.2915999606388,200429,0.0,1.0
2023-08-16,98.51,99.65,97.49,97.55,94.9488037983581,209642,0.0,1.0
2023-08-15,102.0,102.37,98.28,98.6,95.970805274404,292961,0.0,1.0
2023-08-14,103.09,103.4,101.21,102.71,99.9712110520693,184969,0.6,1.0
2023-08-11,107.18,108.21,104.05,104.29,100.919539256803,235244,0.0,1.0
2023-08-10,109.43,109.74,107.38,107.98,104.490285252177,145689,0.0,1.0
2023-08-09,109.66,110.0,107.85,108.33,104.828973896725,187206,0.0,1.0
2023-08-08,109.2,110.695,108.08,110.13,106.570801211542,190271,0.0,1.0
2023-08-07,113.32,114.1,107.04,110.45,106.880459400843,403325,0.0,1.0
2023-08-04,115.89,117.3378,113.215,113.68,110.006071749097,224102,0.0,1.0
2023-08-03,122.05,122.53,114.13,115.1,111.380179964119,375928,0.0,1.0
2023-08-02,120.8,128.27,115.22,125.7,121.637607484707,590749,0.0,1.0
2023-08-01,122.23,122.23,118.53,121.53,117.602374205382,243484,0.0,1.0
2023-07-31,121.91,123.87,120.96,123.7,119.702243801577,145857,0.0,1.0
2023-07-28,125.25,125.25,120.88,121.74,117.80558739211,328612,0.0,1.0
2023-07-27,127.17,127.17,122.85,124.1,120.089316538203,190356,0.0,1.0
2023-07-26,125.59,127.915,122.9,127.83,123.69876980724,223202,0.0,1.0
2023-07-25,126.91,126.91,120.0,125.0,120.960230195612,273576,0.0,1.0
2023-07-24,128.79,129.49,127.95,128.21,124.066488907035,167756,0.0,1.0
2023-07-21,128.76,129.89,125.93,129.49,125.305121664238,163785,0.0,1.0
2023-07-20,128.16,128.72,125.1,128.18,124.037458451788,128282,0.0,1.0
2023-07-19,127.81,129.18,125.73,128.51,124.356793459505,194491,0.0,1.0
2023-07-18,122.1,127.73,122.1,127.16,123.050422973392,148972,0.0,1.0
2023-07-17,124.16,124.88,122.11,122.19,118.241044220815,126517,0.0,1.0
2023-07-14,125.71,126.05,122.31,124.53,120.505419730076,139281,0.0,1.0
2023-07-13,129.7,130.93,125.76,125.99,121.918235218761,242788,0.0,1.0
2023-07-12,127.94,128.79,125.6,128.12,123.979397541294,150930,0.0,1.0
2023-07-11,127.61,127.61,125.305,126.12,122.044033858165,96545,0.0,1.0
2023-07-10,123.37,126.98,123.37,126.91,122.808502513001,123429,0.0,1.0
2023-07-07,122.09,125.17,122.09,123.45,119.460323341186,93464,0.0,1.0
2023-07-06,123.33,124.0,120.75,122.07,118.124922399827,175439,0.0,1.0
2023-07-05,128.22,128.22,125.01,126.03,121.956942492424,137951,0.0,1.0
2023-07-03,125.91,129.04,125.1,129.0,124.830957561871,93765,0.0,1.0
2023-06-30,126.48,127.45,124.135,126.28,122.198862952815,150176,0.0,1.0
2023-06-29,127.06,129.0,124.54,124.94,120.902169285118,133807,0.0,1.0
2023-06-28,124.36,127.635,124.29,127.13,123.021392518145,154255,0.0,1.0
2023-06-27,120.15,126.62,120.11,124.93,120.892492466702,225245,0.0,1.0
2023-06-26,119.91,120.5,118.05,119.6,115.734748251161,225559,0.0,1.0
2023-06-23,119.83,120.5,118.22,119.12,115.27026096721,483941,0.0,1.0
2023-06-22,122.92,123.12,120.04,121.89,117.950739668345,161452,0.0,1.0
2023-06-21,123.74,125.74,122.27,123.74,119.74095107524,282883,0.0,1.0
2023-06-20,119.68,124.88,119.3,124.36,120.34091381701,281885,0.0,1.0
2023-06-16,118.01,119.31,116.49,118.89,115.04769414365,313541,0.0,1.0
2023-06-15,116.73,119.0,115.49,117.09,113.305866828834,222918,0.0,1.0
2023-06-14,114.1,116.33,113.36,114.79,111.080198593234,187859,0.0,1.0
2023-06-13,112.89,115.29,112.85,113.79,110.112516751669,214009,0.0,1.0
2023-06-12,110.0,114.53,110.0,112.56,108.922268086545,214815,0.0,1.0
2023-06-09,109.1,111.58,108.99,109.14,105.612796188393,440073,0.0,1.0
2023-06-08,107.5,110.51,104.805,109.13,105.603119369977,150727,0.0,1.0
2023-06-07,109.09,111.16,106.9,108.38,104.877357988803,280276,0.0,1.0
2023-06-06,102.95,108.47,101.53,108.23,104.732205712569,193004,0.0,1.0
2023-06-05,103.45,104.35,102.16,102.96,99.6325224075216,178398,0.0,1.0
2023-06-02,99.64,105.09,99.57,104.69,101.306611993429,198385,0.0,1.0
2023-06-01,97.91,99.14,96.16,97.25,94.107059092186,162430,0.0,1.0
