,LIVN_Open,LIVN_High,LIVN_Low,LIVN_Close,LIVN_Adj Close,LIVN_Volume,LIVN_Dividend Amount,LIVN_Split Coefficient
2024-06-25,54.34,54.43,53.391,53.58,53.58,661917,0.0,1.0
2024-06-24,56.07,56.07,54.14,54.45,54.45,984785,0.0,1.0
2024-06-21,55.82,56.555,55.1,56.16,56.16,890285,0.0,1.0
2024-06-20,53.23,55.66,53.14,55.63,55.63,771073,0.0,1.0
2024-06-18,52.93,55.08,52.5401,53.42,53.42,582989,0.0,1.0
2024-06-17,52.1,53.57,51.9,52.95,52.95,633069,0.0,1.0
2024-06-14,51.6,52.995,51.6,52.68,52.68,350798,0.0,1.0
2024-06-13,52.35,52.93,51.59,52.29,52.29,491667,0.0,1.0
2024-06-12,52.74,53.54,51.99,52.81,52.81,497996,0.0,1.0
2024-06-11,53.2,53.2,51.21,51.76,51.76,1040454,0.0,1.0
2024-06-10,52.82,53.99,52.415,52.81,52.81,1285846,0.0,1.0
2024-06-07,52.71,55.7,52.61,53.38,53.38,1307937,0.0,1.0
2024-06-06,52.63,55.02,49.82,52.8,52.8,3091434,0.0,1.0
2024-06-05,60.91,61.4,59.59,60.03,60.03,336483,0.0,1.0
2024-06-04,59.92,60.97,59.74,60.5,60.5,282713,0.0,1.0
2024-06-03,60.99,61.3172,59.73,60.19,60.19,427244,0.0,1.0
2024-05-31,60.81,61.445,60.16,61.07,61.07,289945,0.0,1.0
2024-05-30,60.35,61.94,60.28,60.83,60.83,301138,0.0,1.0
2024-05-29,59.52,60.8,59.505,60.47,60.47,351705,0.0,1.0
2024-05-28,59.62,60.165,59.355,60.04,60.04,471326,0.0,1.0
2024-05-24,59.42,59.61,58.755,59.6,59.6,403727,0.0,1.0
2024-05-23,60.5,61.345,58.945,59.38,59.38,356313,0.0,1.0
2024-05-22,60.57,61.11,60.21,60.57,60.57,366987,0.0,1.0
2024-05-21,61.27,61.525,60.1,60.545,60.545,540958,0.0,1.0
2024-05-20,61.78,62.04,61.0903,61.28,61.28,288598,0.0,1.0
2024-05-17,62.92,62.95,61.81,61.96,61.96,309256,0.0,1.0
2024-05-16,63.19,63.57,62.85,62.88,62.88,472352,0.0,1.0
2024-05-15,61.48,63.515,61.48,63.2,63.2,460346,0.0,1.0
2024-05-14,61.69,62.44,61.04,61.43,61.43,356388,0.0,1.0
2024-05-13,62.27,62.65,60.9,61.14,61.14,496633,0.0,1.0
2024-05-10,61.95,62.5457,61.81,62.1,62.1,278425,0.0,1.0
2024-05-09,62.7,63.0,61.91,61.95,61.95,504395,0.0,1.0
2024-05-08,62.74,63.33,62.22,62.41,62.41,456769,0.0,1.0
2024-05-07,62.86,64.07,62.61,63.12,63.12,696702,0.0,1.0
2024-05-06,64.36,64.475,61.995,62.6,62.6,678769,0.0,1.0
2024-05-03,63.44,64.36,62.23,64.15,64.15,891504,0.0,1.0
2024-05-02,62.63,62.94,60.07,62.92,62.92,1500574,0.0,1.0
2024-05-01,59.9,63.21,58.62,62.62,62.62,2494468,0.0,1.0
2024-04-30,55.9,56.6,55.32,55.75,55.75,864918,0.0,1.0
2024-04-29,55.67,57.02,55.4,56.17,56.17,714059,0.0,1.0
2024-04-26,55.15,55.74,54.82,55.53,55.53,553327,0.0,1.0
2024-04-25,55.37,55.84,54.265,55.1,55.1,536705,0.0,1.0
2024-04-24,55.14,56.14,55.0,55.94,55.94,977319,0.0,1.0
2024-04-23,53.8,55.39,53.58,55.02,55.02,661198,0.0,1.0
2024-04-22,52.33,54.55,51.8,54.01,54.01,733740,0.0,1.0
2024-04-19,52.44,52.93,51.83,52.33,52.33,451752,0.0,1.0
2024-04-18,52.12,52.89,51.71,52.76,52.76,537422,0.0,1.0
2024-04-17,53.46,53.46,51.87,51.87,51.87,484959,0.0,1.0
2024-04-16,52.98,53.6,52.705,53.18,53.18,449327,0.0,1.0
2024-04-15,53.36,53.51,52.295,53.37,53.37,744103,0.0,1.0
2024-04-12,53.71,54.26,52.75,52.99,52.99,382780,0.0,1.0
2024-04-11,55.36,55.9,53.93,54.07,54.07,378837,0.0,1.0
2024-04-10,54.42,55.67,54.35,55.24,55.24,533397,0.0,1.0
2024-04-09,54.83,56.14,54.83,55.84,55.84,900546,0.0,1.0
2024-04-08,53.87,54.81,53.15,54.7,54.7,806696,0.0,1.0
2024-04-05,52.89,55.03,52.82,53.94,53.94,896784,0.0,1.0
2024-04-04,54.32,54.32,53.0,53.24,53.24,431313,0.0,1.0
2024-04-03,53.98,55.18,52.9022,53.94,53.94,356207,0.0,1.0
2024-04-02,54.27,54.66,53.76,54.32,54.32,375159,0.0,1.0
2024-04-01,55.76,56.335,54.96,55.16,55.16,415173,0.0,1.0
2024-03-28,55.86,56.715,55.86,55.94,55.94,409467,0.0,1.0
2024-03-27,54.69,56.32,54.63,55.87,55.87,416464,0.0,1.0
2024-03-26,54.83,55.36,54.28,54.39,54.39,811121,0.0,1.0
2024-03-25,56.17,56.44,54.35,54.42,54.42,394030,0.0,1.0
2024-03-22,56.37,56.56,55.52,55.98,55.98,519752,0.0,1.0
2024-03-21,56.8,57.08,55.965,56.28,56.28,1435391,0.0,1.0
2024-03-20,51.25,57.18,51.22,56.63,56.63,2142214,0.0,1.0
2024-03-19,50.63,50.95,50.04,50.34,50.34,479979,0.0,1.0
2024-03-18,50.54,50.84,49.695,50.76,50.76,576728,0.0,1.0
2024-03-15,50.68,51.2,50.04,50.6,50.6,780835,0.0,1.0
2024-03-14,52.41,52.41,50.69,51.12,51.12,630896,0.0,1.0
2024-03-13,51.67,52.89,51.61,52.28,52.28,481510,0.0,1.0
2024-03-12,52.12,52.21,51.14,51.98,51.98,766844,0.0,1.0
2024-03-11,53.75,54.21,52.5,52.6,52.6,566950,0.0,1.0
2024-03-08,54.52,54.825,53.2,53.73,53.73,579029,0.0,1.0
2024-03-07,53.88,54.565,53.32,53.94,53.94,889499,0.0,1.0
2024-03-06,52.38,54.14,50.97,53.26,53.26,3381318,0.0,1.0
2024-03-05,52.81,55.12,52.3,52.38,52.38,2271788,0.0,1.0
2024-03-04,55.2,55.99,54.0,55.85,55.85,329731,0.0,1.0
2024-03-01,54.69,55.97,54.24,55.24,55.24,531793,0.0,1.0
2024-02-29,55.75,56.06,54.56,54.81,54.81,397777,0.0,1.0
2024-02-28,55.26,55.74,54.87,55.09,55.09,1487681,0.0,1.0
2024-02-27,56.31,56.3235,55.68,55.9,55.9,282509,0.0,1.0
2024-02-26,56.86,57.46,55.93,55.97,55.97,434974,0.0,1.0
2024-02-23,56.01,57.55,55.12,57.12,57.12,708803,0.0,1.0
2024-02-22,56.78,57.27,55.315,56.24,56.24,626373,0.0,1.0
2024-02-21,55.5,57.8,55.5,56.82,56.82,1492705,0.0,1.0
2024-02-20,50.92,52.61,50.84,52.6,52.6,1094571,0.0,1.0
2024-02-16,49.75,50.24,49.415,49.88,49.88,333357,0.0,1.0
2024-02-15,49.26,50.155,48.84,50.04,50.04,380536,0.0,1.0
2024-02-14,49.53,49.81,47.79,48.75,48.75,516360,0.0,1.0
2024-02-13,49.15,50.25,48.46,48.9,48.9,487785,0.0,1.0
2024-02-12,50.33,50.99,49.94,50.7,50.7,305653,0.0,1.0
2024-02-09,50.79,50.89,49.73,50.52,50.52,344662,0.0,1.0
2024-02-08,49.49,50.72,49.06,50.71,50.71,469775,0.0,1.0
2024-02-07,49.93,50.055,49.085,49.49,49.49,386498,0.0,1.0
2024-02-06,48.76,50.13,48.76,49.91,49.91,320020,0.0,1.0
2024-02-05,48.21,49.0051,48.07,48.6,48.6,374887,0.0,1.0
2024-02-02,48.67,49.18,48.46,48.96,48.96,221118,0.0,1.0
2024-02-01,48.77,49.68,47.985,49.44,49.44,313454,0.0,1.0
2024-01-31,49.97,50.43,48.48,48.68,48.68,387540,0.0,1.0
2024-01-30,50.15,50.32,49.707,49.75,49.75,230673,0.0,1.0
2024-01-29,49.32,50.56,48.96,50.46,50.46,445169,0.0,1.0
2024-01-26,50.05,50.16,49.45,49.54,49.54,368824,0.0,1.0
2024-01-25,49.73,50.0,48.75,49.94,49.94,535405,0.0,1.0
2024-01-24,51.13,51.13,48.92,48.94,48.94,401229,0.0,1.0
2024-01-23,51.37,51.37,50.17,50.74,50.74,297708,0.0,1.0
2024-01-22,50.66,51.66,49.97,50.78,50.78,354862,0.0,1.0
2024-01-19,50.16,51.98,49.02,50.25,50.25,397302,0.0,1.0
2024-01-18,50.5,50.8,49.51,49.97,49.97,492596,0.0,1.0
2024-01-17,50.15,50.91,49.895,50.43,50.43,494564,0.0,1.0
2024-01-16,50.49,51.45,50.21,51.13,51.13,330766,0.0,1.0
2024-01-12,51.76,52.56,50.88,51.19,51.19,272561,0.0,1.0
2024-01-11,50.78,51.25,49.75,51.09,51.09,392906,0.0,1.0
2024-01-10,51.06,51.45,50.445,51.03,51.03,267993,0.0,1.0
2024-01-09,51.42,52.34,50.89,51.04,51.04,300894,0.0,1.0
2024-01-08,48.96,52.27,48.85,52.16,52.16,565107,0.0,1.0
2024-01-05,49.32,49.68,48.54,48.8,48.8,411659,0.0,1.0
2024-01-04,49.1,49.82,48.69,49.8,49.8,543337,0.0,1.0
2024-01-03,50.4,50.4,49.12,49.34,49.34,452723,0.0,1.0
2024-01-02,51.43,52.03,50.2,50.54,50.54,554051,0.0,1.0
2023-12-29,52.27,53.0,51.72,51.74,51.74,587791,0.0,1.0
2023-12-28,51.86,53.21,51.83,52.47,52.47,835114,0.0,1.0
2023-12-27,51.7,52.72,51.47,52.2,52.2,751108,0.0,1.0
2023-12-26,51.58,52.66,50.66,51.87,51.87,776417,0.0,1.0
2023-12-22,51.88,52.72,51.33,51.78,51.78,396786,0.0,1.0
2023-12-21,50.38,52.09,50.355,51.82,51.82,352106,0.0,1.0
2023-12-20,50.29,51.41,49.79,49.8,49.8,508062,0.0,1.0
2023-12-19,50.62,51.47,50.29,50.51,50.51,334024,0.0,1.0
2023-12-18,49.98,50.95,49.73,50.29,50.29,326949,0.0,1.0
2023-12-15,52.01,52.01,50.06,50.07,50.07,1087667,0.0,1.0
2023-12-14,50.84,51.75,50.19,51.68,51.68,625819,0.0,1.0
2023-12-13,46.82,50.53,46.82,50.38,50.38,1060352,0.0,1.0
2023-12-12,45.53,47.0,44.74,46.83,46.83,446929,0.0,1.0
2023-12-11,46.46,47.3425,45.23,45.48,45.48,451406,0.0,1.0
2023-12-08,44.87,46.71,44.77,46.43,46.43,568901,0.0,1.0
2023-12-07,44.37,45.64,44.105,45.07,45.07,593656,0.0,1.0
2023-12-06,43.64,44.67,43.28,44.55,44.55,726281,0.0,1.0
2023-12-05,43.96,44.5065,42.75,43.45,43.45,647403,0.0,1.0
2023-12-04,45.66,45.88,43.81,44.02,44.02,834584,0.0,1.0
2023-12-01,44.66,46.06,44.66,45.92,45.92,713254,0.0,1.0
2023-11-30,44.97,45.87,44.71,44.85,44.85,1154913,0.0,1.0
2023-11-29,45.62,45.78,44.15,44.87,44.87,1036940,0.0,1.0
2023-11-28,45.73,46.61,44.85,45.98,45.98,462244,0.0,1.0
2023-11-27,44.12,45.93,43.95,45.85,45.85,752700,0.0,1.0
2023-11-24,44.12,44.45,43.965,44.12,44.12,1014707,0.0,1.0
2023-11-22,44.14,44.67,43.855,44.05,44.05,396986,0.0,1.0
2023-11-21,45.19,45.19,43.2,43.46,43.46,1276214,0.0,1.0
2023-11-20,46.67,47.92,46.41,46.86,46.86,379609,0.0,1.0
2023-11-17,47.64,48.66,46.615,46.77,46.77,518833,0.0,1.0
2023-11-16,48.07,48.19,47.21,47.24,47.24,421033,0.0,1.0
2023-11-15,48.8,49.59,48.08,48.13,48.13,466872,0.0,1.0
2023-11-14,47.87,49.36,47.87,49.23,49.23,514769,0.0,1.0
2023-11-13,46.27,47.32,45.99,46.72,46.72,293734,0.0,1.0
2023-11-10,46.42,46.67,45.225,45.8,45.8,309599,0.0,1.0
2023-11-09,47.4,47.4,45.99,46.05,46.05,244290,0.0,1.0
2023-11-08,47.09,47.71,46.61,47.19,47.19,415985,0.0,1.0
2023-11-07,48.38,48.57,47.39,47.5,47.5,406761,0.0,1.0
2023-11-06,49.78,49.95,47.68,48.59,48.59,483930,0.0,1.0
2023-11-03,49.47,51.0,48.78,49.96,49.96,469961,0.0,1.0
2023-11-02,51.0,51.07,48.33,48.67,48.67,558090,0.0,1.0
2023-11-01,46.96,51.75,46.83,50.04,50.04,1217176,0.0,1.0
2023-10-31,48.08,49.43,48.07,49.05,49.05,628341,0.0,1.0
2023-10-30,47.65,48.19,46.98,47.91,47.91,516440,0.0,1.0
2023-10-27,47.46,47.46,46.255,47.19,47.19,341550,0.0,1.0
2023-10-26,47.39,47.8,46.98,47.12,47.12,244208,0.0,1.0
2023-10-25,47.94,49.16,46.92,47.65,47.65,255424,0.0,1.0
2023-10-24,48.26,48.995,48.09,48.41,48.41,266534,0.0,1.0
2023-10-23,49.18,49.68,48.06,48.16,48.16,316863,0.0,1.0
2023-10-20,49.18,50.58,48.56,49.41,49.41,417319,0.0,1.0
2023-10-19,49.76,50.57,48.919,48.97,48.97,258305,0.0,1.0
2023-10-18,49.76,51.19,49.735,49.98,49.98,366588,0.0,1.0
2023-10-17,48.03,50.37,47.985,50.03,50.03,715293,0.0,1.0
2023-10-16,48.47,49.285,47.88,48.77,48.77,299613,0.0,1.0
2023-10-13,47.33,48.25,47.12,47.94,47.94,446953,0.0,1.0
2023-10-12,49.09,49.3,47.32,47.47,47.47,568940,0.0,1.0
2023-10-11,52.07,53.07,48.94,48.96,48.96,411263,0.0,1.0
2023-10-10,50.5,53.23,50.42,52.15,52.15,473811,0.0,1.0
2023-10-09,53.3,53.31,50.4,50.41,50.41,669218,0.0,1.0
2023-10-06,51.58,53.66,51.41,53.66,53.66,364189,0.0,1.0
2023-10-05,51.87,52.56,50.72,51.72,51.72,423943,0.0,1.0
2023-10-04,51.74,54.485,50.22,51.63,51.63,353938,0.0,1.0
2023-10-03,52.52,52.57,51.5,51.62,51.62,316380,0.0,1.0
2023-10-02,52.49,53.61,51.615,52.66,52.66,463365,0.0,1.0
2023-09-29,54.31,54.885,52.77,52.88,52.88,503579,0.0,1.0
2023-09-28,53.2,54.13,53.2,53.87,53.87,288181,0.0,1.0
2023-09-27,53.38,53.89,52.63,53.18,53.18,267143,0.0,1.0
2023-09-26,53.75,53.97,53.31,53.38,53.38,315818,0.0,1.0
2023-09-25,54.45,54.85,53.88,54.06,54.06,369900,0.0,1.0
2023-09-22,55.78,56.04,54.73,54.74,54.74,404332,0.0,1.0
2023-09-21,56.82,56.82,55.65,55.79,55.79,240848,0.0,1.0
2023-09-20,57.39,57.81,56.82,57.1,57.1,265343,0.0,1.0
2023-09-19,57.71,57.99,57.19,57.3,57.3,422879,0.0,1.0
2023-09-18,57.85,58.305,57.19,57.62,57.62,309921,0.0,1.0
2023-09-15,57.21,57.86,56.5,57.8,57.8,846565,0.0,1.0
2023-09-14,57.32,57.52,56.17,56.8,56.8,359573,0.0,1.0
2023-09-13,54.62,57.04,54.42,56.98,56.98,537422,0.0,1.0
2023-09-12,54.42,54.95,53.86,54.62,54.62,274303,0.0,1.0
2023-09-11,54.02,54.925,53.08,54.57,54.57,570714,0.0,1.0
2023-09-08,53.99,54.33,52.94,53.64,53.64,211247,0.0,1.0
2023-09-07,54.46,54.62,54.01,54.07,54.07,591400,0.0,1.0
2023-09-06,54.43,54.6,52.7,54.52,54.52,368169,0.0,1.0
2023-09-05,55.54,55.54,54.395,54.41,54.41,271652,0.0,1.0
2023-09-01,55.75,56.08,55.49,55.85,55.85,169324,0.0,1.0
2023-08-31,56.25,56.65,55.44,55.55,55.55,330592,0.0,1.0
2023-08-30,55.78,56.42,55.65,56.12,56.12,263404,0.0,1.0
2023-08-29,55.59,55.99,55.03,55.77,55.77,226348,0.0,1.0
2023-08-28,55.83,56.715,54.85,55.49,55.49,376870,0.0,1.0
2023-08-25,54.78,55.98,54.505,55.73,55.73,273038,0.0,1.0
2023-08-24,54.61,55.49,54.405,54.63,54.63,258657,0.0,1.0
2023-08-23,55.57,55.61,54.78,54.79,54.79,202254,0.0,1.0
2023-08-22,55.14,55.55,55.04,55.3,55.3,274568,0.0,1.0
2023-08-21,54.32,55.14,54.21,55.02,55.02,299615,0.0,1.0
2023-08-18,54.23,54.27,53.58,54.19,54.19,438603,0.0,1.0
2023-08-17,54.94,55.14,54.2,54.41,54.41,348028,0.0,1.0
2023-08-16,55.13,55.83,54.83,54.95,54.95,362265,0.0,1.0
2023-08-15,55.41,55.88,54.845,55.29,55.29,339921,0.0,1.0
2023-08-14,54.51,55.8,54.33,55.75,55.75,299744,0.0,1.0
2023-08-11,54.6,54.84,53.99,54.71,54.71,438109,0.0,1.0
2023-08-10,55.33,56.035,54.85,55.17,55.17,335247,0.0,1.0
2023-08-09,56.0,56.13,54.45,55.39,55.39,365509,0.0,1.0
2023-08-08,57.03,57.4,55.84,56.05,56.05,292246,0.0,1.0
2023-08-07,57.09,57.59,56.9,57.44,57.44,211348,0.0,1.0
2023-08-04,56.76,57.48,56.525,57.09,57.09,265252,0.0,1.0
2023-08-03,57.35,57.62,56.76,56.85,56.85,194914,0.0,1.0
2023-08-02,58.34,58.49,56.92,57.46,57.46,231748,0.0,1.0
2023-08-01,58.24,59.04,57.775,58.56,58.56,465414,0.0,1.0
2023-07-31,57.83,59.06,57.67,58.45,58.45,422635,0.0,1.0
2023-07-28,57.77,58.0,56.78,57.8,57.8,463431,0.0,1.0
2023-07-27,59.41,59.55,57.12,57.31,57.31,600975,0.0,1.0
2023-07-26,58.055,59.86,57.21,58.87,58.87,2233086,0.0,1.0
2023-07-25,52.54,53.945,51.2777,53.58,53.58,503996,0.0,1.0
2023-07-24,53.09,53.89,52.8,52.93,52.93,439952,0.0,1.0
2023-07-21,53.0,53.89,52.63,53.18,53.18,362389,0.0,1.0
2023-07-20,52.58,53.34,52.43,52.97,52.97,397682,0.0,1.0
2023-07-19,52.92,53.8646,51.335,52.14,52.14,519753,0.0,1.0
2023-07-18,52.45,53.47,52.45,53.09,53.09,321232,0.0,1.0
2023-07-17,52.43,53.14,52.11,52.56,52.56,192356,0.0,1.0
2023-07-14,52.26,52.67,51.95,52.6,52.6,230157,0.0,1.0
2023-07-13,53.02,54.23,52.3,52.32,52.32,293349,0.0,1.0
2023-07-12,53.72,53.81,52.895,53.09,53.09,248089,0.0,1.0
2023-07-11,51.91,53.13,51.68,53.04,53.04,472602,0.0,1.0
2023-07-10,51.04,52.52,51.0,51.87,51.87,346936,0.0,1.0
2023-07-07,50.07,51.25,50.01,51.12,51.12,264516,0.0,1.0
2023-07-06,50.61,51.03,50.02,50.12,50.12,486301,0.0,1.0
2023-07-05,50.85,51.205,49.93,51.02,51.02,326693,0.0,1.0
2023-07-03,51.11,51.395,50.59,50.97,50.97,140616,0.0,1.0
2023-06-30,51.47,51.83,50.96,51.43,51.43,271367,0.0,1.0
2023-06-29,51.08,52.69,50.64,51.11,51.11,545340,0.0,1.0
2023-06-28,49.46,51.11,49.045,51.08,51.08,517546,0.0,1.0
2023-06-27,49.38,49.74,49.09,49.47,49.47,247179,0.0,1.0
2023-06-26,48.61,49.71,48.22,49.38,49.38,264120,0.0,1.0
2023-06-23,49.67,50.44,48.03,48.63,48.63,1827003,0.0,1.0
2023-06-22,50.35,51.03,49.85,50.32,50.32,262591,0.0,1.0
2023-06-21,51.15,51.34,50.095,50.39,50.39,273173,0.0,1.0
2023-06-20,49.39,51.555,48.99,51.15,51.15,798200,0.0,1.0
2023-06-16,48.98,49.92,48.91,49.76,49.76,569351,0.0,1.0
2023-06-15,48.49,49.75,47.76,48.4,48.4,455571,0.0,1.0
2023-06-14,48.47,49.03,48.1,48.49,48.49,222048,0.0,1.0
2023-06-13,48.06,48.96,47.83,48.1,48.1,205626,0.0,1.0
2023-06-12,47.4,48.48,47.21,48.01,48.01,302724,0.0,1.0
2023-06-09,47.4,47.635,46.67,47.43,47.43,228158,0.0,1.0
2023-06-08,46.98,47.66,46.54,47.48,47.48,282215,0.0,1.0
2023-06-07,47.2,47.49,46.72,47.08,47.08,270788,0.0,1.0
2023-06-06,46.32,47.24,46.12,47.05,47.05,222198,0.0,1.0
2023-06-05,46.45,46.59,45.81,46.34,46.34,310565,0.0,1.0
2023-06-02,46.08,46.92,45.84,46.85,46.85,297689,0.0,1.0
2023-06-01,44.42,45.65,44.2,45.6,45.6,340162,0.0,1.0
2023-05-31,43.66,44.51,43.66,44.28,44.28,305373,0.0,1.0
2023-05-30,43.86,44.57,43.66,43.83,43.83,237713,0.0,1.0
2023-05-26,44.3,44.51,43.634,44.02,44.02,246338,0.0,1.0
2023-05-25,44.66,44.75,43.72,44.42,44.42,306667,0.0,1.0
2023-05-24,44.53,45.2,44.17,45.01,45.01,527315,0.0,1.0
2023-05-23,45.78,47.99,44.84,44.86,44.86,396942,0.0,1.0
2023-05-22,45.67,46.2,45.19,45.74,45.74,569786,0.0,1.0
2023-05-19,45.43,46.17,44.97,45.67,45.67,603955,0.0,1.0
2023-05-18,46.04,46.285,45.02,45.09,45.09,308661,0.0,1.0
2023-05-17,46.87,46.95,45.895,46.06,46.06,455268,0.0,1.0
2023-05-16,47.06,47.23,46.42,46.77,46.77,246127,0.0,1.0
2023-05-15,47.1,47.55,47.0,47.33,47.33,319797,0.0,1.0
2023-05-12,47.16,47.25,46.55,47.06,47.06,154047,0.0,1.0
2023-05-11,46.83,47.2,46.48,47.01,47.01,170250,0.0,1.0
2023-05-10,47.34,47.97,46.42,46.96,46.96,231814,0.0,1.0
2023-05-09,46.87,47.18,46.52,46.74,46.74,240849,0.0,1.0
2023-05-08,47.58,47.93,46.64,47.12,47.12,417356,0.0,1.0
2023-05-05,47.95,48.035,46.585,47.48,47.48,542336,0.0,1.0
2023-05-04,47.24,48.31,47.06,47.39,47.39,331959,0.0,1.0
2023-05-03,45.24,47.76,44.12,47.5,47.5,597899,0.0,1.0
2023-05-02,47.49,47.775,46.5,47.13,47.13,468735,0.0,1.0
2023-05-01,47.67,48.415,47.55,47.91,47.91,438083,0.0,1.0
2023-04-28,47.68,48.51,47.615,47.9,47.9,318326,0.0,1.0
