,HF_Open,HF_High,HF_Low,HF_Close,HF_Adj Close,HF_Volume,HF_Dividend Amount,HF_Split Coefficient
2024-01-05,20.56,20.56,20.4849,20.4849,20.4849,501,0.0,1.0
2024-01-04,20.545,20.545,20.4847,20.4847,20.4847,200,0.0,1.0
2024-01-03,20.51,20.51,20.5097,20.5097,20.5097,1227,0.0,1.0
2024-01-02,20.65,20.66,20.5922,20.5922,20.5922,19304,0.0,1.0
2023-12-29,20.72,20.72,20.6641,20.6641,20.6641,736,0.0,1.0
2023-12-28,20.7241,20.7241,20.7241,20.7241,20.7241,10,0.0,1.0
2023-12-27,20.74,20.74,20.7156,20.7156,20.7156,591,0.0,1.0
2023-12-26,20.71,20.74,20.69,20.69,20.69,334,0.5149,1.0
2023-12-22,21.16,21.16,21.09,21.1232,20.6102811474432,2155,0.0,1.0
2023-12-21,21.0853,21.0853,21.0853,21.0853,20.5733014447709,8,0.0,1.0
2023-12-20,21.165,21.165,20.9326,20.9326,20.4243093445581,126,0.0,1.0
2023-12-19,21.13,21.1387,21.1299,21.1387,20.6254047725467,396,0.0,1.0
2023-12-18,21.03,21.07,21.0195,21.0195,20.5090992169123,728,0.0,1.0
2023-12-15,20.9998,20.9998,20.9998,20.9998,20.4898775772647,37,0.0,1.0
2023-12-14,21.055,21.055,20.9837,20.9837,20.4741685215121,207,0.0,1.0
2023-12-13,20.9327,20.9327,20.9327,20.9327,20.424406916333,52,0.0,1.0
2023-12-12,20.782,20.782,20.782,20.782,20.2773662516174,52,0.0,1.0
2023-12-11,20.7384,20.7384,20.7384,20.7384,20.234824957778,7,0.0,1.0
2023-12-08,20.73,20.74,20.6932,20.6932,20.1907225155408,249,0.0,1.0
2023-12-07,20.69,20.69,20.6472,20.6472,20.1458394991047,200,0.0,1.0
2023-12-06,20.5638,20.5638,20.5638,20.5638,20.0644646388707,53,0.0,1.0
2023-12-05,20.597,20.597,20.597,20.597,20.0968584681245,1315,0.0,1.0
2023-12-04,20.63,20.63,20.615,20.615,20.1144213875995,1315,0.0,1.0
2023-12-01,20.7,20.7,20.61,20.7,20.1973573962314,4717,0.0,1.0
2023-11-30,20.5912,20.5912,20.5912,20.5912,20.0911993051826,1,0.0,1.0
2023-11-29,20.5579,20.5579,20.5579,20.5579,20.0587079041539,3,0.0,1.0
2023-11-28,20.5615,20.5615,20.5615,20.5615,20.0622204880488,1,0.0,1.0
2023-11-27,20.59,20.59,20.5422,20.5422,20.0433891355007,403,0.0,1.0
2023-11-24,20.5659,20.5659,20.5659,20.5659,20.0665136461427,51,0.0,1.0
2023-11-22,20.59,20.59,20.5564,20.5564,20.0572443275309,100,0.0,1.0
2023-11-21,20.6,20.6,20.5,20.5,20.0022138465093,152,0.0,1.0
2023-11-20,20.56,20.59,20.5252,20.5252,20.0268019337743,400,0.0,1.0
2023-11-17,20.43,20.43,20.4228,20.4228,19.9268884363166,400,0.0,1.0
