,LOGM_Open,LOGM_High,LOGM_Low,LOGM_Close,LOGM_Adj Close,LOGM_Volume,LOGM_Dividend Amount,LOGM_Split Coefficient
2020-07-16,85.64,85.78,85.51,85.65,85.65,879400,0.0,1.0
2020-07-15,85.59,85.69,85.46,85.57,85.57,384900,0.0,1.0
2020-07-14,85.55,85.6,85.42,85.57,85.57,751800,0.0,1.0
2020-07-13,85.62,85.7,85.46,85.5,85.5,546400,0.0,1.0
2020-07-10,85.55,85.62,85.5,85.58,85.58,295700,0.0,1.0
2020-07-09,85.57,85.64,85.47,85.59,85.59,431200,0.0,1.0
2020-07-08,85.59,85.64,85.46,85.54,85.54,363300,0.0,1.0
2020-07-07,85.31,85.8,85.25,85.5,85.5,690100,0.0,1.0
2020-07-06,85.54,85.82,85.5,85.52,85.52,529300,0.0,1.0
2020-07-02,85.49,85.66,85.28,85.36,85.36,715700,0.0,1.0
2020-07-01,84.82,85.54,84.7,85.41,85.41,833700,0.0,1.0
2020-06-30,85.23,85.25,84.68,84.77,84.77,800900,0.0,1.0
2020-06-29,84.85,85.29,84.65,85.29,85.29,333300,0.0,1.0
2020-06-26,84.84,85.06,84.2,84.75,84.75,889903,0.0,1.0
2020-06-25,84.97,85.19,84.83,84.95,84.95,224437,0.0,1.0
2020-06-24,85.13,85.29,85.01,85.02,85.02,363864,0.0,1.0
2020-06-23,85.18,85.35,84.995,85.25,85.25,320539,0.0,1.0
2020-06-22,85.0,85.08,84.76,85.06,85.06,298097,0.0,1.0
2020-06-19,85.29,85.29,84.68,84.9,84.9,759915,0.0,1.0
2020-06-18,85.17,85.18,84.92,85.0,85.0,248606,0.0,1.0
2020-06-17,85.08,85.3,84.85,85.15,85.15,216865,0.0,1.0
2020-06-16,84.91,85.28,84.745,85.13,85.13,586014,0.0,1.0
2020-06-15,84.23,84.95,84.13,84.69,84.69,630960,0.0,1.0
2020-06-12,85.15,85.2,84.36,84.7,84.7,728887,0.0,1.0
2020-06-11,84.65,85.33,84.65,84.94,84.94,542369,0.0,1.0
2020-06-10,85.49,85.49,85.1,85.15,85.15,571388,0.0,1.0
2020-06-09,85.26,85.49,85.26,85.39,85.39,599640,0.0,1.0
2020-06-08,85.38,85.5,85.1,85.36,85.36,1252936,0.0,1.0
2020-06-05,85.12,85.59,85.12,85.28,85.28,913586,0.0,1.0
2020-06-04,84.9,85.18,84.9,85.08,85.08,401315,0.0,1.0
2020-06-03,85.01,85.24,84.84,85.06,85.06,393776,0.0,1.0
2020-06-02,84.89,85.2,84.71,85.0,85.0,447750,0.0,1.0
2020-06-01,84.77,85.09,84.41,84.8,84.8,530825,0.0,1.0
2020-05-29,84.8,85.26,84.6,84.9,84.9,850900,0.0,1.0
2020-05-28,84.92,84.92,84.62,84.71,84.71,395859,0.0,1.0
2020-05-27,84.25,84.86,83.74,84.77,84.77,785850,0.0,1.0
2020-05-26,84.64,84.69,84.18,84.23,84.23,658635,0.0,1.0
2020-05-22,84.94,85.1,83.9,84.07,84.07,2840094,0.0,1.0
2020-05-21,85.05,85.17,84.81,84.91,84.91,504728,0.0,1.0
2020-05-20,85.15,85.3,84.94,85.06,85.06,554668,0.0,1.0
2020-05-19,85.18,85.27,84.98,84.99,84.99,395691,0.0,1.0
2020-05-18,85.3,85.3,84.9,84.91,84.91,817084,0.0,1.0
2020-05-15,85.04,85.37,84.88,85.315,85.315,687861,0.0,1.0
2020-05-14,84.88,85.13,84.75,85.1,85.1,568552,0.0,1.0
2020-05-13,85.2,85.32,84.91,85.16,85.16,608975,0.0,1.0
2020-05-12,85.3,85.34,85.09,85.11,85.11,453408,0.0,1.0
2020-05-11,85.24,85.39,85.11,85.32,85.32,550395,0.0,1.0
2020-05-08,85.38,85.43,85.13,85.19,85.19,1111306,0.0,1.0
2020-05-07,85.4,85.4,85.23,85.35,85.35,690168,0.0,1.0
2020-05-06,85.35,85.5,85.2,85.26,85.26,228485,0.0,1.0
2020-05-05,85.42,85.48,85.11,85.21,85.21,780199,0.0,1.0
2020-05-04,85.12,85.43,84.96,85.31,85.31,377720,0.0,1.0
2020-05-01,85.17,85.49,85.11,85.35,85.35,407904,0.0,1.0
2020-04-30,84.87,85.69,84.87,85.46,85.46,718971,0.0,1.0
2020-04-29,85.05,85.38,84.92,85.05,85.05,921873,0.0,1.0
2020-04-28,85.1,85.25,84.65,84.89,84.89,418322,0.0,1.0
2020-04-27,85.0,85.29,84.85,85.01,85.01,254790,0.0,1.0
2020-04-24,84.8,84.92,84.6,84.805,84.805,585451,0.0,1.0
2020-04-23,84.63,84.87,84.55,84.73,84.73,351884,0.0,1.0
2020-04-22,84.87,84.93,84.23,84.63,84.63,501177,0.0,1.0
2020-04-21,84.5,85.015,84.34,84.52,84.52,730926,0.0,1.0
2020-04-20,84.82,85.1,84.35,84.52,84.52,759561,0.0,1.0
2020-04-17,85.29,85.29,84.72,84.99,84.99,499325,0.0,1.0
2020-04-16,84.85,85.2,84.73,85.0,85.0,1238615,0.0,1.0
2020-04-15,84.59,84.99,84.51,84.76,84.76,537568,0.0,1.0
2020-04-14,84.7,84.96,84.46,84.83,84.83,614383,0.0,1.0
2020-04-13,84.56,84.88,84.33,84.46,84.46,415507,0.0,1.0
2020-04-09,84.4,84.96,84.0179,84.7,84.7,1025938,0.0,1.0
2020-04-08,84.29,84.5998,83.47,84.17,84.17,988840,0.0,1.0
2020-04-07,83.8,84.55,83.64,83.93,83.93,1090195,0.0,1.0
2020-04-06,83.9,84.13,83.08,83.64,83.64,825751,0.0,1.0
2020-04-03,83.16,83.715,82.77,82.97,82.97,932322,0.0,1.0
2020-04-02,82.75,83.91,82.75,83.46,83.46,703507,0.0,1.0
2020-04-01,82.9,84.25,82.3,82.9,82.9,650651,0.0,1.0
2020-03-31,84.2,84.47,83.0,83.28,83.28,810329,0.0,1.0
2020-03-30,84.2,84.63,83.25,84.55,84.55,847615,0.0,1.0
2020-03-27,81.41,83.62,81.26,83.59,83.59,787951,0.0,1.0
2020-03-26,80.79,82.77,80.14,82.34,82.34,927751,0.0,1.0
2020-03-25,80.98,82.06,80.07,80.75,80.75,1847012,0.0,1.0
2020-03-24,80.22,81.17,78.45,80.91,80.91,1609040,0.0,1.0
2020-03-23,80.27,80.64,76.38,78.76,78.76,1839845,0.0,1.0
2020-03-20,78.88,80.57,78.02,79.94,79.94,1452125,0.0,1.0
2020-03-19,78.0,79.855,77.23,79.35,79.35,1905687,0.0,1.0
2020-03-18,76.0,79.63,75.23,78.15,78.15,1460347,0.0,1.0
2020-03-17,72.11,78.86,69.05,78.5,78.5,1122620,0.0,1.0
2020-03-16,79.12,79.17,69.87,71.52,71.52,1793779,0.0,1.0
2020-03-13,81.94,82.05,78.88,81.23,81.23,1151016,0.0,1.0
2020-03-12,82.64,83.495,80.3,80.5,80.5,1981641,0.0,1.0
2020-03-11,83.76,84.31,82.84,83.35,83.35,1425288,0.0,1.0
2020-03-10,83.08,84.72,82.54,84.38,84.38,1496202,0.0,1.0
2020-03-09,83.0,83.51,81.05,82.01,82.01,1444426,0.0,1.0
2020-03-06,84.62,84.62,83.6806,84.22,84.22,1472522,0.0,1.0
2020-03-05,85.08,85.27,84.75,84.79,84.79,1050138,0.0,1.0
2020-03-04,84.96,85.25,84.72,85.15,85.15,671771,0.0,1.0
2020-03-03,84.85,85.19,84.57,84.73,84.73,1432612,0.0,1.0
2020-03-02,85.32,85.32,84.72,85.06,85.06,1184970,0.0,1.0
2020-02-28,85.01,85.67,84.1,85.235,85.235,1938310,0.0,1.0
2020-02-27,84.88,85.28,84.75,85.01,85.01,1121573,0.0,1.0
2020-02-26,85.24,85.32,85.0,85.01,85.01,1941028,0.0,1.0
2020-02-25,85.47,85.47,85.2,85.21,85.21,930051,0.0,1.0
2020-02-24,85.38,85.54,85.17,85.19,85.19,1070898,0.0,1.0
2020-02-21,85.42,85.53,85.4,85.4,85.4,638346,0.0,1.0
2020-02-20,85.5,85.54,85.4,85.4,85.4,737778,0.0,1.0
2020-02-19,85.54,85.54,85.4,85.4,85.4,599209,0.0,1.0
2020-02-18,85.5,85.58,85.37,85.47,85.47,499120,0.0,1.0
2020-02-14,85.45,85.57,85.43,85.47,85.47,789990,0.0,1.0
2020-02-13,85.5,85.57,85.4,85.43,85.43,618198,0.0,1.0
2020-02-12,85.57,85.6,85.44,85.55,85.55,441599,0.0,1.0
2020-02-11,85.56,85.63,85.45,85.47,85.47,458517,0.0,1.0
2020-02-10,85.55,85.57,85.42,85.5,85.5,962207,0.0,1.0
2020-02-07,85.58,85.63,85.5,85.57,85.57,269752,0.0,1.0
2020-02-06,85.78,85.78,85.51,85.52,85.52,675218,0.0,1.0
2020-02-05,85.86,85.93,85.5,85.59,85.59,805283,0.0,1.0
2020-02-04,85.55,85.605,85.4483,85.49,85.49,658176,0.0,1.0
2020-02-03,85.52,85.65,85.38,85.52,85.52,1408058,0.0,1.0
2020-01-31,86.06,86.12,85.91,85.97,85.97,735976,0.0,1.0
2020-01-30,86.16,86.27,86.03,86.1,86.1,285735,0.0,1.0
2020-01-29,86.28,86.35,86.17,86.23,86.23,463858,0.0,1.0
2020-01-28,86.3,86.36,86.23,86.27,86.27,407250,0.0,1.0
2020-01-27,86.1,86.31,85.85,86.2,86.2,450400,0.0,1.0
2020-01-24,86.31,86.5,86.2,86.3,86.3,443790,0.0,1.0
2020-01-23,86.11,86.36,86.1,86.29,86.29,367732,0.0,1.0
2020-01-22,86.36,86.42,86.1,86.1,86.1,462942,0.0,1.0
2020-01-21,86.38,86.53,86.25,86.35,86.35,621130,0.0,1.0
2020-01-17,86.11,86.63,86.11,86.55,86.55,787530,0.0,1.0
2020-01-16,86.05,86.15,85.96,86.15,86.15,669617,0.0,1.0
2020-01-15,86.0,86.1,85.88,85.88,85.88,764051,0.0,1.0
2020-01-14,86.01,86.11,85.95,86.09,86.09,848912,0.0,1.0
2020-01-13,86.03,86.12,85.9,86.12,86.12,519074,0.0,1.0
2020-01-10,85.98,86.06,85.86,86.02,86.02,257513,0.0,1.0
2020-01-09,86.07,86.1,85.78,85.89,85.89,572088,0.0,1.0
2020-01-08,86.1,86.25,85.92,85.99,85.99,1142805,0.0,1.0
2020-01-07,85.93,86.19,85.72,86.1,86.1,459215,0.0,1.0
2020-01-06,85.57,86.07,85.55,86.05,86.05,1047952,0.0,1.0
2020-01-03,85.41,85.77,85.41,85.555,85.555,935899,0.0,1.0
2020-01-02,86.0,86.03,85.66,85.665,85.665,588325,0.0,1.0
2019-12-31,85.72,85.98,85.61,85.74,85.74,393655,0.0,1.0
2019-12-30,86.0,86.025,85.74,85.78,85.78,319884,0.0,1.0
2019-12-27,86.14,86.2,85.66,86.02,86.02,522458,0.0,1.0
2019-12-26,86.15,86.39,86.05,86.1,86.1,486068,0.0,1.0
2019-12-24,86.29,86.29,85.98,86.15,86.15,308018,0.0,1.0
2019-12-23,86.21,86.45,86.05,86.33,86.33,1046129,0.0,1.0
2019-12-20,86.51,86.51,86.04,86.17,86.17,1886138,0.0,1.0
2019-12-19,86.1,86.54,86.0,86.48,86.48,1141876,0.0,1.0
2019-12-18,85.83,86.26,85.83,86.1,86.1,2018612,0.0,1.0
2019-12-17,85.8,85.97,85.5,85.95,85.95,7161422,0.0,1.0
2019-12-16,82.75,83.19,82.31,82.41,82.41,1252109,0.0,1.0
2019-12-13,81.04,82.98,79.995,82.5,82.5,1480870,0.0,1.0
2019-12-12,79.83,84.25,79.318,80.81,80.81,1808959,0.0,1.0
2019-12-11,73.98,81.6,73.755,79.83,79.83,1404364,0.0,1.0
2019-12-10,74.5,75.94,73.83,74.04,74.04,362635,0.0,1.0
2019-12-09,73.68,74.6,73.09,74.17,74.17,370854,0.0,1.0
2019-12-06,73.97,74.29,73.45,74.04,74.04,403560,0.0,1.0
2019-12-05,74.96,75.46,73.58,73.64,73.64,613985,0.0,1.0
2019-12-04,78.97,79.195,74.18,74.34,74.34,1085103,0.0,1.0
2019-12-03,75.88,80.0,73.77,79.8,79.8,1059122,0.0,1.0
2019-12-02,77.75,77.865,76.9,77.38,77.38,482838,0.0,1.0
2019-11-29,78.37,78.73,77.79,77.98,77.98,203095,0.0,1.0
2019-11-27,78.37,79.0,78.07,78.62,78.62,292293,0.0,1.0
2019-11-26,77.72,78.27,77.26,78.19,78.19,342653,0.0,1.0
2019-11-25,76.93,78.29,76.93,77.74,77.74,300439,0.0,1.0
2019-11-22,77.57,78.205,76.385,76.9,76.9,389609,0.0,1.0
2019-11-21,77.21,77.93,76.71,77.06,77.06,401701,0.0,1.0
2019-11-20,78.64,79.17,76.88,77.24,77.24,709127,0.0,1.0
2019-11-19,78.9,79.39,78.0,78.98,78.98,614781,0.0,1.0
2019-11-18,80.75,80.8,77.94,78.18,78.18,834753,0.0,1.0
2019-11-15,73.45,82.34,73.2,81.005,81.005,3755609,0.0,1.0
2019-11-14,69.16,73.29,69.16,73.21,73.21,1116057,0.0,1.0
2019-11-13,68.98,69.655,68.26,69.53,69.53,825867,0.0,1.0
2019-11-12,68.7,69.5,68.22,69.4,69.4,476779,0.325,1.0
2019-11-11,69.3,69.75,68.85,69.05,68.7281462889925,346780,0.0,1.0
2019-11-08,69.23,70.28,68.815,69.89,69.5642309071352,1178176,0.0,1.0
2019-11-07,70.24,70.75,69.25,69.58,69.2556758694873,419562,0.0,1.0
2019-11-06,70.02,70.51,69.6,69.78,69.4547436357117,709810,0.0,1.0
2019-11-05,67.1,70.35,67.1,70.27,69.9424596629616,769848,0.0,1.0
2019-11-04,66.51,67.02,66.2,66.92,66.608074578702,326271,0.0,1.0
2019-11-01,66.03,66.03,65.29,65.82,65.5132018644675,480242,0.0,1.0
2019-10-31,67.32,67.32,65.51,65.68,65.3738544281104,471090,0.0,1.0
2019-10-30,66.85,67.98,66.3,67.52,67.2052778773754,561388,0.0,1.0
2019-10-29,66.04,67.075,65.3,66.96,66.6478881319469,1221298,0.0,1.0
2019-10-28,66.82,67.94,65.71,66.02,65.712269630692,896821,0.0,1.0
2019-10-25,68.35,68.74,62.0206,66.15,65.8416636787379,1621833,0.0,1.0
2019-10-24,67.84,68.19,66.81,67.69,67.3744854786662,482068,0.0,1.0
2019-10-23,67.05,67.64,66.845,67.51,67.1953244890642,348094,0.0,1.0
2019-10-22,67.44,67.93,67.02,67.47,67.1555109358193,354828,0.0,1.0
2019-10-21,67.9,68.64,67.325,67.49,67.1754177124417,360097,0.0,1.0
2019-10-18,69.22,69.4,67.6,67.65,67.3346719254213,345410,0.0,1.0
2019-10-17,69.82,70.355,69.14,69.3,68.976980996773,221797,0.0,1.0
2019-10-16,69.97,70.55,69.47,69.51,69.1860021513087,353587,0.0,1.0
2019-10-15,69.86,70.83,69.74,70.59,70.2609680889208,359255,0.0,1.0
2019-10-14,69.09,70.39,69.09,69.95,69.6239512370025,413732,0.0,1.0
2019-10-11,69.35,70.09,68.87,69.54,69.2158623162424,370960,0.0,1.0
2019-10-10,67.8,68.76,67.415,68.15,67.8323413409824,605784,0.0,1.0
2019-10-09,66.9,67.36,66.37,67.09,66.7772821799928,392158,0.0,1.0
2019-10-08,67.63,67.63,65.75,66.59,66.2796127644317,484637,0.0,1.0
2019-10-07,67.44,68.645,66.965,67.7,67.3844388669774,409356,0.0,1.0
2019-10-04,68.67,69.49,67.63,68.01,67.6929939046253,501873,0.0,1.0
2019-10-03,66.49,68.03,65.04,67.96,67.6432269630692,468786,0.0,1.0
2019-10-02,68.11,68.49,66.41,66.65,66.339333094299,539107,0.0,1.0
2019-10-01,71.07,71.96,68.46,68.5,68.1807099318752,482425,0.0,1.0
2019-09-30,69.53,71.11,69.5,70.96,70.629243456436,257767,0.0,1.0
2019-09-27,70.72,71.29,69.08,69.5,69.1760487629975,334638,0.0,1.0
2019-09-26,71.07,71.34,70.15,70.75,70.4202223019003,242033,0.0,1.0
2019-09-25,70.16,71.53,69.65,71.15,70.8183578343492,390219,0.0,1.0
2019-09-24,72.14,72.45,69.88,70.37,70.0419935460739,355727,0.0,1.0
2019-09-23,72.14,72.44,71.46,72.01,71.6743492291144,418288,0.0,1.0
2019-09-20,72.26,72.62,71.55,72.54,72.2018788096092,1148013,0.0,1.0
2019-09-19,68.83,72.85,67.91,72.25,71.9132305485837,1395069,0.0,1.0
2019-09-18,68.97,68.97,67.7,68.7,68.3797776980997,455089,0.0,1.0
2019-09-17,68.97,69.57,68.48,69.0,68.6783793474363,391861,0.0,1.0
2019-09-16,68.31,69.48,67.87,69.41,69.0864682681965,434908,0.0,1.0
2019-09-13,69.52,69.925,68.685,68.84,68.5191251344568,416794,0.0,1.0
2019-09-12,71.29,71.35,69.43,69.5,69.1760487629975,298132,0.0,1.0
2019-09-11,69.92,70.89,69.4,70.55,70.2211545356759,269740,0.0,1.0
2019-09-10,67.96,70.585,67.18,70.0,69.6737181785586,507853,0.0,1.0
2019-09-09,67.69,68.13,66.08,68.06,67.7427608461814,666500,0.0,1.0
2019-09-06,68.64,68.85,67.17,67.42,67.1057439942632,299454,0.0,1.0
2019-09-05,67.77,69.47,67.77,68.45,68.1309429903191,418875,0.0,1.0
2019-09-04,66.68,67.43,66.42,67.01,66.697655073503,569938,0.0,1.0
2019-09-03,66.17,66.51,65.11,65.81,65.5032484761563,586700,0.0,1.0
2019-08-30,67.54,67.88,66.4,66.84,66.5284474722123,221662,0.0,1.0
2019-08-29,66.96,67.76,66.89,67.32,67.0062101111509,210212,0.0,1.0
2019-08-28,66.88,67.215,66.1252,66.44,66.1303119397633,254511,0.0,1.0
2019-08-27,68.83,69.04,67.325,67.37,67.0559770527071,283388,0.0,1.0
2019-08-26,69.47,69.55,67.975,68.47,68.1508497669415,276549,0.0,1.0
2019-08-23,69.62,71.23,68.99,69.11,68.7878666188598,339654,0.0,1.0
2019-08-22,69.85,70.4025,69.4,70.17,69.8429257798494,203613,0.0,1.0
2019-08-21,69.64,70.53,69.06,69.65,69.3253495876658,316019,0.0,1.0
2019-08-20,69.26,69.56,68.61,69.04,68.7181929006812,259142,0.0,1.0
2019-08-19,69.05,69.87,68.94,69.3,68.976980996773,308935,0.0,1.0
2019-08-16,68.28,68.71,67.67,68.15,67.8323413409824,496217,0.0,1.0
2019-08-15,68.7,69.16,67.12,67.6,67.2849049838652,413614,0.0,1.0
2019-08-14,70.58,70.65,68.11,68.64,68.3200573682323,604866,0.0,1.0
2019-08-13,71.01,72.87,70.41,71.97,71.6345356758695,270650,0.0,1.0
2019-08-12,71.22,72.23,70.08,70.84,70.5098027967013,173453,0.0,1.0
2019-08-09,72.39,72.39,71.43,71.66,71.3259806382216,184363,0.0,1.0
2019-08-08,71.1,72.53,71.0701,72.46,72.1222517031194,416379,0.0,1.0
2019-08-07,69.96,70.61,69.73,70.48,70.1514808174973,388948,0.0,1.0
2019-08-06,71.65,73.36,70.57,70.66,70.3306418070993,399813,0.325,1.0
2019-08-05,72.37,72.855,70.3,71.3,70.6427380551691,550592,0.0,1.0
2019-08-02,74.71,74.99,73.115,73.615,72.9363977830473,298289,0.0,1.0
2019-08-01,75.97,76.9,74.38,75.17,74.4770633885984,310110,0.0,1.0
2019-07-31,77.23,77.33,75.04,75.97,75.2696887805217,365132,0.0,1.0
2019-07-30,76.62,77.75,76.43,77.2,76.4883503206039,453009,0.0,1.0
2019-07-29,78.58,79.21,75.14,77.0,76.290193972623,635170,0.0,1.0
2019-07-26,78.84,84.75,77.73,78.41,77.687196225888,1485496,0.0,1.0
2019-07-25,73.7,73.7,72.14,72.35,71.6830588820685,708897,0.0,1.0
2019-07-24,73.41,73.86,72.42,73.5,72.8224578829584,1003137,0.0,1.0
2019-07-23,75.07,75.24,73.55,73.58,72.9017204221507,410500,0.0,1.0
2019-07-22,75.85,76.39,74.67,74.73,74.0411194230405,369496,0.0,1.0
2019-07-19,76.24,77.33,75.94,75.96,75.2597809631227,465911,0.0,1.0
2019-07-18,75.51,76.22,75.26,75.98,75.2795965979208,219851,0.0,1.0
2019-07-17,75.27,76.56,74.76,75.76,75.0616246151419,408338,0.0,1.0
2019-07-16,76.86,76.86,75.0,75.28,74.5860493799878,365854,0.0,1.0
2019-07-15,76.33,76.63,75.85,76.54,75.8344343722671,229812,0.0,1.0
2019-07-12,75.54,76.23,75.395,76.18,75.4777529459016,273047,0.0,1.0
2019-07-11,74.89,75.47,74.54,75.41,74.7148510061754,187619,0.0,1.0
2019-07-10,75.22,76.35,74.82,74.83,74.1401975970309,266612,0.0,1.0
2019-07-09,74.38,74.97,73.8,74.85,74.160013231829,255452,0.0,1.0
2019-07-08,74.98,75.16,74.32,74.6,73.912317796853,352800,0.0,1.0
2019-07-05,74.54,75.42,74.16,75.35,74.6554041017811,293762,0.0,1.0
2019-07-03,73.95,74.94,73.36,74.78,74.0906585100357,573964,0.0,1.0
2019-07-02,73.64,74.29,73.3,73.66,72.980982961343,365565,0.0,1.0
2019-07-01,74.78,75.475,73.48,73.81,73.1296002223287,352009,0.0,1.0
2019-06-28,73.46,74.33,73.07,73.68,73.0007985961411,1113080,0.0,1.0
2019-06-27,72.38,73.39,72.29,73.03,72.3567904652034,463261,0.0,1.0
2019-06-26,70.49,72.42,70.49,72.26,71.5938885254772,760948,0.0,1.0
2019-06-25,71.01,71.89,69.68,70.11,69.4637077846831,362242,0.0,1.0
2019-06-24,71.41,71.41,70.78,71.02,70.3653191679959,449343,0.0,1.0
2019-06-21,72.25,72.99,71.02,71.21,70.5535676985778,1002508,0.0,1.0
2019-06-20,72.28,72.895,71.9,72.57,71.9010308648475,529068,0.0,1.0
2019-06-19,71.24,71.87,70.94,71.45,70.7913553161548,462200,0.0,1.0
2019-06-18,70.87,72.85,70.81,71.01,70.3554113505969,560190,0.0,1.0
2019-06-17,69.12,71.47,69.12,69.92,69.2754592541013,714197,0.0,1.0
2019-06-14,69.77,70.08,68.0,68.91,68.2747696967981,631980,0.0,1.0
2019-06-13,70.93,70.93,69.805,69.95,69.3051827062985,372496,0.0,1.0
2019-06-12,70.65,71.42,69.82,70.8,70.147347185217,460173,0.0,1.0
2019-06-11,73.03,73.12,70.68,70.78,70.127531550419,387276,0.0,1.0
2019-06-10,72.63,73.58,72.07,72.14,71.4749947166887,304746,0.0,1.0
2019-06-07,71.93,72.91,71.7108,72.05,71.3858243600973,334850,0.0,1.0
2019-06-06,71.99,72.26,71.29,71.53,70.8706178553471,296594,0.0,1.0
2019-06-05,72.82,73.5,71.31,72.18,71.5146259862848,336660,0.0,1.0
2019-06-04,70.33,72.43,69.75,72.34,71.6731510646695,423465,0.0,1.0
2019-06-03,72.12,72.25,69.18,69.64,68.9980403669282,705371,0.0,1.0
2019-05-31,72.09,72.73,71.615,71.83,71.1678523773184,627315,0.0,1.0
2019-05-30,73.62,74.06,72.21,72.82,72.1487262998235,399564,0.0,1.0
2019-05-29,73.31,73.83,72.91,73.54,72.8620891525545,479028,0.0,1.0
2019-05-28,74.44,74.695,73.625,73.81,73.1296002223287,334275,0.0,1.0
2019-05-24,74.97,75.9,74.165,74.24,73.5556363704875,329736,0.0,1.0
2019-05-23,74.92,76.43,74.44,74.76,74.0708428752377,549851,0.0,1.0
2019-05-22,75.0,75.95,74.73,75.66,74.9625464411514,548536,0.0,1.0
2019-05-21,76.12,76.74,75.16,75.25,74.5563259277907,687092,0.0,1.0
2019-05-20,76.51,76.955,75.23,75.35,74.6554041017811,612166,0.0,1.0
2019-05-17,78.57,78.57,77.2,77.21,76.4982581380029,491086,0.0,1.0
2019-05-16,78.71,79.71,78.47,78.92,78.1924949132391,424343,0.0,1.0
2019-05-15,76.75,78.6,76.73,78.27,77.5484867823014,473901,0.0,1.0
2019-05-14,77.06,77.88,76.68,77.33,76.6171519467914,465058,0.0,1.0
2019-05-13,78.35,80.47,76.23,76.83,76.1217610768393,552083,0.0,1.0
2019-05-10,80.09,80.17,78.34,79.72,78.9851203051625,636410,0.0,1.0
2019-05-09,79.29,80.5755,78.81,80.28,79.5399580795088,485560,0.0,1.0
2019-05-08,80.16,80.81,79.545,80.26,79.5201424447107,504587,0.0,1.0
2019-05-07,81.33,82.16,79.72,80.45,79.7083909752925,503712,0.325,1.0
2019-05-06,80.84,83.195,80.84,82.74,81.6474437548215,922491,0.0,1.0
2019-05-03,81.41,82.4,81.24,82.19,81.1047063356149,538594,0.0,1.0
2019-05-02,80.68,81.58,80.045,81.29,80.2165905587314,444021,0.0,1.0
2019-05-01,82.45,82.45,80.02,81.03,79.9600237787428,563688,0.0,1.0
2019-04-30,82.56,83.21,81.855,82.4,81.311933350221,510768,0.0,1.0
2019-04-29,81.3,83.18,81.27,82.68,81.5882360363626,714642,0.0,1.0
2019-04-26,84.7,84.8287,79.13,80.99,79.9205519664369,1577963,0.0,1.0
2019-04-25,84.21,84.73,82.95,84.29,83.1769764816763,823931,0.0,1.0
2019-04-24,84.12,84.81,83.73,84.2,83.088164903988,1254393,0.0,1.0
2019-04-23,83.01,83.98,83.01,83.63,82.5256915786284,1375412,0.0,1.0
2019-04-22,82.01,83.7,82.01,83.0,81.90401053481,1191845,0.0,1.0
2019-04-18,81.65,82.19,81.0,82.04,80.9566870394676,1125118,0.0,1.0
2019-04-17,82.23,82.66,80.91,81.22,80.147514887196,358247,0.0,1.0
