,POL_Open,POL_High,POL_Low,POL_Close,POL_Adj Close,POL_Volume,POL_Dividend Amount,POL_Split Coefficient
2022-08-31,0.7341,0.735318,0.6761,0.7021,0.7021,993369,0.0,1.0
2022-08-30,0.7431,0.75,0.71,0.7192,0.7192,580693,0.0,1.0
2022-08-29,0.74,0.765,0.7102,0.7205,0.7205,892753,0.0,1.0
2022-08-26,0.81,0.81,0.7316,0.74,0.74,1093408,0.0,1.0
2022-08-25,0.76,0.82,0.7512,0.8036,0.8036,1448029,0.0,1.0
2022-08-24,0.78,0.79,0.7612,0.765,0.765,1863693,0.0,1.0
2022-08-23,0.75,0.8085,0.75,0.7869,0.7869,952910,0.0,1.0
2022-08-22,0.805,0.81,0.76,0.77,0.77,1435944,0.0,1.0
2022-08-19,0.8,0.85,0.8,0.8175,0.8175,1405239,0.0,1.0
2022-08-18,0.85,0.8599,0.8,0.8381,0.8381,3491590,0.0,1.0
2022-08-17,0.959,0.959,0.79,0.79,0.79,9651187,0.0,1.0
2022-08-16,1.1,1.16,0.97,0.97,0.97,11316300,0.0,1.0
2022-08-15,1.51,1.54,1.47,1.51,1.51,1004938,0.0,1.0
2022-08-12,1.52,1.565,1.485,1.56,1.56,299892,0.0,1.0
2022-08-11,1.35,1.55,1.35,1.51,1.51,1477034,0.0,1.0
2022-08-10,1.32,1.37,1.29,1.35,1.35,342194,0.0,1.0
2022-08-09,1.44,1.44,1.27,1.28,1.28,904794,0.0,1.0
2022-08-08,1.32,1.45,1.29,1.42,1.42,1044838,0.0,1.0
2022-08-05,1.35,1.35,1.28,1.32,1.32,405770,0.0,1.0
2022-08-04,1.26,1.34,1.26,1.32,1.32,680329,0.0,1.0
2022-08-03,1.21,1.3,1.2,1.26,1.26,749086,0.0,1.0
2022-08-02,1.17,1.24,1.11,1.21,1.21,587940,0.0,1.0
2022-08-01,1.2,1.21,1.1598,1.18,1.18,361887,0.0,1.0
2022-07-29,1.14,1.21,1.119,1.18,1.18,1551804,0.0,1.0
2022-07-28,1.12,1.15,1.1,1.13,1.13,442156,0.0,1.0
2022-07-27,1.1,1.15,1.0954,1.12,1.12,367097,0.0,1.0
2022-07-26,1.15,1.16,1.05,1.09,1.09,1302168,0.0,1.0
2022-07-25,1.21,1.21,1.15,1.15,1.15,680111,0.0,1.0
