,MCF_Open,MCF_High,MCF_Low,MCF_Close,MCF_Adj Close,MCF_Volume,MCF_Dividend Amount,MCF_Split Coefficient
2021-10-28,4.2,4.27,4.15,4.23,4.23,648062,0.0,1.0
2021-10-27,4.36,4.41,4.13,4.19,4.19,1144407,0.0,1.0
2021-10-26,4.52,4.58,4.43,4.44,4.44,748288,0.0,1.0
2021-10-25,4.42,4.6363,4.42,4.49,4.49,1039557,0.0,1.0
2021-10-22,4.42,4.45,4.32,4.42,4.42,544022,0.0,1.0
2021-10-21,4.53,4.58,4.37,4.4,4.4,712351,0.0,1.0
2021-10-20,4.44,4.6,4.36,4.56,4.56,725207,0.0,1.0
2021-10-19,4.45,4.57,4.36,4.48,4.48,655564,0.0,1.0
2021-10-18,4.53,4.62,4.385,4.45,4.45,683038,0.0,1.0
2021-10-15,4.63,4.7,4.43,4.45,4.45,1332910,0.0,1.0
2021-10-14,4.53,4.59,4.395,4.49,4.49,692312,0.0,1.0
2021-10-13,4.44,4.52,4.25,4.49,4.49,793808,0.0,1.0
2021-10-12,4.54,4.63,4.47,4.54,4.54,759139,0.0,1.0
2021-10-11,4.67,4.76,4.55,4.56,4.56,850015,0.0,1.0
2021-10-08,4.56,4.76,4.49,4.52,4.52,1102336,0.0,1.0
2021-10-07,4.45,4.54,4.37,4.54,4.54,1016537,0.0,1.0
2021-10-06,4.6,4.7,4.4,4.42,4.42,929910,0.0,1.0
2021-10-05,4.74,4.78,4.55,4.71,4.71,1380969,0.0,1.0
2021-10-04,4.69,4.76,4.59,4.64,4.64,1198002,0.0,1.0
2021-10-01,4.63,4.68,4.555,4.6,4.6,926437,0.0,1.0
2021-09-30,4.62,4.66,4.5,4.57,4.57,852838,0.0,1.0
2021-09-29,4.62,4.66,4.42,4.65,4.65,1020566,0.0,1.0
2021-09-28,4.71,4.8407,4.48,4.66,4.66,1743387,0.0,1.0
2021-09-27,4.16,4.78,4.16,4.75,4.75,3250995,0.0,1.0
2021-09-24,4.0,4.175,3.96,4.1,4.1,1131056,0.0,1.0
2021-09-23,4.06,4.155,3.98,4.09,4.09,902826,0.0,1.0
2021-09-22,3.9,4.08,3.8633,4.02,4.02,1173896,0.0,1.0
2021-09-21,3.81,3.845,3.71,3.84,3.84,671269,0.0,1.0
2021-09-20,3.71,3.745,3.6,3.71,3.71,1034423,0.0,1.0
2021-09-17,3.89,3.91,3.77,3.91,3.91,3018223,0.0,1.0
2021-09-16,3.93,3.93,3.82,3.87,3.87,723618,0.0,1.0
2021-09-15,3.82,3.96,3.79,3.94,3.94,1237567,0.0,1.0
2021-09-14,3.88,3.9,3.68,3.71,3.71,1325439,0.0,1.0
2021-09-13,3.69,3.93,3.67,3.84,3.84,1039376,0.0,1.0
2021-09-10,3.75,3.76,3.6,3.6,3.6,766415,0.0,1.0
2021-09-09,3.6,3.73,3.56,3.66,3.66,503839,0.0,1.0
2021-09-08,3.69,3.74,3.59,3.64,3.64,601706,0.0,1.0
2021-09-07,3.67,3.76,3.63,3.68,3.68,496192,0.0,1.0
2021-09-03,3.74,3.7982,3.61,3.69,3.69,524959,0.0,1.0
2021-09-02,3.7,3.9,3.68,3.76,3.76,1522502,0.0,1.0
2021-09-01,3.64,3.69,3.515,3.6,3.6,660361,0.0,1.0
2021-08-31,3.56,3.71,3.56,3.63,3.63,809506,0.0,1.0
2021-08-30,3.7,3.72,3.56,3.6,3.6,713363,0.0,1.0
2021-08-27,3.52,3.71,3.52,3.66,3.66,1044764,0.0,1.0
2021-08-26,3.56,3.56,3.42,3.48,3.48,631530,0.0,1.0
2021-08-25,3.46,3.7,3.4,3.56,3.56,703741,0.0,1.0
2021-08-24,3.41,3.49,3.38,3.49,3.49,674049,0.0,1.0
2021-08-23,3.27,3.385,3.24,3.36,3.36,1270428,0.0,1.0
2021-08-20,3.05,3.18,3.04,3.17,3.17,524105,0.0,1.0
2021-08-19,3.23,3.23,3.06,3.1,3.1,1513946,0.0,1.0
2021-08-18,3.36,3.43,3.22,3.23,3.23,739985,0.0,1.0
2021-08-17,3.28,3.4575,3.27,3.36,3.36,660818,0.0,1.0
2021-08-16,3.41,3.4738,3.29,3.3,3.3,730119,0.0,1.0
2021-08-13,3.56,3.63,3.42,3.44,3.44,816030,0.0,1.0
2021-08-12,3.48,3.74,3.42,3.59,3.59,1521941,0.0,1.0
2021-08-11,3.59,3.63,3.42,3.59,3.59,918244,0.0,1.0
2021-08-10,3.47,3.61,3.46,3.6,3.6,649693,0.0,1.0
2021-08-09,3.42,3.505,3.3832,3.44,3.44,770320,0.0,1.0
2021-08-06,3.6,3.61,3.46,3.52,3.52,850852,0.0,1.0
2021-08-05,3.41,3.66,3.41,3.53,3.53,530328,0.0,1.0
2021-08-04,3.56,3.6,3.355,3.39,3.39,1417788,0.0,1.0
2021-08-03,3.63,3.73,3.55,3.63,3.63,744401,0.0,1.0
2021-08-02,3.83,3.89,3.64,3.64,3.64,1063138,0.0,1.0
2021-07-30,3.93,3.97,3.77,3.82,3.82,949141,0.0,1.0
2021-07-29,4.07,4.11,3.93,3.96,3.96,791444,0.0,1.0
2021-07-28,3.92,4.11,3.84,4.05,4.05,765714,0.0,1.0
2021-07-27,3.89,4.0,3.8,3.88,3.88,1294013,0.0,1.0
2021-07-26,3.77,3.95,3.77,3.94,3.94,685946,0.0,1.0
2021-07-23,3.83,3.83,3.68,3.79,3.79,794255,0.0,1.0
2021-07-22,3.94,3.945,3.72,3.8,3.8,766708,0.0,1.0
2021-07-21,3.72,3.945,3.695,3.93,3.93,942148,0.0,1.0
2021-07-20,3.65,3.67,3.48,3.62,3.62,1568295,0.0,1.0
2021-07-19,3.6,3.7,3.45,3.62,3.62,2423884,0.0,1.0
2021-07-16,3.88,3.9228,3.66,3.75,3.75,1292274,0.0,1.0
2021-07-15,3.91,4.06,3.81,3.84,3.84,1355258,0.0,1.0
2021-07-14,4.3,4.35,3.86,3.9,3.9,1830493,0.0,1.0
2021-07-13,4.29,4.335,4.17,4.32,4.32,633716,0.0,1.0
2021-07-12,4.31,4.405,4.23,4.33,4.33,541490,0.0,1.0
2021-07-09,4.24,4.39,4.105,4.34,4.34,926060,0.0,1.0
2021-07-08,4.05,4.22,3.965,4.15,4.15,1633745,0.0,1.0
2021-07-07,4.19,4.2173,4.02,4.1,4.1,1315022,0.0,1.0
2021-07-06,4.3,4.37,4.11,4.21,4.21,1280395,0.0,1.0
2021-07-02,4.45,4.5,4.33,4.33,4.33,1333452,0.0,1.0
2021-07-01,4.46,4.48,4.33,4.46,4.46,1467252,0.0,1.0
2021-06-30,4.27,4.405,4.2,4.32,4.32,1473460,0.0,1.0
2021-06-29,4.41,4.47,4.23,4.24,4.24,803310,0.0,1.0
2021-06-28,4.6,4.65,4.352,4.38,4.38,1545703,0.0,1.0
2021-06-25,4.73,4.885,4.54,4.57,4.57,7440460,0.0,1.0
2021-06-24,4.64,4.735,4.55,4.69,4.69,1088675,0.0,1.0
2021-06-23,4.58,4.76,4.57,4.66,4.66,1619972,0.0,1.0
2021-06-22,4.75,4.7665,4.44,4.55,4.55,1528427,0.0,1.0
2021-06-21,4.46,4.79,4.425,4.78,4.78,1604752,0.0,1.0
2021-06-18,4.43,4.61,4.35,4.46,4.46,4325256,0.0,1.0
2021-06-17,4.65,4.84,4.5,4.55,4.55,1522465,0.0,1.0
2021-06-16,4.66,4.74,4.58,4.66,4.66,1080272,0.0,1.0
2021-06-15,4.63,4.75,4.49,4.7,4.7,1277507,0.0,1.0
2021-06-14,4.57,4.775,4.53,4.54,4.54,1428062,0.0,1.0
2021-06-11,4.52,4.83,4.47,4.53,4.53,1866531,0.0,1.0
2021-06-10,4.66,4.719,4.46,4.46,4.46,1772397,0.0,1.0
2021-06-09,5.1,5.15,4.57,4.6,4.6,4735743,0.0,1.0
2021-06-08,6.9,6.94,5.02,5.08,5.08,7277223,0.0,1.0
2021-06-07,5.46,5.74,5.4,5.62,5.62,1371333,0.0,1.0
2021-06-04,5.62,5.67,5.27,5.39,5.39,1665574,0.0,1.0
2021-06-03,5.24,5.64,5.2,5.54,5.54,2588814,0.0,1.0
2021-06-02,5.09,5.29,5.04,5.18,5.18,2045678,0.0,1.0
2021-06-01,4.44,5.05,4.44,5.0,5.0,2337256,0.0,1.0
2021-05-28,4.48,4.54,4.33,4.36,4.36,980827,0.0,1.0
2021-05-27,4.32,4.589,4.3185,4.49,4.49,1738610,0.0,1.0
2021-05-26,4.23,4.35,4.1,4.28,4.28,671873,0.0,1.0
2021-05-25,4.34,4.45,4.17,4.19,4.19,1581028,0.0,1.0
2021-05-24,3.88,4.45,3.85,4.33,4.33,3269899,0.0,1.0
2021-05-21,4.02,4.09,3.76,3.79,3.79,904912,0.0,1.0
2021-05-20,4.0,4.04,3.88,3.99,3.99,564739,0.0,1.0
2021-05-19,3.9,4.03,3.85,3.97,3.97,496482,0.0,1.0
2021-05-18,4.15,4.3,4.05,4.05,4.05,636159,0.0,1.0
2021-05-17,4.04,4.236,4.03,4.21,4.21,666472,0.0,1.0
2021-05-14,3.93,4.125,3.85,4.09,4.09,804231,0.0,1.0
2021-05-13,3.95,4.14,3.735,3.85,3.85,935908,0.0,1.0
2021-05-12,4.02,4.26,3.87,3.9,3.9,1208956,0.0,1.0
2021-05-11,3.85,4.03,3.72,4.0,4.0,683657,0.0,1.0
2021-05-10,4.15,4.37,3.9,3.91,3.91,985702,0.0,1.0
2021-05-07,4.01,4.215,3.8601,4.11,4.11,744043,0.0,1.0
2021-05-06,4.02,4.03,3.85,3.99,3.99,441683,0.0,1.0
2021-05-05,4.07,4.17,3.95,4.03,4.03,425026,0.0,1.0
2021-05-04,3.99,4.0958,3.81,4.0,4.0,872810,0.0,1.0
2021-05-03,3.73,3.91,3.71,3.85,3.85,638487,0.0,1.0
2021-04-30,4.0,4.08,3.7,3.74,3.74,900750,0.0,1.0
2021-04-29,3.95,4.13,3.9,4.1,4.1,1055010,0.0,1.0
2021-04-28,3.85,4.02,3.84,3.89,3.89,575699,0.0,1.0
2021-04-27,3.77,3.92,3.75,3.84,3.84,471229,0.0,1.0
2021-04-26,3.68,3.89,3.68,3.84,3.84,332041,0.0,1.0
2021-04-23,3.6,3.72,3.58,3.72,3.72,391128,0.0,1.0
2021-04-22,3.51,3.68,3.46,3.6,3.6,561870,0.0,1.0
2021-04-21,3.5,3.58,3.45,3.5,3.5,657216,0.0,1.0
2021-04-20,3.73,3.73,3.37,3.56,3.56,945151,0.0,1.0
2021-04-19,3.58,3.83,3.56,3.73,3.73,923946,0.0,1.0
2021-04-16,3.65,3.6876,3.59,3.6,3.6,580866,0.0,1.0
2021-04-15,3.73,3.73,3.45,3.58,3.58,823875,0.0,1.0
2021-04-14,3.69,3.82,3.66,3.69,3.69,658655,0.0,1.0
2021-04-13,3.56,3.72,3.51,3.63,3.63,433204,0.0,1.0
2021-04-12,3.67,3.7359,3.53,3.56,3.56,417682,0.0,1.0
2021-04-09,3.77,3.79,3.59,3.66,3.66,448131,0.0,1.0
2021-04-08,3.67,3.78,3.55,3.77,3.77,453639,0.0,1.0
2021-04-07,3.9,3.9,3.675,3.71,3.71,443016,0.0,1.0
2021-04-06,3.81,3.93,3.8,3.86,3.86,401918,0.0,1.0
2021-04-05,4.15,4.155,3.69,3.72,3.72,953630,0.0,1.0
2021-04-01,3.95,4.13,3.95,4.1,4.1,663882,0.0,1.0
2021-03-31,3.87,3.98,3.84,3.9,3.9,608460,0.0,1.0
2021-03-30,3.86,3.9,3.72,3.89,3.89,756741,0.0,1.0
2021-03-29,4.31,4.34,3.83,3.84,3.84,1273549,0.0,1.0
2021-03-26,4.25,4.32,4.13,4.31,4.31,604048,0.0,1.0
2021-03-25,4.15,4.24,3.94,4.21,4.21,914685,0.0,1.0
2021-03-24,4.29,4.5,4.2,4.21,4.21,715507,0.0,1.0
2021-03-23,4.25,4.41,4.05,4.24,4.24,1230912,0.0,1.0
2021-03-22,4.61,4.62,4.28,4.31,4.31,846758,0.0,1.0
2021-03-19,4.21,4.73,4.01,4.64,4.64,2341172,0.0,1.0
2021-03-18,4.48,4.53,3.86,4.15,4.15,1389314,0.0,1.0
2021-03-17,4.3,4.6197,4.15,4.58,4.58,1462119,0.0,1.0
2021-03-16,4.46,4.475,4.25,4.3,4.3,856985,0.0,1.0
2021-03-15,4.77,4.8,4.44,4.54,4.54,1026675,0.0,1.0
2021-03-12,4.72,4.8897,4.65,4.76,4.76,673256,0.0,1.0
2021-03-11,4.91,5.01,4.6301,4.8,4.8,1115921,0.0,1.0
2021-03-10,3.95,4.97,3.75,4.89,4.89,2854492,0.0,1.0
2021-03-09,4.98,5.02,4.79,4.89,4.89,1047378,0.0,1.0
2021-03-08,5.45,5.45,4.71,4.97,4.97,1743085,0.0,1.0
2021-03-05,5.41,5.56,4.82,5.24,5.24,2159652,0.0,1.0
2021-03-04,5.01,5.31,4.9,5.15,5.15,1793314,0.0,1.0
2021-03-03,4.83,5.23,4.83,4.93,4.93,1063071,0.0,1.0
2021-03-02,5.07,5.17,4.8,4.8,4.8,980295,0.0,1.0
2021-03-01,4.94,5.17,4.85,5.06,5.06,659819,0.0,1.0
2021-02-26,4.93,5.08,4.71,4.87,4.87,825635,0.0,1.0
2021-02-25,5.18,5.33,4.94,4.96,4.96,836764,0.0,1.0
2021-02-24,4.81,5.31,4.8,5.19,5.19,1595439,0.0,1.0
2021-02-23,4.76,4.9867,4.42,4.74,4.74,1359055,0.0,1.0
2021-02-22,5.0,5.42,4.83,4.83,4.83,2285451,0.0,1.0
2021-02-19,4.95,5.07,4.67,4.95,4.95,965713,0.0,1.0
2021-02-18,4.72,5.14,4.7,5.01,5.01,1143893,0.0,1.0
2021-02-17,5.0,5.16,4.8,5.15,5.15,1590978,0.0,1.0
2021-02-16,5.19,5.4,4.87,5.07,5.07,3273427,0.0,1.0
2021-02-12,3.96,4.77,3.75,4.52,4.52,1927825,0.0,1.0
2021-02-11,4.16,4.23,3.7,3.96,3.96,1887599,0.0,1.0
2021-02-10,3.94,4.45,3.8,4.06,4.06,4322829,0.0,1.0
2021-02-09,3.39,3.63,3.21,3.57,3.57,1793382,0.0,1.0
2021-02-08,3.14,3.43,3.13,3.37,3.37,1272610,0.0,1.0
2021-02-05,2.95,3.1,2.89,3.07,3.07,778162,0.0,1.0
2021-02-04,2.85,2.95,2.78,2.93,2.93,760658,0.0,1.0
2021-02-03,2.65,2.915,2.638,2.83,2.83,711140,0.0,1.0
2021-02-02,2.58,2.65,2.555,2.64,2.64,878606,0.0,1.0
2021-02-01,2.44,2.62,2.39,2.51,2.51,864185,0.0,1.0
2021-01-29,2.48,2.54,2.37,2.39,2.39,741127,0.0,1.0
2021-01-28,2.58,2.6101,2.41,2.48,2.48,966740,0.0,1.0
2021-01-27,2.49,2.65,2.35,2.47,2.47,1314407,0.0,1.0
2021-01-26,2.7,2.8,2.59,2.59,2.59,1040399,0.0,1.0
2021-01-25,2.83,2.83,2.59,2.71,2.71,1180785,0.0,1.0
2021-01-22,2.85,2.85,2.57,2.76,2.76,1932140,0.0,1.0
2021-01-21,3.15,3.18,2.77,2.85,2.85,1864818,0.0,1.0
2021-01-20,3.35,3.41,2.97,3.13,3.13,4997625,0.0,1.0
2021-01-19,3.14,3.33,2.92,3.3,3.3,1391009,0.0,1.0
2021-01-15,2.84,3.26,2.82,3.04,3.04,1682275,0.0,1.0
2021-01-14,2.79,2.96,2.78,2.91,2.91,961685,0.0,1.0
2021-01-13,3.12,3.12,2.78,2.8,2.8,849700,0.0,1.0
2021-01-12,2.6,3.04,2.58,2.87,2.87,1582485,0.0,1.0
2021-01-11,2.5,2.58,2.46,2.58,2.58,538314,0.0,1.0
2021-01-08,2.47,2.58,2.41,2.54,2.54,673704,0.0,1.0
2021-01-07,2.58,2.6371,2.43,2.46,2.46,903142,0.0,1.0
2021-01-06,2.56,2.65,2.4,2.54,2.54,1309548,0.0,1.0
2021-01-05,2.39,2.63,2.39,2.49,2.49,1756441,0.0,1.0
2021-01-04,2.34,2.43,2.26,2.38,2.38,725389,0.0,1.0
2020-12-31,2.44,2.45,2.29,2.29,2.29,564606,0.0,1.0
2020-12-30,2.3,2.52,2.2827,2.47,2.47,1047119,0.0,1.0
2020-12-29,2.41,2.41,2.25,2.29,2.29,991693,0.0,1.0
2020-12-28,2.62,2.62,2.36,2.43,2.43,1170900,0.0,1.0
2020-12-24,2.49,2.61,2.44,2.6,2.6,516860,0.0,1.0
2020-12-23,2.39,2.61,2.39,2.5,2.5,2061878,0.0,1.0
2020-12-22,2.35,2.4,2.18,2.35,2.35,1221112,0.0,1.0
2020-12-21,2.11,2.34,2.05,2.34,2.34,1498676,0.0,1.0
2020-12-18,2.12,2.27,2.08,2.27,2.27,4368442,0.0,1.0
2020-12-17,2.12,2.23,2.02,2.14,2.14,1688602,0.0,1.0
2020-12-16,2.3,2.54,2.05,2.1,2.1,3296730,0.0,1.0
2020-12-15,2.04,2.54,1.96,2.5,2.5,8144447,0.0,1.0
2020-12-14,1.82,1.89,1.74,1.85,1.85,1509719,0.0,1.0
2020-12-11,1.69,1.79,1.63,1.79,1.79,855714,0.0,1.0
2020-12-10,1.62,1.76,1.6,1.67,1.67,1580825,0.0,1.0
2020-12-09,1.73,1.77,1.59,1.62,1.62,1651323,0.0,1.0
2020-12-08,1.6,1.74,1.58,1.72,1.72,1235498,0.0,1.0
2020-12-07,1.67,1.69,1.58,1.61,1.61,997293,0.0,1.0
2020-12-04,1.68,1.765,1.64,1.67,1.67,1321372,0.0,1.0
2020-12-03,1.78,1.7813,1.64,1.66,1.66,1455296,0.0,1.0
2020-12-02,1.89,2.02,1.7,1.73,1.73,2118040,0.0,1.0
2020-12-01,1.74,1.87,1.71,1.87,1.87,1475028,0.0,1.0
2020-11-30,1.72,1.8,1.63,1.67,1.67,1514108,0.0,1.0
2020-11-27,1.72,1.7621,1.62,1.65,1.65,588581,0.0,1.0
2020-11-25,1.64,1.73,1.58,1.71,1.71,629649,0.0,1.0
2020-11-24,1.72,1.79,1.58,1.66,1.66,1794319,0.0,1.0
2020-11-23,1.49,1.64,1.4826,1.64,1.64,560752,0.0,1.0
2020-11-20,1.59,1.62,1.45,1.47,1.47,685296,0.0,1.0
2020-11-19,1.59,1.6318,1.53,1.62,1.62,509600,0.0,1.0
2020-11-18,1.56,1.68,1.54,1.59,1.59,910866,0.0,1.0
2020-11-17,1.55,1.57,1.45,1.55,1.55,729208,0.0,1.0
2020-11-16,1.4,1.54,1.4,1.54,1.54,943409,0.0,1.0
2020-11-13,1.34,1.38,1.31,1.35,1.35,411995,0.0,1.0
2020-11-12,1.45,1.47,1.3,1.36,1.36,816745,0.0,1.0
2020-11-11,1.45,1.5067,1.425,1.48,1.48,714619,0.0,1.0
2020-11-10,1.35,1.46,1.31,1.46,1.46,820311,0.0,1.0
2020-11-09,1.32,1.35,1.2627,1.31,1.31,1088638,0.0,1.0
2020-11-06,1.32,1.32,1.19,1.2,1.2,756294,0.0,1.0
2020-11-05,1.28,1.355,1.26,1.32,1.32,987121,0.0,1.0
2020-11-04,1.3,1.33,1.24,1.28,1.28,1015397,0.0,1.0
2020-11-03,1.33,1.3922,1.29,1.33,1.33,899942,0.0,1.0
2020-11-02,1.28,1.32,1.25,1.3,1.3,1272668,0.0,1.0
2020-10-30,1.28,1.305,1.2201,1.25,1.25,1031186,0.0,1.0
2020-10-29,1.29,1.38,1.22,1.28,1.28,1033296,0.0,1.0
2020-10-28,1.36,1.365,1.25,1.29,1.29,1698871,0.0,1.0
2020-10-27,1.5,1.53,1.34,1.34,1.34,738275,0.0,1.0
2020-10-26,1.53,1.74,1.5,1.58,1.58,1920526,0.0,1.0
2020-10-23,1.63,1.805,1.5801,1.71,1.71,873991,0.0,1.0
2020-10-22,1.39,1.59,1.36,1.57,1.57,457674,0.0,1.0
2020-10-21,1.37,1.41,1.32,1.38,1.38,275385,0.0,1.0
2020-10-20,1.34,1.38,1.29,1.36,1.36,206208,0.0,1.0
2020-10-19,1.35,1.35,1.25,1.32,1.32,161692,0.0,1.0
2020-10-16,1.33,1.3763,1.29,1.32,1.32,193961,0.0,1.0
2020-10-15,1.25,1.36,1.25,1.36,1.36,194305,0.0,1.0
2020-10-14,1.39,1.41,1.3,1.3,1.3,231115,0.0,1.0
2020-10-13,1.41,1.41,1.3,1.36,1.36,317065,0.0,1.0
2020-10-12,1.48,1.48,1.43,1.44,1.44,137786,0.0,1.0
2020-10-09,1.58,1.58,1.41,1.45,1.45,268064,0.0,1.0
2020-10-08,1.39,1.6,1.39,1.57,1.57,368706,0.0,1.0
2020-10-07,1.31,1.4,1.29,1.39,1.39,246024,0.0,1.0
2020-10-06,1.37,1.39,1.3,1.31,1.31,256310,0.0,1.0
2020-10-05,1.33,1.35,1.26,1.34,1.34,287847,0.0,1.0
2020-10-02,1.22,1.33,1.21,1.33,1.33,213077,0.0,1.0
2020-10-01,1.35,1.35,1.2,1.27,1.27,352938,0.0,1.0
2020-09-30,1.46,1.48,1.33,1.34,1.34,336414,0.0,1.0
2020-09-29,1.38,1.47,1.38,1.47,1.47,332314,0.0,1.0
2020-09-28,1.26,1.39,1.18,1.38,1.38,501822,0.0,1.0
2020-09-25,1.1,1.37,1.1,1.32,1.32,588409,0.0,1.0
2020-09-24,1.17,1.17,1.09,1.12,1.12,312628,0.0,1.0
2020-09-23,1.2,1.2,1.14,1.15,1.15,481705,0.0,1.0
2020-09-22,1.17,1.2,1.13,1.17,1.17,668248,0.0,1.0
2020-09-21,1.22,1.245,1.14,1.17,1.17,523577,0.0,1.0
2020-09-18,1.32,1.32,1.22,1.22,1.22,955094,0.0,1.0
2020-09-17,1.31,1.35,1.26,1.29,1.29,361893,0.0,1.0
2020-09-16,1.41,1.44,1.31,1.31,1.31,675751,0.0,1.0
2020-09-15,1.42,1.44,1.34,1.37,1.37,404308,0.0,1.0
2020-09-14,1.47,1.49,1.33,1.38,1.38,632857,0.0,1.0
2020-09-11,1.44,1.54,1.42,1.47,1.47,280271,0.0,1.0
2020-09-10,1.59,1.615,1.4,1.44,1.44,781219,0.0,1.0
2020-09-09,1.53,1.6,1.51,1.57,1.57,207695,0.0,1.0
2020-09-08,1.45,1.58,1.38,1.53,1.53,481334,0.0,1.0
2020-09-04,1.55,1.56,1.41,1.48,1.48,793950,0.0,1.0
2020-09-03,1.54,1.595,1.5,1.54,1.54,542052,0.0,1.0
2020-09-02,1.58,1.63,1.5,1.57,1.57,649389,0.0,1.0
2020-09-01,1.65,1.65,1.56,1.6,1.6,283943,0.0,1.0
2020-08-31,1.76,1.77,1.62,1.62,1.62,501016,0.0,1.0
2020-08-28,1.75,1.79,1.7201,1.77,1.77,295976,0.0,1.0
2020-08-27,1.77,1.8,1.665,1.74,1.74,427327,0.0,1.0
2020-08-26,1.82,1.87,1.77,1.78,1.78,355732,0.0,1.0
2020-08-25,1.94,1.94,1.78,1.8,1.8,331541,0.0,1.0
2020-08-24,1.77,1.94,1.73,1.87,1.87,253270,0.0,1.0
2020-08-21,1.83,1.87,1.7,1.72,1.72,485961,0.0,1.0
2020-08-20,1.81,1.8799,1.81,1.84,1.84,105871,0.0,1.0
2020-08-19,1.94,1.955,1.72,1.88,1.88,822227,0.0,1.0
2020-08-18,2.01,2.03,1.93,1.93,1.93,404094,0.0,1.0
2020-08-17,2.04,2.05,1.97,2.04,2.04,291955,0.0,1.0
2020-08-14,2.09,2.1085,2.01,2.05,2.05,315411,0.0,1.0
2020-08-13,2.24,2.27,2.1,2.13,2.13,242772,0.0,1.0
2020-08-12,2.25,2.27,2.145,2.21,2.21,332447,0.0,1.0
2020-08-11,2.25,2.35,2.14,2.17,2.17,358161,0.0,1.0
2020-08-10,2.14,2.29,2.0,2.2,2.2,472019,0.0,1.0
2020-08-07,1.91,2.17,1.86,2.15,2.15,374897,0.0,1.0
2020-08-06,2.03,2.04,1.935,1.95,1.95,211720,0.0,1.0
2020-08-05,2.05,2.09,1.97,2.04,2.04,269233,0.0,1.0
2020-08-04,1.86,2.035,1.84,2.0,2.0,481040,0.0,1.0
2020-08-03,1.8,1.8983,1.75,1.85,1.85,433253,0.0,1.0
2020-07-31,1.81,1.8399,1.76,1.78,1.78,291702,0.0,1.0
2020-07-30,1.83,1.87,1.7731,1.82,1.82,274161,0.0,1.0
2020-07-29,1.89,1.93,1.8,1.87,1.87,457869,0.0,1.0
2020-07-28,1.96,1.9981,1.86,1.86,1.86,358766,0.0,1.0
2020-07-27,2.02,2.02,1.91,1.97,1.97,335897,0.0,1.0
2020-07-24,2.06,2.1,2.0,2.02,2.02,180416,0.0,1.0
2020-07-23,2.03,2.1,1.99,2.04,2.04,570284,0.0,1.0
2020-07-22,2.07,2.12,2.02,2.04,2.04,362843,0.0,1.0
2020-07-21,1.99,2.19,1.99,2.12,2.12,559237,0.0,1.0
2020-07-20,2.07,2.14,1.95,1.97,1.97,377473,0.0,1.0
2020-07-17,2.25,2.34,2.06,2.06,2.06,412100,0.0,1.0
2020-07-16,2.26,2.33,2.13,2.31,2.31,343500,0.0,1.0
2020-07-15,2.18,2.28,2.11,2.27,2.27,863400,0.0,1.0
2020-07-14,1.92,2.14,1.91,2.12,2.12,467900,0.0,1.0
2020-07-13,2.09,2.1,1.9,1.9,1.9,561600,0.0,1.0
2020-07-10,2.01,2.08,2.0,2.06,2.06,445700,0.0,1.0
2020-07-09,2.24,2.29,2.01,2.03,2.03,922300,0.0,1.0
2020-07-08,2.27,2.35,2.16,2.22,2.22,476200,0.0,1.0
2020-07-07,2.34,2.38,2.23,2.29,2.29,398600,0.0,1.0
