,META_Open,META_High,META_Low,META_Close,META_Adj Close,META_Volume,META_Dividend Amount,META_Split Coefficient
2018-05-01,172.0,174.02,170.23,173.86,173.339869112009,26025932,0.0,1.0
2018-04-30,173.79,175.72,171.71,172.0,171.485433609027,20750478,0.0,1.0
2018-04-27,176.81,177.1,172.6,173.59,173.070676861576,29804657,0.0,1.0
2018-04-26,173.22,176.27,170.8,174.16,173.63897161249,77556934,0.0,1.0
2018-04-25,160.14,161.06,156.19,159.69,159.212261005963,41083581,0.0,1.0
2018-04-24,165.43,166.1,158.19,159.69,159.212261005963,35079926,0.0,1.0
2018-04-23,167.27,168.45,165.09,165.84,165.34386226582,23088102,0.0,1.0
2018-04-20,167.79,168.43,165.81,166.28,165.782545933192,19119438,0.0,1.0
2018-04-19,166.2,168.33,165.2,168.1,167.597101102776,22234961,0.0,1.0
2018-04-18,166.88,168.12,165.77,166.36,165.862306599987,20969568,0.0,1.0
2018-04-17,165.83,169.0,165.66,168.66,168.15542577034,22743029,0.0,1.0
2018-04-16,165.72,165.78,163.39,164.83,164.336883847535,18119435,0.0,1.0
2018-04-13,164.58,165.7,163.77,164.52,164.027811263705,19990561,0.0,1.0
2018-04-12,166.98,167.45,163.1,163.87,163.379755845996,38262956,0.0,1.0
2018-04-11,165.36,168.65,163.25,166.32,165.82242626659,56144633,0.0,1.0
2018-04-10,157.93,165.98,157.01,165.04,164.546255597871,58947041,0.0,1.0
2018-04-09,157.82,160.53,156.04,157.93,157.457526336475,34915227,0.0,1.0
2018-04-06,157.73,161.42,156.81,157.2,156.729710251972,41644812,0.0,1.0
2018-04-05,161.56,161.57,156.65,159.34,158.863308088735,41449609,0.0,1.0
2018-04-04,152.03,155.56,150.51,155.1,154.635992748605,49885584,0.0,1.0
2018-04-03,156.55,157.39,150.81,156.11,155.642971166891,42543865,0.0,1.0
2018-04-02,157.81,159.2,154.11,155.39,154.925125165737,36795991,0.0,1.0
2018-03-29,155.15,161.42,154.14,159.79,159.311961839456,59434293,0.0,1.0
2018-03-28,151.65,155.88,150.8,153.03,152.572185495288,60029170,0.0,1.0
2018-03-27,156.31,162.85,150.75,152.22,151.764608743989,76787884,0.0,1.0
2018-03-26,160.82,161.1,149.02,160.06,159.581154089889,125438294,0.0,1.0
2018-03-23,165.44,166.6,159.02,159.39,158.913158505482,52306891,0.0,1.0
2018-03-22,166.13,170.27,163.72,164.89,164.396704347631,73389988,0.0,1.0
2018-03-21,164.8,173.4,163.3,169.39,168.883241854844,105350867,0.0,1.0
2018-03-20,167.47,170.2,161.95,168.15,167.646951519523,128925534,0.0,1.0
2018-03-19,177.01,177.17,170.06,172.56,172.043758276592,86897749,0.0,1.0
2018-03-16,184.49,185.33,183.41,185.09,184.536272713342,23090480,0.0,1.0
2018-03-15,183.24,184.0,182.19,183.86,183.309952461371,15461869,0.0,1.0
2018-03-14,182.6,184.25,181.85,184.19,183.6389652119,16426843,0.0,1.0
2018-03-13,185.61,185.99,181.11,181.88,181.335875958197,17742312,0.0,1.0
2018-03-12,185.23,186.1,184.22,184.76,184.207259962813,14873538,0.0,1.0
2018-03-09,183.91,185.51,183.21,185.23,184.675853880233,17952177,0.0,1.0
2018-03-08,183.56,184.4,181.45,182.34,181.794499792268,15336555,0.0,1.0
2018-03-07,178.74,183.82,178.07,183.71,183.16040121113,19097293,0.0,1.0
2018-03-06,181.78,182.38,179.11,179.78,179.242158454831,15086784,0.0,1.0
2018-03-05,176.2,181.15,175.89,180.4,179.860303622492,16189280,0.0,1.0
2018-03-02,173.29,177.11,172.99,176.62,176.091612116433,20025905,0.0,1.0
2018-03-01,179.01,180.12,174.41,175.94,175.413646448676,23201626,0.0,1.0
2018-02-28,182.3,182.88,178.14,178.32,177.786526285824,18208084,0.0,1.0
2018-02-27,184.45,184.7,181.46,181.46,180.917132457524,15649326,0.0,1.0
2018-02-26,184.58,185.66,183.22,184.93,184.376751379753,17418814,0.0,1.0
2018-02-23,179.9,183.39,179.51,183.29,182.741657710457,18621950,0.0,1.0
2018-02-22,178.7,180.21,177.41,178.99,178.454521870231,17085490,0.0,1.0
2018-02-21,176.71,181.27,176.4,177.91,177.3777528685,22844006,0.0,1.0
2018-02-20,175.77,177.95,175.11,176.01,175.483437032122,20887317,0.0,1.0
2018-02-16,178.99,179.88,176.3,177.36,176.829398284285,20475445,0.0,1.0
2018-02-15,180.5,180.5,176.84,179.96,179.42161995512,20554092,0.0,1.0
2018-02-14,173.45,179.81,173.21,179.52,178.982936287748,27963758,0.0,1.0
2018-02-13,175.62,175.97,173.1,173.15,172.631993194204,20880702,0.0,1.0
2018-02-12,177.06,177.55,171.84,176.41,175.882240366096,31697374,0.0,1.0
2018-02-09,174.76,176.9,167.18,176.11,175.583137865615,37214470,0.0,1.0
2018-02-08,181.01,181.84,171.48,171.58,171.066690108354,35672214,0.0,1.0
2018-02-07,184.15,185.08,179.95,180.18,179.640961788806,26891282,0.0,1.0
2018-02-06,178.57,185.77,177.74,185.31,184.755614547028,36829710,0.0,1.0
2018-02-05,186.93,190.61,180.61,181.26,180.717730790537,29852293,0.0,1.0
2018-02-02,192.04,194.21,189.98,190.28,189.710745971661,25514560,0.0,1.0
2018-02-01,188.22,195.32,187.89,193.09,192.512339392832,53608910,0.0,1.0
2018-01-31,188.37,189.83,185.22,186.89,186.330887716227,27299152,0.0,1.0
2018-01-30,187.62,188.18,181.84,187.12,186.560199633263,20382841,0.0,1.0
2018-01-29,188.75,188.84,185.63,185.98,185.423610131436,20022931,0.0,1.0
2018-01-26,187.75,190.0,186.81,190.0,189.431583637879,16652197,0.0,1.0
2018-01-25,187.95,188.62,186.6,187.48,186.91912263384,16698537,0.0,1.0
2018-01-24,189.89,190.66,186.52,186.55,185.991904882349,22992031,0.0,1.0
2018-01-23,186.05,189.55,185.55,189.35,188.783528220171,24956444,0.0,1.0
2018-01-22,180.8,185.39,180.41,185.37,184.815435047124,20567285,0.0,1.0
2018-01-19,180.85,182.37,180.17,181.29,180.747641040585,26266081,0.0,1.0
2018-01-18,178.13,180.98,177.08,179.8,179.26209862153,22783759,0.0,1.0
2018-01-17,179.26,179.32,175.8,177.6,177.06868028467,27356988,0.0,1.0
2018-01-16,181.5,181.75,178.04,178.39,177.85631686927,35027166,0.0,1.0
2018-01-12,178.06,181.48,177.4,179.37,178.833385037507,76645626,0.0,1.0
2018-01-11,188.4,188.4,187.38,187.77,187.208255050971,8855144,0.0,1.0
2018-01-10,186.94,187.89,185.63,187.84,187.278045634417,10464528,0.0,1.0
2018-01-09,188.7,188.8,187.1,187.87,187.307955884465,12342722,0.0,1.0
2018-01-08,187.2,188.9,186.33,188.28,187.716729301789,14719216,0.0,1.0
2018-01-05,185.59,186.9,184.93,186.85,186.29100738283,13042388,0.0,1.0
2018-01-04,184.9,186.21,184.1,184.33,183.778546378791,13554357,0.0,1.0
