,V_Open,V_High,V_Low,V_Close,V_Adj Close,V_Volume,V_Dividend Amount,V_Split Coefficient
2021-08-06,240.0,242.6,239.86,241.4,235.569144428662,4509702,0.0,1.0
2021-08-05,236.61,240.25,236.43,240.21,234.407888082887,5337491,0.0,1.0
2021-08-04,237.0,237.55,235.05,236.67,230.953394415623,8171754,0.0,1.0
2021-08-03,240.63,241.39,234.03,237.09,231.363249596485,9838976,0.0,1.0
2021-08-02,246.24,247.83,238.37,239.78,233.988274445338,9989546,0.0,1.0
2021-07-30,247.21,248.46,246.0,246.39,240.438614315567,5804738,0.0,1.0
2021-07-29,248.11,250.38,247.095,247.92,241.931658188707,7477018,0.0,1.0
2021-07-28,250.05,251.5,245.91,246.94,240.975329433363,9036543,0.0,1.0
2021-07-27,249.19,252.67,248.22,250.93,244.86895365155,7038317,0.0,1.0
2021-07-26,249.21,250.36,247.7,250.25,244.205378596821,4878988,0.0,1.0
2021-07-23,246.76,250.01,246.76,249.02,243.005088424297,6766007,0.0,1.0
2021-07-22,243.78,245.3489,243.15,244.14,238.242961560951,10293570,0.0,1.0
2021-07-21,243.29,246.9,242.3,243.66,237.774555639966,11241420,0.0,1.0
2021-07-20,240.64,244.21,239.51,242.7,236.837743797996,7072288,0.0,1.0
2021-07-19,243.99,244.45,238.9,240.41,234.60305721663,11474571,0.0,1.0
2021-07-16,249.99,250.46,247.52,248.12,242.12682732245,8674464,0.0,1.0
2021-07-15,245.31,248.8,245.31,248.55,242.546440959999,10135108,0.0,1.0
2021-07-14,243.22,246.81,242.82,245.99,240.04827604808,8693381,0.0,1.0
2021-07-13,238.25,242.48,238.25,242.35,236.496197813944,8079187,0.0,1.0
2021-07-12,237.58,238.505,237.27,237.87,232.124409218085,7010658,0.0,1.0
2021-07-09,238.76,239.45,237.421,238.47,232.709916619316,5616130,0.0,1.0
2021-07-08,236.97,237.065,234.55,236.61,230.8948436755,6388031,0.0,1.0
2021-07-07,240.26,241.04,238.3,240.0,234.202960492456,4366112,0.0,1.0
2021-07-06,239.5,240.61,237.21,239.6,233.812622224968,8048717,0.0,1.0
2021-07-02,235.83,238.78,235.82,238.63,232.866051926311,4384578,0.0,1.0
2021-07-01,234.2,236.25,234.0499,235.15,229.470108999171,5329571,0.0,1.0
2021-06-30,235.11,236.4,233.82,233.82,228.172234259775,7797146,0.0,1.0
2021-06-29,234.57,236.52,234.15,235.95,230.250785534145,11897827,0.0,1.0
2021-06-28,238.0,238.37,231.86,234.09,228.435712590329,9301681,0.0,1.0
2021-06-25,236.4,238.48,236.32,237.32,231.58769410029,7825157,0.0,1.0
2021-06-24,237.0,238.25,235.41,236.24,230.533780778074,4611523,0.0,1.0
2021-06-23,235.45,235.92,233.94,234.68,229.011461534873,6814700,0.0,1.0
2021-06-22,234.3,236.09,233.24,235.93,230.231268620771,8858423,0.0,1.0
2021-06-21,231.45,235.01,230.4,234.32,228.660157094134,7298414,0.0,1.0
2021-06-18,230.45,232.18,229.2209,230.41,224.844600529445,8839965,0.0,1.0
2021-06-17,229.21,233.34,229.21,232.15,226.542571993015,6876723,0.0,1.0
2021-06-16,233.62,234.18,228.0,229.6,224.054165537783,8887027,0.0,1.0
2021-06-15,234.44,234.8,232.62,232.98,227.352523898051,7093998,0.0,1.0
2021-06-14,234.7,235.22,231.5709,234.08,228.425954133642,5805768,0.0,1.0
2021-06-11,234.39,235.44,233.7079,234.96,229.284698322114,5378341,0.0,1.0
2021-06-10,233.1,234.26,232.1306,233.95,228.299094196708,4452453,0.0,1.0
2021-06-09,232.5,234.85,232.12,232.31,226.69870730001,4658980,0.0,1.0
2021-06-08,232.15,232.85,230.16,232.05,226.444987426143,4170603,0.0,1.0
2021-06-07,232.85,234.68,230.08,231.32,225.732620087978,5421294,0.0,1.0
2021-06-04,229.35,230.7,228.73,230.14,224.581122198891,5085741,0.0,1.0
2021-06-03,229.0,230.39,227.77,228.11,222.600155491392,6382407,0.0,1.0
2021-06-02,229.22,233.11,228.78,229.66,224.112716277906,9081362,0.0,1.0
2021-06-01,229.44,230.08,226.28,226.63,221.155903901688,5091507,0.0,1.0
2021-05-28,227.59,229.43,227.148,227.3,221.80972049973,5782053,0.0,1.0
2021-05-27,227.76,228.42,226.37,226.86,221.380348405494,5969553,0.0,1.0
2021-05-26,228.05,229.35,226.38,227.07,221.585275995925,4295635,0.0,1.0
2021-05-25,229.9,230.19,228.42,229.02,223.488175049926,4689089,0.0,1.0
2021-05-24,227.95,230.11,227.63,229.32,223.780928750541,4040078,0.0,1.0
2021-05-21,226.88,229.31,226.5518,226.77,221.292522295309,5603876,0.0,1.0
2021-05-20,225.44,227.6,225.24,226.44,220.970493224632,7478621,0.0,1.0
2021-05-19,222.76,224.85,221.7941,224.59,219.165178737503,9311863,0.0,1.0
2021-05-18,228.39,229.1799,225.43,225.57,220.121507492847,6900034,0.0,1.0
2021-05-17,226.18,227.16,225.315,226.44,220.970493224632,5534164,0.0,1.0
2021-05-14,225.82,227.51,224.92,226.94,221.458416058991,4777231,0.0,1.0
2021-05-13,221.51,224.9,220.89,223.74,218.335709919092,6650401,0.32,1.0
2021-05-12,223.63,225.0,220.31,220.63,214.993339638709,7721250,0.0,1.0
2021-05-11,223.74,226.42,222.0353,225.48,219.719431726131,7633289,0.0,1.0
2021-05-10,231.6,232.0,225.16,225.97,220.196913194757,9627426,0.0,1.0
2021-05-07,232.34,233.22,230.705,232.12,226.189792852002,4529048,0.0,1.0
2021-05-06,229.63,231.58,228.66,231.32,225.410231270572,6124286,0.0,1.0
2021-05-05,233.85,233.85,228.66,229.21,223.354137599549,6523200,0.0,1.0
2021-05-04,231.6,232.3926,230.23,232.03,226.102092174091,5884506,0.0,1.0
2021-05-03,234.05,235.74,231.385,232.61,226.667274320628,8174440,0.0,1.0
2021-04-30,235.32,235.93,232.29,233.56,227.593003698577,10260248,0.0,1.0
2021-04-29,235.23,237.5,233.15,236.86,230.808695221977,7411371,0.0,1.0
2021-04-28,230.95,236.27,230.6748,233.45,227.48581398113,10111448,0.0,1.0
2021-04-27,231.03,231.16,228.985,229.91,224.036253983301,6642114,0.0,1.0
2021-04-26,230.77,232.95,229.52,230.34,224.45526833332,5650039,0.0,1.0
2021-04-23,228.61,231.82,227.71,230.0,224.123954661212,5345445,0.0,1.0
2021-04-22,227.3,230.9348,226.89,227.57,221.756036357617,7302953,0.0,1.0
2021-04-21,223.31,227.87,222.865,227.45,221.639102120403,9490560,0.0,1.0
2021-04-20,224.78,225.38,221.82,223.28,217.575637377197,5799134,0.0,1.0
2021-04-19,225.75,227.58,225.08,225.79,220.021511838935,6541636,0.0,1.0
2021-04-16,227.17,227.8,225.76,226.41,220.625672064543,6829350,0.0,1.0
2021-04-15,223.89,227.6257,223.855,226.28,220.498993307561,8698106,0.0,1.0
2021-04-14,221.0,223.1,220.07,221.98,216.308849807373,4972551,0.0,1.0
2021-04-13,221.0,221.615,220.22,221.02,215.373375909657,4764036,0.0,1.0
2021-04-12,220.24,221.91,219.22,221.47,215.811879299211,6315207,0.0,1.0
2021-04-09,221.0,222.6,219.51,222.52,216.835053874838,5724939,0.0,1.0
2021-04-08,219.97,222.82,218.11,220.7,215.061551277085,11041976,0.0,1.0
2021-04-07,219.12,221.04,218.64,219.27,213.668084950278,5614322,0.0,1.0
2021-04-06,217.62,219.4,215.34,218.65,213.063924724669,7828103,0.0,1.0
2021-04-05,218.6,220.51,217.3088,219.04,213.443960995617,10440483,0.0,1.0
2021-04-01,213.784,217.74,212.3,216.86,211.319655686219,6138428,0.0,1.0
