,LITE_Open,LITE_High,LITE_Low,LITE_Close,LITE_Adj Close,LITE_Volume,LITE_Dividend Amount,LITE_Split Coefficient
2024-06-21,47.92,48.99,47.53,48.66,48.66,1216361,0.0,1.0
2024-06-20,49.43,49.57,47.835,47.91,47.91,905083,0.0,1.0
2024-06-18,50.01,50.73,49.42,49.58,49.58,974522,0.0,1.0
2024-06-17,47.28,50.08,47.0638,50.0,50.0,1084109,0.0,1.0
2024-06-14,47.0,47.465,46.3825,47.28,47.28,408565,0.0,1.0
2024-06-13,46.805,47.71,45.96,47.55,47.55,583636,0.0,1.0
2024-06-12,46.61,48.39,46.37,46.91,46.91,1080326,0.0,1.0
2024-06-11,46.72,46.72,44.94,45.47,45.47,776175,0.0,1.0
2024-06-10,45.17,47.12,45.11,46.97,46.97,829264,0.0,1.0
2024-06-07,44.97,45.83,44.825,45.79,45.79,591856,0.0,1.0
2024-06-06,45.81,46.46,45.26,45.59,45.59,679331,0.0,1.0
2024-06-05,43.34,45.47,43.2,45.4,45.4,700080,0.0,1.0
2024-06-04,43.68,43.68,42.975,43.02,43.02,643961,0.0,1.0
2024-06-03,44.19,44.85,43.34,44.21,44.21,855409,0.0,1.0
2024-05-31,43.54,43.88,42.19,43.5,43.5,823813,0.0,1.0
2024-05-30,43.61,43.88,42.86,43.36,43.36,831520,0.0,1.0
2024-05-29,44.04,44.27,43.38,43.43,43.43,880260,0.0,1.0
2024-05-28,46.6,46.635,44.83,44.88,44.88,1037502,0.0,1.0
2024-05-24,46.17,46.5,45.44,46.28,46.28,919617,0.0,1.0
2024-05-23,45.97,46.61,45.19,45.92,45.92,1061448,0.0,1.0
2024-05-22,46.17,46.41,45.2,45.49,45.49,850365,0.0,1.0
2024-05-21,46.76,46.76,45.66,46.01,46.01,852025,0.0,1.0
2024-05-20,45.94,47.52,45.94,47.19,47.19,1055475,0.0,1.0
2024-05-17,46.94,47.36,45.94,46.05,46.05,785534,0.0,1.0
2024-05-16,45.66,46.94,44.79,46.8,46.8,1076318,0.0,1.0
2024-05-15,45.2,45.849,44.54,45.72,45.72,1242042,0.0,1.0
2024-05-14,44.47,45.14,44.2738,44.61,44.61,787983,0.0,1.0
2024-05-13,43.93,45.39,43.77,44.0,44.0,979283,0.0,1.0
2024-05-10,43.7,44.1,43.33,43.79,43.79,834694,0.0,1.0
2024-05-09,42.39,43.93,41.84,43.61,43.61,1335200,0.0,1.0
2024-05-08,41.03,43.21,40.81,42.59,42.59,2976314,0.0,1.0
2024-05-07,47.41,48.12,41.32,41.4,41.4,4259098,0.0,1.0
2024-05-06,45.48,45.48,43.95,44.11,44.11,3330965,0.0,1.0
2024-05-03,45.76,46.2,44.35,44.74,44.74,1795315,0.0,1.0
2024-05-02,44.44,44.44,42.6,44.29,44.29,825125,0.0,1.0
2024-05-01,43.3,45.215,43.08,43.52,43.52,972990,0.0,1.0
2024-04-30,43.16,44.37,43.16,43.76,43.76,1548087,0.0,1.0
2024-04-29,43.42,44.3,43.3501,43.52,43.52,750949,0.0,1.0
2024-04-26,42.16,43.57,42.03,43.42,43.42,705153,0.0,1.0
2024-04-25,41.77,42.31,41.435,42.01,42.01,942235,0.0,1.0
2024-04-24,42.03,42.62,41.75,42.06,42.06,825933,0.0,1.0
2024-04-23,41.21,42.67,41.205,42.01,42.01,1032315,0.0,1.0
2024-04-22,41.8,41.96,40.74,41.34,41.34,946527,0.0,1.0
2024-04-19,42.43,43.05,41.69,41.74,41.74,1109264,0.0,1.0
2024-04-18,41.97,43.06,41.67,42.44,42.44,1046213,0.0,1.0
2024-04-17,43.35,43.81,41.95,41.98,41.98,728935,0.0,1.0
2024-04-16,42.05,43.45,41.95,43.31,43.31,1540693,0.0,1.0
2024-04-15,43.75,43.92,41.76,41.81,41.81,951030,0.0,1.0
2024-04-12,44.47,44.76,43.3,43.45,43.45,687125,0.0,1.0
2024-04-11,45.29,45.7,44.57,45.18,45.18,887364,0.0,1.0
2024-04-10,45.86,46.49,44.82,45.34,45.34,725602,0.0,1.0
2024-04-09,45.89,47.38,45.89,47.25,47.25,693873,0.0,1.0
2024-04-08,46.03,46.61,45.83,45.89,45.89,638429,0.0,1.0
2024-04-05,46.43,46.62,45.75,45.9,45.9,718467,0.0,1.0
2024-04-04,48.72,48.72,46.34,46.5,46.5,561711,0.0,1.0
2024-04-03,47.4,48.31,46.855,47.85,47.85,649327,0.0,1.0
2024-04-02,47.54,47.67,46.53,47.5,47.5,1070061,0.0,1.0
2024-04-01,47.59,48.44,47.08,48.15,48.15,943673,0.0,1.0
2024-03-28,48.16,48.46,47.159,47.35,47.35,1199077,0.0,1.0
2024-03-27,48.66,48.91,47.56,48.45,48.45,1643935,0.0,1.0
2024-03-26,51.3,52.08,48.31,48.41,48.41,1948872,0.0,1.0
2024-03-25,50.62,51.14,49.98,51.08,51.08,750678,0.0,1.0
2024-03-22,50.39,51.01,49.635,50.88,50.88,1321679,0.0,1.0
2024-03-21,49.59,51.47,49.45,50.56,50.56,1215927,0.0,1.0
2024-03-20,46.54,49.3,46.445,48.81,48.81,1355720,0.0,1.0
2024-03-19,46.27,46.61,45.45,46.52,46.52,1064701,0.0,1.0
2024-03-18,45.62,47.12,45.57,46.79,46.79,1288446,0.0,1.0
2024-03-15,45.78,46.185,45.1,45.55,45.55,1592994,0.0,1.0
2024-03-14,46.81,47.195,45.75,46.25,46.25,1883232,0.0,1.0
2024-03-13,46.67,47.28,46.19,47.06,47.06,919543,0.0,1.0
2024-03-12,46.99,47.76,46.6,46.88,46.88,743590,0.0,1.0
2024-03-11,47.29,47.76,46.62,46.87,46.87,786119,0.0,1.0
2024-03-08,49.64,50.49,47.4901,47.68,47.68,1594421,0.0,1.0
2024-03-07,49.75,50.06,47.95,48.86,48.86,2011649,0.0,1.0
2024-03-06,51.51,51.78,50.26,50.33,50.33,1379261,0.0,1.0
2024-03-05,50.15,51.9,49.73,50.79,50.79,1286155,0.0,1.0
2024-03-04,51.0,53.17,50.61,50.76,50.76,1989649,0.0,1.0
2024-03-01,48.89,50.6,48.172,50.49,50.49,2970735,0.0,1.0
2024-02-29,47.55,48.99,47.5,48.47,48.47,1604269,0.0,1.0
2024-02-28,47.82,47.85,46.86,47.17,47.17,963811,0.0,1.0
2024-02-27,49.84,49.96,48.02,48.39,48.39,1038846,0.0,1.0
2024-02-26,48.91,50.0,48.59,49.42,49.42,1125024,0.0,1.0
2024-02-23,49.8,49.8,47.84,49.08,49.08,1165960,0.0,1.0
2024-02-22,48.72,50.48,48.59,50.12,50.12,1494906,0.0,1.0
2024-02-21,48.7,48.95,47.61,48.01,48.01,1188210,0.0,1.0
2024-02-20,49.11,49.71,48.01,49.33,49.33,1177966,0.0,1.0
2024-02-16,48.49,50.87,48.36,49.77,49.77,1532931,0.0,1.0
2024-02-15,49.88,50.51,49.0794,49.19,49.19,1399503,0.0,1.0
2024-02-14,48.4,50.185,47.9,49.59,49.59,1739024,0.0,1.0
2024-02-13,48.5,49.29,47.16,47.59,47.59,1929241,0.0,1.0
2024-02-12,50.58,52.19,49.345,50.34,50.34,2746238,0.0,1.0
2024-02-09,45.81,50.8,45.81,50.205,50.205,4750068,0.0,1.0
2024-02-08,51.26,51.318,45.38,45.585,45.585,11262470,0.0,1.0
2024-02-07,58.84,60.94,58.19,58.77,58.77,3961355,0.0,1.0
2024-02-06,59.76,60.99,58.25,58.84,58.84,3659219,0.0,1.0
2024-02-05,55.92,56.06,54.47,55.6,55.6,1000825,0.0,1.0
2024-02-02,55.55,57.0,55.382,56.48,56.48,1198121,0.0,1.0
2024-02-01,55.28,56.37,55.0,56.15,56.15,894380,0.0,1.0
2024-01-31,55.23,56.5,54.48,54.94,54.94,1209665,0.0,1.0
2024-01-30,56.37,56.8,55.72,55.74,55.74,1310606,0.0,1.0
2024-01-29,55.27,57.24,55.27,56.93,56.93,1300188,0.0,1.0
2024-01-26,55.8,56.71,55.27,55.27,55.27,1110086,0.0,1.0
2024-01-25,55.64,56.82,55.5,55.92,55.92,2543274,0.0,1.0
2024-01-24,54.75,55.825,54.2,54.61,54.61,817416,0.0,1.0
2024-01-23,54.9,55.25,53.5,54.3,54.3,959700,0.0,1.0
2024-01-22,54.29,55.19,53.97,54.18,54.18,926599,0.0,1.0
2024-01-19,52.92,54.12,52.5425,53.8,53.8,1293419,0.0,1.0
2024-01-18,52.55,52.91,51.9099,52.83,52.83,674319,0.0,1.0
2024-01-17,51.41,52.08,50.69,51.58,51.58,570055,0.0,1.0
2024-01-16,49.9,53.07,49.56,52.65,52.65,1102414,0.0,1.0
2024-01-12,52.28,52.28,50.695,50.7,50.7,603114,0.0,1.0
2024-01-11,51.91,51.91,50.76,51.44,51.44,469651,0.0,1.0
2024-01-10,51.74,52.385,51.19,52.0,52.0,588199,0.0,1.0
2024-01-09,50.21,51.828,50.17,51.78,51.78,878418,0.0,1.0
2024-01-08,50.75,52.0,50.72,51.17,51.17,1065158,0.0,1.0
2024-01-05,50.02,51.005,49.48,50.47,50.47,1134767,0.0,1.0
2024-01-04,49.82,50.22,48.86,50.2,50.2,823964,0.0,1.0
2024-01-03,50.81,51.64,49.87,49.95,49.95,972834,0.0,1.0
2024-01-02,52.0,52.84,51.58,52.04,52.04,982976,0.0,1.0
2023-12-29,53.02,53.435,52.33,52.42,52.42,757027,0.0,1.0
2023-12-28,53.32,53.57,52.96,53.26,53.26,440566,0.0,1.0
2023-12-27,53.74,53.83,52.91,53.38,53.38,426448,0.0,1.0
2023-12-26,53.1,54.06,52.85,53.51,53.51,822545,0.0,1.0
2023-12-22,53.5,54.6,52.84,53.0,53.0,1884985,0.0,1.0
2023-12-21,50.94,51.7,50.45,51.5,51.5,735686,0.0,1.0
2023-12-20,50.14,51.465,49.37,50.06,50.06,1212084,0.0,1.0
2023-12-19,49.99,50.6344,49.6476,50.48,50.48,738115,0.0,1.0
2023-12-18,49.52,49.8,48.965,49.65,49.65,902188,0.0,1.0
2023-12-15,49.62,49.89,49.01,49.52,49.52,1525032,0.0,1.0
2023-12-14,47.4,49.97,47.12,49.86,49.86,1843813,0.0,1.0
2023-12-13,44.77,46.55,44.54,46.46,46.46,1106135,0.0,1.0
2023-12-12,45.07,45.07,43.98,44.86,44.86,998866,0.0,1.0
2023-12-11,44.08,45.43,43.935,45.06,45.06,1214207,0.0,1.0
2023-12-08,43.49,44.79,43.425,44.03,44.03,1090546,0.0,1.0
2023-12-07,41.37,44.07,41.2,43.55,43.55,1449701,0.0,1.0
2023-12-06,42.45,43.14,41.05,41.32,41.32,1174925,0.0,1.0
2023-12-05,43.62,43.6577,41.2516,41.95,41.95,1689068,0.0,1.0
2023-12-04,43.87,44.335,42.99,44.08,44.08,879901,0.0,1.0
2023-12-01,42.67,44.44,42.495,44.25,44.25,1031177,0.0,1.0
2023-11-30,43.1,43.27,42.4515,42.8,42.8,1373983,0.0,1.0
2023-11-29,42.76,43.79,42.62,43.1,43.1,725101,0.0,1.0
2023-11-28,42.62,42.62,41.55,42.3,42.3,1112660,0.0,1.0
2023-11-27,43.48,43.89,42.97,43.01,43.01,792810,0.0,1.0
2023-11-24,43.66,44.05,43.1976,43.79,43.79,249103,0.0,1.0
2023-11-22,43.34,43.9,43.14,43.56,43.56,530795,0.0,1.0
2023-11-21,43.87,44.13,42.84,42.94,42.94,844582,0.0,1.0
2023-11-20,44.17,44.81,43.95,44.32,44.32,709156,0.0,1.0
2023-11-17,44.03,44.19,43.42,44.17,44.17,812357,0.0,1.0
2023-11-16,43.72,44.35,43.19,43.77,43.77,1403850,0.0,1.0
2023-11-15,43.53,45.28,43.22,45.14,45.14,1563162,0.0,1.0
2023-11-14,42.39,43.93,42.39,43.56,43.56,1707797,0.0,1.0
2023-11-13,40.1,41.54,39.6,40.92,40.92,1186645,0.0,1.0
2023-11-10,39.81,40.81,39.01,40.54,40.54,1675597,0.0,1.0
2023-11-09,42.96,43.445,39.271,39.52,39.52,2107126,0.0,1.0
2023-11-08,44.41,46.4,42.71,42.87,42.87,2523069,0.0,1.0
2023-11-07,42.01,42.58,41.35,42.02,42.02,2010885,0.0,1.0
2023-11-06,42.49,43.39,42.27,42.34,42.34,1256829,0.0,1.0
2023-11-03,41.26,42.83,40.865,42.76,42.76,2199035,0.0,1.0
2023-11-02,39.7,40.58,39.025,40.45,40.45,1093419,0.0,1.0
2023-11-01,39.13,39.13,37.99,38.72,38.72,1240970,0.0,1.0
2023-10-31,39.76,40.01,38.83,39.21,39.21,1136581,0.0,1.0
2023-10-30,39.97,41.2,39.01,39.79,39.79,3411514,0.0,1.0
2023-10-27,36.11,36.71,35.35,36.07,36.07,1083257,0.0,1.0
2023-10-26,36.85,37.11,35.885,36.12,36.12,1774556,0.0,1.0
2023-10-25,38.25,38.323,36.72,36.93,36.93,1147684,0.0,1.0
2023-10-24,37.63,38.65,37.57,38.56,38.56,1352671,0.0,1.0
2023-10-23,38.6,38.6,37.53,37.63,37.63,1169085,0.0,1.0
2023-10-20,39.25,39.385,38.595,38.64,38.64,1276386,0.0,1.0
2023-10-19,39.7,40.19,38.965,39.35,39.35,1430074,0.0,1.0
2023-10-18,40.74,40.84,39.76,39.84,39.84,1203668,0.0,1.0
2023-10-17,41.26,41.98,40.925,41.25,41.25,1578112,0.0,1.0
2023-10-16,41.63,42.67,41.51,42.16,42.16,1316108,0.0,1.0
2023-10-13,41.85,42.28,41.17,41.42,41.42,714576,0.0,1.0
2023-10-12,43.07,43.18,41.375,41.83,41.83,657588,0.0,1.0
2023-10-11,42.27,42.885,41.911,42.87,42.87,910657,0.0,1.0
2023-10-10,42.1,43.355,41.66,42.0,42.0,1188549,0.0,1.0
2023-10-09,40.88,41.37,40.27,41.26,41.26,967516,0.0,1.0
2023-10-06,41.08,41.87,40.8,41.22,41.22,1148169,0.0,1.0
2023-10-05,42.95,43.025,40.875,41.61,41.61,1408082,0.0,1.0
2023-10-04,44.53,44.7,42.7,43.07,43.07,1638797,0.0,1.0
2023-10-03,45.05,45.21,44.03,44.75,44.75,1011855,0.0,1.0
2023-10-02,45.46,46.14,44.96,45.68,45.68,1229846,0.0,1.0
2023-09-29,45.62,45.985,44.97,45.18,45.18,789679,0.0,1.0
2023-09-28,44.03,45.3,43.89,44.95,44.95,1378667,0.0,1.0
2023-09-27,44.88,45.29,43.41,43.83,43.83,1883743,0.0,1.0
2023-09-26,45.7,45.8,44.58,44.8,44.8,1851459,0.0,1.0
2023-09-25,45.91,46.555,45.76,45.99,45.99,1112039,0.0,1.0
2023-09-22,46.97,47.39,46.215,46.41,46.41,1172344,0.0,1.0
2023-09-21,47.59,47.67,45.8,46.62,46.62,1286350,0.0,1.0
2023-09-20,48.28,48.94,48.16,48.33,48.33,863431,0.0,1.0
2023-09-19,48.44,48.76,47.6,47.86,47.86,1153021,0.0,1.0
2023-09-18,47.96,48.71,47.45,48.36,48.36,992644,0.0,1.0
2023-09-15,48.16,48.74,47.53,48.25,48.25,1660531,0.0,1.0
2023-09-14,47.26,48.37,47.04,48.24,48.24,1079944,0.0,1.0
2023-09-13,47.68,47.98,45.58,47.01,47.01,1852610,0.0,1.0
2023-09-12,48.18,48.67,47.67,47.83,47.83,870234,0.0,1.0
2023-09-11,49.98,50.1,48.47,48.52,48.52,1413167,0.0,1.0
2023-09-08,50.0,50.135,49.35,49.66,49.66,764666,0.0,1.0
2023-09-07,50.92,51.565,49.76,49.83,49.83,1787621,0.0,1.0
2023-09-06,52.79,53.065,52.15,52.33,52.33,1180201,0.0,1.0
2023-09-05,53.111,53.72,52.59,52.97,52.97,1192943,0.0,1.0
2023-09-01,54.35,54.4,53.58,53.89,53.89,1288279,0.0,1.0
2023-08-31,53.55,54.66,53.48,54.13,54.13,1291687,0.0,1.0
2023-08-30,53.12,53.465,52.21,52.63,52.63,959600,0.0,1.0
2023-08-29,51.32,53.55,51.08,52.97,52.97,1323432,0.0,1.0
2023-08-28,51.37,52.0,50.791,51.08,51.08,1471267,0.0,1.0
2023-08-25,52.3,52.47,51.5,51.59,51.59,1243936,0.0,1.0
2023-08-24,53.91,54.28,51.78,52.12,52.12,2254498,0.0,1.0
2023-08-23,51.54,53.605,51.1,53.18,53.18,1642735,0.0,1.0
2023-08-22,49.56,51.5,48.72,51.31,51.31,2343698,0.0,1.0
2023-08-21,47.82,48.95,47.64,48.66,48.66,1217758,0.0,1.0
2023-08-18,45.51,48.5844,45.51,47.98,47.98,2704102,0.0,1.0
2023-08-17,48.85,49.0,44.7501,46.2,46.2,4108466,0.0,1.0
2023-08-16,48.44,49.44,45.07,46.81,46.81,6120419,0.0,1.0
2023-08-15,50.15,51.98,49.89,51.34,51.34,2071782,0.0,1.0
2023-08-14,49.26,50.76,49.0,50.58,50.58,1246668,0.0,1.0
2023-08-11,49.25,49.79,48.57,49.53,49.53,1402685,0.0,1.0
2023-08-10,50.5,51.08,49.81,49.91,49.91,1126941,0.0,1.0
2023-08-09,52.4,52.5,50.13,50.32,50.32,1379327,0.0,1.0
2023-08-08,51.93,53.2285,51.6394,52.46,52.46,1718950,0.0,1.0
2023-08-07,52.3,52.575,52.01,52.36,52.36,694522,0.0,1.0
2023-08-04,51.32,52.86,50.57,52.4,52.4,1316028,0.0,1.0
2023-08-03,50.25,51.09,49.915,50.96,50.96,1089967,0.0,1.0
2023-08-02,50.55,50.962,50.365,50.51,50.51,979791,0.0,1.0
2023-08-01,51.55,51.73,50.825,51.44,51.44,1630798,0.0,1.0
2023-07-31,52.29,52.97,51.7792,52.36,52.36,870306,0.0,1.0
2023-07-28,53.27,53.7501,52.27,52.36,52.36,1095818,0.0,1.0
2023-07-27,53.46,53.71,52.37,52.76,52.76,1188847,0.0,1.0
2023-07-26,53.36,53.36,52.34,52.79,52.79,989685,0.0,1.0
2023-07-25,52.16,53.5,51.42,53.0,53.0,1657305,0.0,1.0
2023-07-24,52.17,52.58,51.66,51.89,51.89,798149,0.0,1.0
2023-07-21,53.08,53.08,51.66,51.85,51.85,879273,0.0,1.0
2023-07-20,51.93,52.83,50.74,52.46,52.46,1819331,0.0,1.0
2023-07-19,52.85,53.795,52.2,52.98,52.98,1430509,0.0,1.0
2023-07-18,51.03,52.2,50.02,52.1,52.1,2421274,0.0,1.0
2023-07-17,51.64,52.98,51.27,52.39,52.39,1371647,0.0,1.0
2023-07-14,54.93,54.93,51.18,51.92,51.92,3227598,0.0,1.0
2023-07-13,55.06,55.6,54.48,55.58,55.58,1247722,0.0,1.0
2023-07-12,55.27,55.27,53.045,54.48,54.48,1440966,0.0,1.0
2023-07-11,55.05,55.18,53.55,54.82,54.82,1634471,0.0,1.0
2023-07-10,53.83,54.635,53.81,54.55,54.55,1040676,0.0,1.0
2023-07-07,53.17,55.92,53.17,54.4,54.4,1605744,0.0,1.0
2023-07-06,53.7,54.25,52.99,53.6,53.6,1532498,0.0,1.0
2023-07-05,55.14,55.59,54.145,54.62,54.62,2063641,0.0,1.0
2023-07-03,57.51,58.0899,57.1,57.4,57.4,601250,0.0,1.0
2023-06-30,57.69,58.125,56.72,56.73,56.73,1313440,0.0,1.0
2023-06-29,56.4,57.18,55.87,56.92,56.92,1175904,0.0,1.0
2023-06-28,56.7,56.96,55.1732,56.31,56.31,1920259,0.0,1.0
2023-06-27,55.76,58.33,54.952,57.91,57.91,1575387,0.0,1.0
2023-06-26,55.37,56.29,54.69,55.71,55.71,1617522,0.0,1.0
2023-06-23,55.18,56.06,54.64,55.29,55.29,1939326,0.0,1.0
2023-06-22,55.63,57.85,55.28,56.63,56.63,1809103,0.0,1.0
2023-06-21,59.8,60.19,54.94,55.8,55.8,4449558,0.0,1.0
2023-06-20,60.0,65.16,59.94,61.37,61.37,7400699,0.0,1.0
2023-06-16,59.11,59.74,56.58,57.8,57.8,3545791,0.0,1.0
2023-06-15,55.8,57.38,54.76,56.4,56.4,2518981,0.0,1.0
2023-06-14,53.95,57.94,53.75,56.43,56.43,10266944,0.0,1.0
2023-06-13,54.02,54.95,52.56,53.49,53.49,2578260,0.0,1.0
2023-06-12,51.46,53.86,51.3,53.29,53.29,1616699,0.0,1.0
2023-06-09,51.52,51.83,50.42,51.06,51.06,784345,0.0,1.0
2023-06-08,51.05,51.22,49.65,51.08,51.08,1259498,0.0,1.0
2023-06-07,50.6,52.12,50.481,50.8,50.8,1212553,0.0,1.0
2023-06-06,50.09,50.65,49.19,50.09,50.09,2308373,0.0,1.0
2023-06-05,52.59,52.92,50.97,51.42,51.42,1303813,0.0,1.0
2023-06-02,52.63,53.74,52.29,53.0,53.0,1510769,0.0,1.0
2023-06-01,52.94,53.61,52.21,52.22,52.22,795453,0.0,1.0
2023-05-31,53.94,54.62,52.5684,52.9,52.9,1801380,0.0,1.0
2023-05-30,55.11,55.29,52.385,54.86,54.86,3046590,0.0,1.0
2023-05-26,48.6,53.89,48.365,53.63,53.63,3607132,0.0,1.0
2023-05-25,46.23,48.375,45.66,47.99,47.99,1318265,0.0,1.0
2023-05-24,46.67,46.76,45.35,45.53,45.53,853491,0.0,1.0
2023-05-23,48.3,48.5,46.97,47.06,47.06,928726,0.0,1.0
2023-05-22,46.38,48.36,46.26,48.27,48.27,965706,0.0,1.0
2023-05-19,47.64,48.04,46.69,46.69,46.69,967347,0.0,1.0
2023-05-18,45.98,47.38,45.62,47.37,47.37,1109761,0.0,1.0
2023-05-17,44.66,46.14,44.54,46.1,46.1,931227,0.0,1.0
2023-05-16,44.5,44.765,44.18,44.33,44.33,1384172,0.0,1.0
2023-05-15,42.3,45.55,42.25,45.12,45.12,1706935,0.0,1.0
2023-05-12,43.3,43.45,42.0,42.22,42.22,1872369,0.0,1.0
2023-05-11,44.51,44.51,43.26,43.3,43.3,1887245,0.0,1.0
2023-05-10,45.2,45.565,43.56,44.56,44.56,2210242,0.0,1.0
2023-05-09,45.0,47.9,45.0,45.99,45.99,2388971,0.0,1.0
2023-05-08,47.96,48.54,47.68,47.89,47.89,1270643,0.0,1.0
2023-05-05,48.0,48.23,47.52,47.78,47.78,505103,0.0,1.0
