,BA_Open,BA_High,BA_Low,BA_Close,BA_Adj Close,BA_Volume,BA_Dividend Amount,BA_Split Coefficient
2024-08-23,173.88,176.92,173.17,174.96,174.96,4405948,0.0,1.0
2024-08-22,173.0,175.21,172.3,172.76,172.76,2788031,0.0,1.0
2024-08-21,173.0,174.2,171.04,173.43,173.43,4493631,0.0,1.0
2024-08-20,176.49,177.5,170.04,172.1,172.1,9549138,0.0,1.0
2024-08-19,180.04,180.7,177.63,179.64,179.64,3894182,0.0,1.0
2024-08-16,176.3,180.51,176.3,179.99,179.99,6731504,0.0,1.0
2024-08-15,170.0,176.56,169.98,176.41,176.41,5942222,0.0,1.0
2024-08-14,167.885,169.75,167.33,168.5,168.5,3852650,0.0,1.0
2024-08-13,164.5,168.88,162.62,168.76,168.76,6475461,0.0,1.0
2024-08-12,167.73,168.05,163.519,164.13,164.13,4715584,0.0,1.0
2024-08-09,168.39,169.85,166.9,167.91,167.91,3635590,0.0,1.0
2024-08-08,164.23,169.35,164.0,168.87,168.87,6063808,0.0,1.0
2024-08-07,167.0,167.98,162.99,163.24,163.24,5186448,0.0,1.0
2024-08-06,168.89,169.19,163.39,165.04,165.04,5817257,0.0,1.0
2024-08-05,162.52,167.68,162.5,167.03,167.03,9255072,0.0,1.0
2024-08-02,175.22,175.46,167.25,169.95,169.95,11742812,0.0,1.0
2024-08-01,190.0,191.17,176.69,178.31,178.31,13886965,0.0,1.0
2024-07-31,189.88,196.95,183.86,190.6,190.6,15416951,0.0,1.0
2024-07-30,186.1,188.13,185.15,186.86,186.86,4789017,0.0,1.0
2024-07-29,186.7,187.08,183.83,185.43,185.43,3608584,0.0,1.0
2024-07-26,185.86,189.59,184.63,186.89,186.89,6271995,0.0,1.0
2024-07-25,179.45,188.35,179.45,184.35,184.35,6128022,0.0,1.0
2024-07-24,185.62,187.0,179.97,180.07,180.07,5109135,0.0,1.0
2024-07-23,179.1,187.04,179.0,186.48,186.48,7614345,0.0,1.0
2024-07-22,181.36,182.72,177.23,178.9,178.9,4883531,0.0,1.0
2024-07-19,181.4,181.5,177.39,179.67,179.67,5121317,0.0,1.0
2024-07-18,184.24,187.37,179.88,180.23,180.23,5354761,0.0,1.0
2024-07-17,185.32,188.45,183.79,184.84,184.84,4899566,0.0,1.0
2024-07-16,180.05,187.44,179.2,186.05,186.05,8546392,0.0,1.0
2024-07-15,183.5,183.72,178.88,179.11,179.11,5189034,0.0,1.0
2024-07-12,183.73,184.4899,180.45,182.31,182.31,5129294,0.0,1.0
2024-07-11,184.17,186.1,183.4,183.91,183.91,4843225,0.0,1.0
2024-07-10,183.6,184.9,182.8,183.73,183.73,3583175,0.0,1.0
2024-07-09,185.11,186.245,183.15,183.24,183.24,3955122,0.0,1.0
2024-07-08,186.94,191.5,182.28,185.84,185.84,9878141,0.0,1.0
2024-07-05,184.0,185.38,182.23,184.83,184.83,3290380,0.0,1.0
2024-07-03,185.05,185.42,182.85,184.31,184.31,2764797,0.0,1.0
2024-07-02,186.34,189.225,184.52,185.42,185.42,4110453,0.0,1.0
2024-07-01,182.2,189.47,182.2,186.7,186.7,9056710,0.0,1.0
2024-06-28,182.6,184.435,180.65,182.01,182.01,5899850,0.0,1.0
2024-06-27,178.91,183.68,178.01,182.51,182.51,8198963,0.0,1.0
2024-06-26,174.96,178.82,173.76,178.5,178.5,6553895,0.0,1.0
2024-06-25,176.29,178.76,173.29,175.1,175.1,7695061,0.0,1.0
2024-06-24,176.15,180.6,175.5901,179.1,179.1,7388289,0.0,1.0
2024-06-21,176.83,178.41,175.66,176.56,176.56,8635096,0.0,1.0
2024-06-20,173.02,176.6489,172.045,176.3,176.3,5479280,0.0,1.0
2024-06-18,177.61,178.0,173.82,174.99,174.99,6179870,0.0,1.0
2024-06-17,176.75,180.45,176.32,178.39,178.39,4789953,0.0,1.0
2024-06-14,178.9,180.2899,175.22,177.27,177.27,5105974,0.0,1.0
2024-06-13,181.74,183.87,178.99,180.7,180.7,4201004,0.0,1.0
2024-06-12,186.5,187.16,181.71,182.67,182.67,5245156,0.0,1.0
2024-06-11,189.32,189.32,182.75,185.5,185.5,5010058,0.0,1.0
2024-06-10,190.0,192.63,189.6,190.12,190.12,4388254,0.0,1.0
2024-06-07,190.46,191.98,189.66,190.24,190.24,3374548,0.0,1.0
2024-06-06,188.83,192.1,187.35,191.42,191.42,5942160,0.0,1.0
2024-06-05,187.9,190.34,186.5268,189.85,189.85,5943952,0.0,1.0
2024-06-04,185.05,188.84,183.25,188.62,188.62,7176817,0.0,1.0
2024-06-03,178.09,186.01,178.0197,184.57,184.57,8951574,0.0,1.0
2024-05-31,173.12,177.9,172.21,177.61,177.61,5774549,0.0,1.0
2024-05-30,172.64,174.68,171.5501,172.75,172.75,3927919,0.0,1.0
2024-05-29,173.61,175.8299,171.61,171.65,171.65,3666368,0.0,1.0
2024-05-28,174.73,178.4914,173.38,175.08,175.08,5274390,0.0,1.0
2024-05-24,173.2,174.8595,169.57,174.52,174.52,9489380,0.0,1.0
2024-05-23,185.79,186.0,171.61,172.21,172.21,17115954,0.0,1.0
2024-05-22,184.6,186.8183,183.41,186.28,186.28,3785412,0.0,1.0
2024-05-21,185.3,186.39,183.11,184.78,184.78,4349117,0.0,1.0
2024-05-20,184.65,188.63,184.01,186.61,186.61,6228560,0.0,1.0
2024-05-17,183.25,185.3799,181.22,184.95,184.95,5562368,0.0,1.0
2024-05-16,177.6,183.76,177.25,182.96,182.96,6993218,0.0,1.0
2024-05-15,180.14,180.67,176.17,176.99,176.99,5858857,0.0,1.0
2024-05-14,180.23,183.66,179.63,180.76,180.76,4686537,0.0,1.0
2024-05-13,179.04,180.75,178.07,178.44,178.44,3105206,0.0,1.0
2024-05-10,181.25,181.88,177.92,178.51,178.51,3715473,0.0,1.0
2024-05-09,179.55,181.75,179.31,181.25,181.25,5107368,0.0,1.0
2024-05-08,175.95,181.66,175.95,180.35,180.35,4956761,0.0,1.0
2024-05-07,177.22,178.35,176.13,176.71,176.71,5097451,0.0,1.0
2024-05-06,180.88,183.98,174.71,178.35,178.35,11913389,0.0,1.0
2024-05-03,179.59,180.49,177.9,179.79,179.79,5416263,0.0,1.0
2024-05-02,173.0,178.9,172.2501,178.85,178.85,10223730,0.0,1.0
2024-05-01,167.5,173.86,167.5,171.46,171.46,6206091,0.0,1.0
2024-04-30,171.49,174.07,167.76,167.84,167.84,8248754,0.0,1.0
2024-04-29,167.9,173.81,167.55,173.49,173.49,7805459,0.0,1.0
2024-04-26,165.98,168.65,164.93,167.22,167.22,7208103,0.0,1.0
2024-04-25,163.59,168.13,159.7,166.81,166.81,12504691,0.0,1.0
2024-04-24,176.5,177.64,162.74,164.33,164.33,20889273,0.0,1.0
2024-04-23,170.95,171.18,168.43,169.18,169.18,7632123,0.0,1.0
2024-04-22,169.82,172.15,168.16,170.48,170.48,4724887,0.0,1.0
2024-04-19,170.0,172.0,169.65,169.82,169.82,4693869,0.0,1.0
2024-04-18,169.48,172.04,169.095,170.23,170.23,5123020,0.0,1.0
2024-04-17,170.0,170.85,168.1215,170.21,170.21,8162632,0.0,1.0
2024-04-16,168.14,170.64,167.75,170.55,170.55,7986725,0.0,1.0
2024-04-15,170.74,171.18,167.53,167.82,167.82,6490657,0.0,1.0
2024-04-12,172.2,173.24,169.37,169.55,169.55,7568297,0.0,1.0
2024-04-11,174.47,174.7,171.38,173.36,173.36,7625110,0.0,1.0
2024-04-10,176.31,178.1,172.44,174.63,174.63,9727732,0.0,1.0
2024-04-09,181.51,183.05,176.57,178.12,178.12,11224063,0.0,1.0
2024-04-08,182.14,184.55,181.49,181.56,181.56,6080198,0.0,1.0
2024-04-05,184.16,184.66,182.44,183.14,183.14,4021683,0.0,1.0
2024-04-04,185.93,188.0,182.81,183.29,183.29,6413800,0.0,1.0
2024-04-03,187.68,188.78,184.27,184.92,184.92,6575329,0.0,1.0
2024-04-02,189.0,189.23,187.13,188.04,188.04,4463599,0.0,1.0
2024-04-01,192.24,192.8673,189.03,189.5,189.5,4992634,0.0,1.0
2024-03-28,192.0,193.38,191.2,192.99,192.99,4471666,0.0,1.0
2024-03-27,188.84,191.99,188.33,191.95,191.95,7372795,0.0,1.0
2024-03-26,192.02,192.03,186.81,187.5,187.5,8972192,0.0,1.0
2024-03-25,196.01,196.18,189.5001,191.41,191.41,12952957,0.0,1.0
2024-03-22,188.75,192.94,188.19,188.85,188.85,7826970,0.0,1.0
2024-03-21,189.79,190.3843,187.55,187.7,187.7,7436385,0.0,1.0
2024-03-20,178.99,188.297,178.6,187.78,187.78,12770004,0.0,1.0
2024-03-19,180.11,181.86,179.735,181.14,181.14,7648033,0.0,1.0
2024-03-18,180.26,181.19,177.5194,179.84,179.84,9497831,0.0,1.0
2024-03-15,180.99,184.18,180.91,182.53,182.53,10800678,0.0,1.0
2024-03-14,182.0,184.9399,180.52,181.15,181.15,9967847,0.0,1.0
2024-03-13,183.16,185.97,182.08,182.35,182.35,10133813,0.0,1.0
2024-03-12,188.235,188.58,183.16,184.24,184.24,18644036,0.0,1.0
2024-03-11,194.21,196.07,189.8,192.49,192.49,13941911,0.0,1.0
2024-03-08,201.84,203.8,198.46,198.49,198.49,9010175,0.0,1.0
2024-03-07,200.7,203.73,200.57,203.03,203.03,5965338,0.0,1.0
2024-03-06,201.77,202.345,199.8601,201.0,201.0,4736636,0.0,1.0
2024-03-05,199.49,202.85,198.7,201.14,201.14,5034661,0.0,1.0
2024-03-04,199.5,201.54,196.92,200.54,200.54,7213885,0.0,1.0
2024-03-01,204.0,205.06,199.01,200.0,200.0,11609465,0.0,1.0
2024-02-29,206.44,206.615,202.7043,203.72,203.72,6670260,0.0,1.0
2024-02-28,201.14,208.1,200.18,207.0,207.0,9654653,0.0,1.0
2024-02-27,200.93,202.0,200.04,201.4,201.4,3932875,0.0,1.0
2024-02-26,201.01,202.75,200.0,200.54,200.54,4807216,0.0,1.0
2024-02-23,200.99,202.07,197.15,200.83,200.83,7433353,0.0,1.0
2024-02-22,202.0,204.097,200.4,201.5,201.5,6513541,0.0,1.0
2024-02-21,202.9,203.6322,201.21,201.57,201.57,4179808,0.0,1.0
2024-02-20,203.55,205.58,202.71,203.37,203.37,5248399,0.0,1.0
2024-02-16,204.88,205.05,202.81,203.89,203.89,5986529,0.0,1.0
2024-02-15,204.12,206.55,203.4,205.33,205.33,5309060,0.0,1.0
2024-02-14,205.95,206.58,202.21,203.38,203.38,6503032,0.0,1.0
2024-02-13,206.9,207.81,202.33,204.46,204.46,8263634,0.0,1.0
2024-02-12,208.7,209.8,207.6,209.33,209.33,4077413,0.0,1.0
2024-02-09,209.77,211.44,207.9,209.2,209.2,4349671,0.0,1.0
2024-02-08,212.4,213.1,208.72,209.22,209.22,5787652,0.0,1.0
2024-02-07,208.76,213.77,207.99,211.92,211.92,7747653,0.0,1.0
2024-02-06,206.02,210.6399,203.89,208.58,208.58,7561923,0.0,1.0
2024-02-05,204.64,207.34,202.0,206.63,206.63,8682514,0.0,1.0
2024-02-02,209.06,209.54,206.3501,209.38,209.38,6275335,0.0,1.0
2024-02-01,213.84,214.6324,206.81,209.81,209.81,10679209,0.0,1.0
2024-01-31,204.92,213.77,203.25,211.04,211.04,22409376,0.0,1.0
2024-01-30,203.65,203.98,199.14,200.44,200.44,13321189,0.0,1.0
2024-01-29,206.06,207.04,203.85,205.19,205.19,7535398,0.0,1.0
2024-01-26,203.08,206.75,203.0,205.47,205.47,9911195,0.0,1.0
2024-01-25,208.2,208.73,198.32,201.88,201.88,22112472,0.0,1.0
2024-01-24,209.83,217.59,209.355,214.13,214.13,14253703,0.0,1.0
2024-01-23,215.35,216.85,211.13,211.5,211.5,9076878,0.0,1.0
2024-01-22,213.07,217.0,212.36,214.93,214.93,10760764,0.0,1.0
2024-01-19,210.89,215.16,209.23,215.02,215.02,14345444,0.0,1.0
2024-01-18,205.64,213.04,203.315,211.61,211.61,20046757,0.0,1.0
2024-01-17,202.63,206.3,201.65,203.06,203.06,20140113,0.0,1.0
2024-01-16,210.07,210.98,199.5,200.52,200.52,35289981,0.0,1.0
2024-01-12,219.97,222.07,217.04,217.7,217.7,11285521,0.0,1.0
2024-01-11,228.07,228.28,222.62,222.66,222.66,11830489,0.0,1.0
2024-01-10,226.9,231.6099,226.64,227.84,227.84,12883738,0.0,1.0
2024-01-09,225.66,228.7899,223.2,225.76,225.76,20687539,0.0,1.0
2024-01-08,228.0,233.85,225.79,229.0,229.0,40730433,0.0,1.0
2024-01-05,245.04,250.19,245.04,249.0,249.0,3841605,0.0,1.0
2024-01-04,244.58,248.28,244.18,244.94,244.94,5170739,0.0,1.0
2024-01-03,248.32,250.13,243.0,243.91,243.91,7219930,0.0,1.0
2024-01-02,257.28,258.59,250.87,251.76,251.76,5815219,0.0,1.0
2023-12-29,260.67,262.22,259.5613,260.66,260.66,3686554,0.0,1.0
2023-12-28,261.53,262.1,257.68,260.35,260.35,5096448,0.0,1.0
2023-12-27,262.63,264.66,260.9,262.1,262.1,3390863,0.0,1.0
2023-12-26,259.8,263.7599,259.54,262.79,262.79,3938565,0.0,1.0
2023-12-22,261.83,262.8424,259.2,260.44,260.44,4433959,0.0,1.0
2023-12-21,265.95,267.54,260.19,262.02,262.02,6487150,0.0,1.0
2023-12-20,262.25,266.1298,260.15,260.25,260.25,5151674,0.0,1.0
2023-12-19,261.04,265.34,260.8001,263.51,263.51,6061976,0.0,1.0
2023-12-18,260.63,263.13,260.25,260.41,260.41,6140097,0.0,1.0
2023-12-15,255.7,265.52,255.7,264.27,264.27,14995889,0.0,1.0
2023-12-14,250.91,257.12,249.26,256.24,256.24,7883554,0.0,1.0
2023-12-13,249.1,251.87,247.5316,250.91,250.91,5513393,0.0,1.0
2023-12-12,247.95,250.5686,247.4,248.63,248.63,5719220,0.0,1.0
2023-12-11,243.5,248.08,243.31,248.08,248.08,7545047,0.0,1.0
2023-12-08,237.32,244.7,237.32,244.7,244.7,7171150,0.0,1.0
2023-12-07,236.9,238.3,230.0,237.33,237.33,6363664,0.0,1.0
2023-12-06,234.78,239.23,234.43,236.89,236.89,4536324,0.0,1.0
2023-12-05,233.54,234.74,231.49,234.16,234.16,3589846,0.0,1.0
2023-12-04,231.3,234.94,230.07,234.87,234.87,5228476,0.0,1.0
2023-12-01,231.77,235.38,231.38,233.87,233.87,6956205,0.0,1.0
2023-11-30,225.0,233.0,224.9957,231.63,231.63,8736247,0.0,1.0
2023-11-29,223.35,224.99,221.3408,224.43,224.43,5424443,0.0,1.0
2023-11-28,222.01,224.8,219.41,222.37,222.37,7817755,0.0,1.0
2023-11-27,218.81,219.53,217.66,219.3,219.3,3691175,0.0,1.0
2023-11-24,220.61,221.59,218.96,220.0,220.0,2312134,0.0,1.0
2023-11-22,218.0,221.5,217.7,219.91,219.91,5386264,0.0,1.0
2023-11-21,216.5,219.375,216.07,218.27,218.27,5362087,0.0,1.0
2023-11-20,211.01,218.88,210.94,217.71,217.71,11587364,0.0,1.0
2023-11-17,208.36,209.42,206.82,208.04,208.04,3568495,0.0,1.0
2023-11-16,207.5,207.89,204.81,206.6,206.6,4655083,0.0,1.0
2023-11-15,208.21,211.09,207.6,208.71,208.71,5205857,0.0,1.0
2023-11-14,207.25,208.56,205.98,207.47,207.47,7280093,0.0,1.0
2023-11-13,203.49,206.8486,202.51,204.54,204.54,13040323,0.0,1.0
2023-11-10,195.0,197.26,194.21,196.65,196.65,4790114,0.0,1.0
2023-11-09,193.03,197.07,192.56,193.33,193.33,4576284,0.0,1.0
2023-11-08,191.45,192.44,190.135,191.83,191.83,2984208,0.0,1.0
2023-11-07,192.17,192.17,189.57,191.41,191.41,4012942,0.0,1.0
2023-11-06,195.88,196.15,192.46,192.95,192.95,4222214,0.0,1.0
2023-11-03,194.0,197.14,193.71,195.05,195.05,4485077,0.0,1.0
2023-11-02,190.9,192.94,190.34,192.01,192.01,4312985,0.0,1.0
2023-11-01,189.69,190.7799,187.501,189.38,189.38,5832248,0.0,1.0
2023-10-31,183.38,187.29,181.32,186.82,186.82,5043018,0.0,1.0
2023-10-30,179.42,184.16,179.42,182.35,182.35,5507130,0.0,1.0
2023-10-27,180.0,182.3299,179.01,179.69,179.69,4606334,0.0,1.0
2023-10-26,177.11,182.95,176.53,179.09,179.09,6961816,0.0,1.0
2023-10-25,186.0,187.0,176.25,177.73,177.73,13806357,0.0,1.0
2023-10-24,183.21,184.35,181.8,182.36,182.36,4652871,0.0,1.0
2023-10-23,179.44,183.72,178.43,181.03,181.03,4146153,0.0,1.0
2023-10-20,182.68,183.3899,179.85,180.04,180.04,4523502,0.0,1.0
2023-10-19,185.5,187.05,182.54,182.79,182.79,4043653,0.0,1.0
2023-10-18,187.22,190.249,185.05,185.69,185.69,6268100,0.0,1.0
2023-10-17,183.75,188.3299,183.3,185.6,185.6,5121789,0.0,1.0
2023-10-16,185.91,186.23,182.5,184.93,184.93,4700965,0.0,1.0
2023-10-13,186.27,187.29,183.175,184.91,184.91,8222731,0.0,1.0
2023-10-12,195.1,195.7,189.96,191.3,191.3,5668341,0.0,1.0
2023-10-11,195.47,199.6199,194.27,196.07,196.07,7393963,0.0,1.0
2023-10-10,190.01,194.3,188.76,193.53,193.53,8062372,0.0,1.0
2023-10-09,188.0,189.49,185.68,188.49,188.49,4575846,0.0,1.0
2023-10-06,185.37,188.64,182.55,187.38,187.38,5364252,0.0,1.0
2023-10-05,186.16,188.095,184.135,186.29,186.29,4331651,0.0,1.0
2023-10-04,188.85,190.6324,184.34,186.73,186.73,7419796,0.0,1.0
2023-10-03,188.625,192.49,188.2,188.92,188.92,7285526,0.0,1.0
2023-10-02,191.47,192.44,186.93,187.83,187.83,5244743,0.0,1.0
2023-09-29,191.92,192.95,190.17,191.68,191.68,5158379,0.0,1.0
2023-09-28,193.7,195.2615,190.03,190.43,190.43,8009511,0.0,1.0
2023-09-27,196.01,196.4,192.77,195.46,195.46,4015532,0.0,1.0
2023-09-26,197.79,199.39,195.42,195.64,195.64,3666266,0.0,1.0
2023-09-25,196.84,198.98,195.19,198.78,198.78,3527078,0.0,1.0
2023-09-22,199.96,200.74,197.14,197.71,197.71,4452352,0.0,1.0
2023-09-21,201.0,203.6,199.71,199.95,199.95,4751021,0.0,1.0
2023-09-20,205.87,206.25,202.31,202.37,202.37,3742063,0.0,1.0
2023-09-19,205.395,205.658,202.39,204.48,204.48,4043318,0.0,1.0
2023-09-18,207.91,207.91,204.98,205.12,205.12,4299153,0.0,1.0
2023-09-15,209.28,209.83,206.88,208.11,208.11,4670575,0.0,1.0
2023-09-14,209.14,210.44,208.1,209.05,209.05,3974820,0.0,1.0
2023-09-13,210.0,212.18,207.75,208.4,208.4,3538051,0.0,1.0
2023-09-12,209.35,212.26,208.58,210.65,210.65,3256455,0.0,1.0
2023-09-11,213.76,214.2,208.77,211.01,211.01,4522283,0.0,1.0
2023-09-08,215.825,216.0,210.51,211.27,211.27,5759415,0.0,1.0
2023-09-07,217.5,220.55,214.86,216.05,216.05,4929553,0.0,1.0
2023-09-06,221.77,222.7878,216.4249,217.95,217.95,4233537,0.0,1.0
2023-09-05,223.1,224.0916,221.2,222.57,222.57,3246492,0.0,1.0
2023-09-01,226.0,226.23,221.95,223.4,223.4,3658370,0.0,1.0
2023-08-31,229.33,230.4339,222.93,224.03,224.03,6953815,0.0,1.0
2023-08-30,227.08,231.17,226.65,228.85,228.85,3328306,0.0,1.0
2023-08-29,225.88,229.4,225.6638,227.25,227.25,3716672,0.0,1.0
2023-08-28,224.21,227.45,223.2901,227.06,227.06,4641752,0.0,1.0
2023-08-25,218.41,223.77,212.8801,223.41,223.41,12352323,0.0,1.0
2023-08-24,222.51,224.2,217.09,217.31,217.31,9132572,0.0,1.0
2023-08-23,230.0,230.54,227.105,228.58,228.58,3004522,0.0,1.0
2023-08-22,228.08,230.48,226.93,230.07,230.07,3012891,0.0,1.0
2023-08-21,226.8,227.6899,225.1006,227.22,227.22,2734616,0.0,1.0
2023-08-18,222.23,226.79,221.68,226.65,226.65,3583165,0.0,1.0
2023-08-17,230.57,231.64,224.26,224.54,224.54,4359411,0.0,1.0
2023-08-16,231.5,234.67,229.6002,229.95,229.95,2273333,0.0,1.0
2023-08-15,235.0,235.56,231.5401,232.26,232.26,3201850,0.0,1.0
2023-08-14,237.0,238.65,235.75,236.71,236.71,2486316,0.0,1.0
2023-08-11,237.61,238.26,235.12,235.72,235.72,2652074,0.0,1.0
2023-08-10,238.45,241.58,237.04,238.26,238.26,3710810,0.0,1.0
2023-08-09,238.54,241.24,236.4061,237.86,237.86,4044412,0.0,1.0
2023-08-08,236.52,240.73,236.0,238.04,238.04,5149186,0.0,1.0
2023-08-07,232.74,238.98,232.74,238.25,238.25,6068011,0.0,1.0
2023-08-04,232.29,234.91,230.08,231.36,231.36,3500705,0.0,1.0
2023-08-03,231.0,233.577,230.4,231.36,231.36,3285836,0.0,1.0
2023-08-02,234.985,236.68,230.69,231.38,231.38,5332961,0.0,1.0
2023-08-01,237.55,243.1,237.31,238.01,238.01,4983841,0.0,1.0
2023-07-31,238.99,239.07,236.21,238.85,238.85,4897581,0.0,1.0
2023-07-28,236.12,240.13,235.7,238.69,238.69,7059533,0.0,1.0
2023-07-27,235.245,238.67,231.83,233.75,233.75,12018316,0.0,1.0
2023-07-26,222.16,233.09,221.77,232.8,232.8,24923796,0.0,1.0
2023-07-25,214.2,214.82,210.81,214.12,214.12,6513323,0.0,1.0
2023-07-24,212.06,215.94,211.46,215.87,215.87,4898342,0.0,1.0
2023-07-21,213.89,215.6,211.64,211.8,211.8,4056796,0.0,1.0
2023-07-20,208.83,215.1,208.8,213.61,213.61,5782187,0.0,1.0
2023-07-19,211.12,211.87,208.235,208.6,208.6,4814145,0.0,1.0
2023-07-18,211.0,213.04,209.5699,211.57,211.57,5895773,0.0,1.0
2023-07-17,212.5,214.23,211.735,211.87,211.87,3621509,0.0,1.0
2023-07-14,217.0,217.016,212.81,213.12,213.12,4294849,0.0,1.0
2023-07-13,218.13,218.9,216.3,216.85,216.85,4291709,0.0,1.0
2023-07-12,219.51,221.56,216.92,217.11,217.11,5123178,0.0,1.0
2023-07-11,212.915,218.98,211.35,218.76,218.76,7458378,0.0,1.0
2023-07-10,211.84,213.59,211.22,213.31,213.31,3497125,0.0,1.0
2023-07-07,212.94,215.66,211.83,212.1,212.1,4893550,0.0,1.0
2023-07-06,212.48,213.61,209.58,212.62,212.62,4683145,0.0,1.0
2023-07-05,210.0,214.28,207.89,213.31,213.31,4928368,0.0,1.0
2023-07-03,210.5,212.1686,210.24,210.92,210.92,2143048,0.0,1.0
2023-06-30,213.14,213.24,209.38,211.16,211.16,5488713,0.0,1.0
2023-06-29,211.12,213.22,210.23,211.83,211.83,3443612,0.0,1.0
2023-06-28,211.21,212.19,209.45,210.72,210.72,4276103,0.0,1.0
2023-06-27,206.15,209.66,206.08,209.43,209.43,4465456,0.0,1.0
2023-06-26,206.11,207.09,204.66,205.58,205.58,3444885,0.0,1.0
2023-06-23,204.02,205.61,202.55,205.41,205.41,6338199,0.0,1.0
2023-06-22,205.61,208.4999,203.65,205.61,205.61,7066256,0.0,1.0
2023-06-21,211.83,212.99,209.3875,212.08,212.08,5356372,0.0,1.0
2023-06-20,218.89,219.29,211.88,212.37,212.37,8226380,0.0,1.0
2023-06-16,220.72,223.87,218.975,219.99,219.99,7803924,0.0,1.0
2023-06-15,217.17,220.61,215.31,219.41,219.41,5001432,0.0,1.0
2023-06-14,221.4,221.585,216.0313,216.9,216.9,5629070,0.0,1.0
2023-06-13,222.35,223.12,219.35,220.38,220.38,5880966,0.0,1.0
2023-06-12,217.16,223.91,216.63,221.56,221.56,8072612,0.0,1.0
2023-06-09,217.99,219.1574,215.69,217.31,217.31,5300206,0.0,1.0
2023-06-08,212.34,220.0,212.05,218.11,218.11,9364667,0.0,1.0
2023-06-07,207.99,212.38,207.2,211.93,211.93,6462432,0.0,1.0
2023-06-06,208.37,211.68,200.61,207.29,207.29,10957198,0.0,1.0
2023-06-05,213.28,213.28,207.5,208.78,208.78,4996800,0.0,1.0
2023-06-02,210.0,215.24,210.0,213.32,213.32,7486308,0.0,1.0
2023-06-01,206.46,210.23,206.0,207.96,207.96,5125109,0.0,1.0
2023-05-31,203.5,206.19,200.91,205.7,205.7,5445360,0.0,1.0
2023-05-30,204.09,207.7999,203.3101,204.69,204.69,3978166,0.0,1.0
2023-05-26,201.6,204.8,201.18,203.63,203.63,3820301,0.0,1.0
2023-05-25,199.99,201.75,196.6,200.87,200.87,3909225,0.0,1.0
2023-05-24,201.32,201.32,197.5,199.27,199.27,4371635,0.0,1.0
2023-05-23,204.58,207.4891,202.445,202.6,202.6,4011110,0.0,1.0
2023-05-22,205.51,206.98,203.9,205.91,205.91,3094296,0.0,1.0
2023-05-19,208.11,208.37,204.63,205.49,205.49,3896195,0.0,1.0
2023-05-18,206.45,208.17,204.01,207.24,207.24,4349708,0.0,1.0
2023-05-17,202.71,208.58,202.71,206.87,206.87,6641940,0.0,1.0
2023-05-16,201.82,202.36,199.9401,200.87,200.87,3013181,0.0,1.0
2023-05-15,200.01,203.32,198.65,202.77,202.77,2842669,0.0,1.0
2023-05-12,201.84,203.11,198.82,200.7,200.7,3169771,0.0,1.0
2023-05-11,199.39,202.55,198.07,201.84,201.84,3322037,0.0,1.0
2023-05-10,203.14,203.2,198.25,200.84,200.84,3923706,0.0,1.0
