,ICE_Open,ICE_High,ICE_Low,ICE_Close,ICE_Adj Close,ICE_Volume,ICE_Dividend Amount,ICE_Split Coefficient
2024-08-23,158.98,160.25,158.87,160.01,159.566513303769,2665237,0.0,1.0
2024-08-22,158.11,158.7,157.4,158.6,158.160421286031,2288784,0.0,1.0
2024-08-21,157.76,158.46,156.96,158.11,157.671779379157,2179746,0.0,1.0
2024-08-20,157.5,157.85,156.49,157.75,157.312777161863,2029054,0.0,1.0
2024-08-19,156.54,157.485,156.23,157.27,156.834107538803,1369275,0.0,1.0
2024-08-16,155.87,156.68,155.19,156.54,156.106130820399,2004523,0.0,1.0
2024-08-15,156.71,157.18,154.53,155.5,155.069013303769,2659721,0.0,1.0
2024-08-14,154.87,156.54,153.8,156.12,155.687294900222,1994604,0.0,1.0
2024-08-13,154.6,155.16,152.87,154.66,154.231341463415,3558235,0.0,1.0
2024-08-12,154.0,154.63,152.98,153.89,153.463475609756,2829238,0.0,1.0
2024-08-09,153.73,154.3799,152.83,154.08,153.652949002217,2787425,0.0,1.0
2024-08-08,151.53,154.02,150.95,153.76,153.333835920177,3647876,0.0,1.0
2024-08-07,151.51,152.63,150.77,151.12,150.701152993348,3314788,0.0,1.0
2024-08-06,149.22,152.13,148.17,150.51,150.09284368071,2949180,0.0,1.0
2024-08-05,152.39,152.39,146.67,148.78,148.367638580931,4003335,0.0,1.0
2024-08-02,150.0,151.97,148.47,149.85,149.434672949002,4482290,0.0,1.0
2024-08-01,150.28,153.28,148.33,151.0,150.581485587583,4537037,0.0,1.0
2024-07-31,152.48,152.96,151.3,151.56,151.139933481153,3890374,0.0,1.0
2024-07-30,151.36,152.375,151.15,151.3,150.880654101996,2477835,0.0,1.0
2024-07-29,151.1,151.5,150.39,151.16,150.741042128603,1186143,0.0,1.0
2024-07-26,149.75,151.72,149.555,151.0,150.581485587583,2066933,0.0,1.0
2024-07-25,148.0,150.39,147.56,149.03,148.616945676275,3164947,0.0,1.0
2024-07-24,148.25,149.05,147.18,147.51,147.101158536585,2939505,0.0,1.0
2024-07-23,149.92,150.0,148.38,148.57,148.158220620843,3545719,0.0,1.0
2024-07-22,147.75,149.4699,147.75,149.24,148.826363636364,2697286,0.0,1.0
2024-07-19,148.57,148.57,146.69,147.68,147.270687361419,2584682,0.0,1.0
2024-07-18,149.09,149.595,147.45,147.76,147.350465631929,3255482,0.0,1.0
2024-07-17,148.6,149.52,148.18,149.41,148.995892461197,2794295,0.0,1.0
2024-07-16,148.04,149.3501,147.61,148.92,148.507250554324,3823676,0.0,1.0
2024-07-15,148.91,149.11,147.475,147.82,147.410299334812,2950915,0.0,1.0
2024-07-12,147.73,149.44,147.5,148.4,147.988691796009,3718928,0.0,1.0
2024-07-11,145.45,147.32,145.21,147.15,146.74215631929,3340340,0.0,1.0
2024-07-10,143.0,144.47,142.78,144.41,144.009750554324,2873941,0.0,1.0
2024-07-09,141.31,142.49,140.32,142.46,142.065155210643,2368078,0.0,1.0
2024-07-08,141.13,142.19,140.84,141.17,140.77873059867,2307444,0.0,1.0
2024-07-05,141.16,141.16,139.61,140.79,140.399783813747,2099926,0.0,1.0
2024-07-03,141.25,141.5899,140.25,141.16,140.768758314856,2070106,0.0,1.0
2024-07-02,137.11,140.975,136.96,140.82,140.429700665188,3321015,0.0,1.0
2024-07-01,138.65,138.7,136.25,136.93,136.550482261641,2386077,0.0,1.0
2024-06-28,137.81,138.09,136.205,136.89,136.510593126386,4067356,0.0,1.0
2024-06-27,137.21,137.6231,136.6,137.47,137.088985587583,2112338,0.0,1.0
2024-06-26,136.66,137.7,136.59,137.39,137.009207317073,2389233,0.0,1.0
2024-06-25,138.66,139.09,136.62,137.33,136.949373614191,2249952,0.0,1.0
2024-06-24,138.12,139.55,137.49,138.72,138.335521064302,2368898,0.0,1.0
2024-06-21,136.96,137.98,136.08,137.84,137.457960088692,4999394,0.0,1.0
2024-06-20,135.63,137.39,134.78,137.11,136.729983370288,2286099,0.0,1.0
2024-06-18,136.21,136.93,135.42,136.38,136.002006651885,3034583,0.0,1.0
2024-06-17,134.98,136.43,133.97,136.2,135.822505543237,2077180,0.0,1.0
2024-06-14,134.68,135.835,134.0,135.67,135.293974501109,1515311,0.0,1.0
2024-06-13,135.53,135.675,134.57,135.26,134.885110864745,1971486,0.45,1.0
2024-06-12,136.36,137.315,135.99,136.05,135.223044235123,3516369,0.0,1.0
2024-06-11,133.58,134.71,132.93,134.59,133.771918585852,2427216,0.0,1.0
2024-06-10,133.5,134.41,133.07,133.88,133.066234194769,2322981,0.0,1.0
2024-06-07,134.35,134.8,133.56,133.79,132.976781243786,2843907,0.0,1.0
2024-06-06,135.63,135.65,134.32,134.86,134.0402774388,1242808,0.0,1.0
2024-06-05,134.5,135.8,133.195,135.34,134.517359844039,2259261,0.0,1.0
2024-06-04,133.16,135.31,132.91,134.76,133.940885271041,2235148,0.0,1.0
2024-06-03,134.4,134.83,132.565,133.65,132.837632208925,2043473,0.0,1.0
2024-05-31,133.33,134.325,132.92,133.9,133.08611262832,2964473,0.0,1.0
2024-05-30,132.33,133.595,131.79,133.24,132.430124321116,2844907,0.0,1.0
2024-05-29,132.71,132.96,131.87,131.95,131.147965357034,1471442,0.0,1.0
2024-05-28,136.37,136.62,133.6,133.68,132.867449859252,1815510,0.0,1.0
2024-05-24,135.81,136.55,135.71,136.34,135.511281521622,926069,0.0,1.0
2024-05-23,137.57,137.57,134.82,135.4,134.576995144694,1595887,0.0,1.0
2024-05-22,136.48,137.5,135.77,136.89,136.057938444293,1295663,0.0,1.0
2024-05-21,137.15,137.55,136.61,137.27,136.435628681774,1681678,0.0,1.0
2024-05-20,137.85,138.09,136.84,136.95,136.117573744948,1418673,0.0,1.0
2024-05-17,137.81,138.46,137.01,138.4,137.558760177442,2060689,0.0,1.0
2024-05-16,137.81,138.5,137.04,137.11,136.276601213361,2205818,0.0,1.0
2024-05-15,134.89,138.12,134.89,137.87,137.031981688324,2508539,0.0,1.0
2024-05-14,134.25,134.62,133.47,134.39,133.573134250336,1415830,0.0,1.0
2024-05-13,134.4,134.985,133.56,133.74,132.927085159907,1473830,0.0,1.0
2024-05-10,135.28,135.89,133.445,133.99,133.175565579303,1933299,0.0,1.0
2024-05-09,133.4,135.05,133.1,134.95,134.129730389782,1474231,0.0,1.0
2024-05-08,133.29,133.82,132.2469,133.39,132.579212572753,1405234,0.0,1.0
2024-05-07,132.22,133.79,131.6,133.72,132.907206726355,2397924,0.0,1.0
2024-05-06,130.82,131.78,130.39,131.28,130.482037833054,1738908,0.0,1.0
2024-05-03,127.8,131.68,127.8,130.5,129.706778924539,3991238,0.0,1.0
2024-05-02,129.35,130.2,124.34,126.54,125.770849081312,4364062,0.0,1.0
2024-05-01,128.83,130.47,128.45,128.68,127.897841471339,3116764,0.0,1.0
2024-04-30,130.05,130.707,128.74,128.76,127.977355205545,2304680,0.0,1.0
2024-04-29,131.65,132.87,130.52,130.78,129.985076994262,1557886,0.0,1.0
2024-04-26,131.74,132.3,130.89,131.7,130.899484937639,2406708,0.0,1.0
2024-04-25,131.96,132.045,130.43,131.82,131.018755538948,1923011,0.0,1.0
2024-04-24,132.0,132.645,131.04,132.57,131.764196797135,2498871,0.0,1.0
2024-04-23,132.0,132.47,131.4,132.33,131.525655594516,2375856,0.0,1.0
2024-04-22,132.1,132.37,131.115,131.65,130.849788853759,1877355,0.0,1.0
2024-04-19,131.37,131.78,130.24,131.21,130.412463315623,2263528,0.0,1.0
2024-04-18,131.5,131.5,130.18,130.98,130.183861329779,2014993,0.0,1.0
2024-04-17,132.0,132.0,130.0,130.74,129.945320127159,2362363,0.0,1.0
2024-04-16,130.6,131.31,129.46,129.9,129.11042591799,2637594,0.0,1.0
2024-04-15,134.81,134.85,130.16,130.54,129.746535791643,2264775,0.0,1.0
2024-04-12,132.8,134.49,132.65,133.55,132.738240041166,3255756,0.0,1.0
2024-04-11,132.98,134.33,132.335,133.48,132.668665523736,2256639,0.0,1.0
2024-04-10,133.48,134.81,132.4466,132.94,132.131947817841,2151886,0.0,1.0
2024-04-09,137.43,137.75,134.545,135.06,134.239061774316,2134307,0.0,1.0
2024-04-08,138.2,138.2,136.79,136.88,136.047999227517,1979279,0.0,1.0
2024-04-05,136.74,137.98,136.06,137.87,137.031981688324,1961099,0.0,1.0
2024-04-04,138.25,138.8696,136.25,136.7,135.869093325552,2657605,0.0,1.0
2024-04-03,137.33,138.16,136.66,137.39,136.554899283084,2423418,0.0,1.0
2024-04-02,136.87,137.53,136.02,137.5,136.664230667618,1833070,0.0,1.0
2024-04-01,137.66,137.98,136.23,137.03,136.197087479154,1640501,0.0,1.0
2024-03-28,137.36,137.939,136.36,137.43,136.594656150187,2596799,0.0,1.0
2024-03-27,138.16,138.47,136.04,136.98,136.147391395275,2050604,0.0,1.0
2024-03-26,136.08,137.95,135.99,137.12,136.286540430137,2555069,0.0,1.0
2024-03-25,136.08,136.36,135.26,135.81,134.984503032503,1984457,0.0,1.0
2024-03-22,138.25,138.39,135.99,136.23,135.401950137088,2024105,0.0,1.0
2024-03-21,136.37,138.642,135.934,138.1,137.260583674168,2640878,0.0,1.0
2024-03-20,135.27,136.42,134.15,136.1,135.272740319002,2243153,0.0,1.0
2024-03-19,134.52,136.505,134.425,135.5,134.676387312453,4332424,0.0,1.0
2024-03-18,135.12,135.63,134.17,134.4,133.583073467112,3721405,0.0,1.0
2024-03-15,134.21,135.915,134.17,134.64,133.821614669732,6698268,0.0,1.0
2024-03-14,136.88,137.035,134.61,135.45,134.626691228574,2359245,0.45,1.0
2024-03-13,136.97,137.71,136.74,137.47,136.181981186107,2106962,0.0,1.0
2024-03-12,137.05,138.22,136.64,136.99,135.706478523932,1870031,0.0,1.0
2024-03-11,136.51,137.51,135.0,136.97,135.686665913008,2340392,0.0,1.0
2024-03-08,138.18,139.86,138.18,138.66,137.360831536085,1315967,0.0,1.0
2024-03-07,140.0,140.43,138.34,138.85,137.549051339863,2403114,0.0,1.0
2024-03-06,138.66,139.8,137.51,139.43,138.123617056659,2030529,0.0,1.0
2024-03-05,137.88,139.83,137.8,139.42,138.113710751197,2483729,0.0,1.0
2024-03-04,138.05,138.6822,137.5,138.07,136.776359513827,1858963,0.0,1.0
2024-03-01,138.07,138.74,137.22,138.57,137.271674786927,1423694,0.0,1.0
2024-02-29,139.0,139.73,138.25,138.42,137.123080204997,2873185,0.0,1.0
2024-02-28,138.62,139.69,138.454,138.84,137.539145034401,1646278,0.0,1.0
2024-02-27,137.76,138.9507,137.3901,138.63,137.331112619699,2023626,0.0,1.0
2024-02-26,138.45,138.93,137.815,137.91,136.617858626435,2446601,0.0,1.0
2024-02-23,139.43,139.78,138.05,138.38,137.083454983149,2173964,0.0,1.0
2024-02-22,138.29,139.99,137.54,139.29,137.984928780191,2840004,0.0,1.0
2024-02-21,136.01,137.12,135.42,136.69,135.409289360072,2585387,0.0,1.0
2024-02-20,136.23,137.15,135.9431,136.43,135.15172541806,2501489,0.0,1.0
2024-02-16,137.23,138.34,136.991,137.12,135.835260494938,2084174,0.0,1.0
2024-02-15,136.93,137.92,136.68,136.89,135.607415469311,2020268,0.0,1.0
2024-02-14,135.19,136.73,134.84,136.66,135.379570443686,2125500,0.0,1.0
2024-02-13,134.03,135.35,133.66,134.41,133.150651714736,3024660,0.0,1.0
2024-02-12,135.79,136.22,134.68,135.46,134.190813788246,2099325,0.0,1.0
2024-02-09,134.51,135.74,132.92,135.49,134.220532704632,4066642,0.0,1.0
2024-02-08,132.03,135.98,131.0009,134.12,132.863368856338,5492063,0.0,1.0
2024-02-07,126.63,128.21,126.36,128.08,126.87996035729,2243813,0.0,1.0
2024-02-06,126.72,127.15,125.72,126.33,125.14635690144,2901394,0.0,1.0
2024-02-05,127.99,127.99,126.52,126.75,125.562421730844,2405461,0.0,1.0
2024-02-02,129.6,129.96,127.68,128.7,127.494151295934,1810926,0.0,1.0
2024-02-01,127.07,129.86,127.07,129.73,128.51450075852,2380753,0.0,1.0
2024-01-31,129.35,129.925,127.0,127.33,126.13698744764,2406466,0.0,1.0
2024-01-30,128.22,129.4,128.02,129.02,127.811153070718,1646911,0.0,1.0
2024-01-29,127.19,128.195,126.84,128.18,126.97902341191,1934382,0.0,1.0
2024-01-26,127.09,127.64,126.35,127.26,126.067643309406,1497760,0.0,1.0
2024-01-25,127.49,127.72,126.24,127.29,126.097362225792,2043478,0.0,1.0
2024-01-24,127.58,127.58,126.345,127.04,125.849704589242,2277876,0.0,1.0
2024-01-23,127.13,127.7,126.7701,127.14,125.948767643862,1543472,0.0,1.0
2024-01-22,126.8,127.79,126.72,127.3,126.107268531254,1904619,0.0,1.0
2024-01-19,127.09,127.31,125.69,126.45,125.265232566984,3047186,0.0,1.0
2024-01-18,125.77,126.76,125.39,126.63,125.4435460653,2267324,0.0,1.0
2024-01-17,125.13,126.28,124.6457,125.83,124.65104162834,1535656,0.0,1.0
2024-01-16,126.47,126.835,125.845,126.03,124.84916773758,2289140,0.0,1.0
2024-01-12,127.31,127.89,126.64,126.96,125.770454145546,1554986,0.0,1.0
2024-01-11,127.8,128.1599,126.17,126.77,125.582234341768,1723347,0.0,1.0
2024-01-10,127.22,127.69,126.18,127.65,126.453989222424,1977072,0.0,1.0
2024-01-09,127.71,128.5,126.72,127.04,125.849704589242,1835604,0.0,1.0
2024-01-08,127.16,128.5,126.95,128.41,127.206868437536,3165501,0.0,1.0
2024-01-05,125.77,126.23,125.07,125.79,124.611416406492,2059834,0.0,1.0
2024-01-04,124.85,126.51,124.36,125.62,124.443009213638,2845493,0.0,1.0
2024-01-03,126.06,126.28,124.79,124.81,123.640598471216,3102087,0.0,1.0
2024-01-02,128.02,128.42,125.7,126.45,125.265232566984,2228019,0.0,1.0
2023-12-29,128.62,129.16,127.67,128.43,127.22668104846,2966447,0.0,1.0
2023-12-28,127.88,128.74,127.84,128.6,127.395088241314,2895699,0.0,1.0
2023-12-27,126.83,127.84,126.42,127.79,126.592677498892,2201859,0.0,1.0
2023-12-26,125.75,126.9,125.75,126.65,125.463358676224,2031984,0.0,1.0
2023-12-22,124.91,125.91,124.3,125.72,124.542072268258,2237027,0.0,1.0
2023-12-21,122.72,124.33,122.65,124.23,123.06603275442,1895378,0.0,1.0
2023-12-20,123.57,124.05,122.31,122.36,121.213553633026,2350514,0.0,1.0
2023-12-19,123.56,123.96,123.07,123.77,122.610342703168,1783865,0.0,1.0
2023-12-18,123.19,123.85,122.42,123.56,122.402310288466,1999391,0.0,1.0
2023-12-15,122.98,123.395,121.555,123.1,121.946620237214,4795557,0.0,1.0
2023-12-14,122.72,125.02,122.42,123.33,122.17446526284,5157051,0.0,1.0
2023-12-13,117.81,121.73,117.49,121.54,120.401236585142,4580022,0.42,1.0
2023-12-12,116.46,118.06,116.21,117.93,116.422743772432,4208060,0.0,1.0
2023-12-11,113.92,116.73,113.87,116.14,114.655621654628,3433095,0.0,1.0
2023-12-08,112.34,113.44,112.2,113.34,111.891408285996,2505801,0.0,1.0
2023-12-07,113.32,113.64,111.82,112.53,111.091760847213,2880086,0.0,1.0
2023-12-06,114.31,114.66,112.555,113.08,111.634731330337,1931715,0.0,1.0
2023-12-05,114.71,114.8608,113.64,114.08,112.621950390563,2821416,0.0,1.0
2023-12-04,113.91,115.27,113.81,115.03,113.559808497777,3818170,0.0,1.0
2023-12-01,113.2,114.27,112.72,114.24,112.779905440199,3492138,0.0,1.0
2023-11-30,112.85,113.91,112.68,113.84,112.385017816108,6601308,0.0,1.0
2023-11-29,113.8,113.8,112.55,112.69,111.249715896849,2376919,0.0,1.0
2023-11-28,112.96,113.91,112.68,112.78,111.338565612269,3058504,0.0,1.0
2023-11-27,114.22,114.31,112.99,113.14,111.69396447395,2240809,0.0,1.0
2023-11-24,114.46,114.76,113.77,114.39,112.927988299233,809527,0.0,1.0
2023-11-22,113.93,114.91,113.6547,114.32,112.858882965017,2481650,0.0,1.0
2023-11-21,112.38,113.8225,112.24,113.45,112.00000238262,2050318,0.0,1.0
2023-11-20,111.17,112.36,110.64,112.15,110.716617604327,1749421,0.0,1.0
2023-11-17,112.65,112.65,111.31,111.4,109.976203309157,1785478,0.0,1.0
2023-11-16,111.83,112.42,111.53,112.27,110.835083891554,2430888,0.0,1.0
2023-11-15,110.23,111.31,110.11,111.05,109.630676638078,2130281,0.0,1.0
2023-11-14,109.0,111.635,108.94,110.45,109.038345201943,2359862,0.0,1.0
2023-11-13,109.4,109.532,108.62,108.66,107.271223084139,1562753,0.0,1.0
2023-11-10,109.17,110.06,108.555,109.78,108.376908431592,2422680,0.0,1.0
2023-11-09,109.66,109.73,108.44,108.55,107.162628987514,2220632,0.0,1.0
2023-11-08,108.31,109.36,107.76,109.17,107.774704804854,2686642,0.0,1.0
2023-11-07,108.11,108.58,107.79,108.22,106.836846697639,2296482,0.0,1.0
2023-11-06,108.0,108.45,107.4,107.79,106.412342501742,1702061,0.0,1.0
2023-11-03,106.55,108.56,106.43,107.91,106.530808788969,3156402,0.0,1.0
2023-11-02,106.89,108.355,104.91,106.26,104.901897339597,5667152,0.0,1.0
2023-11-01,107.7,108.87,107.62,108.25,106.866463269446,2643226,0.0,1.0
2023-10-31,106.24,107.54,105.96,107.44,106.066815830663,2401553,0.0,1.0
2023-10-30,105.3,106.44,105.04,106.03,104.674836955745,1413655,0.0,1.0
2023-10-27,107.23,107.58,104.49,104.72,103.381579986849,2508730,0.0,1.0
2023-10-26,106.01,108.0313,105.78,107.29,105.918732971629,2725544,0.0,1.0
2023-10-25,106.66,107.05,105.68,106.73,105.365890297903,3103909,0.0,1.0
2023-10-24,108.0,109.12,106.7,106.93,105.563334109948,2785033,0.0,1.0
2023-10-23,107.53,108.67,107.45,107.71,106.333364976924,2627719,0.0,1.0
2023-10-20,110.03,110.05,107.97,108.02,106.639402885594,1952031,0.0,1.0
2023-10-19,109.34,110.42,108.95,109.57,108.169592428944,2693902,0.0,1.0
2023-10-18,111.57,112.38,109.44,109.64,108.23869776316,3336770,0.0,1.0
2023-10-17,111.55,112.77,111.1,111.76,110.331602170839,3162299,0.0,1.0
2023-10-16,111.13,112.12,110.74,111.92,110.489557220475,1556602,0.0,1.0
2023-10-13,110.85,111.442,109.74,110.43,109.018600820738,1512350,0.0,1.0
2023-10-12,112.04,112.11,110.155,110.77,109.354255301215,1794166,0.0,1.0
2023-10-11,112.18,112.485,110.838,111.45,110.025564262169,1302246,0.0,1.0
2023-10-10,111.94,112.58,111.2,111.76,110.331602170839,1425297,0.0,1.0
2023-10-09,110.48,112.41,110.44,112.13,110.696873223122,2442751,0.0,1.0
2023-10-06,109.35,111.37,108.7,110.88,109.46284939784,2078641,0.0,1.0
2023-10-05,108.72,109.81,108.51,109.69,108.288058716171,1368671,0.0,1.0
2023-10-04,108.03,109.11,107.02,109.03,107.636494136422,2750345,0.0,1.0
2023-10-03,108.99,109.27,107.02,107.59,106.214898689697,2786420,0.0,1.0
2023-10-02,109.42,109.7872,108.21,109.22,107.824065757865,2320444,0.0,1.0
2023-09-29,111.34,111.44,109.26,110.02,108.613841006046,2960847,0.0,1.0
2023-09-28,108.72,111.32,108.675,110.82,109.403616254226,3271147,0.0,1.0
2023-09-27,107.79,108.61,107.24,108.27,106.886207650651,3876388,0.0,1.0
2023-09-26,108.42,108.53,107.16,107.23,105.859499828016,3731650,0.0,1.0
2023-09-25,109.88,110.09,109.01,109.18,107.784576995456,2569270,0.0,1.0
2023-09-22,111.84,112.42,110.06,110.17,108.76192386508,2268511,0.0,1.0
2023-09-21,114.8,114.99,112.37,112.42,110.983166750588,2362165,0.0,1.0
2023-09-20,115.89,116.45,115.14,115.35,113.875718597049,1621185,0.0,1.0
2023-09-19,116.08,116.34,115.42,115.47,113.994184884277,2091547,0.0,1.0
2023-09-18,115.45,116.22,115.37,115.89,114.408816889571,1593266,0.0,1.0
2023-09-15,116.17,117.07,115.39,115.72,114.240989649333,3817888,0.0,1.0
2023-09-14,117.14,117.14,115.78,116.9,115.4059081404,1828473,0.42,1.0
2023-09-13,115.72,116.96,115.11,116.77,114.864881465687,3169931,0.0,1.0
2023-09-12,114.92,116.21,114.75,115.99,114.097607272459,2367349,0.0,1.0
2023-09-11,115.43,115.43,114.45,115.03,113.153269803871,1703986,0.0,1.0
2023-09-08,115.43,115.48,114.53,114.96,113.084411863453,2177742,0.0,1.0
2023-09-07,113.49,115.49,112.975,115.23,113.350006776494,2622796,0.0,1.0
2023-09-06,114.86,115.0,112.32,113.61,111.756437298251,3594199,0.0,1.0
2023-09-05,115.805,116.01,114.49,114.64,112.769632707257,4402002,0.0,1.0
2023-09-01,118.69,118.69,116.43,117.01,115.100965832835,5990787,0.0,1.0
2023-08-31,118.12,118.32,117.66,117.99,116.064976998685,2713339,0.0,1.0
2023-08-30,118.64,118.79,117.71,117.9,115.976445361005,2801622,0.0,1.0
2023-08-29,117.58,118.63,117.3,118.57,116.635514219291,2433855,0.0,1.0
2023-08-28,116.3,117.59,116.055,117.5,115.58297141576,1831996,0.0,1.0
2023-08-25,115.63,116.35,114.84,115.8,113.910707148468,1500074,0.0,1.0
2023-08-24,114.84,116.185,114.775,115.26,113.379517322387,1618812,0.0,1.0
2023-08-23,113.99,115.15,113.1397,114.83,112.956532831249,1788049,0.0,1.0
2023-08-22,113.98,114.06,112.93,113.25,111.40231074753,2877589,0.0,1.0
2023-08-21,113.56,114.1,113.1,113.86,112.002358514029,2340011,0.0,1.0
2023-08-18,112.8,114.0,112.7024,113.75,111.894153179087,3858708,0.0,1.0
2023-08-17,114.31,114.8,113.205,113.61,111.756437298251,1518582,0.0,1.0
2023-08-16,113.97,114.82,113.51,113.97,112.110563848971,1565592,0.0,1.0
2023-08-15,114.36,115.19,113.82,114.11,112.248279729807,1491192,0.0,1.0
2023-08-14,113.92,115.01,113.64,114.92,113.045064468929,1546749,0.0,1.0
2023-08-11,114.73,114.85,113.65,113.99,112.130237546234,1484657,0.0,1.0
2023-08-10,114.65,115.7,114.51,114.8,112.927022285355,1778154,0.0,1.0
2023-08-09,113.51,115.4099,113.445,114.2,112.336811367487,1465940,0.0,1.0
2023-08-08,116.19,116.28,114.23,114.87,112.995880225773,1966970,0.0,1.0
2023-08-07,114.17,116.08,114.04,116.07,114.176302061508,3190988,0.0,1.0
2023-08-04,113.33,116.5,112.93,114.0,112.140074394865,2743091,0.0,1.0
2023-08-03,110.0,112.24,107.31,112.07,110.241562609057,5017086,0.0,1.0
2023-08-02,115.0,115.215,114.195,115.0,113.123759257978,2017600,0.0,1.0
2023-08-01,114.03,115.22,113.78,115.04,113.163106652502,1995495,0.0,1.0
2023-07-31,115.17,115.21,114.34,114.8,112.927022285355,1939067,0.0,1.0
2023-07-28,115.68,116.24,114.67,115.13,113.251638290182,1630710,0.0,1.0
2023-07-27,117.0,117.23,114.82,114.93,113.05490131756,2237702,0.0,1.0
2023-07-26,116.23,116.795,115.33,116.73,114.825534071163,1616928,0.0,1.0
2023-07-25,115.65,116.73,115.2,116.54,114.638633947171,1850078,0.0,1.0
2023-07-24,116.5,116.76,115.605,116.28,114.382875882762,3312491,0.0,1.0
2023-07-21,116.05,116.39,115.48,116.22,114.323854790975,1608291,0.0,1.0
2023-07-20,115.65,115.99,114.98,115.63,113.743480721739,1986520,0.0,1.0
2023-07-19,116.0,117.175,115.55,115.66,113.772991267632,3044802,0.0,1.0
2023-07-18,116.15,117.04,115.88,116.07,114.176302061508,2600263,0.0,1.0
2023-07-17,116.73,117.72,113.76,116.64,114.737002433483,2818743,0.0,1.0
2023-07-14,116.97,117.85,116.28,117.51,115.592808264391,2115721,0.0,1.0
2023-07-13,115.69,117.18,115.51,117.04,115.130476378728,1997130,0.0,1.0
2023-07-12,115.54,115.94,114.79,115.38,113.497559505961,1980696,0.0,1.0
2023-07-11,113.31,114.49,113.02,114.41,112.543385188741,2355276,0.0,1.0
2023-07-10,112.6,113.6,112.41,113.16,111.31377910985,1249023,0.0,1.0
2023-07-07,112.03,112.9,111.43,112.29,110.457973278942,1642708,0.0,1.0
2023-07-06,111.68,112.91,111.67,112.0,110.172704668639,2989315,0.0,1.0
2023-07-05,112.31,112.86,111.505,112.31,110.477646976204,2227877,0.0,1.0
2023-07-03,112.52,112.93,111.41,112.93,111.087531591334,1484325,0.0,1.0
2023-06-30,113.15,114.11,112.86,113.08,111.235084320801,3124900,0.0,1.0
2023-06-29,111.68,112.32,111.17,112.28,110.448136430311,1725217,0.0,1.0
2023-06-28,111.03,111.87,110.5286,111.72,109.897272906968,1774469,0.0,1.0
2023-06-27,110.57,111.0,110.0,110.87,109.061140773322,1708476,0.0,1.0
2023-06-26,110.97,111.1,109.78,110.13,108.333213974618,2639979,0.0,1.0
2023-06-23,110.5,111.32,109.92,111.09,109.277551443206,2727919,0.0,1.0
2023-06-22,111.02,111.08,110.19,110.68,108.87424064933,1427629,0.0,1.0
2023-06-21,112.1,112.1,110.78,111.2,109.385756778149,1885337,0.0,1.0
2023-06-20,111.21,112.48,110.9,112.17,110.339931095368,3490077,0.0,1.0
2023-06-16,112.82,113.065,111.4,111.68,109.857925512443,3806189,0.0,1.0
2023-06-15,110.87,113.15,110.75,112.38,110.546504916622,2220683,0.0,1.0
2023-06-14,108.76,110.84,108.52,110.67,108.864403800699,2096865,0.42,1.0
