,OGS_Open,OGS_High,OGS_Low,OGS_Close,OGS_Adj Close,OGS_Volume,OGS_Dividend Amount,OGS_Split Coefficient
2019-12-19,94.59,95.5,94.59,94.86,81.1844493084892,597554,0.0,1.0
2019-12-18,93.77,95.33,93.22,94.97,81.2785910903144,544337,0.0,1.0
2019-12-17,92.45,93.68,92.45,93.57,80.0804229579943,568358,0.0,1.0
2019-12-16,90.49,92.53,90.49,92.49,79.1561218273473,467043,0.0,1.0
2019-12-13,89.86,90.95,89.48,90.75,77.6669700057495,228870,0.0,1.0
2019-12-12,89.78,90.64,89.44,90.0,77.025094220578,259830,0.0,1.0
2019-12-11,89.35,90.09,89.11,90.08,77.0935609709963,234661,0.0,1.0
2019-12-10,88.42,89.08,88.33,89.02,76.1863765279539,143496,0.0,1.0
2019-12-09,88.95,89.02,88.19,88.46,75.7071092750259,181814,0.0,1.0
2019-12-06,88.99,89.96,88.8,88.8,75.9980929643036,220566,0.0,1.0
2019-12-05,88.46,89.07,88.46,89.0,76.1692598403494,184129,0.0,1.0
2019-12-04,88.0,88.97,88.0,88.63,75.8526011196648,321863,0.0,1.0
2019-12-03,88.43,88.78,87.49,87.88,75.2107253344933,228060,0.0,1.0
2019-12-02,88.64,88.99,88.27,88.37,75.6300841808053,207116,0.0,1.0
2019-11-29,89.5,90.04,88.86,88.87,76.0580013709196,115260,0.0,1.0
2019-11-27,89.37,89.91,88.93,89.83,76.8796023759391,263364,0.0,1.0
2019-11-26,88.62,89.77,88.52,89.45,76.5543853114523,233568,0.0,1.0
2019-11-25,88.14,88.58,87.89,88.52,75.7584593378396,229220,0.0,1.0
2019-11-22,87.8,88.38,86.99,87.8,75.142258584075,188193,0.0,1.0
2019-11-21,87.6,87.73,86.54,87.52,74.902624957611,204220,0.0,1.0
2019-11-20,87.67,88.23,87.21,87.65,75.0138834270407,317665,0.0,1.0
2019-11-19,88.19,88.85,87.87,87.92,75.2449587097024,163599,0.0,1.0
2019-11-18,88.42,89.3,88.06,88.13,75.4246839295504,279971,0.0,1.0
2019-11-15,89.0,89.02,87.94,88.5,75.741342650235,284111,0.0,1.0
2019-11-14,87.16,88.96,86.85,88.95,76.1264681213379,652434,0.0,1.0
2019-11-13,85.2,86.95,85.2,86.79,74.2778658600441,221249,0.0,1.0
2019-11-12,86.03,86.03,84.9,85.42,73.1053727591308,239097,0.0,1.0
2019-11-11,86.21,86.45,85.88,86.15,73.7301318566977,159510,0.0,1.0
2019-11-08,87.2,87.54,85.79,86.32,73.8756237013366,210470,0.5,1.0
2019-11-07,89.25,89.48,87.24,88.17,75.0243462537071,201843,0.0,1.0
2019-11-06,88.97,89.72,88.66,89.31,75.9943786312644,222574,0.0,1.0
2019-11-05,89.56,89.89,88.14,88.8,75.5604167781466,258784,0.0,1.0
2019-11-04,92.27,92.49,89.4,89.96,76.5474672675909,258846,0.0,1.0
2019-11-01,92.97,93.38,91.85,92.27,78.5130591905359,182075,0.0,1.0
2019-10-31,93.1,93.64,92.26,92.84,78.9980753793146,243085,0.0,1.0
2019-10-30,92.33,92.97,91.9,92.91,79.0576387709189,207924,0.0,1.0
2019-10-29,92.75,93.3,91.71,92.35,78.5811316380838,212698,0.0,1.0
2019-10-28,94.25,94.62,93.32,93.32,79.4065100646018,116979,0.0,1.0
2019-10-25,95.55,95.55,94.14,94.24,80.1893432114024,115862,0.0,1.0
2019-10-24,95.0,95.43,94.9,95.21,81.0147216379205,85535,0.0,1.0
2019-10-23,95.39,95.39,94.66,95.01,80.8445405190508,178748,0.0,1.0
2019-10-22,95.47,95.83,94.84,94.9,80.7509409036725,142689,0.0,1.0
2019-10-21,95.26,95.61,94.92,95.36,81.1423574770728,110751,0.0,1.0
2019-10-18,94.39,95.26,93.99,95.07,80.8955948547117,133534,0.0,1.0
2019-10-17,93.45,94.78,93.19,94.63,80.5211963931984,187891,0.0,1.0
2019-10-16,92.76,93.35,92.03,93.32,79.4065100646018,156906,0.0,1.0
2019-10-15,94.41,94.63,92.52,92.88,79.0321116030885,212106,0.0,1.0
2019-10-14,95.37,95.86,94.19,94.28,80.2233794351764,159011,0.0,1.0
2019-10-11,94.55,95.76,93.75,95.21,81.0147216379205,255492,0.0,1.0
2019-10-10,94.63,94.88,93.88,94.23,80.180834155459,195912,0.0,1.0
2019-10-09,94.8,95.0,94.16,94.63,80.5211963931984,149388,0.0,1.0
2019-10-08,95.23,95.32,94.28,94.28,80.2233794351764,184139,0.0,1.0
2019-10-07,95.48,95.97,94.88,95.54,81.2955204840555,122575,0.0,1.0
2019-10-04,95.04,95.66,94.58,95.64,81.3806110434903,186712,0.0,1.0
2019-10-03,94.52,94.96,93.85,94.8,80.6658503442376,134116,0.0,1.0
2019-10-02,95.14,95.14,94.08,94.58,80.4786511134809,183177,0.0,1.0
2019-10-01,96.06,96.66,95.13,95.23,81.0317397498075,320760,0.0,1.0
2019-09-30,95.3,96.46,95.3,96.11,81.7805366728341,342294,0.0,1.0
2019-09-27,96.28,96.53,94.56,95.25,81.0487578616944,226970,0.0,1.0
2019-09-26,96.39,96.49,95.87,96.27,81.9166815679299,364404,0.0,1.0
2019-09-25,95.25,96.18,95.25,95.91,81.6103555539644,367051,0.0,1.0
2019-09-24,94.61,95.71,94.55,95.31,81.0998121973553,427944,0.0,1.0
2019-09-23,94.3,94.77,93.92,94.44,80.3595243302721,303720,0.0,1.0
2019-09-20,94.0,94.64,93.53,94.16,80.1212707638546,559096,0.0,1.0
2019-09-19,93.71,94.22,93.17,94.01,79.9936349247023,298734,0.0,1.0
2019-09-18,92.4,93.13,92.06,93.11,79.2278198897886,345375,0.0,1.0
2019-09-17,91.54,92.66,91.4,91.91,78.2067331765704,165364,0.0,1.0
2019-09-16,91.75,92.09,91.25,91.66,77.9940067779833,134526,0.0,1.0
2019-09-13,91.06,92.04,90.72,91.52,77.8748799947745,214857,0.0,1.0
2019-09-12,91.77,92.18,91.0,91.08,77.5004815332612,247839,0.0,1.0
2019-09-11,89.13,91.06,89.05,91.04,77.4664453094873,260600,0.0,1.0
2019-09-10,89.8,91.06,88.7,89.08,75.7986703445642,413341,0.0,1.0
2019-09-09,89.56,89.68,88.18,88.78,75.5433986662596,261313,0.0,1.0
2019-09-06,91.68,91.68,89.45,89.82,76.4283404843821,237790,0.0,1.0
2019-09-05,91.84,92.25,91.16,91.52,77.8748799947745,171713,0.0,1.0
2019-09-04,92.62,92.72,91.76,92.08,78.3513871276097,131487,0.0,1.0
2019-09-03,91.41,92.32,91.06,92.18,78.4364776870445,193635,0.0,1.0
2019-08-30,91.5,92.12,90.82,91.61,77.9514614982659,163242,0.0,1.0
2019-08-29,90.35,91.66,90.23,91.65,77.9854977220398,138972,0.0,1.0
2019-08-28,89.8,90.05,89.31,89.72,76.3432499249472,177805,0.0,1.0
2019-08-27,90.93,91.21,89.67,89.73,76.3517589808907,212989,0.0,1.0
2019-08-26,89.53,90.39,89.02,90.38,76.9048476172172,225262,0.0,1.0
2019-08-23,91.21,91.41,89.05,89.26,75.9518333515469,203041,0.0,1.0
2019-08-22,91.16,91.53,90.19,91.23,77.6281173724135,119568,0.0,1.0
2019-08-21,90.63,91.15,90.39,91.0,77.4324090857133,164522,0.0,1.0
2019-08-20,91.17,91.21,90.43,90.6,77.0920468479739,101525,0.0,1.0
2019-08-19,91.35,91.88,90.61,91.08,77.5004815332612,120301,0.0,1.0
2019-08-16,90.12,91.24,89.83,91.2,77.602590204583,166957,0.0,1.0
2019-08-15,89.21,90.36,88.74,90.1,76.6665940507997,114644,0.0,1.0
2019-08-14,89.14,89.91,88.59,88.95,75.6880526172989,154691,0.0,1.0
