,QLYS_Open,QLYS_High,QLYS_Low,QLYS_Close,QLYS_Adj Close,QLYS_Volume,QLYS_Dividend Amount,QLYS_Split Coefficient
2018-04-24,82.35,83.0,78.55,79.0,79.0,348762,0.0,1.0
2018-04-23,82.3,82.95,81.25,81.3,81.3,308875,0.0,1.0
2018-04-20,82.45,83.05,81.45,81.55,81.55,321819,0.0,1.0
2018-04-19,84.5,84.95,82.35,82.75,82.75,441767,0.0,1.0
2018-04-18,83.75,85.0,82.675,84.45,84.45,463600,0.0,1.0
2018-04-17,79.15,83.3,79.15,82.85,82.85,697068,0.0,1.0
2018-04-16,77.6,78.9,77.2,78.35,78.35,311036,0.0,1.0
2018-04-13,78.25,78.25,76.35,76.95,76.95,184462,0.0,1.0
2018-04-12,77.7,78.15,77.35,77.7,77.7,141718,0.0,1.0
2018-04-11,76.0,77.85,75.7719,77.5,77.5,192131,0.0,1.0
2018-04-10,74.95,76.5,74.3,76.1,76.1,185712,0.0,1.0
2018-04-09,74.5,75.1,74.05,74.35,74.35,196720,0.0,1.0
2018-04-06,75.55,76.6,73.45,74.05,74.05,278072,0.0,1.0
2018-04-05,75.6,76.3,75.05,76.05,76.05,231559,0.0,1.0
2018-04-04,71.85,75.5,71.2,74.9,74.9,216937,0.0,1.0
2018-04-03,72.2,73.325,71.75,73.1,73.1,208533,0.0,1.0
2018-04-02,72.75,76.934,71.2,71.85,71.85,220584,0.0,1.0
2018-03-29,71.8,73.95,71.05,72.75,72.75,263741,0.0,1.0
2018-03-28,72.7,72.7,70.85,71.15,71.15,272639,0.0,1.0
2018-03-27,75.65,76.0,72.3,72.8,72.8,243365,0.0,1.0
2018-03-26,74.45,75.4,73.8,75.15,75.15,315042,0.0,1.0
2018-03-23,75.0,75.2,73.0,73.1,73.1,260576,0.0,1.0
2018-03-22,76.2,77.425,74.45,74.55,74.55,275310,0.0,1.0
2018-03-21,76.65,77.75,76.15,76.85,76.85,193478,0.0,1.0
2018-03-20,74.9,77.25,74.35,76.65,76.65,390970,0.0,1.0
2018-03-19,73.95,75.2,73.1001,74.8,74.8,369952,0.0,1.0
2018-03-16,76.45,77.15,74.4,74.45,74.45,998579,0.0,1.0
